gene	chr	start	end	num_contexts	mean_coverage	mc_group1	mc_group2	mc_difference	mc_qvalue	mc_direction	hmc_difference	hmc_qvalue	hmc_significant	hmc_direction
Ldlrad3	chr2	101950202	102186384	2585	18.3634912959381	0.590522804407434	0.683007162842987	0.0924843584355526	4.8151057076211e-306	Hypermethylated	-0.0544784056384317	7.07674626726131e-306	TRUE	Hypomethylated
Ldlrad4	chr18	67933256	68268629	3610	19.9197022160665	0.519575650631756	0.585501103085803	0.0659254524540464	4.8151057076211e-306	Hypermethylated	-0.0255313899299223	1.1966020148803e-98	TRUE	Hypomethylated
Lgr4	chr2	109917646	110014256	857	22.1551925320887	0.542336747947151	0.644076253084702	0.101739505137551	4.8151057076211e-306	Hypermethylated	-0.0610850936205934	2.49512683529807e-158	TRUE	Hypomethylated
Lpp	chr16	24393506	24992577	4506	21.8544440745672	0.654555698359258	0.739688215912983	0.0851325175537252	4.8151057076211e-306	Hypermethylated	-0.0575834388659432	7.07674626726131e-306	TRUE	Hypomethylated
Lrrc49	chr9	60568858	60688157	953	19.8058761804827	0.574660438629198	0.673071096335294	0.0984106577060959	4.8151057076211e-306	Hypermethylated	-0.0239230922856924	5.58277176482752e-25	TRUE	Hypomethylated
Lrrc4c	chr2	96318168	97631665	5329	24.3044426721711	0.735325988765099	0.770750524234378	0.0354245354692788	4.8151057076211e-306	Hypermethylated	-0.025873180377108	7.07674626726131e-306	TRUE	Hypomethylated
Lrrtm3	chr10	63928471	64090276	1232	22.1114042207792	0.352630485126402	0.436286417184588	0.0836559320581863	4.8151057076211e-306	Hypermethylated	-0.0352477698752303	1.25550740549178e-66	TRUE	Hypomethylated
Lsamp	chr16	39984360	42181678	10684	24.3909116435792	0.713330119781662	0.750968703321312	0.0376385835396502	4.8151057076211e-306	Hypermethylated	-0.0239975257743356	7.07674626726131e-306	TRUE	Hypomethylated
Macrod2	chr2	140395308	142392965	9986	23.9291382936111	0.75563291796689	0.779033618738814	0.0234007007719238	4.8151057076211e-306	Hypermethylated	-0.017662115018147	2.97552519291388e-280	TRUE	Hypomethylated
Maml3	chr3	51685906	52105075	5317	19.6378832048147	0.592762990210212	0.672452139382638	0.0796891491724255	4.8151057076211e-306	Hypermethylated	-0.0459758938953871	7.07674626726131e-306	TRUE	Hypomethylated
Mcu	chr10	59446983	59616691	1940	20.9783505154639	0.523486100473727	0.6656233113292	0.142137210855473	4.8151057076211e-306	Hypermethylated	-0.0944174928500678	7.07674626726131e-306	TRUE	Hypomethylated
Mgll	chr6	88724411	88828359	1177	16.767735768904	0.425714962550687	0.56072290629419	0.135007943743503	4.8151057076211e-306	Hypermethylated	-0.0344510690408868	1.74964639250384e-46	TRUE	Hypomethylated
Mllt3	chr4	87769924	88033363	1976	22.6231022267206	0.569346970859172	0.641674106123721	0.0723271352645487	4.8151057076211e-306	Hypermethylated	-0.0533576935627765	1.57084325687476e-272	TRUE	Hypomethylated
Myt1l	chr12	29528383	29923212	2939	20.6270840421912	0.617488525144413	0.697479925127299	0.0799913999828868	4.8151057076211e-306	Hypermethylated	-0.0598868014032435	7.07674626726131e-306	TRUE	Hypomethylated
Ncald	chr15	37366174	37792569	3516	19.8950867463026	0.612671133418017	0.699884254605694	0.0872131211876761	4.8151057076211e-306	Hypermethylated	-0.0479322312489731	7.07674626726131e-306	TRUE	Hypomethylated
Ndst3	chr3	123526165	123690852	1298	22.147438366718	0.414991307782351	0.535396229007651	0.1204049212253	4.8151057076211e-306	Hypermethylated	-0.0572693423306202	3.31875474081655e-192	TRUE	Hypomethylated
