human_gene	field_direction	mouse_gene	gb_mc_diff	gb_mc_q	gb_mc_dir	prom_mc_diff	prom_mc_q	prom_mc_dir	gb_hmc_diff	gb_hmc_q	log2FoldChange	padj	gb_concordance
EPHX2	Hypermethylated	Ephx2	-0.0106	8.4e-03	Hypomethylated	-0.0034	9.7e-01	Hypomethylated	-0.0024	3.2e-01	+0.138	8.5e-01	Discordant
FDFT1	Hypermethylated	Fdft1	+0.0109	1.5e-02	Hypermethylated	-0.0039	9.9e-01	Hypomethylated	-0.0101	2.9e-03	-0.141	5.1e-01	Concordant
GATA4	Hypermethylated	Gata4	-0.0077	2.1e-02	Hypomethylated	+0.0713	1.9e-01	Hypermethylated	-0.0010	5.3e-01	N/A	N/A	Discordant
HAS2	Hypermethylated	Has2	-0.0125	2.3e-02	Hypomethylated	-0.0036	4.9e-01	Hypomethylated	+0.0132	5.5e-07	N/A	N/A	Discordant
MTUS1	Hypermethylated	Mtus1	+0.0007	8.5e-01	Hypermethylated	-0.0110	9.1e-01	Hypomethylated	-0.0157	4.3e-23	-0.070	7.4e-01	Non-significant
MSC	Hypermethylated	Msc	-0.0005	9.7e-01	Hypomethylated	-0.0799	1.4e-03	Hypomethylated	+0.0362	9.8e-04	N/A	N/A	Non-significant
FZD6	Hypermethylated	Fzd6	N/A	N/A	NA	N/A	N/A	NA	N/A	N/A	-0.020	9.8e-01	Not in data
ZHX1	Hypermethylated	Zhx1	N/A	N/A	NA	N/A	N/A	NA	N/A	N/A	N/A	N/A	Not in data
JPH1	Hypomethylated	Jph1	+0.1075	4.8e-306	Hypermethylated	+0.0692	4.4e-01	Hypermethylated	-0.0540	3.6e-99	-0.682	2.2e-06	Discordant
RIMS2	Hypomethylated	Rims2	+0.0767	4.8e-306	Hypermethylated	N/A	N/A	NA	-0.0503	7.1e-306	-0.541	4.4e-07	Discordant
RUNX1T1	Hypomethylated	Runx1t1	+0.1095	4.8e-306	Hypermethylated	+0.0269	6.8e-01	Hypermethylated	-0.0501	9.2e-137	-1.108	2.4e-24	Discordant
OXR1	Hypomethylated	Oxr1	+0.0459	3.5e-242	Hypermethylated	+0.0338	4.4e-02	Hypermethylated	-0.0369	4.4e-195	-0.136	7.1e-01	Discordant
LYN	Hypomethylated	Lyn	+0.0855	9.8e-241	Hypermethylated	+0.1367	5.2e-12	Hypermethylated	-0.0701	2.4e-264	-1.051	1.3e-31	Discordant
XKR4	Hypomethylated	Xkr4	-0.0336	1.4e-119	Hypomethylated	N/A	N/A	NA	+0.0327	3.7e-176	+0.574	5.2e-03	Concordant
TPD52	Hypomethylated	Tpd52	+0.0518	1.8e-93	Hypermethylated	+0.0298	6.6e-01	Hypermethylated	-0.0417	7.2e-87	-0.272	6.7e-05	Discordant
DPYS	Hypomethylated	Dpys	+0.0473	9.4e-82	Hypermethylated	-0.0156	7.6e-01	Hypomethylated	-0.0089	5.8e-05	-0.677	6.6e-01	Discordant
RAB2A	Hypomethylated	Rab2a	+0.0588	8.3e-56	Hypermethylated	-0.0677	6.2e-01	Hypomethylated	-0.0442	3.5e-39	+0.042	8.0e-01	Discordant
SDC2	Hypomethylated	Sdc2	+0.0453	6.1e-53	Hypermethylated	-0.0104	1.0e+00	Hypomethylated	-0.0368	2.4e-53	-0.657	1.4e-11	Discordant
ZFPM2	Hypomethylated	Zfpm2	-0.0195	6.4e-43	Hypomethylated	+0.0224	1.0e-01	Hypermethylated	+0.0067	8.4e-08	+0.078	8.8e-01	Concordant
STMN2	Hypomethylated	Stmn2	+0.0492	6.8e-43	Hypermethylated	+0.0222	8.2e-01	Hypermethylated	-0.0091	2.0e-02	+0.016	9.7e-01	Discordant
ASAP1	Hypomethylated	Asap1	-0.0168	1.1e-40	Hypomethylated	+0.0092	9.9e-01	Hypermethylated	+0.0152	1.6e-54	-0.003	9.9e-01	Concordant
SPAG1	Hypomethylated	Spag1	+0.0404	1.8e-36	Hypermethylated	+0.0690	4.3e-03	Hypermethylated	-0.0292	4.0e-33	-0.163	2.9e-01	Discordant
MTDH	Hypomethylated	Mtdh	+0.0442	1.8e-27	Hypermethylated	+0.0169	9.3e-02	Hypermethylated	-0.0309	1.0e-18	+0.029	9.1e-01	Discordant
EFR3A	Hypomethylated	Efr3a	+0.0285	5.9e-27	Hypermethylated	+0.0512	3.5e-01	Hypermethylated	-0.0292	2.5e-44	-0.014	9.5e-01	Discordant
LRP12	Hypomethylated	Lrp12	+0.0285	1.1e-25	Hypermethylated	+0.0054	8.6e-01	Hypermethylated	-0.0272	6.0e-32	-0.099	5.3e-01	Discordant
EBF2	Hypomethylated	Ebf2	-0.0153	1.9e-23	Hypomethylated	-0.0789	2.3e-04	Hypomethylated	+0.0045	3.3e-06	+0.093	8.5e-01	Concordant
BAI1	Hypomethylated	Adgrb1	-0.0367	7.1e-23	Hypomethylated	-0.0814	1.9e-01	Hypomethylated	+0.0453	6.2e-55	+0.645	4.4e-08	Concordant
KHDRBS3	Hypomethylated	Khdrbs3	-0.0158	9.5e-18	Hypomethylated	+0.0002	9.8e-01	Hypermethylated	+0.0332	1.6e-139	+1.924	9.4e-44	Concordant
UBE2V2	Hypomethylated	Ube2v2	+0.0369	5.9e-16	Hypermethylated	-0.0183	8.1e-01	Hypomethylated	-0.0299	4.9e-14	+0.173	3.7e-01	Discordant
MRPS28	Hypomethylated	Mrps28	+0.0169	4.0e-15	Hypermethylated	+0.0232	7.4e-01	Hypermethylated	-0.0189	7.1e-27	-0.073	7.8e-01	Discordant
OSR2	Hypomethylated	Osr2	-0.0271	1.2e-11	Hypomethylated	-0.0139	3.0e-01	Hypomethylated	-0.0043	1.7e-02	N/A	N/A	Concordant
ST3GAL1	Hypomethylated	St3gal1	-0.0181	1.1e-10	Hypomethylated	-0.0347	4.2e-01	Hypomethylated	+0.0102	2.6e-09	-0.004	1.0e+00	Concordant
ARFGEF1	Hypomethylated	Arfgef1	+0.0169	1.1e-10	Hypermethylated	+0.0155	3.8e-01	Hypermethylated	-0.0197	7.5e-21	-0.009	9.8e-01	Discordant
DENND3	Hypomethylated	Dennd3	-0.0175	7.0e-10	Hypomethylated	-0.0092	9.4e-01	Hypomethylated	+0.0047	4.3e-02	-0.128	8.3e-01	Concordant
GFRA2	Hypomethylated	Gfra2	-0.0182	1.0e-09	Hypomethylated	N/A	N/A	NA	+0.0256	1.1e-26	+0.242	3.8e-01	Concordant
TRAM1	Hypomethylated	Tram1	+0.0220	1.8e-09	Hypermethylated	+0.0297	4.6e-01	Hypermethylated	-0.0152	2.4e-07	+0.085	6.9e-01	Discordant
PTP4A3	Hypomethylated	Ptp4a3	-0.0276	1.8e-08	Hypomethylated	-0.0557	3.7e-01	Hypomethylated	+0.0325	1.4e-16	+0.537	8.0e-04	Concordant
TRIB1	Hypomethylated	Trib1	+0.0340	3.6e-07	Hypermethylated	+0.0276	3.5e-01	Hypermethylated	-0.0083	1.5e-01	-0.249	3.1e-01	Discordant
TCEB1	Hypomethylated	Eloc	+0.0376	1.7e-06	Hypermethylated	+0.0119	4.6e-01	Hypermethylated	-0.0270	4.9e-06	+0.088	6.5e-01	Discordant
MMP16	Hypomethylated	Mmp16	-0.0092	1.1e-05	Hypomethylated	+0.0122	9.6e-01	Hypermethylated	+0.0070	1.3e-04	+0.018	9.8e-01	Concordant
KIAA0196	Hypomethylated	Washc5	+0.0114	1.3e-05	Hypermethylated	+0.0106	6.5e-01	Hypermethylated	-0.0161	3.5e-18	-0.107	5.3e-01	Discordant
BHLHE22	Hypomethylated	Bhlhe22	-0.0395	2.7e-05	Hypomethylated	+0.0089	7.8e-01	Hypermethylated	-0.0137	1.3e-02	+0.082	7.6e-01	Concordant
TNFRSF10C	Hypomethylated	Tnfrsf22	-0.0296	7.3e-05	Hypomethylated	-0.0036	8.7e-01	Hypomethylated	+0.0089	4.6e-02	N/A	N/A	Concordant
KCNS2	Hypomethylated	Kcns2	+0.0360	7.3e-04	Hypermethylated	+0.0007	1.0e+00	Hypermethylated	-0.0150	9.8e-02	+0.542	2.3e-01	Discordant
ANK1	Hypomethylated	Ank1	+0.0062	1.0e-03	Hypermethylated	+0.0150	7.1e-01	Hypermethylated	-0.0094	3.2e-08	+0.407	8.4e-08	Discordant
IDO1	Hypomethylated	Ido1	-0.0177	4.7e-03	Hypomethylated	-0.0309	2.7e-01	Hypomethylated	+0.0162	8.9e-07	N/A	N/A	Concordant
GEM	Hypomethylated	Gem	-0.0184	1.2e-02	Hypomethylated	-0.0069	5.4e-01	Hypomethylated	-0.0007	9.1e-01	N/A	N/A	Concordant
CA13	Hypomethylated	Car13	-0.0145	2.3e-02	Hypomethylated	-0.0230	8.1e-01	Hypomethylated	+0.0020	5.4e-01	-0.203	7.5e-01	Concordant
RRM2B	Hypomethylated	Rrm2b	+0.0111	2.3e-02	Hypermethylated	+0.0291	5.5e-01	Hypermethylated	-0.0087	2.1e-02	+0.245	2.1e-01	Discordant
PHYHIP	Hypomethylated	Phyhip	+0.0139	2.9e-02	Hypermethylated	+0.0590	1.2e-01	Hypermethylated	+0.0364	3.6e-07	+0.029	9.3e-01	Discordant
SLA	Hypomethylated	Sla	-0.0102	2.9e-02	Hypomethylated	-0.0704	7.7e-01	Hypomethylated	+0.0164	5.1e-07	N/A	N/A	Concordant
TOX	Hypomethylated	Tox	-0.0025	8.5e-02	Hypomethylated	-0.0621	1.1e-01	Hypomethylated	+0.0061	1.5e-11	-0.199	4.6e-01	Non-significant
PNOC	Hypomethylated	Pnoc	-0.0088	1.5e-01	Hypomethylated	+0.0181	6.6e-01	Hypermethylated	-0.0000	9.9e-01	-0.082	9.5e-01	Non-significant
ADAMDEC1	Hypomethylated	Adamdec1	+0.0091	2.1e-01	Hypermethylated	-0.0065	9.6e-01	Hypomethylated	-0.0026	5.5e-01	N/A	N/A	Non-significant
TSPYL5	Hypomethylated	Tspyl5	-0.0230	3.3e-01	Hypomethylated	-0.0010	9.5e-01	Hypomethylated	-0.0249	2.4e-01	+0.071	7.8e-01	Non-significant
TNFRSF11B	Hypomethylated	Tnfrsf11b	-0.0038	4.0e-01	Hypomethylated	-0.0212	5.1e-01	Hypomethylated	+0.0003	8.6e-01	+0.196	7.6e-01	Non-significant
DOK2	Hypomethylated	Dok2	-0.0078	4.5e-01	Hypomethylated	+0.0173	4.5e-01	Hypermethylated	+0.0038	4.0e-01	-0.068	9.6e-01	Non-significant
IL7	Hypomethylated	Il7	-0.0031	4.7e-01	Hypomethylated	+0.0298	5.6e-01	Hypermethylated	-0.0004	9.9e-01	-0.533	4.6e-01	Non-significant
PREX2	Hypomethylated	Prex2	-0.0015	4.7e-01	Hypomethylated	+0.0286	4.6e-01	Hypermethylated	+0.0028	1.1e-02	-0.116	7.3e-01	Non-significant
ADAM28	Hypomethylated	Adam28	-0.0024	6.3e-01	Hypomethylated	+0.0008	9.6e-01	Hypermethylated	-0.0028	1.4e-01	N/A	N/A	Non-significant
CNGB3	Hypomethylated	Cngb3	-0.0010	6.4e-01	Hypomethylated	-0.0439	4.4e-01	Hypomethylated	+0.0004	7.2e-01	N/A	N/A	Non-significant
LRRC69	Hypomethylated	Lrrc69	-0.0007	6.4e-01	Hypomethylated	+0.0138	6.9e-01	Hypermethylated	-0.0057	1.0e-09	+0.052	9.3e-01	Non-significant
KCNK9	Hypomethylated	Kcnk9	-0.0018	7.4e-01	Hypomethylated	+0.0005	9.5e-01	Hypermethylated	+0.0049	3.3e-01	-0.107	6.7e-01	Non-significant
LOXL2	Hypomethylated	Loxl2	+0.0046	9.1e-01	Hypermethylated	N/A	N/A	NA	-0.0038	8.7e-01	+0.633	4.6e-01	Non-significant
RP1	Hypomethylated	Rp1	+0.0004	9.2e-01	Hypermethylated	+0.0076	9.6e-01	Hypermethylated	+0.0002	7.5e-01	N/A	N/A	Non-significant
PRKDC	Hypomethylated	Prkdc	+0.0002	9.4e-01	Hypermethylated	+0.0000	8.7e-01	Hypomethylated	-0.0066	8.4e-16	+0.324	8.2e-03	Non-significant
CCNE2	Hypomethylated	Ccne2	-0.0002	9.8e-01	Hypomethylated	N/A	N/A	NA	-0.0068	3.9e-01	+0.282	1.8e-01	Non-significant
BAALC	Hypomethylated	Baalc	N/A	N/A	NA	N/A	N/A	NA	N/A	N/A	N/A	N/A	Not in data
FAM49B	Hypomethylated	Cyrib	N/A	N/A	NA	N/A	N/A	NA	N/A	N/A	+0.012	9.7e-01	Not in data
