chr	start	end	num_contexts	mean_coverage	mean_mod_group1	mean_mod_group2	mod_fold_change	mod_difference	test_statistic	dmr_pvalue	dmr_qvalue	annotation	gene	significant	direction	neg_log10_q	chromatin_state	CTCF_overlap	H3K27ac_overlap	H3K27me3_overlap	H3K4me1_overlap	H3K4me3_overlap	Bivalent_overlap	distance_to_tss
chr1	24177609	24252683	623	20.803772070626	0.678584088149619	0.730174130803202	1.0760260129209	0.0515900426535835	165.578695333896	6.83748777438842e-38	2.47743792778747e-36	Gene	Col9a1	TRUE	Hypermethylated	35.6059972179555	Other	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0
chr1	24678629	24766300	818	20.1045232273839	0.638000008609412	0.696246637250044	1.09129565494456	0.058246628640632	249.254774191085	3.77490978323355e-56	2.08404821953833e-54	Gene	Lmbrd1	TRUE	Hypermethylated	53.6810922367942	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	32172713	32658567	2095	23.4284009546539	0.818191490939539	0.812424731728348	0.992951822067267	-0.0057667592111903	10.424410171406	0.00124360568220472	0.00399847649328205	Gene	Khdrbs2	TRUE	Hypomethylated	2.39810545282113	Repressed_Promoter	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	0
chr1	33719886	33742563	293	19.1612627986348	0.707653629476421	0.749379703845489	1.05896397987804	0.0417260743690673	47.540243931434	5.38862690812664e-12	5.20958543343727e-11	Gene	Rab23	TRUE	Hypermethylated	10.2831968354594	Other	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	0
chr1	33908224	34308660	5287	18.8816909400416	0.577480632464561	0.583351960711859	1.01016714313386	0.00587132824729786	14.6007816775836	0.00013285942246651	0.000516063289006648	Gene	Dst	TRUE	Hypermethylated	3.28729703406879	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	34439850	34449355	131	16.75	0.613440693784968	0.646599685410932	1.05405411144372	0.0331589916259635	10.603810482183	0.00112854838248842	0.00365819167432395	Gene	Imp4	TRUE	Hypermethylated	2.43673354300384	Active_Promoter	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	0
chr1	34535647	34544312	89	17.6741573033708	0.637494701144553	0.572232666925837	0.897627330703228	-0.0652620342187158	27.5745557290599	1.51154132224475e-07	9.11748861396568e-07	Gene	Cfc1	TRUE	Hypomethylated	6.04012477036625	Repressed_Promoter	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0
chr1	34579656	34590943	96	16.0677083333333	0.275921426163694	0.389190062168577	1.41051047604286	0.113268636004883	86.4820518340624	1.41011275697141e-20	2.54584815219477e-19	Gene	Amer3	TRUE	Hypermethylated	18.5941675035223	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	34849975	34879579	370	17.9256756756757	0.7158677825147	0.729268604212659	1.01871968822355	0.0134008216979593	5.67638100713429	0.0171947992827497	0.0418868664831404	Gene	Plekhb2	TRUE	Hypermethylated	1.37792212758298	Other	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	0
chr1	36068399	36106445	342	16.0540935672515	0.594843589867807	0.633128233490853	1.06436085766942	0.0382846436230458	34.5250481232102	4.20801271977658e-09	3.03536641705018e-08	Gene	Hs6st1	TRUE	Hypermethylated	7.51778887516611	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	36471619	36508763	431	18.1821345707657	0.43405557602396	0.533488540390779	1.22907887804978	0.0994329643668196	299.279746170398	4.72814774523656e-67	3.19973585636509e-65	Gene	Cnnm4	TRUE	Hypermethylated	64.4948858719482	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	36511866	36528236	236	16.6726694915254	0.435392615185455	0.466906183441609	1.07237965724965	0.0315135682561538	15.3904739003711	8.7427935955806e-05	0.000353128738624731	Gene	Cnnm3	TRUE	Hypermethylated	3.45206693687402	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	37026595	37187612	1732	19.1843244803695	0.751569863192662	0.74614707169958	0.99278471402506	-0.00542279149308189	5.36306575949216	0.020567585905147	0.0489739578929161	Gene	Vwa3b	TRUE	Hypomethylated	1.31003479650058	Repressed_Promoter	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	0
chr1	37299864	37410735	934	16.3704496788009	0.529104886598646	0.559986688111898	1.05836612417582	0.0308818015132521	58.4461861288288	2.08928217591016e-14	2.48757382340632e-13	Gene	Inpp4a	TRUE	Hypermethylated	12.6042240218899	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	37871737	37876227	93	21.260752688172	0.637111363059628	0.681142582371187	1.06911071103819	0.0440312193115588	18.5440887194727	1.66019290008067e-05	7.55513814550812e-05	Gene	Lipt1	TRUE	Hypermethylated	4.12175759018884	Other	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0
chr1	37890476	37898534	83	21.289156626506	0.52017476945203	0.553975501828078	1.0649795691007	0.0338007323760481	8.16297043507094	0.00427542900953275	0.0121438160291074	Gene	Mrpl30	TRUE	Hypermethylated	1.91564482067691	Active_Promoter	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	0
chr1	37998009	38055578	467	20.8667023554604	0.679433847976479	0.735320620126424	1.08225491314039	0.0558867721499452	145.090392751903	2.05210176505029e-33	6.38739509332197e-32	Gene	Eif5b	TRUE	Hypermethylated	31.1946762196581	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	38985607	38997237	166	17.4246987951807	0.597467936678942	0.624208781685107	1.04475695407992	0.0267408450061651	8.61572958395176	0.00333272277213622	0.00971476879764426	Gene	Pdcl3	TRUE	Hypermethylated	2.01256753074121	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	39367841	39371910	66	18.4848484848485	0.34295770733211	0.412496870377948	1.20276308582416	0.0695391630458376	23.8127134090556	1.0617883559014e-06	5.73808807791226e-06	Gene	Rpl31	TRUE	Hypermethylated	5.24123278975023	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	39534991	39546888	128	19.68359375	0.546529027325869	0.600462226489411	1.09868313752233	0.0539331991635423	29.7480663079014	4.91996803406153e-08	3.16128665808811e-07	Gene	Cnot11	TRUE	Hypermethylated	6.5001361215659	Active_Promoter	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	0
chr1	39900912	40026309	1432	17.3542248603352	0.455957824402963	0.477483280620692	1.04720931425163	0.0215254562177289	45.9578169849164	1.20826840901741e-11	1.13161888182036e-10	Gene	Map4k4	TRUE	Hypermethylated	9.94629981465975	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	40324609	40367561	366	20.5075136612022	0.744495810327271	0.724871285730931	0.973640517079991	-0.0196245245963397	14.4818877673561	0.00014151369315739	0.000547549938906104	Gene	Il1rl2	TRUE	Hypomethylated	3.26157626515945	Repressed_Promoter	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	0
chr1	40429569	40465414	326	21.9800613496933	0.838587214035763	0.821451136615692	0.979565539358032	-0.0171360774200711	14.5297329569661	0.000137964802804385	0.00053450851302552	Gene	Il1rl1	TRUE	Hypomethylated	3.27204537346631	Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0
chr1	42694924	42703175	59	16.9110169491525	0.314807700282223	0.227866071586733	0.723826232275932	-0.0869416286954907	37.3057517094214	1.00986327854844e-09	7.72926731874054e-09	Gene	Pou3f3	TRUE	Hypomethylated	8.11186167225361	Repressed_Promoter	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	0
chr1	42851232	42905682	493	20.3569979716024	0.701663583269852	0.73301484024565	1.04468132267845	0.0313512569757985	48.959718599583	2.61273458622787e-12	2.60268560705007e-11	Gene	Mrps9	TRUE	Hypermethylated	10.5845782895817	Active_Promoter	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	0
chr1	43098709	43115946	115	21.7369565217391	0.710432638359352	0.735511678770576	1.03530108142151	0.0250790404112236	7.94998705259138	0.00480877205657376	0.0134870626971739	Gene	AI597479	TRUE	Hypermethylated	1.87008262359046	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	43444578	43570514	1142	19.172942206655	0.529613199207361	0.591838139900021	1.11749129512971	0.0622249406926598	340.308319407691	5.46668699988068e-76	4.37731399124033e-74	Gene	Nck2	TRUE	Hypermethylated	73.3587922996807	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	43933646	44002999	341	23.4633431085044	0.734933804994289	0.76520683818206	1.04119151001362	0.030273033187771	38.5780955345986	5.26060175552702e-10	4.16460997091326e-09	Gene	Tpp2	TRUE	Hypermethylated	8.38042566542448	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	44118956	44144769	175	23.5457142857143	0.76097985021398	0.785598212773382	1.03235087309142	0.0246183625594021	14.1714655309056	0.000166882199885099	0.000638057530779934	Gene	Bivm	TRUE	Hypermethylated	3.19514016113178	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	44147743	44181259	237	21.0295358649789	0.762981701675446	0.782477108753454	1.0255516050191	0.0194954070780086	10.5988300763774	0.00113159240252089	0.00366681982078141	Gene	Ercc5	TRUE	Hypermethylated	2.43571042976203	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	44551510	44796837	966	23.5634057971014	0.83048140590285	0.823472209328038	0.991560080063212	-0.00700919657481158	7.89490469187388	0.00495742501422299	0.0138558245901125	Gene	Gulp1	TRUE	Hypomethylated	1.858367623308	Repressed_Promoter	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	0
chr1	50900646	51187269	1573	23.0085823267641	0.636979140375737	0.723059681739933	1.13513871319776	0.0860805413641952	1222.7697786107	6.86798787031862e-268	4.00231993142818e-265	Gene	Tmeff2	TRUE	Hypermethylated	264.397688198333	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	51289125	51302959	121	18.8884297520661	0.705387612812825	0.73089905742693	1.03616656168993	0.0255114446141054	7.04901361178606	0.00793089127567466	0.0210477125961263	Gene	Cavin2	TRUE	Hypermethylated	1.6767950951185	Other	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0
chr1	52119439	52161864	611	19.8711129296236	0.694248880209212	0.721918259325538	1.03985512963015	0.0276693791163258	44.2550626560172	2.88257935556761e-11	2.59543486268038e-10	Gene	Stat1	TRUE	Hypermethylated	9.58578986608525	Active_Enhancer	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	42177
chr1	52630702	52651918	194	20.2564432989691	0.677191203668212	0.727360736200483	1.07408473745748	0.0501695325322713	49.5291944392948	1.95441576140389e-12	1.9740822464368e-11	Gene	Nemp2	TRUE	Hypermethylated	10.7046347572238	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	53297094	53310308	90	25.3	0.669151103702093	0.737295700887934	1.10183738293015	0.0681445971858409	50.3532991643511	1.28414035036735e-12	1.31929384967466e-11	Gene	Ormdl1	TRUE	Hypermethylated	10.8796584621649	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	53297110	53318034	156	23.6730769230769	0.597742081776782	0.646567432182553	1.08168297313222	0.0488253504057707	36.9249850081834	1.22762660732126e-09	9.32673948737379e-09	Gene	Gm28778	TRUE	Hypermethylated	8.03027015369454	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	53313623	53326342	110	23.6363636363636	0.709316832427287	0.740968239166493	1.04462238211787	0.0316514067392065	12.4403989574152	0.000420146026226098	0.00149090721992512	Gene	Osgepl1	TRUE	Hypermethylated	2.82654938211929	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	55052769	55072701	161	22.4332298136646	0.69604228851664	0.733212747162756	1.05340258668095	0.0371704586461158	24.6578339690464	6.84658725321381e-07	3.76894657531284e-06	Gene	Coq10b	TRUE	Hypermethylated	5.423780018616	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	55131230	55154898	141	20.9202127659574	0.602698716090113	0.643022295562579	1.06690503629086	0.0403235794724659	20.662483177144	5.47788721402005e-06	2.6819275580613e-05	Gene	Mob4	TRUE	Hypermethylated	4.57155295711795	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	55237176	55248469	90	19.4555555555556	0.473074821387792	0.529540578233117	1.11935904066862	0.0564657568453247	21.6170470961229	3.32880043019988e-06	1.67509964560238e-05	Gene	Mars2	TRUE	Hypermethylated	4.77595935325515	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	57377619	57385422	55	23.9772727272727	0.602948738926159	0.663721440454612	1.10079248467571	0.0607727015284528	21.7509110748832	3.10442405334879e-06	1.5704777481361e-05	Gene	1700066M21Rik	TRUE	Hypermethylated	4.80396821267532	Other	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0
chr1	57406327	57417952	79	24.0696202531646	0.661136899230977	0.687257239064645	1.03950821662511	0.026120339833668	5.51502553598836	0.0188537980136875	0.0454062482526863	Gene	Maip1	TRUE	Hypermethylated	1.34288438073431	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	57774161	57948393	1613	21.4548977061376	0.739783434647052	0.731180435291222	0.988370921876705	-0.00860299935583009	12.8957060734237	0.000329336830456192	0.00119185050304303	Gene	Spats2l	TRUE	Hypomethylated	2.92377821588371	Repressed_Promoter	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	0
chr1	58029930	58106412	679	19.7676730486009	0.722629973092029	0.733330723634493	1.01480806351925	0.0107007505424637	7.71488324743315	0.00547674017048692	0.0151418729621304	Gene	Aox1	TRUE	Hypermethylated	1.81982040179708	Other	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0
chr1	58392897	58407352	101	23.1138613861386	0.666639066243574	0.710292412439793	1.06548273032092	0.0436533461962192	20.3064140478219	6.59790323742494e-06	3.19892331911111e-05	Gene	Bzw1	TRUE	Hypermethylated	4.494996170196	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	58445150	58481815	359	18.691504178273	0.770809505402629	0.792715130746699	1.02841898703964	0.0219056253440699	17.7744945316833	2.48694864548559e-05	0.000110001466653262	Gene	Nif3l1	TRUE	Hypermethylated	3.95860152434021	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	58586383	58595963	81	21.1759259259259	0.513968271827183	0.576301710624957	1.121278767999	0.0623334387977746	26.5279870966137	2.59747637306659e-07	1.52213566565821e-06	Gene	Ndufb3	TRUE	Hypermethylated	5.8175466378276	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	58711507	58758883	479	18.7651356993737	0.737577342393962	0.788912377980795	1.06959952893918	0.0513350355868326	132.172721386855	1.37151797770416e-30	3.8830061611681e-29	Gene	Cflar	TRUE	Hypermethylated	28.4108319203581	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	59256905	59352992	845	18.2757396449704	0.69287185919545	0.735533883229948	1.06157274749769	0.0426620240344979	137.939053650817	7.51481320048395e-32	2.2298906100842e-30	Gene	Cdk15	TRUE	Hypermethylated	29.6517164412577	Other	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0
chr1	59482423	59486954	21	17.6309523809524	0.0787270346414825	0.387975359894368	4.9281083894647	0.309248325252885	149.767425538395	1.94892545856564e-34	6.31939833002297e-33	Gene	Fzd7	TRUE	Hypermethylated	32.1993242689312	Active_Promoter	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	0
chr1	59516263	59636416	1083	17.6975992613112	0.691886453661478	0.724376072292326	1.04695802101474	0.0324896186308481	100.192844292467	1.38258105309248e-23	2.96273420968611e-22	Gene	Gm973	TRUE	Hypermethylated	21.5283073078329	Other	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0
chr1	59684970	59719043	208	21.4783653846154	0.724842691587406	0.766849656195461	1.05795321536051	0.0420069646080551	41.3953743331013	1.24351289336888e-10	1.05149766182933e-09	Gene	Nop58	TRUE	Hypermethylated	8.97819168869877	Other	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0
chr1	60180598	60338327	811	22.9127620221948	0.828783548988997	0.848426577160423	1.02370103532507	0.0196430281714264	53.3567423737253	2.78154905368472e-13	3.02352940918403e-12	Gene	Nbeal1	TRUE	Hypermethylated	11.5194858027537	Active_Promoter	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	0
chr1	60409618	60481157	393	20.777989821883	0.651343730346145	0.690614566389212	1.06029203048012	0.0392708360430667	56.9933032256845	4.37298473601423e-14	5.04902844121312e-13	Gene	Abi2	TRUE	Hypermethylated	12.2967921829137	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	63445890	63596275	1233	20.5592051905921	0.67722171157231	0.68853347522602	1.01670319108265	0.0113117636537109	14.9221175816144	0.000112041687504948	0.000442492952215041	Gene	Adam23	TRUE	Hypermethylated	3.35409364211529	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	64532644	64604547	441	23.0402494331066	0.659077934719062	0.69137278390221	1.0490000460976	0.0322948491831483	50.145717344397	1.427423230846e-12	1.45722199318337e-11	Gene	Creb1	TRUE	Hypermethylated	10.8364742827732	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	65186682	65278694	493	22.3473630831643	0.808774468530625	0.82850396702976	1.02439431419612	0.0197294984991351	28.7971084544831	8.03710151594991e-08	5.02864159567889e-07	Gene	Pikfyve	TRUE	Hypermethylated	6.29854931656951	Active_Promoter	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	0
chr1	66175272	66442582	1463	21.5064935064935	0.544494596857207	0.559780750553377	1.02807402274403	0.0152861536961708	29.5228670382982	5.52608578600787e-08	3.5323508136703e-07	Gene	Map2	TRUE	Hypermethylated	6.4519361712113	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	66468366	66699147	1314	20.550799086758	0.718748074288002	0.752834990676736	1.04742540204021	0.0340869163887334	159.749689110873	1.28333048286724e-36	4.42812338816972e-35	Gene	Unc80	TRUE	Hypermethylated	34.353780286155	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	69826969	70725131	4331	23.7435927037636	0.823230984187526	0.820529576061944	0.996718529577396	-0.00270140812558239	5.50866436581765	0.0189224917165723	0.0455507692165197	Gene	Spag16	TRUE	Hypomethylated	1.34150428469166	Repressed_Promoter	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	0
chr1	70725714	70885396	964	23.8630705394191	0.797025459591468	0.790195989178216	0.991431302060599	-0.00682947041325188	6.59239452757666	0.0102415327587444	0.0265124772637832	Gene	Vwc2l	TRUE	Hypomethylated	1.57654969091169	Repressed_Promoter	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	0
chr1	71557149	71579630	269	20.7788104089219	0.803282260035356	0.78611115087409	0.978623816290291	-0.0171711091612663	9.5899896925303	0.00195641044528005	0.00601458598058765	Gene	Atic	TRUE	Hypomethylated	2.22079426234485	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	72284368	72303103	173	16.849710982659	0.699991710482687	0.751997240569505	1.07429449421759	0.0520055300868184	40.3961031458092	2.07354261659725e-10	1.71128444349307e-09	Gene	Tmem169	TRUE	Hypermethylated	8.7666777976054	Active_Promoter	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	0
chr1	72583250	72633133	617	17.9914910858995	0.774390156577362	0.787353618983524	1.01674022105789	0.0129634624061621	10.8767551103981	0.000973787048694099	0.00319854055026672	Gene	Smarcal1	TRUE	Hypermethylated	2.49504813903882	Other	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0
chr1	72711289	72713812	31	18.0403225806452	0.185953489703951	0.247005472706481	1.32831856557104	0.0610519830025303	12.4502467844853	0.000417936595501675	0.00148331785434438	Gene	Rpl37a	TRUE	Hypermethylated	2.82876577574405	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	74236083	74268208	273	20.3983516483516	0.687515209099634	0.719198498297972	1.04608376480839	0.031683289198338	25.4908830146253	4.4447831160649e-07	2.50866572482985e-06	Gene	Arpc2	TRUE	Hypermethylated	5.60055720378443	Active_Promoter	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	0
chr1	74284929	74353693	499	16.8316633266533	0.582463364399201	0.623398069581364	1.07027859206971	0.0409347051821628	58.4950756621726	2.03800405708781e-14	2.4278981893041e-13	Gene	Pnkd	TRUE	Hypermethylated	12.614769528779	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	74391508	74397284	54	12.5694444444444	0.47816605090312	0.551129240679666	1.15258964880242	0.0729631897765461	15.3219201971857	9.06584201953725e-05	0.000365052398709927	Gene	Ctdsp1	TRUE	Hypermethylated	3.43764479352353	Other	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0
chr1	74409375	74435558	260	15.6576923076923	0.767127024340665	0.783104746241756	1.02082800031041	0.0159777219010915	6.59291789766805	0.0102385224457967	0.026507955373364	Gene	Vil1	TRUE	Hypermethylated	1.57662376922316	Other	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0
chr1	74506057	74530841	150	20.0983333333333	0.662042389210019	0.705702070518604	1.06594695750627	0.0436596813085846	26.0843695292597	3.26819025908783e-07	1.88723819007441e-06	Gene	Cnot9	TRUE	Hypermethylated	5.72417328366826	Active_Promoter	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	0
chr1	74542887	74567793	231	17.6580086580087	0.782197431445705	0.809446142869899	1.03483610445234	0.0272487114241946	18.1556720668126	2.03562215399087e-05	9.14264978988964e-05	Gene	Plcd4	TRUE	Hypermethylated	4.03892791560686	Other	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	0
chr1	74661744	74703729	360	19.6069444444444	0.767534912985065	0.789977577782888	1.02923992696376	0.0224426647978229	20.1194721803529	7.27522015838367e-06	3.4966058122046e-05	Gene	Ttll4	TRUE	Hypermethylated	4.45635332486368	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
