gene	chr	start	end	hyper_dmr	baseline_mc	baseline_hmc	k119ub	atac_count	cpg_density	log_gene_length	log_expression	chromatin_state	pred_prob_full	mod_difference	dmr_qvalue	significant
Zfp385b	chr2	77410633	77819638	TRUE	0.492980120303711	0.308	1.047354	10	0.00926394542853999	5.61172861719839	4.14648918570125	Active_Promoter	0.983450875820516	0.0551065705333356	5.65202041337194e-199	TRUE
Neurl1a	chr19	47178819	47259440	TRUE	0.400566352923119	0.348	1.206267	9	0.00982374319346076	4.90644818071592	3.41639210107194	Active_Promoter	0.983358113742224	0.045082677514069	3.95294435704877e-23	TRUE
Dip2b	chr15	100038663	100219472	TRUE	0.444959353440428	0.337	0.988079	13	0.0100492785204276	5.25722004424253	3.52050116631209	Active_Promoter	0.983332881080956	0.0110440220610059	0.000383867547840227	TRUE
Vapa	chr17	65578326	65613554	TRUE	0.420548879584951	0.339	0.618797	1	0.00669921653230385	4.54688798767118	2.88986265899525	Active_Promoter	0.983140038763574	0.0496697196775798	1.02872242777796e-11	TRUE
Rnf130	chr11	50025345	50125718	TRUE	0.438049586436731	0.338	1.047048	3	0.00765146005399859	5.00161690476128	3.36518644341863	Other	0.983075007952236	0.0425418003094502	1.70166270931947e-24	TRUE
Rbfox1	chr16	5885354	7411525	FALSE	0.558870377986842	0.287	0.872208	15	0.00587941980289234	6.18360319691884	4.72787835178932	Active_Promoter	0.983028315723555	-0.00509474178681379	0.000188821836432354	TRUE
Arf1	chr11	59211411	59228269	TRUE	0.313841262732888	0.337	0.543019	2	0.00699964408589394	4.22680604950073	2.90852185145851	Active_Promoter	0.982986973553794	0.0457873202439265	3.73871327016094e-05	TRUE
Ccni	chr5	93181932	93206494	TRUE	0.377310050460783	0.3345	0.601133	3	0.00574057487175311	4.39026372702938	3.09729183296409	Active_Promoter	0.982957916120859	0.0548034006013359	2.07664267786314e-09	TRUE
Tab2	chr10	7905652	7956229	TRUE	0.440964434657707	0.3375	0.801392	6	0.00777033038733021	4.70395306537838	3.18621910261822	Active_Promoter	0.982949632333136	0.029952544943895	1.89942448853015e-07	TRUE
Dnajc5	chr2	181520484	181555132	TRUE	0.429861436682815	0.325	0.471237	4	0.00712883860540291	4.53967817072179	3.08183900116856	Active_Promoter	0.982915955253321	0.0493291062410047	1.39700602848246e-11	TRUE
Nsd1	chr13	55209781	55318324	TRUE	0.573078936428551	0.2925	0.31311	6	0.00677150990851552	5.0356018207946	3.61841238402543	Active_Promoter	0.982787676693656	0.0485166472960331	4.14536842789644e-32	TRUE
Epn2	chr11	61517248	61579686	TRUE	0.373475961725874	0.3565	1.07131	10	0.00581376725711906	4.79544898338982	3.33843315674321	Other	0.982735216735519	0.0567760319846583	2.62543288142747e-19	TRUE
Rnf182	chr13	43615709	43670944	TRUE	0.327515938887335	0.3555	1.009806	10	0.00910654476328415	4.7422143583445	3.11517668782115	Active_Promoter	0.982675464655734	0.128606158917684	1.39476622346048e-138	TRUE
Fbxl3	chr14	103080238	103099565	TRUE	0.31541958014006	0.36	1.142377	5	0.00998602990634863	4.28616444665352	2.93488422724276	Active_Promoter	0.982660788893971	0.0810934145673597	4.46596098733225e-28	TRUE
Akt3	chr1	177020072	177258202	TRUE	0.555782423951522	0.318	0.5593	11	0.00427497585352539	5.3768141119682	3.65441841140035	Other	0.982626469565672	0.0405405008418095	3.67930462353978e-32	TRUE
Ube2d1	chr10	71254979	71285261	TRUE	0.4882075352804	0.3325	0.894557	3	0.0123835942143848	4.48118455511733	2.93620062095988	Active_Promoter	0.982384567758666	0.0265374194970827	3.22069514187835e-05	TRUE
Srgap3	chr6	112717970	112947265	TRUE	0.406129876238273	0.3265	1.144577	14	0.00867005386074707	5.36039458462054	3.98304642520101	Active_Promoter	0.982375673293345	0.0201049135588679	5.75206010442981e-13	TRUE
Pkia	chr3	7366668	7445365	TRUE	0.482152404544855	0.3375	0.771309	6	0.00510819980431274	4.89595817698068	3.2488403199337	Active_Promoter	0.982228061324516	0.0276318766511397	1.50429134318212e-06	TRUE
Fem1a	chr17	56256809	56263609	TRUE	0.428721866920815	0.3595	0.997013	1	0.0110294117647059	3.83250891270624	2.48531131263704	Active_Promoter	0.98218536618127	0.0762531142228429	4.21035588015663e-07	TRUE
Mapk8ip2	chr15	89453912	89464467	TRUE	0.421884634774072	0.355	1.433086	3	0.011084793936523	4.02345823764368	3.06886574033838	Active_Promoter	0.981598685901906	0.0630978212712824	2.70692539045247e-06	TRUE
Sp3	chr2	72936426	72980445	TRUE	0.482329574180244	0.337	0.553433	5	0.00633817215293396	4.64364017226061	2.86132584288762	Other	0.981427031970904	0.0548282322290148	4.39392969270093e-16	TRUE
Adam10	chr9	70678996	70780228	TRUE	0.548485764281242	0.311	0.35632	4	0.00431681681681682	5.00531781711507	3.26837313561166	Active_Promoter	0.981323838918723	0.0384565573084166	1.28148949691822e-12	TRUE
Tubb4a	chr17	57080065	57087781	TRUE	0.334630425336745	0.3095	1.090505	3	0.0114048729911871	3.88739221897185	3.68497595496103	Other	0.981218311112231	0.0802978232573396	6.04068381382407e-09	TRUE
Xkr6	chr14	63606502	63820808	TRUE	0.435328738946955	0.3305	1.322083	10	0.0078952525827555	5.33103433030648	3.89426606415303	Active_Promoter	0.981031045369844	0.0268112426426269	1.2455648748465e-18	TRUE
Zbtb7a	chr10	81135219	81152994	TRUE	0.448284145218708	0.3455	1.312457	5	0.0151898734177215	4.2498096094018	2.91201291479247	Active_Promoter	0.981023059487761	0.0433793932971854	7.17415970860879e-08	TRUE
Fut9	chr4	25609331	25800243	TRUE	0.532574535155144	0.317	0.864524	7	0.00536896580623533	5.28083322734595	3.70047993092146	Active_Promoter	0.980991783117528	0.0620652573235234	8.68454137845597e-76	TRUE
Tcf4	chr18	69343355	69689078	TRUE	0.32705704957039	0.353	1.419166	38	0.0120587869479323	5.53872827292052	4.22134894120073	Active_Promoter	0.980968628837012	0.0514896225937254	3.34481930924189e-202	TRUE
Wac	chr18	7868831	7929027	TRUE	0.526405262427196	0.312	0.546402	4	0.0051996810419297	4.77956763352288	3.37025743570351	Active_Promoter	0.980909890993671	0.0439807404387021	8.93654070095745e-13	TRUE
Snx3	chr10	42502029	42535380	TRUE	0.539915441201372	0.3285	0.581277	2	0.00875535965938053	4.52310886038063	2.75087564134922	Active_Promoter	0.980832861816574	0.0423204119782013	1.40028376719446e-09	TRUE
Chka	chr19	3851772	3894368	TRUE	0.416215637241513	0.3185	0.566988	5	0.00777068269321063	4.62936881836351	3.16774228780244	Other	0.980590843482824	0.132498274317738	4.17071247001952e-102	TRUE
Atp2a2	chr5	122453512	122502224	TRUE	0.395841619333937	0.293	0.513397	6	0.00882739366069962	4.68763596104647	3.63455078798545	Other	0.980541668093437	0.0500479089604338	4.97942195961801e-20	TRUE
Zfand3	chr17	30004732	30210827	TRUE	0.528505141365942	0.328	1.012535	10	0.00887454814527281	5.31406745563778	3.4727851335061	Other	0.980488690280707	0.0123980288624905	1.88507056444777e-05	TRUE
Kdm6a	chrX	18162574	18279935	TRUE	0.531693623292185	0.3105	0.388317	3	0.0040302996736565	5.06952380135186	3.25260538731705	Active_Promoter	0.980425545338999	0.0385445468133299	9.26361821656497e-12	TRUE
Csnk1a1	chr18	61555273	61590060	TRUE	0.360000183843671	0.308	0.574456	3	0.00721533906344324	4.54141697719186	3.38883271004279	Active_Promoter	0.980403946181674	0.049329874209242	2.4708049407924e-12	TRUE
Adam22	chr5	8072351	8368159	FALSE	0.535415538789156	0.3025	0.821679	9	0.00644336867157075	5.47100991512698	3.92618728567088	Active_Promoter	0.980332318993023	-0.0015711645442481	0.770963988400565	FALSE
Prkcz	chr4	155260128	155361360	TRUE	0.383501504083469	0.3235	1.073068	12	0.0123478741899795	5.00531781711507	3.5492008839418	Active_Promoter	0.980326385182902	0.0350455308497557	1.1061676617141e-24	TRUE
Gsk3b	chr16	38089000	38246083	TRUE	0.525745859856327	0.303	0.663733	4	0.00791301413902205	5.19612918691341	3.49303322852736	Active_Promoter	0.980267801101633	0.00778187152922727	0.025012380644574	TRUE
Foxo3	chr10	42181840	42276754	TRUE	0.261737963983083	0.36	1.830781	15	0.013127673472828	4.97733027643477	3.66412924916245	Active_Promoter	0.980035836347914	0.0502811349321747	1.98540172132492e-56	TRUE
Mxi1	chr19	53310517	53375809	TRUE	0.321002562597227	0.319	0.979993	7	0.0149176009312014	4.81485997195353	3.23754256988174	Active_Promoter	0.979934002849218	0.0378864024716411	1.17813483125798e-25	TRUE
Arid1a	chr4	133679007	133756768	TRUE	0.373765981189986	0.32	0.831753	7	0.00893764226283098	4.89076183694509	3.395734120273	Active_Promoter	0.979890100517523	0.0382981550431579	1.47513151541407e-17	TRUE
Son	chr16	91647505	91679220	TRUE	0.511646153017777	0.2675	0.603273	1	0.0128015134794261	4.50126471573348	3.75345364539112	Active_Promoter	0.979881318573406	0.0270424589702185	2.45556285056641e-07	TRUE
Tulp4	chr17	6106436	6251127	TRUE	0.480612269251614	0.3245	0.971633	11	0.0078166575668148	5.16044151818264	3.56229504525296	Other	0.979473212424184	0.0430667463094783	7.41305809212722e-34	TRUE
Map2k4	chr11	65688242	65788296	TRUE	0.547343229685393	0.298	0.52287	1	0.00570691826413737	5.00023445572288	3.41954965887521	Other	0.979406292747168	0.0370710506049036	5.60174292962895e-15	TRUE
Rbfox2	chr15	77078989	77307003	TRUE	0.476626147870228	0.3185	0.811809	17	0.00732849737296833	5.35796151338679	3.74779570502012	Active_Promoter	0.979374312364857	0.0267331449615705	4.78700642492608e-20	TRUE
Slc4a4	chr5	88886485	89239652	FALSE	0.478993422216843	0.327	1.075205	30	0.00814062469030232	5.54798011623208	4.21022556092559	Active_Promoter	0.979346289376506	0.000877289780257695	0.675550540632305	FALSE
Nedd4l	chr18	64887704	65217827	TRUE	0.399053983988291	0.35	1.394286	34	0.0114593651457184	5.51867578311587	4.01952134142472	Active_Promoter	0.979271785083441	0.0459861095408191	3.04442560959478e-127	TRUE
Ric3	chr7	109034311	109083330	TRUE	0.449293263590231	0.3445	0.666649	11	0.00558966931189947	4.69036444728914	2.94107863638443	Other	0.979239632460778	0.0923614438034117	4.40273128205938e-42	TRUE
Negr1	chr3	156561793	157316444	TRUE	0.536295760279423	0.311	1.068348	26	0.00478631844388996	5.87774615187231	4.59139854277327	Active_Promoter	0.97920670158662	0.0595566850788951	1.792957940556e-236	TRUE
Tmem108	chr9	103482946	103761836	TRUE	0.47543152667488	0.308	1.076851	11	0.010021872422819	5.44543294229517	3.88490997858622	Active_Promoter	0.979176341157513	0.0210917297798837	8.29683295158568e-21	TRUE
Jarid2	chr13	44729473	44921642	TRUE	0.32061520605093	0.3455	1.298465	13	0.00726964286643527	5.28368333018585	3.63415500168607	Active_Promoter	0.979157105895465	0.0594326081400756	3.37687967773569e-95	TRUE
