gene	feature_type	Name	Chromosome	Start	End	ctrl_mc	mut_mc	delta_mc	ctrl_hmc	mut_hmc	delta_hmc	delta_mc_pct	delta_hmc_pct
Add3	SpliceSite_Donor	Add3_SpliceSite_Donor_9	19	53234911	53235010	0.9015	0.94375	0.04225	0.0985	0.0455	-0.053	4.23	-5.3
Add3	Intron	Add3_Intron_9	19	53235011	53236542	0.77675	0.802	0.0252500000000001	0.12375	0.08475	-0.039	2.53	-3.9
Add3	SpliceSite_Acceptor	Add3_SpliceSite_Acceptor_9	19	53236543	53236642	0.7105	0.7725	0.062	0.18575	0.12475	-0.061	6.2	-6.1
Add3	Exon	Add3_Exon_9	19	53236593	53236850	0.76875	0.81175	0.0429999999999999	0.14825	0.10125	-0.047	4.3	-4.7
Add3	SpliceSite_Donor	Add3_SpliceSite_Donor_10	19	53236801	53236900	0.90925	0.89375	-0.0155000000000001	0.078	0.07575	-0.00224999999999999	-1.55	-0.22
Add3	Intron	Add3_Intron_10	19	53236901	53238351	0.73325	0.76575	0.0325000000000001	0.117	0.102	-0.015	3.25	-1.5
Add3	SpliceSite_Acceptor	Add3_SpliceSite_Acceptor_10	19	53238352	53238451	0.91375	0.96625	0.0525	0.058	0.03375	-0.02425	5.25	-2.42
Add3	Exon	Add3_Exon_10	19	53238402	53238521	0.9225	0.97025	0.04775	0.0485	0.02675	-0.02175	4.77	-2.18
Add3	SpliceSite_Donor	Add3_SpliceSite_Donor_11	19	53238472	53238571	0.92725	0.9725	0.0452499999999999	0.04325	0.02275	-0.0205	4.52	-2.05
Add3	Intron	Add3_Intron_11	19	53238572	53239355	0.5945	0.65375	0.05925	0.1935	0.1595	-0.034	5.93	-3.4
Add3	SpliceSite_Acceptor	Add3_SpliceSite_Acceptor_11	19	53239356	53239455	0.82725	0.853	0.0257500000000002	0.13	0.109	-0.021	2.58	-2.1
Add3	Exon	Add3_Exon_11	19	53239406	53239492	0.7575	0.81475	0.05725	0.191	0.143	-0.048	5.73	-4.8
Add3	SpliceSite_Donor	Add3_SpliceSite_Donor_12	19	53239443	53239542	0.78075	0.83675	0.056	0.181	0.1375	-0.0435	5.6	-4.35
Add3	Intron	Add3_Intron_12	19	53239543	53242452	0.8575	0.873	0.0155000000000001	0.0875	0.06825	-0.01925	1.55	-1.93
Add3	SpliceSite_Acceptor	Add3_SpliceSite_Acceptor_12	19	53242453	53242552	0.82325	0.82575	0.00250000000000006	0.1	0.109	0.00900000000000001	0.25	0.9
Add3	Exon	Add3_Exon_12	19	53242503	53242626	0.79725	0.82725	0.03	0.1115	0.10425	-0.00724999999999998	3	-0.72
Add3	SpliceSite_Donor	Add3_SpliceSite_Donor_13	19	53242577	53242676	0.7695	0.78975	0.0202499999999999	0.119	0.1245	0.0055	2.02	0.55
Add3	Intron	Add3_Intron_13	19	53242677	53244946	0.743	0.77	0.027	0.1615	0.1255	-0.036	2.7	-3.6
Add3	Exon	Add3_Exon_13	19	53244997	53245286	0.6755	0.60925	-0.0662499999999999	0.16	0.18525	0.02525	-6.62	2.53
Add3	3UTR	Add3_3UTR_1	19	53245287	53247398	0.5055	0.50975	0.00424999999999986	0.2075	0.16775	-0.03975	0.42	-3.98
Afap1l2	3UTR	Afap1l2_3UTR_1	19	56912360	56913383	0.69	0.77225	0.08225	0.19025	0.12575	-0.0645	8.23	-6.45
Afap1l2	Intron	Afap1l2_Intron_1	19	56913458	56914073	0.79025	0.8445	0.05425	0.14425	0.075	-0.06925	5.43	-6.93
Afap1l2	SpliceSite_Acceptor	Afap1l2_SpliceSite_Acceptor_1	19	56914074	56914173	0.767	0.74625	-0.02075	0.09575	0.1655	0.06975	-2.08	6.97
Afap1l2	Exon	Afap1l2_Exon_2	19	56914124	56914252	0.73125	0.80525	0.0740000000000001	0.1665	0.1275	-0.039	7.4	-3.9
Afap1l2	SpliceSite_Donor	Afap1l2_SpliceSite_Donor_2	19	56914203	56914302	0.69175	0.867	0.17525	0.2355	0.08425	-0.15125	17.53	-15.12
Afap1l2	SpliceSite_Acceptor	Afap1l2_SpliceSite_Acceptor_2	19	56914319	56914418	0.84825	0.88675	0.0384999999999999	0.08925	0.06975	-0.0195	3.85	-1.95
Afap1l2	Exon	Afap1l2_Exon_3	19	56914369	56914562	0.90825	0.8885	-0.0197499999999999	0.07025	0.0705	0.000250000000000014	-1.97	0.03
Afap1l2	Intron	Afap1l2_Intron_3	19	56914613	56915620	0.66325	0.6875	0.0242499999999999	0.14275	0.093	-0.04975	2.42	-4.97
Afap1l2	Intron	Afap1l2_Intron_4	19	56915877	56916010	0.754	0.778	0.024	0.1785	0.12475	-0.05375	2.4	-5.37
Afap1l2	SpliceSite_Acceptor	Afap1l2_SpliceSite_Acceptor_4	19	56916011	56916110	0.7475	0.822	0.0745	0.205	0.08525	-0.11975	7.45	-11.97
Afap1l2	Exon	Afap1l2_Exon_5	19	56916061	56916241	0.71275	0.74925	0.0365000000000001	0.19475	0.119	-0.07575	3.65	-7.57
Afap1l2	SpliceSite_Donor	Afap1l2_SpliceSite_Donor_5	19	56916192	56916291	0.804	0.83175	0.0277499999999999	0.124	0.093	-0.031	2.77	-3.1
Afap1l2	Intron	Afap1l2_Intron_5	19	56916622	56917074	0.839	0.89625	0.05725	0.11525	0.059	-0.05625	5.73	-5.62
Afap1l2	SpliceSite_Acceptor	Afap1l2_SpliceSite_Acceptor_6	19	56917075	56917174	0.78425	0.821	0.03675	0.11	0.108	-0.00199999999999999	3.67	-0.2
Afap1l2	Exon	Afap1l2_Exon_7	19	56917125	56917236	0.83475	0.869	0.03425	0.07975	0.08525	0.0055	3.43	0.55
Afap1l2	SpliceSite_Donor	Afap1l2_SpliceSite_Donor_7	19	56917187	56917286	0.84275	0.89975	0.0569999999999999	0.06825	0.07025	0.002	5.7	0.2
Afap1l2	Intron	Afap1l2_Intron_6	19	56917287	56917930	0.66725	0.697	0.0297500000000001	0.153	0.0805	-0.0725	2.98	-7.25
Afap1l2	SpliceSite_Acceptor	Afap1l2_SpliceSite_Acceptor_7	19	56917931	56918030	0.82725	0.91	0.08275	0.00775	0.04	0.03225	8.27	3.22
Afap1l2	Exon	Afap1l2_Exon_8	19	56917981	56918126	0.7375	0.83225	0.0947499999999999	0.141	0.09125	-0.04975	9.47	-4.98
Afap1l2	SpliceSite_Donor	Afap1l2_SpliceSite_Donor_8	19	56918077	56918176	0.48575	0.5865	0.10075	0.2715	0.1865	-0.085	10.08	-8.5
Afap1l2	Intron	Afap1l2_Intron_7	19	56918177	56920325	0.51025	0.54775	0.0375	0.17	0.15	-0.02	3.75	-2
Afap1l2	SpliceSite_Acceptor	Afap1l2_SpliceSite_Acceptor_8	19	56920326	56920425	0.6205	0.717	0.0965000000000001	0.28125	0.23025	-0.051	9.65	-5.1
Afap1l2	Exon	Afap1l2_Exon_9	19	56920376	56920587	0.5735	0.638	0.0645	0.32075	0.2855	-0.03525	6.45	-3.53
Afap1l2	SpliceSite_Donor	Afap1l2_SpliceSite_Donor_9	19	56920538	56920637	0.67	0.6535	-0.0165	0.29325	0.3215	0.02825	-1.65	2.82
Afap1l2	Intron	Afap1l2_Intron_8	19	56920638	56922883	0.53825	0.626	0.08775	0.2515	0.20775	-0.04375	8.77	-4.38
Afap1l2	SpliceSite_Acceptor	Afap1l2_SpliceSite_Acceptor_9	19	56922884	56922983	0.64325	0.7515	0.10825	0.217	0.153	-0.064	10.83	-6.4
Afap1l2	Exon	Afap1l2_Exon_10	19	56922934	56923038	0.64175	0.72	0.0782499999999999	0.2595	0.2065	-0.053	7.82	-5.3
Afap1l2	Intron	Afap1l2_Intron_9	19	56923089	56923481	0.838	0.8885	0.0505000000000001	0.1125	0.07175	-0.04075	5.05	-4.07
Afap1l2	SpliceSite_Acceptor	Afap1l2_SpliceSite_Acceptor_10	19	56923482	56923581	0.71075	0.84975	0.139	0.2585	0.12175	-0.13675	13.9	-13.68
Afap1l2	Exon	Afap1l2_Exon_11	19	56923532	56923616	0.79175	0.872	0.08025	0.185	0.109	-0.076	8.03	-7.6
Afap1l2	SpliceSite_Donor	Afap1l2_SpliceSite_Donor_11	19	56923567	56923666	0.76125	0.8255	0.06425	0.19075	0.1425	-0.04825	6.43	-4.82
Afap1l2	Intron	Afap1l2_Intron_10	19	56923667	56925015	0.5815	0.64925	0.06775	0.186	0.1485	-0.0375	6.77	-3.75
Afap1l2	SpliceSite_Acceptor	Afap1l2_SpliceSite_Acceptor_11	19	56925016	56925115	0.44775	0.5865	0.13875	0.326	0.19075	-0.13525	13.88	-13.53
Afap1l2	Exon	Afap1l2_Exon_12	19	56925066	56925155	0.44775	0.5865	0.13875	0.326	0.19075	-0.13525	13.88	-13.53
Afap1l2	Intron	Afap1l2_Intron_11	19	56925206	56928197	0.47625	0.60075	0.1245	0.291	0.25125	-0.03975	12.45	-3.98
Afap1l2	SpliceSite_Acceptor	Afap1l2_SpliceSite_Acceptor_12	19	56928198	56928297	0.598	0.6205	0.0225	0.26825	0.2475	-0.02075	2.25	-2.07
Afap1l2	Exon	Afap1l2_Exon_13	19	56928248	56928427	0.61875	0.668	0.0492499999999999	0.25025	0.17675	-0.0735	4.92	-7.35
Afap1l2	SpliceSite_Donor	Afap1l2_SpliceSite_Donor_13	19	56928378	56928477	0.664	0.7505	0.0864999999999999	0.165	0.1205	-0.0445	8.65	-4.45
Afap1l2	Intron	Afap1l2_Intron_12	19	56928478	56930004	0.374	0.5015	0.1275	0.33	0.273	-0.057	12.75	-5.7
Afap1l2	Intron	Afap1l2_Intron_13	19	56930311	56937183	0.536	0.62725	0.0912499999999999	0.286	0.2495	-0.0365	9.12	-3.65
Afap1l2	SpliceSite_Acceptor	Afap1l2_SpliceSite_Acceptor_14	19	56937184	56937283	0.31825	0.22275	-0.0955	0.31825	0.24	-0.07825	-9.55	-7.83
Afap1l2	Exon	Afap1l2_Exon_15	19	56937234	56937324	0.402	0.40625	0.00424999999999998	0.324	0.2985	-0.0255	0.42	-2.55
Afap1l2	SpliceSite_Donor	Afap1l2_SpliceSite_Donor_15	19	56937275	56937374	0.402	0.40625	0.00424999999999998	0.324	0.2985	-0.0255	0.42	-2.55
Afap1l2	Intron	Afap1l2_Intron_14	19	56937375	56943393	0.54775	0.64275	0.0950000000000001	0.2545	0.22325	-0.03125	9.5	-3.13
Afap1l2	Intron	Afap1l2_Intron_15	19	56943589	56944653	0.69975	0.7475	0.0477500000000002	0.245	0.203	-0.042	4.78	-4.2
Afap1l2	SpliceSite_Acceptor	Afap1l2_SpliceSite_Acceptor_16	19	56944654	56944753	0.612	0.75325	0.14125	0.327	0.22225	-0.10475	14.12	-10.48
Afap1l2	Exon	Afap1l2_Exon_17	19	56944704	56944755	0.62925	0.7755	0.14625	0.32075	0.2245	-0.09625	14.62	-9.62
Afap1l2	SpliceSite_Donor	Afap1l2_SpliceSite_Donor_17	19	56944729	56944828	0.62925	0.7755	0.14625	0.32075	0.2245	-0.09625	14.62	-9.62
Afap1l2	Intron	Afap1l2_Intron_16	19	56944829	56950086	0.1925	0.33575	0.14325	0.30425	0.353	0.04875	14.32	4.87
Afap1l2	SpliceSite_Donor	Afap1l2_SpliceSite_Donor_18	19	56950216	56950315	0.31075	0.44825	0.1375	0.36725	0.47025	0.103	13.75	10.3
Afap1l2	Intron	Afap1l2_Intron_17	19	56950316	56963778	0.408	0.54575	0.13775	0.34625	0.3055	-0.04075	13.78	-4.08
Afap1l2	SpliceSite_Acceptor	Afap1l2_SpliceSite_Acceptor_18	19	56963779	56963878	0.63975	0.7635	0.12375	0.27175	0.129	-0.14275	12.38	-14.27
Afap1l2	SpliceSite_Donor	Afap1l2_SpliceSite_Donor_19	19	56963822	56963921	0.3905	0.57225	0.18175	0.52625	0.374	-0.15225	18.18	-15.22
Afap1l2	Intron	Afap1l2_Intron_18	19	56963922	56964745	0.3825	0.468	0.0855000000000001	0.3875	0.2815	-0.106	8.55	-10.6
Afap1l2	SpliceSite_Acceptor	Afap1l2_SpliceSite_Acceptor_19	19	56964746	56964845	0.6685	0.76725	0.09875	0.31075	0.20575	-0.105	9.88	-10.5
Afap1l2	5UTR	Afap1l2_5UTR_4	19	56964796	56964858	0.72275	0.789	0.06625	0.2495	0.17775	-0.07175	6.63	-7.17
Afap1l2	Intron	Afap1l2_Intron_19	19	56964909	57008099	0.33775	0.47975	0.142	0.35325	0.306	-0.04725	14.2	-4.72
Aig1	3UTR	Aig1_3UTR_1	10	13647053	13647670	0.71575	0.75725	0.0414999999999999	0.23	0.16975	-0.06025	4.15	-6.02
Aig1	SpliceSite_Donor	Aig1_SpliceSite_Donor_1	10	13647656	13647755	0.80575	0.874	0.0682499999999999	0.15775	0.1105	-0.04725	6.82	-4.73
Aig1	Intron	Aig1_Intron_1	10	13647756	13653534	0.62175	0.6685	0.04675	0.23225	0.17525	-0.057	4.67	-5.7
Aig1	SpliceSite_Acceptor	Aig1_SpliceSite_Acceptor_1	10	13653535	13653634	0.427	0.4765	0.0495	0.374	0.34125	-0.03275	4.95	-3.28
Aig1	Exon	Aig1_Exon_2	10	13653585	13653748	0.2925	0.37775	0.08525	0.4565	0.549	0.0924999999999999	8.52	9.25
Aig1	SpliceSite_Donor	Aig1_SpliceSite_Donor_2	10	13653699	13653798	0.3475	0.45575	0.10825	0.329	0.40275	0.0737499999999999	10.82	7.37
Aig1	Intron	Aig1_Intron_2	10	13653799	13690472	0.5685	0.62225	0.05375	0.2625	0.218	-0.0445	5.37	-4.45
Aig1	SpliceSite_Acceptor	Aig1_SpliceSite_Acceptor_2	10	13690473	13690572	0.318	0.46675	0.14875	0.4285	0.3285	-0.1	14.88	-10
Aig1	Exon	Aig1_Exon_3	10	13690523	13690638	0.42375	0.5335	0.10975	0.4375	0.37275	-0.06475	10.97	-6.47
Aig1	SpliceSite_Donor	Aig1_SpliceSite_Donor_3	10	13690589	13690688	0.51	0.5495	0.0395	0.36775	0.36175	-0.006	3.95	-0.6
Aig1	Intron	Aig1_Intron_3	10	13690689	13801796	0.56375	0.63775	0.074	0.2915	0.247	-0.0445	7.4	-4.45
Aig1	Exon	Aig1_Exon_4	10	13801847	13801948	0.3295	0.467	0.1375	0.61175	0.5025	-0.10925	13.75	-10.93
Aig1	SpliceSite_Donor	Aig1_SpliceSite_Donor_4	10	13801899	13801998	0.3295	0.467	0.1375	0.61175	0.5025	-0.10925	13.75	-10.93
Aig1	Intron	Aig1_Intron_4	10	13801999	13829191	0.55225	0.646	0.09375	0.33	0.27425	-0.05575	9.38	-5.58
Aig1	SpliceSite_Acceptor	Aig1_SpliceSite_Acceptor_4	10	13829192	13829291	0.68675	0.81525	0.1285	0.30575	0.16825	-0.1375	12.85	-13.75
Aig1	Exon	Aig1_Exon_5	10	13829242	13829397	0.67525	0.80675	0.1315	0.29	0.174	-0.116	13.15	-11.6
Aig1	SpliceSite_Donor	Aig1_SpliceSite_Donor_5	10	13829348	13829447	0.66675	0.82675	0.16	0.28475	0.1585	-0.12625	16	-12.62
Aig1	Intron	Aig1_Intron_5	10	13829448	13868566	0.378	0.49575	0.11775	0.34475	0.32475	-0.02	11.78	-2
Aig1	SpliceSite_Acceptor	Aig1_SpliceSite_Acceptor_5	10	13868567	13868666	0.01525	0	-0.01525	0	0	0	-1.52	0
Aig1	Exon	Aig1_Exon_6	10	13868617	13868757	0	0	0	0	0	0	0	0
Angpt1	3UTR	Angpt1_3UTR_1	15	42424722	42426971	0.88225	0.89225	0.01	0.0755	0.06125	-0.01425	1	-1.42
Angpt1	Exon	Angpt1_Exon_1	15	42426972	42427129	0.8275	0.82125	-0.00624999999999987	0.11575	0.08325	-0.0325	-0.62	-3.25
Angpt1	SpliceSite_Donor	Angpt1_SpliceSite_Donor_1	15	42427080	42427179	0.79525	0.68425	-0.111	0.077	0.0495	-0.0275	-11.1	-2.75
Angpt1	Intron	Angpt1_Intron_1	15	42427180	42438223	0.76725	0.7915	0.02425	0.118	0.07475	-0.04325	2.42	-4.32
Angpt1	SpliceSite_Acceptor	Angpt1_SpliceSite_Acceptor_1	15	42438224	42438323	0.44525	0.63225	0.187	0.3095	0.248	-0.0615	18.7	-6.15
Angpt1	Exon	Angpt1_Exon_2	15	42438274	42438404	0.35525	0.62125	0.266	0.27975	0.19825	-0.0815	26.6	-8.15
Angpt1	SpliceSite_Donor	Angpt1_SpliceSite_Donor_2	15	42438355	42438454	0.284	0.479	0.195	0.24575	0.2575	0.01175	19.5	1.18
Angpt1	Intron	Angpt1_Intron_2	15	42438455	42459615	0.792	0.834	0.0419999999999999	0.12425	0.0635	-0.06075	4.2	-6.08
Angpt1	SpliceSite_Acceptor	Angpt1_SpliceSite_Acceptor_2	15	42459616	42459715	0.6435	0.79575	0.15225	0.2865	0.1565	-0.13	15.22	-13
Angpt1	Exon	Angpt1_Exon_3	15	42459666	42459832	0.4935	0.67675	0.18325	0.35825	0.2195	-0.13875	18.32	-13.88
Angpt1	SpliceSite_Donor	Angpt1_SpliceSite_Donor_3	15	42459783	42459882	0.45225	0.65125	0.199	0.34725	0.19775	-0.1495	19.9	-14.95
Angpt1	Intron	Angpt1_Intron_3	15	42459883	42468104	0.80925	0.8245	0.01525	0.0845	0.04525	-0.03925	1.52	-3.92
Angpt1	Exon	Angpt1_Exon_4	15	42468155	42468256	0.893	0.85625	-0.0367500000000001	0.08125	0.097	0.01575	-3.68	1.58
Angpt1	Intron	Angpt1_Intron_4	15	42468307	42476326	0.7155	0.766	0.0505	0.14875	0.08975	-0.059	5.05	-5.9
Angpt1	Exon	Angpt1_Exon_5	15	42476377	42476504	0.856	0.7245	-0.1315	0.13225	0.239	0.10675	-13.15	10.67
Angpt1	SpliceSite_Donor	Angpt1_SpliceSite_Donor_5	15	42476455	42476554	0.856	0.7245	-0.1315	0.13225	0.239	0.10675	-13.15	10.67
Angpt1	Intron	Angpt1_Intron_5	15	42476555	42496175	0.80775	0.8395	0.0317499999999999	0.10775	0.06075	-0.047	3.17	-4.7
Angpt1	Exon	Angpt1_Exon_6	15	42496226	42496458	0.798	0.88475	0.08675	0.10575	0.047	-0.05875	8.67	-5.88
Angpt1	Intron	Angpt1_Intron_6	15	42496509	42512232	0.80475	0.847	0.04225	0.1305	0.0665	-0.064	4.23	-6.4
Angpt1	SpliceSite_Acceptor	Angpt1_SpliceSite_Acceptor_6	15	42512233	42512332	0.92125	0.923	0.00175000000000014	0.02825	0.0175	-0.01075	0.18	-1.07
Angpt1	Exon	Angpt1_Exon_7	15	42512283	42512404	0.90375	0.92075	0.0169999999999999	0.05	0.0335	-0.0165	1.7	-1.65
Angpt1	SpliceSite_Donor	Angpt1_SpliceSite_Donor_7	15	42512355	42512454	0.8995	0.8955	-0.004	0.066	0.048	-0.018	-0.4	-1.8
Angpt1	Intron	Angpt1_Intron_7	15	42512455	42523452	0.72875	0.77525	0.0465	0.173	0.098	-0.075	4.65	-7.5
Angpt1	SpliceSite_Acceptor	Angpt1_SpliceSite_Acceptor_7	15	42523453	42523552	0.60625	0.90725	0.301	0.301	0.05275	-0.24825	30.1	-24.83
Angpt1	Exon	Angpt1_Exon_8	15	42523503	42523658	0.58425	0.78125	0.197	0.229	0.07925	-0.14975	19.7	-14.97
Angpt1	SpliceSite_Donor	Angpt1_SpliceSite_Donor_8	15	42523609	42523708	0.6545	0.73925	0.08475	0.15575	0.097	-0.05875	8.47	-5.88
Angpt1	Intron	Angpt1_Intron_8	15	42523709	42676113	0.72075	0.78425	0.0635000000000001	0.16475	0.08125	-0.0835	6.35	-8.35
Angpt1	SpliceSite_Acceptor	Angpt1_SpliceSite_Acceptor_8	15	42676114	42676213	0	0	0	0	0	0	0	0
Angpt1	Exon	Angpt1_Exon_9	15	42676164	42676460	0	0.0015	0.0015	0	0.00225	0.00225	0.15	0.23
Angpt1	5UTR	Angpt1_5UTR_1	15	42676461	42676976	0.01325	0.01575	0.0025	0.00525	0.00825	0.003	0.25	0.3
Ank3	5UTR	Ank3_5UTR_1	10	69533771	69534220	0.005	0	-0.005	0	0	0	-0.5	0
