chr	start	end	mecp2_class	peak_group	cg_class	Fold	FDR	residual	ecker_ch	ecker_cg	SYMBOL
chr16	50007995	50008395	MeCP2 Up	CG-Concordant	CG Increase	3.45077911188098	4.16091352351555e-20	3.34945562978179	0.0228343687747185	0.00956714658665835	Cd47
chr12	39491677	39492077	MeCP2 Up	CG-Concordant	CG Increase	3.88088026976258	4.27486202433084e-20	3.81920423013302	0.0125704358640752	0.00876227400249377	Arl4a
chr3	137370368	137370768	MeCP2 Up	CG-Concordant	CG Increase	3.74953104776393	4.60862667467091e-20	3.69535768820207	0.0127775139939458	0.0289108771041147	Emcn
chr1	23005450	23005850	MeCP2 Up	CG-Concordant	CG Increase	3.17834862041476	4.99992542186814e-20	3.12275730882977	0.00915561590408744	0.00903259429551122	Ppp1r14bl
chr6	20760014	20760414	MeCP2 Up	Non-CG Candidate	CG Unchanged	4.18004648202265	5.26908642984257e-20	4.13496491106984	0.0165086398992753	0	Kcnd2
chr5	39455248	39455648	MeCP2 Up	Non-CG Candidate	CG Decrease	3.49370344235047	7.28757898250663e-20	3.45264434792279	0.0164940470174661	0.0336463528678304	4930513D17Rik
chr4	33521885	33522285	MeCP2 Up	Non-CG Candidate	CG Decrease	2.71959810567104	7.90536911795929e-20	2.68012931637515	0.0173246949688158	0.0239562227244389	Mir8118
chr10	66634225	66634625	MeCP2 Up	Non-CG Candidate	CG Decrease	3.12963568636456	1.15106064159683e-19	3.11540847615465	0.00955177364206671	0.00948434577618454	1110002J07Rik
chr10	105576195	105576595	MeCP2 Up	CG-Concordant	CG Increase	3.54531944688188	1.29130415567555e-19	3.43632483260805	0.0124518853470572	0.0155050605907107	Gm15663
chr3	123827546	123827946	MeCP2 Up	CG-Concordant	CG Increase	3.69286964712672	1.34067264180659e-19	3.55834295703344	0.00987117129965613	0.0104097665991272	Ndst3
chr2	143244015	143244415	MeCP2 Up	Non-CG Candidate	CG Decrease	3.85151523910173	1.40210245206602e-19	3.8092242284619	0.00953241476691572	0.0330813591022444	Otor
chr6	103271306	103271706	MeCP2 Up	Non-CG Candidate	CG Decrease	3.53407562041415	1.51587346873359e-19	3.49322856820694	0.00872427923720971	0.00900215282107232	Chl1
chr4	66554231	66554631	MeCP2 Up	CG-Concordant	CG Increase	4.03312221280652	2.50474911637914e-19	3.96335876242566	0.0128415837846789	0.0189248558291771	Astn2
chr18	39392411	39392811	MeCP2 Up	CG-Concordant	CG Increase	3.81325989167935	2.84366697635997e-19	3.76752801803551	0.0160265230478491	0.0140006429239401	Arhgap26
chr19	23363789	23364189	MeCP2 Up	CG-Concordant	CG Increase	3.07812634022082	3.01202502772395e-19	3.02241794073245	0.0103827022257588	0.0175976075436409	Mamdc2
chr18	39350196	39350596	MeCP2 Up	CG-Concordant	CG Increase	3.9537753362746	3.24344384846216e-19	3.85417391612508	0.00892728581987414	0.0248974731140898	Arhgap26
chr5	39322619	39323019	MeCP2 Up	Non-CG Candidate	CG Decrease	3.91898092665307	3.36752078047644e-19	3.87527202897928	0.00887535456707353	0.00451142651184539	4930513D17Rik
chr6	51850077	51850477	MeCP2 Up	CG-Concordant	CG Increase	3.82144431920693	3.59353554204714e-19	3.47869429756895	0.0046533028086522	0.00720443154808292	Skap2
chr13	111202170	111202570	MeCP2 Up	CG-Concordant	CG Increase	3.64921157819176	3.64742205944845e-19	3.6002582557336	0.0164678483235271	0.0143781172069825	3110015C05Rik
chr10	115020722	115021122	MeCP2 Up	CG-Concordant	CG Increase	3.29215180274429	4.0135228395929e-19	3.19589056084202	0.0122757719044673	0.0232658100841646	Tph2
chr3	141598623	141599023	MeCP2 Up	CG-Concordant	CG Increase	3.85038133971977	4.0135228395929e-19	3.66730772896755	0.00803356218219101	0.00417657029301746	Unc5c
chr11	93699394	93699794	MeCP2 Up	CG-Concordant	CG Increase	3.36575374889542	4.90883094570733e-19	3.30566722419949	0.0184548680027227	0.00792817760286783	Utp18
chr1	83496886	83497286	MeCP2 Up	CG-Concordant	CG Increase	4.2423726417435	4.94001184065383e-19	4.17737798918408	0.00799381703212671	0.00852604816084788	Sphkap
chr15	31990767	31991167	MeCP2 Up	CG-Concordant	CG Increase	2.91430917028515	5.35424607275009e-19	2.77802971694531	0.0199483552775775	0.00911326420277431	Tas2r119
chr19	17160835	17161235	MeCP2 Up	CG-Concordant	CG Increase	3.78545525997859	7.0558981928967e-19	3.57949816768808	0.00634876926640917	0.009516004909601	Prune2
chr2	125027522	125027922	MeCP2 Up	CG-Concordant	CG Increase	3.10754880951125	7.27363979704824e-19	3.04778845110385	0.0169914321709155	0.02680067409601	Slc24a5
chr8	98862260	98862660	MeCP2 Up	Non-CG Candidate	CG Unchanged	3.38843686357563	7.27363979704824e-19	3.34335529262282	0.0103454304454927	0	Gm15679
chr15	52163278	52163678	MeCP2 Up	CG-Concordant	CG Increase	3.07850487458605	7.50040166600708e-19	2.90908677215068	0.00963562087822436	0.0239598757013716	Aard
chr10	46330346	46330746	MeCP2 Up	CG-Concordant	CG Increase	3.39955887151482	7.59256908309945e-19	3.23921058367516	0.00757401958665348	0.00984401179668017	D030045P18Rik
chr18	38857293	38857693	MeCP2 Up	CG-Concordant	CG Increase	3.09407899036481	8.54828388890296e-19	2.98123614623197	0.0106163405420774	0.0244201507948878	Fgf1
chr10	114916803	114917203	MeCP2 Up	CG-Concordant	CG Increase	3.21461324776364	8.54828388890296e-19	3.02457267509159	0.0096184404710879	0.00592634624376559	Trhde
chr9	73164114	73164514	MeCP2 Up	CG-Concordant	CG Increase	3.17374860860099	9.24059598502708e-19	2.9943742101407	0.0129207886959846	0.0171775913000701	Rsl24d1
chr10	66187195	66187595	MeCP2 Up	CG-Concordant	CG Increase	3.3682375486098	9.24059598502708e-19	3.2174462601645	0.00780538430534991	0.0109978958852868	4930407I19Rik
chr15	40363781	40364181	MeCP2 Up	CG-Concordant	CG Increase	3.8461533742352	9.24059598502708e-19	3.76031531147143	0.0181752915988837	0.0193826956047382	Gm16294
chr5	84761535	84761935	MeCP2 Up	Non-CG Candidate	CG Unchanged	3.76380702004973	1.07795570212487e-18	3.71872544909692	0.012277265439307	0	Epha5
chr15	31971448	31971848	MeCP2 Up	CG-Concordant	CG Increase	2.94889230915752	1.18261668763458e-18	2.88897490874447	0.0183975524141307	0.00715618181109726	Tas2r119
chr3	136164565	136164965	MeCP2 Up	Non-CG Candidate	CG Unchanged	3.25415803206399	1.1839868681008e-18	3.20907646111118	0.00784096277860037	0	Bank1
chr15	42322949	42323349	MeCP2 Up	Non-CG Candidate	CG Decrease	3.84644377165821	1.20033881586333e-18	3.80886045961131	0.0126083259867908	0.00487428888715711	Angpt1
chr17	88403072	88403472	MeCP2 Up	CG-Concordant	CG Increase	3.06152650239495	1.30532564547954e-18	2.89855995503972	0.00620022438410809	0.00970778619856608	Foxn2
chr2	41899724	41900124	MeCP2 Up	CG-Concordant	CG Increase	3.32550249948032	1.32977457946325e-18	3.25166865619484	0.011719149544352	0.0189954800498753	Lrp1b
chr2	141824325	141824725	MeCP2 Up	CG-Concordant	CG Increase	4.11658300316997	1.56142538582254e-18	4.02161177084931	0.0134413664477722	0.00977780158977556	Macrod2
chr3	137098616	137099016	MeCP2 Up	CG-Concordant	CG Increase	3.50907432849892	1.67273894583542e-18	3.4455973811932	0.0102947025822285	0.0094076332605985	Gm567
chr5	133891207	133891607	MeCP2 Up	CG-Concordant	CG Increase	3.8360016864321	1.67273894583542e-18	3.76156323361937	0.0187822089825485	0.0147495031951372	Castor2
chr2	59467903	59468303	MeCP2 Up	Non-CG Candidate	CG Decrease	2.63788140157598	2.6796265831575e-18	2.59610957830017	0.024717640103842	0.0287038750779302	Dapl1
chr1	23657079	23657479	MeCP2 Up	CG-Concordant	CG Increase	3.11306285616161	2.72360862290637e-18	2.90095559125355	0.0134679456601416	0.0239309563006546	Gm28822
chr14	24957641	24958041	MeCP2 Up	CG-Concordant	CG Increase	2.81632559878832	3.08092548819056e-18	2.72898133349278	0.0153976116989022	0.0134125136377805	Gm32123
chr3	20820592	20820992	MeCP2 Up	CG-Concordant	CG Increase	3.5386573645217	3.08092548819056e-18	3.45404237432198	0.0161871113384751	0.0135513267612219	Agtr1b
chr2	141843329	141843729	MeCP2 Up	CG-Concordant	CG Increase	4.1669095086158	3.93435497170807e-18	4.02437795970374	0.017481692116754	0.00951722256857855	Macrod2
chr14	48910843	48911243	MeCP2 Up	CG-Concordant	CG Increase	3.46354047220864	4.0886561177528e-18	3.40936350440494	0.0143224854124454	0.0275958054083541	4933429O19Rik
chr3	53419569	53419969	MeCP2 Up	CG-Concordant	CG Increase	3.13280113653636	5.00353783339656e-18	2.87891379965926	0.00743054511243863	0.000643532769638404	Nhlrc3
chr1	28215767	28216167	MeCP2 Up	CG-Concordant	CG Increase	3.60676830676009	5.00353783339656e-18	3.54778785243488	0.0218262327579489	0.0145583307356608	Gm5524
chr7	92127294	92127694	MeCP2 Up	CG-Concordant	CG Increase	3.75221982093006	5.45215325219896e-18	3.70236992371262	0.014111078885428	0.00969500077930175	4930567K12Rik
chr14	107686025	107686425	MeCP2 Up	Non-CG Candidate	CG Unchanged	4.05153142642866	5.45215325219896e-18	4.00644985547585	0.0137680795721877	0	1700128A07Rik
chr18	33761595	33761995	MeCP2 Up	Non-CG Candidate	CG Unchanged	4.52684152272768	6.56672325872464e-18	4.48175995177487	0.0173465700220883	0	Epb41l4aos
chr5	38867226	38867626	MeCP2 Up	CG-Concordant	CG Increase	3.89447812994259	7.40347322073292e-18	3.73189545970403	0.0126871979444699	0.00439574890897756	Clnk
chr14	27271716	27272116	MeCP2 Up	CG-Concordant	CG Increase	2.97173888471114	9.3761814661233e-18	2.85647150789335	0.00935184925868921	0.0331032769638404	Arhgef3
chr15	52410976	52411376	MeCP2 Up	Non-CG Candidate	CG Decrease	3.47395450839668	1.59572065525644e-17	3.42970743246838	0.0212568059526477	0.0094575572786783	Slc30a8
chr12	26196222	26196622	MeCP2 Up	CG-Concordant	CG Increase	3.04532015203899	2.19055645400229e-17	2.97240422087415	0.0137240631027412	0.0307093594139651	Gm29687
chr4	75335545	75335945	MeCP2 Up	Non-CG Candidate	CG Unchanged	4.32673032332533	2.20971180441606e-17	4.28164875237252	0.0112346687221765	0	Dmac1
chr5	38876323	38876723	MeCP2 Up	CG-Concordant	CG Increase	3.33322444509235	2.23874354430314e-17	3.25403611524781	0.0141616688107612	0.0192195293017456	Clnk
chr18	30814085	30814485	MeCP2 Up	CG-Concordant	CG Increase	3.82958498359488	2.33013204994078e-17	3.76344576324544	0.0125458733993873	0.0146289549563591	Rit2
chr14	58785101	58785501	MeCP2 Up	CG-Concordant	CG Increase	3.62122961632903	2.55180077862436e-17	3.46136978098775	0.0120703965945731	0.0082618161627182	1700129C05Rik
chr13	44404135	44404535	MeCP2 Up	Non-CG Candidate	CG Decrease	3.00616007267216	2.5654295725087e-17	2.96828036052478	0.0100785918961142	0.0184877162562344	1700029N11Rik
chr19	23561524	23561924	MeCP2 Up	Non-CG Candidate	CG Decrease	3.46131829267867	2.69019298930568e-17	3.4520831132313	0.0158432082939624	0.0139531542238155	Cfap95
chr10	105570487	105570887	MeCP2 Up	CG-Concordant	CG Increase	3.54734898709547	2.71564749085065e-17	3.38037553478079	0.0069594918343789	0.00803533159289277	Gm15663
chr10	66359134	66359534	MeCP2 Up	CG-Concordant	CG Increase	3.67829157004659	2.71564749085065e-17	3.59024208632071	0.00964708399594276	0.0190770632013716	1700023F02Rik
chr2	79483807	79484207	MeCP2 Up	CG-Concordant	CG Increase	4.11082227036965	2.90147068768965e-17	4.03086800342725	0.0128063763168982	0.0144109939993766	Cerkl
chr4	33893014	33893414	MeCP2 Up	CG-Concordant	CG Increase	3.75620619313211	3.16011302054119e-17	3.64477332605629	0.0112706800351416	0.00855161899937656	Cnr1
chr12	39372959	39373359	MeCP2 Up	CG-Concordant	CG Increase	3.90726513423977	3.52229983363459e-17	3.85720268567213	0.00801038860977439	0.00413395222880299	Etv1
chr8	44694936	44695336	MeCP2 Up	CG-Concordant	CG Increase	3.22706148306803	3.88635601444985e-17	2.83501622051134	0.00372046187631507	0.00906236986269677	Fat1
chr14	16094923	16095323	MeCP2 Up	CG-Concordant	CG Increase	4.09456682771625	5.5016452007342e-17	4.04472483687567	0.00901108549122798	0.0141991213372818	Oxsm
chr1	122050528	122050928	MeCP2 Up	Non-CG Candidate	CG Unchanged	3.46731489605923	6.19458211184195e-17	3.42223332510642	0.0157532632499562	0	Gm28590
chr1	52269226	52269626	MeCP2 Up	CG-Concordant	CG Increase	3.97972684953783	6.22591407208003e-17	3.86393453134305	0.0102694409149246	0.00276165056109726	Gls
chr18	12789693	12790093	MeCP2 Up	CG-Concordant	CG Increase	3.42584737639622	6.35355664103658e-17	3.34588033569239	0.00603232062665602	0.00837262312967581	Osbpl1a
chr5	74264776	74265176	MeCP2 Up	CG-Concordant	CG Increase	3.27106150802125	7.89069198050139e-17	3.12439876788433	0.0270063252817663	0.016472490648379	Scfd2
chr1	193303396	193303796	MeCP2 Up	CG-Concordant	CG Increase	3.04726587259106	8.13072310268626e-17	3.09618450427031	0.0127215682717036	0.0136682220230673	Lamb3
chr13	76307803	76308203	MeCP2 Up	CG-Concordant	CG Increase	3.446921782021	1.50148360999108e-13	3.32767261854284	0.0102502627860281	0.00433243064214464	Fam81b
chr12	39337293	39337693	MeCP2 Up	CG-Concordant	CG Increase	4.09276124270356	1.51675338872045e-13	3.97172448925511	0.00768675768464581	0.0045942273223192	Etv1
chr12	39324937	39325337	MeCP2 Up	CG-Concordant	CG Increase	3.56769258726649	1.54356468414632e-13	3.45020180369724	0.00901967569479621	0.00430929512157107	Etv1
chr1	59564459	59564859	MeCP2 Up	CG-Concordant	CG Increase	2.73771125365351	1.56194285052217e-13	2.68115352312476	0.013155435386144	0.00485602400249377	Gm973
chr16	63085672	63086072	MeCP2 Up	Non-CG Candidate	CG Decrease	3.02153950990444	1.59810341563305e-13	2.98073640416079	0.0270555643666712	0.00489742440773067	Pros1
chr8	79220941	79221341	MeCP2 Up	CG-Concordant	CG Increase	2.66019186539365	1.67820905984799e-13	2.60965905306069	0.013492451047065	0.0189467736907731	1700011L22Rik
chr3	65301541	65301941	MeCP2 Up	CG-Concordant	CG Increase	2.47428019278482	1.73988479495275e-13	2.18440314628856	0.00426539280765372	0.000266001408831437	A330015K06Rik
chr15	39733401	39733801	MeCP2 Up	CG-Concordant	CG Increase	2.84763621835095	1.73988479495275e-13	2.7751711803108	0.0103788780155325	0.0234971652899003	Dcstamp
chr17	80940999	80941399	MeCP2 Up	CG-Concordant	CG Increase	2.79143165069289	1.78267009284081e-13	2.71872069191207	0.0234271879505338	0.0153047556889027	Tmem178
chr18	54984327	54984727	MeCP2 Up	CG-Concordant	CG Increase	3.42911798829395	1.80746642805751e-13	3.27865591884265	0.0109446803827833	0.0084590769170823	Zfp608
chr11	93646037	93646437	MeCP2 Up	Non-CG Candidate	CG Decrease	3.6415739110067	1.81356540603334e-13	3.60149707891043	0.021220675727673	0.0048828125	Utp18
chr15	39820250	39820650	MeCP2 Up	CG-Concordant	CG Increase	3.08175629554318	1.83177146248617e-13	2.97729766280359	0.0106069797886875	0.0173930408354115	Gm16291
chr1	23003623	23004023	MeCP2 Up	CG-Concordant	CG Increase	3.31389062379004	1.87428038656809e-13	3.10824876463164	0.00907078883297128	0.0072852536627182	Ppp1r14bl
chr8	40300800	40301200	MeCP2 Up	CG-Concordant	CG Increase	3.31112958006904	1.88407080705142e-13	3.19248065158585	0.00487341369476699	0.0171324618142145	Micu3
chr4	66543278	66543678	MeCP2 Up	CG-Concordant	CG Increase	3.11239596831144	1.94710016141936e-13	3.0106710117926	0.0228229341958824	0.00784050615648379	Astn2
chr14	93882869	93883269	MeCP2 Up	CG-Concordant	CG Increase	3.35011931605895	2.03830570533515e-13	2.92238125771412	0.00720739007887995	0.0046607419439682	Pcdh9
chr3	137115110	137115510	MeCP2 Up	Non-CG Candidate	CG Decrease	3.26555887438991	2.08781028490164e-13	3.24313607970234	0.0200105415020798	0.00968038887157107	Gm567
chr5	68350941	68351341	MeCP2 Up	CG-Concordant	CG Increase	2.91892551578297	2.13696131676956e-13	2.81238156177083	0.0122849423986421	0.00528372671836035	Grxcr1
chr11	98331017	98331417	MeCP2 Up	CG-Concordant	CG Increase	2.43616058409792	2.27913282987606e-13	2.36152103652943	0.0142686610804532	0.0145163215009352	Neurod2
chr4	81577800	81578200	MeCP2 Up	CG-Concordant	CG Increase	2.69614704518852	2.48608309242914e-13	2.60948528203657	0.0114254083419381	0.0228524148612843	Mpdz
chr16	79716560	79716960	MeCP2 Up	Non-CG Candidate	CG Unchanged	2.62087410280289	2.5205204952752e-13	2.57579253185008	0.0328538661585782	0	1700066C05Rik
chr2	57899001	57899401	MeCP2 Up	CG-Concordant	CG Increase	3.4447263915623	2.55744482920304e-13	3.39721191983983	0.0135153487436195	0.00426545939837905	Galnt5
chr4	142068759	142069159	MeCP2 Up	Non-CG Candidate	CG Unchanged	3.08756916963631	2.67482160791641e-13	3.0424875986835	0.0186611755827716	0.0421468301901496	Tmem51os1
chr18	39375156	39375556	MeCP2 Up	CG-Concordant	CG Increase	2.67628122286676	2.76660463979015e-13	2.71593780936475	0.0101499581277519	0.0328463509195761	Arhgap26
chr16	67120576	67120976	MeCP2 Up	CG-Concordant	CG Increase	2.66804267701527	9.83175034716492e-13	2.60228844684	0.0168899859573478	0.00899241154925187	Cadm2
chr9	28613028	28613428	MeCP2 Up	CG-Concordant	CG Increase	3.02908050690673	1.01697952258581e-12	2.95683970883139	0.00903651363534523	0.0145218009663342	Opcml
chr4	119811529	119811929	MeCP2 Up	CG-Concordant	CG Increase	2.70613622157736	1.07476589068151e-12	2.52728936123862	0.0195176179272278	0.00760184499688279	Hivep3
chr7	75310311	75310711	MeCP2 Up	CG-Concordant	CG Increase	2.60280432867696	1.09511756345777e-12	2.50080182542819	0.0154656008294693	0.0179580346009975	Sv2b
chr3	137337205	137337605	MeCP2 Up	Non-CG Candidate	CG Decrease	2.99961080104809	1.15400614138014e-12	2.97282225552189	0.0115536335400512	0.00959880572007481	Emcn
chr3	133161767	133162167	MeCP2 Up	Non-CG Candidate	CG Decrease	3.29726845488695	1.18204946811702e-12	3.25633164121176	0.0178892939465302	0.00493638949501247	Arhgef38
chr18	39351723	39352123	MeCP2 Up	CG-Concordant	CG Increase	3.41262491590692	1.18204946811702e-12	3.34950157664614	0.0140859551560552	0.00921402548316708	Arhgap26
chr4	33898961	33899361	MeCP2 Up	CG-Concordant	CG Increase	3.26861909531582	1.2412359496556e-12	3.20533551586446	0.00682654820772775	0.00466728686097257	Cnr1
chr15	66311441	66311841	MeCP2 Up	CG-Concordant	CG Increase	3.05274946069277	1.28127256806957e-12	2.9885064457472	0.0209655666589142	0.00776866427680798	Kcnq3
chr4	39209830	39210230	MeCP2 Up	Non-CG Candidate	CG Decrease	3.18140880567394	1.33293477252987e-12	3.14048632558291	0.00787098568276574	0.0117686740180798	1700009N14Rik
chr8	35955886	35956286	MeCP2 Up	CG-Concordant	CG Increase	3.25406507098758	1.39133473030579e-12	3.09067754211155	0.0148475247428304	0.0261443559071072	5430403N17Rik
