gene	chr	start	end	chromatin_state	is_polycomb_broad	is_polycomb_strict	h3k27me3_overlap	mc_diff	mc_sig	mc_hyper	mc_hypo	hmc_diff	hmc_sig	hmc_hyper	hmc_hypo	dmr_status
Prxl2b	chr4	154895503	154899134	Active_Promoter	FALSE	FALSE	FALSE	0.215503293571978	TRUE	TRUE	FALSE	-0.0451903607472336	TRUE	FALSE	TRUE	Both mC+hmC DMR
Syt1	chr10	108497649	109010981	Active_Promoter	FALSE	FALSE	FALSE	0.173138279538543	TRUE	TRUE	FALSE	-0.149653303443115	TRUE	FALSE	TRUE	Both mC+hmC DMR
Tmem238	chr7	4784556	4789655	Other	FALSE	FALSE	FALSE	0.202948019567946	TRUE	TRUE	FALSE	-0.124535661232602	TRUE	FALSE	TRUE	Both mC+hmC DMR
Ripply2	chr9	87015536	87019916	Active_Promoter	FALSE	FALSE	FALSE	0.186290557972284	TRUE	TRUE	FALSE	-0.0540996569016488	TRUE	FALSE	TRUE	Both mC+hmC DMR
Higd2a	chr13	54590206	54591157	Active_Promoter	FALSE	FALSE	FALSE	0.00201612903225806	FALSE	FALSE	FALSE	-0.0138103422737461	FALSE	FALSE	FALSE	Not DMR
Sap30	chr8	57482706	57487859	Active_Promoter	FALSE	FALSE	FALSE	0.211953324709116	TRUE	TRUE	FALSE	-0.0544488852139743	TRUE	FALSE	TRUE	Both mC+hmC DMR
Hoxa4	chr6	52189670	52191752	Repressed_Promoter	TRUE	TRUE	TRUE	0.00804092218053777	FALSE	FALSE	FALSE	-0.00576026246353302	FALSE	FALSE	FALSE	Not DMR
Arf6	chr12	69372149	69373782	Active_Promoter	FALSE	FALSE	FALSE	0.0390102300439166	TRUE	TRUE	FALSE	-0.00194104060383106	FALSE	FALSE	FALSE	mC DMR only
Magea1	chrX	155088685	155089792	Other	FALSE	FALSE	FALSE	0.100044691323761	FALSE	FALSE	FALSE	-0.149255541406704	FALSE	FALSE	FALSE	Not DMR
Plekhj1	chr10	80796098	80798625	Active_Promoter	FALSE	FALSE	FALSE	0.0383853919446311	TRUE	TRUE	FALSE	0.00812326749907681	FALSE	FALSE	FALSE	mC DMR only
Bhlhe40	chr6	108660628	108666924	Active_Promoter	FALSE	FALSE	FALSE	0.216559777294325	TRUE	TRUE	FALSE	-0.0248506543949298	TRUE	FALSE	TRUE	Both mC+hmC DMR
Mrpl53	chr6	83109039	83109938	Active_Promoter	FALSE	FALSE	FALSE	0.0273793807201065	TRUE	TRUE	FALSE	0.00193369975521866	FALSE	FALSE	FALSE	mC DMR only
A330070K13Rik	chr5	130378777	130384630	Other	FALSE	FALSE	FALSE	0.185823966874757	TRUE	TRUE	FALSE	-0.0553867696751865	TRUE	FALSE	TRUE	Both mC+hmC DMR
H2-Ke6	chr17	34026032	34028059	Other	FALSE	FALSE	FALSE	0.0402933275327481	TRUE	TRUE	FALSE	-0.0205112609608718	FALSE	FALSE	FALSE	mC DMR only
C030006K11Rik	chr15	76721464	76723844	Active_Promoter	FALSE	FALSE	FALSE	0.0315334513336105	FALSE	FALSE	FALSE	-0.00704861999379326	FALSE	FALSE	FALSE	Not DMR
Ly6g6e	chr17	35076901	35078803	Other	FALSE	FALSE	FALSE	0.158691721848252	TRUE	TRUE	FALSE	-0.101885663311484	TRUE	FALSE	TRUE	Both mC+hmC DMR
Gclm	chr3	122245556	122270731	Active_Promoter	FALSE	FALSE	FALSE	0.163626383332672	TRUE	TRUE	FALSE	-0.109341876534835	TRUE	FALSE	TRUE	Both mC+hmC DMR
Cldn5	chr16	18776846	18778261	Repressed_Promoter	TRUE	TRUE	TRUE	0.0131578386258425	FALSE	FALSE	FALSE	-0.0198084099358852	FALSE	FALSE	FALSE	Not DMR
Zic5	chr14	122456794	122465676	Active_Promoter	FALSE	FALSE	FALSE	0.089333524155842	TRUE	TRUE	FALSE	0.0138557880125574	TRUE	TRUE	FALSE	Both mC+hmC DMR
Tnfsf13	chr11	69682845	69685783	Other	FALSE	FALSE	FALSE	0.146649608250268	TRUE	TRUE	FALSE	-0.00862503661474565	FALSE	FALSE	FALSE	mC DMR only
Rpp25l	chr4	41712032	41713533	Active_Promoter	FALSE	FALSE	FALSE	0.021603370566631	TRUE	TRUE	FALSE	0.0129602484200439	FALSE	FALSE	FALSE	mC DMR only
2310033P09Rik	chr11	59208320	59210737	Other	FALSE	FALSE	FALSE	0.0530013677976948	TRUE	TRUE	FALSE	-0.0231030771907005	FALSE	FALSE	FALSE	mC DMR only
Abtb1	chr6	88835913	88841983	Active_Promoter	FALSE	FALSE	FALSE	0.148505571397798	TRUE	TRUE	FALSE	-0.0504551682099579	TRUE	FALSE	TRUE	Both mC+hmC DMR
Bhlha9	chr11	76672469	76673675	Other	FALSE	FALSE	FALSE	0.0895640736813185	FALSE	FALSE	FALSE	-0.132466681733102	TRUE	FALSE	TRUE	hmC DMR only
Lrrc26	chr2	25289914	25291179	Other	FALSE	FALSE	FALSE	-0.00202148456800636	FALSE	FALSE	FALSE	-0.00393438414610678	FALSE	FALSE	FALSE	Not DMR
Ubc	chr5	125385964	125390201	Other	FALSE	FALSE	FALSE	0.0388835401206091	TRUE	TRUE	FALSE	-0.02652114670079	FALSE	FALSE	FALSE	mC DMR only
Cnfn	chr7	25367619	25369723	Other	FALSE	FALSE	FALSE	-0.0105276585978172	FALSE	FALSE	FALSE	-0.0236432376313725	TRUE	FALSE	TRUE	hmC DMR only
AY074887	chr9	54950229	54950997	Other	FALSE	FALSE	FALSE	0.0742741350601505	TRUE	TRUE	FALSE	-0.0368886181312936	FALSE	FALSE	FALSE	mC DMR only
Galnt7	chr8	57523827	57653031	Active_Promoter	FALSE	FALSE	FALSE	0.162788287901922	TRUE	TRUE	FALSE	-0.0745554585017827	TRUE	FALSE	TRUE	Both mC+hmC DMR
Gm1673	chr5	33983432	33985012	Active_Promoter	FALSE	FALSE	FALSE	0.03048001185872	FALSE	FALSE	FALSE	-0.0372023036455859	FALSE	FALSE	FALSE	Not DMR
Mt2	chr8	94172663	94173567	Repressed_Promoter	TRUE	TRUE	TRUE	-0.00931219191918705	FALSE	FALSE	FALSE	-0.013695685416744	FALSE	FALSE	FALSE	Not DMR
Atoh7	chr10	63099650	63101278	Other	FALSE	FALSE	FALSE	0.0371807929298745	TRUE	TRUE	FALSE	-0.00907431119280984	FALSE	FALSE	FALSE	mC DMR only
Tmem256	chr11	69838513	69839617	Active_Promoter	FALSE	FALSE	FALSE	0.0472312935732086	TRUE	TRUE	FALSE	0.00549008206638046	FALSE	FALSE	FALSE	mC DMR only
Gm45337	chr7	142143340	142144606	Other	FALSE	FALSE	FALSE	-0.0328566041801336	FALSE	FALSE	FALSE	-0.0946173924115101	FALSE	FALSE	FALSE	Not DMR
Gpr62	chr9	106463961	106465937	Active_Promoter	FALSE	FALSE	FALSE	0.040102355177244	TRUE	TRUE	FALSE	0.0240516649744451	FALSE	FALSE	FALSE	mC DMR only
Mcu	chr10	59446983	59616691	Active_Promoter	FALSE	FALSE	FALSE	0.142137210855473	TRUE	TRUE	FALSE	-0.0944174928500678	TRUE	FALSE	TRUE	Both mC+hmC DMR
H4c11	chr13	21735063	21735836	Active_Promoter	FALSE	FALSE	FALSE	-0.00246896054947465	FALSE	FALSE	FALSE	-0.00381641954554308	FALSE	FALSE	FALSE	Not DMR
Gpr68	chr12	100876681	100908197	Active_Promoter	FALSE	FALSE	FALSE	0.162567747047773	TRUE	TRUE	FALSE	-0.0871033833156893	TRUE	FALSE	TRUE	Both mC+hmC DMR
Samd10	chr2	181595217	181599211	Active_Promoter	FALSE	FALSE	FALSE	0.0961683679914814	TRUE	TRUE	FALSE	-0.0444450086731226	TRUE	FALSE	TRUE	Both mC+hmC DMR
Gm5136	chr10	108698763	108700159	Other	FALSE	FALSE	FALSE	0.125990638009662	TRUE	TRUE	FALSE	-0.123099470685328	TRUE	FALSE	TRUE	Both mC+hmC DMR
Zic2	chr14	122475434	122479851	Active_Promoter	FALSE	FALSE	FALSE	0.00374234599743701	FALSE	FALSE	FALSE	-0.000200469678610649	FALSE	FALSE	FALSE	Not DMR
Scd2	chr19	44293673	44306863	Active_Promoter	FALSE	FALSE	FALSE	0.0920971237060903	TRUE	TRUE	FALSE	-0.0298075736412426	TRUE	FALSE	TRUE	Both mC+hmC DMR
Tmem88	chr11	69396518	69398233	Active_Promoter	FALSE	FALSE	FALSE	0.131744786095412	TRUE	TRUE	FALSE	0.0122289981040185	FALSE	FALSE	FALSE	mC DMR only
Bhlhe41	chr6	145858242	145865557	Active_Promoter	FALSE	FALSE	FALSE	0.102419237463644	TRUE	TRUE	FALSE	-0.0267714025084663	TRUE	FALSE	TRUE	Both mC+hmC DMR
Tssk5	chr15	76371951	76374937	Other	FALSE	FALSE	FALSE	0.137817160825713	TRUE	TRUE	FALSE	-0.0797306589340282	TRUE	FALSE	TRUE	Both mC+hmC DMR
Taar7a	chr10	23992404	23993480	Other	FALSE	FALSE	FALSE	0.0907246635504538	FALSE	FALSE	FALSE	-0.0584524716293688	FALSE	FALSE	FALSE	Not DMR
Cnr1	chr4	33924592	33948830	Active_Promoter	FALSE	FALSE	FALSE	0.156555408467778	TRUE	TRUE	FALSE	0.0108585009044822	FALSE	FALSE	FALSE	mC DMR only
Tmem141	chr2	25620066	25622004	Other	FALSE	FALSE	FALSE	0.0801257834538313	TRUE	TRUE	FALSE	-0.0194482802226458	FALSE	FALSE	FALSE	mC DMR only
Lrrn1	chr6	107529767	107570213	Active_Promoter	FALSE	FALSE	FALSE	0.137802817859855	TRUE	TRUE	FALSE	-0.0693689510246577	TRUE	FALSE	TRUE	Both mC+hmC DMR
Amigo1	chr3	108186334	108192285	Active_Promoter	FALSE	FALSE	FALSE	0.135919939262634	TRUE	TRUE	FALSE	-0.0793056006820435	TRUE	FALSE	TRUE	Both mC+hmC DMR
Tceal6	chrX	135208686	135210686	Other	FALSE	FALSE	FALSE	-0.0763361630042503	FALSE	FALSE	FALSE	-0.063499240153638	FALSE	FALSE	FALSE	Not DMR
Inka2	chr3	105704598	105720841	Active_Promoter	FALSE	FALSE	FALSE	0.168496128492795	TRUE	TRUE	FALSE	-0.0208849301519937	TRUE	FALSE	TRUE	Both mC+hmC DMR
Btbd17	chr11	114791216	114795944	Other	FALSE	FALSE	FALSE	0.137029780082412	TRUE	TRUE	FALSE	0.0295886908938406	FALSE	FALSE	FALSE	mC DMR only
Tusc1	chr4	93334137	93335510	Active_Promoter	FALSE	FALSE	FALSE	0.0800896157426584	FALSE	FALSE	FALSE	-0.107162621109856	TRUE	FALSE	TRUE	hmC DMR only
Scg2	chr1	79434668	79440119	Active_Promoter	FALSE	FALSE	FALSE	0.164124260301168	TRUE	TRUE	FALSE	-0.0246744388656844	TRUE	FALSE	TRUE	Both mC+hmC DMR
Ccnq	chr11	78750505	78751728	Other	FALSE	FALSE	FALSE	0.0679723613423291	TRUE	TRUE	FALSE	-0.0478534372509179	TRUE	FALSE	TRUE	Both mC+hmC DMR
Ifna6	chr4	88827415	88827984	Other	FALSE	FALSE	FALSE	0.0786283891547049	FALSE	FALSE	FALSE	-0.0648524720893142	FALSE	FALSE	FALSE	Not DMR
Zic4	chr9	91362412	91389347	Active_Promoter	FALSE	FALSE	FALSE	0.129079921350548	TRUE	TRUE	FALSE	0.021819989081962	TRUE	TRUE	FALSE	Both mC+hmC DMR
Hnrnpa0	chr13	58125878	58128555	Active_Promoter	FALSE	FALSE	FALSE	0.00779234248331598	FALSE	FALSE	FALSE	-0.0176552813920855	TRUE	FALSE	TRUE	hmC DMR only
Fjx1	chr2	102449365	102452498	Active_Promoter	FALSE	FALSE	FALSE	-0.0166486437504969	FALSE	FALSE	FALSE	-0.0433134931782036	TRUE	FALSE	TRUE	hmC DMR only
Mcam	chr9	44134468	44142726	Other	FALSE	FALSE	FALSE	0.132332402499776	TRUE	TRUE	FALSE	-0.0813840331948875	TRUE	FALSE	TRUE	Both mC+hmC DMR
Otud1	chr2	19657751	19660582	Active_Promoter	FALSE	FALSE	FALSE	0.102767503570984	TRUE	TRUE	FALSE	-0.0385220735078587	TRUE	FALSE	TRUE	Both mC+hmC DMR
Ackr1	chr1	173331885	173333749	Other	FALSE	FALSE	FALSE	0.057766891473379	TRUE	TRUE	FALSE	-0.0166512739144622	FALSE	FALSE	FALSE	mC DMR only
Nab2	chr10	127660917	127668567	Active_Promoter	FALSE	FALSE	FALSE	0.0554370769473903	TRUE	TRUE	FALSE	0.00676837690599606	FALSE	FALSE	FALSE	mC DMR only
Thrsp	chr7	97412937	97417729	Other	FALSE	FALSE	FALSE	0.159260984346886	TRUE	TRUE	FALSE	0.00682322996271173	FALSE	FALSE	FALSE	mC DMR only
Kctd12	chr14	102976580	102982636	Active_Promoter	FALSE	FALSE	FALSE	0.132547190244836	TRUE	TRUE	FALSE	-0.0236657368903954	TRUE	FALSE	TRUE	Both mC+hmC DMR
Rasl11b	chr5	74195285	74199480	Active_Promoter	FALSE	FALSE	FALSE	0.12541088436625	TRUE	TRUE	FALSE	-0.0520464863477479	TRUE	FALSE	TRUE	Both mC+hmC DMR
Gm3424	chr14	5821933	5830328	Other	FALSE	FALSE	FALSE	0.0283738556764873	FALSE	FALSE	FALSE	-0.0508682655064234	FALSE	FALSE	FALSE	Not DMR
Hmgcl	chr4	135946447	135962616	Other	FALSE	FALSE	FALSE	0.140669505661283	TRUE	TRUE	FALSE	-0.06006875025784	TRUE	FALSE	TRUE	Both mC+hmC DMR
Ccndbp1	chr2	121008402	121016903	Active_Promoter	FALSE	FALSE	FALSE	0.131145159902574	TRUE	TRUE	FALSE	-0.0690731518043568	TRUE	FALSE	TRUE	Both mC+hmC DMR
1810037I17Rik	chr3	122924202	122926183	Active_Promoter	FALSE	FALSE	FALSE	0.0961384309740294	TRUE	TRUE	FALSE	0.00652360281572054	FALSE	FALSE	FALSE	mC DMR only
Tmem64	chr4	15265830	15286752	Active_Promoter	FALSE	FALSE	FALSE	0.153634974562263	TRUE	TRUE	FALSE	-0.0662312353228351	TRUE	FALSE	TRUE	Both mC+hmC DMR
Taar5	chr10	23970705	23971718	Other	FALSE	FALSE	FALSE	0.0757618965355861	TRUE	TRUE	FALSE	-0.0440562176617755	FALSE	FALSE	FALSE	mC DMR only
Nrn1	chr13	36725360	36735130	Bivalent_Promoter	TRUE	FALSE	TRUE	0.0334586947934856	TRUE	TRUE	FALSE	0.00785925693020544	FALSE	FALSE	FALSE	mC DMR only
Tbcc	chr17	46890683	46891846	Active_Promoter	FALSE	FALSE	FALSE	0.0212361188073063	FALSE	FALSE	FALSE	0.0267378771313939	FALSE	FALSE	FALSE	Not DMR
Gm18596	chr10	77741795	77742637	Other	FALSE	FALSE	FALSE	0.102335045222976	FALSE	FALSE	FALSE	-0.0683332771156047	FALSE	FALSE	FALSE	Not DMR
Mpp3	chr11	101999651	102028460	Active_Promoter	FALSE	FALSE	FALSE	0.126199376744528	TRUE	TRUE	FALSE	-0.0458604238277978	TRUE	FALSE	TRUE	Both mC+hmC DMR
Boc	chr16	44485048	44558896	Active_Promoter	FALSE	FALSE	FALSE	0.128611993779712	TRUE	TRUE	FALSE	-0.0176194948726115	TRUE	FALSE	TRUE	Both mC+hmC DMR
Xk	chrX	9272755	9313249	Other	FALSE	FALSE	FALSE	0.118002013647643	TRUE	TRUE	FALSE	-0.0884200245197536	TRUE	FALSE	TRUE	Both mC+hmC DMR
Hmx3	chr7	131542866	131544924	Repressed_Promoter	TRUE	TRUE	TRUE	-0.0168776660294595	FALSE	FALSE	FALSE	-0.00520833333333333	FALSE	FALSE	FALSE	Not DMR
Cd300ld3	chr11	115042130	115048408	Other	FALSE	FALSE	FALSE	0.161333435039462	TRUE	TRUE	FALSE	0.00777771050880327	FALSE	FALSE	FALSE	mC DMR only
Ccsap	chr8	123840830	123860208	Active_Promoter	FALSE	FALSE	FALSE	0.119898763476033	TRUE	TRUE	FALSE	-0.0629970439610273	TRUE	FALSE	TRUE	Both mC+hmC DMR
Rnf182	chr13	43615709	43670944	Active_Promoter	FALSE	FALSE	FALSE	0.129429705158798	TRUE	TRUE	FALSE	-0.0401548463875043	TRUE	FALSE	TRUE	Both mC+hmC DMR
Rnf227	chr11	69340460	69342640	Other	FALSE	FALSE	FALSE	0.118816001819883	TRUE	TRUE	FALSE	-0.0678424361163397	TRUE	FALSE	TRUE	Both mC+hmC DMR
Zfp608	chr18	54888047	54992554	Active_Promoter	FALSE	FALSE	FALSE	0.12394714759679	TRUE	TRUE	FALSE	-0.0642693260924636	TRUE	FALSE	TRUE	Both mC+hmC DMR
Tmem109	chr19	10870659	10882000	Active_Promoter	FALSE	FALSE	FALSE	0.106349905578196	TRUE	TRUE	FALSE	-0.036662757675936	TRUE	FALSE	TRUE	Both mC+hmC DMR
Lpcat3	chr6	124663026	124704417	Other	FALSE	FALSE	FALSE	0.128894897260965	TRUE	TRUE	FALSE	-0.0691361399113782	TRUE	FALSE	TRUE	Both mC+hmC DMR
Prag1	chr8	36094827	36147786	Active_Promoter	FALSE	FALSE	FALSE	0.123800456695648	TRUE	TRUE	FALSE	-0.0448224389389501	TRUE	FALSE	TRUE	Both mC+hmC DMR
Flrt3	chr2	140650913	140671468	Active_Promoter	FALSE	FALSE	FALSE	0.162552480848417	TRUE	TRUE	FALSE	-0.0441726773540707	TRUE	FALSE	TRUE	Both mC+hmC DMR
Slc39a1	chr3	90248171	90253611	Other	FALSE	FALSE	FALSE	0.126173479392043	TRUE	TRUE	FALSE	-0.0509121142658193	TRUE	FALSE	TRUE	Both mC+hmC DMR
Syn2	chr6	115134901	115282005	Active_Promoter	FALSE	FALSE	FALSE	0.130328694883986	TRUE	TRUE	FALSE	-0.0667062381396212	TRUE	FALSE	TRUE	Both mC+hmC DMR
Ndor1	chr2	25244818	25246862	Other	FALSE	FALSE	FALSE	0.112035352865939	TRUE	TRUE	FALSE	-0.0539974988995257	TRUE	FALSE	TRUE	Both mC+hmC DMR
Enkd1	chr8	105703650	105708209	Active_Promoter	FALSE	FALSE	FALSE	0.191927179565295	TRUE	TRUE	FALSE	0.0433510832614834	TRUE	TRUE	FALSE	Both mC+hmC DMR
Pnmal2	chr7	16944681	16948827	Active_Promoter	FALSE	FALSE	FALSE	0.0244836788803577	TRUE	TRUE	FALSE	-0.0135172745229404	FALSE	FALSE	FALSE	mC DMR only
Syt4	chr18	31437807	31447405	Active_Promoter	FALSE	FALSE	FALSE	0.12714936839884	TRUE	TRUE	FALSE	0.0372724160255243	TRUE	TRUE	FALSE	Both mC+hmC DMR
Rps6ka5	chr12	100548438	100726982	Active_Promoter	FALSE	FALSE	FALSE	0.115988850712457	TRUE	TRUE	FALSE	-0.0863977539950389	TRUE	FALSE	TRUE	Both mC+hmC DMR
Exoc3l	chr8	105289923	105296100	Active_Promoter	FALSE	FALSE	FALSE	0.176934946660433	TRUE	TRUE	FALSE	0.00254439026358233	FALSE	FALSE	FALSE	mC DMR only
Scd1	chr19	44394454	44407878	Active_Promoter	FALSE	FALSE	FALSE	0.179788554883271	TRUE	TRUE	FALSE	0.025865506732709	TRUE	TRUE	FALSE	Both mC+hmC DMR
Max	chr12	76937268	76962200	Active_Promoter	FALSE	FALSE	FALSE	0.133463477635117	TRUE	TRUE	FALSE	-0.0476584189566179	TRUE	FALSE	TRUE	Both mC+hmC DMR
Slc16a13	chr11	70216788	70221063	Active_Promoter	FALSE	FALSE	FALSE	0.142245862144334	TRUE	TRUE	FALSE	0.0105813410060958	FALSE	FALSE	FALSE	mC DMR only
Chka	chr19	3851772	3894368	Other	FALSE	FALSE	FALSE	0.12670803290434	TRUE	TRUE	FALSE	-0.0580004907171924	TRUE	FALSE	TRUE	Both mC+hmC DMR
Preb	chr5	30950852	30960360	Active_Promoter	FALSE	FALSE	FALSE	0.106157132084283	TRUE	TRUE	FALSE	-0.0472149433825025	TRUE	FALSE	TRUE	Both mC+hmC DMR
Vamp2	chr11	69088489	69092383	Active_Promoter	FALSE	FALSE	FALSE	0.0687559869216162	TRUE	TRUE	FALSE	-0.0206003514082101	FALSE	FALSE	FALSE	mC DMR only
Uqcc3	chr19	8880013	8880922	Other	FALSE	FALSE	FALSE	0.0167303716825129	FALSE	FALSE	FALSE	-0.0168741930873898	FALSE	FALSE	FALSE	Not DMR
Ndst3	chr3	123526165	123690852	Active_Promoter	FALSE	FALSE	FALSE	0.1204049212253	TRUE	TRUE	FALSE	-0.0572693423306202	TRUE	FALSE	TRUE	Both mC+hmC DMR
Rnf208	chr2	25242928	25244261	Active_Promoter	FALSE	FALSE	FALSE	0.109504037394609	TRUE	TRUE	FALSE	-0.0123644210846454	FALSE	FALSE	FALSE	mC DMR only
Bloc1s1	chr10	128917881	128924034	Other	FALSE	FALSE	FALSE	0.13833494002856	TRUE	TRUE	FALSE	0.0193062908254125	TRUE	TRUE	FALSE	Both mC+hmC DMR
Rpl37a	chr1	72711289	72713812	Active_Promoter	FALSE	FALSE	FALSE	0.0418327302048797	TRUE	TRUE	FALSE	-0.0350303117884576	TRUE	FALSE	TRUE	Both mC+hmC DMR
Gadd45g	chr13	51846677	51848467	Active_Promoter	FALSE	FALSE	FALSE	-0.0121115031445671	FALSE	FALSE	FALSE	-0.0372447598325755	TRUE	FALSE	TRUE	hmC DMR only
Barhl2	chr5	106452522	106458165	Active_Promoter	FALSE	FALSE	FALSE	0.0599344596016404	TRUE	TRUE	FALSE	0.029318104585622	TRUE	TRUE	FALSE	Both mC+hmC DMR
Fzd1	chr5	4753838	4758034	Active_Promoter	FALSE	FALSE	FALSE	0.00413830578041652	FALSE	FALSE	FALSE	-0.0901386957644706	TRUE	FALSE	TRUE	hmC DMR only
Nab1	chr1	52457293	52500678	Active_Promoter	FALSE	FALSE	FALSE	0.106783623864911	TRUE	TRUE	FALSE	-0.0716947425910995	TRUE	FALSE	TRUE	Both mC+hmC DMR
Mpig6b	chr17	35062692	35066183	Other	FALSE	FALSE	FALSE	0.0847053861725226	TRUE	TRUE	FALSE	-0.016723543932377	FALSE	FALSE	FALSE	mC DMR only
Hr	chr14	70552211	70573547	Active_Promoter	FALSE	FALSE	FALSE	0.156196714861968	TRUE	TRUE	FALSE	-0.00420955255737709	FALSE	FALSE	FALSE	mC DMR only
Thap11	chr8	105855131	105856949	Active_Promoter	FALSE	FALSE	FALSE	0.0464497526174727	TRUE	TRUE	FALSE	0.0393432117980809	TRUE	TRUE	FALSE	Both mC+hmC DMR
Foxn2	chr17	88440710	88490532	Active_Promoter	FALSE	FALSE	FALSE	0.122230804570348	TRUE	TRUE	FALSE	-0.0408071948520444	TRUE	FALSE	TRUE	Both mC+hmC DMR
Lgi1	chr19	38264535	38312213	Other	FALSE	FALSE	FALSE	0.137128718547332	TRUE	TRUE	FALSE	-0.0689376887599581	TRUE	FALSE	TRUE	Both mC+hmC DMR
Mrpl43	chr19	45004828	45006441	Other	FALSE	FALSE	FALSE	0.0921266654052662	TRUE	TRUE	FALSE	-0.050334036885821	TRUE	FALSE	TRUE	Both mC+hmC DMR
Egr1	chr18	34859822	34864983	Active_Promoter	FALSE	FALSE	FALSE	0.0973231926993094	TRUE	TRUE	FALSE	-0.0189271043224022	FALSE	FALSE	FALSE	mC DMR only
Ndufb7	chr8	83566670	83571625	Active_Promoter	FALSE	FALSE	FALSE	0.0755218872281166	TRUE	TRUE	FALSE	-0.0402049213857446	TRUE	FALSE	TRUE	Both mC+hmC DMR
Cox8a	chr19	7215152	7217615	Other	FALSE	FALSE	FALSE	0.0624938205287956	TRUE	TRUE	FALSE	0.0291106598387761	FALSE	FALSE	FALSE	mC DMR only
Zfp687	chr3	95006589	95015447	Active_Promoter	FALSE	FALSE	FALSE	0.0943543140496558	TRUE	TRUE	FALSE	-0.0497390119376933	TRUE	FALSE	TRUE	Both mC+hmC DMR
