gene	chromatin_state	mc_diff	hmc_diff	delta_ratio	mc_sig	hmc_sig	atac_fold	atac_fdr	atac_concordant	k27ac_fold	k27ac_fdr	k27ac_concordant	k27me3_fold	k27me3_fdr	k27me3_concordant	k119ub_fold	k119ub_fdr	k119ub_concordant	n_concordant	dmr_group
Cldn3	Repressed_Promoter	0.018744077449011	-0.0771818687497056	-0.205033109875214	FALSE	FALSE	0.958172118406388	0.00607733027806076	FALSE	NA	NA	FALSE	-0.146867494456257	0.538532006019724	FALSE	-0.43268663931923	0.00997749007198838	FALSE	0	Non-DMR
Frat1	Active_Promoter	0.103326641066874	-0.0195419652773269	-0.185400888003847	TRUE	FALSE	-0.486475706997197	0.00278329916989182	TRUE	-0.0323376313109085	0.855710143246356	FALSE	NA	NA	FALSE	0.119150799564201	0.631101666153897	FALSE	1	mC Hyper
Gpr22	Active_Promoter	0.164985186171975	-0.0121353797916432	-0.182520273780377	TRUE	FALSE	-0.107991529607986	0.539402579058214	FALSE	-0.251275440726879	0.16454729180746	FALSE	NA	NA	FALSE	1.00573169599638	1.2048174514233e-17	TRUE	1	mC Hyper
AL731706.2	Other	0.148966165413534	-0.093295739348371	-0.18072249010617	FALSE	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Zcchc3	Active_Promoter	0.191499133233443	0.0167460378184597	-0.180393296717816	TRUE	FALSE	-0.320318532558111	0.0567780113104385	FALSE	-0.463150627389762	0.00919056205660615	TRUE	NA	NA	FALSE	NA	NA	FALSE	1	mC Hyper
Prxl2b	Active_Promoter	0.215503293571978	-0.0451903607472336	-0.178973849676933	TRUE	TRUE	0.00537223263971089	0.97981579006856	FALSE	-0.361293528455006	0.0243980392492978	TRUE	NA	NA	FALSE	-0.0678762653384376	0.748890149774096	FALSE	1	mC Hyper
Syt1	Active_Promoter	0.173138279538543	-0.149653303443115	-0.178724115601608	TRUE	TRUE	-1.11266159150267	5.53047441505025e-11	TRUE	-2.24063162710741	1.7280445459324e-42	TRUE	3.83677376580842	1.08747855408839e-63	TRUE	1.29872901696794	1.21005470711887e-40	TRUE	4	mC Hyper
Tmem238	Other	0.202948019567946	-0.124535661232602	-0.175116256288751	TRUE	TRUE	-0.142373729222424	0.445806862482237	FALSE	-1.3077751235603	4.16600153559575e-09	TRUE	NA	NA	FALSE	NA	NA	FALSE	1	mC Hyper
Ripply2	Active_Promoter	0.186290557972284	-0.0540996569016488	-0.172977330262098	TRUE	TRUE	0.210276764190477	0.176984819314975	FALSE	-0.410655257809373	0.00434539553918227	TRUE	NA	NA	FALSE	0.614332126838017	1.60659263425931e-09	TRUE	2	mC Hyper
Higd2a	Active_Promoter	0.00201612903225806	-0.0138103422737461	-0.169618468587541	FALSE	FALSE	-0.75116979760808	0.000460326249017365	TRUE	0.210646630768592	0.135070918698265	FALSE	NA	NA	FALSE	NA	NA	FALSE	1	Non-DMR
Sap30	Active_Promoter	0.211953324709116	-0.0544488852139743	-0.168835113168445	TRUE	TRUE	0.0427124653395375	0.818212797053028	FALSE	-0.813358570311884	3.14188600553205e-07	TRUE	NA	NA	FALSE	0.747402963642258	3.60033715346968e-09	TRUE	2	mC Hyper
Hoxa4	Repressed_Promoter	0.00804092218053777	-0.00576026246353302	-0.168532780488722	FALSE	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	-0.577709826169625	4.15976781977782e-05	FALSE	0	Non-DMR
Arf6	Active_Promoter	0.0390102300439166	-0.00194104060383106	-0.167839947688683	TRUE	FALSE	0.0469630148362266	0.790161747100055	FALSE	-0.229503680316686	0.0970813238961328	FALSE	NA	NA	FALSE	0.0394280462869571	0.841778761533174	FALSE	0	mC Hyper
Magea1	Other	0.100044691323761	-0.149255541406704	-0.167480264722265	FALSE	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Plekhj1	Active_Promoter	0.0383853919446311	0.00812326749907681	-0.159263206114419	TRUE	FALSE	0.0612121341267737	0.733737005702485	FALSE	0.161616819940906	0.298582885729652	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	mC Hyper
Bhlhe40	Active_Promoter	0.216559777294325	-0.0248506543949298	-0.154254625278107	TRUE	TRUE	0.0499218287299727	0.79734993185267	FALSE	-0.0596880518414399	0.684642936529199	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	mC Hyper
Mrpl53	Active_Promoter	0.0273793807201065	0.00193369975521866	-0.153644148955532	TRUE	FALSE	0.180558304508087	0.307558224263328	FALSE	0.201173191242821	0.132566477596872	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	mC Hyper
A330070K13Rik	Other	0.185823966874757	-0.0553867696751865	-0.153259312024724	TRUE	TRUE	0.665421288691696	0.00477447824999896	FALSE	-0.330476497341351	0.0185731391495056	TRUE	NA	NA	FALSE	-0.469522200295962	0.00245859994639289	FALSE	1	mC Hyper
H2-Ke6	Other	0.0402933275327481	-0.0205112609608718	-0.152838187595376	TRUE	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	mC Hyper
C030006K11Rik	Active_Promoter	0.0315334513336105	-0.00704861999379326	-0.152146156824949	FALSE	FALSE	0.0843492591056059	0.647179700364456	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Ly6g6e	Other	0.158691721848252	-0.101885663311484	-0.14999400023207	TRUE	TRUE	-0.731971642056355	9.22369147043449e-06	TRUE	-0.953733130173326	1.03267969649446e-05	TRUE	NA	NA	FALSE	NA	NA	FALSE	2	mC Hyper
Gclm	Active_Promoter	0.163626383332672	-0.109341876534835	-0.144906830938034	TRUE	TRUE	-0.0629769241599408	0.724726256266532	FALSE	-1.32047172561438	1.19730373562672e-21	TRUE	3.61791358160929	2.01381270351543e-29	TRUE	1.58188468577145	1.04017049901628e-34	TRUE	3	mC Hyper
Cldn5	Repressed_Promoter	0.0131578386258425	-0.0198084099358852	-0.142992826844414	FALSE	FALSE	NA	NA	FALSE	NA	NA	FALSE	-0.273485144158414	0.155748284865147	FALSE	-0.455054594087815	6.82716471553283e-05	FALSE	0	Non-DMR
Zic5	Active_Promoter	0.089333524155842	0.0138557880125574	-0.142375740825872	TRUE	TRUE	-0.388583323990603	0.0155020341360069	TRUE	-0.636091371043759	8.54173014802305e-05	TRUE	NA	NA	FALSE	0.621548375085796	6.13341545237926e-11	TRUE	3	mC Hyper
Tnfsf13	Other	0.146649608250268	-0.00862503661474565	-0.141154824070045	TRUE	FALSE	-0.694721516454645	0.000111967153384523	TRUE	-1.86829561365241	6.75611390704802e-37	TRUE	NA	NA	FALSE	0.467702128354451	0.00968031671733668	TRUE	3	mC Hyper
Rpp25l	Active_Promoter	0.021603370566631	0.0129602484200439	-0.139967778756338	TRUE	FALSE	0.136109056611193	0.476084936557142	FALSE	-0.188193425923373	0.185066485916116	FALSE	NA	NA	FALSE	0.449546122463544	0.00125862430565798	TRUE	1	mC Hyper
2310033P09Rik	Other	0.0530013677976948	-0.0231030771907005	-0.136919552201861	TRUE	FALSE	0.0716037416818449	0.68348592642681	FALSE	0.249048717900476	0.0744696698354408	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	mC Hyper
Abtb1	Active_Promoter	0.148505571397798	-0.0504551682099579	-0.135459619705556	TRUE	TRUE	-0.0293070800179472	0.894600062566191	FALSE	-0.247948349365258	0.0603531020935286	FALSE	NA	NA	FALSE	0.152239499852159	0.384032900048225	FALSE	0	mC Hyper
Bhlha9	Other	0.0895640736813185	-0.132466681733102	-0.134987798537088	FALSE	TRUE	-0.289373235759424	0.0516579092346204	FALSE	-1.15027800893929	4.02732454849166e-09	TRUE	NA	NA	FALSE	0.0624479473205651	0.791781314374946	FALSE	1	Non-DMR
Lrrc26	Other	-0.00202148456800636	-0.00393438414610678	-0.134759983296426	FALSE	FALSE	0.455961554292032	0.00969479219663283	FALSE	NA	NA	FALSE	NA	NA	FALSE	-0.488558721043148	0.00302133327202108	FALSE	0	Non-DMR
Ubc	Other	0.0388835401206091	-0.02652114670079	-0.133568981323298	TRUE	FALSE	0.139226159499493	0.43839992969465	FALSE	0.0713225258613228	0.662123386126516	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	mC Hyper
Cnfn	Other	-0.0105276585978172	-0.0236432376313725	-0.133564211614964	FALSE	TRUE	0.128444656909131	0.486646088547602	FALSE	-0.00654679753163243	0.976183807968576	FALSE	NA	NA	FALSE	-0.209135546239535	0.422825602080563	FALSE	0	Non-DMR
AY074887	Other	0.0742741350601505	-0.0368886181312936	-0.132967501532031	TRUE	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	mC Hyper
Galnt7	Active_Promoter	0.162788287901922	-0.0745554585017827	-0.132796594873134	TRUE	TRUE	-0.124639672914455	0.543554538239727	FALSE	-0.887570142738584	8.56846736017673e-07	TRUE	NA	NA	FALSE	0.795518293678723	1.05501822718315e-08	TRUE	2	mC Hyper
Gm1673	Active_Promoter	0.03048001185872	-0.0372023036455859	-0.132630846673931	FALSE	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Mt2	Repressed_Promoter	-0.00931219191918705	-0.013695685416744	-0.132423916165929	FALSE	FALSE	0.113255681738599	0.545328528125386	FALSE	NA	NA	FALSE	0.423779690700371	0.0369792116805812	TRUE	-0.140695834941078	0.356499227247842	FALSE	1	Non-DMR
Atoh7	Other	0.0371807929298745	-0.00907431119280984	-0.129363703042395	TRUE	FALSE	-1.13317998159434	1.63891743430745e-08	TRUE	-0.948663961407331	3.19311580481368e-10	TRUE	NA	NA	FALSE	0.917440873520678	2.07710145882008e-12	TRUE	3	mC Hyper
Tmem256	Active_Promoter	0.0472312935732086	0.00549008206638046	-0.129262206825448	TRUE	FALSE	0.0860566427576828	0.62776295156343	FALSE	0.089342677957417	0.521873301148657	FALSE	NA	NA	FALSE	0.0424329601061882	0.882503187974783	FALSE	0	mC Hyper
Gm45337	Other	-0.0328566041801336	-0.0946173924115101	-0.129157016193963	FALSE	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Gpr62	Active_Promoter	0.040102355177244	0.0240516649744451	-0.128902084045623	TRUE	FALSE	0.00219345842448332	0.992112650561478	FALSE	0.0255565803505872	0.867995846518324	FALSE	NA	NA	FALSE	-0.231310303200555	0.21697336076855	FALSE	0	mC Hyper
Mcu	Active_Promoter	0.142137210855473	-0.0944174928500678	-0.128448744242072	TRUE	TRUE	0.00789040112712124	0.970103429111533	FALSE	-1.40354126487517	5.03673049937568e-25	TRUE	NA	NA	FALSE	0.634818513849211	2.3922505955183e-07	TRUE	2	mC Hyper
H4c11	Active_Promoter	-0.00246896054947465	-0.00381641954554308	-0.128349474395775	FALSE	FALSE	0.225775731104729	0.234432366104146	FALSE	0.284573391937242	0.132177294917687	FALSE	NA	NA	FALSE	0.228512878727087	0.0275025831456262	TRUE	1	Non-DMR
Gpr68	Active_Promoter	0.162567747047773	-0.0871033833156893	-0.127940484366614	TRUE	TRUE	-0.247763990283326	0.207434829936573	FALSE	-1.40901475353421	2.08202353393423e-11	TRUE	NA	NA	FALSE	0.446575991199901	0.00300096356725272	TRUE	2	mC Hyper
Samd10	Active_Promoter	0.0961683679914814	-0.0444450086731226	-0.12677803809144	TRUE	TRUE	0.0632796410109736	0.73929873091186	FALSE	-0.106402509732013	0.454029949884918	FALSE	NA	NA	FALSE	0.291974805282871	0.10600990426949	FALSE	0	mC Hyper
Gm5136	Other	0.125990638009662	-0.123099470685328	-0.125798043562644	TRUE	TRUE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	mC Hyper
Zic2	Active_Promoter	0.00374234599743701	-0.000200469678610649	-0.124985712221361	FALSE	FALSE	0.0712705293106319	0.728257774551126	FALSE	0.0740430271201667	0.611591356304056	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Scd2	Active_Promoter	0.0920971237060903	-0.0298075736412426	-0.124807634119604	TRUE	TRUE	-0.0243608740036815	0.902712189458087	FALSE	-0.175612622860585	0.276022339162763	FALSE	NA	NA	FALSE	0.370002342652994	0.0378849717839787	TRUE	1	mC Hyper
Tmem88	Active_Promoter	0.131744786095412	0.0122289981040185	-0.12463546790172	TRUE	FALSE	0.0141988023110005	0.942768920277182	FALSE	0.0763829351499759	0.676797633793521	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	mC Hyper
Bhlhe41	Active_Promoter	0.102419237463644	-0.0267714025084663	-0.124555195718677	TRUE	TRUE	0.05938462180611	0.748021034371786	FALSE	-0.0596329006812199	0.691304714999825	FALSE	NA	NA	FALSE	0.340308512254976	0.000104061021502806	TRUE	1	mC Hyper
Tssk5	Other	0.137817160825713	-0.0797306589340282	-0.123175501223477	TRUE	TRUE	-0.539829228143887	0.00460301077153089	TRUE	-1.02105279313651	4.41245190019994e-10	TRUE	NA	NA	FALSE	0.336685394962503	0.0957508047251639	FALSE	2	mC Hyper
Taar7a	Other	0.0907246635504538	-0.0584524716293688	-0.123074039560541	FALSE	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Cnr1	Active_Promoter	0.156555408467778	0.0108585009044822	-0.123067879392291	TRUE	FALSE	-0.0113194869570328	0.956058132297674	FALSE	-0.11627922465245	0.468130158962305	FALSE	2.9864586855909	7.80264753893291e-18	TRUE	0.622549190841626	2.77264595089297e-17	TRUE	2	mC Hyper
Tmem141	Other	0.0801257834538313	-0.0194482802226458	-0.121842828621419	TRUE	FALSE	0.0511094199658212	0.783688381718183	FALSE	-0.615837601705481	4.61431416339886e-05	TRUE	NA	NA	FALSE	0.0605042008861365	0.810839807984024	FALSE	1	mC Hyper
Lrrn1	Active_Promoter	0.137802817859855	-0.0693689510246577	-0.121686821027127	TRUE	TRUE	-0.0195470822188211	0.922778449864192	FALSE	-0.303578901114289	0.0405835438731932	TRUE	0.839134579136368	0.00028621686693956	TRUE	0.466356311578752	2.57828814040365e-07	TRUE	3	mC Hyper
Amigo1	Active_Promoter	0.135919939262634	-0.0793056006820435	-0.121423991049351	TRUE	TRUE	0.0559196021319032	0.786898982827587	FALSE	-0.222507601501179	0.137280189307647	FALSE	NA	NA	FALSE	-0.0880032606793953	0.598909930608733	FALSE	0	mC Hyper
Tceal6	Other	-0.0763361630042503	-0.063499240153638	-0.121278978382574	FALSE	FALSE	0.350069472879185	0.0480539198220466	FALSE	0.875973093341713	0.000191299807401433	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Inka2	Active_Promoter	0.168496128492795	-0.0208849301519937	-0.121082389449789	TRUE	TRUE	0.00136830997475289	0.995200520056271	FALSE	-0.782483267755759	2.21833685197524e-08	TRUE	NA	NA	FALSE	0.387236128832884	0.00021203307642559	TRUE	2	mC Hyper
Btbd17	Other	0.137029780082412	0.0295886908938406	-0.120443041212436	TRUE	FALSE	0.0392576479080255	0.834185248235486	FALSE	-0.581543235373808	4.28279829101653e-05	TRUE	NA	NA	FALSE	0.381905072412893	0.019319788456141	TRUE	2	mC Hyper
Tusc1	Active_Promoter	0.0800896157426584	-0.107162621109856	-0.120212808862595	FALSE	TRUE	0.133089720850516	0.474985822086452	FALSE	0.347195730177415	0.125578010375457	FALSE	NA	NA	FALSE	0.395070814315432	0.00705659756431159	TRUE	1	Non-DMR
Scg2	Active_Promoter	0.164124260301168	-0.0246744388656844	-0.119407127647946	TRUE	TRUE	-0.148663550670956	0.413956565689957	FALSE	-0.925630542209818	1.2092236807651e-05	TRUE	1.13402961158799	4.21722615217927e-05	TRUE	0.840801351573172	1.43091929450986e-18	TRUE	3	mC Hyper
Ccnq	Other	0.0679723613423291	-0.0478534372509179	-0.119244104435576	TRUE	TRUE	0.248827633797324	0.181886966149926	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	mC Hyper
Ifna6	Other	0.0786283891547049	-0.0648524720893142	-0.119240354098781	FALSE	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Zic4	Active_Promoter	0.129079921350548	0.021819989081962	-0.119190370743796	TRUE	TRUE	-0.0163546024030911	0.937982873078719	FALSE	0.0433084021914075	0.796201435962896	FALSE	2.87436978717952	2.76028855264216e-18	TRUE	0.232205027560748	0.0520484885640763	FALSE	1	mC Hyper
Hnrnpa0	Active_Promoter	0.00779234248331598	-0.0176552813920855	-0.118635305512481	FALSE	TRUE	0.081027675559919	0.643936851113123	FALSE	0.0988034905637906	0.539410732641682	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Fjx1	Active_Promoter	-0.0166486437504969	-0.0433134931782036	-0.118572473960494	FALSE	TRUE	0.0758100995544214	0.735307152223904	FALSE	0.0441370706498294	0.783129171190031	FALSE	NA	NA	FALSE	0.617799020590145	2.92391913586215e-10	TRUE	1	Non-DMR
Mcam	Other	0.132332402499776	-0.0813840331948875	-0.118559606074342	TRUE	TRUE	-0.795448652033244	4.36120247520048e-05	TRUE	-1.45911298135257	1.79558684641289e-18	TRUE	NA	NA	FALSE	0.16793982482022	0.369040323434312	FALSE	2	mC Hyper
Otud1	Active_Promoter	0.102767503570984	-0.0385220735078587	-0.118043609344481	TRUE	TRUE	0.0401472956934759	0.842578569155584	FALSE	-0.13719965997369	0.443952883556382	FALSE	0.165021061585439	0.445523197985019	FALSE	0.601765254083829	5.13717502057327e-09	TRUE	1	mC Hyper
Ackr1	Other	0.057766891473379	-0.0166512739144622	-0.117357938961079	TRUE	FALSE	-0.167545188809542	0.441897662504227	FALSE	0.596914799695175	0.00265546998050223	FALSE	NA	NA	FALSE	-0.160359920865033	0.199556690468268	FALSE	0	mC Hyper
Nab2	Active_Promoter	0.0554370769473903	0.00676837690599606	-0.117266891131369	TRUE	FALSE	-1.15267765852873	1.10674600515218e-06	TRUE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	1	mC Hyper
Thrsp	Other	0.159260984346886	0.00682322996271173	-0.116774992106601	TRUE	FALSE	-0.0154753783431922	0.941430182535783	FALSE	-0.0710811557320265	0.627922247074852	FALSE	NA	NA	FALSE	0.350678912322199	0.0542500347459338	FALSE	0	mC Hyper
Kctd12	Active_Promoter	0.132547190244836	-0.0236657368903954	-0.116404979866437	TRUE	TRUE	-0.0351071210137029	0.848262124475733	FALSE	NA	NA	FALSE	1.03498015696187	3.3250357693418e-07	TRUE	0.580686383319235	4.09160032236709e-11	TRUE	2	mC Hyper
Rasl11b	Active_Promoter	0.12541088436625	-0.0520464863477479	-0.116359747643069	TRUE	TRUE	0.0240254582075758	0.897412760458873	FALSE	-0.358153322280226	0.0545131263410009	FALSE	1.8846771470207	1.44250474983563e-12	TRUE	0.404472839356498	0.000237806267378534	TRUE	2	mC Hyper
Gm3424	Other	0.0283738556764873	-0.0508682655064234	-0.115955924694509	FALSE	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Hmgcl	Other	0.140669505661283	-0.06006875025784	-0.115727549510354	TRUE	TRUE	0.0474638708324301	0.805499505563099	FALSE	-0.568460614464233	0.00025319319088543	TRUE	NA	NA	FALSE	NA	NA	FALSE	1	mC Hyper
Ccndbp1	Active_Promoter	0.131145159902574	-0.0690731518043568	-0.11437376251954	TRUE	TRUE	0.0158994818988271	0.941404635947522	FALSE	-0.269491690170419	0.0540262329324759	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	mC Hyper
1810037I17Rik	Active_Promoter	0.0961384309740294	0.00652360281572054	-0.114355999127992	TRUE	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	mC Hyper
Tmem64	Active_Promoter	0.153634974562263	-0.0662312353228351	-0.11373360729028	TRUE	TRUE	0.0400387080008004	0.842885054092164	FALSE	-0.43592418907007	0.00280578617428696	TRUE	2.28997547984251	5.36086773706267e-30	TRUE	1.10957702284642	5.71129604855269e-39	TRUE	3	mC Hyper
Taar5	Other	0.0757618965355861	-0.0440562176617755	-0.113574712073402	TRUE	FALSE	-0.590420406021925	0.0302054887103173	TRUE	NA	NA	FALSE	1.93108491418009	6.13571653083541e-11	TRUE	0.338167312907999	0.00468150693047562	TRUE	3	mC Hyper
Nrn1	Bivalent_Promoter	0.0334586947934856	0.00785925693020544	-0.11340602855589	TRUE	FALSE	0.111340952912189	0.516564197482971	FALSE	-0.0477536066962578	0.764823308511505	FALSE	NA	NA	FALSE	0.558654173436065	2.30016633305396e-10	TRUE	1	mC Hyper
Tbcc	Active_Promoter	0.0212361188073063	0.0267378771313939	-0.113342826419111	FALSE	FALSE	0.110168282800779	0.553888492854226	FALSE	0.144638975022964	0.261569464587541	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Gm18596	Other	0.102335045222976	-0.0683332771156047	-0.113028803800515	FALSE	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	NA	NA	FALSE	0	Non-DMR
Mpp3	Active_Promoter	0.126199376744528	-0.0458604238277978	-0.111897075778707	TRUE	TRUE	-0.0105981135447364	0.962536790538729	FALSE	-0.481804000130796	0.0019552142337652	TRUE	NA	NA	FALSE	0.00849627486645134	0.971690605376176	FALSE	1	mC Hyper
Boc	Active_Promoter	0.128611993779712	-0.0176194948726115	-0.111459693751291	TRUE	TRUE	-0.0613294922713601	0.739205047427543	FALSE	-2.29280841707735	4.22470214196264e-37	TRUE	NA	NA	FALSE	1.3542065726791	6.22506227003321e-32	TRUE	2	mC Hyper
Xk	Other	0.118002013647643	-0.0884200245197536	-0.111070977074221	TRUE	TRUE	-0.0111604892577174	0.958025366255489	FALSE	-0.429177708026193	0.00315340166616209	TRUE	NA	NA	FALSE	1.96018218456017	3.0848052096222e-39	TRUE	2	mC Hyper
Hmx3	Repressed_Promoter	-0.0168776660294595	-0.00520833333333333	-0.11081259996231	FALSE	FALSE	0.168632586915709	0.428205526778414	FALSE	NA	NA	FALSE	-0.15012399682252	0.572666819127502	FALSE	NA	NA	FALSE	0	Non-DMR
Cd300ld3	Other	0.161333435039462	0.00777771050880327	-0.11078913099451	TRUE	FALSE	0.0519948016092468	0.766248363457091	FALSE	-0.829465858556319	0.000380275506945643	TRUE	NA	NA	FALSE	NA	NA	FALSE	1	mC Hyper
Ccsap	Active_Promoter	0.119898763476033	-0.0629970439610273	-0.110731516272209	TRUE	TRUE	0.0130370950092722	0.949669744145797	FALSE	-0.262909402579902	0.0452964348522194	TRUE	NA	NA	FALSE	0.101149356362512	0.631118887826301	FALSE	1	mC Hyper
Rnf182	Active_Promoter	0.129429705158798	-0.0401548463875043	-0.110569295922929	TRUE	TRUE	-0.0340015733071431	0.858275021017769	FALSE	-0.500263802493671	0.000914485238893978	TRUE	NA	NA	FALSE	0.651423862989742	1.5556478613943e-09	TRUE	2	mC Hyper
Rnf227	Other	0.118816001819883	-0.0678424361163397	-0.110239585983934	TRUE	TRUE	0.00482903651153012	0.982005898138342	FALSE	-0.522141512262525	0.0116320539908851	TRUE	NA	NA	FALSE	NA	NA	FALSE	1	mC Hyper
