gene	chr	start	end	mod_difference	dmr_qvalue	direction	n_atac_up	n_atac_down	net_atac
Ldlrad3	chr2	101950202	102186384	0.0924843584355526	4.8151057076211e-306	Hypermethylated	0	3	-3
Ldlrad4	chr18	67933256	68268629	0.0659254524540464	4.8151057076211e-306	Hypermethylated	1	1	0
Lgr4	chr2	109917646	110014256	0.101739505137551	4.8151057076211e-306	Hypermethylated	0	0	0
Lpp	chr16	24393506	24992577	0.0851325175537252	4.8151057076211e-306	Hypermethylated	0	3	-3
Lrrc49	chr9	60568858	60688157	0.0984106577060959	4.8151057076211e-306	Hypermethylated	0	5	-5
Lrrc4c	chr2	96318168	97631665	0.0354245354692788	4.8151057076211e-306	Hypermethylated	3	2	1
Lrrtm3	chr10	63928471	64090276	0.0836559320581863	4.8151057076211e-306	Hypermethylated	4	3	1
Lsamp	chr16	39984360	42181678	0.0376385835396502	4.8151057076211e-306	Hypermethylated	5	2	3
Macrod2	chr2	140395308	142392965	0.0234007007719238	4.8151057076211e-306	Hypermethylated	0	0	0
Maml3	chr3	51685906	52105075	0.0796891491724255	4.8151057076211e-306	Hypermethylated	0	3	-3
Mcu	chr10	59446983	59616691	0.142137210855473	4.8151057076211e-306	Hypermethylated	0	6	-6
Mgll	chr6	88724411	88828359	0.135007943743503	4.8151057076211e-306	Hypermethylated	0	2	-2
Mllt3	chr4	87769924	88033363	0.0723271352645487	4.8151057076211e-306	Hypermethylated	0	0	0
Myt1l	chr12	29528383	29923212	0.0799913999828868	4.8151057076211e-306	Hypermethylated	0	3	-3
Ncald	chr15	37366174	37792569	0.0872131211876761	4.8151057076211e-306	Hypermethylated	0	4	-4
Ndst3	chr3	123526165	123690852	0.1204049212253	4.8151057076211e-306	Hypermethylated	0	3	-3
Negr1	chr3	156561793	157316444	0.0564542114079826	4.8151057076211e-306	Hypermethylated	3	1	2
Nfia	chr4	97772733	98118873	0.0766486231958797	4.8151057076211e-306	Hypermethylated	0	0	0
Nfib	chr4	82290172	82705749	0.0700950392548942	4.8151057076211e-306	Hypermethylated	0	5	-5
Nr3c1	chr18	39410544	39519420	0.118582066046669	4.8151057076211e-306	Hypermethylated	0	7	-7
Nrip1	chr16	76287399	76373826	0.0849127701897209	4.8151057076211e-306	Hypermethylated	0	1	-1
Ntn4	chr10	93640680	93747206	0.119170223074622	4.8151057076211e-306	Hypermethylated	0	1	-1
Opcml	chr9	27790774	28925409	0.0352299175045312	4.8151057076211e-306	Hypermethylated	7	6	1
Patj	chr4	98395784	98719602	0.120445731459954	4.8151057076211e-306	Hypermethylated	0	4	-4
Pcdh9	chr14	93013409	93890678	0.0396612621891825	4.8151057076211e-306	Hypermethylated	1	7	-6
Pde4d	chr13	108449947	109953460	0.048182479608966	4.8151057076211e-306	Hypermethylated	0	1	-1
Peak1	chr9	56201125	56418066	0.0770618365988038	4.8151057076211e-306	Hypermethylated	0	0	0
Pld5	chr1	175962305	176275311	0.100167164494823	4.8151057076211e-306	Hypermethylated	1	1	0
Ppm1l	chr3	69316860	69560801	0.0810215464206032	4.8151057076211e-306	Hypermethylated	0	3	-3
Prag1	chr8	36094827	36147786	0.123800456695648	4.8151057076211e-306	Hypermethylated	1	1	0
Prune2	chr19	16956117	17223931	0.0564926390078421	4.8151057076211e-306	Hypermethylated	1	5	-4
Ptchd4	chr17	42315946	42505076	0.0844753183471563	4.8151057076211e-306	Hypermethylated	0	6	-6
Rab3c	chr13	110054186	110280995	0.0666355712797881	4.8151057076211e-306	Hypermethylated	0	5	-5
Rims2	chr15	39198260	39684371	0.0766967482766715	4.8151057076211e-306	Hypermethylated	2	3	-1
Rit2	chr18	30973488	31317289	0.0740865703389755	4.8151057076211e-306	Hypermethylated	0	9	-9
Rnf182	chr13	43615709	43670944	0.129429705158798	4.8151057076211e-306	Hypermethylated	1	0	1
Rora	chr9	68653785	69388245	0.0422798495557868	4.8151057076211e-306	Hypermethylated	0	4	-4
Rps6ka5	chr12	100548438	100726982	0.115988850712457	4.8151057076211e-306	Hypermethylated	0	5	-5
Runx1t1	chr4	13743435	13893648	0.109502377494959	4.8151057076211e-306	Hypermethylated	6	1	5
Samd12	chr15	53453809	53902536	0.0565029813770113	4.8151057076211e-306	Hypermethylated	0	1	-1
Sergef	chr7	46443153	46639806	0.0678282800475941	4.8151057076211e-306	Hypermethylated	1	2	-1
Sesn1	chr10	41809934	41908423	0.120693588980564	4.8151057076211e-306	Hypermethylated	0	2	-2
Sgcz	chr8	37522297	38661507	-0.0517187694221879	4.8151057076211e-306	Hypomethylated	2	0	2
Snd1	chr6	28475138	28935161	0.0603850703852541	4.8151057076211e-306	Hypermethylated	0	2	-2
Svep1	chr4	58042441	58206858	0.0749873190799152	4.8151057076211e-306	Hypermethylated	0	1	-1
Syn2	chr6	115134901	115282005	0.130328694883986	4.8151057076211e-306	Hypermethylated	0	0	0
Syne1	chr10	5020916	5551481	0.0535617198947247	4.8151057076211e-306	Hypermethylated	5	1	4
Syt1	chr10	108497649	109010981	0.173138279538543	4.8151057076211e-306	Hypermethylated	0	10	-10
Tcf4	chr18	69343355	69689078	0.0512997118435153	4.8151057076211e-306	Hypermethylated	3	1	2
Tmeff2	chr1	50900646	51187269	0.085034113995008	4.8151057076211e-306	Hypermethylated	1	2	-1
Tmem132c	chr5	127241807	127565792	0.0677716697789223	4.8151057076211e-306	Hypermethylated	0	2	-2
Tmtc2	chr10	105187662	105574450	0.0924002542478071	4.8151057076211e-306	Hypermethylated	0	3	-3
Trhde	chr10	114398820	114802306	0.072632449541856	4.8151057076211e-306	Hypermethylated	0	4	-4
Trpm3	chr19	22139045	22995409	0.0898599315712247	4.8151057076211e-306	Hypermethylated	0	2	-2
Ubash3b	chr9	41011097	41161696	0.0917788109023858	4.8151057076211e-306	Hypermethylated	0	0	0
Unc5c	chr3	141465215	141834923	0.106550556235555	4.8151057076211e-306	Hypermethylated	0	1	-1
Wipf3	chr6	54429602	54503767	0.131948765301587	4.8151057076211e-306	Hypermethylated	0	1	-1
Zbtb20	chr16	42875880	43642601	0.0775188432904133	4.8151057076211e-306	Hypermethylated	0	1	-1
Zfp385b	chr2	77410633	77819638	0.0547007257492477	4.8151057076211e-306	Hypermethylated	3	0	3
Zfp608	chr18	54888047	54992554	0.12394714759679	4.8151057076211e-306	Hypermethylated	1	1	0
Zhx2	chr15	57694664	57839831	0.0918430822611607	4.8151057076211e-306	Hypermethylated	0	8	-8
Zic4	chr9	91362412	91389347	0.129079921350548	4.8151057076211e-306	Hypermethylated	1	4	-3
Sptb	chr12	76580487	76710546	0.0805401967548386	4.46775035141122e-305	Hypermethylated	0	2	-2
Slco3a1	chr7	74275418	74554779	0.0639974629093868	5.34048660631778e-305	Hypermethylated	0	5	-5
Plcl2	chr17	50509402	50688483	0.0725272526885019	1.84053047687333e-301	Hypermethylated	2	2	0
Cntn6	chr6	104492789	104863405	0.0601156302345282	2.20938015306931e-301	Hypermethylated	1	2	-1
Arid1b	chr17	4994331	5347655	0.0479513538422094	3.34280129645034e-299	Hypermethylated	1	0	1
Fntb	chr12	76765588	76921411	0.0743515048138349	4.08481506779934e-298	Hypermethylated	0	0	0
Kcnd2	chr6	21215502	21729804	0.052333176103553	6.44851176307851e-298	Hypermethylated	2	3	-1
Tiam1	chr16	89787110	90143768	0.0414067029090463	1.8807681275692e-296	Hypermethylated	1	0	1
Tmem117	chr15	94629231	95096097	0.0369307751738306	6.38152992195482e-296	Hypermethylated	0	2	-2
Reep3	chr10	67009188	67096944	0.0911945118268505	9.4857242272883e-295	Hypermethylated	1	0	1
Lrrc4	chr6	28661830	28831746	0.0784850533011396	5.91599096087923e-294	Hypermethylated	1	7	-6
Lgi1	chr19	38264535	38312213	0.137128718547332	1.12825966421176e-291	Hypermethylated	0	2	-2
Dlg2	chr7	90476671	92449246	0.0248353485735461	3.15621619151563e-288	Hypermethylated	0	1	-1
Lpcat3	chr6	124663026	124704417	0.128894897260965	4.15452902960232e-282	Hypermethylated	0	3	-3
Cntnap2	chr6	45059356	47304212	0.0236244532788065	5.09149003026435e-282	Hypermethylated	0	2	-2
Bach2	chr4	32238803	32586107	0.042403267348189	2.79434869625764e-278	Hypermethylated	0	3	-3
Clybl	chr14	122181703	122402233	0.0571124314190594	2.3131526319419e-277	Hypermethylated	0	0	0
Nsmaf	chr4	6396206	6454270	0.119246216818413	2.89490873763033e-277	Hypermethylated	0	3	-3
Fgf1	chr18	38838672	38929471	0.094244219786531	7.60355929666337e-276	Hypermethylated	0	16	-16
Nedd4l	chr18	64887704	65217827	0.0456919314464484	1.58999521906307e-275	Hypermethylated	1	10	-9
Cadm1	chr9	47530172	47858114	0.0430699951977018	4.96381884111223e-275	Hypermethylated	5	5	0
Dock9	chr14	121542045	121797836	0.0525613787866661	1.46789134014469e-271	Hypermethylated	0	0	0
Stxbp5l	chr16	37114941	37384961	0.0777801233022845	4.5766669298062e-270	Hypermethylated	0	5	-5
Pip5k1b	chr19	24294793	24555871	0.0512169979552207	4.93946100321013e-268	Hypermethylated	0	0	0
Pan3	chr5	147430160	147548501	0.0878948852670351	2.38593900482225e-265	Hypermethylated	0	1	-1
Map4k3	chr17	80580511	80728484	0.0700060731614279	1.05618183901634e-264	Hypermethylated	0	2	-2
Exph5	chr9	53301669	53377513	0.11082889304928	1.14104541235592e-264	Hypermethylated	0	1	-1
Ror1	chr4	100095790	100444764	0.0494948527887763	1.70985075682678e-264	Hypermethylated	1	0	1
Galnt17	chr5	130872081	131308496	0.0445118121734769	6.18648439657675e-264	Hypermethylated	3	5	-2
Tspan5	chr3	138742194	138907904	0.058935799846126	2.25463948120131e-260	Hypermethylated	1	1	0
Rtn1	chr12	72211751	72409053	0.0585121347368054	7.3891335525939e-257	Hypermethylated	2	0	2
Brinp1	chr4	68761513	68954396	0.0827878571632678	1.05208146482112e-254	Hypermethylated	3	2	1
Fam53b	chr7	132712081	132813885	0.0936341435873756	2.04869098303343e-254	Hypermethylated	0	1	-1
Snx30	chr4	59805839	59904736	0.0930945433570074	3.03843079826882e-254	Hypermethylated	0	0	0
Hpcal1	chr12	17690855	17791932	0.100890632234149	7.04571861045441e-251	Hypermethylated	1	3	-2
Trp53bp2	chr1	182409171	182462431	0.112060092025534	9.97199472643886e-250	Hypermethylated	0	2	-2
Rapgef4	chr2	71981239	72257473	0.0498722894443124	2.38156189742774e-249	Hypermethylated	1	1	0
Rtn4rl1	chr11	75193782	75267768	0.107151308886847	1.51045098324776e-248	Hypermethylated	1	0	1
Sbf2	chr7	110308012	110614921	0.0511918740924614	1.8715209897136e-245	Hypermethylated	0	0	0
Pkib	chr10	57631980	57741111	0.111491249913283	3.43545469353379e-244	Hypermethylated	0	0	0
Tpk1	chr6	43345000	43666277	0.0514645629158759	6.416714196273e-243	Hypermethylated	0	3	-3
Oxr1	chr15	41447481	41861047	0.045948800393353	3.50193859537053e-242	Hypermethylated	1	2	-1
Sgk1	chr10	21882183	21999902	0.076575825600841	1.75756571162015e-241	Hypermethylated	0	0	0
Spock1	chr13	57421194	57908331	0.0354421855766658	3.7997840007859e-241	Hypermethylated	0	2	-2
Pkp4	chr2	59160849	59355207	0.0572910250701929	9.82604544091962e-241	Hypermethylated	0	0	0
Lyn	chr4	3678114	3813121	0.085540435146561	1.53753513370241e-240	Hypermethylated	0	4	-4
Daam2	chr17	49456021	49564342	0.0868960652106038	4.87603902492820e-240	Hypermethylated	0	5	-5
Mctp1	chr13	76384534	77031809	0.0418079531402357	6.6966834297756e-240	Hypermethylated	0	0	0
Gclm	chr3	122245556	122270731	0.163626383332672	5.58441151136118e-239	Hypermethylated	0	5	-5
Traf3	chr12	111166369	111267152	0.0727088495786465	2.42015900973755e-236	Hypermethylated	0	0	0
Gnai1	chr5	18265134	18360354	0.0949129776916535	4.67805737537994e-236	Hypermethylated	0	1	-1
Slc20a2	chr8	22476787	22569611	0.0762080144138633	3.58956485101531e-233	Hypermethylated	0	0	0
Ctbp2	chr7	132987562	133124353	0.0679458834458385	3.49435861945403e-229	Hypermethylated	0	0	0
Cnksr3	chr10	7119062	7212236	0.0796504966297589	4.32989720221028e-229	Hypermethylated	2	3	-1
Sybu	chr15	44671855	44788062	0.0961783809519351	1.47737148976734e-227	Hypermethylated	0	0	0
Ptprj	chr2	90429753	90580646	0.0711099477081534	3.5786486994887e-226	Hypermethylated	0	2	-2
Magi1	chr6	93675454	94283916	0.0290424295289147	4.97253058206282e-226	Hypermethylated	0	1	-1
Flrt3	chr2	140650913	140671468	0.162552480848417	1.01468361490009e-225	Hypermethylated	0	3	-3
Lrrn1	chr6	107529767	107570213	0.137802817859855	1.02897126104476e-225	Hypermethylated	0	4	-4
Cpeb2	chr5	43233169	43289723	0.120545259485309	1.77362394574013e-225	Hypermethylated	0	2	-2
Cdh18	chr15	22549021	23474417	0.0324361745465505	1.9553866540652e-225	Hypermethylated	1	0	1
Foxn2	chr17	88440710	88490532	0.122230804570348	4.38486029099719e-225	Hypermethylated	0	11	-11
Cnr1	chr4	33924592	33948830	0.156555408467778	9.53535119284817e-223	Hypermethylated	0	4	-4
Acvr1	chr2	58388643	58567156	0.057090995184904	7.76637825519012e-222	Hypermethylated	0	0	0
Nrxn3	chr12	88722875	90334934	0.0243462626575539	1.09089964061881e-221	Hypermethylated	2	2	0
Lnx2	chr5	147016654	147076585	0.0847680675843265	7.79639360144427e-221	Hypermethylated	1	0	1
Rap1gds1	chr3	138925901	139075200	0.0589552228108525	9.92836239562805e-221	Hypermethylated	0	0	0
Cdh7	chr1	109982430	110140156	0.0834532311516325	1.39569438586647e-220	Hypermethylated	0	2	-2
Sema5a	chr15	32244809	32696340	0.0371289460593687	7.65893713111057e-219	Hypermethylated	0	7	-7
Camk2d	chr3	126596301	126846325	0.0533670918073375	2.89622679060649e-218	Hypermethylated	0	0	0
Csmd1	chr8	15892536	17535585	-0.0217603486714035	5.0953553083479e-218	Hypomethylated	12	0	12
Tlcd4	chr3	121201760	121283097	0.0837329867204418	7.37810041437189e-218	Hypermethylated	0	3	-3
Fat1	chr8	44935446	45052256	0.0530505146378002	7.52805050988146e-218	Hypermethylated	0	1	-1
Zfp521	chr18	13687012	13972786	0.0467212991406587	6.65134539476855e-216	Hypermethylated	2	0	2
Pxylp1	chr9	96823335	96892668	0.0904204783801713	1.10829834637904e-214	Hypermethylated	0	0	0
Gas7	chr11	67455090	67688989	0.0552440394809235	2.15917246794293e-212	Hypermethylated	0	0	0
Dscaml1	chr9	45426627	45753711	0.0453938487204033	2.2091875165452e-212	Hypermethylated	0	1	-1
Chn2	chr6	54039553	54301809	0.0485735124922975	3.90856966712242e-212	Hypermethylated	2	2	0
Cblb	chr16	52031224	52208047	0.0538419879138967	1.3276216219281e-211	Hypermethylated	0	0	0
Rgs3	chr4	62559846	62704000	0.0689169918046917	1.53686190183711e-211	Hypermethylated	3	3	0
Elmo1	chr13	20090595	20608352	0.0332020141233038	3.65007434075247e-211	Hypermethylated	1	0	1
Gpr68	chr12	100876681	100908197	0.162567747047773	8.53215754469153e-209	Hypermethylated	0	4	-4
Cyth1	chr11	118132018	118248591	0.0782518744745134	3.98354630603608e-208	Hypermethylated	0	0	0
Ube4b	chr4	149328415	149426748	0.068978646972802	5.02293244354257e-205	Hypermethylated	0	0	0
Spon1	chr7	113765997	114043369	0.0527938447680154	4.41690637428547e-203	Hypermethylated	0	0	0
Nav2	chr7	48908715	49610089	0.0304580893441119	1.56956476128838e-200	Hypermethylated	0	2	-2
Arhgap17	chr7	123279217	123369914	0.081881543063992	1.64193802673407e-200	Hypermethylated	0	0	0
Nxn	chr11	76257197	76399139	0.0633525845195682	2.97866815275981e-200	Hypermethylated	0	1	-1
Slc7a8	chr14	54722208	54781945	0.0953588796585512	7.1002504568598e-200	Hypermethylated	0	1	-1
Slc12a2	chr18	57878677	57946820	0.0923869029260765	2.23125343549099e-199	Hypermethylated	0	1	-1
Zbtb38	chr9	96682769	96752830	0.0727373621213231	1.77551430725294e-198	Hypermethylated	1	0	1
Micu1	chr10	59702476	59864131	0.0504965304273366	6.83843861890931e-198	Hypermethylated	0	2	-2
Lhfp	chr3	53041527	53261678	0.0528663109344147	1.09161376096893e-197	Hypermethylated	0	0	0
Scd1	chr19	44394454	44407878	0.179788554883271	1.29683199405797e-197	Hypermethylated	0	1	-1
Fut8	chr12	77238124	77476337	0.0738969667880364	3.90879047304909e-197	Hypermethylated	0	2	-2
Elp4	chr2	105701026	105904563	0.0598435402472728	6.19621620028235e-197	Hypermethylated	0	2	-2
Fnbp1	chr2	31026205	31142007	0.0679877834804057	6.6570513017575e-196	Hypermethylated	0	0	0
Grk3	chr5	112910481	113015790	0.0714971988682866	1.27956053311276e-195	Hypermethylated	0	5	-5
Map3k5	chr10	19934471	20142752	0.0470181516679727	1.48261438361591e-194	Hypermethylated	0	0	0
Kirrel3	chr9	34485893	35036715	0.0368252889345161	1.39531512248978e-193	Hypermethylated	3	0	3
Ptprr	chr10	116018212	116274931	0.0455811977908032	1.72303765641829e-193	Hypermethylated	0	0	0
Hivep3	chr4	119733783	120138044	0.0445063948300863	2.93639084272401e-193	Hypermethylated	2	3	-1
Btbd3	chr2	138256564	138589291	0.0455541295731243	4.3444970207403e-191	Hypermethylated	5	4	1
Cdk19	chr10	40339563	40483817	0.0642611550620433	1.32725448318438e-190	Hypermethylated	0	0	0
Zfp395	chr14	65358388	65398929	0.114584486314202	6.22068331340643e-189	Hypermethylated	0	0	0
Ano3	chr2	110655200	110950922	0.0523855149271684	7.23776999782362e-188	Hypermethylated	0	1	-1
Chka	chr19	3851772	3894368	0.12670803290434	3.80519879353415e-187	Hypermethylated	0	2	-2
Pcsk2	chr2	143546155	143816284	0.0510667620946965	4.92098010129251e-186	Hypermethylated	0	0	0
Gna13	chr11	109362830	109401368	0.103687093514718	9.90263183759282e-186	Hypermethylated	0	0	0
Ppp3ca	chr3	136670123	136937726	0.0438804305306756	1.67238355732798e-185	Hypermethylated	2	2	0
Spop	chr11	95414079	95493405	0.0924127343326102	6.86273465330276e-185	Hypermethylated	0	1	-1
Dpf3	chr12	83213744	83487715	0.0475883031667874	1.11204113058531e-184	Hypermethylated	1	0	1
Chl1	chr6	103510585	103750210	0.0576023955145132	3.32579757121463e-183	Hypermethylated	1	3	-2
Ccdc85c	chr12	108203601	108275424	0.0977771747525589	4.57462990824908e-182	Hypermethylated	1	1	0
Msra	chr14	64122624	64455902	0.0475718711906392	4.65365618669547e-182	Hypermethylated	2	0	2
Fgf12	chr16	28160097	28753067	0.0334207006557549	1.94901527221593e-179	Hypermethylated	0	0	0
Ablim1	chr19	57032732	57314918	0.0404946176428516	3.74775762579778e-179	Hypermethylated	0	0	0
Syt9	chr7	107370727	107548655	0.0630426227206178	1.3638132316675e-178	Hypermethylated	0	0	0
Ctnna3	chr10	63430097	65003666	0.0182608098995174	2.85840644717265e-177	Hypermethylated	2	0	2
Zbtb40	chr4	136979731	137048800	0.079055236167014	4.10994828874799e-177	Hypermethylated	0	1	-1
Jarid2	chr13	44729473	44921642	0.0551961197013426	1.29597323974916e-176	Hypermethylated	1	2	-1
Plekha5	chr6	140424053	140597109	0.0531323902136889	9.62021576840347e-176	Hypermethylated	1	0	1
Tmem65	chr15	58782268	58823637	0.111322026879293	5.05095095005519e-173	Hypermethylated	0	1	-1
Maml2	chr9	13297956	13709387	0.0439422835621666	2.78924288072388e-172	Hypermethylated	0	0	0
Angpt1	chr15	42424722	42676976	0.05093380525349	7.50292124907526e-172	Hypermethylated	0	6	-6
D430041D05Rik	chr2	104143072	104411012	-0.0453390076100499	2.42721537345431e-171	Hypomethylated	4	0	4
Plcxd3	chr15	4375490	4575552	0.0676974143908038	2.86636006885921e-171	Hypermethylated	1	0	1
Cbfa2t2	chr2	154436480	154539355	0.0812301682298538	1.11338949047981e-169	Hypermethylated	0	0	0
Arhgef3	chr14	27114898	27403910	0.0406016013928899	6.12412042964536e-169	Hypermethylated	1	5	-4
Foxo1	chr3	52268335	52353220	0.0654772853819996	1.44267879833238e-168	Hypermethylated	0	2	-2
Arid5b	chr10	68092519	68278739	0.0416930480786474	2.48673206555065e-167	Hypermethylated	0	0	0
Acot7	chr4	152178133	152271854	0.0833695807748285	2.67242018113414e-167	Hypermethylated	0	1	-1
Galnt13	chr2	54436316	55118308	0.0375516602480622	5.4407111163368e-166	Hypermethylated	0	0	0
Wdfy2	chr14	62837677	62961508	0.0647975460102186	8.05004709597116e-166	Hypermethylated	0	0	0
Dock4	chr12	40445951	40846873	0.0369446543947014	9.63350506723165e-166	Hypermethylated	0	0	0
Fut9	chr4	25609331	25800243	0.0621375397246068	1.09621256806598e-165	Hypermethylated	1	1	0
Gm37240	chr3	84496425	85887517	0.0180650159470852	1.97283920021176e-165	Hypermethylated	0	0	0
Jazf1	chr6	52768796	53068630	0.0386375790769283	2.25609305288574e-165	Hypermethylated	0	5	-5
Sv2b	chr7	75114893	75309261	0.0612780901207338	3.30278998328249e-164	Hypermethylated	1	1	0
Tbc1d9	chr8	83165351	83272933	0.0656997031574571	5.21978523303407e-164	Hypermethylated	0	0	0
Paqr8	chr1	20890605	20939649	0.0948681385636401	5.50945992129496e-163	Hypermethylated	0	0	0
App	chr16	84949684	85173765	0.0415574842456963	2.11583864705401e-162	Hypermethylated	1	1	0
Snx18	chr13	113592178	113618563	0.105603748192753	1.06075615177927e-161	Hypermethylated	0	0	0
Robo1	chr16	72308305	73046094	0.0211684106290329	7.58041481543468e-161	Hypermethylated	0	14	-14
Denn2b	chr7	109523910	109703604	0.0577424838811242	9.36555413416446e-161	Hypermethylated	0	0	0
Gprin3	chr6	59347225	59426293	0.103938977086807	1.17171270269459e-160	Hypermethylated	0	2	-2
Kif26b	chr1	178529124	178939199	0.0357100604009699	1.84555981333997e-160	Hypermethylated	4	6	-2
Tbc1d8	chr1	39371491	39478754	0.063403667749132	2.06804679389629e-160	Hypermethylated	0	2	-2
Slc8a3	chr12	81197914	81333179	-0.067079534946805	4.18353160286813e-160	Hypomethylated	2	0	2
Ccnjl	chr11	43528783	43586996	0.0935663629349349	1.33616546081774e-159	Hypermethylated	0	1	-1
Cdyl	chr13	35659832	35874062	0.0428382645639506	1.78991632392545e-159	Hypermethylated	1	3	-2
Ssx2ip	chr3	146404641	146440143	0.090895047889781	2.38393185374807e-159	Hypermethylated	0	1	-1
Ptprg	chr14	11553531	12242040	0.0248201802722176	1.55273303416341e-158	Hypermethylated	0	2	-2
Lancl3	chrX	9199901	9268084	0.111870341251507	6.1352274367813e-158	Hypermethylated	0	0	0
Asph	chr4	9448068	9669343	0.0482550466919406	4.15640123132214e-157	Hypermethylated	0	1	-1
Cd47	chr16	49800532	49915009	0.0658957006494046	5.67080652125756e-157	Hypermethylated	0	3	-3
Epb41l3	chr17	69075682	69289988	0.0405092768047354	5.63771453431318e-156	Hypermethylated	2	0	2
Rnf152	chr1	105276913	105356709	0.0910925413094158	6.4145190565792e-156	Hypermethylated	1	0	1
Mtus2	chr5	147957319	148316064	0.0332099430346776	3.86042328988215e-155	Hypermethylated	1	2	-1
Snca	chr6	60731574	60829854	0.0845562122509037	9.14212819222119e-154	Hypermethylated	0	2	-2
Peli2	chr14	48120822	48281574	0.0481217192535658	1.87157385404055e-153	Hypermethylated	1	1	0
Prdm10	chr9	31280537	31381722	0.0653366731902114	5.79467841961851e-151	Hypermethylated	0	0	0
Gap43	chr16	42248441	42340650	0.0800887201154188	7.12158509488111e-151	Hypermethylated	2	0	2
Cadps2	chr6	23262772	23839420	0.0316443636707565	7.7338168457088e-151	Hypermethylated	1	1	0
Rab4a	chr8	123805984	123835286	0.112028192558062	1.26673002871451e-150	Hypermethylated	0	0	0
Shld1	chr2	132686930	132751054	0.0895581815569854	2.5536344728699e-150	Hypermethylated	0	0	0
Tjp1	chr7	65296164	65527780	-0.0377453231011766	9.16235768169754e-150	Hypomethylated	4	0	4
Cnnm1	chr19	43440435	43497209	0.0893341782706405	1.64479028264231e-148	Hypermethylated	0	0	0
Sgms1	chr19	32122726	32389713	0.0388184917796379	1.77605748195525e-148	Hypermethylated	0	0	0
B4galt6	chr18	20684598	20746403	0.0793670812739087	3.48520871747185e-147	Hypermethylated	0	1	-1
