gene	chr	start	end	num_contexts	mean_coverage	chg_hmc_group1	chg_hmc_group2	chg_hmc_difference	chg_hmc_qvalue	chg_hmc_direction
Il16	chr7	83642824	83745725	34276	8.97935873497491	0.000123826774115509	6.90173674753967e-05	-5.48094066401122e-05	0.0263169177977954	Hypomethylated
Capn5	chr7	98121558	98178273	20599	6.02489805330356	0.000191282809266907	9.34670627631038e-05	-9.78157465038035e-05	0.034760140036473	Hypomethylated
Emsy	chr7	98587136	98656782	20140	12.2006703078451	0.000135354869017316	5.17049439354033e-05	-8.36499250819124e-05	1.26399187131635e-05	Hypomethylated
Uvrag	chr7	98885020	99141140	81259	9.70619715969923	0.000248944394651812	0.000109926927880995	-0.000139017466770817	6.98396145968729e-31	Hypomethylated
Dgat2	chr7	99153657	99182718	10468	7.30395013374092	0.000274727536780424	0.000130621260488067	-0.000144106276292357	0.0452909046684061	Hypomethylated
Rnf169	chr7	99920253	99980447	18768	10.1117660379369	0.000141902194785446	5.95030401492757e-05	-8.23991546361703e-05	0.000669060851907349	Hypomethylated
Mrpl48	chr7	100545750	100608300	19288	10.6798073931978	0.00010451329285069	4.44240553391829e-05	-6.00892375115076e-05	0.00886136338142713	Hypomethylated
Rnf121	chr7	102019136	102065468	14719	10.3505163394252	0.0001323507943996	5.82721822128694e-05	-7.40786121867309e-05	0.0257069597482172	Hypomethylated
Nup98	chr7	102119397	102210175	26601	12.1101556332469	3.41264671281048e-05	9.64900614520922e-06	-2.44774609828956e-05	0.0389767317420922	Hypomethylated
Ank1	chr8	22974843	23150496	60423	7.95063551958691	3.41707526990424e-05	8.25674305514563e-06	-2.59140096438968e-05	0.000456084651617875	Hypomethylated
Purg	chr8	33386324	33417466	8961	12.4524606628724	8.99886074166429e-05	0.000316914461065594	0.000226925853648951	2.80572328040895e-09	Hypermethylated
Tex15	chr8	33516737	33585581	19946	12.427585731475	5.29426824979637e-06	4.69240523657579e-05	4.16297841159615e-05	0.00132590709298877	Hypermethylated
Gsr	chr8	33652522	33698162	14382	9.35571373939647	0.000147081996967483	0.000452346436271537	0.000305264439304054	5.94488583607728e-15	Hypermethylated
Mboat4	chr8	34115029	34125181	3325	8.81496240601504	1.99131785415588e-05	0.000324114112664995	0.000304200934123436	0.00328551610964916	Hypermethylated
Saraf	chr8	34154562	34170844	5138	9.87363760217984	1.31320913293178e-05	0.000157201624015622	0.000144069532686304	0.0223832580639939	Hypermethylated
Dusp4	chr8	34807296	34819893	4140	7.03704710144928	9.0403097642384e-05	0.000379687353343403	0.000289284255701019	0.0233999259325718	Hypermethylated
Mfhas1	chr8	35587797	35679448	29982	9.17276615969582	0.000123893468853471	0.000600006117558663	0.000476112648705192	1.48790797988814e-59	Hypermethylated
Gm19410	chr8	35765789	35818046	16892	10.2410830570684	1.86314267198678e-05	8.95676097649978e-05	7.093618304513e-05	0.000198879953641354	Hypermethylated
Prag1	chr8	36094827	36147786	17370	9.03699625791595	8.54566972788715e-05	0.000539514460149733	0.000454057762870862	2.45240732764277e-32	Hypermethylated
Trmt9b	chr8	36457547	36516569	18761	10.0783673578167	9.96295018752978e-05	0.000642165876119002	0.000542536374243704	7.84311419173015e-47	Hypermethylated
Tusc3	chr8	39005844	39165113	41249	11.3771000509103	3.74160193766024e-05	0.000207461178053921	0.000170045158677318	5.25581754120022e-36	Hypermethylated
Micu3	chr8	40307457	40386307	22345	11.3965148802864	2.83317281927316e-05	0.000182180360196432	0.0001538486320037	5.00668046477577e-17	Hypermethylated
Zdhhc2	chr8	40423814	40510267	25565	11.0698513592803	4.69507171292077e-05	0.000197137252682612	0.000150186535553405	9.2806642881866e-18	Hypermethylated
Vps37a	chr8	40511782	40550756	11449	11.4694405624945	4.1998761904237e-05	0.000179196582006536	0.000137197820102299	1.84885674287511e-06	Hypermethylated
Slc7a2	chr8	40862395	40922307	18424	10.5992184107686	3.08390345197726e-05	0.000141357948563687	0.000110518914043915	1.64707706401827e-08	Hypermethylated
Pdgfrl	chr8	40926211	40990784	20991	8.67633747796675	5.87869903889846e-05	0.000406485447664057	0.000347698457275072	4.68924236431703e-29	Hypermethylated
Pcm1	chr8	41239751	41332343	26129	11.9414156684144	1.89021477021586e-05	0.000133181924334102	0.000114279776631944	1.07979139779787e-15	Hypermethylated
Dctd	chr8	48099091	48153232	17448	9.47102103392939	1.22282793837345e-05	6.00824523443915e-05	4.78541729606569e-05	0.0241464348649909	Hypermethylated
Vegfc	chr8	54077605	54187095	31551	11.4315512978986	5.84428704565345e-06	3.24025155984437e-05	2.65582285527903e-05	0.00525262012057516	Hypermethylated
Gpm6a	chr8	54954842	55060870	29858	12.2334215285686	5.65691975374398e-06	3.32030886194323e-05	2.75461688656883e-05	0.00327322391115567	Hypermethylated
Sh3rf1	chr8	61223871	61396070	55004	9.77638444476765	6.32981817419499e-06	9.82303462831256e-05	9.19005281089306e-05	4.56207819692783e-20	Hypermethylated
Spock3	chr8	62951008	63357102	115757	11.3762753008457	5.33927646542942e-06	1.79058678434106e-05	1.25665913779812e-05	3.6191646475786e-05	Hypermethylated
Marchf1	chr8	65617899	66471636	253800	11.564950748621	6.7101970036709e-06	1.95805726745114e-05	1.28703756708405e-05	8.95069941071467e-13	Hypermethylated
Ints10	chr8	68793928	68831666	11504	10.8017863351878	0	0.000132593193022699	0.000132593193022699	1.94276270603424e-05	Hypermethylated
Atp6v1b2	chr8	69088645	69113710	7509	10.8917132774005	6.30401953120642e-05	0.000193923308817808	0.000130883113505744	0.00498107033594336	Hypermethylated
Nrg1	chr8	31814550	32884796	325903	11.395364571667	3.01788408406701e-05	6.84580731413182e-05	3.82792323006481e-05	3.82656753628198e-46	Hypermethylated
Wrn	chr8	33234383	33385526	44838	11.0205378250591	2.26602459969672e-05	8.46755560049247e-05	6.20153100079575e-05	9.67530551286238e-12	Hypermethylated
Ubxn8	chr8	33619585	33641966	7040	9.41335227272727	0.000123160681703803	0.00028795705294822	0.000164796371244417	0.0139629267388642	Hypermethylated
Rbpms	chr8	33782642	33929862	47715	9.28468772922561	4.23343520308252e-05	0.000210027025001777	0.000167692672970952	9.21249868658788e-33	Hypermethylated
Dctn6	chr8	34090419	34108795	6063	8.49577354444994	2.74160981531133e-05	0.000181492292859797	0.000154076194706684	0.0139629267388642	Hypermethylated
Tnks	chr8	34826459	34965689	41599	11.0567261232241	3.72270628143751e-05	0.000224355440691537	0.000187128377877162	5.50438151843265e-39	Hypermethylated
Lonrf1	chr8	36216063	36249515	10374	9.31939223057644	5.69751367524223e-05	0.00034322092947603	0.000286245792723607	9.76592159328741e-12	Hypermethylated
Dlc1	chr8	36567750	36953142	119214	10.9945979499052	2.8773265630528e-05	0.000176664999166614	0.000147891733536086	5.25898325941068e-89	Hypermethylated
Sgcz	chr8	37522297	38661507	325874	11.7498810890099	1.17598352378867e-05	6.71845376164198e-05	5.54247023785331e-05	7.34808891028987e-98	Hypermethylated
Msr1	chr8	39581684	39642672	17431	12.4331435373759	8.25169181316421e-06	5.18324130068042e-05	4.358072119364e-05	0.00271517165972008	Hypermethylated
Fgf20	chr8	40279165	40308330	8613	10.8380500406362	3.69214876569723e-05	0.000206688237657383	0.000169766750000411	5.49776978026008e-06	Hypermethylated
Cnot7	chr8	40492539	40515846	6667	11.7274636268187	3.48063915231797e-05	0.000140771837025154	0.000105965445501975	0.0257069597482172	Hypermethylated
Mtmr7	chr8	40551094	40634796	25735	10.2779143190208	6.09758878223733e-05	0.000350638599669495	0.000289662711847121	6.83579511608606e-35	Hypermethylated
Mtus1	chr8	40990913	41133725	44951	10.2448749749727	6.74436821762758e-05	0.000412374856941611	0.000344931174765335	4.48075376044627e-73	Hypermethylated
Asah1	chr8	41340196	41374772	10637	10.2299638055843	4.35897709568599e-05	0.000282654326627286	0.000239064555670426	2.53134092503199e-11	Hypermethylated
Frg1	chr8	41397458	41417073	5792	11.0230274516575	6.38446373266303e-05	0.000237594339739496	0.000173749702412866	0.00157313333529118	Hypermethylated
Stox2	chr8	47180047	47446361	85682	9.74892772110828	1.22757336106234e-05	3.6842753963334e-05	2.45670203527106e-05	5.49776978026008e-06	Hypermethylated
Tenm3	chr8	48227681	48843950	188756	11.2176354658925	6.14087188960423e-06	3.00572985096745e-05	2.39164266200703e-05	4.8334171349249e-21	Hypermethylated
Wdr17	chr8	54629054	54887183	75517	11.2186345458638	6.38176302710863e-06	3.00941189232379e-05	2.37123558961292e-05	1.9898526895321e-07	Hypermethylated
Galntl6	chr8	57774051	58912639	334332	11.2795230489454	9.74496712575038e-06	2.44585179159034e-05	1.47135507901531e-05	1.8005374615165e-16	Hypermethylated
Clcn3	chr8	60910388	60983299	20577	12.1854497740195	1.00758103974303e-06	4.14357798763632e-05	4.04281988366202e-05	0.00205588476802785	Hypermethylated
Palld	chr8	61511432	61902689	122366	11.0219791445336	6.26444584116536e-06	2.4621082890859e-05	1.83566370496937e-05	4.88611144824548e-09	Hypermethylated
Tll1	chr8	64014930	64206270	55441	11.7910887249508	1.15522873573042e-05	5.22156299163016e-05	4.06633425589974e-05	3.40733342598672e-10	Hypermethylated
Cpe	chr8	64592541	64693053	31868	10.2296935797665	5.24944976548004e-06	0.00014796756803394	0.00014271811826846	6.53904637466843e-17	Hypermethylated
Psd3	chr8	67689081	68212026	157581	11.2479518469866	8.83485861891462e-06	2.53926981060258e-05	1.65578394871112e-05	2.86844912923318e-10	Hypermethylated
Csgalnact1	chr8	68356780	68735145	118371	10.5225878804775	7.67343521053044e-06	3.4276635764203e-05	2.66032005536725e-05	3.78596901722414e-13	Hypermethylated
Lzts1	chr8	69132668	69184224	17516	8.89853562457182	7.32086672929964e-05	0.000325964313686586	0.00025275564639359	4.43874050729005e-16	Hypermethylated
Gm20422	chr8	69742861	69774885	10255	11.2484397854705	8.67766184429797e-05	0.000217961321265285	0.000131184702822305	0.000429079743766696	Hypermethylated
Gatad2a	chr8	69907075	69996383	30477	8.81936378252453	2.90345096544854e-05	9.84002262280354e-05	6.936571657355e-05	2.83490399944906e-06	Hypermethylated
Crtc1	chr8	70382354	70439578	20870	6.53737422137039	0.000144030996016708	0.000283083480534418	0.00013905248451771	0.000369302721236967	Hypermethylated
Klhl26	chr8	70450218	70476967	9485	7.27434106483922	8.64053357873033e-05	0.000250168809880373	0.00016376347409307	0.0103866525091206	Hypermethylated
Kcnj6	chr16	94748635	94997700	84512	8.43466756200303	5.55649892455173e-05	2.86770867787699e-05	-2.68879024667473e-05	4.69035535896249e-05	Hypomethylated
