symbol	chr	start	end	gb_ctrl_signal	gb_mut_signal	gb_log2fc	pr_ctrl_signal	pr_mut_signal	pr_log2fc	is_neuronal	ctrl_decile
Prdm13	chr4	21677480	21685963	10.757213	10.376648	-0.050903	13.941854	14.275042	0.033549	TRUE	10
Gm13283	chr4	88760119	88761581	10.711208	12.011053	0.162092	7.469826	8.897016	0.245604	FALSE	10
Mcidas	chr13	112993845	113000394	10.698428	11.301914	0.077614	10.279862	11.049741	0.102082	FALSE	10
Id3	chr4	136143497	136145392	10.643238	7.698621	-0.456121	8.576948	6.216766	-0.450653	TRUE	10
Slc18a3	chr14	32462438	32464850	10.636349	9.918779	-0.098653	9.097812	8.654657	-0.070298	TRUE	10
Hand2	chr8	57320983	57324633	10.616117	7.85842	-0.423692	11.391266	8.878414	-0.35183	TRUE	10
Fev	chr1	74881509	74885419	10.599478	8.782109	-0.26529	9.055221	7.239696	-0.314256	TRUE	10
Sp9	chr2	73271925	73284706	10.546572	9.786375	-0.105637	14.903369	13.970941	-0.091808	FALSE	10
Tlx2	chr6	83068324	83070293	10.54425	7.683233	-0.445721	11.585	8.917989	-0.369441	TRUE	10
Evx2	chr2	74652991	74659557	10.503836	8.270825	-0.336836	11.458055	9.66818	-0.240018	FALSE	10
Hoxa11	chr6	52242106	52245810	10.480034	8.423029	-0.307999	10.666344	8.505678	-0.319173	FALSE	10
Gm14662	chrX	60893653	60898067	10.418212	9.004213	-0.205753	7.82552	6.023976	-0.365708	FALSE	10
Foxc1	chr13	31806633	31812476	10.394615	9.998764	-0.05483	10.81699	10.907946	0.01184	TRUE	10
Slc35d3	chr10	19847916	19851459	10.346305	10.183882	-0.022349	12.207764	11.331956	-0.105428	FALSE	10
H2bc14	chr13	21722044	21722567	10.334704	13.522602	0.380761	6.448491	8.979908	0.464245	FALSE	10
Hoxc9	chr15	102976439	102985099	10.30417	8.91469	-0.204274	11.166203	9.983481	-0.158222	FALSE	10
Or12e9	chr2	87371534	87372478	10.278066	14.946428	0.530748	5.800553	9.627993	0.709912	TRUE	10
Foxd1	chr13	98354242	98359305	10.214324	11.08963	0.116212	10.426465	10.179607	-0.033845	TRUE	10
Hoxaas2	chr6	52165674	52169451	10.210206	6.878747	-0.555116	9.959587	6.786472	-0.538904	FALSE	10
Pou4f1	chr14	104461676	104467999	10.209284	9.558128	-0.093008	10.070026	10.020282	-0.006991	TRUE	10
Foxa2	chr2	148042877	148046969	10.129214	12.671011	0.316838	9.616697	12.197363	0.336106	TRUE	10
Hoxd11	chr2	74679557	74694194	10.116556	7.603254	-0.401904	9.774931	6.828686	-0.503828	FALSE	10
Pitx1	chr13	55825051	55836192	10.092721	7.21809	-0.471408	9.342953	6.639613	-0.479315	TRUE	10
Carlr	chr2	18799245	18801818	10.056292	10.299618	0.033762	7.577949	8.487131	0.159098	FALSE	10
Bmp4	chr14	46383520	46390669	10.048625	10.884879	0.112948	9.036833	10.605414	0.225826	TRUE	10
Tchh	chr3	93442330	93449077	10.002091	8.231235	-0.274449	8.413773	7.792025	-0.107821	FALSE	10
Hoxd13	chr2	74668310	74671599	9.974994	9.160131	-0.120178	9.432356	8.545591	-0.139026	FALSE	10
Islr2	chr9	58196297	58204319	9.937515	8.735137	-0.181756	11.622766	10.657924	-0.1226	TRUE	10
Sox6os	chr7	116031979	116032550	9.920778	7.316016	-0.428283	8.78366	7.52904	-0.216488	FALSE	10
Olig2	chr16	91225457	91228677	9.91331	8.442331	-0.226273	11.538838	10.481049	-0.13599	TRUE	10
Ifnz	chr4	88782131	88783592	9.890605	11.26908	0.18439	6.054163	6.808664	0.163822	FALSE	10
Hoxa10	chr6	52231197	52240854	9.807674	7.43322	-0.389838	8.852544	6.677955	-0.395326	FALSE	10
Gsx1	chr5	147188696	147190947	9.792317	6.724255	-0.527869	10.159259	6.840085	-0.55593	TRUE	10
1810019D21Rik	chr8	106135400	106138525	9.790439	9.747573	-0.006191	7.459057	6.343068	-0.226551	FALSE	10
Mt1	chr8	94179082	94180327	9.736988	11.685997	0.257901	5.72175	7.423886	0.363406	TRUE	10
Tfap2a	chr13	40715302	40738376	9.711763	7.868561	-0.296159	12.713107	10.412879	-0.282531	TRUE	10
Ddit4l	chr3	137621612	137628333	9.703779	8.519871	-0.183273	6.421866	5.696955	-0.166728	FALSE	10
BC030500	chr8	58911755	58914298	9.69589	10.454589	0.106364	8.78212	9.720531	0.143054	FALSE	10
Pcare	chr17	71743555	71752894	9.692096	10.893507	0.165048	6.080285	6.456951	0.083769	TRUE	10
5730596B20Rik	chr6	52177498	52180851	9.687899	5.984342	-0.67528	9.713603	6.24039	-0.620677	FALSE	10
Gm30731	chr4	22490548	22493126	9.615045	10.653704	0.144837	11.844283	11.687848	-0.018829	TRUE	10
Lbx1	chr19	45232684	45235812	9.607913	7.75741	-0.300956	9.997288	7.847584	-0.340795	TRUE	10
Enc1	chr13	97241105	97253034	9.603283	10.729084	0.156529	13.738835	14.078768	0.034712	TRUE	10
Sox2	chr3	34650405	34652461	9.584562	9.841571	0.03733	10.099736	10.092373	-0.00103	TRUE	10
Hoxa9	chr6	52223100	52231089	9.58281	7.556582	-0.33405	9.454037	7.54911	-0.31636	FALSE	10
Gata3	chr2	9857078	9890034	9.57599	8.698292	-0.13542	15.389312	13.834479	-0.151375	TRUE	10
Actl10	chr2	154551776	154553276	9.556842	10.576409	0.143108	6.996422	8.59368	0.288452	FALSE	10
Dbx1	chr7	49631499	49636849	9.551421	8.27792	-0.201453	9.110122	8.54187	-0.090655	TRUE	10
H2ac7	chr13	23574381	23574952	9.534537	9.022666	-0.077762	10.314481	9.483816	-0.118492	FALSE	10
Prob1	chr18	35650351	35655238	9.523672	6.958806	-0.440709	9.97588	7.853721	-0.336672	FALSE	10
Kcna3	chr3	107036169	107038070	9.514535	9.311673	-0.030382	7.42214	8.489336	0.18858	TRUE	10
Mab21l2	chr3	86545581	86548629	9.500934	9.860642	0.052419	8.166312	9.159535	0.161476	FALSE	10
Foxe1	chr4	46343609	46346412	9.407985	7.720306	-0.278032	10.786316	8.389807	-0.35427	FALSE	10
Hoxd3os1	chr2	74710043	74716130	9.386113	8.208862	-0.18861	8.520006	7.932134	-0.100454	FALSE	10
Hoxd10	chr2	74691924	74695105	9.29651	7.215614	-0.355971	10.295554	7.85657	-0.3807	TRUE	10
En1	chr1	120602418	120607992	9.256763	10.71663	0.206697	8.112897	10.028234	0.298478	TRUE	10
Rprm	chr2	54084093	54085552	9.242151	10.881977	0.230571	8.955865	12.105188	0.425684	FALSE	10
Nkx2-2	chr2	147177546	147186404	9.234852	8.55845	-0.107086	8.687044	7.746433	-0.161008	TRUE	10
Irx3	chr8	91798525	91802067	9.125583	7.97211	-0.190044	10.471459	9.853942	-0.085829	TRUE	10
Foxl2	chr9	98955288	98958543	9.099981	7.259942	-0.317291	10.026953	8.59826	-0.216624	FALSE	10
Gata2	chr6	88193891	88207032	9.084297	7.911742	-0.194327	9.967394	8.947431	-0.152192	TRUE	10
Otx2	chr14	48657677	48673819	9.081066	10.375714	0.188008	10.761244	12.552496	0.217995	TRUE	10
Hoxc5	chr15	102967443	103017429	9.078692	8.249342	-0.134774	8.678754	8.270723	-0.067714	FALSE	10
Adcyap1	chr17	93199017	93206537	9.043131	8.17949	-0.141194	8.021482	6.875769	-0.215938	TRUE	10
Foxl2os	chr9	98949781	98955299	9.01703	8.860189	-0.024706	10.045141	8.611223	-0.217063	FALSE	10
Mir196b	chr6	52228247	52230532	8.968863	6.724108	-0.404085	10.096021	7.642565	-0.391804	FALSE	10
Hoxaas3	chr6	52175235	52215076	8.964328	6.655154	-0.41777	7.905984	5.313863	-0.554236	FALSE	10
Twist1	chr12	33957671	33959829	8.954211	8.09883	-0.1412	9.501581	8.351741	-0.181598	TRUE	10
Gm13276	chr4	88785709	88786257	8.940788	10.271082	0.195615	4.999819	5.64578	0.168316	FALSE	10
Fzd1	chr5	4753839	4758035	8.927946	11.255619	0.327045	8.050234	9.994851	0.30466	TRUE	10
Hoxd3	chr2	74711927	74748271	8.923919	6.538114	-0.436179	8.819707	7.741726	-0.18319	TRUE	10
Slitrk5	chr14	111675097	111683141	8.917046	9.891663	0.146217	6.583459	9.152771	0.462193	TRUE	10
Foxq1	chr13	31556134	31560976	8.909697	9.557055	0.09883	8.121864	10.369641	0.344203	TRUE	10
Hoxa2	chr6	52162417	52213339	8.878413	6.393328	-0.460224	9.940577	6.694423	-0.555286	TRUE	10
Hoxc11	chr15	102954427	102957708	8.873958	7.110985	-0.310892	9.505295	8.07548	-0.22941	FALSE	10
Avp	chr2	130580620	130582554	8.861889	9.001792	0.022054	6.091016	6.206539	0.026169	TRUE	10
Gm13275	chr4	88799665	88801126	8.827124	9.514158	0.105594	7.656623	9.043355	0.233951	FALSE	10
Vsig4	chrX	96247203	96293438	8.82603	8.052604	-0.12894	0.496896	0.333717	-0.372474	FALSE	10
Gpr88	chr3	116249654	116253503	8.825596	10.784592	0.282811	5.970791	7.444745	0.308103	TRUE	10
1700092K14Rik	chr11	114198258	114199199	8.798251	7.556855	-0.213655	4.590617	4.060504	-0.168432	FALSE	10
Sp8	chr12	118846329	118852576	8.789587	6.56505	-0.409089	9.138185	7.38205	-0.299832	FALSE	10
Gm10710	chr3	83125276	83129246	8.78797	8.97346	0.029405	8.041315	7.93185	-0.019243	FALSE	10
Zfp503	chr14	21983959	21989601	8.749588	10.558984	0.265101	9.525332	11.693944	0.289861	FALSE	10
Gfi1	chr5	107716657	107726036	8.723752	5.533902	-0.636318	9.990345	6.835003	-0.533298	TRUE	10
Cd14	chr18	36725067	36726798	8.721891	8.211403	-0.084805	5.891054	5.577031	-0.076104	FALSE	10
Adm	chr7	110627661	110629820	8.707801	9.743266	0.15831	9.199587	10.129241	0.135786	TRUE	10
Hoxa3	chr6	52169062	52213336	8.706544	6.32434	-0.44784	12.606487	11.625403	-0.114797	TRUE	10
Hoxc8	chr15	102990607	102993821	8.702373	8.414693	-0.047281	9.070911	8.380449	-0.111405	TRUE	10
Slc32a1	chr2	158610767	158615748	8.692314	7.157094	-0.27274	8.030287	6.034396	-0.39956	TRUE	10
Pou4f2	chr8	78433010	78436645	8.659185	9.376694	0.112107	7.984747	8.79696	0.136179	TRUE	10
Foxd3	chr4	99656299	99658622	8.657631	6.834255	-0.331671	10.248366	8.396612	-0.280837	FALSE	10
Foxb2	chr19	16872319	16873805	8.613961	6.845061	-0.322349	11.365916	10.00331	-0.180506	FALSE	10
Col27a1	chr4	63214004	63334991	8.598373	8.436935	-0.026655	10.053054	8.392287	-0.25439	FALSE	10
Dusp6	chr10	99263231	99267489	8.591095	12.025448	0.474841	9.100431	10.789328	0.240252	FALSE	10
H1f5	chr13	21779883	21780625	8.553365	11.819126	0.456518	4.765031	7.65443	0.659548	FALSE	10
Gdf6	chr4	9844372	9862345	8.548493	7.506653	-0.18248	14.086889	14.536333	0.044624	TRUE	10
Hoxc10	chr15	102966796	102971893	8.482383	7.560342	-0.161572	8.861662	8.258287	-0.099181	TRUE	10
Gp5	chr16	30307685	30310779	8.482322	6.876312	-0.294322	5.789961	4.707517	-0.286482	FALSE	10
Emx2	chr19	59458372	59465357	8.471781	7.635457	-0.145952	8.24715	7.371236	-0.157537	TRUE	10
Hoxc6	chr15	102998257	103011881	8.462243	7.981072	-0.082253	9.056673	7.048125	-0.352014	FALSE	10
Skor1	chr9	63138170	63148961	8.448984	5.617151	-0.570579	8.981056	5.676733	-0.641862	FALSE	10
Egr2	chr10	67535475	67542188	8.44536	8.28517	-0.026919	8.103766	8.101966	-0.000312	TRUE	10
Nkx6-1	chr5	101658139	101664996	8.443891	6.733111	-0.317347	8.822856	6.814827	-0.362253	TRUE	10
Hoxd4	chr2	74711929	74729160	8.416374	6.128622	-0.443968	8.814404	7.739045	-0.182829	FALSE	10
Misp3	chr8	84010222	84012158	8.410444	7.94623	-0.079762	6.708195	6.248278	-0.099094	FALSE	10
Cdkn2b	chr4	89306299	89311039	8.391831	7.89834	-0.085133	9.736549	9.452543	-0.041749	TRUE	10
Gm15217	chr14	46379414	46383608	8.385021	12.02402	0.508815	6.281839	8.211941	0.375005	FALSE	10
Gm13286	chr4	88757844	88758380	8.361411	11.345472	0.430527	6.432744	7.308053	0.178321	FALSE	10
Pou4f3	chr18	42394539	42397249	8.352835	9.462109	0.175544	6.593469	7.201013	0.123223	TRUE	10
Bsx	chr9	40874127	40880057	8.352732	6.259324	-0.403899	10.226178	8.30009	-0.294027	TRUE	10
Vax1	chr19	59166187	59170056	8.324455	9.42411	0.174655	8.848043	9.336701	0.07572	TRUE	10
Hoxa6	chr6	52206288	52208722	8.312185	6.146155	-0.422479	9.831845	7.911397	-0.305877	FALSE	10
Alx3	chr3	107595031	107605776	8.261025	6.994679	-0.233296	12.543663	10.234287	-0.287942	FALSE	10
Cxcr4	chr1	128588199	128592293	8.245899	8.406164	0.027055	9.261175	9.354616	0.014148	TRUE	10
Tril	chr6	53815468	53820830	8.21778	6.126979	-0.41078	10.068181	7.98028	-0.327234	FALSE	10
Mos	chr4	3870657	3872105	8.210949	9.670412	0.23033	6.137859	8.52615	0.460092	FALSE	10
Pou3f3	chr1	42695768	42703176	8.202599	8.828468	0.103405	9.587649	8.62851	-0.148469	TRUE	10
Fzd5	chr1	64730558	64737751	8.189526	8.292798	0.017609	11.057561	11.344575	0.036257	TRUE	10
Hoxd8	chr2	74704615	74707933	8.188607	7.056847	-0.208547	8.652393	7.855383	-0.135789	FALSE	10
Nog	chr11	89300638	89302332	8.175506	6.236572	-0.378837	5.392507	4.246738	-0.329408	TRUE	10
Gsx2	chr5	75075601	75077893	8.175264	8.842291	0.110297	9.50175	11.065269	0.215148	TRUE	10
Gm20554	chr13	72626213	72628564	8.159226	11.14527	0.439732	7.724246	10.30379	0.405662	FALSE	10
Socs2	chr10	95411490	95417180	8.157103	8.179119	0.003787	9.805603	9.625897	-0.026094	TRUE	10
Nkx2-1	chr12	56531958	56536908	8.15625	6.840517	-0.246523	8.585175	7.492196	-0.191205	TRUE	10
Edn2	chr4	120161206	120167360	8.117321	7.05125	-0.197375	7.85475	7.257143	-0.110927	TRUE	10
Arx	chrX	93286496	93298357	8.09377	8.995639	0.148577	9.113447	9.50479	0.059256	TRUE	10
Scarf2	chr16	17797282	17808293	8.08009	8.008118	-0.012564	7.437164	6.588157	-0.16954	FALSE	10
Hmx2	chr7	131548773	131558014	8.075695	6.223408	-0.364527	7.509885	5.350525	-0.472616	TRUE	10
Gm13272	chr4	88779850	88780660	8.06791	9.558333	0.238574	5.134421	5.85372	0.181842	FALSE	10
Dmrt2	chr19	25672411	25678991	8.066934	8.129816	0.010906	11.5568	11.949898	0.047369	FALSE	10
Hdnr	chr8	57332118	57354580	8.059983	5.606791	-0.506909	10.769984	8.205019	-0.383428	FALSE	10
Id2	chr12	25093799	25097140	8.032259	11.191479	0.467613	8.241556	10.912794	0.395811	TRUE	10
Cilp2	chr8	69880369	69887687	8.028539	7.514617	-0.092806	9.800623	8.87825	-0.139308	FALSE	10
Neurog3	chr10	62133090	62134763	8.02832	6.195757	-0.362469	6.702849	5.251289	-0.339472	TRUE	10
Gp1bb	chr16	18620317	18622403	8.00996	8.05936	0.008634	7.149325	7.51233	0.069368	FALSE	10
Egr3	chr14	70077203	70082550	8.004424	7.212141	-0.146132	7.801316	7.153558	-0.121474	TRUE	10
Dlx4	chr11	95140447	95146263	7.992324	6.193164	-0.356742	7.008108	5.472028	-0.344663	FALSE	10
6430503K07Rik	chr2	147187424	147188407	7.959611	6.827001	-0.215016	8.809288	7.989697	-0.137279	FALSE	10
Ltb4r2	chr14	55761428	55763229	7.953987	7.731474	-0.039816	5.328221	5.581857	0.064487	FALSE	10
Phox2a	chr7	101818313	101822726	7.933081	6.940542	-0.187271	5.433911	4.960321	-0.126202	TRUE	10
H4c11	chr13	21735064	21735837	7.914664	9.83666	0.305988	3.958469	5.233493	0.384187	FALSE	10
Gm14424	chr2	74752684	74753744	7.905971	5.50157	-0.506111	8.297463	5.822082	-0.495361	FALSE	10
Gpr151	chr18	42577881	42579652	7.891143	9.587353	0.273951	5.68439	6.763102	0.242071	TRUE	10
Wnt1	chr15	98789857	98793837	7.883062	6.166234	-0.34349	6.589776	5.431297	-0.269015	TRUE	10
Nr2e1	chr10	42561963	42583632	7.875898	6.086793	-0.360273	13.047032	10.340582	-0.32915	TRUE	10
Zfp36l1	chr12	80107754	80113013	7.829715	8.879179	0.176794	8.677949	9.580867	0.139433	TRUE	10
Gm12409	chr4	45762377	45764223	7.793822	8.650049	0.146447	8.818409	8.464655	-0.057599	FALSE	10
Fzd8	chr18	9212163	9218136	7.769115	9.415636	0.270337	8.517126	10.528807	0.298938	FALSE	10
Gpr150	chr13	76054851	76056996	7.733982	11.279452	0.531803	6.539054	10.497313	0.665031	FALSE	10
H3c2	chr13	23752267	23752886	7.726863	12.333493	0.659616	5.109414	8.155833	0.652232	FALSE	10
Insm1	chr2	146221921	146225020	7.724314	8.208438	0.08534	8.842075	8.883025	0.006504	TRUE	10
Cdkn2a	chr4	89274471	89294653	7.713021	6.906811	-0.154609	7.214241	6.859734	-0.070488	FALSE	10
Ddn	chr15	98803777	98809490	7.710183	6.728558	-0.190634	8.280188	6.997874	-0.235914	FALSE	10
Irx1	chr13	71957921	71963723	7.703367	8.973469	0.21449	8.463319	8.949409	0.07858	TRUE	10
Dux	chr10	58230651	58232675	7.695864	5.285535	-0.523845	5.578656	3.641994	-0.586343	FALSE	10
Irx5	chr8	92357625	92376286	7.679471	7.453691	-0.041834	12.21149	12.030918	-0.021109	TRUE	10
Kcna2	chr3	107101146	107115005	7.65403	7.59052	-0.011683	9.382959	9.919276	0.078402	TRUE	10
1600014C23Rik	chr17	45732864	45733844	7.645816	6.839087	-0.15611	5.782364	6.843211	0.234785	FALSE	10
Adra2a	chr19	54044151	54048982	7.63325	7.261947	-0.069874	5.281063	5.348817	0.01766	TRUE	10
Edn1	chr13	42301476	42307990	7.597061	6.23506	-0.276186	10.121281	8.455068	-0.253462	TRUE	10
Irx2	chr13	72628820	72634198	7.586616	11.124366	0.539193	8.021819	10.723434	0.409021	TRUE	10
Dmrta2	chr4	109978053	109983687	7.565694	6.456758	-0.221671	7.426534	6.269203	-0.236757	TRUE	10
Hotairm1	chr6	52158432	52162119	7.557892	5.329909	-0.486897	6.681101	4.19091	-0.645722	FALSE	10
Inhbb	chr1	119415465	119422248	7.530072	6.713592	-0.160602	8.920595	7.274312	-0.286484	TRUE	10
Gm15326	chr13	111867936	111871937	7.509626	11.353335	0.582319	4.803556	7.302433	0.582468	FALSE	10
Six2	chr17	85684277	85688274	7.471662	5.689868	-0.380156	8.71717	6.733348	-0.362099	FALSE	10
