loop_id	chr1	start1	end1	chr2	start2	end2	logFC	FDR	direction	loop_type_extended	anchor1_mecp2_up	anchor1_mecp2_down	anchor2_mecp2_up	anchor2_mecp2_down	any_mecp2_up	any_mecp2_down
loop_1262	chr15	57690000	57695000	chr15	57910000	57915000	-0.497796548329216	0.0045136831499299	down_in_mutant	Active_Promoter-Active_Promoter	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1280	chr15	73830000	73835000	chr15	73995000	74000000	0.445075926971527	0.0167595595999851	up_in_mutant	Polycomb-Polycomb	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_11108	chr16	72200000	72225000	chr16	72975000	73000000	0.528857142465129	0.0005650977096149	up_in_mutant	Poised_Enhancer-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1327	chr16	30600000	30605000	chr16	31200000	31205000	-0.606689936726529	0.0236370379231726	down_in_mutant	Active_Promoter-Active_Promoter	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1403	chr1	91570000	91575000	chr1	91750000	91755000	0.336947069739314	0.0195523107666676	up_in_mutant	Polycomb-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_13443	chr19	17240000	17250000	chr19	17350000	17360000	-0.451842733240291	2.50458627324543e-05	down_in_mutant	Active_Enhancer-Poised_Enhancer	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_1475	chr2	57905000	57910000	chr2	57950000	57955000	-0.445495426881342	0.0110015182887482	down_in_mutant	Active_Enhancer-Poised_Enhancer	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_13840	chr2	73920000	73930000	chr2	73990000	74000000	-0.365749360104936	2.41477285657953e-05	down_in_mutant	Poised_Enhancer-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_14500	chr2	109540000	109550000	chr2	109880000	109890000	-0.441518084243702	0.003276241804923	down_in_mutant	Polycomb-Other	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_1541	chr3	123970000	123975000	chr3	124070000	124075000	-0.353380232961542	0.0089336997540338	down_in_mutant	Active_Enhancer-Other	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_1566	chr4	3675000	3680000	chr4	3750000	3755000	-0.395993412485924	0.0043505787767933	down_in_mutant	Active_Promoter-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1591	chr4	82535000	82540000	chr4	82700000	82705000	-0.956922657768539	0.0009032206145608	down_in_mutant	Bivalent_Promoter-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_1610	chr5	105985000	105990000	chr5	106275000	106280000	-0.453235069681451	0.0055054991878025	down_in_mutant	Active_Enhancer-Poised_Enhancer	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_20087	chr5	118780000	118790000	chr5	118870000	118880000	0.447695485461473	5.75823574649592e-05	up_in_mutant	Polycomb-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1638	chr5	49815000	49820000	chr5	49960000	49965000	-0.459287738883099	0.0207454171166079	down_in_mutant	Active_Enhancer-Poised_Enhancer	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_1662	chr6	140625000	140630000	chr6	140710000	140715000	-0.402242657976892	0.0130359506450365	down_in_mutant	Active_Enhancer-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1715	chr7	84590000	84595000	chr7	84750000	84755000	-0.326783252490957	0.0279717310074719	down_in_mutant	CTCF_Site-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1720	chr7	90280000	90285000	chr7	90405000	90410000	-0.571639821742711	0.0119934694950731	down_in_mutant	CTCF_Site-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1844	chr8	57795000	57800000	chr8	57960000	57965000	-0.614637350000508	0.0133038001430177	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_2207	chr8	86030000	86040000	chr8	86530000	86540000	-0.353707683412625	0.0060858628107524	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_18710	chr8	98860000	98870000	chr8	99410000	99420000	-0.499289638027787	0.000133523178893	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_7955	chr8	57540000	57550000	chr8	57960000	57970000	-0.676079610913446	0.0001395794781755	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_7987	chr8	27670000	27680000	chr8	30920000	30930000	-0.511863483899756	0.0008478707314906	down_in_mutant	Poised_Enhancer-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1882	chr8	19705000	19710000	chr8	20595000	20600000	0.409196285067122	0.0231948575343385	up_in_mutant	Polycomb-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1955	chr9	91405000	91410000	chr9	91545000	91550000	-0.412725005993494	0.0061657611348622	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_1965	chr9	29790000	29795000	chr9	29960000	29965000	0.374205075883309	0.0090279570325212	up_in_mutant	Active_Promoter-Polycomb	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_1986	chr9	118290000	118295000	chr9	118475000	118480000	-0.427661869333732	0.0166122285567147	down_in_mutant	Bivalent_Promoter-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_2010	chr9	88480000	88485000	chr9	88715000	88720000	-0.381392022376958	0.0130231788240529	down_in_mutant	Active_Promoter-Active_Promoter	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_8889	chr9	79030000	79040000	chr9	79290000	79300000	-0.481854557237322	0.0001306749303275	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_2084	chr11	26385000	26390000	chr11	26435000	26440000	-0.484434612867771	0.0007967080440606	down_in_mutant	Active_Enhancer-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_2107	chr11	93695000	93700000	chr11	93815000	93820000	-0.362250056899823	0.0208137016283425	down_in_mutant	Active_Enhancer-Poised_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_2108	chr11	93485000	93490000	chr11	93640000	93645000	-0.491873905022398	0.004789085760411	down_in_mutant	Active_Enhancer-Active_Enhancer	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_2134	chr11	30090000	30095000	chr11	30220000	30225000	-0.440902541707972	0.0118671348522153	down_in_mutant	Poised_Enhancer-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_2207	chr13	98260000	98265000	chr13	98315000	98320000	-0.35344100089504	0.026223895657889	down_in_mutant	Active_Promoter-Active_Promoter	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_10324	chr13	83520000	83530000	chr13	84750000	84760000	-0.454853910788424	0.0030749859243435	down_in_mutant	Active_Enhancer-Active_Enhancer	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_10216	chr13	83520000	83530000	chr13	83650000	83660000	-0.51177362507795	4.69297804567962e-05	down_in_mutant	Active_Enhancer-Active_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_2243	chr13	9680000	9685000	chr13	9845000	9850000	0.603657576505031	0.002407982251765	up_in_mutant	Active_Enhancer-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_2308	chr12	31710000	31715000	chr12	31820000	31825000	-0.479423629127426	0.0034435214634492	down_in_mutant	Active_Promoter-Poised_Enhancer	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_11180	chr15	44830000	44840000	chr15	48790000	48800000	-0.527071564812169	0.0029717674829817	down_in_mutant	Active_Promoter-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_2432	chr16	67610000	67615000	chr16	67845000	67850000	-0.426407329428652	0.0271576972621035	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_11631	chr16	49270000	49280000	chr16	50300000	50310000	-0.535767264392674	0.0007343824111495	down_in_mutant	Poised_Enhancer-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_11629	chr16	82660000	82670000	chr16	83410000	83420000	-0.447037141542841	0.0009505000050692	down_in_mutant	Poised_Enhancer-Other	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_2824	chr17	88330000	88340000	chr17	88500000	88510000	-0.398789845490994	0.0001620660208252	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_2833	chr17	42310000	42320000	chr17	42450000	42460000	-0.429871889624772	7.74277804085203e-05	down_in_mutant	Active_Promoter-Poised_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_2490	chr17	5440000	5445000	chr17	5885000	5890000	-0.688339953467639	0.016230532390915	down_in_mutant	Poised_Enhancer-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_2524	chr1	135750000	135755000	chr1	135785000	135790000	0.382641463407192	0.004597824725245	up_in_mutant	CTCF_Site-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_2573	chr1	80965000	80970000	chr1	81075000	81080000	-0.505405314812313	0.0287498320047992	down_in_mutant	Active_Promoter-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_22500	chr1	182550000	182560000	chr1	182650000	182660000	0.333895372721255	0.0031581680320535	up_in_mutant	CTCF_Site-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_19480	chr1	150780000	150790000	chr1	151010000	151020000	-0.360856400490715	0.0007204604398812	down_in_mutant	CTCF_Site-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_2619	chr1	48535000	48540000	chr1	49105000	49110000	-0.618777302365277	0.0067196575004867	down_in_mutant	Poised_Enhancer-Other	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_621	chr18	31010000	31020000	chr18	31310000	31320000	-0.426098600223582	0.0019012489101667	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_4416	chr18	30960000	30970000	chr18	31440000	31450000	-0.445959354074573	0.0008197874651893	down_in_mutant	Active_Promoter-Poised_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_12404	chr18	57400000	57425000	chr18	58475000	58500000	-0.302946727000836	0.0016140558077295	down_in_mutant	Polycomb-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_13250	chr18	77790000	77800000	chr18	78130000	78140000	-0.303911684470155	0.0097761483798808	down_in_mutant	Repressed_Promoter-Poised_Enhancer	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_2742	chr2	58135000	58140000	chr2	58175000	58180000	-0.302543432546916	0.0122609754273034	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_2760	chr2	138475000	138480000	chr2	138585000	138590000	-0.49703932814721	0.0113917233825537	down_in_mutant	Active_Enhancer-Poised_Enhancer	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_19717	chr2	138790000	138800000	chr2	139270000	139280000	-0.453986813969425	0.0007489451877104	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_14358	chr2	165390000	165400000	chr2	165480000	165490000	0.352591526415697	9.41534420221487e-05	up_in_mutant	Poised_Enhancer-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_19716	chr2	6870000	6880000	chr2	7000000	7010000	-0.352345497635602	0.0014566921028054	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_2797	chr2	138585000	138590000	chr2	139275000	139280000	-0.959745981857733	0.0016863693998006	down_in_mutant	Active_Enhancer-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_3189	chr2	139270000	139280000	chr2	139580000	139590000	-0.715769569998683	0.0004995099625223	down_in_mutant	Active_Enhancer-Poised_Enhancer	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_2816	chr2	118260000	118265000	chr2	118430000	118435000	-0.302499319263223	0.0210532143045522	down_in_mutant	CTCF_Site-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_22112	chr2	73960000	73970000	chr2	74670000	74680000	0.398883149355024	0.0032089158864276	up_in_mutant	Repressed_Promoter-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_2926	chr3	123690000	123695000	chr3	124065000	124070000	-0.363489173848245	0.0251054111008995	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_2945	chr3	80095000	80100000	chr3	80800000	80805000	-0.46414556533356	0.0161368932613151	down_in_mutant	Active_Promoter-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_3005	chr4	144890000	144895000	chr4	145040000	145045000	0.3588138934346	0.0122429145067475	up_in_mutant	Repressed_Promoter-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_15947	chr4	81560000	81570000	chr4	82400000	82410000	-0.569680714409841	0.0001812379486588	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_3034	chr4	33395000	33400000	chr4	33520000	33525000	-0.468349214128843	0.0239053150981243	down_in_mutant	Active_Enhancer-Poised_Enhancer	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_3050	chr4	117705000	117710000	chr4	118290000	118295000	-0.637165764659236	0.004789085760411	down_in_mutant	CTCF_Site-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_3162	chr5	86165000	86170000	chr5	86815000	86820000	-0.49179923556903	0.0132915675900754	down_in_mutant	Poised_Enhancer-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_14988	chr5	41875000	41900000	chr5	43625000	43650000	-0.364018910309957	0.0014518412338507	down_in_mutant	CTCF_Site-CTCF_Site	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
loop_17280	chr6	51170000	51180000	chr6	52310000	52320000	-0.866346995338293	9.11944669701854e-06	down_in_mutant	Repressed_Promoter-Polycomb	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_3243	chr6	19580000	19585000	chr6	20595000	20600000	-0.593720340707453	0.017416485814602	down_in_mutant	Active_Enhancer-Poised_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_3244	chr6	106800000	106805000	chr6	107710000	107715000	-0.441273377578629	0.0250220643515027	down_in_mutant	Active_Promoter-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_3247	chr6	19580000	19585000	chr6	20500000	20505000	-0.518124344638804	0.0287498320047992	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_17332	chr6	42610000	42620000	chr6	43290000	43300000	-0.384812844216208	0.0149873355543256	down_in_mutant	Active_Enhancer-Other	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_3263	chr7	38180000	38185000	chr7	38225000	38230000	-0.365227924008328	0.0168046007960576	down_in_mutant	Active_Promoter-Other	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_3768	chr7	111040000	111050000	chr7	111240000	111250000	-0.453466896818812	0.0005410499886787	down_in_mutant	CTCF_Site-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_3357	chr10	59620000	59625000	chr10	59815000	59820000	-0.378789667339191	0.0287498320047992	down_in_mutant	Active_Enhancer-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_3398	chr10	13085000	13090000	chr10	14390000	14395000	-0.516277471406927	0.0206478738780949	down_in_mutant	Active_Enhancer-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_3456	chr14	70780000	70785000	chr14	70890000	70895000	0.689208253393807	0.0135165551198552	up_in_mutant	Repressed_Promoter-Polycomb	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_21700	chr14	24060000	24070000	chr14	24270000	24280000	0.356141088902321	0.0087001841420762	up_in_mutant	Polycomb-CTCF_Site	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_3462	chr9	63995000	64000000	chr9	64085000	64090000	0.343872786343041	0.0127557821097193	up_in_mutant	Polycomb-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_183	chr9	104575000	104600000	chr9	105050000	105075000	0.419793779939131	0.0001647257840287	up_in_mutant	Polycomb-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_10314	chr13	29850000	29860000	chr13	30250000	30260000	-0.455944243282767	0.0014296496134987	down_in_mutant	Active_Promoter-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_18627	chr13	53450000	53475000	chr13	53675000	53700000	0.338132400885666	0.0008959320518175	up_in_mutant	Repressed_Promoter-Polycomb	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
