gene	chr	start	end	wt_hmc	hmc_ctrl_M	hmc_ctrl_F	gb_ctrl_signal	dmr_qvalue	mod_difference	significant	chromatin_state	pred_prob_a
Adnp	chr2	168180985	168207111	0.3745	0.365	0.384	0.58601	1.74951549651697e-07	-0.0274607882053156	TRUE	Active_Promoter	0.986906479779025
Ywhae	chr11	75732868	75765844	0.3725	0.367	0.378	0.335989	7.41188729829576e-08	-0.0302336248234122	TRUE	Active_Promoter	0.986500362033881
Gm19668	chr10	77798386	77799132	0.372	0.3	0.444	NA	0.75720852213297	-0.051243894993895	FALSE	Unmarked	0.986396906387252
Rnf208	chr2	25242928	25244261	0.3705	0.391	0.35	1.765381	0.862227986347018	-0.0123644210846454	FALSE	Active_Promoter	0.986081825503145
Rnf133	chr6	23648868	23650304	0.3695	0.397	0.342	1.364435	0.000351168891639569	-0.053133023201693	TRUE	Unmarked	0.985867785409407
Ube2n	chr10	95515144	95545656	0.3695	0.373	0.366	0.752166	2.5736256860066e-10	-0.0347485597501048	TRUE	Active_Promoter	0.985867785409407
Pan3	chr5	147430160	147548501	0.3695	0.368	0.371	0.46572	2.73653724605604e-48	-0.0361365623518864	TRUE	Unmarked	0.985867785409407
Sppl2c	chr11	104186326	104191162	0.369	0.374	0.364	5.583001	0.0020920271012812	-0.0394686078302704	TRUE	Unmarked	0.985759551936569
Lhfp	chr3	53041527	53261678	0.3685	0.368	0.369	NA	1.39344656790508e-41	-0.0236645107080518	TRUE	Active_Promoter	0.985650501608173
Gpm6a	chr8	54954842	55060870	0.3685	0.364	0.373	0.704044	2.77189932089749e-07	-0.018213570919368	TRUE	Active_Promoter	0.985650501608173
Fbxw11	chr11	32642723	32746815	0.367	0.361	0.373	0.786163	2.86974066509473e-06	-0.012773141429728	TRUE	Active_Promoter	0.98531838949
Gabrb2	chr11	42419756	42629027	0.367	0.367	0.367	0.655577	2.22042903036956e-63	-0.0365916049049594	TRUE	Active_Promoter	0.98531838949
Nck1	chr9	100492292	100546133	0.367	0.361	0.373	0.41683	5.77665654078061e-18	-0.035100105243454	TRUE	Active_Promoter	0.98531838949
Hivep2	chr10	13966074	14151373	0.366	0.368	0.364	1.460668	1.97007582606044e-24	-0.0185543005340534	TRUE	Active_Promoter	0.985092786413863
Susd6	chr12	80790509	80880834	0.366	0.362	0.37	1.138951	0.317556964497029	-0.00440841904989325	FALSE	Active_Promoter	0.985092786413863
Lrrc3b	chr14	15357514	15438986	0.366	0.364	0.368	1.881395	2.00906466329676e-16	-0.0295273883676874	TRUE	Active_Promoter	0.985092786413863
Brinp1	chr4	68761513	68954396	0.366	0.366	0.366	1.151549	4.44131053528556e-89	-0.046462095488366	TRUE	Active_Promoter	0.985092786413863
Abhd17b	chr19	21653184	21685636	0.364	0.355	0.373	0.624303	3.45700072246888e-06	-0.0211829184376948	TRUE	Active_Promoter	0.984631289925466
Fbxl3	chr14	103080238	103099565	0.361	0.356	0.366	1.142377	5.88464863900816e-06	-0.0243416276925419	TRUE	Active_Promoter	0.983912559112508
Ywhaq	chr12	21390070	21417636	0.36	0.357	0.363	0.424014	1.24930036000699e-14	-0.0459639952604423	TRUE	Active_Promoter	0.983665711644439
Foxo3	chr10	42181840	42276754	0.359	0.356	0.362	1.830781	0.000565802751407177	-0.00863013605919183	TRUE	Active_Promoter	0.983415140366406
Ripply2	chr9	87015536	87019916	0.3585	0.336	0.381	1.634764	0.000114484830257289	-0.0540996569016488	TRUE	Active_Promoter	0.983288441388756
Ppm1d	chr11	85311243	85347065	0.358	0.358	0.358	0.491022	3.19843337781339e-09	-0.0290375080557006	TRUE	Active_Promoter	0.983160791076036
Olfm3	chr3	114904077	115125721	0.358	0.358	0.358	0.723667	5.526355004052e-42	-0.0298127261575563	TRUE	Active_Promoter	0.983160791076036
Fem1a	chr17	56256809	56263609	0.3565	0.344	0.369	0.997013	4.23645941672879e-07	-0.0487326261492502	TRUE	Active_Promoter	0.982772063006184
Mgat3	chr15	80173720	80215518	0.356	0.352	0.36	0.904403	0.00665276733298271	-0.0123752454129805	TRUE	Active_Promoter	0.982640538000971
Rnf182	chr13	43615709	43670944	0.3555	0.352	0.359	1.009806	3.20381043970768e-33	-0.0401548463875043	TRUE	Active_Promoter	0.982508026752775
Pten	chr19	32757496	32826159	0.3555	0.357	0.354	0.761464	6.4239525510618e-16	-0.0273264904297266	TRUE	Active_Promoter	0.982508026752775
Ankrd39	chr1	36537506	36547444	0.3545	0.358	0.351	1.68644	0.508492302516005	-0.0068026571175322	FALSE	Unmarked	0.982240016994072
Epn2	chr11	61517248	61579686	0.3545	0.353	0.356	1.07131	2.38874783593927e-13	-0.0299835353886226	TRUE	Unmarked	0.982240016994072
Lrfn4	chr19	4611784	4615666	0.3545	0.349	0.36	1.901641	0.0638660159613495	-0.0499483766930942	FALSE	Unmarked	0.982240016994072
Pafah1b1	chr11	74673948	74724669	0.354	0.361	0.347	0.231641	2.20802534456964e-10	-0.0280361457319772	TRUE	Active_Promoter	0.982104504098568
A330070K13Rik	chr5	130378777	130384630	0.3535	0.359	0.348	0.893497	8.02872860000775e-05	-0.0553867696751865	TRUE	Unmarked	0.981967976189589
Epdr1	chr13	19591705	19619926	0.3525	0.356	0.349	1.435389	1.24646792090007e-07	-0.0316285630433242	TRUE	Active_Promoter	0.981691846035247
Pacsin1	chr17	27655508	27711481	0.352	0.357	0.347	0.773017	3.88745730959753e-05	-0.0159886357790882	TRUE	Unmarked	0.981552229021099
Tcf4	chr18	69343355	69689078	0.352	0.349	0.355	1.419166	7.45211590753813e-149	-0.0298303468589616	TRUE	Active_Promoter	0.981552229021099
C2cd4d	chr3	94362437	94364565	0.351	0.31	0.392	2.859219	0.00215685141474574	-0.066524321918558	TRUE	Unmarked	0.981269853831862
Tmem65	chr15	58782268	58823637	0.3495	0.34	0.359	1.460305	7.92343854840286e-06	-0.0177296271604361	TRUE	Active_Promoter	0.980838324811107
Mapk8ip2	chr15	89453912	89464467	0.3495	0.358	0.341	1.433086	1.60164225081897e-07	-0.0457035081726788	TRUE	Active_Promoter	0.980838324811107
Cnot2	chr10	116485160	116581510	0.3495	0.347	0.352	0.784079	6.37491723498392e-47	-0.0374689564395038	TRUE	Active_Promoter	0.980838324811107
Nr1d2	chr14	18204053	18239126	0.3495	0.344	0.355	0.573594	1.28868311038727e-19	-0.0390196079688873	TRUE	Active_Promoter	0.980838324811107
Kansl1	chr11	104333228	104468860	0.349	0.345	0.353	0.296395	8.20558870186526e-14	-0.0206106733351423	TRUE	Unmarked	0.980692326904823
Nedd4l	chr18	64887704	65217827	0.349	0.349	0.349	1.394286	3.9407239956167e-55	-0.0196324171067791	TRUE	Active_Promoter	0.980692326904823
Tspan5	chr3	138742194	138907904	0.349	0.349	0.349	1.868153	4.14570907152348e-12	-0.0119470876007121	TRUE	Active_Promoter	0.980692326904823
Rnf148	chr6	23653897	23655135	0.349	0.367	0.331	1.359524	0.127399845185848	-0.0212071396571109	FALSE	Unmarked	0.980692326904823
Lrrn1	chr6	107529767	107570213	0.349	0.347	0.351	3.514037	5.10374477275407e-66	-0.0693689510246577	TRUE	Active_Promoter	0.980692326904823
Rab6a	chr7	100607409	100641267	0.349	0.367	0.331	0.353282	1.30843231496038e-10	-0.03594029969657	TRUE	Active_Promoter	0.980692326904823
Kcnk10	chr12	98429436	98578309	0.3485	0.347	0.35	1.128256	3.96597158781657e-23	-0.0212319237853468	TRUE	Active_Promoter	0.980545238665814
B4galt5	chr2	167298443	167349182	0.3485	0.347	0.35	1.655425	0.0120328425801006	-0.00991324503410212	TRUE	Unmarked	0.980545238665814
C130050O18Rik	chr5	139405279	139415622	0.3485	0.349	0.348	2.975195	5.14289533634589e-07	-0.0429909753630708	TRUE	Unmarked	0.980545238665814
Zbtb7a	chr10	81135219	81152994	0.348	0.348	0.348	1.312457	3.30476773609031e-05	-0.0252072893948394	TRUE	Active_Promoter	0.980397052288702
Chn2	chr6	54039553	54301809	0.348	0.349	0.347	1.131393	0.0315139288432546	-0.00375603994149998	TRUE	Active_Promoter	0.980397052288702
Crkl	chr16	17451986	17487433	0.3475	0.337	0.358	0.369178	1.14077602821226e-08	-0.0282741871920211	TRUE	Active_Promoter	0.980247759917394
Dyrk1a	chr16	94570009	94695516	0.3475	0.339	0.356	0.703532	1.52140965196266e-23	-0.0236260882776775	TRUE	Active_Promoter	0.980247759917394
Jmjd1c	chr10	67096124	67256325	0.3475	0.346	0.349	0.88853	1.08451448510268e-06	-0.0118176899044262	TRUE	Active_Promoter	0.980247759917394
Srgap2	chr1	131285250	131527351	0.346	0.348	0.344	1.024112	0.000312065345312752	-0.0093023852844808	TRUE	Active_Promoter	0.979793167511354
Lrrtm3	chr10	63928471	64090276	0.346	0.347	0.345	1.501377	1.25550740549178e-66	-0.0352477698752303	TRUE	Active_Promoter	0.979793167511354
Camk4	chr18	32934930	33191227	0.346	0.353	0.339	0.709595	4.90245912663146e-14	-0.014259934517462	TRUE	Active_Promoter	0.979793167511354
Ywhag	chr5	135908408	135934615	0.346	0.353	0.339	0.56861	0.556642608196768	-0.0039288377368279	FALSE	Active_Promoter	0.979793167511354
Neurl1a	chr19	47178819	47259440	0.3455	0.34	0.351	1.206267	9.88967511326066e-07	-0.0146485560275941	TRUE	Active_Promoter	0.979639371579243
Insyn1	chr9	58488602	58499779	0.3455	0.331	0.36	2.537036	3.26102461736894e-06	-0.0503344776698595	TRUE	Active_Promoter	0.979639371579243
Jarid2	chr13	44729473	44921642	0.3455	0.345	0.346	1.298465	7.3636163778437e-18	-0.0167363899852113	TRUE	Active_Promoter	0.979639371579243
Galnt7	chr8	57523827	57653031	0.345	0.342	0.348	1.353882	7.07674626726131e-306	-0.0745554585017827	TRUE	Active_Promoter	0.979484429602974
Mbnl2	chr14	120275668	120431696	0.344	0.342	0.346	1.474466	3.2592452048039e-56	-0.0268980473043401	TRUE	Active_Promoter	0.979171074802962
Samd14	chr11	95009878	95026086	0.3435	0.342	0.345	1.698317	0.000975684677224469	-0.0235575857007715	TRUE	Active_Promoter	0.979012645490314
Ankrd11	chr8	122883821	123042276	0.3435	0.34	0.347	0.714616	2.44006153012389e-25	-0.021082915179056	TRUE	Active_Promoter	0.979012645490314
Ric3	chr7	109034311	109083330	0.343	0.357	0.329	0.666649	5.08441101515821e-25	-0.0450081361230947	TRUE	Unmarked	0.978853037155201
Ak4	chr4	101419276	101466994	0.3415	0.34	0.343	1.255522	0.00394386577976873	-0.0108412095251715	TRUE	Active_Promoter	0.978367053977837
Ube2e3	chr2	78868123	78921292	0.341	0.34	0.342	1.019214	2.58218275763607e-17	-0.0352766329238708	TRUE	Active_Promoter	0.978202645247367
Lrrn2	chr1	132880272	132940004	0.341	0.333	0.349	2.564356	2.42758293217183e-07	-0.0201842650224415	TRUE	Active_Promoter	0.978202645247367
Car10	chr11	93098027	93601748	0.341	0.337	0.345	0.787797	8.0865209304132e-170	-0.0370553938111877	TRUE	Active_Promoter	0.978202645247367
Fem1c	chr18	46501745	46525970	0.341	0.328	0.354	1.002188	1.84682413906958e-11	-0.0332098652925634	TRUE	Active_Promoter	0.978202645247367
Ctbp2	chr7	132987562	133124353	0.34	0.341	0.339	1.32469	1.28252735679009e-91	-0.0403974656175611	TRUE	Active_Promoter	0.977870154806702
Grb2	chr11	115644044	115708596	0.3395	0.337	0.342	0.629864	5.41440098829603e-11	-0.020568713655581	TRUE	Active_Promoter	0.977702055748402
Nrg2	chr18	36017651	36197379	0.3395	0.34	0.339	1.712701	9.14446597849221e-13	-0.0153690353026929	TRUE	Active_Promoter	0.977702055748402
Micos10	chr4	139101813	139131112	0.3395	0.33	0.349	0.507347	2.75239046918042e-15	-0.0398752101756354	TRUE	Unmarked	0.977702055748402
Prxl2b	chr4	154895503	154899134	0.3395	0.323	0.356	2.792573	0.00564411161581069	-0.0451903607472336	TRUE	Active_Promoter	0.977702055748402
Ndufa4	chr6	11900291	11907496	0.3395	0.342	0.337	0.740035	0.000273273960878952	-0.0378279828591427	TRUE	Active_Promoter	0.977702055748402
Dgkd	chr1	87853286	87945179	0.339	0.336	0.342	0.89899	0.002089460124298	-0.0112480847978812	TRUE	Unmarked	0.977532709141331
Spred2	chr11	19924374	20024025	0.339	0.332	0.346	1.092624	0.00110683006342999	-0.00812810914544454	TRUE	Active_Promoter	0.977532709141331
Nuak1	chr10	84370904	84440596	0.3385	0.342	0.335	1.952954	0.0198858425864563	-0.00771564732765212	TRUE	Active_Promoter	0.977362106173988
Ppargc1b	chr18	61298135	61400430	0.3385	0.334	0.343	1.764768	9.48720160427492e-05	-0.0107296702052477	TRUE	Active_Promoter	0.977362106173988
Rbm4	chr19	4784292	4793900	0.3385	0.343	0.334	0.67412	0.000302353064184942	-0.028153084684182	TRUE	Poised_Enhancer	0.977362106173988
Paxx	chr2	25455140	25461093	0.3385	0.356	0.321	2.311986	0.0230601037808127	-0.0296262957772643	TRUE	Active_Promoter	0.977362106173988
Trmt9b	chr8	36457547	36516569	0.3385	0.331	0.346	1.379286	3.72403096739009e-24	-0.0309024214801911	TRUE	Active_Promoter	0.977362106173988
Gnao1	chr8	93809965	93969387	0.338	0.341	0.335	1.630505	6.23856533818555e-13	-0.0160825489781008	TRUE	Active_Promoter	0.977190237979455
Cul3	chr1	80264922	80340479	0.338	0.329	0.347	0.583103	1.63159294587637e-08	-0.0192702005054687	TRUE	Active_Promoter	0.977190237979455
Kmt2e	chr5	23434440	23504234	0.338	0.328	0.348	0.445403	1.21302590984755e-15	-0.0268046460400319	TRUE	Active_Promoter	0.977190237979455
Tab2	chr10	7905652	7956229	0.3375	0.339	0.336	0.801392	5.26175984675828e-13	-0.0262668087889117	TRUE	Active_Promoter	0.977017095635151
Vapa	chr17	65578326	65613554	0.3375	0.331	0.344	0.618797	9.24347308342345e-18	-0.039271249428832	TRUE	Active_Promoter	0.977017095635151
Ptgds	chr2	25466708	25470045	0.3375	0.333	0.342	2.03926	0.189561084022005	-0.0247852027634357	FALSE	Unmarked	0.977017095635151
Sp3	chr2	72936426	72980445	0.3375	0.327	0.348	0.553433	2.45133477306603e-15	-0.0342185683496933	TRUE	Unmarked	0.977017095635151
Fabp3	chr4	130308594	130315462	0.3375	0.337	0.338	1.838291	0.00197669293020423	-0.0362314775503143	TRUE	Unmarked	0.977017095635151
Kirrel3	chr9	34485893	35036715	0.3375	0.333	0.342	1.792071	1.95423044473427e-90	-0.0235157353854217	TRUE	Active_Promoter	0.977017095635151
Tbpl1	chr10	22703878	22731937	0.337	0.337	0.337	1.377586	3.71186701138857e-20	-0.040582613527344	TRUE	Active_Promoter	0.976842670162592
Rnf130	chr11	50025345	50125718	0.337	0.337	0.337	1.047048	7.84813731393813e-18	-0.0232979714098217	TRUE	Unmarked	0.976842670162592
Foxn3	chr12	99190077	99563581	0.337	0.336	0.338	1.25069	3.71942315364751e-45	-0.0167969218597379	TRUE	Active_Promoter	0.976842670162592
Pkia	chr3	7366668	7445365	0.337	0.332	0.342	0.771309	1.6997515544718e-09	-0.021972460550729	TRUE	Active_Promoter	0.976842670162592
Med13l	chr5	118560678	118765437	0.337	0.336	0.338	1.329354	4.80121644139378e-24	-0.0172445418398122	TRUE	Active_Promoter	0.976842670162592
Mpg	chr11	32226504	32232699	0.3365	0.307	0.366	2.748112	0.326131479922103	-0.0105386119580028	FALSE	Unmarked	0.97666695252715
Hnrnpc	chr14	52073376	52104027	0.3365	0.338	0.335	0.38261	3.47394627758639e-08	-0.0307334007553618	TRUE	Active_Promoter	0.97666695252715
Syt11	chr3	88744699	88775163	0.3365	0.332	0.341	0.554693	0.198992592038856	-0.00679088628736929	FALSE	Active_Promoter	0.97666695252715
Khnyn	chr14	55884946	55898774	0.336	0.337	0.335	1.227116	0.0411160161130737	-0.0142085186937003	TRUE	Active_Promoter	0.97648993363781
Dip2b	chr15	100038663	100219472	0.336	0.332	0.34	0.988079	1.69637469121187e-65	-0.0311741732075809	TRUE	Active_Promoter	0.97648993363781
Rbm39	chr2	156147238	156180237	0.336	0.346	0.326	0.31505	1.4542111774752e-10	-0.0310973679630616	TRUE	Active_Promoter	0.97648993363781
Tubg2	chr11	101155906	101161786	0.335	0.333	0.337	0.836478	1.94907446943709e-09	-0.0639935004064375	TRUE	Unmarked	0.976131955450007
Nptn	chr9	58582239	58657954	0.335	0.332	0.338	0.480773	8.12593547186561e-21	-0.033878142854132	TRUE	Active_Promoter	0.976131955450007
Shisa4	chr1	135371056	135375236	0.335	0.353	0.317	2.572023	0.771407547509303	0.00452904180483554	FALSE	Active_Promoter	0.976131955450007
Gpr27	chr6	99692678	99695065	0.335	0.345	0.325	4.236495	0.169353008551871	-0.0289620990739334	FALSE	Active_Promoter	0.976131955450007
Arf1	chr11	59211411	59228269	0.3345	0.326	0.343	0.543019	0.0404773963483886	-0.0156740928041821	TRUE	Active_Promoter	0.975950977685432
Tafa5	chr15	87544298	87759363	0.3345	0.333	0.336	2.233854	5.69122066409646e-08	-0.0102299422898143	TRUE	Active_Promoter	0.975950977685432
Ssbp3	chr4	106910700	107049693	0.3345	0.334	0.335	2.580095	0.0368738240778122	-0.00518552506150116	TRUE	Active_Promoter	0.975950977685432
Gprc5b	chr7	118972046	118995210	0.3345	0.329	0.34	2.734802	5.50171407525346e-06	-0.0278452991565102	TRUE	Active_Promoter	0.975950977685432
Lin7a	chr10	107271685	107421473	0.334	0.333	0.335	0.889511	2.60863929093148e-28	-0.0253530175760899	TRUE	Active_Promoter	0.975768661734255
Ank	chr15	27466676	27594908	0.334	0.336	0.332	1.842317	1.02896069604672e-65	-0.0331046653223224	TRUE	Active_Promoter	0.975768661734255
Npff	chr15	102523838	102524941	0.334	0.362	0.306	1.206277	0.212260057554543	-0.044451989404831	FALSE	Unmarked	0.975768661734255
Kcnd2	chr6	21215502	21729804	0.3335	0.329	0.338	0.739126	1.02119864055484e-168	-0.0367401085527765	TRUE	Active_Promoter	0.97558499821995
Celf4	chr18	25477631	25754156	0.333	0.331	0.335	3.139522	2.36536366408243e-10	-0.0105893076406534	TRUE	Active_Promoter	0.975399977708179
Tmem229b	chr12	78961794	79007626	0.3325	0.335	0.33	1.364399	5.14891878943831e-07	-0.021883739669463	TRUE	Active_Promoter	0.975213590706557
Sphkap	chr1	83254138	83408199	0.332	0.335	0.329	0.712537	7.43833303516138e-16	-0.020240997569048	TRUE	Active_Promoter	0.975025827664419
Ube2d1	chr10	71254979	71285261	0.332	0.322	0.342	0.894557	2.07297342668189e-11	-0.0250872012250299	TRUE	Active_Promoter	0.975025827664419
Gap43	chr16	42248441	42340650	0.332	0.332	0.332	1.595702	4.84040644919474e-47	-0.0415633619834631	TRUE	Active_Promoter	0.975025827664419
Ccni	chr5	93181932	93206494	0.332	0.34	0.324	0.601133	0.00129042897527593	-0.0199953099521665	TRUE	Active_Promoter	0.975025827664419
Siah1a	chr8	86724006	86745933	0.332	0.325	0.339	0.739535	0.00179469854359435	-0.0187033624586308	TRUE	Active_Promoter	0.975025827664419
Rnf227	chr11	69340460	69342640	0.3315	0.313	0.35	1.530871	0.000884094161447451	-0.0678424361163397	TRUE	Unmarked	0.974836678972588
Sirpa	chr2	129592834	129632227	0.3315	0.331	0.332	2.586497	9.63406116585318e-11	-0.0272993011163345	TRUE	Active_Promoter	0.974836678972588
Bcl2l1	chr2	152780667	152831727	0.3315	0.335	0.328	1.392216	0.481401902823713	0.00375880363448183	FALSE	Active_Promoter	0.974836678972588
Tcap	chr11	98383810	98384952	0.331	0.466	0.196	3.600534	0.706243218691808	0.0238218267303648	FALSE	Unmarked	0.974646134963144
Rbm33	chr5	28317120	28419238	0.331	0.33	0.332	0.673405	1.48950678613089e-42	-0.0424831219469615	TRUE	Active_Promoter	0.974646134963144
Cebpg	chr7	35046421	35056572	0.3305	0.334	0.327	0.759923	3.9748636421166e-06	-0.0355510748712428	TRUE	Active_Promoter	0.974454185909195
Ccdc166	chr15	75979871	75982454	0.33	0.322	0.338	2.160783	0.618295358903405	-0.0123367353338056	FALSE	Unmarked	0.974260822024648
Socs3	chr11	117966078	117970046	0.3295	0.312	0.347	6.729516	0.255386298175623	-0.0494567403739998	FALSE	Repressed_Promoter	0.974066033463983
Xkr6	chr14	63606502	63820808	0.3295	0.329	0.33	1.322083	4.39660258986985e-31	-0.0222750836422023	TRUE	Active_Promoter	0.974066033463983
Cox14	chr15	99725646	99729531	0.3295	0.318	0.341	0.72701	0.0048447435816597	-0.0440789393969351	TRUE	Active_Promoter	0.974066033463983
Gatad2b	chr3	90293177	90363406	0.3295	0.329	0.33	0.286419	4.30882604803169e-15	-0.0300973212792631	TRUE	Active_Promoter	0.974066033463983
Mgll	chr6	88724411	88828359	0.3295	0.331	0.328	2.439926	1.74964639250384e-46	-0.0344510690408868	TRUE	Active_Promoter	0.974066033463983
Zfand3	chr17	30004732	30210827	0.329	0.33	0.328	1.012535	1.46577009431025e-56	-0.0276724676858603	TRUE	Unmarked	0.973869810322023
Ly6g6d	chr17	35071442	35078064	0.329	0.325	0.333	1.131468	0.233181323609617	-0.0149243149454066	FALSE	Unmarked	0.973869810322023
Epc1	chr18	6435950	6516107	0.329	0.332	0.326	0.782224	5.08524504001616e-13	-0.0210231043947672	TRUE	Active_Promoter	0.973869810322023
Clvs1	chr4	9269292	9451690	0.329	0.326	0.332	0.975115	1.53733583554969e-15	-0.0164648586242188	TRUE	Active_Promoter	0.973869810322023
Man1c1	chr4	134561689	134704289	0.329	0.327	0.331	1.472833	2.98266560332134e-43	-0.0274063207964705	TRUE	Active_Promoter	0.973869810322023
Fam53b	chr7	132712081	132813885	0.329	0.329	0.329	1.66813	0.00170687003848917	-0.00922233777802906	TRUE	Active_Promoter	0.973869810322023
Elavl3	chr9	22015004	22052022	0.329	0.329	0.329	0.595265	6.29705891641829e-10	-0.0278044528720265	TRUE	Active_Promoter	0.973869810322023
Gna13	chr11	109362830	109401368	0.3285	0.325	0.332	0.827971	7.49310085116398e-72	-0.0586091078323678	TRUE	Active_Promoter	0.973672142633716
D430041D05Rik	chr2	104143072	104411012	0.3285	0.327	0.33	1.454195	1.86375576682849e-14	-0.0118412807503548	TRUE	Active_Promoter	0.973672142633716
Tmem59l	chr8	70483866	70487357	0.3285	0.354	0.303	2.973571	0.0680083014522708	-0.0380476521357143	FALSE	Active_Promoter	0.973672142633716
Acd	chr8	105695859	105701101	0.3285	0.341	0.316	1.302847	0.226439861536677	-0.0174648161937965	FALSE	Active_Promoter	0.973672142633716
Dpf3	chr12	83213744	83487715	0.328	0.326	0.33	1.234421	1.94792440591805e-46	-0.0223536568384193	TRUE	Active_Promoter	0.973473020373909
Tram1l1	chr3	124320854	124324742	0.328	0.316	0.34	2.810244	0.00402424865603574	-0.0340506293911247	TRUE	Active_Promoter	0.973473020373909
Prag1	chr8	36094827	36147786	0.328	0.329	0.327	2.136596	1.63979538637621e-54	-0.0448224389389501	TRUE	Active_Promoter	0.973473020373909
Capn15	chr17	25958363	25985795	0.3275	0.33	0.325	1.126758	0.000576422832920217	-0.0227903902481965	TRUE	Active_Promoter	0.973272433457126
Atn1	chr6	124742543	124756523	0.3275	0.325	0.33	1.223807	7.1864159738092e-14	-0.04992230341173	TRUE	Active_Promoter	0.973272433457126
Cnksr3	chr10	7119062	7212236	0.327	0.325	0.329	1.349773	0.0061544035875776	0.00758485152811333	TRUE	Active_Promoter	0.973070371737351
Prkcz	chr4	155260128	155361360	0.327	0.327	0.327	1.073068	1.39141096383832e-35	-0.0283885088543281	TRUE	Active_Promoter	0.973070371737351
