gene	chr	start	end	mc_diff_pct	mc_direction	mc_ctrl_mean	mc_mut_mean	mc_at_floor	hmc_diff_pct	hmc_direction	hmc_ctrl_mean	hmc_mut_mean	hmc_at_floor	coordinated	num_contexts	mean_coverage
Nr3c1	chr18	39410544	39519420	11.86	Hypermethylated	0.483874938989633	0.602457005036302	TRUE	NA	NA	NA	NA	FALSE	single_modality	666	23.0557432432432
Rps6ka5	chr12	100548438	100726982	11.6	Hypermethylated	0.614659903332539	0.730648754044996	TRUE	-8.64	Hypomethylated	0.234639475529986	0.148241721534948	TRUE	mC_up_hmC_down	1157	22.5820008643042
Afap1l2	chr19	56912360	57008227	11.5	Hypermethylated	0.432137469719503	0.547112177104289	TRUE	NA	NA	NA	NA	FALSE	single_modality	1031	16.421435499515
Fam78b	chr1	167001416	167091301	11.44	Hypermethylated	0.505512437311497	0.619868283601792	TRUE	NA	NA	NA	NA	FALSE	single_modality	873	19.036941580756
Itgb5	chr16	33829664	33949337	11.29	Hypermethylated	0.588209172718151	0.701145364188494	TRUE	-7.5	Hypomethylated	0.244140305861346	0.169096125655542	TRUE	mC_up_hmC_down	1293	17.2678847641145
Runx1t1	chr4	13743435	13893648	10.95	Hypermethylated	0.52114257107312	0.63064494856808	TRUE	NA	NA	NA	NA	FALSE	single_modality	1139	22.133230904302
Jph1	chr1	16964559	17097888	10.75	Hypermethylated	0.539770596015148	0.647285364820677	TRUE	NA	NA	NA	NA	FALSE	single_modality	708	22.0508474576271
Caln1	chr5	130369454	130847411	10.67	Hypermethylated	0.514426087594434	0.621174879929534	TRUE	-6.97	Hypomethylated	0.314926586640232	0.245191145183157	TRUE	mC_up_hmC_down	3301	19.090351408664
Unc5c	chr3	141465215	141834923	10.66	Hypermethylated	0.522136548496153	0.628687104731708	TRUE	-7.22	Hypomethylated	0.315376093979702	0.243194734237361	TRUE	mC_up_hmC_down	1810	23.7113259668508
Lgr4	chr2	109917646	110014256	10.17	Hypermethylated	0.542336747947151	0.644076253084702	TRUE	NA	NA	NA	NA	FALSE	single_modality	857	22.1551925320887
E2f3	chr13	29906574	29986062	10.14	Hypermethylated	0.682380574403723	0.783826993499625	TRUE	-8.63	Hypomethylated	0.220843782759482	0.134537554658933	TRUE	mC_up_hmC_down	1046	21.0172084130019
Pld5	chr1	175962305	176275311	10.02	Hypermethylated	0.567365642738713	0.667532807233536	TRUE	-5.92	Hypomethylated	0.266413456428901	0.207175715304096	TRUE	mC_up_hmC_down	2053	21.5718460789089
Itpk1	chr12	102568581	102704929	9.99	Hypermethylated	0.473943164948243	0.573883736550873	TRUE	NA	NA	NA	NA	FALSE	single_modality	1615	15.9581269349845
Lrrc49	chr9	60568858	60688157	9.84	Hypermethylated	0.574660438629198	0.673071096335294	TRUE	NA	NA	NA	NA	FALSE	single_modality	953	19.8058761804827
Heg1	chr16	33684369	33771575	9.76	Hypermethylated	0.587604672999307	0.685158103504195	TRUE	NA	NA	NA	NA	FALSE	single_modality	1083	18.0301246537396
Dclk2	chr3	86786150	86920851	9.74	Hypermethylated	0.543766083079054	0.641169734113576	TRUE	NA	NA	NA	NA	FALSE	single_modality	1414	20.011580622348
Add3	chr19	53140442	53247398	9.67	Hypermethylated	0.5263039329099	0.623015377643563	TRUE	NA	NA	NA	NA	FALSE	single_modality	1082	20.5389325323475
Epha3	chr16	63543533	63864174	9.63	Hypermethylated	0.66380679993885	0.760118837926776	TRUE	-7.63	Hypomethylated	0.20935454660066	0.13303592265408	TRUE	mC_up_hmC_down	1749	24.9453973699257
Bmp5	chr9	75775363	75900309	9.63	Hypermethylated	0.683068713708785	0.779374852965442	TRUE	-6.59	Hypomethylated	0.157501699410306	0.0916014640378273	TRUE	mC_up_hmC_down	785	24.290127388535
Kctd8	chr5	69109284	69341678	9.61	Hypermethylated	0.552472937286981	0.64856535112758	TRUE	NA	NA	NA	NA	FALSE	single_modality	952	24.047531512605
Ldlrad3	chr2	101950202	102186384	9.25	Hypermethylated	0.590522804407434	0.683007162842987	TRUE	-5.45	Hypomethylated	0.265884510740538	0.211406105102106	TRUE	mC_up_hmC_down	2585	18.3634912959381
Tmtc2	chr10	105187662	105574450	9.24	Hypermethylated	0.610519002502844	0.702919256750651	TRUE	-7.76	Hypomethylated	0.261939331083261	0.184341366081584	TRUE	mC_up_hmC_down	3019	23.4064259688639
Ubash3b	chr9	41011097	41161696	9.18	Hypermethylated	0.510021832142955	0.601800643045341	TRUE	NA	NA	NA	NA	FALSE	single_modality	1532	18.2257669712794
Zhx2	chr15	57694664	57839831	9.18	Hypermethylated	0.545804172405609	0.637647254666769	TRUE	NA	NA	NA	NA	FALSE	single_modality	1558	17.9476893453145
Cdk17	chr10	93160874	93267070	9.16	Hypermethylated	0.455507319257435	0.54711903026067	TRUE	NA	NA	NA	NA	FALSE	single_modality	1145	20.5730349344978
Trpm3	chr19	22139045	22995409	8.99	Hypermethylated	0.61625247235649	0.706112403927714	TRUE	-5.09	Hypomethylated	0.238193475869877	0.187259026741469	TRUE	mC_up_hmC_down	5828	22.3323610157859
Ncald	chr15	37366174	37792569	8.72	Hypermethylated	0.612671133418017	0.699884254605694	TRUE	-4.79	Hypomethylated	0.23749344151428	0.189561210265307	TRUE	mC_up_hmC_down	3516	19.8950867463026
Dlg1	chr16	31663442	31875128	8.68	Hypermethylated	0.572708885547579	0.659519159945178	TRUE	NA	NA	NA	NA	FALSE	single_modality	1338	22.6326606875934
Cdh8	chr8	99024470	99416470	8.52	Hypermethylated	0.633639475430346	0.718810572151761	TRUE	-6.8	Hypomethylated	0.238802157508182	0.170753138786381	TRUE	mC_up_hmC_down	1822	24.6610181119649
Lpp	chr16	24393506	24992577	8.51	Hypermethylated	0.654555698359258	0.739688215912983	TRUE	-5.76	Hypomethylated	0.235496166920149	0.177912728054206	TRUE	mC_up_hmC_down	4506	21.8544440745672
Tmeff2	chr1	50900646	51187269	8.5	Hypermethylated	0.640378491826691	0.7254126058217	TRUE	-6.32	Hypomethylated	0.223229429666836	0.160037651879966	TRUE	mC_up_hmC_down	1582	24.5595764854614
Nrip1	chr16	76287399	76373826	8.49	Hypermethylated	0.509324236379029	0.59423700656875	TRUE	NA	NA	NA	NA	FALSE	single_modality	1159	21.5391501294219
Arhgap26	chr18	38676717	39110533	8.46	Hypermethylated	0.632502946312368	0.717146036628845	TRUE	NA	NA	NA	NA	FALSE	single_modality	4074	19.6097201767305
Ptchd4	chr17	42315946	42505076	8.45	Hypermethylated	0.687361043553803	0.771836361900959	TRUE	-6.83	Hypomethylated	0.214641054688347	0.14632341599365	TRUE	mC_up_hmC_down	961	23.6467221644121
Lrrtm3	chr10	63928471	64090276	8.37	Hypermethylated	0.352630485126402	0.436286417184588	TRUE	NA	NA	NA	NA	FALSE	single_modality	1232	22.1114042207792
Ppm1l	chr3	69316860	69560801	8.1	Hypermethylated	0.569937700593607	0.65095924701421	TRUE	-5.33	Hypomethylated	0.283943143137576	0.230637302816793	TRUE	mC_up_hmC_down	2579	20.6531116711904
Aig1	chr10	13647053	13868979	8.09	Hypermethylated	0.525704007027182	0.606585987668104	TRUE	NA	NA	NA	NA	FALSE	single_modality	1876	21.4589552238806
Sptb	chr12	76580487	76710546	8.05	Hypermethylated	0.452349094632222	0.53288929138706	TRUE	NA	NA	NA	NA	FALSE	single_modality	1585	17.0757097791798
Myt1l	chr12	29528383	29923212	8	Hypermethylated	0.617488525144413	0.697479925127299	TRUE	-5.99	Hypomethylated	0.219741497033232	0.159854695629989	TRUE	mC_up_hmC_down	2939	20.6270840421912
Maml3	chr3	51685906	52105075	7.97	Hypermethylated	0.592762990210212	0.672452139382638	TRUE	-4.6	Hypomethylated	0.265350667370871	0.219374773475484	TRUE	mC_up_hmC_down	5317	19.6378832048147
Gramd1b	chr9	40293232	40531382	7.85	Hypermethylated	0.436896688594335	0.515428238077552	TRUE	NA	NA	NA	NA	FALSE	single_modality	2323	19.1141304347826
Fam107b	chr2	3570487	3782141	7.84	Hypermethylated	0.631092628819651	0.709456266767524	TRUE	NA	NA	NA	NA	FALSE	single_modality	1619	20.1952594193947
Zbtb20	chr16	42875880	43642601	7.75	Hypermethylated	0.660374804468341	0.737893647758754	TRUE	-5.64	Hypomethylated	0.215434871853896	0.159038884654026	TRUE	mC_up_hmC_down	4781	23.2629157080109
Peak1	chr9	56201125	56418066	7.71	Hypermethylated	0.563004082346738	0.640065918945542	TRUE	NA	NA	NA	NA	FALSE	single_modality	1563	22.3161388355726
Cdyl2	chr8	116574399	116732990	7.67	Hypermethylated	0.658452084191442	0.735180452163827	TRUE	-6.64	Hypomethylated	0.235331886513332	0.168972557342118	TRUE	mC_up_hmC_down	1693	19.1661252215003
Rims2	chr15	39198260	39684371	7.67	Hypermethylated	0.591951350105404	0.668648098382076	TRUE	-5.03	Hypomethylated	0.26413097387893	0.213834922884236	TRUE	mC_up_hmC_down	2563	22.4564962934062
Nfia	chr4	97772733	98118873	7.66	Hypermethylated	0.457978593038488	0.534627216234368	TRUE	NA	NA	NA	NA	FALSE	single_modality	2910	21.9802835051546
Svep1	chr4	58042441	58206858	7.5	Hypermethylated	0.705093523360558	0.780080842440474	TRUE	-5.29	Hypomethylated	0.166481750710971	0.113561815148359	TRUE	mC_up_hmC_down	1550	21.6108064516129
Rit2	chr18	30973488	31317289	7.41	Hypermethylated	0.734209507242041	0.808296077581016	TRUE	-6.77	Hypomethylated	0.1750612792351	0.107338372850427	TRUE	mC_up_hmC_down	1587	24.1795053560176
Trhde	chr10	114398820	114802306	7.26	Hypermethylated	0.662997007894628	0.735629457436484	TRUE	-6.2	Hypomethylated	0.212369781767739	0.150418804748424	TRUE	mC_up_hmC_down	2248	24.1194395017794
Plcl2	chr17	50509402	50688483	7.25	Hypermethylated	0.576274861447263	0.648802114135765	TRUE	NA	NA	NA	NA	FALSE	single_modality	1507	21.0151791639018
Mllt3	chr4	87769924	88033363	7.23	Hypermethylated	0.569346970859172	0.641674106123721	TRUE	NA	NA	NA	NA	FALSE	single_modality	1976	22.6231022267206
Cog5	chr12	31654868	31937629	7.08	Hypermethylated	0.658304478574485	0.729072570572343	TRUE	NA	NA	NA	NA	FALSE	single_modality	1884	22.4004777070064
Nfib	chr4	82290172	82705749	7.01	Hypermethylated	0.441185613101348	0.511280652356242	TRUE	NA	NA	NA	NA	FALSE	single_modality	3835	21.5242177314211
Tmem132c	chr5	127241807	127565792	6.78	Hypermethylated	0.649108031777896	0.716879701556819	TRUE	-5.77	Hypomethylated	0.200768216584863	0.143053257440962	TRUE	mC_up_hmC_down	3040	18.3965460526316
Sergef	chr7	46443153	46639806	6.78	Hypermethylated	0.512357468866414	0.580185748914008	TRUE	NA	NA	NA	NA	FALSE	single_modality	2245	17.9922048997773
Car10	chr11	93098027	93601748	6.69	Hypermethylated	0.46423306189711	0.531124877675005	TRUE	NA	NA	NA	NA	FALSE	single_modality	2888	21.7266274238227
Rab3c	chr13	110054186	110280995	6.66	Hypermethylated	0.596411582901294	0.663047154181082	TRUE	NA	NA	NA	NA	FALSE	single_modality	1707	22.7185852372583
Kcnab1	chr3	64949195	65378222	6.6	Hypermethylated	0.679987569898824	0.74597884230085	TRUE	-4.39	Hypomethylated	0.179191936830803	0.135262703793756	TRUE	mC_up_hmC_down	2314	22.019716940363
Ldlrad4	chr18	67933256	68268629	6.59	Hypermethylated	0.519575650631756	0.585501103085803	TRUE	NA	NA	NA	NA	FALSE	single_modality	3610	19.9197022160665
Slco3a1	chr7	74275418	74554779	6.4	Hypermethylated	0.572050145662425	0.636047608571812	TRUE	NA	NA	NA	NA	FALSE	single_modality	2135	19.2779859484778
1700025G04Rik	chr1	151852402	152090124	6.28	Hypermethylated	0.495154571891374	0.557977032958663	TRUE	NA	NA	NA	NA	FALSE	single_modality	2723	20.2067572530297
Snd1	chr6	28475138	28935161	6.04	Hypermethylated	0.614584155980767	0.674969226366021	TRUE	NA	NA	NA	NA	FALSE	single_modality	3591	20.0120091896408
Cntn6	chr6	104492789	104863405	6.01	Hypermethylated	0.700920744068365	0.761036374302894	TRUE	-5.55	Hypomethylated	0.183290688473874	0.127795815134334	TRUE	mC_up_hmC_down	1553	24.4860753380554
Ext1	chr15	53064037	53346158	6.01	Hypermethylated	0.576765016009533	0.636815472634592	TRUE	NA	NA	NA	NA	FALSE	single_modality	2666	21.4457520630158
Dlgap1	chr17	69969072	70821412	5.75	Hypermethylated	0.58162316522434	0.63909833521636	TRUE	-4.36	Hypomethylated	0.262419249744333	0.218785035268783	TRUE	mC_up_hmC_down	6600	20.8470075757576
Samd12	chr15	53453809	53902536	5.65	Hypermethylated	0.69865950866965	0.755162490046661	TRUE	-4.12	Hypomethylated	0.193222503397725	0.152036593375497	TRUE	mC_up_hmC_down	2609	23.1261019547719
Negr1	chr3	156561793	157316444	5.65	Hypermethylated	0.542053452801088	0.59850766420907	TRUE	NA	NA	NA	NA	FALSE	single_modality	3656	22.8832056892779
Prune2	chr19	16956117	17223931	5.65	Hypermethylated	0.692545094277728	0.74903773328557	TRUE	NA	NA	NA	NA	FALSE	single_modality	2221	21.8729176046826
Zfp385b	chr2	77410633	77819638	5.47	Hypermethylated	0.494302802867296	0.549003528616544	TRUE	-4.45	Hypomethylated	0.307337185747959	0.262861864123254	TRUE	mC_up_hmC_down	3862	21.4791558777835
Csmd2	chr4	127987856	128567655	-5.46	Hypomethylated	0.709675237076001	0.65511119777996	TRUE	NA	NA	NA	NA	FALSE	single_modality	5846	17.8015523434827
Cadm2	chr16	66655420	67620907	5.44	Hypermethylated	0.650962076845473	0.705350310064024	TRUE	-3.84	Hypomethylated	0.228435871188902	0.190081312192833	TRUE	mC_up_hmC_down	4796	24.7678273561301
Syne1	chr10	5020916	5551481	5.36	Hypermethylated	0.492790040097121	0.546351759991845	TRUE	NA	NA	NA	NA	FALSE	single_modality	3752	20.9748134328358
Sgcz	chr8	37522297	38661507	-5.17	Hypomethylated	0.812875612607372	0.761156843185184	TRUE	NA	NA	NA	NA	FALSE	single_modality	4277	24.0667231704466
Tcf4	chr18	69343355	69689078	5.13	Hypermethylated	0.330607615735362	0.381907327578877	TRUE	NA	NA	NA	NA	FALSE	single_modality	4246	20.8567475270843
Pde4d	chr13	108449947	109953460	4.82	Hypermethylated	0.673546144600015	0.721728624208981	TRUE	-3.93	Hypomethylated	0.192244227414056	0.15293776525447	TRUE	mC_up_hmC_down	10611	22.7648666478183
Fat3	chr9	15910188	16501284	-4.39	Hypomethylated	0.770542533812878	0.726656544603448	TRUE	5.31	Hypermethylated	0.124099652453952	0.177220739263508	TRUE	mC_down_hmC_up	3543	22.8676968670618
Rora	chr9	68653785	69388245	4.23	Hypermethylated	0.585274120322299	0.627553969878086	TRUE	-4.07	Hypomethylated	0.275214189586967	0.234468526329349	TRUE	mC_up_hmC_down	7081	19.6036753283435
Kcnip4	chr5	48389501	49524906	4.13	Hypermethylated	0.704358337562884	0.745662443022529	TRUE	-4.08	Hypomethylated	0.167446507359034	0.126665676313111	TRUE	mC_up_hmC_down	5112	24.3306191314554
Pcdh9	chr14	93013409	93890678	3.97	Hypermethylated	0.660668506227543	0.700329768416725	TRUE	NA	NA	NA	NA	FALSE	single_modality	4604	24.8062282797567
Ank3	chr10	69398772	70027437	3.95	Hypermethylated	0.592798704876013	0.63230015524137	TRUE	-2.93	Hypomethylated	0.218946396688449	0.189613075083345	TRUE	mC_up_hmC_down	6951	19.8972090346713
Lsamp	chr16	39984360	42181678	3.76	Hypermethylated	0.713330119781662	0.750968703321312	TRUE	-2.4	Hypomethylated	0.177424425887003	0.153426900112668	TRUE	mC_up_hmC_down	10684	24.3909116435792
Lrrc4c	chr2	96318168	97631665	3.54	Hypermethylated	0.735325988765099	0.770750524234378	TRUE	-2.59	Hypomethylated	0.152921668836502	0.127048488459394	TRUE	mC_up_hmC_down	5329	24.3044426721711
Opcml	chr9	27790774	28925409	3.52	Hypermethylated	0.702679966306576	0.737909883811108	TRUE	NA	NA	NA	NA	FALSE	single_modality	6114	22.5318122342166
Macrod2	chr2	140395308	142392965	2.34	Hypermethylated	0.75563291796689	0.779033618738814	TRUE	NA	NA	NA	NA	FALSE	single_modality	9986	23.9291382936111
Shb	chr4	45423277	45532469	NA	NA	NA	NA	FALSE	8.21	Hypermethylated	0.134821270858525	0.216938996058103	TRUE	single_modality	NA	NA
Angpt1	chr15	42424722	42676976	NA	NA	NA	NA	FALSE	-6.89	Hypomethylated	0.144386465182808	0.075463537522536	TRUE	single_modality	NA	NA
Arhgap26	chr18	38993144	39376283	NA	NA	NA	NA	FALSE	-6.65	Hypomethylated	0.256825161189283	0.190285422520988	TRUE	single_modality	NA	NA
Epha5	chr5	84054760	84417381	NA	NA	NA	NA	FALSE	4.56	Hypermethylated	0.0676202523907003	0.113216783462736	TRUE	single_modality	NA	NA
Arid5b	chr10	68092519	68278739	NA	NA	NA	NA	FALSE	-4.54	Hypomethylated	0.163131756703517	0.117685622523835	TRUE	single_modality	NA	NA
Mctp1	chr13	76384534	77031809	NA	NA	NA	NA	FALSE	-4.26	Hypomethylated	0.184149677405271	0.141590941910741	TRUE	single_modality	NA	NA
Cadm1	chr9	47530172	47858114	NA	NA	NA	NA	FALSE	-4.16	Hypomethylated	0.254510117534081	0.212924066444728	TRUE	single_modality	NA	NA
Mtus2	chr5	147957319	148316064	NA	NA	NA	NA	FALSE	-3.96	Hypomethylated	0.216208088038046	0.17658411953013	TRUE	single_modality	NA	NA
Slc24a3	chr2	145167753	145642165	NA	NA	NA	NA	FALSE	3.95	Hypermethylated	0.111958024686866	0.151500364526654	TRUE	single_modality	NA	NA
Il1rapl1	chrX	86740869	88115644	NA	NA	NA	NA	FALSE	-3.91	Hypomethylated	0.107941081646013	0.0688863460268256	TRUE	single_modality	NA	NA
Gria1	chr11	57011386	57330243	NA	NA	NA	NA	FALSE	3.83	Hypermethylated	0.0891103762911351	0.127442925721688	TRUE	single_modality	NA	NA
Kcnma1	chr14	23289430	24014490	NA	NA	NA	NA	FALSE	3.73	Hypermethylated	0.10848881685254	0.145787251230404	TRUE	single_modality	NA	NA
Cntnap2	chr6	45059356	47304212	NA	NA	NA	NA	FALSE	-3.65	Hypomethylated	0.123553634870608	0.0870616362408768	TRUE	single_modality	NA	NA
Tenm4	chr7	96171245	96911092	NA	NA	NA	NA	FALSE	3.65	Hypermethylated	0.0988287222391127	0.135323447203475	TRUE	single_modality	NA	NA
Tmem117	chr15	94629231	95096097	NA	NA	NA	NA	FALSE	-3.48	Hypomethylated	0.171459457409797	0.136687517001	TRUE	single_modality	NA	NA
Magi1	chr6	93675454	94283916	NA	NA	NA	NA	FALSE	-3.42	Hypomethylated	0.162991995894865	0.128831203518355	TRUE	single_modality	NA	NA
Ptprg	chr14	11553531	12242040	NA	NA	NA	NA	FALSE	-3.04	Hypomethylated	0.190261257018338	0.159867354753954	TRUE	single_modality	NA	NA
Csmd1	chr8	15892536	17535585	NA	NA	NA	NA	FALSE	3.01	Hypermethylated	0.0957207820516723	0.125868770052159	TRUE	single_modality	NA	NA
Dlgap2	chr8	14095864	14847679	NA	NA	NA	NA	FALSE	2.58	Hypermethylated	0.0840065180353986	0.109779619244215	TRUE	single_modality	NA	NA
Robo1	chr16	72308305	73046094	NA	NA	NA	NA	FALSE	-2.46	Hypomethylated	0.114406502408658	0.0898277449752213	TRUE	single_modality	NA	NA
Hs6st3	chr14	119138340	119869814	NA	NA	NA	NA	FALSE	-2.39	Hypomethylated	0.127074772543646	0.103178691737405	TRUE	single_modality	NA	NA
Cntnap5a	chr1	115684755	116587322	NA	NA	NA	NA	FALSE	2.36	Hypermethylated	0.0508046853622392	0.0743709111850917	TRUE	single_modality	NA	NA
Tenm2	chr11	36006655	37235963	NA	NA	NA	NA	FALSE	-2.31	Hypomethylated	0.133741102945871	0.110645388333007	TRUE	single_modality	NA	NA
Dlg2	chr7	90476671	92449246	NA	NA	NA	NA	FALSE	-2.05	Hypomethylated	0.12600741113321	0.105474107005485	TRUE	single_modality	NA	NA
