gene	mecp2_mean_fold	mecp2_nearest_fdr	gb_log2fc	mc_diff	hmc_diff	chromatin_state
F830045P16Rik	0.65357747397222	4.62415601316661e-07	0.442033	0.0125287796650364	-0.00206739972005707	Other
Spam1	0.635989010958778	0.0031127257370048	1.012264	0.0199067800429557	0.00226977395856014	Other
St18	0.621286537733874	0.00158579225182744	0.656511	0.0380023341187223	-0.0176331148622378	Active_Promoter
Cd83	0.606560523832217	7.50065282464853e-05	0.444323	0.113425263722721	-0.064321981242862	Active_Promoter
Fstl5	0.598461372425449	0.00329366684516368	0.554003	0.0205410805577478	-0.021326652261026	Active_Promoter
Npvf	0.59113800258766	2.28733352451015e-09	1.920324	0.0496149593982392	-0.0265659321025777	Other
Ttr	0.550872257646235	0.000390989948508937	1.445722	0.0410307049998834	0.0171069877060905	Other
Aqp6	0.469271574508424	0.00114587719949221	0.802676	0.129894479714834	0.0360545520724186	Active_Promoter
Hcn1	0.467486434745993	0.0294928433277512	0.734791	0.0241005801893061	-0.0155388242635835	Active_Promoter
Cep128	0.449952090492523	2.36507057339572e-06	0.434385	0.0137870797489106	-0.0108947086165959	Other
Hif1a	0.440779576067772	0.00358139736458797	0.385943	0.0476186395632066	-0.0354883642830997	Active_Promoter
Lipc	0.384956754263861	0.00844061140818742	0.456936	0.023417035608262	-0.00400082208189106	Other
Bhmt	0.381930697675372	0.0258245817594812	0.902883	0.0270946170868697	0.00409278268486507	Other
Nhlh2	0.380759756607705	2.47895475096651e-07	0.543445	0.0265527742060412	0.00188509034629813	Bivalent_Promoter
Gm973	0.353418185308739	0.00373818188178717	0.698111	0.0297760499366355	-0.00927834930322857	Other
Dcx	0.270240694996564	7.18377566536801e-05	0.513167	-0.0255939221141857	0.018484809909936	Repressed_Promoter
Gpm6a	0.264549118326453	3.05636441859786e-05	0.379652	-0.0197668872808078	-0.018213570919368	Active_Promoter
Scg2	0.258193216227918	0.00085175488258441	0.756807	0.164124260301168	-0.0246744388656844	Active_Promoter
Glce	0.247709053343993	0.000331259569912227	0.146048	0.0279611590431578	-0.012472169421251	Active_Promoter
Cep170	0.247623579477885	0.000757414980109394	0.209935	0.0232475474933513	-0.0141068873677093	Active_Promoter
Prom1	0.246326006049273	2.59289914171391e-09	0.504608	0.0502669032086184	-0.036334018210617	Active_Promoter
Sppl2c	0.222855999895772	0.00180905543860759	0.38843	0.0900436180218791	-0.0394686078302704	Other
Ppp1r14a	0.213297671496759	0.0323649227016224	0.649596	0.0678664852774661	0.00066355659393913	Other
Phldb2	0.212297513097866	8.1072415719158e-06	0.570384	0.00507704575231205	0.00135221026716324	Bivalent_Promoter
Vwa8	0.20624311601834	5.84182824010456e-08	0.318019	0.022661407791593	-0.0133126945071892	Active_Promoter
Lgi1	0.195290193966369	0.00283355629629667	0.484994	0.137128718547332	-0.0689376887599581	Other
Sox6	0.148314127811172	0.0224539373567525	0.268392	-0.00254365846712334	0.0148401341655971	Repressed_Promoter
Nek10	0.134426005290306	0.0336422431081227	0.715441	0.0129715835765386	-0.00528083509340278	Other
Asap1	0.11873211733645	0.02003975456976	0.352888	-0.0167834446712587	0.0152239438142839	Bivalent_Promoter
Plcb1	0.101365307438217	0.00214404108501208	0.348203	-0.00621573354936333	0.0115394431476382	Bivalent_Promoter
Thbs2	0.0979158081933909	0.00497174780061479	0.70501	-0.0110965552011796	0.0313737316389562	Repressed_Promoter
Ap3b1	0.0761260549235327	0.00172316973681653	0.315618	0.00870916519042186	-0.0251754473240131	Active_Promoter
Plxnd1	0.0555490668461597	0.00442454932152806	0.541639	0.0419240646183843	-0.00315082340866069	Other
Tbc1d31	0.0476999670385273	0.0132380431016751	0.562625	0.019954012483412	-0.00915138766243658	Active_Promoter
Syne1	0.0440787199863879	0.0431305485799127	0.053222	0.0535617198947247	-0.0300868292799876	Active_Promoter
Fam184a	0.0404280970534147	0.0308231893166728	0.389385	0.0533299701388465	-0.0385052998735221	Active_Promoter
Rbm24	0.0190181168193386	0.0178865915153071	0.257068	0.0197471232824036	-0.0242052831276056	Other
