Chr	Start	End	cluster	mecp2_class	chromatin_state
chr10	37315702	37316102	Cluster 1	MeCP2 Up	Poised_Enhancer
chr7	83250348	83250748	Cluster 2	MeCP2 Up	Unmarked
chr8	82287830	82288230	Cluster 2	MeCP2 Up	Unmarked
chr13	72784687	72785087	Cluster 3	MeCP2 Up	Polycomb
chr1	137664199	137664599	Cluster 4	MeCP2 Up	Unmarked
chr6	19759502	19759902	Cluster 2	MeCP2 Up	Unmarked
chr4	102109939	102110339	Cluster 1	MeCP2 Up	Poised_Enhancer
chr1	126323385	126323785	Cluster 2	MeCP2 Up	Unmarked
chr13	73794734	73795134	Cluster 3	MeCP2 Down	Unmarked
chr14	105670001	105670401	Cluster 2	MeCP2 Up	Unmarked
chr1	122460322	122460722	Cluster 2	MeCP2 Up	Unmarked
chr5	99528535	99528935	Cluster 3	MeCP2 Down	Unmarked
chr6	59421312	59421712	Cluster 1	MeCP2 Up	Unmarked
chr3	104309442	104309842	Cluster 3	MeCP2 Down	Polycomb
chr6	108002476	108002876	Cluster 1	MeCP2 Up	Unmarked
chr2	167207038	167207438	Cluster 3	MeCP2 Down	Repressed_Promoter
chr4	142119701	142120101	Cluster 4	MeCP2 Up	Unmarked
chr5	68272184	68272584	Cluster 1	MeCP2 Up	Unmarked
chr9	62189951	62190351	Cluster 3	MeCP2 Down	Unmarked
chr5	22886647	22887047	Cluster 3	MeCP2 Up	Unmarked
chr3	123975070	123975470	Cluster 1	MeCP2 Up	Active_Enhancer
chr2	138707930	138708330	Cluster 2	MeCP2 Up	Unmarked
chr6	81661817	81662217	Cluster 2	MeCP2 Up	Unmarked
chr10	25120159	25120559	Cluster 1	MeCP2 Up	Poised_Enhancer
chr8	25429736	25430136	Cluster 3	MeCP2 Up	Unmarked
chr3	136132902	136133302	Cluster 1	MeCP2 Up	Poised_Enhancer
chr12	77510288	77510688	Cluster 1	MeCP2 Up	Active_Enhancer
chr19	22849215	22849615	Cluster 2	MeCP2 Up	Poised_Enhancer
chr15	101351490	101351890	Cluster 3	MeCP2 Down	Unmarked
chr2	25482867	25483267	Cluster 1	MeCP2 Up	Active_Enhancer
chr12	71337848	71338248	Cluster 3	MeCP2 Up	Unmarked
chrX	62580070	62580470	Cluster 2	MeCP2 Up	Unmarked
chr12	73898707	73899107	Cluster 2	MeCP2 Up	Unmarked
chr16	24461055	24461455	Cluster 1	MeCP2 Up	Active_Enhancer
chr5	39965882	39966282	Cluster 4	MeCP2 Up	Unmarked
chr13	55312936	55313336	Cluster 1	MeCP2 Down	Poised_Enhancer
chr19	22637027	22637427	Cluster 1	MeCP2 Up	Active_Enhancer
chr7	132262188	132262588	Cluster 1	MeCP2 Up	Unmarked
chr2	3714878	3715278	Cluster 1	MeCP2 Up	Unmarked
chr4	55078158	55078558	Cluster 3	MeCP2 Down	Unmarked
chr15	27788646	27789046	Cluster 1	MeCP2 Down	Unmarked
chr10	97046640	97047040	Cluster 2	MeCP2 Up	Active_Enhancer
chr6	63532675	63533075	Cluster 1	MeCP2 Up	Poised_Enhancer
chr19	22551087	22551487	Cluster 1	MeCP2 Up	Unmarked
chr1	64220038	64220438	Cluster 1	MeCP2 Up	Poised_Enhancer
chr14	93531928	93532328	Cluster 2	MeCP2 Up	Unmarked
chr9	94278630	94279030	Cluster 1	MeCP2 Up	Active_Enhancer
chr14	107336308	107336708	Cluster 2	MeCP2 Up	Unmarked
chr13	43903924	43904324	Cluster 1	MeCP2 Up	Active_Enhancer
chr9	28431511	28431911	Cluster 1	MeCP2 Up	Unmarked
chr9	28685656	28686056	Cluster 1	MeCP2 Up	Active_Enhancer
chr2	142339716	142340116	Cluster 3	MeCP2 Up	Poised_Enhancer
chr16	46587075	46587475	Cluster 3	MeCP2 Down	Unmarked
chr13	109054207	109054607	Cluster 1	MeCP2 Up	Poised_Enhancer
chr6	60792973	60793373	Cluster 1	MeCP2 Up	Active_Enhancer
chr10	66359134	66359534	Cluster 2	MeCP2 Up	Poised_Enhancer
chr5	42466293	42466693	Cluster 2	MeCP2 Up	Unmarked
chr1	13996048	13996448	Cluster 2	MeCP2 Up	Unmarked
chr1	6824677	6825077	Cluster 1	MeCP2 Up	Active_Enhancer
chr14	77522973	77523373	Cluster 2	MeCP2 Down	Unmarked
chr3	86806953	86807353	Cluster 2	MeCP2 Up	Unmarked
chr18	28223729	28224129	Cluster 2	MeCP2 Up	Unmarked
chr4	13268404	13268804	Cluster 1	MeCP2 Up	Unmarked
chr2	36231977	36232377	Cluster 3	MeCP2 Down	Unmarked
chr5	67655841	67656241	Cluster 1	MeCP2 Down	Poised_Enhancer
chr15	64359993	64360393	Cluster 3	MeCP2 Up	Polycomb
chr14	93347667	93348067	Cluster 2	MeCP2 Up	Poised_Enhancer
chr18	52588353	52588753	Cluster 2	MeCP2 Up	Unmarked
chr2	135417717	135418117	Cluster 1	MeCP2 Up	Unmarked
chr17	27293605	27294005	Cluster 3	MeCP2 Down	Unmarked
chr15	72667315	72667715	Cluster 1	MeCP2 Up	Active_Enhancer
chr5	38638003	38638403	Cluster 1	MeCP2 Up	Unmarked
chr16	63085672	63086072	Cluster 2	MeCP2 Up	Active_Enhancer
chr10	77274653	77275053	Cluster 1	MeCP2 Up	Unmarked
chr16	64333777	64334177	Cluster 2	MeCP2 Up	Active_Enhancer
chr3	9606261	9606661	Cluster 3	MeCP2 Down	Poised_Enhancer
chr7	92197626	92198026	Cluster 1	MeCP2 Up	Active_Enhancer
chr16	67845473	67845873	Cluster 1	MeCP2 Up	Active_Enhancer
chr19	23565955	23566355	Cluster 1	MeCP2 Up	Unmarked
chr18	31311051	31311451	Cluster 1	MeCP2 Up	Unmarked
chr2	136353117	136353517	Cluster 1	MeCP2 Up	Poised_Enhancer
chr15	94892969	94893369	Cluster 1	MeCP2 Up	Active_Enhancer
chr3	52941709	52942109	Cluster 1	MeCP2 Up	Unmarked
chr11	106679487	106679887	Cluster 1	MeCP2 Up	Poised_Enhancer
chr12	90611893	90612293	Cluster 2	MeCP2 Up	Unmarked
chr11	35277203	35277603	Cluster 3	MeCP2 Up	Poised_Enhancer
chr15	83545967	83546367	Cluster 1	MeCP2 Down	Unmarked
chr6	29119025	29119425	Cluster 1	MeCP2 Up	Unmarked
chr14	25188184	25188584	Cluster 1	MeCP2 Up	Poised_Enhancer
chr2	138475777	138476177	Cluster 1	MeCP2 Up	Unmarked
chr7	75356490	75356890	Cluster 4	MeCP2 Up	Unmarked
chr8	15150877	15151277	Cluster 3	MeCP2 Up	Unmarked
chr18	30398738	30399138	Cluster 4	MeCP2 Up	Unmarked
chr1	101269633	101270033	Cluster 3	MeCP2 Up	Unmarked
chr7	83752561	83752961	Cluster 1	MeCP2 Up	Active_Enhancer
chr13	55509255	55509655	Cluster 3	MeCP2 Down	Unmarked
chr3	9825963	9826363	Cluster 3	MeCP2 Down	Unmarked
chr2	109298526	109298926	Cluster 2	MeCP2 Up	Unmarked
chr7	51771931	51772331	Cluster 3	MeCP2 Up	Unmarked
chr16	10004087	10004487	Cluster 1	MeCP2 Up	Poised_Enhancer
chr2	9875558	9875958	Cluster 3	MeCP2 Down	Repressed_Promoter
chr10	96501414	96501814	Cluster 1	MeCP2 Up	Poised_Enhancer
chr4	140364620	140365020	Cluster 3	MeCP2 Down	Unmarked
chr12	81821130	81821530	Cluster 1	MeCP2 Up	Poised_Enhancer
chr7	144421219	144421619	Cluster 4	MeCP2 Down	Polycomb
chr18	68820392	68820792	Cluster 2	MeCP2 Up	Unmarked
chr3	18734883	18735283	Cluster 2	MeCP2 Up	Unmarked
chr4	142474008	142474408	Cluster 1	MeCP2 Up	Active_Enhancer
chr1	26054608	26055008	Cluster 4	MeCP2 Up	Unmarked
chr5	59760365	59760765	Cluster 2	MeCP2 Up	Unmarked
chr13	113407999	113408399	Cluster 2	MeCP2 Up	Unmarked
chr18	13395166	13395566	Cluster 1	MeCP2 Up	Unmarked
chr2	82705270	82705670	Cluster 2	MeCP2 Up	Unmarked
chr9	122676379	122676779	Cluster 3	MeCP2 Down	Unmarked
chr2	125010456	125010856	Cluster 2	MeCP2 Up	Unmarked
chr17	14470906	14471306	Cluster 2	MeCP2 Down	Unmarked
chr6	140684038	140684438	Cluster 2	MeCP2 Up	Unmarked
chr4	63209616	63210016	Cluster 4	MeCP2 Down	Polycomb
chr15	53750032	53750432	Cluster 1	MeCP2 Up	Active_Enhancer
chr12	83157865	83158265	Cluster 1	MeCP2 Up	Unmarked
chr18	64772448	64772848	Cluster 1	MeCP2 Up	Unmarked
chr6	19016014	19016414	Cluster 1	MeCP2 Up	Poised_Enhancer
chr4	47987162	47987562	Cluster 1	MeCP2 Up	Unmarked
chr1	113414313	113414713	Cluster 2	MeCP2 Up	Unmarked
chr1	137902472	137902872	Cluster 1	MeCP2 Up	Active_Enhancer
chr13	43597709	43598109	Cluster 1	MeCP2 Up	Unmarked
chr19	22441501	22441901	Cluster 2	MeCP2 Up	Unmarked
chr18	63338436	63338836	Cluster 1	MeCP2 Up	Poised_Enhancer
chr14	79142069	79142469	Cluster 1	MeCP2 Up	Unmarked
chr4	27507028	27507428	Cluster 2	MeCP2 Up	Unmarked
chr15	78607903	78608303	Cluster 3	MeCP2 Down	Unmarked
chr6	24168913	24169313	Cluster 1	MeCP2 Up	Unmarked
chr14	34886877	34887277	Cluster 2	MeCP2 Up	Polycomb
chr14	55334373	55334773	Cluster 1	MeCP2 Up	Unmarked
chr8	15395474	15395874	Cluster 3	MeCP2 Up	Polycomb
chr16	96919459	96919859	Cluster 1	MeCP2 Up	Unmarked
chr2	7005573	7005973	Cluster 2	MeCP2 Up	Unmarked
chr2	17687609	17688009	Cluster 2	MeCP2 Up	Unmarked
chr17	9764106	9764506	Cluster 1	MeCP2 Down	Poised_Enhancer
chr12	77663391	77663791	Cluster 1	MeCP2 Up	Poised_Enhancer
chr3	20654745	20655145	Cluster 2	MeCP2 Up	Unmarked
chr7	125738885	125739285	Cluster 3	MeCP2 Down	Unmarked
chr14	108307430	108307830	Cluster 3	MeCP2 Up	Unmarked
chr4	26352733	26353133	Cluster 1	MeCP2 Up	Unmarked
chr2	141617380	141617780	Cluster 3	MeCP2 Up	Active_Enhancer
chr1	51672792	51673192	Cluster 1	MeCP2 Up	Unmarked
chr5	84282492	84282892	Cluster 3	MeCP2 Up	Polycomb
chr6	19166118	19166518	Cluster 2	MeCP2 Up	Unmarked
chr16	80658200	80658600	Cluster 2	MeCP2 Up	Unmarked
chr3	123835259	123835659	Cluster 2	MeCP2 Up	Unmarked
chr3	139880416	139880816	Cluster 4	MeCP2 Up	Unmarked
chr7	112201119	112201519	Cluster 1	MeCP2 Up	Unmarked
chr12	87286754	87287154	Cluster 2	MeCP2 Up	Unmarked
chr5	133975607	133976007	Cluster 3	MeCP2 Up	Unmarked
chr2	101467022	101467422	Cluster 2	MeCP2 Up	Unmarked
chr5	106422093	106422493	Cluster 2	MeCP2 Up	Active_Enhancer
chr3	85039275	85039675	Cluster 3	MeCP2 Up	Unmarked
chr6	44811296	44811696	Cluster 2	MeCP2 Up	Unmarked
chr12	108452317	108452717	Cluster 1	MeCP2 Up	Unmarked
chr16	33871987	33872387	Cluster 1	MeCP2 Up	Poised_Enhancer
chr2	57908588	57908988	Cluster 1	MeCP2 Up	Active_Enhancer
chr11	61701363	61701763	Cluster 3	MeCP2 Down	Polycomb
chr10	12090339	12090739	Cluster 2	MeCP2 Up	Unmarked
chr9	47303305	47303705	Cluster 2	MeCP2 Up	Unmarked
chr9	29491695	29492095	Cluster 4	MeCP2 Up	Unmarked
chr6	144450288	144450688	Cluster 3	MeCP2 Up	Unmarked
chr10	3548227	3548627	Cluster 2	MeCP2 Up	Unmarked
chr3	53406607	53407007	Cluster 1	MeCP2 Up	Unmarked
chr8	41082119	41082519	Cluster 2	MeCP2 Up	Unmarked
chr3	140971388	140971788	Cluster 2	MeCP2 Up	Unmarked
chr1	64173081	64173481	Cluster 3	MeCP2 Up	Unmarked
chr12	39935591	39935991	Cluster 3	MeCP2 Down	Polycomb
chr17	89655572	89655972	Cluster 1	MeCP2 Up	Active_Enhancer
chr7	111517414	111517814	Cluster 3	MeCP2 Down	Unmarked
chr18	33423635	33424035	Cluster 1	MeCP2 Up	Poised_Enhancer
chr14	91489110	91489510	Cluster 4	MeCP2 Up	Unmarked
chr2	143164555	143164955	Cluster 2	MeCP2 Up	Unmarked
chr4	142858863	142859263	Cluster 1	MeCP2 Up	Unmarked
chr10	20021786	20022186	Cluster 1	MeCP2 Up	Active_Enhancer
chr10	3307204	3307604	Cluster 2	MeCP2 Up	Unmarked
chr15	39824578	39824978	Cluster 2	MeCP2 Up	Active_Enhancer
chr3	51890000	51890400	Cluster 1	MeCP2 Up	Active_Enhancer
chr10	62966329	62966729	Cluster 3	MeCP2 Down	Unmarked
chr5	133918739	133919139	Cluster 2	MeCP2 Up	Unmarked
chr6	63411500	63411900	Cluster 2	MeCP2 Up	Unmarked
chr5	97289230	97289630	Cluster 2	MeCP2 Up	Unmarked
chr16	31467494	31467894	Cluster 2	MeCP2 Up	Unmarked
chr17	42314735	42315135	Cluster 2	MeCP2 Up	Unmarked
chr18	38476625	38477025	Cluster 3	MeCP2 Down	Unmarked
chr17	14244351	14244751	Cluster 3	MeCP2 Down	Poised_Enhancer
chr1	186256915	186257315	Cluster 3	MeCP2 Up	Unmarked
chr4	82574443	82574843	Cluster 2	MeCP2 Up	Unmarked
chr3	107110904	107111304	Cluster 3	MeCP2 Down	Poised_Enhancer
chr3	100108245	100108645	Cluster 1	MeCP2 Up	Unmarked
chr2	148744441	148744841	Cluster 1	MeCP2 Up	Active_Enhancer
chr7	100946589	100946989	Cluster 3	MeCP2 Down	Unmarked
chr2	135561515	135561915	Cluster 2	MeCP2 Up	Unmarked
chr6	59346335	59346735	Cluster 2	MeCP2 Up	Unmarked
chr5	107240455	107240855	Cluster 1	MeCP2 Down	Unmarked
chr1	124148462	124148862	Cluster 1	MeCP2 Up	Active_Enhancer
chr4	88197664	88198064	Cluster 1	MeCP2 Up	Active_Enhancer
chr13	76381567	76381967	Cluster 2	MeCP2 Up	Unmarked
chr2	79483807	79484207	Cluster 1	MeCP2 Up	Poised_Enhancer
chr4	27495109	27495509	Cluster 1	MeCP2 Up	Unmarked
chr3	51703369	51703769	Cluster 3	MeCP2 Up	Active_Enhancer
chr15	79510289	79510689	Cluster 3	MeCP2 Down	Repressed_Promoter
chr4	81577800	81578200	Cluster 1	MeCP2 Up	Unmarked
chr1	63969186	63969586	Cluster 2	MeCP2 Up	Unmarked
chr16	79335105	79335505	Cluster 1	MeCP2 Up	Poised_Enhancer
chr13	117937548	117937948	Cluster 3	MeCP2 Up	Unmarked
chr11	102037620	102038020	Cluster 1	MeCP2 Up	Poised_Enhancer
chr18	30636283	30636683	Cluster 1	MeCP2 Up	Unmarked
chr7	115944513	115944913	Cluster 2	MeCP2 Up	Unmarked
chr2	51738836	51739236	Cluster 3	MeCP2 Down	Unmarked
chr1	149673081	149673481	Cluster 1	MeCP2 Up	Poised_Enhancer
chr10	95199565	95199965	Cluster 3	MeCP2 Down	Poised_Enhancer
chr9	91136408	91136808	Cluster 4	MeCP2 Up	Unmarked
chr10	95201616	95202016	Cluster 3	MeCP2 Down	Unmarked
chr3	56491403	56491803	Cluster 2	MeCP2 Up	Unmarked
chr10	61270633	61271033	Cluster 3	MeCP2 Down	Unmarked
chr5	28120841	28121241	Cluster 3	MeCP2 Up	Unmarked
chr3	100119021	100119421	Cluster 1	MeCP2 Up	Active_Enhancer
chr17	63712093	63712493	Cluster 1	MeCP2 Up	Active_Enhancer
chr3	51869329	51869729	Cluster 1	MeCP2 Up	Unmarked
chr8	98862260	98862660	Cluster 4	MeCP2 Up	Active_Enhancer
chr13	109346735	109347135	Cluster 1	MeCP2 Up	Active_Enhancer
chr10	63837735	63838135	Cluster 4	MeCP2 Up	Unmarked
chr6	106433476	106433876	Cluster 2	MeCP2 Up	Unmarked
chr14	76950152	76950552	Cluster 1	MeCP2 Up	Active_Enhancer
chr4	75465268	75465668	Cluster 4	MeCP2 Up	Unmarked
chr1	157498138	157498538	Cluster 3	MeCP2 Down	Unmarked
chr12	9920461	9920861	Cluster 1	MeCP2 Up	Poised_Enhancer
chr12	100262430	100262830	Cluster 1	MeCP2 Up	Poised_Enhancer
chr10	93278005	93278405	Cluster 1	MeCP2 Up	Active_Enhancer
chr18	39213701	39214101	Cluster 1	MeCP2 Up	Unmarked
chrX	157083552	157083952	Cluster 4	MeCP2 Up	Unmarked
chr4	82621365	82621765	Cluster 3	MeCP2 Up	Poised_Enhancer
chr2	124618473	124618873	Cluster 1	MeCP2 Up	Poised_Enhancer
chr6	115224212	115224612	Cluster 1	MeCP2 Up	Unmarked
chr4	58203447	58203847	Cluster 1	MeCP2 Up	Poised_Enhancer
chr12	38577926	38578326	Cluster 1	MeCP2 Up	Unmarked
chr11	67640306	67640706	Cluster 3	MeCP2 Up	Unmarked
chr15	37513140	37513540	Cluster 2	MeCP2 Up	Unmarked
chr15	72201889	72202289	Cluster 1	MeCP2 Up	Poised_Enhancer
chr14	12588422	12588822	Cluster 3	MeCP2 Down	Unmarked
chr13	44637338	44637738	Cluster 2	MeCP2 Up	Unmarked
chr5	131517772	131518172	Cluster 1	MeCP2 Down	Poised_Enhancer
chr1	129537821	129538221	Cluster 2	MeCP2 Up	Unmarked
chr10	7265071	7265471	Cluster 1	MeCP2 Up	Unmarked
chr1	64340309	64340709	Cluster 2	MeCP2 Up	Poised_Enhancer
chr1	106239323	106239723	Cluster 1	MeCP2 Up	Poised_Enhancer
chr10	66750070	66750470	Cluster 3	MeCP2 Up	Unmarked
chr12	33164426	33164826	Cluster 3	MeCP2 Down	Unmarked
chr6	140695693	140696093	Cluster 1	MeCP2 Up	Poised_Enhancer
chr2	135440632	135441032	Cluster 1	MeCP2 Up	Poised_Enhancer
chr19	21051353	21051753	Cluster 1	MeCP2 Up	Poised_Enhancer
chr3	51698813	51699213	Cluster 1	MeCP2 Up	Unmarked
chr16	8917319	8917719	Cluster 2	MeCP2 Up	Unmarked
chr14	12549884	12550284	Cluster 2	MeCP2 Down	Unmarked
chr4	32532885	32533285	Cluster 1	MeCP2 Up	Active_Enhancer
chr16	41743589	41743989	Cluster 2	MeCP2 Up	Unmarked
chr13	117787219	117787619	Cluster 4	MeCP2 Up	Active_Enhancer
chr12	31827951	31828351	Cluster 1	MeCP2 Up	Unmarked
chr16	51984344	51984744	Cluster 2	MeCP2 Up	Unmarked
chr10	4051202	4051602	Cluster 1	MeCP2 Up	Unmarked
chr10	96833171	96833571	Cluster 2	MeCP2 Up	Unmarked
chr11	76574604	76575004	Cluster 3	MeCP2 Down	Unmarked
chr12	107056964	107057364	Cluster 3	MeCP2 Up	Unmarked
chr5	40765200	40765600	Cluster 2	MeCP2 Up	Unmarked
chr4	142077519	142077919	Cluster 1	MeCP2 Up	Active_Enhancer
chr6	104488428	104488828	Cluster 2	MeCP2 Up	Unmarked
chr2	18058470	18058870	Cluster 2	MeCP2 Up	Active_Promoter
chr9	87845963	87846363	Cluster 2	MeCP2 Up	Unmarked
chr10	18865172	18865572	Cluster 2	MeCP2 Up	Unmarked
chr4	13152939	13153339	Cluster 3	MeCP2 Up	Unmarked
chr18	65267733	65268133	Cluster 2	MeCP2 Up	Unmarked
chr6	145444956	145445356	Cluster 3	MeCP2 Down	Unmarked
chr10	97141175	97141575	Cluster 1	MeCP2 Up	Poised_Enhancer
chr5	44253119	44253519	Cluster 2	MeCP2 Up	Unmarked
chr18	54981807	54982207	Cluster 1	MeCP2 Up	Unmarked
chr7	125730277	125730677	Cluster 3	MeCP2 Down	Unmarked
chr2	42285075	42285475	Cluster 1	MeCP2 Up	Poised_Enhancer
chr3	140035087	140035487	Cluster 2	MeCP2 Up	Unmarked
chr11	119211913	119212313	Cluster 1	MeCP2 Up	Unmarked
chr5	74280292	74280692	Cluster 1	MeCP2 Up	Poised_Enhancer
chr8	26880301	26880701	Cluster 1	MeCP2 Up	Unmarked
chr10	114883154	114883554	Cluster 2	MeCP2 Up	Unmarked
chr5	19397099	19397499	Cluster 1	MeCP2 Up	Poised_Enhancer
chr18	38886817	38887217	Cluster 1	MeCP2 Up	Unmarked
chr11	52420216	52420616	Cluster 2	MeCP2 Down	Unmarked
chr3	69363586	69363986	Cluster 1	MeCP2 Up	Active_Enhancer
chr2	20145324	20145724	Cluster 3	MeCP2 Up	Unmarked
chr10	56836516	56836916	Cluster 2	MeCP2 Up	Unmarked
chr18	20033051	20033451	Cluster 1	MeCP2 Up	Poised_Enhancer
chr4	13144590	13144990	Cluster 3	MeCP2 Up	Unmarked
chr14	104298182	104298582	Cluster 3	MeCP2 Up	Polycomb
chr12	91048983	91049383	Cluster 1	MeCP2 Up	Unmarked
chr3	21355286	21355686	Cluster 3	MeCP2 Up	Unmarked
chr4	82535352	82535752	Cluster 1	MeCP2 Up	Active_Enhancer
chr11	9537675	9538075	Cluster 2	MeCP2 Up	Unmarked
chr15	87209669	87210069	Cluster 3	MeCP2 Up	Unmarked
chr8	38235695	38236095	Cluster 4	MeCP2 Up	Polycomb
chr9	25485602	25486002	Cluster 1	MeCP2 Up	Poised_Enhancer
chr3	151299697	151300097	Cluster 2	MeCP2 Up	Active_Enhancer
chr2	28370980	28371380	Cluster 1	MeCP2 Up	Active_Enhancer
chr8	36452711	36453111	Cluster 1	MeCP2 Up	Poised_Enhancer
chr15	73411286	73411686	Cluster 3	MeCP2 Down	Unmarked
chr6	19262830	19263230	Cluster 2	MeCP2 Up	Unmarked
chr8	127914660	127915060	Cluster 2	MeCP2 Up	Unmarked
chr8	87621717	87622117	Cluster 1	MeCP2 Up	Unmarked
chr4	5511337	5511737	Cluster 1	MeCP2 Up	Unmarked
chr15	42331796	42332196	Cluster 2	MeCP2 Up	Unmarked
chr13	48833999	48834399	Cluster 1	MeCP2 Down	Poised_Enhancer
chr10	40363975	40364375	Cluster 1	MeCP2 Up	Poised_Enhancer
chr1	182983361	182983761	Cluster 3	MeCP2 Down	Poised_Enhancer
chr10	90859669	90860069	Cluster 1	MeCP2 Down	Unmarked
chr15	69037572	69037972	Cluster 2	MeCP2 Up	Unmarked
chr2	45106272	45106672	Cluster 3	MeCP2 Down	Polycomb
chr2	139377186	139377586	Cluster 2	MeCP2 Up	Unmarked
chr8	99412696	99413096	Cluster 1	MeCP2 Up	Active_Enhancer
chr15	4373849	4374249	Cluster 1	MeCP2 Up	Unmarked
chr15	72148047	72148447	Cluster 2	MeCP2 Up	Unmarked
chr17	3334617	3335017	Cluster 2	MeCP2 Up	Unmarked
chr8	50120281	50120681	Cluster 1	MeCP2 Down	Unmarked
chr8	14399664	14400064	Cluster 3	MeCP2 Up	Polycomb
chr18	55095739	55096139	Cluster 1	MeCP2 Up	Unmarked
chr18	68802250	68802650	Cluster 1	MeCP2 Up	Unmarked
chr7	67489655	67490055	Cluster 1	MeCP2 Up	Poised_Enhancer
chr5	41326696	41327096	Cluster 2	MeCP2 Up	Unmarked
chr3	24596796	24597196	Cluster 4	MeCP2 Up	Poised_Enhancer
chr4	13745543	13745943	Cluster 3	MeCP2 Up	Bivalent_Promoter
chr6	20643771	20644171	Cluster 1	MeCP2 Up	Active_Enhancer
chr2	21093694	21094094	Cluster 2	MeCP2 Up	Unmarked
chr13	55485454	55485854	Cluster 3	MeCP2 Down	Repressed_Promoter
chr16	22407273	22407673	Cluster 1	MeCP2 Up	Unmarked
chr12	52878152	52878552	Cluster 3	MeCP2 Down	Unmarked
chr9	107271822	107272222	Cluster 1	MeCP2 Up	Poised_Enhancer
chr4	128121922	128122322	Cluster 3	MeCP2 Down	Unmarked
chr1	38586577	38586977	Cluster 3	MeCP2 Down	Unmarked
chr16	48358828	48359228	Cluster 2	MeCP2 Up	Unmarked
chr1	61912196	61912596	Cluster 3	MeCP2 Up	Poised_Enhancer
chr9	42206953	42207353	Cluster 1	MeCP2 Up	Unmarked
chr5	106000728	106001128	Cluster 2	MeCP2 Up	Unmarked
chr1	83507016	83507416	Cluster 1	MeCP2 Up	Poised_Enhancer
chr1	166802555	166802955	Cluster 2	MeCP2 Up	Active_Enhancer
chr8	58522130	58522530	Cluster 4	MeCP2 Up	Unmarked
chr18	76081978	76082378	Cluster 3	MeCP2 Down	Polycomb
chr9	31939312	31939712	Cluster 2	MeCP2 Down	Polycomb
chr14	58944962	58945362	Cluster 2	MeCP2 Up	Unmarked
chr2	134904314	134904714	Cluster 3	MeCP2 Up	Unmarked
chr6	81232229	81232629	Cluster 2	MeCP2 Up	Unmarked
chr11	30549187	30549587	Cluster 1	MeCP2 Up	Unmarked
chr4	76676728	76677128	Cluster 2	MeCP2 Up	Unmarked
