chr	start	end	0
chr1	14918612	14919112	1
chr1	15286445	15286945	1
chr1	15287003	15288223	1
chr1	15565969	15566469	1
chr1	15616228	15616728	2
chr1	15651827	15652327	2
chr1	15805395	15806008	1
chr1	15892291	15892972	1
chr1	15936292	15936792	1
chr1	15990956	15991456	10
chr1	15993504	15994004	2
chr1	16093028	16093575	1
chr1	16104412	16104997	1
chr1	16105417	16106023	1
chr1	16111679	16112179	3
chr1	16518505	16519393	1
chr1	16519708	16520362	1
chr1	16618414	16618914	1
chr1	16619130	16619739	1
chr1	16656790	16657292	2
chr1	16657301	16657801	2
chr1	16664956	16665571	1
chr1	16687800	16688300	1
chr1	16688450	16688950	1
chr1	17041159	17041659	7
chr1	17059887	17060387	16
chr1	17060515	17061015	18
chr1	17087959	17088459	1
chr1	17090431	17090931	6
chr1	17096650	17098227	1
chr1	17121260	17121760	17
chr1	17123343	17123843	2
chr1	17124496	17124996	1
chr1	17145111	17145763	1
chr1	17156813	17157313	1
chr1	17163495	17163995	1
chr1	17168152	17168652	1
chr1	17601650	17602150	1
chr1	17726794	17727294	1
chr1	18057634	18058134	1
chr1	18058381	18059306	1
chr1	18145652	18146152	1
chr1	18168227	18168727	4
chr1	18181049	18181549	3
chr1	18237193	18237693	1
chr1	18264888	18265388	1
chr1	18292521	18293021	2
chr1	18468381	18468881	4
chr1	18640981	18641481	3
chr1	18903429	18903929	10
chr1	19102771	19103271	1
chr1	19208663	19209163	1
chr1	19242474	19242974	1
chr1	19421172	19421672	1
chr1	20617814	20618314	1
chr1	20669631	20670131	1
chr1	20677954	20678454	1
chr1	20730654	20731154	1
chr1	20759683	20760183	1
chr1	20790367	20790867	1
chr1	20820062	20820628	1
chr1	20836410	20836910	1
chr1	20839855	20840355	1
chr1	20845582	20846082	4
chr1	20890223	20891117	2
chr1	20905683	20906183	15
chr1	20919696	20920196	16
chr1	20921038	20921538	16
chr1	20922825	20923325	16
chr1	20933423	20933923	3
chr1	20935058	20935558	2
chr1	20951375	20951942	1
chr1	21068439	21068939	1
chr1	21078979	21079816	1
chr1	21100729	21101636	2
chr1	21166206	21166706	1
chr1	21218324	21218978	1
chr1	21229324	21229824	1
chr1	21240338	21240838	1
chr1	21344242	21344742	1
chr1	21349390	21349890	1
chr1	21368080	21368580	1
chr1	21383305	21383805	1
chr1	21411325	21411825	4
chr1	21961692	21962509	1
chr1	22208188	22208688	1
chr1	22261707	22262207	1
chr1	22512391	22512891	5
chr1	22631996	22632496	2
chr1	22640487	22640987	3
chr1	22650580	22651080	3
chr1	22787582	22788082	2
chr1	22803372	22803872	2
chr1	22805744	22806418	1
chr1	22931278	22931778	5
chr1	22987433	22987933	1
chr1	23007936	23008436	3
chr1	23097901	23098401	1
chr1	23099791	23100291	1
chr1	23102003	23102503	1
chr1	23255872	23256372	13
chr1	23256557	23257057	2
chr1	23286675	23287175	2
chr1	23291286	23291786	1
chr1	23293478	23293978	1
chr1	23382752	23383699	12
chr1	23397522	23398022	1
chr1	23445751	23446251	7
chr1	23447515	23448015	1
chr1	23490541	23491236	1
chr1	23574336	23574836	1
chr1	23574969	23575469	1
chr1	23629289	23629789	2
chr1	23653530	23654030	12
chr1	23656182	23656682	2
chr1	23761502	23762241	1
chr1	23762815	23763315	7
chr1	23821573	23822073	7
chr1	23826976	23827476	2
chr1	23846108	23846608	6
chr1	23921662	23922745	1
chr1	24005399	24005906	1
chr1	24090035	24090535	1
chr1	24100091	24100605	1
chr1	24171424	24171924	1
chr1	24177359	24177859	1
chr1	24194095	24194595	1
chr1	24223096	24223596	5
chr1	24226035	24226535	7
chr1	24226835	24227335	2
chr1	24230339	24230839	1
chr1	24248875	24249375	2
chr1	24515323	24515823	3
chr1	24550824	24551324	2
chr1	24564061	24564561	2
chr1	24586458	24586958	1
chr1	24586998	24587722	1
chr1	24661472	24661972	2
chr1	24678308	24678879	1
chr1	24678949	24679449	1
chr1	24869746	24870246	1
chr1	24870957	24871457	2
chr1	24964908	24965408	1
chr1	25016668	25017168	1
chr1	25026982	25027482	1
chr1	25033573	25034073	2
chr1	25057592	25058092	2
chr1	25085718	25086218	4
chr1	25105329	25105829	2
chr1	25165969	25166816	2
chr1	25180073	25180573	2
chr1	25228471	25228971	3
chr1	25491530	25492030	1
chr1	25711417	25711917	1
chr1	25815454	25815954	1
chr1	25824616	25825116	1
chr1	25828887	25829387	1
chr1	25829457	25830811	1
chr1	26665662	26666162	3
chr1	26687210	26687710	1
chr1	27745176	27745676	2
chr1	27883795	27884295	1
chr1	28102038	28102538	1
chr1	28214018	28214738	5
chr1	28332050	28332550	3
chr1	28712138	28712749	1
chr1	28780002	28780502	1
chr1	30719712	30720212	1
chr1	30872740	30873240	7
chr1	30873552	30874171	1
chr1	30948906	30949406	1
chr1	30949520	30950197	1
chr1	30977718	30978218	1
chr1	31033696	31034196	1
chr1	31041668	31042168	1
chr1	31153908	31154408	1
chr1	31164625	31165125	4
chr1	31175334	31175834	1
chr1	31176150	31176650	1
chr1	31178174	31178674	4
chr1	31184685	31185185	1
chr1	31222434	31223087	2
chr1	31233556	31234056	2
chr1	32172463	32173014	1
chr1	32547044	32547544	1
chr1	32553906	32554406	1
chr1	33064879	33065379	1
chr1	33214668	33215168	1
chr1	33215225	33215725	1
chr1	33669545	33670052	1
chr1	33670142	33670642	1
chr1	33719636	33720310	1
chr1	33751166	33751666	6
chr1	33756976	33757476	1
chr1	33757545	33758060	1
chr1	33814104	33814845	1
chr1	33896660	33897160	2
chr1	33897382	33897882	2
chr1	33897977	33898477	2
chr1	33905921	33906421	3
chr1	33907073	33908474	2
chr1	33914855	33915355	1
chr1	33940485	33940985	2
chr1	33946925	33947425	6
chr1	33947804	33948304	2
chr1	34005907	34006407	1
chr1	34099379	34099879	1
chr1	34140659	34141159	1
chr1	34178182	34178696	1
chr1	34182884	34183384	2
chr1	34276785	34277695	2
chr1	34293134	34293634	4
chr1	34330057	34330557	1
chr1	34387786	34388286	1
chr1	34433014	34433514	1
chr1	34434700	34435200	6
chr1	34439422	34440100	2
chr1	34459511	34460087	1
chr1	34472898	34473398	1
chr1	34485652	34486183	1
chr1	34498159	34498659	1
chr1	34511005	34511505	1
chr1	34522519	34523019	11
chr1	34535397	34535897	1
chr1	34560693	34561193	1
chr1	34579382	34579906	1
chr1	34583788	34584288	24
chr1	34584761	34585261	11
chr1	34602307	34602807	1
chr1	34664117	34664617	1
chr1	34666169	34666669	1
chr1	34677879	34678437	1
chr1	34749144	34749644	1
chr1	34750165	34750665	2
chr1	34842578	34843378	1
chr1	34849725	34850294	1
chr1	34850378	34850878	1
chr1	35587811	35588311	1
chr1	35640359	35640859	1
chr1	35651047	35651547	1
chr1	35673310	35673810	1
chr1	35806723	35807223	1
chr1	35872983	35873483	5
chr1	35879416	35880094	1
chr1	35930303	35930803	1
chr1	35959738	35960238	8
chr1	35986123	35986623	1
chr1	35992758	35993258	1
chr1	36010794	36011321	2
chr1	36030294	36030794	8
chr1	36064767	36065267	8
chr1	36067879	36068649	1
chr1	36068776	36069276	1
chr1	36069292	36069792	8
chr1	36077419	36077919	2
chr1	36088278	36088778	1
chr1	36130175	36130675	1
chr1	36131791	36132291	1
chr1	36244020	36244970	1
chr1	36252745	36253245	1
chr1	36254735	36255235	2
chr1	36266177	36266677	9
chr1	36274429	36274929	1
chr1	36277229	36277729	1
chr1	36279136	36279636	1
chr1	36296294	36296794	6
chr1	36303255	36303755	1
chr1	36307482	36308114	1
chr1	36309426	36309926	1
chr1	36321106	36321606	2
chr1	36321714	36322214	1
chr1	36323943	36324443	1
chr1	36332457	36332957	1
chr1	36368449	36369439	1
chr1	36372040	36372540	1
chr1	36441098	36441598	5
chr1	36445021	36445587	1
chr1	36471117	36472134	1
chr1	36479825	36480325	1
chr1	36489584	36490084	1
chr1	36492363	36492863	24
chr1	36511613	36512116	1
chr1	36512515	36513015	3
chr1	36518220	36518720	3
chr1	36535837	36536337	8
chr1	36536633	36537133	1
chr1	36539179	36539679	1
chr1	36541776	36542276	3
chr1	36547018	36547695	1
chr1	36550049	36550549	3
chr1	36552546	36553046	14
chr1	36557194	36557950	2
chr1	36558099	36558599	2
chr1	36580617	36581117	3
chr1	36636011	36636949	15
chr1	36682933	36683433	1
chr1	36684115	36684615	1
chr1	36691198	36691718	1
chr1	36709691	36710398	1
chr1	36714172	36714672	1
chr1	36737255	36737755	1
chr1	36744305	36745042	1
chr1	36761547	36762047	1
chr1	36784670	36785170	4
chr1	36902880	36903380	2
chr1	36919725	36920797	3
chr1	36939549	36940049	8
chr1	36943416	36943916	1
chr1	37026345	37026845	1
chr1	37214183	37214683	1
chr1	37299614	37300535	1
chr1	37341860	37342360	2
chr1	37347298	37347798	4
chr1	37368106	37368606	1
chr1	37379481	37379981	1
chr1	37386566	37387066	5
chr1	37409541	37410041	1
chr1	37429841	37430388	2
chr1	37512148	37512648	1
chr1	37533132	37533857	1
chr1	37540766	37541620	1
chr1	37678232	37678732	1
chr1	37694433	37694933	4
chr1	37696905	37697405	1
chr1	37719305	37719805	1
chr1	37719830	37720335	1
chr1	37864422	37864922	7
chr1	37864987	37865487	19
chr1	37866179	37866679	1
chr1	37871487	37872483	1
chr1	37890161	37890726	2
chr1	37916243	37916743	1
chr1	37922489	37922989	1
chr1	37957509	37958009	1
chr1	37959373	37959873	1
chr1	37996931	37997431	1
chr1	37997643	37998298	2
chr1	38128998	38130312	1
chr1	38131832	38132332	1
chr1	38199788	38200288	4
chr1	38334145	38334645	2
chr1	38626348	38627251	1
chr1	38664705	38665205	1
chr1	38690423	38690923	1
chr1	38835550	38836050	3
chr1	38836245	38836961	1
chr1	38847909	38848409	1
chr1	38871783	38872283	2
chr1	38872711	38873211	1
chr1	38876739	38877239	4
chr1	38897244	38898411	1
chr1	38938898	38939398	1
chr1	38985357	38985857	1
chr1	38987480	38987980	18
chr1	39025115	39025615	1
chr1	39057387	39057887	1
chr1	39086171	39086671	1
chr1	39192634	39193134	1
chr1	39193480	39194381	1
chr1	39367591	39368139	1
chr1	39376702	39377202	1
chr1	39441608	39442108	1
chr1	39446133	39446633	6
chr1	39458191	39458691	8
chr1	39477988	39478488	1
chr1	39478505	39479038	1
chr1	39515573	39516073	16
chr1	39527412	39527912	1
chr1	39534741	39535241	1
chr1	39535611	39536111	10
chr1	39551752	39552252	1
chr1	39577155	39577725	1
chr1	39646342	39646842	1
chr1	39650481	39650981	1
chr1	39651224	39651724	1
chr1	39720569	39721247	1
chr1	39721262	39721762	1
chr1	39761348	39761848	1
chr1	39772468	39772968	3
chr1	39805082	39805582	1
chr1	39847084	39847584	1
chr1	39857035	39857535	11
chr1	39868143	39868643	2
chr1	39869797	39870297	1
chr1	39882426	39882926	1
chr1	39900380	39901162	1
chr1	39901990	39902490	5
chr1	39902694	39903194	4
chr1	39906846	39907346	1
chr1	39936354	39936854	3
chr1	39941756	39942256	6
chr1	39947103	39947603	1
chr1	39947691	39948191	2
chr1	40000865	40001365	2
chr1	40015254	40015754	7
chr1	40073828	40074328	1
chr1	40085536	40086036	4
chr1	40224829	40225329	1
chr1	40266261	40266761	5
chr1	40267787	40268287	2
chr1	40324359	40324859	1
chr1	40429319	40429819	1
chr1	40465301	40465801	1
chr1	40515111	40515611	1
chr1	40579830	40580330	1
chr1	40680323	40681424	1
chr1	40681437	40681937	1
chr1	40790400	40790937	1
chr1	40805350	40805850	1
chr1	40829310	40829810	1
chr1	41181002	41181502	1
chr1	41529293	41529793	1
chr1	41559180	41559680	1
chr1	41559987	41560487	1
chr1	41781557	41782057	1
chr1	41810279	41810779	1
chr1	42229475	42230071	1
chr1	42238445	42238945	1
chr1	42261604	42262104	1
chr1	42309204	42309704	3
chr1	42355687	42356187	1
chr1	42395197	42395697	1
chr1	42599174	42599674	3
chr1	42684703	42685203	5
chr1	42693942	42694442	2
chr1	42694592	42695174	2
chr1	42695444	42695944	5
chr1	42696511	42697011	3
chr1	42710955	42711455	5
chr1	42713204	42713723	1
chr1	42714333	42714833	5
chr1	42750461	42750961	1
chr1	42850982	42851612	1
chr1	42950966	42951466	1
chr1	42952444	42953491	1
chr1	43074780	43075280	5
chr1	43092020	43092520	2
chr1	43092526	43093026	6
chr1	43098387	43098959	2
chr1	43163701	43164201	1
chr1	43196734	43197234	1
chr1	43285666	43286166	1
chr1	43299413	43299913	1
chr1	43302675	43303175	1
chr1	43317102	43317602	1
chr1	43444328	43444828	1
chr1	43445293	43445793	1
chr1	43446062	43446562	4
chr1	43446670	43447170	4
chr1	43467614	43468114	5
chr1	43474237	43474737	8
chr1	43561913	43562742	8
chr1	43694666	43695166	4
chr1	43730351	43730923	1
chr1	43742664	43743164	1
chr1	43746032	43746532	1
chr1	43754850	43755350	3
chr1	43827343	43828050	1
chr1	43877131	43877631	2
chr1	43888286	43888786	10
chr1	43899031	43899531	2
chr1	43933396	43934192	1
chr1	44019784	44020284	1
chr1	44079496	44079996	1
chr1	44102191	44102694	1
chr1	44110540	44111040	1
chr1	44118558	44119206	2
chr1	44119551	44120051	18
chr1	44147493	44148224	1
chr1	44217077	44217577	4
chr1	44218711	44219211	1
chr1	44392558	44393058	1
chr1	44551260	44551990	1
chr1	44552287	44552787	2
chr1	45311287	45311787	1
chr1	45503032	45503532	1
chr1	45794915	45795659	1
chr1	45816835	45817335	1
chr1	45837731	45838231	8
chr1	45890023	45890523	1
chr1	45905039	45905539	1
chr1	45925631	45926131	1
chr1	45926273	45926773	1
chr1	46066064	46066564	1
chr1	46066665	46067165	1
chr1	46425341	46425841	1
chr1	46850229	46850729	1
chr1	46853460	46853960	16
chr1	46892602	46893102	1
chr1	47153210	47153710	1
chr1	47260294	47260794	1
chr1	47263340	47263840	2
chr1	47277796	47278296	1
chr1	48276213	48276713	2
chr1	48533262	48533762	4
chr1	48733561	48734061	11
chr1	48753250	48753750	4
chr1	48916510	48917010	2
chr1	49099561	49100061	1
chr1	49244365	49244865	1
chr1	50107219	50107719	1
chr1	50397829	50398329	1
chr1	50815124	50815624	1
chr1	50897660	50898160	2
chr1	50900396	50900896	1
chr1	50904193	50904693	1
chr1	50926326	50926826	12
chr1	50927036	50927536	22
chr1	51088906	51089406	7
chr1	51184212	51184712	1
chr1	51191452	51192628	3
chr1	51194970	51195470	1
chr1	51243228	51243728	9
chr1	51264956	51265456	1
chr1	51267073	51267573	1
chr1	51270172	51270978	1
chr1	51288875	51289375	1
chr1	51333862	51334362	11
chr1	51458681	51459181	1
chr1	51478175	51478743	1
chr1	51530174	51530674	5
chr1	51566308	51566808	3
chr1	51596468	51597403	1
chr1	51600379	51600879	1
chr1	51617539	51618039	3
chr1	51671233	51671733	13
chr1	51746693	51747193	1
chr1	51915549	51916321	1
chr1	51978977	51979477	4
chr1	51986897	51987397	1
chr1	52077010	52077510	1
chr1	52113501	52114029	1
chr1	52119189	52119690	1
chr1	52149872	52150372	9
chr1	52150621	52151121	1
chr1	52179913	52180413	2
chr1	52231795	52232295	1
chr1	52232982	52233685	1
chr1	52267688	52268188	3
chr1	52499566	52500066	4
chr1	52500429	52501003	1
chr1	52501697	52502197	6
chr1	52511747	52512247	3
chr1	52521333	52521833	5
chr1	52522651	52523151	1
chr1	52580041	52580541	1
chr1	52597223	52597723	4
chr1	52597753	52598253	3
chr1	52630452	52631122	1
chr1	52722483	52722983	1
chr1	52726326	52727712	1
chr1	52730197	52730697	1
chr1	52799710	52800210	1
chr1	52817168	52817938	1
chr1	52844678	52845268	1
chr1	52952152	52952652	2
chr1	52952759	52953259	5
chr1	52986614	52987114	9
chr1	53019929	53020429	1
chr1	53032493	53032993	1
chr1	53037358	53037858	2
chr1	53049229	53049729	2
chr1	53061389	53061889	1
chr1	53079837	53080337	1
chr1	53093091	53093591	1
chr1	53187386	53187886	1
chr1	53225546	53226046	16
chr1	53296768	53297360	3
chr1	53313373	53313892	1
chr1	53352369	53353002	3
chr1	53706534	53707034	1
chr1	53784882	53785474	1
chr1	53823648	53824148	1
chr1	54193247	54193747	2
chr1	54194127	54195418	1
chr1	54250391	54250932	1
chr1	54438666	54439221	1
chr1	54456513	54457013	1
chr1	54468478	54468978	1
chr1	54557325	54557934	1
chr1	54922591	54923091	2
chr1	54925937	54926637	1
chr1	55027132	55027731	1
chr1	55052456	55053019	1
chr1	55087456	55088510	2
chr1	55130980	55131946	1
chr1	55223914	55224414	1
chr1	55225243	55225743	1
chr1	55226532	55227032	1
chr1	55236926	55237492	1
chr1	55363219	55363719	1
chr1	55383080	55383580	1
chr1	55405656	55406170	1
chr1	55930990	55931490	1
chr1	56018727	56019227	1
chr1	56531573	56532073	1
chr1	56637185	56637685	1
chr1	56670435	56670935	2
chr1	56749710	56750210	2
chr1	56971161	56971661	1
chr1	56972104	56973045	4
chr1	56973054	56973554	4
chr1	56977061	56977561	2
chr1	56978400	56978900	1
chr1	57127089	57127589	1
chr1	57205555	57206055	1
chr1	57214743	57215243	1
chr1	57218707	57219207	1
chr1	57377294	57378072	2
chr1	57406077	57406819	2
chr1	57406851	57407351	1
chr1	57773911	57774588	1
chr1	57774894	57775394	1
chr1	57969666	57970166	14
chr1	57995720	57996227	1
chr1	58018706	58019206	1
chr1	58029591	58030180	1
chr1	58030409	58030909	1
chr1	58045455	58045955	15
chr1	58112814	58113379	1
chr1	58210146	58210646	1
chr1	58278075	58278575	1
chr1	58392647	58393159	1
chr1	58423644	58424316	1
chr1	58444900	58445736	2
chr1	58465061	58466023	9
chr1	58504724	58505397	2
chr1	58584213	58584713	2
chr1	58586044	58586633	2
chr1	58622153	58622653	11
chr1	58652499	58652999	4
chr1	58695739	58696239	1
chr1	58697507	58698007	1
chr1	58711257	58711906	1
chr1	58713117	58713617	2
chr1	58713786	58714286	2
chr1	58727951	58728451	3
chr1	58739501	58740001	6
chr1	58795123	58795820	1
chr1	58962458	58962958	2
chr1	58973180	58973771	2
chr1	59003289	59003789	1
chr1	59094650	59095150	1
chr1	59119873	59120658	1
chr1	59158431	59158931	1
chr1	59161358	59161858	1
chr1	59162354	59162854	1
chr1	59162885	59163639	1
chr1	59215371	59215871	17
chr1	59222069	59222569	6
chr1	59229136	59229943	10
chr1	59236919	59237481	1
chr1	59237778	59238278	2
chr1	59247704	59248204	1
chr1	59256655	59257155	1
chr1	59312470	59312970	10
chr1	59376387	59376887	11
chr1	59378679	59379179	1
chr1	59387608	59388108	1
chr1	59403731	59404558	1
chr1	59405317	59405817	4
chr1	59415771	59416271	3
chr1	59469183	59469683	1
chr1	59481957	59482673	1
chr1	59483754	59484254	7
chr1	59484805	59485305	5
chr1	59488937	59489437	3
chr1	59492355	59492855	1
chr1	59516013	59516707	1
chr1	59534971	59535899	1
chr1	59541112	59541918	1
chr1	59566959	59567459	10
chr1	59567472	59567972	2
chr1	59579301	59579801	2
chr1	59593581	59594081	2
chr1	59625351	59625851	3
chr1	59670584	59671161	1
chr1	59684720	59685295	1
chr1	59762845	59763649	1
chr1	59764504	59765004	1
chr1	59912584	59913255	1
chr1	59913288	59913788	1
chr1	59927192	59927692	8
chr1	59957127	59957627	1
chr1	60042454	60043574	1
chr1	60097913	60098895	2
chr1	60180056	60180848	1
chr1	60343072	60343643	1
chr1	60409218	60409868	1
chr1	60409894	60410394	1
chr1	60428815	60429315	2
chr1	60490439	60490939	12
chr1	60566488	60567354	1
chr1	60716549	60717049	1
chr1	60778592	60779092	1
chr1	60781584	60782084	1
chr1	60860563	60861063	1
chr1	60868345	60868845	1
chr1	60886749	60887249	1
chr1	60977676	60978176	1
chr1	60997943	60998443	1
chr1	61001905	61002405	1
chr1	61234147	61234647	1
chr1	61271264	61271764	1
chr1	61297926	61298426	2
chr1	61301658	61302158	1
chr1	61359257	61359757	4
chr1	61378181	61378681	1
chr1	61439850	61440350	1
chr1	61474700	61475200	1
chr1	61620899	61621399	1
chr1	61638573	61639101	1
chr1	61912861	61913361	1
chr1	62700987	62701487	1
chr1	62703034	62703569	1
chr1	62706443	62706943	3
chr1	62777237	62777737	11
chr1	62782522	62783022	3
chr1	62783904	62784404	3
chr1	62800446	62800946	1
chr1	62811054	62811554	8
chr1	62821933	62822433	1
chr1	62832120	62832620	1
chr1	62951324	62951824	3
chr1	63049996	63050496	4
chr1	63112827	63113327	1
chr1	63114278	63114917	1
chr1	63116867	63117367	1
chr1	63176559	63177083	2
chr1	63180969	63181469	7
chr1	63200062	63200562	1
chr1	63214293	63214793	1
chr1	63272870	63273514	2
chr1	63430872	63431372	6
chr1	63445632	63446140	1
chr1	63446305	63446805	1
chr1	63458181	63458681	3
chr1	63459059	63459559	1
chr1	63478885	63479385	1
chr1	63615717	63616217	1
chr1	63686677	63687177	1
chr1	63730068	63730863	2
chr1	63763180	63763680	1
chr1	63769017	63769517	1
chr1	63928765	63929265	7
chr1	63929306	63929806	1
chr1	63953404	63953904	1
chr1	63955853	63956353	10
chr1	63964476	63964976	1
chr1	63999469	63999969	1
chr1	64078832	64079332	17
chr1	64087976	64088476	8
chr1	64121796	64122532	1
chr1	64164435	64164935	8
chr1	64226139	64226639	19
chr1	64302793	64303293	1
chr1	64305451	64305951	5
chr1	64318774	64319274	1
chr1	64409139	64409639	5
chr1	64445892	64446392	9
chr1	64532394	64533034	1
chr1	64616992	64618033	2
chr1	64649684	64650184	1
chr1	64690204	64690997	2
chr1	64737501	64738040	1
chr1	64795420	64795920	7
chr1	64817625	64818125	2
chr1	64919181	64919681	13
chr1	64956541	64957074	1
chr1	64993194	64993694	3
chr1	65010086	65010586	1
chr1	65032509	65033009	1
chr1	65048578	65049078	1
chr1	65050899	65051399	1
chr1	65063202	65063702	1
chr1	65073439	65073939	1
chr1	65082038	65082538	1
chr1	65103123	65103623	1
chr1	65111966	65112466	3
chr1	65119308	65119808	1
chr1	65122902	65123464	1
chr1	65178558	65179058	9
chr1	65186250	65186932	2
chr1	65281805	65282305	1
chr1	65282726	65283226	1
chr1	65311438	65311938	1
chr1	65545592	65546092	10
chr1	65548662	65549162	15
chr1	65926269	65926769	1
chr1	65927792	65928292	1
chr1	66174826	66175760	1
chr1	66177436	66178195	1
chr1	66192346	66192846	1
chr1	66211426	66211926	1
chr1	66221471	66221971	2
chr1	66321682	66322182	4
chr1	66323404	66323904	2
chr1	66449113	66449861	1
chr1	66468116	66468632	1
chr1	66482650	66483150	1
chr1	66550670	66551170	2
chr1	66692616	66693116	1
chr1	66700580	66701156	1
chr1	66816598	66817098	1
chr1	66817100	66818201	1
chr1	66862643	66863655	1
chr1	66945154	66945654	1
chr1	67038534	67039122	1
chr1	67122775	67123275	1
chr1	67223652	67224152	1
chr1	67248949	67249449	1
chr1	67792230	67792730	1
chr1	67847929	67848429	1
chr1	68023992	68024492	1
chr1	68046378	68046878	1
chr1	68178494	68178994	6
chr1	68451247	68452090	1
chr1	68748928	68749428	3
chr1	68806604	68807104	1
chr1	68859406	68859906	1
chr1	68886742	68887242	2
chr1	69105979	69106897	3
chr1	69106917	69107417	3
chr1	69107809	69108309	1
chr1	69108402	69108902	1
chr1	69434532	69435032	1
chr1	69440805	69441305	1
chr1	69493538	69494038	1
chr1	69591462	69592291	6
chr1	69686971	69687495	1
chr1	69687531	69688031	1
chr1	69688949	69689449	4
chr1	69826719	69827219	1
chr1	70692460	70692960	1
chr1	70725464	70725964	1
chr1	71102567	71103396	1
chr1	71414660	71415160	1
chr1	71556899	71557422	1
chr1	71575934	71576434	3
chr1	71652950	71653450	1
chr1	71887861	71888361	1
chr1	71916875	71917375	1
chr1	72004945	72005445	1
chr1	72038481	72038981	1
chr1	72121751	72122251	1
chr1	72123553	72124053	1
chr1	72170927	72171427	4
chr1	72210781	72211281	5
chr1	72211766	72212582	1
chr1	72214527	72215027	14
chr1	72219957	72220457	3
chr1	72225727	72226227	7
chr1	72236396	72236896	9
chr1	72243704	72244204	12
chr1	72254556	72255056	8
chr1	72255064	72255564	2
chr1	72284064	72284636	2
chr1	72307176	72307806	1
chr1	72400584	72401084	1
chr1	72422176	72422676	1
chr1	72536036	72537353	1
chr1	72558672	72559172	5
chr1	72583000	72583558	1
chr1	72593410	72593910	3
chr1	72700329	72700829	1
chr1	72711039	72711547	1
chr1	72716932	72717432	1
chr1	72718786	72719286	1
chr1	72722523	72723023	3
chr1	72724309	72724809	3
chr1	72739012	72739512	3
chr1	72746383	72746883	7
chr1	72824252	72825077	1
chr1	72865775	72866275	1
chr1	72870971	72871471	12
chr1	72871730	72872230	4
chr1	72872438	72872938	6
chr1	72873649	72874149	9
chr1	72874634	72875206	1
chr1	72877800	72878300	6
chr1	72951237	72952175	1
chr1	72966286	72966786	10
chr1	72992969	72993469	11
chr1	73004791	73005291	1
chr1	73015659	73016159	1
chr1	73074501	73075001	1
chr1	73075714	73076214	4
chr1	73236870	73237370	3
chr1	73264952	73265452	1
chr1	73268813	73269313	1
chr1	73274433	73274933	1
chr1	73276285	73276785	1
chr1	73398717	73399217	1
chr1	73407319	73407819	1
chr1	73528686	73529186	1
chr1	73529540	73530040	1
chr1	73532281	73532781	3
chr1	73533478	73533978	2
