stripe_id	chr1	x1	x2	direction	logFC	FDR	body_genes	body_gene_count	se_hub_P60	se_hub_ENCODE	se_hub_any
stripe_29	chr1	73895001	73920000	gained	0.1555	1.076e-4	Aamp,Arpc2,Catip,Ctdsp1,Cxcr1,Cxcr2,Gpbar1,Pnkd,Rufy4,Slc11a1,Tmbim1,Tns1,Vil1	13	FALSE	FALSE	FALSE
stripe_30	chr1	74935001	74955000	lost	0.1047	0.002589	A630095N17Rik,Abcb6,Ankzf1,Asic4,Atg9a,Cfap65,Chpf,Cnppd1,Des,Dnajb2,Dnpep,Glb1l,Gmppa,Ihh,Inha,Nhej1,Obsl1,Ptprn,Resp18,Retreg2,Slc23a3,Slc4a3,Speg,Stk11ip,Stk16,Tmem198,Tuba4a,Zfand2b	28	FALSE	FALSE	FALSE
stripe_31	chr1	75825001	75845000	gained	0.1197	0.005625	NA	0	FALSE	FALSE	FALSE
stripe_32	chr1	76500001	76520000	lost	0.0794	0.01965	NA	0	FALSE	FALSE	FALSE
stripe_33	chr1	76500001	76520000	lost	0.0909	0.01816	NA	0	FALSE	FALSE	FALSE
stripe_34	chr1	76720001	76740000	gained	0.1338	0.003343	Slc4a3,Stk11ip	2	FALSE	FALSE	FALSE
stripe_35	chr1	77055001	77075000	gained	0.0823	0.008952	NA	0	FALSE	FALSE	FALSE
stripe_36	chr1	81250001	81275000	lost	-0.0689	0.0217	Ap1s3,Cul3,Dock10,Fam124b,Mrpl44,Nyap2,Serpine2,Wdfy1	8	FALSE	FALSE	FALSE
stripe_37	chr1	82785001	82805000	gained	0.087	0.01967	Agfg1,Krtap28-13,Slc19a3	3	FALSE	FALSE	FALSE
stripe_38	chr1	83505001	83525000	gained	-0.0746	0.03979	Sphkap	1	FALSE	FALSE	FALSE
stripe_39	chr1	83740001	83765000	gained	0.0904	0.009903	Dner,Pid1	2	FALSE	FALSE	FALSE
stripe_40	chr1	84195001	84220000	gained	0.0846	0.01574	Agfg1,Ccl20,Daw1,Krtap28-13,Slc19a3,Sphkap	6	FALSE	FALSE	FALSE
stripe_41	chr1	84420001	84440000	gained	0.1165	0.003424	Ccl20,Daw1,Krtap28-13,Pid1,Slc19a3,Sphkap	6	FALSE	FALSE	FALSE
stripe_42	chr1	86175001	86195000	lost	-0.1555	0.01895	B3gnt7,Ncl,Nmur1,Ptma,Tex44	5	FALSE	FALSE	FALSE
stripe_43	chr1	89060001	89080000	lost	0.0854	0.01415	Arl4c,Dnajb3,Glrp1,Hjurp,Mroh2a,Sh3bp4,Spp2,Trpm8,Ugt1a1,Ugt1a10,Ugt1a2,Ugt1a5,Ugt1a6a,Ugt1a6b,Ugt1a7c,Ugt1a9,Usp40	17	FALSE	FALSE	FALSE
stripe_44	chr1	89175001	89195000	gained	0.0838	0.01972	Arl4c,Glrp1,Hjurp,Mroh2a,Sh3bp4,Spp2,Trpm8	7	FALSE	FALSE	FALSE
stripe_45	chr1	89705001	89725000	lost	0.0743	0.02823	Agap1,Arl4c,Sh3bp4	3	FALSE	FALSE	FALSE
stripe_46	chr1	89845001	89875000	gained	0.0918	0.003517	Agap1,Arl4c,Sh3bp4	3	FALSE	FALSE	FALSE
stripe_47	chr1	89850001	89880000	lost	0.1067	0.001359	Agap1	1	FALSE	FALSE	FALSE
stripe_48	chr1	90400001	90420000	lost	0.1141	0.001486	Ackr3,Agap1,Asb18,Gbx2,Iqca1,Sh3bp4	6	FALSE	FALSE	FALSE
stripe_49	chr1	90560001	90590000	gained	0.1318	0.003286	Ackr3,Iqca1	2	FALSE	FALSE	FALSE
stripe_50	chr1	91740001	91760000	gained	0.0684	0.04843	Asb1	1	FALSE	FALSE	FALSE
stripe_51	chr1	98180001	98200000	gained	0.1702	2.391e-4	Gin1,Macir,Pam,Ppip5k2	4	FALSE	FALSE	FALSE
stripe_52	chr1	98330001	98350000	gained	0.1437	6.934e-4	Pam	1	FALSE	FALSE	FALSE
stripe_53	chr1	113350001	113365000	gained	0.2488	5.113e-5	NA	0	FALSE	FALSE	FALSE
stripe_54	chr1	113570001	113590000	gained	0.2013	2.47e-5	NA	0	FALSE	FALSE	FALSE
stripe_55	chr1	113635001	113655000	gained	0.1789	2.027e-4	NA	0	FALSE	FALSE	FALSE
stripe_56	chr1	113965001	113980000	gained	0.2165	3.56e-4	NA	0	FALSE	FALSE	FALSE
stripe_57	chr1	114325001	114345000	gained	0.2511	5.113e-6	NA	0	FALSE	FALSE	FALSE
stripe_58	chr1	114710001	114730000	gained	0.1065	0.005026	NA	0	FALSE	FALSE	FALSE
stripe_59	chr1	114845001	114865000	gained	0.1925	4.376e-5	NA	0	FALSE	FALSE	FALSE
stripe_60	chr1	118850001	118870000	gained	0.2192	1.057e-5	Gli2	1	FALSE	FALSE	FALSE
stripe_61	chr1	119050001	119085000	lost	0.1867	8.169e-6	Gli2	1	FALSE	FALSE	FALSE
stripe_62	chr1	124025001	124045000	gained	0.1898	1.742e-4	NA	0	FALSE	FALSE	FALSE
stripe_63	chr1	124500001	124520000	gained	0.0781	0.02291	NA	0	FALSE	FALSE	FALSE
stripe_64	chr1	126435001	126465000	gained	0.1492	1.065e-4	Nckap5	1	FALSE	FALSE	FALSE
stripe_65	chr1	126915001	126935000	gained	0.1608	2.027e-4	Nckap5	1	FALSE	FALSE	FALSE
stripe_66	chr1	129675001	129695000	gained	0.1503	4.905e-4	Thsd7b	1	FALSE	FALSE	FALSE
stripe_67	chr1	130255001	130275000	lost	0.0752	0.03948	Thsd7b	1	FALSE	FALSE	FALSE
stripe_68	chr1	131250001	131275000	lost	0.0697	0.02395	Dyrk3,Eif2d,Il10,Mapkapk2,Rassf5	5	FALSE	FALSE	FALSE
stripe_69	chr1	132785001	132805000	gained	0.0807	0.00924	Lrrn2,Mdm4,Pik3c2b	3	FALSE	FALSE	FALSE
stripe_70	chr1	133160001	133180000	gained	0.1259	6.431e-4	Etnk2,Golt1a,Kiss1,Plekha6,Ren1,Ren2,Sox13	7	FALSE	FALSE	FALSE
stripe_71	chr1	133595001	133615000	lost	0.1398	5.965e-4	Etnk2,Golt1a,Kiss1,Mdm4,Pik3c2b,Plekha6,Ppp1r15b,Ren1,Ren2,Snrpe,Sox13	11	FALSE	FALSE	FALSE
stripe_72	chr1	135365001	135385000	lost	0.0942	0.005716	Adipor1,Adora1,Arl8a,Btg2,Chi3l1,Chit1,Cyb5r1,Elf3,Fmod,Gpr37l1,Kdm5b,Klhl12,Lgr6,Lmod1,Mgat4e,Mgat4f,Mybph,Myog,Ppfia4,Ppp1r12b,Ptpn7,Ptprv,Rabif,Rnpep,Shisa4,Syt2,Timm17a,Tmem183a,Ube2t	29	FALSE	FALSE	FALSE
stripe_73	chr1	135530001	135550000	gained	0.1257	0.001351	Csrp1,Nav1,Phlda3,Tnni1	4	FALSE	FALSE	FALSE
stripe_74	chr1	135835001	135870000	gained	0.1297	3.392e-4	Ascl5,Cacna1s,Igfn1,Pkp1,Tmem9,Tnnt2	6	FALSE	FALSE	FALSE
stripe_75	chr1	135955001	135975000	gained	0.1167	0.001788	Ascl5,Cacna1s,Camsap2,Gpr25,Igfn1,Inava,Kif21b,Mroh3,Tmem9	9	FALSE	FALSE	FALSE
stripe_76	chr1	137840001	137860000	gained	-0.1751	5.854e-5	NA	0	FALSE	FALSE	FALSE
stripe_77	chr1	143990001	144010000	gained	0.075	0.04436	B3galt2,Cdc73,Glrx2,Rgs2,Ro60,Uchl5	6	FALSE	FALSE	FALSE
stripe_78	chr1	153325001	153355000	gained	0.0838	0.005269	Lamc1,Lamc2,Ncf2,Nmnat2,Smg7	5	FALSE	FALSE	FALSE
stripe_79	chr1	154710001	154735000	gained	0.1444	1.238e-4	Zfp648	1	FALSE	FALSE	FALSE
stripe_80	chr1	155510001	155530000	gained	0.0995	0.003528	BC034090,Cacna1e,Ier5,Mr1,Stx6,Xpr1	6	FALSE	FALSE	FALSE
stripe_81	chr1	156735001	156755000	gained	0.0967	0.009919	Angptl1,Ralgps2,Tex35	3	FALSE	FALSE	FALSE
stripe_82	chr1	157530001	157560000	lost	0.0562	0.04994	Abl2,Angptl1,Cryzl2,Fam20b,Ralgps2,Rasal2,Sec16b,Tex35,Tor3a	9	FALSE	FALSE	FALSE
stripe_83	chr1	159880001	159895000	gained	0.0874	0.04538	4930523C07Rik,Cacybp,Mrps14,Tnn	4	FALSE	FALSE	FALSE
stripe_84	chr1	161995001	162015000	gained	0.1316	0.001683	NA	0	FALSE	FALSE	FALSE
stripe_85	chr1	166885001	166905000	lost	-0.1064	0.003253	Aldh9a1,Fam78b,Mgst3,Tmco1,Uck2	5	FALSE	FALSE	FALSE
stripe_86	chr1	167000001	167025000	lost	-0.1382	3.069e-4	Aldh9a1,Fam78b,Tmco1,Uck2	4	FALSE	FALSE	FALSE
stripe_87	chr1	174625001	174645000	gained	0.065	0.03094	Becn2,Chml,Exo1,Fh1,Grem2,Kmo,Opn3,Pld5,Rgs7,Wdr64	10	FALSE	FALSE	FALSE
stripe_88	chr1	174985001	175005000	gained	0.1127	0.004712	Fmn2,Grem2	2	FALSE	FALSE	FALSE
stripe_89	chr1	176190001	176210000	gained	-0.0626	0.03218	Becn2,Chml,Exo1,Fh1,Grem2,Kmo,Opn3,Rgs7,Wdr64	9	TRUE	FALSE	TRUE
stripe_90	chr1	183425001	183445000	lost	0.067	0.02974	1700056E22Rik,Dusp10	2	FALSE	FALSE	FALSE
stripe_91	chr1	183425001	183445000	gained	0.0719	0.025	1700056E22Rik,Dusp10	2	FALSE	FALSE	FALSE
stripe_92	chr1	184255001	184275000	gained	0.1912	5.113e-5	Hlx,Mtarc1,Mtarc2	3	FALSE	FALSE	FALSE
stripe_93	chr1	186170001	186190000	gained	0.0928	0.01501	Tgfb2	1	FALSE	FALSE	FALSE
stripe_94	chr1	186700001	186720000	gained	0.1788	5.113e-5	Lyplal1,Tgfb2	2	FALSE	FALSE	FALSE
stripe_95	chr1	189160001	189180000	gained	0.185	5.113e-5	Kcnk2	1	FALSE	FALSE	FALSE
stripe_96	chr1	190555001	190575000	gained	0.1028	0.002999	Cenpf,Prox1,Ptpn14,Smyd2	4	FALSE	FALSE	FALSE
stripe_97	chr1	190760001	190775000	gained	0.0952	0.02055	Cenpf,Prox1,Ptpn14,Smyd2	4	FALSE	FALSE	FALSE
stripe_98	chr10	5620001	5640000	gained	0.1069	0.004328	Myct1,Syne1,Vip	3	FALSE	FALSE	FALSE
stripe_99	chr10	28130001	28150000	gained	0.1281	0.001495	NA	0	FALSE	FALSE	FALSE
stripe_100	chr10	28325001	28350000	gained	0.1237	0.003052	Themis	1	FALSE	FALSE	FALSE
stripe_101	chr10	28830001	28850000	gained	0.1595	1.529e-4	Ptprk,Themis	2	FALSE	FALSE	FALSE
stripe_102	chr10	39950001	39970000	gained	-0.0847	0.04041	Ccn6,Fam229b,Fyn,Mfsd4b4,Rev3l,Traf3ip2,Tube1	7	FALSE	FALSE	FALSE
stripe_103	chr10	44265001	44285000	gained	0.1162	0.002382	Atg5,Popdc3,Prdm1,Prep	4	FALSE	FALSE	FALSE
stripe_104	chr10	47555001	47575000	gained	0.1059	0.009426	NA	0	FALSE	FALSE	FALSE
stripe_105	chr10	49240001	49260000	gained	0.1346	8.961e-4	Grik2	1	FALSE	FALSE	FALSE
stripe_106	chr10	49245001	49265000	lost	0.0636	0.03289	Grik2	1	FALSE	FALSE	FALSE
stripe_107	chr10	49510001	49545000	lost	0.0911	0.002917	NA	0	FALSE	FALSE	FALSE
stripe_108	chr10	50045001	50070000	lost	-0.1033	0.001349	Grik2	1	FALSE	FALSE	FALSE
stripe_109	chr10	50190001	50210000	lost	-0.0943	0.007374	Grik2	1	FALSE	FALSE	FALSE
stripe_110	chr10	50190001	50210000	gained	-0.0926	0.007447	Grik2	1	FALSE	FALSE	FALSE
stripe_111	chr10	56360001	56380000	gained	0.1311	3.56e-4	Gja1	1	FALSE	FALSE	FALSE
stripe_112	chr10	58795001	58815000	gained	0.0895	0.0186	P4ha1,Septin10,Sh3rf3,Sowahc	4	FALSE	FALSE	FALSE
stripe_113	chr10	59330001	59350000	lost	-0.1338	0.001019	Anapc16,Ascc1,Ddit4,Dnajb12,Mcu,Micu1,Oit3,Pla2g12b,Spock2	9	FALSE	FALSE	FALSE
stripe_114	chr10	59470001	59485000	lost	-0.1512	2.864e-4	Anapc16,Ascc1,Ddit4,Dnajb12,Mcu,Micu1	6	FALSE	FALSE	FALSE
stripe_115	chr10	59585001	59620000	lost	-0.1465	6.418e-5	Anapc16,Ascc1,Ddit4,Dnajb12,Mcu,Micu1	6	FALSE	FALSE	FALSE
stripe_116	chr10	59815001	59835000	lost	-0.1202	4.451e-4	Mcu,Micu1,Oit3,P4ha1,Pla2g12b	5	FALSE	FALSE	FALSE
stripe_117	chr10	60100001	60120000	lost	-0.0639	0.04063	Anapc16,Ascc1,Ddit4,Dnajb12,Mcu,Micu1,Oit3,Spock2	8	TRUE	FALSE	TRUE
stripe_118	chr10	60305001	60325000	lost	0.0904	0.005921	Cdh23,Gm17455,Pcbd1,Sgpl1,Slc29a3,Tbata,Unc5b,Vsir	8	FALSE	FALSE	FALSE
stripe_119	chr10	60390001	60410000	gained	0.0801	0.01756	Cdh23,Gm17455,Slc29a3,Unc5b	4	FALSE	FALSE	FALSE
stripe_120	chr10	60510001	60535000	gained	0.1186	0.004955	Cdh23,Slc29a3	2	FALSE	FALSE	FALSE
stripe_121	chr10	61970001	61995000	lost	0.0984	0.003297	Col13a1,Fam241b,Neurog3	3	FALSE	FALSE	FALSE
stripe_122	chr10	63140001	63175000	gained	0.0552	0.04685	Dnajc12,Herc4,Mypn,Sirt1	4	FALSE	FALSE	FALSE
stripe_123	chr10	63645001	63665000	gained	0.2148	8.811e-5	Lrrtm3	1	FALSE	FALSE	FALSE
stripe_124	chr10	64060001	64090000	gained	0.1582	8.302e-5	Ctnna3	1	FALSE	FALSE	FALSE
stripe_125	chr10	69515001	69535000	gained	-0.1153	0.0018600000000000001	Ccdc6	1	FALSE	FALSE	FALSE
stripe_126	chr10	70010001	70035000	gained	0.1024	0.007834	Ccdc6,Mrln,Slc16a9	3	FALSE	FALSE	FALSE
stripe_127	chr10	70160001	70180000	lost	0.0664	0.02793	Ccdc6	1	FALSE	FALSE	FALSE
stripe_128	chr10	74185001	74215000	gained	0.0825	0.007093	NA	0	FALSE	FALSE	FALSE
stripe_129	chr10	75435001	75455000	gained	0.0664	0.0271	Adora2a,Bcr,Gnaz,Rab36,Rsph14,Specc1l,Upb1	7	FALSE	FALSE	FALSE
stripe_130	chr10	84955001	84975000	gained	0.1002	0.004732	Polr3b,Rfx4,Ric8b,Tcp11l2	4	FALSE	FALSE	FALSE
stripe_131	chr10	93450001	93475000	lost	0.0877	0.009512	Cdk17,Elk3,Lta4h	3	FALSE	FALSE	FALSE
stripe_132	chr10	105565001	105595000	gained	-0.1013	0.009287	Tmtc2	1	FALSE	FALSE	FALSE
stripe_133	chr10	108435001	108455000	lost	-0.1951	4.333e-5	Brcc3dc,Syt1	2	FALSE	FALSE	FALSE
stripe_134	chr10	108565001	108585000	lost	-0.361	1.002e-7	Brcc3dc,Syt1	2	FALSE	FALSE	FALSE
stripe_135	chr10	108860001	108880000	lost	-0.0758	0.01357	Syt1	1	FALSE	FALSE	FALSE
stripe_136	chr10	108995001	109015000	lost	-0.3892	1.433e-7	Brcc3dc,Syt1	2	FALSE	FALSE	FALSE
stripe_137	chr10	109005001	109030000	gained	-0.0801	0.02102	Syt1	1	FALSE	FALSE	FALSE
stripe_138	chr10	109110001	109130000	lost	-0.1204	0.001571	Brcc3dc,Syt1	2	FALSE	FALSE	FALSE
stripe_139	chr10	109235001	109255000	lost	-0.0821	0.01688	Brcc3dc,Syt1	2	FALSE	FALSE	FALSE
stripe_140	chr10	109485001	109505000	lost	-0.1123	0.001247	Brcc3dc,Syt1	2	FALSE	FALSE	FALSE
stripe_141	chr10	109565001	109590000	lost	-0.1125	0.002502	NA	0	FALSE	FALSE	FALSE
stripe_142	chr10	116320001	116340000	gained	-0.0674	0.03363	Cnot2,Kcnmb4,Myrfl	3	FALSE	FALSE	FALSE
stripe_143	chr10	128910001	128935000	lost	-0.136	4.006e-4	Ankrd52,Apof,Apon,Atp5f1b,Baz2a,Bloc1s1,Cd63,Cdk2,Cnpy2,Coq10a,Cs,Dgka,Dnajc14,Erbb3,Esyt1,Gdf11,Gls2,Ikzf4,Il23a,Itga7,Mip,Mmp19,Myl6,Myl6b,Nabp2,Naca,Ormdl2,Pa2g4,Pan2,Pmel,Ptges3,Pym1,Rab5b,Rbms2,Rdh5,Rnf41,Rpl41,Rps26,Sarnp,Slc39a5,Smarcc2,Spryd4,Stat2,Suox,Timeless,Tmem198b,Zc3h10	47	FALSE	FALSE	FALSE
stripe_144	chr11	5980001	6000000	lost	-0.0537	0.04885	Camk2b,Ddx56,Npc1l1,Nudcd3,Ogdh,Tmed4	6	TRUE	TRUE	TRUE
stripe_145	chr11	6760001	6780000	lost	-0.0806	0.01358	Adcy1	1	FALSE	FALSE	FALSE
stripe_146	chr11	6760001	6780000	gained	-0.0806	0.01358	Adcy1	1	FALSE	FALSE	FALSE
stripe_147	chr11	8930001	8950000	lost	-0.0689	0.0341	Tns3	1	FALSE	FALSE	FALSE
stripe_148	chr11	12520001	12550000	gained	0.2407	1.663e-6	Cobl,Ddc,Fignl1,Grb10	4	FALSE	FALSE	FALSE
stripe_149	chr11	18780001	18805000	lost	-0.0732	0.01759	Etaa1	1	FALSE	FALSE	FALSE
stripe_150	chr11	19300001	19320000	gained	-0.0903	0.0177	NA	0	FALSE	FALSE	FALSE
stripe_151	chr11	24455001	24475000	gained	0.1659	2.061e-4	NA	0	FALSE	FALSE	FALSE
stripe_152	chr11	24660001	24690000	gained	0.1536	1.395e-4	NA	0	FALSE	FALSE	FALSE
stripe_153	chr11	24675001	24695000	gained	0.1796	1.066e-4	Bcl11a	1	FALSE	FALSE	FALSE
stripe_154	chr11	24855001	24875000	lost	0.1545	1.206e-4	Bcl11a	1	FALSE	FALSE	FALSE
stripe_155	chr11	26195001	26215000	gained	-0.1399	9.859e-4	Fancl,Vrk2	2	FALSE	FALSE	FALSE
stripe_156	chr11	29255001	29275000	gained	0.1088	0.001075	Ccdc88a,Clhc1,Mtif2,Prorsd1,Rps27a,Rtn4	6	FALSE	FALSE	FALSE
stripe_157	chr11	30380001	30400000	lost	-0.0812	0.0289	Eml6,Fem1al,Rtn4,Sptbn1	4	FALSE	FALSE	FALSE
stripe_158	chr11	31075001	31105000	lost	-0.0823	0.01235	Acyp2,Asb3,Chac2,Cimip6,Eml6,Erlec1,Fem1al,Gpr75,Psme4,Sptbn1	10	FALSE	FALSE	FALSE
stripe_159	chr11	31235001	31260000	gained	0.1021	0.002032	4930524B15Rik,Bod1,Cpeb4,Hba-a1,Hba-x,Hbq1b,Il9r,Mpg,Nprl3,Nsg2,Rhbdf1,Snrnp25,Stc2	13	FALSE	FALSE	FALSE
stripe_160	chr11	32145001	32165000	gained	0.0981	0.004896	4930524B15Rik,Bod1,Cpeb4,Nsg2	4	FALSE	FALSE	FALSE
stripe_161	chr11	33160001	33180000	gained	-0.2708	6.245e-6	Npm1,Ranbp17,Tlx3	3	FALSE	FALSE	FALSE
stripe_162	chr11	33720001	33740000	gained	0.101	0.002235	Kcnip1,Kcnmb1	2	FALSE	FALSE	FALSE
stripe_163	chr11	36205001	36225000	lost	-0.0863	0.02487	Tenm2	1	FALSE	FALSE	FALSE
stripe_164	chr11	36665001	36685000	gained	-0.131	0.001632	NA	0	FALSE	FALSE	FALSE
stripe_165	chr11	41425001	41445000	gained	-0.076	0.04082	Gabra1,Gabra6,Gabrb2,Gabrg2	4	FALSE	FALSE	FALSE
stripe_166	chr11	42055001	42080000	gained	-0.064	0.0351	Gabrg2	1	FALSE	FALSE	FALSE
stripe_167	chr11	43400001	43420000	gained	-0.0648	0.03499	Atp10b,Gabra1,Gabra6,Gabrb2,Gabrg2	5	FALSE	FALSE	FALSE
stripe_168	chr11	43850001	43870000	gained	0.0725	0.04669	Adra1b	1	FALSE	FALSE	FALSE
stripe_169	chr11	46915001	46935000	gained	0.1423	0.001927	Sgcd	1	FALSE	FALSE	FALSE
stripe_170	chr11	52430001	52450000	gained	0.1151	0.001318	Aff4,Fstl4,Gdf9,Hspa4,Leap2,Shroom1,Uqcrq,Zcchc10	8	FALSE	FALSE	FALSE
stripe_171	chr11	52915001	52935000	gained	0.2245	5.113e-5	NA	0	FALSE	FALSE	FALSE
stripe_172	chr11	53240001	53260000	lost	0.1178	0.005151	9530068E07Rik,Fstl4	2	FALSE	FALSE	FALSE
stripe_173	chr11	53240001	53260000	gained	0.1179	0.005237	9530068E07Rik,Fstl4	2	FALSE	FALSE	FALSE
stripe_174	chr11	54920001	54940000	lost	-0.09	0.006604	Acsl6,Cdc42se2,Csf2,Fnip1,Gpx3,Hint1,Il13,Il3,Il4,Il5,Irf1,Lyrm7,Meikin,P4ha2,Pdlim4,Rad50,Rapgef6,Slc22a21,Slc22a4,Slc22a5	20	FALSE	FALSE	FALSE
stripe_175	chr11	54920001	54940000	gained	-0.0817	0.01402	Acsl6,Cdc42se2,Csf2,Fnip1,Gpx3,Hint1,Il3,Lyrm7,Meikin,P4ha2,Pdlim4,Rapgef6,Slc22a21,Slc22a4	14	FALSE	FALSE	FALSE
stripe_176	chr11	55040001	55060000	lost	-0.0669	0.04552	Anxa6,Cdc42se2,Gpx3,Hint1,Lyrm7,Tnip1	6	FALSE	FALSE	FALSE
stripe_177	chr11	57275001	57295000	gained	0.1696	1.345e-4	Gria1	1	FALSE	FALSE	FALSE
stripe_178	chr11	57455001	57475000	gained	0.1608	2.433e-4	Gria1	1	FALSE	FALSE	FALSE
stripe_179	chr11	61215001	61235000	gained	-0.0643	0.03458	Akap10,Aldh3a2,B9d1,Epn2,Fam83g,Grap,Mapk7,Mfap4,Prpsap2,Rnf112,Slc47a1,Slc47a2,Slc5a10,Specc1,Ulk2	15	TRUE	FALSE	TRUE
stripe_180	chr11	66890001	66920000	lost	-0.1281	0.002405	Adprm,Myh3,Pirt,Sco1,Tmem220,Tmem238l	6	FALSE	FALSE	FALSE
stripe_181	chr11	67640001	67660000	lost	-0.1286	0.001874	Adprm,Gas7,Myh1,Myh13,Myh2,Myh3,Myh4,Myh8,Sco1,Tmem220	10	TRUE	TRUE	TRUE
stripe_182	chr11	68545001	68580000	gained	0.0654	0.0241	Aloxe3,Arhgef15,Aurkb,Borcs6,Ccdc42,Ctc1,Hes7,Mfsd6l,Myh10,Ndel1,Odf4,Per1,Pfas,Rangrf,Rnf222,Rpl26,Slc25a35,Tmem107,Vamp2	19	FALSE	FALSE	FALSE
stripe_183	chr11	69830001	69850000	gained	-0.0799	0.01326	Alox12b,Alox8,Aloxe3,Arhgef15,Atp1b2,Aurkb,Borcs6,Cd68,Chd3,Chrnb1,Cntrob,Ctc1,Cyb5d1,Dnah2,Efnb3,Eif4a1,Fgf11,Fxr2,Gucy2e,Hes7,Kcnab3,Kdm6b,Mpdu1,Naa38,Nlgn2,Per1,Pfas,Plscr3,Polr2a,Rangrf,Rnf227,Sat2,Senp3,Shbg,Slc25a35,Slc35g3,Sox15,Spem1,Spem2,Tmem102,Tmem107,Tmem256,Tmem88,Tnfsf12,Tnfsf13,Tnfsfm13,Trappc1,Trp53,Vamp2,Wrap53,Zbtb4	51	FALSE	FALSE	FALSE
stripe_184	chr11	72010001	72035000	gained	-0.1128	0.002903	6330403K07Rik,C1qbp,Derl2,Dhx33,Mis12,Nlrp1a,Nlrp1b,Wscd1	8	FALSE	FALSE	FALSE
