loop_id	direction	anchor1_annotation	anchor2_annotation	anchor1_gene	anchor2_gene
loop_7483	up	Promoter (<=1kb)	Promoter (<=1kb)	Heatr1	Ak6
loop_7853	up	Exon (ENSMUST00000178164.7/269003, exon 12 of 22)	Promoter (<=1kb)	Sap130	Ankhd1
loop_8063	down	3' UTR	Promoter (<=1kb)	Shox2	Pitx2
loop_8150	up	Promoter (<=1kb)	Promoter (<=1kb)	Mdn1	Rars2
loop_8561	up	Promoter (<=1kb)	3' UTR	Tnks	Eri1
loop_8828	down	Promoter (<=1kb)	Promoter (<=1kb)	Gypa	Usp38
loop_8834	down	Promoter (<=1kb)	Promoter (<=1kb)	Sall1	Irx5
loop_8845	down	Promoter (<=1kb)	Promoter (<=1kb)	Sox1	Sall1
loop_8846	down	Promoter (<=1kb)	Intron (ENSMUST00000220518.1/11906, intron 2 of 15)	Hdnr	Zfhx3
loop_8847	down	Promoter (<=1kb)	Promoter (<=1kb)	Sox1	Hdnr
loop_9644	down	Promoter (<=1kb)	Promoter (<=1kb)	B230323A14Rik	Onecut1
loop_9656	down	Promoter (<=1kb)	Promoter (<=1kb)	Jhy	Onecut1
loop_9657	down	Promoter (<=1kb)	Promoter (<=1kb)	Isl2	Onecut1
loop_10149	down	Promoter (<=1kb)	Promoter (<=1kb)	Tbx2	Hoxb13
loop_10155	down	Promoter (<=1kb)	Promoter (<=1kb)	Tbx2	Igf2bp1
loop_10524	down	Exon (ENSMUST00000221742.1/ENSMUST00000221742.1, exon 1 of 5)	Promoter (<=1kb)	Tbca	Foxd1
loop_10591	down	Promoter (<=1kb)	Promoter (<=1kb)	Foxd1	Isl1
loop_10875	down	Promoter (<=1kb)	Promoter (<=1kb)	Foxg1	Pax9
loop_10974	down	Promoter (<=1kb)	Promoter (<=1kb)	Pax9	Six1
loop_13141	down	Promoter (<=1kb)	Exon (ENSMUST00000236936.1/ENSMUST00000236936.1, exon 1 of 6)	Nkx2-3	Pax2
loop_13154	down	Promoter (<=1kb)	Promoter (<=1kb)	Vax1	Emx2
loop_13156	down	Promoter (<=1kb)	Promoter (<=1kb)	Nkx2-3	Tlx1
loop_13214	down	Promoter (<=1kb)	Exon (ENSMUST00000236019.1/ENSMUST00000236019.1, exon 1 of 1)	Nkx2-3	Vax1
loop_13659	down	Exon (ENSMUST00000139345.1/ENSMUST00000139345.1, exon 1 of 2)	Promoter (<=1kb)	Kiz	Foxa2
loop_13852	down	Distal Intergenic	Promoter (<=1kb)	Kiz	Foxa2
loop_13925	down	Promoter (<=1kb)	Promoter (<=1kb)	Gad1	Evx2
loop_13932	down	Promoter (<=1kb)	Promoter (<=1kb)	Hoxd10	Foxa2
loop_14489	down	Promoter (<=1kb)	Promoter (<=1kb)	Platr30	Pitx2
loop_14494	down	Promoter (<=1kb)	Promoter (<=1kb)	Pitx2	Lhx8
loop_14495	down	Promoter (<=1kb)	Promoter (<=1kb)	Neurog2	Lhx8
loop_14987	down	Promoter (<=1kb)	Promoter (<=1kb)	Cdkn2b	Dmrta2
loop_16957	up	Intron (ENSMUST00000211374.1/ENSMUST00000211374.1, intron 1 of 3)	Promoter (<=1kb)	G630064G18Rik	Tusc3
loop_17125	down	Promoter (<=1kb)	Promoter (<=1kb)	Bsx	Mir125b-1
loop_18419	down	Promoter (<=1kb)	Promoter (<=1kb)	Shox2	Platr30
loop_18547	down	Promoter (<=1kb)	Promoter (<=1kb)	Cdkn2a	Dmrta2
loop_18550	down	Promoter (<=1kb)	Promoter (<=1kb)	Pax5	Foxe1
loop_18556	down	Promoter (<=1kb)	Promoter (<=1kb)	Pax5	Cdkn2a
loop_19055	down	Promoter (<=1kb)	Promoter (<=1kb)	Ostm1	Sim1
loop_19406	down	Promoter (<=1kb)	Promoter (<=1kb)	Ermard	Chd1
loop_19460	up	Promoter (<=1kb)	Exon (ENSMUST00000088448.11/241035, exon 49 of 67)	Tfap2b	4930486I03Rik
loop_19960	down	Promoter (<=1kb)	Promoter (<=1kb)	Zfp827	Smad1
loop_19964	up	Distal Intergenic	Promoter (<=1kb)	Eri1	Cldn23
loop_19966	up	Promoter (<=1kb)	Promoter (<=1kb)	Mtmr7	Mtus1
loop_19978	up	Exon (ENSMUST00000212780.1/ENSMUST00000212780.1, exon 13 of 15)	Promoter (<=1kb)	1700026F02Rik	Or2z8
loop_20283	up	Exon (ENSMUST00000182283.7/19264, exon 3 of 30)	Promoter (<=1kb)	Ptprc	Lhx9
loop_20331	up	3' UTR	Promoter (<=1kb)	Pik3c3	Iws1
loop_20543	up	Promoter (<=1kb)	Exon (ENSMUST00000080036.2/15194, exon 23 of 67)	Depdc5	Htt
loop_20941	up	Promoter (<=1kb)	Promoter (<=1kb)	Ep400	Trrap
