gene_symbol	gene_class	feature_label	n_features	min_distance	median_distance
1700102P08Rik	invariant	ENCODE	1	263037.5	263037.5
1700102P08Rik	invariant	K27ac_ChIP	79	53218.5	704405.5
1700102P08Rik	invariant	P60	7	242896.5	1044774.5
1700109H08Rik	invariant	ChromHMM_ActiveEnhancer	36	48834	912584
1700109H08Rik	invariant	K27ac_ChIP	23	24912	1185636.5
1700113A16Rik	invariant	ChromHMM_ActiveEnhancer	50	8085	1305735
1700113A16Rik	invariant	ENCODE	1	29509	29509
1700113A16Rik	invariant	K27ac_ChIP	77	172	636308
1700113A16Rik	invariant	P60	3	21189.5	43631
1810055G02Rik	invariant	ChromHMM_ActiveEnhancer	11	137707	773407
1810055G02Rik	invariant	K27ac_ChIP	64	180.5	997531.5
1810055G02Rik	invariant	P60	6	136406.5	499370
2010315B03Rik	invariant	ChromHMM_ActiveEnhancer	6	483396	891196
2010315B03Rik	invariant	K27ac_ChIP	12	380.5	632883.5
2210016L21Rik	invariant	ChromHMM_ActiveEnhancer	16	243758	1290500
2210016L21Rik	invariant	ENCODE	1	1372138.5	1372138.5
2210016L21Rik	invariant	K27ac_ChIP	76	159.5	908995.75
2210016L21Rik	invariant	P60	7	572725	1453302
2210408I21Rik	invariant	ChromHMM_ActiveEnhancer	78	3040	673690
2210408I21Rik	invariant	K27ac_ChIP	20	216	1059730.75
2210408I21Rik	invariant	P60	3	734140.5	825882.5
2310010J17Rik	invariant	ChromHMM_ActiveEnhancer	46	9784	472534
2310010J17Rik	invariant	K27ac_ChIP	23	692.5	360179
2310011J03Rik	invariant	ChromHMM_ActiveEnhancer	50	75837	899513
2310011J03Rik	invariant	ENCODE	1	1096585	1096585
2310011J03Rik	invariant	K27ac_ChIP	127	6161	576550
2310011J03Rik	invariant	P60	10	296755	658440.5
2310015A10Rik	DEG_down	ChromHMM_ActiveEnhancer	47	31444	1136656
2310015A10Rik	DEG_down	K27ac_ChIP	45	521.5	813078
2310015A10Rik	DEG_down	P60	2	699034.5	927992.75
2410004B18Rik	invariant	ChromHMM_ActiveEnhancer	20	396386	958736
2410004B18Rik	invariant	K27ac_ChIP	13	13646	819106.5
2510009E07Rik	invariant	ChromHMM_ActiveEnhancer	38	29365	921550
2510009E07Rik	invariant	K27ac_ChIP	44	44.5	937800
2510009E07Rik	invariant	P60	2	991001	1041793
2610005L07Rik	invariant	ChromHMM_ActiveEnhancer	37	1814	339014
2610005L07Rik	invariant	K27ac_ChIP	19	478.5	341177.5
2610005L07Rik	invariant	P60	1	252064.5	252064.5
2610035D17Rik	DEG_down	ChromHMM_ActiveEnhancer	22	36338	1260612
2610035D17Rik	DEG_down	K27ac_ChIP	33	598	455146.5
2610035D17Rik	DEG_down	P60	6	1301606.5	1621073.25
2610037D02Rik	invariant	ChromHMM_ActiveEnhancer	66	35992	1225758
2610037D02Rik	invariant	K27ac_ChIP	45	1225.5	1239514
2610042L04Rik	DEG_up	K27ac_ChIP	11	164272	1054194
2610307P16Rik	invariant	ChromHMM_ActiveEnhancer	52	131280	884480
2610307P16Rik	invariant	K27ac_ChIP	26	66789.5	792894.25
2700099C18Rik	invariant	ChromHMM_ActiveEnhancer	1	1510400	1510400
2700099C18Rik	invariant	K27ac_ChIP	2	185	42335.5
2810032G03Rik	invariant	ChromHMM_ActiveEnhancer	68	38370	1356720
2810032G03Rik	invariant	K27ac_ChIP	46	1222.5	616224.25
2810032G03Rik	invariant	P60	2	1357188	1441133
2810459M11Rik	DEG_up	ChromHMM_ActiveEnhancer	42	7263	1492137
2810459M11Rik	DEG_up	K27ac_ChIP	39	7633.5	480853
2810459M11Rik	DEG_up	P60	4	145982	428364
2900009J06Rik	invariant	ChromHMM_ActiveEnhancer	57	106992	267992
2900009J06Rik	invariant	K27ac_ChIP	8	370	399726.5
2900052L18Rik	invariant	ChromHMM_ActiveEnhancer	22	11285	1061135
2900052L18Rik	invariant	ENCODE	1	1361155.5	1361155.5
2900052L18Rik	invariant	K27ac_ChIP	154	386.5	1006963.25
2900052L18Rik	invariant	P60	9	9861.5	700450.5
2900079G21Rik	invariant	ChromHMM_ActiveEnhancer	34	14577	787423
2900079G21Rik	invariant	K27ac_ChIP	31	1034.5	1198589.5
2900079G21Rik	invariant	P60	2	27767.5	788838
3010001F23Rik	invariant	ChromHMM_ActiveEnhancer	16	30473	921700
3010001F23Rik	invariant	K27ac_ChIP	21	170.5	605803
3010001F23Rik	invariant	P60	1	195503.5	195503.5
3110009E18Rik	invariant	ChromHMM_ActiveEnhancer	38	5487	1229250
3110009E18Rik	invariant	K27ac_ChIP	12	479	843002.5
3110070M22Rik	invariant	ChromHMM_ActiveEnhancer	37	56284	1695284
3110070M22Rik	invariant	K27ac_ChIP	8	200	235070.25
3632454L22Rik	invariant	ChromHMM_ActiveEnhancer	8	148664	728614
3632454L22Rik	invariant	K27ac_ChIP	20	51413	879529
4632415L05Rik	invariant	ChromHMM_ActiveEnhancer	40	110014	934264
4632415L05Rik	invariant	K27ac_ChIP	24	250	946150.75
4632427E13Rik	invariant	ChromHMM_ActiveEnhancer	67	16441	384259
4632427E13Rik	invariant	K27ac_ChIP	22	382.5	340137.75
4632427E13Rik	invariant	P60	1	481856.5	481856.5
4833418N02Rik	invariant	ChromHMM_ActiveEnhancer	88	34886	846314
4833418N02Rik	invariant	K27ac_ChIP	39	48100.5	973856
4833418N02Rik	invariant	P60	6	58617	1059750.25
4921531C22Rik	invariant	ChromHMM_ActiveEnhancer	104	4007	1679843
4921531C22Rik	invariant	K27ac_ChIP	76	15252	1350822
4921531C22Rik	invariant	P60	5	845405.5	1164144
4921539E11Rik	invariant	ChromHMM_ActiveEnhancer	66	13437	1125987
4921539E11Rik	invariant	K27ac_ChIP	26	23786	1184832.75
4921539E11Rik	invariant	P60	3	1153200.5	1191238.5
4930422M22Rik	invariant	ChromHMM_ActiveEnhancer	26	56175	305475
4930422M22Rik	invariant	K27ac_ChIP	23	61236.5	1162573
4930422M22Rik	invariant	P60	1	1159207.5	1159207.5
4930447M23Rik	DEG_down	ChromHMM_ActiveEnhancer	53	83	1222017
4930447M23Rik	DEG_down	K27ac_ChIP	34	67986.5	1522348.75
4930447M23Rik	DEG_down	P60	1	1590219	1590219
4930467D21Rik	invariant	ChromHMM_ActiveEnhancer	13	91117	195917
4930467D21Rik	invariant	K27ac_ChIP	20	27843.5	775683.5
4930481A15Rik	invariant	ChromHMM_ActiveEnhancer	25	15760	1326040
4930481A15Rik	invariant	ENCODE	2	894191	1011055
4930481A15Rik	invariant	K27ac_ChIP	125	16931	897067
4930481A15Rik	invariant	P60	11	78768	1098704.5
4930512B01Rik	invariant	ChromHMM_ActiveEnhancer	62	23265	1071465
4930512B01Rik	invariant	K27ac_ChIP	44	260	647205.5
4930513D17Rik	invariant	ChromHMM_ActiveEnhancer	75	8474	733474
4930513D17Rik	invariant	K27ac_ChIP	21	21162	1049279
4930513D17Rik	invariant	P60	2	26818	378759.5
4930515L19Rik	invariant	ChromHMM_ActiveEnhancer	12	1683989	1703589
4930515L19Rik	invariant	K27ac_ChIP	3	1705090.5	1879356.5
4930523C07Rik	invariant	ChromHMM_ActiveEnhancer	83	95016	696516
4930523C07Rik	invariant	K27ac_ChIP	25	150906	1026378.5
4930539J05Rik	invariant	ChromHMM_ActiveEnhancer	103	31635	1316135
4930539J05Rik	invariant	K27ac_ChIP	25	586.5	1342431
4930539J05Rik	invariant	P60	2	1271737	1470406
4930593A02Rik	invariant	ChromHMM_ActiveEnhancer	74	5289	480311
4930593A02Rik	invariant	K27ac_ChIP	23	1048	1397329
4930594M22Rik	DEG_down	ChromHMM_ActiveEnhancer	61	4670	1610930
4930594M22Rik	DEG_down	K27ac_ChIP	47	36	553887
4930594M22Rik	DEG_down	P60	7	13382.5	449027
4931440P22Rik	invariant	ChromHMM_ActiveEnhancer	49	2721	310679
4931440P22Rik	invariant	K27ac_ChIP	22	852.5	324430
4932702P03Rik	invariant	ChromHMM_ActiveEnhancer	40	24707	677643
4932702P03Rik	invariant	K27ac_ChIP	22	32194.5	1301759.5
4933402J07Rik	DEG_down	ChromHMM_ActiveEnhancer	88	27153	455653
4933402J07Rik	DEG_down	K27ac_ChIP	52	55201.5	338573.75
4933402J07Rik	DEG_down	P60	5	62075	277961.5
4933404O12Rik	invariant	ChromHMM_ActiveEnhancer	13	181754	733354
4933404O12Rik	invariant	K27ac_ChIP	45	43331.5	1105977
4933404O12Rik	invariant	P60	4	431183	855413.25
4933434E20Rik	invariant	ChromHMM_ActiveEnhancer	21	222864	1652736
4933434E20Rik	invariant	ENCODE	1	1903360	1903360
4933434E20Rik	invariant	K27ac_ChIP	67	28287	1137751
4933434E20Rik	invariant	P60	4	221398.5	1630952
5031410I06Rik	DEG_down	ChromHMM_ActiveEnhancer	108	177138	1143050
5031410I06Rik	DEG_down	K27ac_ChIP	52	97662	1269715.75
5031410I06Rik	DEG_down	P60	4	1047255.5	1203577.5
5031425E22Rik	invariant	ChromHMM_ActiveEnhancer	70	11231	1261919
5031425E22Rik	invariant	K27ac_ChIP	53	517.5	1181681
5031425E22Rik	invariant	P60	7	11441.5	1176804
5033417F24Rik	invariant	ChromHMM_ActiveEnhancer	39	31064	877764
5033417F24Rik	invariant	K27ac_ChIP	53	452.5	748211
5033417F24Rik	invariant	P60	1	165384	165384
5330434G04Rik	invariant	ChromHMM_ActiveEnhancer	7	329724	1277676
5330434G04Rik	invariant	K27ac_ChIP	8	145	902765
5730409E04Rik	invariant	ChromHMM_ActiveEnhancer	13	307618	790982
5730409E04Rik	invariant	K27ac_ChIP	59	52040.5	625136
5730409E04Rik	invariant	P60	3	356794.5	490240
5730455P16Rik	invariant	ChromHMM_ActiveEnhancer	21	200066	706134
5730455P16Rik	invariant	K27ac_ChIP	34	50699	683593.75
5730455P16Rik	invariant	P60	2	110077.5	419530.5
5830417I10Rik	invariant	ChromHMM_ActiveEnhancer	50	145716	1789650
5830417I10Rik	invariant	ENCODE	1	626940	626940
5830417I10Rik	invariant	K27ac_ChIP	85	3140	647064
5830417I10Rik	invariant	P60	4	155264	586210.25
6030458C11Rik	invariant	ChromHMM_ActiveEnhancer	16	371949	582999
6030458C11Rik	invariant	K27ac_ChIP	9	34.5	502083
6030458C11Rik	invariant	P60	1	605692.5	605692.5
6430571L13Rik	DEG_down	ChromHMM_ActiveEnhancer	22	7298	521898
6430571L13Rik	DEG_down	ENCODE	1	789165.5	789165.5
6430571L13Rik	DEG_down	K27ac_ChIP	82	190.5	825422.75
6430571L13Rik	DEG_down	P60	6	7428.5	505189.75
9130019P16Rik	DEG_down	ChromHMM_ActiveEnhancer	76	2679	967929
9130019P16Rik	DEG_down	K27ac_ChIP	61	834.5	562496.5
9130019P16Rik	DEG_down	P60	3	23964	101299.5
9330102E08Rik	invariant	ChromHMM_ActiveEnhancer	59	48103	221297
9330102E08Rik	invariant	ENCODE	2	187552.5	890543
9330102E08Rik	invariant	K27ac_ChIP	51	16595	820472.5
9330102E08Rik	invariant	P60	2	146544	865210.75
9330104G04Rik	invariant	ChromHMM_ActiveEnhancer	11	17014	169714
9330104G04Rik	invariant	K27ac_ChIP	30	265.5	471546.25
9330104G04Rik	invariant	P60	8	58932.5	645288.5
9330151L19Rik	invariant	ChromHMM_ActiveEnhancer	41	220989	1170589
9330151L19Rik	invariant	K27ac_ChIP	35	347	593384
9330175M20Rik	DEG_down	ChromHMM_ActiveEnhancer	130	921	617200
9330175M20Rik	DEG_down	K27ac_ChIP	28	217	712809
9330179D12Rik	invariant	ChromHMM_ActiveEnhancer	64	42989	896411
9330179D12Rik	invariant	ENCODE	2	559119.5	702990.5
9330179D12Rik	invariant	K27ac_ChIP	60	161	852721.75
9330179D12Rik	invariant	P60	3	549463.5	887870
9430015G10Rik	invariant	ChromHMM_ActiveEnhancer	11	144718	920182
9430015G10Rik	invariant	ENCODE	1	838423	838423
9430015G10Rik	invariant	K27ac_ChIP	74	91.5	835940.75
9430015G10Rik	invariant	P60	8	367976.5	879294.75
9430041J12Rik	invariant	ChromHMM_ActiveEnhancer	3	436272	490972
9430041J12Rik	invariant	K27ac_ChIP	26	3732	682372
9430091E24Rik	invariant	ChromHMM_ActiveEnhancer	76	154820	617000
9430091E24Rik	invariant	K27ac_ChIP	59	111733	491201.5
9430091E24Rik	invariant	P60	5	197691.5	461037.5
9530052E02Rik	invariant	ChromHMM_ActiveEnhancer	65	5650	1505150
9530052E02Rik	invariant	K27ac_ChIP	44	1435.5	1044688.75
9530052E02Rik	invariant	P60	3	784171.5	1905668
A230056P14Rik	invariant	ChromHMM_ActiveEnhancer	14	36669	1674019
A230056P14Rik	invariant	K27ac_ChIP	8	246.5	168641.75
A230083G16Rik	invariant	ChromHMM_ActiveEnhancer	44	16763	1235737
A230083G16Rik	invariant	ENCODE	1	1673406.5	1673406.5
A230083G16Rik	invariant	K27ac_ChIP	58	853	251246.75
A230083G16Rik	invariant	P60	5	59981	169975
A330008L17Rik	DEG_down	ChromHMM_ActiveEnhancer	57	4958	192842
A330008L17Rik	DEG_down	K27ac_ChIP	7	248.5	270198
A330093E20Rik	invariant	ChromHMM_ActiveEnhancer	118	67740	1407060
A330093E20Rik	invariant	K27ac_ChIP	23	235292.5	1288196.5
A330093E20Rik	invariant	P60	1	1529073.5	1529073.5
A430005L14Rik	invariant	ChromHMM_ActiveEnhancer	19	152063	1351263
A430005L14Rik	invariant	ENCODE	1	1314322	1314322
A430005L14Rik	invariant	K27ac_ChIP	93	258.5	1343576
A430005L14Rik	invariant	P60	10	935971	1376067.25
A430078I02Rik	invariant	ChromHMM_ActiveEnhancer	43	130	1131130
A430078I02Rik	invariant	K27ac_ChIP	43	7027	796635.5
A430078I02Rik	invariant	P60	2	405485	687056.75
A630001G21Rik	invariant	ChromHMM_ActiveEnhancer	34	31057	1252607
A630001G21Rik	invariant	K27ac_ChIP	38	15558	745900.25
A630001G21Rik	invariant	P60	3	121238	660277.5
A730004F24Rik	DEG_down	ChromHMM_ActiveEnhancer	12	674619	1364900
A730004F24Rik	DEG_down	K27ac_ChIP	14	3601	1275224.75
A730056A06Rik	DEG_down	ChromHMM_ActiveEnhancer	65	7326	1089226
A730056A06Rik	DEG_down	K27ac_ChIP	36	280	1008531.25
A730056A06Rik	DEG_down	P60	3	230355	1022554.5
A730081D07Rik	invariant	ChromHMM_ActiveEnhancer	38	250949	1101399
A730081D07Rik	invariant	K27ac_ChIP	19	15365.5	1165794
A830019P07Rik	DEG_down	ChromHMM_ActiveEnhancer	24	573022	1169722
A830019P07Rik	DEG_down	K27ac_ChIP	17	573071	1045785
A930004D18Rik	invariant	ChromHMM_ActiveEnhancer	45	56763	798563
A930004D18Rik	invariant	K27ac_ChIP	25	3444.5	498223
A930006K02Rik	DEG_down	ChromHMM_ActiveEnhancer	105	40275	1437825
A930006K02Rik	DEG_down	K27ac_ChIP	45	20476	443983
A930006K02Rik	DEG_down	P60	3	417439.5	1461184.5
A930007I19Rik	invariant	ChromHMM_ActiveEnhancer	12	188659	605459
A930007I19Rik	invariant	K27ac_ChIP	12	676	491420.75
AA986860	invariant	ChromHMM_ActiveEnhancer	76	132124	1201776
AA986860	invariant	K27ac_ChIP	52	15135	1478954.75
AA986860	invariant	P60	4	588762.5	1719956
AI987944	invariant	ChromHMM_ActiveEnhancer	1	201479	201479
AI987944	invariant	K27ac_ChIP	8	206102.5	1844759.25
AU022252	invariant	ChromHMM_ActiveEnhancer	53	485988	1215812
AU022252	invariant	K27ac_ChIP	72	816.5	889946.75
AU022252	invariant	P60	5	561781.5	1321823.5
AU041133	invariant	ChromHMM_ActiveEnhancer	52	527013	1096250
AU041133	invariant	ENCODE	2	710891	1107554.25
AU041133	invariant	K27ac_ChIP	103	311	1227550
AU041133	invariant	P60	8	714949.5	1225865.25
AW046200	DEG_down	ChromHMM_ActiveEnhancer	42	5357	142693
AW046200	DEG_down	K27ac_ChIP	16	188.5	125527.75
AW046200	DEG_down	P60	1	57902.5	57902.5
AW209491	invariant	ChromHMM_ActiveEnhancer	19	105854	1009654
AW209491	invariant	K27ac_ChIP	10	16795	857455.5
Aacs	invariant	ChromHMM_ActiveEnhancer	37	15486	632314
Aacs	invariant	K27ac_ChIP	63	876	591120.5
Aacs	invariant	P60	8	71493.5	880032.5
Aak1	invariant	ChromHMM_ActiveEnhancer	68	25617	1524917
Aak1	invariant	K27ac_ChIP	64	1013.5	1285910.75
Aak1	invariant	P60	2	36798	687056.75
Aamdc	DEG_down	ChromHMM_ActiveEnhancer	43	33097	1004097
Aamdc	DEG_down	K27ac_ChIP	31	928	1076988
Aamdc	DEG_down	P60	1	163194.5	163194.5
Aasdh	invariant	ChromHMM_ActiveEnhancer	5	18286	615514
Aasdh	invariant	K27ac_ChIP	14	45642.5	661256.25
Aasdhppt	invariant	ChromHMM_ActiveEnhancer	10	224629	409629
Aasdhppt	invariant	ENCODE	1	1294645.5	1294645.5
Aasdhppt	invariant	K27ac_ChIP	5	256	329644
Aatk	invariant	ChromHMM_ActiveEnhancer	22	75233	876717
Aatk	invariant	ENCODE	1	1176737.5	1176737.5
Aatk	invariant	K27ac_ChIP	159	173	912709
Aatk	invariant	P60	10	1129.5	677351.75
Abat	invariant	ChromHMM_ActiveEnhancer	29	10571	1395971
Abat	invariant	K27ac_ChIP	21	270.5	1255219
Abat	invariant	P60	2	1384805	1431795.5
Abca3	invariant	ChromHMM_ActiveEnhancer	2	581350	1138850
Abca3	invariant	K27ac_ChIP	74	257	658007.5
Abca3	invariant	P60	4	147173.5	1587197.75
Abca4	DEG_down	ChromHMM_ActiveEnhancer	92	29957	856943
Abca4	DEG_down	K27ac_ChIP	36	52257.5	882267.25
Abcb1a	invariant	ChromHMM_ActiveEnhancer	53	38877	494277
Abcb1a	invariant	K27ac_ChIP	15	37923	475347.5
Abcb7	invariant	ChromHMM_ActiveEnhancer	10	85744	819556
Abcb7	invariant	K27ac_ChIP	10	77	948782.5
Abcc4	invariant	ChromHMM_ActiveEnhancer	46	1019	1422331
Abcc4	invariant	K27ac_ChIP	19	218876	1145984
Abcc4	invariant	P60	1	1606593	1606593
Abcc5	invariant	ChromHMM_ActiveEnhancer	23	94206	1426106
Abcc5	invariant	K27ac_ChIP	41	69	913429
Abcc5	invariant	P60	1	277270	277270
Abcd1	invariant	ChromHMM_ActiveEnhancer	10	66703	211697
Abcd1	invariant	K27ac_ChIP	35	42	373414.5
Abcd1	invariant	P60	1	196353.5	196353.5
Abcd3	invariant	ChromHMM_ActiveEnhancer	83	36502	576002
Abcd3	invariant	K27ac_ChIP	31	445.5	655472
Abcf3	invariant	ChromHMM_ActiveEnhancer	24	27977	1336173
Abcf3	invariant	K27ac_ChIP	42	11734	943490.5
Abcf3	invariant	P60	1	155087	155087
Abhd12	invariant	ChromHMM_ActiveEnhancer	60	5841	1007941
Abhd12	invariant	K27ac_ChIP	45	536	1177046
Abhd12	invariant	P60	2	1796254.5	1843056.75
Abhd13	invariant	ChromHMM_ActiveEnhancer	54	196893	632507
Abhd13	invariant	K27ac_ChIP	31	177478	1489179
Abhd13	invariant	P60	1	1814314.5	1814314.5
Abhd17a	invariant	ChromHMM_ActiveEnhancer	33	142459	724041
Abhd17a	invariant	ENCODE	1	826781	826781
Abhd17a	invariant	K27ac_ChIP	117	12065.5	587456
Abhd17a	invariant	P60	9	26951	560815
Abhd17b	invariant	ChromHMM_ActiveEnhancer	65	27585	799715
Abhd17b	invariant	K27ac_ChIP	35	713.5	795564
Abhd17b	invariant	P60	4	983162	1237759.75
Abhd4	invariant	ChromHMM_ActiveEnhancer	33	195112	848812
Abhd4	invariant	K27ac_ChIP	56	241.5	846046.25
Abhd4	invariant	P60	5	494175.5	861709.5
Abhd6	invariant	ChromHMM_ActiveEnhancer	36	2998	125548
Abhd6	invariant	K27ac_ChIP	17	697.5	344699
Abhd8	invariant	ChromHMM_ActiveEnhancer	71	33245	1040645
Abhd8	invariant	ENCODE	1	1048389	1048389
Abhd8	invariant	K27ac_ChIP	79	512	911543.5
Abhd8	invariant	P60	4	205803	821347.75
Abi3bp	invariant	ChromHMM_ActiveEnhancer	13	48922	199678
Abi3bp	invariant	K27ac_ChIP	13	239342	543424.5
Abitram	invariant	ChromHMM_ActiveEnhancer	63	63155	456355
Abitram	invariant	K27ac_ChIP	23	522	339016
Abitram	invariant	P60	1	309440	309440
Abl2	invariant	ChromHMM_ActiveEnhancer	83	14314	1495686
Abl2	invariant	K27ac_ChIP	41	179	1460089.5
Abl2	invariant	P60	2	1340771.5	1517250
Ablim2	invariant	ChromHMM_ActiveEnhancer	64	28480	970420
Ablim2	invariant	ENCODE	1	1144854	1144854
Ablim2	invariant	K27ac_ChIP	71	122.5	1141039.5
Ablim2	invariant	P60	4	35712	783994
Abracl	invariant	ChromHMM_ActiveEnhancer	95	35412	768188
Abracl	invariant	K27ac_ChIP	24	613.5	756174.5
Abracl	invariant	P60	1	298387.5	298387.5
Abraxas1	invariant	ChromHMM_ActiveEnhancer	17	450965	956765
Abraxas1	invariant	K27ac_ChIP	16	22426	721918.5
Abraxas1	invariant	P60	2	1068841	1181809.25
Abtb1	invariant	ChromHMM_ActiveEnhancer	88	8116	514866
Abtb1	invariant	K27ac_ChIP	58	95	654385
Abtb1	invariant	P60	2	1911469	1933569
Acacb	invariant	ChromHMM_ActiveEnhancer	22	283635	1384665
Acacb	invariant	ENCODE	1	576515.5	576515.5
Acacb	invariant	K27ac_ChIP	87	15558	773461.5
Acacb	invariant	P60	9	476607.5	1107057.5
Acad12	invariant	ChromHMM_ActiveEnhancer	18	509638	1135700
Acad12	invariant	K27ac_ChIP	63	94040.5	938326
Acad12	invariant	P60	10	210386	657862.75
Acad8	DEG_down	ChromHMM_ActiveEnhancer	19	176634	1208934
Acad8	DEG_down	K27ac_ChIP	31	15.5	1404871.5
Acad8	DEG_down	P60	2	189239	253724
Acad9	invariant	ChromHMM_ActiveEnhancer	21	89521	1520321
Acad9	invariant	K27ac_ChIP	14	65460	1081641.75
Acadm	DEG_down	ChromHMM_ActiveEnhancer	46	1332	619632
Acadm	DEG_down	K27ac_ChIP	21	140	459259.5
Acbd4	DEG_down	ChromHMM_ActiveEnhancer	15	3818	1086718
Acbd4	DEG_down	K27ac_ChIP	76	1751	811663.5
Acbd4	DEG_down	P60	13	21611.5	883082
Acbd5	invariant	ChromHMM_ActiveEnhancer	26	39067	1668467
Acbd5	invariant	K27ac_ChIP	18	482	1697217.75
Accs	invariant	ChromHMM_ActiveEnhancer	111	38043	632343
Accs	invariant	ENCODE	1	1440511.5	1440511.5
Accs	invariant	K27ac_ChIP	55	501	934165.5
Accs	invariant	P60	6	60085	773827.75
Ace	DEG_down	ChromHMM_ActiveEnhancer	25	6955	1369955
Ace	DEG_down	K27ac_ChIP	52	6604.5	748273.75
Ace	DEG_down	P60	5	198878	841194.5
Acer3	DEG_down	ChromHMM_ActiveEnhancer	46	80892	955208
Acer3	DEG_down	K27ac_ChIP	41	11890	988366.5
Acer3	DEG_down	P60	1	904905.5	904905.5
Ache	invariant	ChromHMM_ActiveEnhancer	16	186619	1061919
Ache	invariant	K27ac_ChIP	43	235	968290
Ache	invariant	P60	5	238931	1471895.5
Ackr1	invariant	ChromHMM_ActiveEnhancer	44	973	1231227
Ackr1	invariant	K27ac_ChIP	31	916.5	1130686
Ackr1	invariant	P60	3	29691	1005916.5
Acly	invariant	ChromHMM_ActiveEnhancer	11	120700	1572100
Acly	invariant	K27ac_ChIP	72	438.5	1481146.75
Acly	invariant	P60	11	140695.5	1578290.5
Aco2	invariant	ChromHMM_ActiveEnhancer	44	17191	1327050
Aco2	invariant	K27ac_ChIP	58	13757.5	477788.25
Aco2	invariant	P60	6	26085	974108
Acot11	invariant	ChromHMM_ActiveEnhancer	55	100498	242502
