chr	context	strand	Read	Position	nMethylated	nUnmethylated	nMethylated(+dups)	nUnmethylated(+dups)
chr1	CHH	OB	1	51	833	59423	954	67654
chr1	CHH	OB	1	52	837	59118	952	67294
chr1	CHH	OB	1	53	814	58884	924	67018
chr1	CHH	OB	1	54	730	59301	846	67617
chr1	CHH	OB	1	55	785	58884	910	67074
chr1	CHH	OB	1	56	778	59043	908	67208
chr1	CHH	OB	1	57	820	59137	923	67253
chr1	CHH	OB	1	58	830	59446	965	67781
chr1	CHH	OB	1	59	810	59055	932	67376
chr1	CHH	OB	1	6	816	59410	934	67447
chr1	CHH	OB	1	60	842	59374	964	67613
chr1	CHH	OB	1	61	804	59268	907	67657
chr1	CHH	OB	1	62	820	59380	939	67630
chr1	CHH	OB	1	63	815	58761	922	66851
chr1	CHH	OB	1	64	798	59096	908	67300
chr1	CHH	OB	1	65	762	59259	879	67523
chr1	CHH	OB	1	66	823	59240	947	67538
chr1	CHH	OB	1	67	794	59154	903	67526
chr1	CHH	OB	1	68	786	59101	906	67340
chr1	CHH	OB	1	69	768	59109	867	67228
chr1	CHH	OB	1	7	871	59286	984	67389
chr1	CHH	OB	1	70	809	58912	926	67213
chr1	CHH	OB	1	71	778	58689	910	66622
chr1	CHH	OB	1	72	749	58941	853	67210
chr1	CHH	OB	1	73	806	59071	951	67251
chr1	CHH	OB	1	74	781	59029	893	67242
chr1	CHH	OB	1	75	802	58989	920	67178
chr1	CHH	OB	1	76	727	58739	832	66830
chr1	CHH	OB	1	77	786	59267	909	67463
chr1	CHH	OB	1	78	746	59042	873	67138
chr1	CHH	OB	1	79	738	59206	843	67276
chr1	CHH	OB	1	8	865	59010	968	67189
chr1	CHH	OB	1	80	805	59617	916	67976
chr1	CHH	OB	1	81	787	59229	901	67488
chr1	CHH	OB	1	82	801	58665	922	66863
chr1	CHH	OB	1	83	791	57911	907	65917
chr1	CHH	OB	1	84	761	58295	874	66537
chr1	CHH	OB	1	85	709	57965	787	65841
chr1	CHH	OB	1	86	787	58394	912	66547
chr1	CHH	OB	1	87	753	58198	850	66336
chr1	CHH	OB	1	88	725	57892	844	65919
chr1	CHH	OB	1	89	741	58227	865	66381
chr1	CHH	OB	1	9	836	58991	953	67079
chr1	CHH	OB	1	90	762	58677	863	66726
chr1	CHH	OB	1	91	723	58089	833	65980
chr1	CHH	OB	1	92	797	58736	923	66684
chr1	CHH	OB	1	93	766	58200	883	66218
chr1	CHH	OB	1	94	795	59466	915	67765
chr1	CHH	OB	1	95	703	55621	793	63234
chr1	CHH	OB	1	96	755	58546	872	66712
chr1	CHH	OB	1	97	720	56814	835	64627
chr1	CHH	OB	1	98	890	55947	1034	63544
chr1	CHH	OB	1	99	749	51379	868	58400
chr1	CHH	OB	2	1	756	52081	859	59240
chr1	CHH	OB	2	10	917	59305	1034	67365
chr1	CHH	OB	2	100	935	58872	1084	66998
chr1	CHH	OB	2	101	920	58670	1052	66886
chr1	CHH	OB	2	11	896	59007	1028	67110
chr1	CHH	OB	2	12	1029	58490	1192	66717
chr1	CHH	OB	2	13	868	58378	1012	66577
chr1	CHH	OB	2	14	876	57873	993	65940
chr1	CHH	OB	2	15	929	58156	1063	66136
chr1	CHH	OB	2	16	886	58081	1003	66008
chr1	CHH	OB	2	17	942	58682	1096	66785
chr1	CHH	OB	2	18	1001	58969	1153	67232
chr1	CHH	OB	2	19	948	58932	1076	67149
chr1	CHH	OB	2	2	791	53331	900	60706
chr1	CHH	OB	2	20	936	58388	1066	66566
chr1	CHH	OB	2	21	905	59110	1033	67305
chr1	CHH	OB	2	22	978	58719	1104	66918
chr1	CHH	OB	2	23	977	58646	1108	66661
chr1	CHH	OB	2	24	883	58780	997	66821
chr1	CHH	OB	2	25	912	58422	1038	66400
chr1	CHH	OB	2	26	884	58995	988	67007
chr1	CHH	OB	2	27	956	58772	1105	67043
chr1	CHH	OB	2	28	888	58998	1031	67121
chr1	CHH	OB	2	29	901	59251	1033	67405
chr1	CHH	OB	2	3	946	59029	1095	67070
chr1	CHH	OB	2	30	966	58702	1121	66850
chr1	CHH	OB	2	31	1036	59443	1202	67771
chr1	CHH	OB	2	32	888	59011	1028	67282
chr1	CHH	OB	2	33	882	59195	1007	67379
chr1	CHH	OB	2	34	1012	59109	1148	67223
chr1	CHH	OB	2	35	928	58854	1055	66970
chr1	CHH	OB	2	36	845	59386	956	67587
chr1	CHH	OB	2	37	924	59521	1069	67758
chr1	CHH	OB	2	38	868	59226	992	67355
chr1	CHH	OB	2	39	915	59116	1047	67360
chr1	CHH	OB	2	4	875	65932	997	75172
chr1	CHH	OB	2	40	982	59400	1141	67578
chr1	CHH	OB	2	41	931	59301	1064	67470
chr1	CHH	OB	2	42	945	59008	1081	67449
chr1	CHH	OB	2	43	989	59261	1130	67420
chr1	CHH	OB	2	44	872	59476	999	67620
chr1	CHH	OB	2	45	949	59314	1066	67630
chr1	CHH	OB	2	46	1012	59518	1162	67757
chr1	CHH	OB	2	47	998	59137	1164	67176
chr1	CHH	OB	2	48	884	59337	1012	67665
chr1	CHH	OB	2	49	946	59310	1064	67417
chr1	CHH	OB	2	5	916	64441	1055	73281
chr1	CHH	OB	2	50	891	59442	1031	67626
chr1	CHH	OB	2	51	932	59438	1068	67611
chr1	CHH	OB	2	52	955	59209	1100	67486
chr1	CHH	OB	2	53	936	58862	1067	67055
chr1	CHH	OB	2	54	917	59002	1043	67215
chr1	CHH	OB	2	55	1071	58776	1235	66875
chr1	CHH	OB	2	56	1008	58973	1158	66987
chr1	CHH	OB	2	57	985	59252	1154	67363
chr1	CHH	OB	2	58	950	59280	1079	67477
chr1	CHH	OB	2	59	894	59663	1008	67826
chr1	CHH	OB	2	6	989	62141	1130	70848
chr1	CHH	OB	2	60	1006	58761	1142	66850
chr1	CHH	OB	2	61	973	58831	1105	67023
chr1	CHH	OB	2	62	982	59674	1146	67815
chr1	CHH	OB	2	63	898	59545	1043	67843
chr1	CHH	OB	2	64	950	59563	1073	67958
chr1	CHH	OB	2	65	939	59395	1119	67442
chr1	CHH	OB	2	66	855	59349	959	67461
chr1	CHH	OB	2	67	1036	59195	1198	67456
chr1	CHH	OB	2	68	881	59308	984	67600
chr1	CHH	OB	2	69	906	59821	1036	68174
chr1	CHH	OB	2	7	989	62303	1111	70899
chr1	CHH	OB	2	70	929	59196	1083	67544
chr1	CHH	OB	2	71	1000	59185	1160	67450
chr1	CHH	OB	2	72	982	58932	1147	67173
chr1	CHH	OB	2	73	999	59273	1154	67328
chr1	CHH	OB	2	74	952	58984	1078	67298
chr1	CHH	OB	2	75	972	59306	1135	67529
chr1	CHH	OB	2	76	993	59389	1130	67673
chr1	CHH	OB	2	77	978	59024	1154	67351
chr1	CHH	OB	2	78	892	58957	1009	67072
chr1	CHH	OB	2	79	925	58994	1063	67036
chr1	CHH	OB	2	8	842	58354	963	66440
chr1	CHH	OB	2	80	982	59249	1122	67320
chr1	CHH	OB	2	81	908	59225	1035	67395
chr1	CHH	OB	2	82	1032	59294	1197	67451
chr1	CHH	OB	2	83	986	58977	1121	67235
chr1	CHH	OB	2	84	971	59000	1100	67160
chr1	CHH	OB	2	85	1101	59416	1278	67612
chr1	CHH	OB	2	86	922	59362	1047	67710
chr1	CHH	OB	2	87	921	59237	1060	67365
chr1	CHH	OB	2	88	1006	59300	1193	67361
chr1	CHH	OB	2	89	902	59440	1033	67639
chr1	CHH	OB	2	9	941	60022	1089	68282
chr1	CHH	OB	2	90	917	59297	1058	67558
chr1	CHH	OB	2	91	953	59075	1107	67203
chr1	CHH	OB	2	92	932	58438	1079	66706
chr1	CHH	OB	2	93	963	58817	1075	67071
chr1	CHH	OB	2	94	927	58920	1044	67117
chr1	CHH	OB	2	95	895	58588	1052	66717
chr1	CHH	OB	2	96	914	58677	1023	66955
chr1	CHH	OB	2	97	979	58440	1142	66534
chr1	CHH	OB	2	98	905	58484	1045	66608
chr1	CHH	OB	2	99	911	58766	1043	66862
chr1	CHH	OT	1	1	744	54614	851	62134
chr1	CHH	OT	1	10	763	58750	889	67059
chr1	CHH	OT	1	100	892	58737	1034	66955
chr1	CHH	OT	1	101	816	59114	940	67399
chr1	CHH	OT	1	11	742	58643	852	66799
chr1	CHH	OT	1	12	781	58927	894	67228
chr1	CHH	OT	1	13	750	58326	863	66457
chr1	CHH	OT	1	14	776	58238	882	66299
chr1	CHH	OT	1	15	774	57608	882	65470
chr1	CHH	OT	1	16	786	58191	892	66205
chr1	CHH	OT	1	17	752	57709	845	65739
chr1	CHH	OT	1	18	745	58429	862	66596
chr1	CHH	OT	1	19	726	58197	833	66227
chr1	CHH	OT	1	2	834	49553	954	56354
chr1	CHH	OT	1	20	782	58599	883	66801
chr1	CHH	OT	1	21	723	59039	839	67192
chr1	CHH	OT	1	22	801	59249	887	67422
chr1	CHH	OT	1	23	759	58944	868	67018
chr1	CHH	OT	1	24	778	59117	879	67227
chr1	CHH	OT	1	25	725	58793	815	66992
chr1	CHH	OT	1	26	758	59344	860	67670
chr1	CHH	OT	1	27	778	59066	902	67529
chr1	CHH	OT	1	28	837	59504	942	67758
chr1	CHH	OT	1	29	758	59036	859	67337
chr1	CHH	OT	1	3	760	51880	861	58951
chr1	CHH	OT	1	30	803	59212	935	67412
chr1	CHH	OT	1	31	796	58819	906	67137
chr1	CHH	OT	1	32	728	59148	827	67467
chr1	CHH	OT	1	33	733	59081	835	67508
chr1	CHH	OT	1	34	743	58878	839	67118
chr1	CHH	OT	1	35	744	59115	846	67425
chr1	CHH	OT	1	36	875	58746	996	66920
chr1	CHH	OT	1	37	775	59062	872	67134
chr1	CHH	OT	1	38	756	59079	864	67449
chr1	CHH	OT	1	39	756	58563	867	66794
chr1	CHH	OT	1	4	904	56222	1025	63994
chr1	CHH	OT	1	40	826	59087	942	67290
chr1	CHH	OT	1	41	783	59308	892	67642
chr1	CHH	OT	1	42	803	59176	927	67615
chr1	CHH	OT	1	43	803	58851	934	67067
chr1	CHH	OT	1	44	824	58949	930	67306
chr1	CHH	OT	1	45	749	59459	868	67728
chr1	CHH	OT	1	46	771	59099	883	67495
chr1	CHH	OT	1	47	806	59067	916	67475
chr1	CHH	OT	1	48	774	59392	879	67727
chr1	CHH	OT	1	49	783	58980	889	67264
chr1	CHH	OT	1	5	725	57025	807	64855
chr1	CHH	OT	1	50	787	59293	886	67622
chr1	CHH	OT	1	51	754	59251	853	67559
chr1	CHH	OT	1	52	764	59127	874	67298
chr1	CHH	OT	1	53	784	59033	877	67170
chr1	CHH	OT	1	54	806	59321	929	67605
chr1	CHH	OT	1	55	820	58671	933	67001
chr1	CHH	OT	1	56	854	59204	970	67428
chr1	CHH	OT	1	57	801	59009	923	67270
chr1	CHH	OT	1	58	802	59463	915	67615
chr1	CHH	OT	1	59	787	59346	917	67626
chr1	CHH	OT	1	6	781	59028	895	67061
chr1	CHH	OT	1	60	838	59057	957	67353
chr1	CHH	OT	1	61	812	59069	896	67388
chr1	CHH	OT	1	62	818	59249	916	67545
chr1	CHH	OT	1	63	787	59284	891	67447
chr1	CHH	OT	1	64	825	59444	943	67688
chr1	CHH	OT	1	65	807	59499	927	67910
chr1	CHH	OT	1	66	865	58847	986	67161
chr1	CHH	OT	1	67	842	59325	969	67760
chr1	CHH	OT	1	68	784	59167	875	67429
chr1	CHH	OT	1	69	829	59602	937	67922
chr1	CHH	OT	1	7	756	55914	870	63632
chr1	CHH	OT	1	70	851	59135	971	67327
chr1	CHH	OT	1	71	835	59255	971	67593
chr1	CHH	OT	1	72	833	59643	942	67932
chr1	CHH	OT	1	73	884	58854	999	67049
chr1	CHH	OT	1	74	880	59396	995	67781
chr1	CHH	OT	1	75	814	59173	930	67390
chr1	CHH	OT	1	76	798	59546	919	68012
chr1	CHH	OT	1	77	841	58932	961	67363
chr1	CHH	OT	1	78	936	59496	1076	67704
chr1	CHH	OT	1	79	817	59485	939	67812
chr1	CHH	OT	1	8	808	59333	924	67659
chr1	CHH	OT	1	80	851	59097	955	67207
chr1	CHH	OT	1	81	846	59635	956	68118
chr1	CHH	OT	1	82	905	59124	1057	67467
chr1	CHH	OT	1	83	774	59359	886	67626
chr1	CHH	OT	1	84	836	59453	976	67788
chr1	CHH	OT	1	85	857	59135	975	67569
chr1	CHH	OT	1	86	866	59437	1005	67563
chr1	CHH	OT	1	87	874	58953	999	67153
chr1	CHH	OT	1	88	887	59131	1022	67475
chr1	CHH	OT	1	89	868	59586	975	68023
chr1	CHH	OT	1	9	760	58313	863	66413
chr1	CHH	OT	1	90	876	59192	983	67499
chr1	CHH	OT	1	91	888	59383	1008	67578
chr1	CHH	OT	1	92	874	59306	987	67665
chr1	CHH	OT	1	93	855	59217	990	67430
chr1	CHH	OT	1	94	883	59243	992	67493
chr1	CHH	OT	1	95	821	58993	963	67180
chr1	CHH	OT	1	96	851	59176	957	67516
chr1	CHH	OT	1	97	889	59025	1033	67251
chr1	CHH	OT	1	98	888	59085	1042	67383
chr1	CHH	OT	1	99	873	59480	1002	67778
chr1	CHH	OT	2	1	803	58635	900	66829
chr1	CHH	OT	2	10	840	58635	953	66821
chr1	CHH	OT	2	100	745	52756	851	60052
chr1	CHH	OT	2	101	645	51363	733	58498
chr1	CHH	OT	2	11	801	58928	914	67331
chr1	CHH	OT	2	12	865	59061	963	67419
chr1	CHH	OT	2	13	853	59293	962	67367
chr1	CHH	OT	2	14	834	59234	939	67641
chr1	CHH	OT	2	15	817	58836	931	67116
chr1	CHH	OT	2	16	796	59233	909	67701
chr1	CHH	OT	2	17	801	59261	909	67341
chr1	CHH	OT	2	18	848	58915	956	67084
chr1	CHH	OT	2	19	821	59574	946	67755
chr1	CHH	OT	2	2	848	58518	959	66707
chr1	CHH	OT	2	20	801	59194	909	67546
chr1	CHH	OT	2	21	811	59361	924	67581
chr1	CHH	OT	2	22	852	59245	968	67588
chr1	CHH	OT	2	23	849	59247	954	67627
chr1	CHH	OT	2	24	841	59201	945	67524
chr1	CHH	OT	2	25	792	59097	899	67558
chr1	CHH	OT	2	26	832	59276	945	67627
chr1	CHH	OT	2	27	784	59372	879	67667
chr1	CHH	OT	2	28	808	58991	908	67238
chr1	CHH	OT	2	29	837	59327	946	67605
chr1	CHH	OT	2	3	835	58693	931	66920
chr1	CHH	OT	2	30	777	59243	889	67370
chr1	CHH	OT	2	31	813	59061	918	67184
chr1	CHH	OT	2	32	787	59548	880	68019
chr1	CHH	OT	2	33	808	59141	919	67502
chr1	CHH	OT	2	34	806	59014	918	67337
chr1	CHH	OT	2	35	808	59391	900	67603
chr1	CHH	OT	2	36	830	59355	925	67634
chr1	CHH	OT	2	37	842	59504	948	67827
chr1	CHH	OT	2	38	813	59312	925	67617
chr1	CHH	OT	2	39	813	59640	904	67978
chr1	CHH	OT	2	4	845	59069	937	67270
chr1	CHH	OT	2	40	786	59401	894	67558
chr1	CHH	OT	2	41	835	59471	925	67826
chr1	CHH	OT	2	42	794	59691	892	67883
chr1	CHH	OT	2	43	823	59695	933	68034
chr1	CHH	OT	2	44	836	59289	950	67507
chr1	CHH	OT	2	45	853	59402	970	67623
chr1	CHH	OT	2	46	781	59343	880	67498
chr1	CHH	OT	2	47	833	59483	922	67549
chr1	CHH	OT	2	48	857	59606	961	67844
chr1	CHH	OT	2	49	822	59746	928	68121
chr1	CHH	OT	2	5	840	59063	938	67019
chr1	CHH	OT	2	50	812	59090	912	67385
chr1	CHH	OT	2	51	740	59168	835	67540
chr1	CHH	OT	2	52	806	59402	922	67708
chr1	CHH	OT	2	53	808	59227	933	67480
chr1	CHH	OT	2	54	832	59822	935	68161
chr1	CHH	OT	2	55	833	59694	945	68021
chr1	CHH	OT	2	56	813	59511	910	67772
chr1	CHH	OT	2	57	847	59499	965	67693
chr1	CHH	OT	2	58	819	59529	931	67747
chr1	CHH	OT	2	59	858	59413	960	67609
chr1	CHH	OT	2	6	856	59142	961	67268
chr1	CHH	OT	2	60	815	59628	917	67961
chr1	CHH	OT	2	61	828	59515	938	67733
chr1	CHH	OT	2	62	784	59680	889	68026
chr1	CHH	OT	2	63	843	59308	945	67611
chr1	CHH	OT	2	64	779	59859	871	68123
chr1	CHH	OT	2	65	812	59143	919	67292
chr1	CHH	OT	2	66	818	58973	937	67191
chr1	CHH	OT	2	67	802	59199	906	67467
chr1	CHH	OT	2	68	829	59420	944	67803
chr1	CHH	OT	2	69	805	59664	901	68070
chr1	CHH	OT	2	7	846	59039	934	67281
chr1	CHH	OT	2	70	808	59123	925	67418
chr1	CHH	OT	2	71	789	59103	898	67206
chr1	CHH	OT	2	72	762	59019	871	67273
chr1	CHH	OT	2	73	830	59199	949	67352
chr1	CHH	OT	2	74	802	59007	912	67088
chr1	CHH	OT	2	75	820	59114	921	67381
chr1	CHH	OT	2	76	799	58959	908	66974
chr1	CHH	OT	2	77	843	59027	967	67243
chr1	CHH	OT	2	78	832	58658	918	66738
chr1	CHH	OT	2	79	808	58798	922	66875
chr1	CHH	OT	2	8	829	59355	941	67663
chr1	CHH	OT	2	80	795	58981	898	67082
chr1	CHH	OT	2	81	764	59046	857	67362
chr1	CHH	OT	2	82	823	58890	934	67155
chr1	CHH	OT	2	83	830	59207	929	67352
chr1	CHH	OT	2	84	809	59017	919	67173
chr1	CHH	OT	2	85	821	58859	926	66971
chr1	CHH	OT	2	86	799	58444	913	66661
chr1	CHH	OT	2	87	750	58397	843	66617
chr1	CHH	OT	2	88	785	58357	897	66510
chr1	CHH	OT	2	89	814	58398	907	66542
chr1	CHH	OT	2	9	849	58663	983	66838
chr1	CHH	OT	2	90	811	57923	916	65997
chr1	CHH	OT	2	91	778	58525	880	66643
chr1	CHH	OT	2	92	834	59032	959	67372
chr1	CHH	OT	2	93	833	60325	943	68664
chr1	CHH	OT	2	94	845	58516	973	66595
chr1	CHH	OT	2	95	811	62255	921	70895
chr1	CHH	OT	2	96	906	61798	1038	70428
chr1	CHH	OT	2	97	890	64205	1015	73092
chr1	CHH	OT	2	98	876	66044	996	75172
chr1	CHH	OT	2	99	817	58733	937	66821
chr1	CHG	OB	1	1	213	16874	241	19176
chr1	CHG	OB	1	10	229	17079	265	19426
chr1	CHG	OB	1	100	183	14248	209	16229
chr1	CHG	OB	1	101	182	14758	212	16852
chr1	CHG	OB	1	11	198	17144	234	19605
chr1	CHG	OB	1	12	204	16920	244	19240
chr1	CHG	OB	1	13	214	17168	238	19619
chr1	CHG	OB	1	14	217	16958	253	19254
chr1	CHG	OB	1	15	195	17054	223	19439
chr1	CHG	OB	1	16	221	16965	253	19252
chr1	CHG	OB	1	17	206	16989	239	19430
chr1	CHG	OB	1	18	196	16886	229	19280
chr1	CHG	OB	1	19	208	16786	237	19124
chr1	CHG	OB	1	2	216	16921	249	19256
chr1	CHG	OB	1	20	207	16818	236	19037
chr1	CHG	OB	1	21	198	16951	235	19330
chr1	CHG	OB	1	22	171	16906	190	19242
chr1	CHG	OB	1	23	194	17025	221	19470
chr1	CHG	OB	1	24	184	16877	223	19267
chr1	CHG	OB	1	25	193	16914	221	19251
chr1	CHG	OB	1	26	192	16942	226	19205
chr1	CHG	OB	1	27	187	16896	211	19310
chr1	CHG	OB	1	28	213	16919	247	19292
chr1	CHG	OB	1	29	208	16861	249	19290
chr1	CHG	OB	1	3	200	16826	222	19110
chr1	CHG	OB	1	30	207	16870	238	19227
chr1	CHG	OB	1	31	211	16899	242	19207
chr1	CHG	OB	1	32	186	16849	220	19174
chr1	CHG	OB	1	33	178	16893	200	19299
chr1	CHG	OB	1	34	197	16736	224	19092
chr1	CHG	OB	1	35	172	16858	193	19233
chr1	CHG	OB	1	36	185	16915	207	19241
chr1	CHG	OB	1	37	183	16963	204	19316
chr1	CHG	OB	1	38	181	16953	218	19328
chr1	CHG	OB	1	39	195	17137	213	19503
chr1	CHG	OB	1	4	200	17222	219	19592
chr1	CHG	OB	1	40	162	17025	189	19400
chr1	CHG	OB	1	41	194	16898	230	19305
chr1	CHG	OB	1	42	183	16856	214	19192
chr1	CHG	OB	1	43	178	16834	198	19260
chr1	CHG	OB	1	44	179	17066	210	19510
chr1	CHG	OB	1	45	183	16880	211	19219
chr1	CHG	OB	1	46	150	16702	168	19124
chr1	CHG	OB	1	47	180	16821	210	19146
chr1	CHG	OB	1	48	189	16838	228	19175
chr1	CHG	OB	1	49	186	16971	213	19289
chr1	CHG	OB	1	5	193	16846	218	19237
chr1	CHG	OB	1	50	188	17000	211	19281
chr1	CHG	OB	1	51	186	16994	218	19369
chr1	CHG	OB	1	52	180	16746	201	19067
chr1	CHG	OB	1	53	187	16898	218	19303
chr1	CHG	OB	1	54	159	16809	173	19195
chr1	CHG	OB	1	55	174	16953	199	19201
chr1	CHG	OB	1	56	159	17072	175	19432
chr1	CHG	OB	1	57	187	16854	219	19273
chr1	CHG	OB	1	58	176	16819	197	19152
chr1	CHG	OB	1	59	189	16838	210	19146
chr1	CHG	OB	1	6	210	16935	236	19319
chr1	CHG	OB	1	60	184	16703	213	19073
chr1	CHG	OB	1	61	169	16865	193	19218
chr1	CHG	OB	1	62	175	16416	200	18553
chr1	CHG	OB	1	63	176	16756	202	19054
chr1	CHG	OB	1	64	186	17050	217	19471
chr1	CHG	OB	1	65	195	16706	225	19138
chr1	CHG	OB	1	66	179	16872	209	19365
chr1	CHG	OB	1	67	180	16746	205	19062
chr1	CHG	OB	1	68	179	16702	206	18991
chr1	CHG	OB	1	69	179	16717	203	18972
chr1	CHG	OB	1	7	195	17168	213	19543
chr1	CHG	OB	1	70	155	16667	180	18949
chr1	CHG	OB	1	71	170	16864	197	19252
chr1	CHG	OB	1	72	172	16660	199	19056
chr1	CHG	OB	1	73	174	16558	189	18882
chr1	CHG	OB	1	74	181	16767	201	19084
chr1	CHG	OB	1	75	186	16460	209	18760
chr1	CHG	OB	1	76	166	16400	195	18718
chr1	CHG	OB	1	77	162	16696	185	19046
chr1	CHG	OB	1	78	162	16616	182	18916
chr1	CHG	OB	1	79	151	16610	170	19001
chr1	CHG	OB	1	8	193	17002	233	19484
chr1	CHG	OB	1	80	186	16631	213	18954
chr1	CHG	OB	1	81	175	16418	195	18751
chr1	CHG	OB	1	82	163	16067	194	18246
chr1	CHG	OB	1	83	169	15928	188	18159
chr1	CHG	OB	1	84	158	15944	179	18114
chr1	CHG	OB	1	85	155	16392	179	18756
chr1	CHG	OB	1	86	147	16391	172	18545
chr1	CHG	OB	1	87	158	16246	183	18433
chr1	CHG	OB	1	88	177	16406	205	18723
chr1	CHG	OB	1	89	192	16166	216	18394
chr1	CHG	OB	1	9	190	17017	221	19366
chr1	CHG	OB	1	90	166	16163	180	18369
chr1	CHG	OB	1	91	171	16269	193	18493
chr1	CHG	OB	1	92	159	16443	175	18744
chr1	CHG	OB	1	93	156	16008	180	18255
chr1	CHG	OB	1	94	180	16554	213	18890
chr1	CHG	OB	1	95	203	15361	229	17442
chr1	CHG	OB	1	96	158	15635	181	17767
chr1	CHG	OB	1	97	166	15923	182	18187
chr1	CHG	OB	1	98	206	15561	236	17753
chr1	CHG	OB	1	99	154	14259	175	16153
chr1	CHG	OB	2	1	190	14588	221	16635
chr1	CHG	OB	2	10	179	16776	209	19128
chr1	CHG	OB	2	100	177	16718	200	19042
chr1	CHG	OB	2	101	193	16681	217	18963
chr1	CHG	OB	2	11	170	16244	192	18457
chr1	CHG	OB	2	12	157	15997	180	18196
chr1	CHG	OB	2	13	178	16157	207	18398
chr1	CHG	OB	2	14	171	16261	192	18492
chr1	CHG	OB	2	15	161	15679	193	17895
chr1	CHG	OB	2	16	171	16129	197	18382
chr1	CHG	OB	2	17	172	16193	200	18371
chr1	CHG	OB	2	18	166	16422	189	18790
chr1	CHG	OB	2	19	181	16427	211	18681
chr1	CHG	OB	2	2	261	21523	290	24441
chr1	CHG	OB	2	20	151	16217	170	18420
chr1	CHG	OB	2	21	186	15956	215	18216
chr1	CHG	OB	2	22	151	15882	168	18074
chr1	CHG	OB	2	23	190	16600	225	18842
chr1	CHG	OB	2	24	185	16646	225	18974
chr1	CHG	OB	2	25	182	16738	207	19016
chr1	CHG	OB	2	26	195	16803	230	19171
chr1	CHG	OB	2	27	179	16772	197	19110
chr1	CHG	OB	2	28	173	16618	200	18874
chr1	CHG	OB	2	29	168	16505	188	18743
chr1	CHG	OB	2	3	141	15215	154	17272
chr1	CHG	OB	2	30	175	16535	200	18867
chr1	CHG	OB	2	31	185	16749	215	19078
chr1	CHG	OB	2	32	167	16701	186	19000
chr1	CHG	OB	2	33	182	16763	208	19034
chr1	CHG	OB	2	34	189	16625	211	18913
chr1	CHG	OB	2	35	188	16807	224	19160
chr1	CHG	OB	2	36	201	16699	229	18979
chr1	CHG	OB	2	37	187	16723	213	18994
chr1	CHG	OB	2	38	172	16973	195	19439
chr1	CHG	OB	2	39	179	16822	202	19178
chr1	CHG	OB	2	4	175	14075	206	16095
chr1	CHG	OB	2	40	151	16955	172	19378
chr1	CHG	OB	2	41	189	16828	215	19160
chr1	CHG	OB	2	42	158	16874	178	19245
chr1	CHG	OB	2	43	176	16742	205	19098
chr1	CHG	OB	2	44	171	16817	188	19228
chr1	CHG	OB	2	45	194	16566	210	18901
chr1	CHG	OB	2	46	184	16837	210	19139
chr1	CHG	OB	2	47	179	16966	200	19322
chr1	CHG	OB	2	48	154	16498	184	18773
