Summit_Chr	Summit_Start	Summit_End	Peak_Chr	Peak_Start	Peak_End	width	strand	Conc	Conc_mut	Conc_ctrl	Fold	p.value	FDR
chr1	187834538	187834938	chr1	187834336	187834852	517	*	6.16679895321722	7.05769648876729	3.38758070914105	3.50898068502722	1.25173538443108e-37	6.78315404823203e-34
chr15	93958051	93958451	chr15	93958168	93958340	173	*	6.43598945244631	7.25707520488203	4.33603051511488	2.79867786254175	2.06639447101668e-37	1.04512721958767e-33
chr4	20777927	20778327	chr4	20777762	20778540	779	*	8.68595913526477	9.38499324663685	7.2769968231491	2.04485429862874	2.85625412617771e-37	1.35432859710374e-33
chr6	81230805	81231205	chr6	81230834	81231141	308	*	7.12820295846951	7.92973855597996	5.16829394552749	2.63994198043638	9.70057090263658e-37	4.3290794829378e-33
chr1	113969795	113970195	chr1	113969869	113970135	267	*	6.70254009248121	7.59939808507219	3.84521388273427	3.47845063491715	1.11874918523648e-35	4.71527920484171e-32
chr1	118941437	118941837	chr1	118941435	118941803	369	*	7.87525310956585	8.61144158408822	6.29416994040893	2.21967772601888	1.85561589174772e-35	7.40937659175433e-32
chr14	70940426	70940826	chr14	70940476	70940795	320	*	7.1031749497218	7.93421859846268	4.92547724409078	2.86776337235589	2.33220556707461e-35	8.84675537758412e-32
chr5	84397057	84397457	chr5	84397120	84397399	280	*	7.60397989999187	8.41555898687662	5.57405928127284	2.71867358527492	8.23587782662131e-35	2.97534812949739e-31
chr8	14416499	14416899	chr8	14416515	14416866	352	*	7.5631822454868	8.38062098585026	5.49055023861111	2.7356774417329	9.80280620099752e-34	3.38045316020399e-30
chr1	101122416	101122816	chr1	101122418	101122858	441	*	8.31796581774847	9.09725258188048	6.50049453140932	2.49236731294547	1.32768344377813e-32	4.37939270198573e-29
chr8	11706064	11706464	chr8	11706003	11706509	507	*	6.72429995234131	7.48186398931699	5.0316883224523	2.34785673736656	1.08533888423785e-31	3.43084665798287e-28
chr6	111808628	111809028	chr6	111808690	111808957	268	*	6.2601344882275	7.10950110064304	3.92582016791169	2.95181329606951	6.29142508419415e-31	1.90922102174989e-27
chr5	110378263	110378663	chr5	110378336	110378591	256	*	7.35757788352078	8.14748237943724	5.47415554464907	2.55058449595494	1.17718871737064e-30	3.43494612430926e-27
chr14	23684431	23684831	chr14	23684467	23684902	436	*	6.74160359100932	7.52097433899492	4.92362416045608	2.46751506978746	1.89798327155944e-30	5.33305181037513e-27
chr13	73659030	73659430	chr13	73659068	73659446	379	*	6.76616282418377	7.56053169691409	4.85393246850596	2.53580139005901	2.20097292252755e-30	5.96353613358841e-27
chr12	63805417	63805817	chr12	63805401	63805776	376	*	6.46676517583017	7.26984908533156	4.49631338441184	2.65978313599822	2.83791678899783e-30	7.42418603841757e-27
chr7	134302062	134302462	chr7	134302155	134302385	231	*	6.54080662560194	7.35284158676416	4.50761423732583	2.66821769959615	3.3610706441323e-30	8.49969951625804e-27
chr2	145336386	145336786	chr2	145336444	145336739	296	*	8.62168859314498	9.32318236674805	7.20207460015077	2.02968843016041	3.67277422997452e-30	8.98834483004022e-27
chr11	33203439	33203839	chr11	33203452	33203925	474	*	8.94256098731886	7.33931502095934	9.68315563309821	-2.23684704393388	4.87883835430724e-30	1.1566810955871e-26
chr15	61983290	61983690	chr15	61983372	61983606	235	*	7.77886985671435	8.48301758772613	6.34765325280095	2.04486555894182	7.16927904694319e-30	1.64819552780422e-26
chr13	73645066	73645466	chr13	73645118	73645363	246	*	6.14033882002479	6.94165438051282	4.18192093823376	2.62671977080358	7.98733445807082e-30	1.78225622351765e-26
chr17	14203163	14203563	chr17	14203143	14203914	772	*	8.173522688173	8.88368307065618	6.71558862054117	2.07728024290923	1.48178098365631e-29	3.21190846017342e-26
chr4	20639106	20639506	chr4	20639097	20639418	322	*	5.95199315431837	6.7716343604528	3.8629284173087	2.72179252967247	1.59209955309315e-29	3.35517290819347e-26
chr17	14702679	14703079	chr17	14702711	14703072	362	*	7.1657023339073	7.90926372638797	5.54730078763081	2.24752395861837	1.80226451601546e-29	3.69542161546023e-26
chr12	75176880	75177280	chr12	75176699	75177614	916	*	8.36452229072462	9.04654577695529	7.02667873883522	1.9338534828332	1.99871806649611e-29	3.99038802191563e-26
chr10	63653583	63653983	chr10	63653719	63654100	382	*	7.71017170274723	8.39330543394836	6.36781681306781	1.940683054289	2.31968842717939e-29	4.51244826195876e-26
chr15	61984279	61984679	chr15	61984369	61984562	194	*	7.18718522259487	7.93831535957796	5.52923570496985	2.28917383274055	8.3114975165895e-29	1.54323969180275e-25
chr8	28602245	28602645	chr8	28602191	28602566	376	*	6.29801056687457	7.1299397200079	4.11316591222581	2.8573693231126	8.34007689398582e-29	1.54323969180275e-25
chr5	75179701	75180101	chr5	75179594	75180115	522	*	7.24523456126686	7.97564285626071	5.69261880944954	2.18276959387348	1.25531574672219e-28	2.26751867716252e-25
chr7	137128714	137129114	chr7	137128782	137129056	275	*	5.97005520293463	6.82129098616726	3.618645279712	3.05242863462694	2.24051238020115e-28	3.95299330782187e-25
chr6	84266775	84267175	chr6	84266823	84267219	397	*	6.98977822888096	7.77030433552973	5.16478705526337	2.4551082413451	4.34419991934144e-28	7.49038797910813e-25
chr11	63922185	63922585	chr11	63922244	63922593	350	*	7.16427717563034	7.87305987703037	5.71251862005857	2.0807033146999	6.51357460098458e-28	1.0981307792851e-24
chr4	89310465	89310865	chr4	89310516	89311126	611	*	7.73718350604808	8.39157585957611	6.50626840044091	1.81083304365567	9.93149056334574e-28	1.63796187625824e-24
chr1	126116029	126116429	chr1	126115995	126116440	446	*	7.0018316376301	7.75340877842209	5.34150560042389	2.30208971876115	1.32608261302229e-27	2.14052305360743e-24
chr3	159348086	159348486	chr3	159347881	159348465	585	*	6.39029671317502	7.22140995684065	4.21203874219001	2.77423119646415	1.53162988747788e-27	2.42080485507077e-24
chr2	174194349	174194749	chr2	174194427	174194619	193	*	6.02182073314196	6.78885116089225	4.27635019630834	2.36294762725957	1.61261998418327e-27	2.49679648408261e-24
chr8	121374752	121375152	chr8	121374843	121375106	264	*	7.41597387088243	8.15824493183338	5.80418736893973	2.2328671110279	1.73328054780584e-27	2.62994124079676e-24
chr7	48785192	48785592	chr7	48785286	48785554	269	*	7.20259029711812	5.65340652763532	7.93229242209041	-2.16725901566705	3.74459668004918e-27	5.54751979611917e-24
chr4	125158764	125159164	chr4	125158607	125159251	645	*	8.65958248812403	9.3304165213682	7.36624813781406	1.88304572247709	3.80237562805732e-27	5.54751979611917e-24
chr4	104062388	104062788	chr4	104062446	104062711	266	*	5.48487145180631	6.31075628007027	3.34803677439949	2.79746148846523	4.04992111212295e-27	5.79719462438339e-24
chr11	7289569	7289969	chr11	7289652	7289939	288	*	6.10059511527687	6.90059488087211	4.15105728416493	2.54651879690042	4.15612826377024e-27	5.83905234924432e-24
chr11	12473576	12473976	chr11	12473525	12473966	442	*	6.83202714535767	7.56769124703391	5.25355455347647	2.18710297199058	4.58806422081424e-27	6.32869236684169e-24
chr13	103334334	103334734	chr13	103334222	103334761	540	*	8.04596334683071	8.69864790909698	6.82133989084062	1.79190128357335	7.07225399945835e-27	9.58113610576619e-24
chr8	14098316	14098716	chr8	14098431	14098651	221	*	5.29537819570978	6.19542306803327	2.39434718861374	3.48639465911995	1.19285759969124e-26	1.58767253786273e-23
chr7	136365671	136366071	chr7	136365674	136366040	367	*	7.1174549092233	7.83116604537266	5.64345392177114	2.07331250423624	1.25468619638377e-26	1.64117280991123e-23
chr14	121447039	121447439	chr14	121447025	121447380	356	*	7.38560822889695	8.05328402738811	6.10453122647085	1.86157482171503	1.4899921605017e-26	1.91592788556987e-23
chr1	26463300	26463700	chr1	26463257	26463631	375	*	6.33003468297148	7.04450398692223	4.85257456479196	2.10518343299652	1.78314946993443e-26	2.25467362810075e-23
chr7	72703610	72704010	chr7	72703617	72704187	571	*	8.48232278087996	9.17053498018719	7.11910538368367	1.95755140115566	1.98006050637506e-26	2.43441128406019e-23
chr10	63839003	63839403	chr10	63838933	63839341	409	*	6.89956874817645	7.61264269553882	5.42846712458929	2.08769231106707	1.98947485845744e-26	2.43441128406019e-23
chr4	47284314	47284714	chr4	47284204	47284695	492	*	8.23711643782885	8.9463432787662	6.78337053800442	2.05814775395947	2.16313052767889e-26	2.57752614962438e-23
chr6	112050495	112050895	chr6	112050555	112050940	386	*	7.54297075977411	8.26789469772299	6.01675354071392	2.13911549774833	2.17438211551895e-26	2.57752614962438e-23
chr7	134667240	134667640	chr7	134667295	134667695	401	*	8.11704943225976	8.86644622002077	6.46827160175898	2.2689450076857	2.48364743049761e-26	2.89883686095587e-23
chr6	35705560	35705960	chr6	35705534	35706076	543	*	10.1167761206949	10.7734398092259	8.87743884026985	1.81380077956147	2.74120602550938e-26	3.1509747928984e-23
chr2	46394138	46394538	chr2	46394219	46394480	262	*	6.31004058304713	7.13444381737416	4.1847044218128	2.70319393771153	3.20162905450658e-26	3.62529537088352e-23
chr1	88639824	88640224	chr1	88639858	88640137	280	*	6.17608169741212	6.95575930667124	4.35624382800306	2.47745068047314	3.58622168750784e-26	4.00106315506573e-23
chr5	84752044	84752444	chr5	84752093	84752379	287	*	6.91552032536944	7.64807397244805	5.352417416752	2.17403100013443	7.22266853270867e-26	7.94137638989095e-23
chr1	115684963	115685363	chr1	115684597	115684984	388	*	6.68557322551439	7.42546024511384	5.08591419589718	2.20043567970064	7.63319255071506e-26	8.27285408646498e-23
chr7	96756346	96756746	chr7	96756263	96756737	475	*	7.74117353599351	8.44190421066707	6.32487454656618	2.01358463616688	7.778530046053e-26	8.31163324611066e-23
chr2	70934753	70935153	chr2	70934827	70935410	584	*	5.85698805866511	6.67014282362243	3.81572287807693	2.6205701881972	9.1333510680095e-26	9.62376127952234e-23
chr7	63815968	63816368	chr7	63816073	63816238	166	*	5.70346793013582	3.69155456898552	6.51251675847545	-2.59716158948108	9.81650309708188e-26	1.02019016981262e-22
chr11	31441793	31442193	chr11	31441841	31442253	413	*	6.55294157571649	7.34565408685088	4.65147716065198	2.52648980441973	1.46603641650458e-25	1.50300430776401e-22
chr14	69190444	69190844	chr14	69190507	69190886	380	*	7.71408539656322	8.41072871365066	6.31538449704892	1.98481399194287	1.77808644411383e-25	1.79861741558853e-22
chr7	46613177	46613577	chr7	46613294	46613494	201	*	7.33277529141029	5.93642954560936	8.02886691817481	-1.9718445764744	2.05789084863298e-25	2.03179284235451e-22
chr15	93959842	93960242	chr15	93959925	93960155	231	*	5.99372982858302	6.78778472360338	4.08354738276263	2.58792803568773	2.0621628774589e-25	2.03179284235451e-22
chr4	20518274	20518674	chr4	20518171	20518608	438	*	7.26863571485868	8.0236479303549	5.58989017139345	2.29929877259033	2.60550619089983e-25	2.53422221383085e-22
chr5	68048826	68049226	chr5	68048776	68049261	486	*	9.99605502876543	9.05371557580126	10.5612736016976	-1.44868915689767	3.26396749118384e-25	3.13448300868548e-22
chr7	129050720	129051120	chr7	129050711	129051169	459	*	8.02348896181473	8.77845955636488	6.34496827509786	2.29708522803129	3.72365447889952e-25	3.53123463370239e-22
chr15	74001226	74001626	chr15	74001336	74001504	169	*	6.12262362726154	6.91296769887705	4.23639408510753	2.5065545621387	4.96373932019549e-25	4.64912404032038e-22
chr5	3395038	3395438	chr5	3394993	3395438	446	*	6.79399155925003	7.50588663345522	5.32823542160046	2.04850884870519	1.33175958585512e-24	1.23213747244493e-21
chr13	21896928	21897328	chr13	21897032	21897428	397	*	6.00179855150028	6.78062796210212	4.1870908273345	2.42794443468015	2.25819764818916e-24	2.06410147924722e-21
chr11	87278809	87279209	chr11	87278896	87279180	285	*	6.29238018619922	7.11808130091708	4.15697692358667	2.7497350118181	3.10487244365032e-24	2.80421729535685e-21
chr8	29278680	29279080	chr8	29278677	29279198	522	*	7.5584056029275	8.24776192785055	6.19043591648909	1.94420645942119	3.49276242403824e-24	3.11743428308335e-21
chr12	88558049	88558449	chr12	88557995	88558350	356	*	5.86576693585622	6.69153904451196	3.72981070980592	2.76137306823771	5.25365130363826e-24	4.63457569537e-21
chr2	163275989	163276389	chr2	163276040	163276304	265	*	6.52924360932549	7.31244888044836	4.68783861321751	2.41882833991037	5.95331836780452e-24	5.19143047461905e-21
chr3	158562022	158562422	chr3	158561578	158562397	820	*	7.77860703255844	8.37297076263512	6.75003008376568	1.54536794311954	9.05887131627754e-24	7.80977649182627e-21
chr17	15440453	15440853	chr17	15440505	15440800	296	*	7.0829963426737	7.78221704078097	5.67322939335498	2.0139726820973	1.10082460365835e-23	9.3837257731623e-21
chr6	80885357	80885757	chr6	80885309	80885790	482	*	8.16595191049562	8.84893506799873	6.8242098889417	1.92475853700367	1.75018697363137e-23	1.47532983268353e-20
chr6	35329924	35330324	chr6	35329923	35330359	437	*	8.52911995891557	9.17707715938204	7.32173250989959	1.75609036610471	1.93215536429301e-23	1.61082306447751e-20
chr3	140933154	140933554	chr3	140933200	140933477	278	*	7.10633353968279	5.69435411219142	7.8060666274526	-1.97720147089771	2.17111058508398e-23	1.79036386573892e-20
chr18	50862198	50862598	chr18	50862283	50862590	308	*	5.76100844479029	6.58611030416559	3.63026320559634	2.70485075958011	2.31796858861824e-23	1.89091403165711e-20
chr1	170655245	170655645	chr1	170655232	170655543	312	*	6.94382880220077	7.72720838678152	5.10134831841351	2.42618136048162	2.37598538452634e-23	1.91762241683484e-20
chr5	6168036	6168436	chr5	6168109	6168325	217	*	5.32883582524253	6.17927697300236	2.98472118696796	2.89530219048567	4.07234804877599e-23	3.25213428493094e-20
chr7	134343024	134343424	chr7	134343166	134343247	82	*	6.06101774360448	6.83237218170173	4.29062296581769	2.34379569512417	4.66671286777515e-23	3.68796706694406e-20
chr10	33624176	33624576	chr10	33624122	33624866	745	*	7.08502323197232	7.72377098536906	5.91047631289579	1.7104750759389	6.54496625651811e-23	5.11897329914436e-20
chr5	59894126	59894526	chr5	59894046	59894623	578	*	7.79027475582443	8.5144635255821	6.26755224528897	2.12301503566174	9.68693949055782e-23	7.4990750141904e-20
chr4	44704383	44704783	chr4	44704408	44704729	322	*	7.84770657443194	8.43401847361671	6.8436507896622	1.51832040699228	9.84610827632532e-23	7.54530152011815e-20
chr3	35066824	35067224	chr3	35066868	35067212	345	*	8.50562730572979	9.16301117657011	7.26360648658752	1.79626719116541	1.00496092443363e-22	7.62423654930817e-20
chr5	131537045	131537445	chr5	131537153	131537755	603	*	7.66880514757491	8.37254415935126	6.23938287307087	2.00083563768233	1.06876597997222e-22	8.02801978579929e-20
chr4	20558928	20559328	chr4	20558973	20559285	313	*	5.02984730263022	5.90459907892931	2.44177189914869	3.12275374959632	1.20125492731743e-22	8.93474571724161e-20
chr1	98923922	98924322	chr1	98924010	98924212	203	*	5.18832739403945	6.0746569681684	2.46602781690002	3.23232846760339	1.32044683032216e-22	9.72592419701177e-20
chr17	32917162	32917562	chr17	32917105	32917589	485	*	8.03367289072252	6.72529367848749	8.70833759974085	-1.86756962806286	1.34955901455326e-22	9.84477348058635e-20
chr15	47869070	47869470	chr15	47869046	47869388	343	*	6.77128681296181	7.49821099664769	5.23550902617963	2.13190893394717	2.32574252795982e-22	1.66719861183858e-19
chr3	89561393	89561793	chr3	89561509	89562163	655	*	7.49908078424646	8.16948752796561	6.20741245600123	1.84362377469924	2.35027531121531e-22	1.66719861183858e-19
chr2	166526174	166526574	chr2	166526248	166526554	307	*	7.40897341175049	8.14278891378684	5.83965901800782	2.1636128717744	2.35138601569515e-22	1.66719861183858e-19
chr18	65510520	65510920	chr18	65510401	65510912	512	*	6.63192443259075	7.35854384870502	5.09760829795453	2.11028996426425	2.99818516674081e-22	2.10611403574035e-19
chr3	96414648	96415048	chr3	96414604	96414956	353	*	6.4374594096997	7.20681727715892	4.67863598458006	2.33675327361069	3.19926412414931e-22	2.22674653250194e-19
chr11	33202233	33202633	chr11	33202339	33202657	319	*	6.81032008302221	5.5512156181116	7.47224911902689	-1.79584799433646	4.95849347559747e-22	3.41982787290616e-19
chr17	71782384	71782784	chr17	71782258	71782711	454	*	6.80740186467181	7.49574924671955	5.44362397756961	1.93565347536029	6.04287904910713e-22	4.13017172918524e-19
chr19	22437212	22437612	chr19	22437182	22437573	392	*	8.82808369799975	7.82687190390052	9.41344990400427	-1.50742493571097	6.63667293851562e-22	4.49551633172702e-19
chr5	119670619	119671019	chr5	119670322	119671048	727	*	7.96109519692727	8.61165778642168	6.74424094583569	1.77969530299238	6.8518973392785e-22	4.60023047382038e-19
chr7	68833397	68833797	chr7	68833530	68833704	175	*	5.16240572216615	6.02251345966731	2.72664644672254	3.03861999409643	7.00556866152242e-22	4.66214449188649e-19
chr12	9113617	9114017	chr12	9113721	9113973	253	*	7.13643521760108	7.74835827962183	6.05239196822649	1.62446545886533	7.35606975827822e-22	4.85283120244813e-19
chr7	130129540	130129940	chr7	130129383	130129864	482	*	7.46582605681972	8.14918489851717	6.12255431257402	1.89672712609988	7.65696005323716e-22	5.00778389136974e-19
chr16	20779827	20780227	chr16	20779832	20780198	367	*	7.82915995290309	6.71230300074685	8.45106199289463	-1.65593175819109	8.54528376787268e-22	5.54099571225153e-19
chr12	66889281	66889681	chr12	66889378	66889559	182	*	5.3977832396057	6.2406251938373	3.12143913675751	2.82368538489126	9.27891676740232e-22	5.96571440233681e-19
chr5	66910627	66911027	chr5	66910716	66910962	247	*	6.29992820369409	7.08937629559875	4.41941386583614	2.4551010993595	9.90380119329703e-22	6.31396454899725e-19
chr5	84408369	84408769	chr5	84408409	84408734	326	*	7.73329547669222	8.38376407965043	6.51678411050939	1.76606969015345	1.11526529726707e-21	7.05089308687198e-19
chr17	28013238	28013638	chr17	28013341	28013533	193	*	7.27888367902711	7.88411282979234	6.21631739525838	1.57899136502122	1.40463170875688e-21	8.80692472864042e-19
chrX	96713224	96713624	chrX	96713154	96713748	595	*	7.4501365738132	8.0420176099816	6.42917964207583	1.5391196583096	1.46929991684132e-21	9.13687766320356e-19
chr8	108714484	108714884	chr8	108714344	108714843	500	*	6.87849403388956	7.56136986349444	5.53718866263094	1.89224450474541	1.56217761762966e-21	9.63546074301558e-19
chr16	33940141	33940541	chr16	33940220	33940643	424	*	7.49432192171857	6.12195564689441	8.18473258177991	-1.92505838949837	1.66438943460187e-21	1.01831103907666e-18
chr1	192315540	192315940	chr1	192315544	192315827	284	*	5.97733703635098	6.742749568402	4.2410637944624	2.31890278293106	2.03475250186871e-21	1.23494826645417e-18
chr8	28585745	28586145	chr8	28585850	28586023	174	*	5.04172132659453	5.93513480488992	2.23008670750911	3.27241600488707	2.545190281164e-21	1.53248734818086e-18
chr4	38995171	38995571	chr4	38995275	38995491	217	*	5.74497482241343	6.54879540058552	3.76947572076467	2.53794553684528	2.99527721661741e-21	1.78928898673934e-18
chr17	35549467	35549867	chr17	35549506	35550042	537	*	8.53536328936237	7.24674300960351	9.20498668428781	-1.84506528528828	3.17277706105714e-21	1.88051487901688e-18
chr12	53833363	53833763	chr12	53833394	53833820	427	*	7.13724495539682	7.81274863882983	5.82554427159119	1.86641788338744	3.54951688204135e-21	2.07524423221788e-18
chr14	17900372	17900772	chr14	17900180	17900757	578	*	8.11351418338942	8.74919065916286	6.94970951045193	1.69193674414197	3.55602971276097e-21	2.07524423221788e-18
chr3	39672677	39673077	chr3	39672693	39673037	345	*	6.00540215492902	6.71617912261617	4.54469371404815	2.02709128613797	4.89449812762678e-21	2.83454957977507e-18
chr15	73919242	73919642	chr15	73919273	73919550	278	*	7.40673716629592	8.0835817176899	6.08970807130686	1.87624477269114	6.4467966945569e-21	3.70524756082768e-18
chr15	39221949	39222349	chr15	39221935	39222291	357	*	7.21772914450473	7.92686748822759	5.76437950110067	2.01170550936376	7.36406566840726e-21	4.20061809022094e-18
chr6	111708253	111708653	chr6	111708335	111708564	230	*	6.37587435976722	7.14502296734469	4.61825744560945	2.32213122260704	7.62839489686683e-21	4.31892393466939e-18
chr6	111373000	111373400	chr6	111372451	111373349	899	*	8.54142020922649	9.13794203997327	7.50617590600262	1.54466344031505	1.02376330664944e-20	5.75324644609379e-18
chr1	99370318	99370718	chr1	99370388	99370917	530	*	7.96688429309782	8.67950545963668	6.4978386204688	2.04083947442559	1.05092594163064e-20	5.86246672704044e-18
chr1	126192668	126193068	chr1	126192728	126193110	383	*	6.77524403968482	7.68807652342195	3.68304775831539	3.50723617631244	1.06465403040476e-20	5.89569654530566e-18
chr14	106096825	106097225	chr14	106096882	106097101	220	*	5.60225243826029	6.37297478557817	3.8355327996799	2.34503335784993	1.30709489679235e-20	7.18580155362669e-18
chr17	67027237	67027637	chr17	67027344	67027525	182	*	5.08930448083076	5.95019776873616	2.64580751676111	2.94714837816956	1.35606984067797e-20	7.4014096786241e-18
chr3	10091684	10092084	chr3	10091726	10092116	391	*	7.1552989819698	7.8270595062279	5.8583438767053	1.83058956826237	1.3805366578434e-20	7.48112814885338e-18
chr7	88820210	88820610	chr7	88820066	88820704	639	*	6.9640604083178	7.63476073825931	5.67124763341239	1.85203188649522	1.62582189806237e-20	8.74784426371629e-18
chr13	97017692	97018092	chr13	97017750	97018020	271	*	7.31581907432724	7.97983978538179	6.04876595470989	1.7974050491754	1.66864344105317e-20	8.91502135908029e-18
chr4	65300404	65300804	chr4	65300498	65300784	287	*	6.26860434399948	7.02213294670695	4.59784845965616	2.2476472304844	1.70650367841399e-20	8.99888135255468e-18
chr2	26547439	26547839	chr2	26547361	26547780	420	*	7.80346151441085	8.42215868858032	6.69724949605834	1.63476787059753	1.70806278803136e-20	8.99888135255468e-18
chr8	14225177	14225577	chr8	14225303	14225502	200	*	5.61538762581074	6.41585570461608	3.66269642614686	2.50932009850905	1.72100814086305e-20	9.0045519734287e-18
chr4	20343411	20343811	chr4	20343281	20343909	629	*	7.47060904344055	8.07754458763424	6.40260762514531	1.56793909478348	1.78454056313623e-20	9.27301057280088e-18
chr2	174198543	174198943	chr2	174198616	174198950	335	*	7.93037314808321	8.59192910219308	6.67268064900547	1.79345954781872	2.14597356387024e-20	1.1075267373917e-17
chr17	15431055	15431455	chr17	15431120	15431528	409	*	8.15908099674148	8.80338119334685	6.96484906368784	1.72596274398907	2.1857959299554e-20	1.12045671636484e-17
chr13	72672495	72672895	chr13	72672561	72672810	250	*	6.27131145963816	7.02268543012541	4.6120661648	2.22660726254242	2.20733428487213e-20	1.1239035091014e-17
chr9	91126860	91127260	chr9	91126797	91127254	458	*	8.42451833947139	7.17556829182613	9.08375397506753	-1.79050502819123	2.24692517596618e-20	1.136434835999e-17
chr1	113308026	113308426	chr1	113308125	113308358	234	*	5.00415331234936	5.86104078880751	2.59964397979933	2.974340741875	2.48767306283883e-20	1.24986625553199e-17
chr1	159163147	159163547	chr1	159163055	159163423	369	*	5.12710516139272	5.99397988281207	2.62314440355548	3.03772837445651	2.5742143067563e-20	1.2848377802393e-17
chr14	79765191	79765591	chr14	79765302	79765479	178	*	5.94699849547691	6.66871899372897	4.43593476636896	2.05316773934721	2.66047273792548e-20	1.31921192637552e-17
chr7	50481973	50482373	chr7	50482027	50482361	335	*	6.68635083753762	7.45766873964434	4.9161687884689	2.33598254306855	2.76018090390631e-20	1.35976548347893e-17
chr5	84414886	84415517	chr5	84415225	84415375	151	*	5.4980839589871	6.30373553088087	3.50995142961076	2.60791186772362	3.50550485327652e-20	1.71579762063662e-17
chr17	61301275	61301675	chr17	61301408	61301528	121	*	4.70571261207084	5.64672839830894	1.06402731299557	3.7897507212996	3.61211324290215e-20	1.75664476465394e-17
chr14	122230684	122231084	chr14	122230353	122231045	693	*	9.41242656231178	8.21291313292837	10.0582000453543	-1.73548786437667	3.74306511777136e-20	1.80873489315186e-17
chr5	76657487	76657887	chr5	76657454	76658388	935	*	8.07865767369795	8.7038942561195	6.95061563649922	1.64374465003606	3.78496067408746e-20	1.8174039651919e-17
chr7	47116656	47117056	chr7	47116670	47117113	444	*	8.32334250413135	8.94060309178216	7.22186910220308	1.61961312618619	3.95575857738941e-20	1.88746905806431e-17
chr6	22802336	22802736	chr6	22802431	22802977	547	*	7.46994045493425	8.17792365116553	6.02175093894305	2.01471554907695	4.76184424106431e-20	2.25788796995366e-17
chr13	72783039	72783439	chr13	72783018	72783536	519	*	8.0076882212852	8.63117647190706	6.88552466467709	1.64011594003778	4.82160149587223e-20	2.27202247879405e-17
chr8	29219472	29219872	chr8	29219375	29219918	544	*	8.7665749960346	9.38011277274029	7.67728772287389	1.60963582432849	4.9214830694883e-20	2.30477305277654e-17
chr4	98578212	98578612	chr4	98578225	98578752	528	*	7.33231202118453	5.80852934049956	8.05672404261107	-2.08639841783181	4.98032643592693e-20	2.31802113734989e-17
chr15	74097358	74097758	chr15	74097319	74097745	427	*	7.48348805239486	8.10921065737014	6.35380630985663	1.65053722620755	5.10241320678756e-20	2.36036390454966e-17
chr15	29104548	29104948	chr15	29104569	29105013	445	*	6.76945617075648	5.29066871587541	7.48421581086764	-2.02128563702136	5.41642025541272e-20	2.49043720664934e-17
chr1	125643631	125644031	chr1	125643727	125643939	213	*	6.4213224214785	7.09534155179706	5.11549252695428	1.85095728194429	6.09018318559462e-20	2.7833604672188e-17
chr6	80018729	80019129	chr6	80018833	80019056	224	*	7.6506913797164	8.3105689476084	6.39932937283752	1.77970515042189	6.47033888905248e-20	2.93939359375362e-17
chr15	53748404	53748804	chr15	53748302	53748833	532	*	9.58840454487746	8.60040841894071	10.1693434561428	-1.48666090807556	6.5288843259027e-20	2.9483353468389e-17
