loop_id	anchor_num	direction	motif_start	motif_end	window_chr	window_start	window_end	H3K27ac_overlap	H3K27me3_overlap	H3K4me1_overlap	H3K4me3_overlap	Bivalent_overlap	CTCF_chip_overlap	distance_to_tss	type_motif_window
loop_12404	1	down_in_mutant	57400973	57400992	chr18	57400482	57401482	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	3932	Poised_Enhancer
loop_13250	1	down_in_mutant	77792195	77792214	chr18	77791704	77792704	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1789	CTCF_Site
loop_14358	1	up_in_mutant	165391735	165391754	chr2	165391244	165392244	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	2984	CTCF_Site
loop_14358	1	up_in_mutant	165399674	165399693	chr2	165399183	165400183	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	221	CTCF_Site
loop_2816	1	down_in_mutant	118263318	118263337	chr2	118262827	118263827	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	15602	CTCF_Site
loop_22112	1	up_in_mutant	73965787	73965806	chr2	73965296	73966296	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	53969	CTCF_Site
loop_15947	1	down_in_mutant	81564524	81564543	chr4	81564033	81565033	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	121217	Active_Enhancer
loop_15947	1	down_in_mutant	81566490	81566509	chr4	81565999	81566999	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	123183	Active_Enhancer
loop_3034	1	down_in_mutant	33396668	33396687	chr4	33396177	33397177	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	40903	Poised_Enhancer
loop_3162	1	down_in_mutant	86167493	86167512	chr5	86167002	86168002	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4800	CTCF_Site
loop_14988	1	down_in_mutant	41884728	41884747	chr5	41884237	41885237	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	6104	CTCF_Site
loop_14988	1	down_in_mutant	41887916	41887935	chr5	41887425	41888425	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	2916	Poised_Enhancer
loop_17280	1	down_in_mutant	51170600	51170619	chr6	51170109	51171109	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	98800	Polycomb
loop_3244	1	down_in_mutant	106800147	106800166	chr6	106799656	106800656	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	0	Active_Promoter
loop_3263	1	down_in_mutant	38180882	38180901	chr7	38180391	38181391	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1825	CTCF_Site
loop_3263	1	down_in_mutant	38182712	38182731	chr7	38182221	38183221	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	0	Active_Promoter
loop_3357	1	down_in_mutant	59624747	59624766	chr10	59624256	59625256	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	7563	Poised_Enhancer
loop_3398	1	down_in_mutant	13087394	13087413	chr10	13086903	13087903	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	26398	CTCF_Site
loop_3456	1	up_in_mutant	70780937	70780956	chr14	70780446	70781446	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	7173	Polycomb
loop_21700	1	up_in_mutant	24068884	24068903	chr14	24068393	24069393	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	19483	CTCF_Site
loop_3462	1	up_in_mutant	63997583	63997602	chr9	63997092	63998092	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	23966	Poised_Enhancer
loop_10314	1	down_in_mutant	29857585	29857604	chr13	29857094	29858094	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1419	CTCF_Site
loop_3611	1	up_in_mutant	27348408	27348427	chr12	27347917	27348917	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	5342	CTCF_Site
loop_21904	1	up_in_mutant	61102569	61102588	chr15	61102078	61103078	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	179065	CTCF_Site
loop_3645	1	up_in_mutant	91160864	91160883	chr16	91160373	91161373	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	64083	CTCF_Site
loop_3645	1	up_in_mutant	91164075	91164094	chr16	91163584	91164584	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	60872	Polycomb
loop_3694	1	up_in_mutant	84113431	84113450	chr17	84112940	84113940	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	34279	CTCF_Site
loop_3694	1	up_in_mutant	84114096	84114115	chr17	84113605	84114605	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	34944	CTCF_Site
loop_21983	1	up_in_mutant	87094492	87094511	chr1	87094001	87095001	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4072	CTCF_Site
loop_21983	1	up_in_mutant	87098763	87098782	chr1	87098272	87099272	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	2333	Polycomb
loop_22011	1	up_in_mutant	115686670	115686689	chr1	115686179	115687179	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	1422	Repressed_Promoter
loop_3749	1	up_in_mutant	169670820	169670839	chr1	169670329	169671329	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	14827	CTCF_Site
loop_3749	1	up_in_mutant	169674324	169674343	chr1	169673833	169674833	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	18331	CTCF_Site
loop_3780	1	up_in_mutant	45912348	45912367	chr18	45911857	45912857	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	132402	Polycomb
loop_22100	1	up_in_mutant	3815147	3815166	chr2	3814656	3815656	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	202060	CTCF_Site
loop_19749	1	up_in_mutant	27550464	27550483	chr2	27549973	27550973	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	34815	CTCF_Site
loop_21245	1	up_in_mutant	50675528	50675547	chrX	50675037	50676037	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	39715	CTCF_Site
loop_22154	1	up_in_mutant	59321459	59321478	chr3	59320968	59321968	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	22425	Poised_Enhancer
loop_3933	1	up_in_mutant	96718901	96718920	chr4	96718410	96719410	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	54255	Poised_Enhancer
loop_22176	1	up_in_mutant	125114766	125114785	chr4	125114275	125115275	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	12564	Poised_Enhancer
loop_22176	1	up_in_mutant	125118500	125118519	chr4	125118009	125119009	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	8830	CTCF_Site
loop_22176	1	up_in_mutant	125119261	125119280	chr4	125118770	125119770	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	8069	CTCF_Site
loop_3994	1	up_in_mutant	64508709	64508728	chr5	64508218	64509218	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	31209	Poised_Enhancer
loop_22214	1	up_in_mutant	3342609	3342628	chr5	3342118	3343118	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	632	Repressed_Promoter
loop_22214	1	up_in_mutant	3344540	3344559	chr5	3344049	3345049	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	2563	Bivalent_Promoter
loop_22214	1	up_in_mutant	3345070	3345089	chr5	3344579	3345579	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	3093	Bivalent_Promoter
loop_22596	1	up_in_mutant	36836111	36836130	chr5	36835620	36836620	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	4966	CTCF_Site
loop_22261	1	up_in_mutant	83690475	83690494	chr6	83689984	83690984	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	12126	Polycomb
loop_22261	1	up_in_mutant	83693995	83694014	chr6	83693504	83694504	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	15646	CTCF_Site
loop_22261	1	up_in_mutant	83695898	83695917	chr6	83695407	83696407	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	14856	CTCF_Site
loop_4054	1	down_in_mutant	72284040	72284059	chr6	72283549	72284549	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	20060	CTCF_Site
loop_22271	1	up_in_mutant	148000143	148000162	chr6	147999652	148000652	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	46606	CTCF_Site
loop_22271	1	up_in_mutant	148006336	148006355	chr6	148005845	148006845	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	40413	CTCF_Site
loop_4162	1	up_in_mutant	121126418	121126437	chr8	121125927	121126927	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	1012	Repressed_Promoter
loop_4165	1	up_in_mutant	94704209	94704228	chr8	94703718	94704718	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	7439	CTCF_Site
loop_4167	1	up_in_mutant	122163209	122163228	chr8	122162718	122163718	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	94901	Poised_Enhancer
loop_4167	1	up_in_mutant	122163769	122163788	chr8	122163278	122164278	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	94341	Poised_Enhancer
loop_21731	1	up_in_mutant	23027772	23027791	chr9	23027281	23028281	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	194794	CTCF_Site
loop_4308	1	up_in_mutant	122615501	122615520	chr9	122615010	122616010	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	42510	CTCF_Site
loop_4348	1	up_in_mutant	114066198	114066217	chr11	114065707	114066707	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	338	Repressed_Promoter
loop_4348	1	up_in_mutant	114067233	114067252	chr11	114066742	114067742	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	0	Repressed_Promoter
loop_9751	1	up_in_mutant	87211741	87211760	chr11	87211250	87212250	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	84172	CTCF_Site
loop_9751	1	up_in_mutant	87214384	87214403	chr11	87213893	87214893	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	86815	CTCF_Site
loop_4374	1	up_in_mutant	96145778	96145797	chr11	96145287	96146287	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	11500	Polycomb
loop_10686	1	up_in_mutant	105492264	105492283	chr12	105491773	105492773	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	20706	CTCF_Site
loop_10686	1	up_in_mutant	105498065	105498084	chr12	105497574	105498574	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	14905	CTCF_Site
loop_4507	1	up_in_mutant	78257622	78257641	chr15	78257131	78258131	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	12329	CTCF_Site
loop_4527	1	up_in_mutant	84260493	84260512	chr15	84260002	84261002	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	27958	CTCF_Site
loop_4528	1	up_in_mutant	38695607	38695626	chr15	38695116	38696116	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	32399	CTCF_Site
loop_4528	1	up_in_mutant	38696613	38696632	chr15	38696122	38697122	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	31393	CTCF_Site
loop_19312	1	up_in_mutant	58454699	58454718	chr16	58454208	58455208	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	45764	CTCF_Site
loop_4613	1	up_in_mutant	15378140	15378159	chr17	15377649	15378649	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	776	Repressed_Promoter
loop_4647	1	up_in_mutant	153332189	153332208	chr1	153331698	153332698	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	87	Active_Promoter
loop_4648	1	up_in_mutant	73996450	73996469	chr1	73995959	73996959	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	127489	Polycomb
loop_4716	1	up_in_mutant	34663307	34663326	chr18	34662816	34663816	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	11080	CTCF_Site
loop_19558	1	up_in_mutant	10293338	10293357	chr18	10292847	10293847	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	31329	CTCF_Site
loop_12384	1	up_in_mutant	80815634	80815653	chr18	80815143	80816143	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	102071	CTCF_Site
loop_5694	1	up_in_mutant	28755644	28755663	chr2	28755153	28756153	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	21874	CTCF_Site
loop_5694	1	up_in_mutant	28756394	28756413	chr2	28755903	28756903	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	22624	CTCF_Site
loop_4810	1	down_in_mutant	138281680	138281699	chr2	138281189	138282189	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	24623	Active_Enhancer
loop_4810	1	down_in_mutant	138282973	138282992	chr2	138282482	138283482	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	25916	Active_Enhancer
loop_22537	1	up_in_mutant	48001970	48001989	chr2	48001479	48002479	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	811629	CTCF_Site
loop_14446	1	up_in_mutant	163101724	163101743	chr2	163101233	163102233	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	33142	CTCF_Site
loop_14706	1	up_in_mutant	168415592	168415611	chrX	168415101	168416101	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	161129	CTCF_Site
loop_4905	1	up_in_mutant	9400352	9400371	chr3	9399861	9400861	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	2202	Poised_Enhancer
loop_5820	1	up_in_mutant	87031038	87031057	chr3	87030547	87031547	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	31105	CTCF_Site
loop_5820	1	up_in_mutant	87033588	87033607	chr3	87033097	87034097	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	33655	CTCF_Site
loop_5820	1	up_in_mutant	87038877	87038896	chr3	87038386	87039386	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	38944	CTCF_Site
loop_5820	1	up_in_mutant	87039837	87039856	chr3	87039346	87040346	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	39904	CTCF_Site
loop_5010	1	up_in_mutant	136840225	136840244	chr5	136839734	136840734	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	42474	CTCF_Site
loop_22228	1	up_in_mutant	100675135	100675154	chr5	100674644	100675644	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	0	CTCF_Site
loop_20175	1	up_in_mutant	114224577	114224596	chr6	114224086	114225086	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	57548	CTCF_Site
loop_22267	1	up_in_mutant	120222864	120222883	chr6	120222373	120223373	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	71185	CTCF_Site
loop_6107	1	up_in_mutant	144841925	144841944	chr7	144841434	144842434	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	3350	Polycomb
loop_6107	1	up_in_mutant	144846355	144846374	chr7	144845864	144846864	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	502	CTCF_Site
loop_2086	1	down_in_mutant	24473147	24473166	chr7	24472656	24473656	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	8366	CTCF_Site
loop_2086	1	down_in_mutant	24474086	24474105	chr7	24473595	24474595	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	7427	CTCF_Site
loop_22316	1	up_in_mutant	118440564	118440583	chr7	118440073	118441073	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	7148	CTCF_Site
loop_18222	1	down_in_mutant	91226640	91226659	chr7	91226149	91227149	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	748917	Poised_Enhancer
loop_16445	1	up_in_mutant	121025229	121025248	chr10	121024738	121025738	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	8221	CTCF_Site
loop_16445	1	up_in_mutant	121033938	121033957	chr10	121033447	121034447	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	0	Repressed_Promoter
loop_16445	1	up_in_mutant	121047615	121047634	chr10	121047124	121048124	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	13163	Polycomb
loop_5296	1	up_in_mutant	75899711	75899730	chr14	75899220	75900220	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	51314	Poised_Enhancer
loop_5005	1	up_in_mutant	25707787	25707806	chr14	25707296	25708296	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	6013	CTCF_Site
loop_16750	1	up_in_mutant	34810923	34810942	chr14	34810432	34811432	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	8675	Polycomb
loop_16750	1	up_in_mutant	34813465	34813484	chr14	34812974	34813974	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	6133	CTCF_Site
loop_18879	1	up_in_mutant	110715613	110715632	chr9	110715122	110716122	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	25738	CTCF_Site
loop_18879	1	up_in_mutant	110716901	110716920	chr9	110716410	110717410	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	24450	CTCF_Site
loop_5350	1	down_in_mutant	57523967	57523986	chr9	57523476	57524476	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	2201	Poised_Enhancer
loop_18865	1	up_in_mutant	42550359	42550378	chr9	42549868	42550868	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	42058	Poised_Enhancer
loop_22404	1	up_in_mutant	15976200	15976219	chr9	15975709	15976709	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	101152	CTCF_Site
loop_5357	1	up_in_mutant	73160331	73160350	chr9	73159840	73160840	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	46413	CTCF_Site
loop_5357	1	up_in_mutant	73163104	73163123	chr9	73162613	73163613	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	49186	Poised_Enhancer
