chr	start	end	enhancer_class	n_abc_pairs	mean_delta_abc	mean_delta_unnorm	n_gained	n_lost
chr3	136994326	136995003	Activity_Lost	1	-0.019267	-0.125162	0	1
chr16	24412984	24413378	Activity_Lost	1	-0.013482	-0.236222	0	1
chr18	31316059	31316429	Activity_Lost	1	-0.049942	-0.782313	0	1
chr14	27237759	27238239	Activity_Lost	4	-0.01975725	-0.06169875	0	4
chr2	57960735	57961413	Activity_Lost	3	0.00293933333333334	-0.028399	1	2
chr8	57560703	57561390	Activity_Lost	6	-0.0133755	-0.0827526666666667	0	4
chr8	114503232	114503565	Activity_Lost	1	-0.013206	-0.120018	0	1
chr18	38882195	38882347	Activity_Lost	1	-0.009057	-0.208214	0	0
chr18	64790018	64790388	Activity_Lost	2	-0.024945	-0.2396115	0	2
chr7	130552740	130553115	Activity_Lost	5	-0.0416716	-0.2152122	0	5
chr12	31905647	31905963	Activity_Lost	2	-0.013737	-0.1149105	0	2
chr11	3507194	3507805	Activity_Lost	9	-0.04039	-0.629647222222222	0	9
chr18	64789398	64789682	Activity_Lost	2	-0.0166295	-0.1701135	0	2
chr13	84065515	84065791	Activity_Lost	2	-0.0218855	-0.475397	0	2
chr2	3739397	3740181	Activity_Lost	15	-0.0244881333333333	-0.1335052	0	15
chr11	31850044	31850541	Activity_Lost	2	-0.015386	-0.2317195	0	1
chr4	82589450	82589899	Activity_Lost	8	-0.01684475	-0.08917475	0	6
chr16	37617769	37618061	Activity_Lost	1	-0.023709	-0.294442	0	1
chr4	62516150	62516353	Activity_Lost	15	-0.0389470666666667	-0.348920333333333	0	15
chrX	61435681	61436048	Activity_Lost	2	-0.018162	-0.0239605	0	2
chr15	88565169	88565658	Activity_Lost	1	-0.016815	-0.296977	0	1
chr4	62518634	62519007	Activity_Lost	15	-0.0399034	-0.378617133333333	0	15
chr17	48543387	48543743	Activity_Lost	1	-0.023899	-0.235021	0	1
chr7	44645868	44646288	Activity_Lost	1	-0.011598	-0.133324	0	1
chr16	33704329	33704668	Activity_Lost	3	-0.019649	-0.190566333333333	0	3
chr18	33652845	33652970	Activity_Lost	2	-0.0197375	-0.2344425	0	2
chr15	36891852	36892068	Activity_Lost	2	-0.0166715	-0.1621425	0	2
chr2	78036533	78036935	Activity_Lost	5	-0.0331114	-0.1105372	0	5
chr4	98619225	98619555	Activity_Lost	1	-0.016848	-0.065219	0	1
chr18	33605057	33605281	Activity_Lost	2	-0.0161855	-0.193757	0	2
chr8	57792329	57792590	Activity_Lost	4	-0.01761125	-0.12217175	0	4
chr13	84758408	84758811	Activity_Lost	12	-0.02406525	-0.367366333333333	0	11
chr4	137041246	137041655	Activity_Lost	4	-0.031311	-0.27527625	0	4
chr9	75430942	75431551	Activity_Lost	5	-0.0353744	-0.320051	0	5
chr2	136699851	136700192	Activity_Lost	1	-0.035793	-0.824426	0	1
chr3	65117372	65117578	Activity_Lost	3	-0.019158	-0.0104926666666667	0	3
chr6	54440765	54440944	Activity_Lost	2	-0.0390935	-0.376013	0	2
chr2	141834156	141834861	Activity_Lost	1	-0.023322	-0.163212	0	1
chr5	49662132	49662464	Activity_Lost	3	-0.024027	-0.058081	0	3
chr10	64118764	64119206	Activity_Lost	1	-0.052429	-0.373244	0	1
chr16	33836799	33836938	Activity_Lost	1	-0.023943	-0.269057	0	1
chr10	7323267	7323619	Activity_Lost	4	-0.01839575	-0.108997	0	4
chr10	66228121	66228584	Activity_Lost	2	-0.0452465	-0.142797	0	2
chr7	48785286	48785554	Activity_Lost	3	-0.0600233333333333	-0.411333333333333	0	3
chr9	91122535	91122933	Activity_Lost	2	-0.0243875	-0.128406	0	2
chr14	105708711	105709060	Activity_Lost	2	-0.0179795	-0.0871835	0	2
chr15	86219702	86220149	Activity_Lost	1	-0.014344	-0.22314	0	1
chr8	26748495	26749211	Activity_Lost	7	-0.0241824285714286	-0.103094	0	7
chr10	108649160	108649602	Activity_Lost	4	-0.02801725	-0.07403075	0	4
chr12	31818035	31818345	Activity_Lost	3	-0.0149386666666667	-0.105649333333333	0	3
chr6	106920956	106921331	Activity_Lost	5	-0.0173186	-0.093917	0	5
chr3	136969785	136970156	Activity_Lost	1	-0.033148	-0.220169	0	1
chr1	59404254	59404418	Activity_Lost	1	-0.023209	-0.421175	0	1
chr6	59351190	59351562	Activity_Lost	1	-0.014028	-0.148215	0	1
chr14	16074168	16074527	Activity_Lost	3	-0.0658336666666667	-0.173517666666667	0	3
chr18	68827195	68827668	Activity_Lost	1	-0.020662	-0.278262	0	1
chr1	133978617	133979011	Activity_Lost	6	-0.026719	-0.175020833333333	0	4
chr2	138477195	138477759	Activity_Lost	1	-0.019889	-0.143776	0	1
chr9	75785805	75786251	Activity_Lost	3	-0.0361423333333333	-0.198863666666667	0	3
chr16	33670397	33670839	Activity_Lost	6	-0.0323893333333333	-0.322075833333333	0	5
chr8	87220671	87220991	Activity_Lost	8	-0.017237875	-0.179145875	0	6
chr6	147029703	147030098	Activity_Lost	13	-0.0469247692307692	-0.220066461538462	1	11
chr8	57837102	57837707	Activity_Lost	1	-0.028661	-0.00709	0	1
chr15	42674884	42675275	Activity_Lost	1	-0.025927	-0.395915	0	1
chr11	43507952	43508293	Activity_Lost	4	-0.016121	-0.0736245	0	4
chr4	75394914	75395290	Activity_Lost	1	-0.040162	-0.111883	0	1
chr18	33609208	33609441	Activity_Lost	2	-0.0154	-0.1876525	0	2
chr9	90700126	90700439	Activity_Lost	2	-0.0081095	-0.2552105	0	1
chr12	31896004	31896153	Activity_Lost	4	-0.00687275	-0.123993	0	0
chr18	12814622	12815124	Activity_Lost	3	-0.019753	-0.0906043333333333	0	3
chr4	142071704	142072060	Activity_Lost	2	-0.013407	-0.2531485	0	2
chr11	18751370	18751894	Activity_Lost	6	-0.0485498333333333	-0.612289	0	6
chr13	108170608	108170917	Activity_Lost	9	-0.0365373333333333	-0.151706222222222	0	9
chr2	73985601	73986146	Activity_Lost	24	-0.03303125	-0.070503875	2	22
chr18	39187783	39188279	Activity_Lost	4	-0.01838925	-0.0482275	0	4
chr12	118112490	118112942	Activity_Lost	4	-0.0311145	-0.14165275	0	4
chr3	69797602	69797953	Activity_Lost	4	-0.03538275	-0.1067375	0	4
chr15	79000527	79001298	Activity_Lost	14	-0.0186967142857143	-0.254735642857143	0	13
chr9	75883696	75884067	Activity_Lost	1	-0.021888	-0.084761	0	1
chr14	60704734	60704831	Activity_Lost	9	-0.0283274444444444	-0.157330888888889	0	9
chr6	86480343	86480876	Activity_Lost	2	-0.0278265	-0.2654745	0	2
chr19	17153932	17154228	Activity_Lost	2	-0.0154845	-0.070015	0	2
chr3	141600981	141601564	Activity_Lost	3	-0.00160933333333333	-0.021301	1	1
chr15	86225241	86225600	Activity_Lost	1	-0.017825	-0.254282	0	1
chr14	93876060	93876277	Activity_Lost	1	-0.024627	-0.181689	0	1
chr7	130553244	130553621	Activity_Lost	4	-0.026195	-0.1417635	0	4
chr1	23629387	23629675	Activity_Lost	1	-0.011497	-0.036839	0	1
chr14	122230353	122231045	Activity_Lost	8	-0.02400075	-0.50277275	0	8
chr15	86234748	86235344	Activity_Lost	3	-0.01404	-0.174206	0	3
chr10	108852791	108853071	Activity_Lost	1	-0.008461	-0.050706	0	0
chr16	37622984	37623313	Activity_Lost	3	-0.0206416666666667	-0.260283666666667	0	3
chr4	3711906	3712474	Activity_Lost	4	-0.02312475	-0.085959	0	4
chr16	33733889	33734181	Activity_Lost	2	-0.0105695	-0.0886175	0	1
chr3	140933200	140933477	Activity_Lost	2	-0.0398035	-0.1621465	0	2
chr13	76301998	76302339	Activity_Lost	7	-0.0406858571428571	-0.261027857142857	0	7
chr10	40103852	40104161	Activity_Lost	4	-0.00694825	-0.0441235	0	3
chr16	41675852	41676289	Activity_Lost	1	-0.023187	-0.017252	0	1
chr15	88579425	88579866	Activity_Lost	3	-0.0357276666666667	-0.359603	0	3
chr8	124495775	124495872	Activity_Lost	1	-0.013226	-0.211507	0	1
chr10	49807320	49807660	Activity_Lost	1	-0.020483	-0.162632	0	1
chr3	123828732	123829134	Activity_Lost	3	-0.0221616666666667	-0.0752006666666667	0	3
chr6	122782134	122782554	Activity_Lost	11	-0.0284143636363636	-0.115617545454545	0	11
chr3	122247318	122247486	Activity_Lost	5	-0.0284678	-0.3105026	0	5
chr16	96161021	96161206	Activity_Lost	3	-0.017455	-0.138090666666667	0	3
chr16	72800184	72800603	Activity_Lost	1	-0.027509	-0.005027	0	1
chr2	132513552	132514650	Activity_Lost	15	-0.0384765333333333	-0.193990266666667	0	15
chr1	133886869	133887390	Activity_Lost	2	-0.025651	-0.1262415	0	2
chr2	58135113	58135384	Activity_Lost	7	-0.0229024285714286	-0.107101714285714	1	6
chr8	25348126	25348598	Activity_Lost	1	-0.017997	-0.198905	0	1
chr3	65116954	65117238	Activity_Lost	3	-0.019158	-0.0104926666666667	0	3
chr5	106277199	106277616	Activity_Lost	11	-0.0202292727272727	-0.147561272727273	1	10
chr10	109684187	109684555	Activity_Lost	3	0.002524	-0.0799993333333333	0	0
chrX	158373264	158373559	Activity_Lost	2	-0.042634	-0.1423475	0	2
chr15	37515566	37515775	Activity_Lost	1	-0.011171	-0.159097	0	1
chr19	17136628	17137258	Activity_Lost	10	-0.0401534	-0.119941	0	10
chr6	104318404	104319020	Activity_Lost	1	-0.044945	-0.298864	0	1
chr4	82587608	82587797	Activity_Lost	1	-0.012004	-0.072493	0	1
chr7	109399375	109399599	Activity_Lost	1	-0.021133	-0.060276	0	1
chr11	99281267	99281453	Activity_Lost	4	-0.0376005	-0.36421225	0	4
chr10	63092679	63093506	Activity_Lost	8	-0.02552175	-0.312605625	0	8
chr2	138265374	138265603	Activity_Lost	1	-0.020363	-0.283453	0	1
chr3	79821185	79821424	Activity_Lost	2	-0.0349615	-0.061868	0	2
chr5	93221758	93222019	Activity_Lost	2	-0.0159885	-0.147756	0	2
chr2	139356528	139357014	Activity_Lost	1	-0.008342	-0.024529	0	0
chr6	85522824	85523354	Activity_Lost	4	-0.023074	-0.27795275	0	4
chr14	122229280	122229374	Activity_Lost	1	-0.014245	-0.278509	0	1
chr6	24172896	24173065	Activity_Lost	1	-0.046739	-0.410469	0	1
chr15	68275279	68275999	Activity_Lost	2	-0.0347415	-0.226464	0	2
chr12	118098287	118098650	Activity_Lost	6	-0.027957	-0.0624316666666667	0	6
chr10	20023573	20023922	Activity_Lost	9	-0.0207254444444444	-0.0603511111111111	0	7
chr6	51848895	51849483	Activity_Lost	18	-0.0137644444444444	-0.0417708333333333	1	12
chr11	102748316	102748681	Activity_Lost	2	-0.018011	-0.279243	0	2
chr11	73015929	73016116	Activity_Lost	6	-0.0320291666666667	-0.321892	0	6
chr10	25112901	25113046	Activity_Lost	3	-0.0129773333333333	-0.028202	0	1
chr3	79823219	79823625	Activity_Lost	2	-0.0473885	-0.0878925	0	2
chr2	101598515	101598795	Activity_Lost	3	-0.0131746666666667	-0.139586333333333	0	3
chr16	72913161	72913603	Activity_Lost	1	0.00241	-5e-05	0	0
chr11	31771069	31771887	Activity_Lost	6	-0.0176366666666667	-0.157976666666667	0	4
chr10	46345398	46345677	Activity_Lost	2	-0.0189525	-0.0158305	0	2
chr8	57569336	57569673	Activity_Lost	8	-0.014051125	-0.081444125	0	6
chr3	122206092	122206600	Activity_Lost	14	-0.0253497142857143	-0.206669285714286	1	10
chr1	24227018	24227152	Activity_Lost	2	-0.0244775	-0.1346975	0	2
chr6	43402997	43403430	Activity_Lost	6	-0.0112646666666667	-0.0399131666666667	1	3
chr4	34498691	34499322	Activity_Lost	4	-0.0258885	-0.14121875	0	4
chr2	105800712	105801006	Activity_Lost	4	-0.020304	-0.16809025	0	4
chr8	115432576	115433087	Activity_Lost	3	-0.024495	-0.156466666666667	0	3
chr2	79462015	79462237	Activity_Lost	2	-0.029376	-0.6715045	0	2
chr12	90623433	90623798	Activity_Lost	1	-0.010163	-0.065464	0	1
chr7	30333527	30333818	Activity_Lost	5	-0.0194874	-0.3070658	0	5
chr4	149461458	149462227	Activity_Lost	9	-0.0535343333333333	-0.398572111111111	0	9
chr4	142077604	142077733	Activity_Lost	2	-0.0351155	-0.6226315	0	2
chr13	56698381	56698773	Activity_Lost	3	-0.0459373333333333	-0.286604333333333	0	3
chr11	42916462	42917108	Activity_Lost	1	-0.016252	-0.134882	0	1
chr8	40272330	40272638	Activity_Lost	1	-0.013583	-0.074051	0	1
chr4	3690928	3691521	Activity_Lost	7	-0.020821	-0.106587428571429	0	6
chr11	75133469	75133640	Activity_Lost	1	-0.013785	-0.155127	0	1
chr16	33862537	33862739	Activity_Lost	2	-0.0172785	-0.1724905	0	2
chr18	13398074	13398583	Activity_Lost	10	-0.0203382	-0.1254562	1	8
chr1	173369759	173369889	Activity_Lost	3	-0.0248046666666667	-0.347194333333333	0	3
chr1	137591311	137591583	Activity_Lost	3	-0.0162933333333333	-0.0755466666666667	0	3
chr10	128938545	128938831	Activity_Lost	9	-0.0406501111111111	-0.404235555555556	1	8
chr6	24175374	24175731	Activity_Lost	2	-0.0277245	-0.2141835	0	2
chr10	17131830	17131998	Activity_Lost	2	-0.0180995	-0.1118245	0	2
chr1	133873225	133873430	Activity_Lost	4	-0.03058825	-0.20352175	0	4
chr15	37432520	37432748	Activity_Lost	1	-0.054437	-0.665279	0	1
chr18	12790606	12790833	Activity_Lost	4	-0.0163385	-0.07965175	0	4
chr2	26300363	26301057	Activity_Lost	5	-0.013108	-0.2163934	0	4
chr6	28804075	28804219	Activity_Lost	1	-0.015513	-0.28506	0	1
chr2	132509398	132509608	Activity_Lost	3	-0.0244173333333333	-0.0601006666666667	0	3
chr4	81580567	81580904	Activity_Lost	5	-0.016839	-0.1297384	0	4
chr1	59469239	59469632	Activity_Lost	1	-0.009841	-0.221407	0	0
chr6	6115873	6116344	Activity_Lost	3	-0.0115546666666667	-0.0243523333333333	0	2
chr8	124494344	124495001	Activity_Lost	4	-0.0341755	-0.494609	0	4
chr6	20604240	20604571	Activity_Lost	2	-0.0160055	-0.069379	0	2
chr18	38918106	38918867	Activity_Lost	1	-0.02393	-0.699946	0	1
chr18	38888589	38888717	Activity_Lost	1	-0.00204	-0.143486	0	0
chr17	48598475	48599058	Activity_Lost	12	-0.0421058333333333	-0.25721875	0	11
chr16	33882672	33882890	Activity_Lost	1	-0.01555	-0.182737	0	1
chr15	39755618	39755826	Activity_Lost	1	-0.012752	-0.139858	0	1
chr17	48583292	48583850	Activity_Lost	4	-0.02329225	-0.149411	0	4
chr2	28416630	28416753	Activity_Lost	2	-0.0180035	-0.1468265	0	2
chr1	133908645	133909058	Activity_Lost	6	-0.02655	-0.262152666666667	0	6
chr5	28243754	28244049	Activity_Lost	1	-0.045541	-0.886818	0	1
chr18	64844958	64845664	Activity_Lost	3	-0.0227596666666667	-0.202249	0	3
chr6	20641453	20641672	Activity_Lost	1	-0.018773	-0.137423	0	1
chr7	38224959	38225291	Activity_Lost	9	-0.0373533333333333	-0.313127222222222	0	9
chr5	106463746	106464310	Activity_Lost	8	-0.022005	-0.1779685	0	8
chr5	38870049	38870202	Activity_Lost	2	-0.0224565	-0.4765265	0	2
chr4	9519344	9519571	Activity_Lost	1	-0.022387	-0.178162	0	1
chr4	26000293	26000880	Activity_Lost	6	-0.013918	-0.0810775	1	5
chr3	137011627	137011889	Activity_Lost	2	-0.014038	-0.099121	0	1
chr4	6441835	6442031	Activity_Lost	1	-0.02814	-0.266092	0	1
chr8	123898650	123898992	Activity_Lost	1	-0.036626	-0.606366	0	1
chr16	24434546	24435049	Activity_Lost	2	-0.0085895	-0.100159	0	0
chr5	106472347	106472503	Activity_Lost	3	-0.0233146666666667	-0.193136333333333	0	3
chr17	25111820	25112370	Activity_Lost	11	-0.0330181818181818	-0.284653272727273	0	11
chr10	59623484	59623822	Activity_Lost	1	-0.0399	-0.380621	0	1
chr16	67850188	67850556	Activity_Lost	1	-0.020563	-0.123244	0	1
chr4	9185276	9185727	Activity_Lost	1	-0.017855	-0.141574	0	1
chr4	98665919	98666159	Activity_Lost	1	-0.010678	-0.051246	0	1
chrX	13467215	13467629	Activity_Lost	5	-0.0443744	-0.4481596	0	5
chr3	137062113	137062403	Activity_Lost	1	-0.014078	-0.026423	0	1
chr18	56985526	56985665	Activity_Lost	1	-0.046797	-0.24695	0	1
chr3	146411907	146412163	Activity_Lost	5	-0.0215286	-0.0769744	0	5
chr2	75929051	75929406	Activity_Lost	6	-0.031839	-0.0996316666666667	0	6
chr6	51853446	51853567	Activity_Lost	3	-0.0137896666666667	-0.0592716666666667	0	3
chr17	10946514	10946879	Activity_Lost	4	-0.02424875	-0.13882775	0	4
chr1	52501829	52502065	Activity_Lost	5	-0.0590932	-0.441537	0	5
chr17	42336608	42336930	Activity_Lost	2	-0.019236	-0.0879745	0	2
chrX	10268805	10269306	Activity_Lost	6	-0.0337103333333333	-0.153470833333333	0	6
chr4	33797966	33798218	Activity_Lost	2	-0.0110395	-0.1220175	0	1
chr12	31917487	31917701	Activity_Lost	6	-0.0149873333333333	-0.1519265	0	6
chr10	93771898	93772300	Activity_Lost	4	-0.01550175	-0.14460225	0	4
chr2	57900237	57901046	Activity_Lost	10	-0.0152208	-0.1182777	1	8
chr4	142080905	142081526	Activity_Lost	7	-0.0185274285714286	-0.349356142857143	1	6
chr18	57781548	57781875	Activity_Lost	4	-0.0181205	-0.0799385	0	4
chr4	135943449	135943716	Activity_Lost	3	-0.0307856666666667	-0.320525333333333	0	3
chr19	17159575	17160450	Activity_Lost	9	-0.0227586666666667	-0.0948154444444444	0	6
chr15	41439703	41440225	Activity_Lost	1	-0.030376	-0.284091	0	1
chr12	100857934	100858365	Activity_Lost	1	-0.014346	-0.24143	0	1
chr3	122207872	122208097	Activity_Lost	9	-0.0280067777777778	-0.225257777777778	0	8
chr6	43295787	43296343	Activity_Lost	9	-0.0329095555555556	-0.0887685555555556	2	7
chr18	13373714	13374425	Activity_Lost	1	-0.02848	-0.161956	0	1
chr16	6086184	6086523	Activity_Lost	2	-0.0167095	-0.037296	0	1
chr1	24586921	24587590	Activity_Lost	1	0.013946	-0.201581	1	0
chr8	57843513	57843877	Activity_Lost	11	-0.0267734545454545	-0.0337316363636364	0	9
chr7	90030600	90030808	Activity_Lost	5	-0.0133992	-0.093435	0	5
chr9	79295146	79295671	Activity_Lost	3	-0.025151	-0.0507473333333333	0	3
chr1	167066887	167067216	Activity_Lost	6	-0.0143461666666667	-0.164688333333333	1	4
chr18	38213971	38214120	Activity_Lost	5	-0.0219852	-0.38318	0	5
chr7	4783621	4784223	Activity_Lost	17	-0.0397751176470588	-0.457209705882353	0	17
chr8	26441185	26442066	Activity_Lost	13	-0.0201803846153846	-0.231662615384615	1	10
chr11	99250097	99250505	Activity_Lost	2	-0.019948	-0.205849	0	2
chr17	42190318	42190860	Activity_Lost	3	-0.0216853333333333	-0.047013	0	3
chr2	141817580	141818035	Activity_Lost	1	-0.006294	-0.101804	0	0
chr10	109003621	109003755	Activity_Lost	1	-0.002964	-0.141633	0	0
chr15	53741551	53741801	Activity_Lost	1	0.034335	0.014373	1	0
chr14	79144600	79144852	Activity_Lost	1	-0.034445	-0.215193	0	1
chr7	45193462	45193688	Activity_Lost	6	-0.0167476666666667	-0.351766	0	5
chr18	39319204	39319635	Activity_Lost	2	0.0008255	-0.0121105	1	1
chr18	38906328	38906696	Activity_Lost	1	-0.027836	-0.555306	0	1
chr9	84178951	84179527	Activity_Lost	3	-0.032544	-0.012811	0	3
chr12	82384734	82385112	Activity_Lost	2	-0.015537	-0.089872	0	2
chr10	109005625	109005760	Activity_Lost	1	-0.005069	-0.270237	0	0
chr3	101694399	101694523	Activity_Lost	2	-0.030107	-0.623225	0	2
chr9	100461734	100462016	Activity_Lost	3	-0.026609	-0.22347	0	3
chr2	139380827	139380968	Activity_Lost	1	-0.012463	-0.022174	0	1
chr10	50063468	50063688	Activity_Lost	4	-0.02786125	-0.03635325	0	4
chr9	45291607	45291890	Activity_Lost	6	-0.017174	-0.138525333333333	0	4
chr18	12791299	12791452	Activity_Lost	2	-0.0148275	-0.096367	0	2
chr15	37733503	37733641	Activity_Lost	1	-0.024742	-0.401867	0	1
chr8	124495011	124495112	Activity_Lost	4	-0.0341755	-0.494609	0	4
chr3	104597031	104597592	Activity_Lost	11	-0.010303	-0.0769978181818182	1	5
chr6	43337438	43337859	Activity_Lost	14	-0.000700142857142857	-0.0474109285714286	5	9
chr18	38890338	38890624	Activity_Lost	1	-0.008918	-0.216665	0	0
chr1	24564234	24564388	Activity_Lost	1	-0.015873	-0.105653	0	1
chr12	29878045	29878362	Activity_Lost	2	-0.0157825	-0.0429815	0	2
chr5	44094952	44095232	Activity_Lost	1	-0.021567	-0.229928	0	1
chr13	84067160	84067549	Activity_Lost	1	-0.022172	-0.548963	0	1
chr5	106050906	106051394	Activity_Lost	7	-0.0190472857142857	-0.0825418571428571	0	7
chr9	72155255	72155756	Activity_Lost	4	-0.02298225	-0.1162855	0	4
chr7	24525814	24525925	Activity_Lost	6	-0.0271888333333333	-0.292529833333333	0	6
chr18	38690331	38691190	Activity_Lost	2	-0.004851	-0.0743035	0	0
chr16	33937635	33938060	Activity_Lost	2	-0.0131875	-0.223018	0	1
chr4	81566699	81566857	Activity_Lost	2	-0.009633	-0.119007	0	0
chr10	108679697	108680150	Activity_Lost	1	-0.005787	-0.142877	0	0
chr8	126735623	126736804	Activity_Lost	5	-0.0108016	-0.132441	0	2
chr2	105804597	105804855	Activity_Lost	2	-0.01619	-0.123097	0	2
chr5	36727245	36727362	Activity_Lost	2	-0.012244	-0.1264295	0	1
chr11	102353039	102353506	Activity_Lost	2	-0.0134275	-0.2067915	0	1
chr10	49789832	49790052	Activity_Lost	2	-0.045885	-0.2921	0	2
chr10	40638897	40639041	Activity_Lost	12	-0.0507241666666667	-0.327772166666667	0	12
chr12	90566482	90566613	Activity_Lost	1	-0.013073	-0.077893	0	1
chr3	103573135	103573386	Activity_Lost	3	-0.0516706666666667	-0.416147666666667	0	3
chr4	40873980	40874489	Activity_Lost	2	-0.0311395	-0.0886095	0	2
chr11	75879941	75880482	Activity_Lost	2	-0.030791	-0.245468	0	2
chr2	34360162	34360480	Activity_Lost	2	-0.022804	-0.12372	0	2
chr1	84952439	84952789	Activity_Lost	6	-0.0629013333333333	-0.137217166666667	0	6
chr15	53848371	53848656	Activity_Lost	1	-0.013506	-0.091281	0	1
chr12	32765830	32766259	Activity_Lost	2	-0.0157245	-0.0908555	0	2
chr15	57578721	57579264	Activity_Lost	5	-0.0165002	-0.0656004	0	4
chr17	11033626	11034022	Activity_Lost	2	-0.012136	-0.1060785	0	2
chr1	48753312	48753701	Activity_Lost	1	-0.052727	-0.052427	0	1
chr10	108724942	108725186	Activity_Lost	1	-0.005547	-0.135533	0	0
chr9	55273977	55274234	Activity_Lost	4	-0.01715175	-0.06812525	0	4
chr3	75942356	75942889	Activity_Lost	2	-0.050021	-0.2382795	0	2
chr6	71968235	71968688	Activity_Lost	1	-0.015032	-0.086993	0	1
chr2	102064902	102065366	Activity_Lost	1	-0.012931	-0.12646	0	1
chr3	109923701	109924131	Activity_Lost	2	-0.0186425	-0.0848285	0	2
chr4	6444256	6444451	Activity_Lost	3	-0.0258063333333333	-0.204580333333333	0	3
chr4	33736106	33736500	Activity_Lost	2	-0.0049605	-0.074592	0	0
chr15	4815757	4816088	Activity_Lost	1	-0.047182	-0.058557	0	1
chr8	67645561	67646013	Activity_Lost	4	-0.02923825	-0.04936125	0	4
chr4	82539436	82539689	Activity_Lost	4	-0.015262	-0.122603	0	4
chr14	79140323	79140506	Activity_Lost	1	-0.025981	-0.165922	0	1
chr5	18367885	18368265	Activity_Lost	6	-0.037865	-0.177693166666667	0	6
chr11	31838493	31838952	Activity_Lost	2	-0.0143915	-0.240757	0	2
chr18	33566046	33566376	Activity_Lost	2	-0.005706	-0.106304	0	0
chr15	68300768	68301124	Activity_Lost	2	-0.0198535	-0.1218655	0	2
chr3	86963088	86963381	Activity_Lost	5	-0.0268688	-0.0811076	0	4
chr14	62879382	62879916	Activity_Lost	1	-0.006397	-0.090961	0	0
chr13	44301937	44302214	Activity_Lost	7	-0.0207701428571429	-0.137858714285714	0	5
chr16	13427421	13427550	Activity_Lost	3	-0.0252916666666667	-0.0996766666666667	0	3
chr3	65108968	65109906	Activity_Lost	5	-0.0094912	-0.0207916	1	3
chr19	4082632	4082793	Activity_Lost	6	-0.025037	-0.661344166666667	0	6
chr4	33893901	33894051	Activity_Lost	1	-0.017601	-0.307883	0	1
chr5	120643691	120644410	Activity_Lost	5	-0.0471414	-0.4176442	0	5
chr3	65262386	65263468	Activity_Lost	6	-0.0057815	-0.00504916666666667	2	3
chr4	137038151	137038357	Activity_Lost	3	-0.0161606666666667	-0.159752666666667	0	1
chr9	91126797	91127254	Activity_Lost	9	-0.026103	-0.308901666666667	0	9
chr4	69116350	69116740	Activity_Lost	1	-0.014677	-0.143562	0	1
chr15	68286917	68287579	Activity_Lost	10	-0.0339298	-0.1071632	0	10
