enh_key	chr	start	end	delta_activity	activity_base_WT	activity_base_KO	mean_delta_abc	mean_delta_unnorm	max_abs_delta_unnorm	n_genes	has_H3K27ac	Fold	FDR	Conc	Conc_mut	Conc_ctrl	p.value	median_distance
chr1:105355465-105355965	chr1	105355465	105355965	0.812424	5.780905	6.593329	0.036043	0.160805	0.160805	1	TRUE	-0.0146645409916147	0.972913237161149	4.54474288126566	4.51099331008163	4.57772094829449	0.931160904744706	995
chr1:105356346-105356960	chr1	105356346	105356960	-0.0980880000000006	17.174478	17.07639	0.002525	-0.0187245	0.018725	2	TRUE	0.0492931420488218	0.869877571448001	7.21476703308005	7.24420344284251	7.1847174775509	0.716966429540683	307115.5
chr1:105358791-105359291	chr1	105358791	105359291	-1.130824	3.437445	2.306621	-0.016389	-0.165892	0.165892	1	FALSE	0.390228310357046	0.109817916705297	5.70634551870409	5.95778409271531	5.40163826716103	0.019671872320148	2331
chr1:105462637-105463137	chr1	105462637	105463137	-2.912501	9.050752	6.138251	-0.016661	-0.152049	0.152049	1	TRUE	1.12378630588775	8.43733033790925e-09	6.82207280167039	7.32927179378049	6.03299009425714	4.81288907869382e-11	106177
chr1:105463809-105464721	chr1	105463809	105464721	-3.770123	20.307896	16.537773	-0.011215	-0.0625426666666667	0.239594	6	TRUE	0.687755223154561	3.40670606915107e-06	7.6013001206516	7.92717274046483	7.17966435172204	5.31464585354813e-08	447666
chr1:105663427-105664110	chr1	105663427	105664110	-2.150386	16.439286	14.2889	-0.005592125	-0.039050875	0.14168	8	TRUE	0.417994632648998	0.0366623472563139	7.12846503429043	7.36376064533293	6.84717006057312	0.00412379669398909	610938.5
chr1:105781352-105781852	chr1	105781352	105781852	0.837028	0.977038	1.814066	0.045028	0.130898	0.130898	1	FALSE	-0.127127373295821	0.608349883286277	6.64927848357775	6.55721646984422	6.73581652470256	0.340039193720536	885
chr1:105844420-105844920	chr1	105844420	105844920	1.421893	1.089322	2.511215	0.0166975	0.0207675	0.035364	2	FALSE	-0.00137914448095552	0.996874671284404	6.75730199949152	6.75029861107668	6.76427155497691	0.992047799418192	809468.5
chr1:105906186-105906686	chr1	105906186	105906686	-8.424754	8.424754	0	-0.0193844	-0.0586082	0.132948	5	FALSE	0.353668462014524	0.0515135093645627	7.38878683383398	7.58569176929652	7.16069496562021	0.00659161908601235	125719
chr1:105908120-105908620	chr1	105908120	105908620	-4.161447	4.161447	0	-0.0121873333333333	-0.051676	0.072887	3	FALSE	0.560934434003367	0.00172162675421851	7.22669650475824	7.51979605774932	6.8584622424506	8.03922179678062e-05	82035
chr1:105990032-105991007	chr1	105990032	105991007	17.185218	0	17.185218	-0.00567055555555556	-0.0498158888888889	0.147532	9	TRUE	0.0758434458960407	0.828045087890905	6.84008649350989	6.90388122501829	6.77333977647554	0.644129048165806	326842.5
chr1:105991037-105991537	chr1	105991037	105991537	7.042115	0	7.042115	0.00596357142857143	-0.0129715714285714	0.059044	7	TRUE	0.0760779242097205	0.828184580736595	5.93823558809083	5.98935273770622	5.88524052935607	0.644413342483683	327427
chr1:105993768-105994268	chr1	105993768	105994268	0.0599640000000008	6.237899	6.297863	0.0127076666666667	-0.010564	0.025449	3	TRUE	0.417152667960277	0.14164874389815	5.07403266806891	5.39070289808033	4.66771591722338	0.0291802199993948	3736
chr1:106043234-106043734	chr1	106043234	106043734	8.649249	0	8.649249	0.0073146	-0.000801600000000001	0.085524	10	FALSE	0.180915520198989	0.291440485197011	7.91587681307954	8.01623317778987	7.80801407734149	0.0922084260426721	310635
chr1:106071194-106072466	chr1	106071194	106072466	3.804797	0	3.804797	0.043137	0.125841	0.125841	1	FALSE	0.332817473386294	0.260402684117761	4.2671558668624	4.5480632986436	3.91799608091843	0.0761238603405254	330157
chr1:106171274-106172001	chr1	106171274	106172001	29.748835	0	29.748835	0.015072	0.00435007692307692	0.429389	13	TRUE	0.110436256807719	0.721581774307348	7.7264075774462	7.80730227267147	7.64070610102869	0.47904751658501	542636.5
chr1:106231827-106232327	chr1	106231827	106232327	-1.558553	6.000006	4.441453	-0.0026925	-0.041063	0.041068	2	TRUE	0.40529351733735	0.0646523906454402	6.03849245836646	6.2762399525891	5.75368263247903	0.00910354977604801	60439.5
chr1:106387180-106387680	chr1	106387180	106387680	1.908603	0	1.908603	0.030249	0.088244	0.088244	1	FALSE	-0.103338789795393	0.72062833941616	5.62179095559073	5.55623747812013	5.68449481320597	0.477671008021914	14557
chr1:106395404-106395904	chr1	106395404	106395904	5.162182	0	5.162182	0.05642275	0.17239825	0.640595	4	FALSE	0.172339102207152	0.530233453082931	5.70671396471238	5.83223178764553	5.56922611178726	0.262665630350799	224016.5
chr1:106407849-106408349	chr1	106407849	106408349	0.658246	0	0.658246	0.031081	0.09067	0.09067	1	FALSE	0.334570184017022	0.237809396105256	4.92468806060262	5.18005321624574	4.61418793653049	0.0657034344098613	6112
chr1:106409436-106409936	chr1	106409436	106409936	0.539261	0	0.539261	0.024045	0.070146	0.070146	1	FALSE	0.0518125353375194	0.89636576304031	4.04242485667978	4.08246197420169	4.00124485207863	0.76758646276005	7699
chr1:106702711-106703211	chr1	106702711	106703211	-0.154823	1.532926	1.378103	0.002752	-0.004163	0.004163	1	FALSE	0.543443435783318	0.00895821657129848	6.06359345133131	6.36215063686876	5.68668533291434	0.000636296603300423	11313
chr1:106712268-106712768	chr1	106712268	106712768	-0.203076	1.739228	1.536152	-0.00186	-0.037515	0.037515	1	TRUE	0.137874859378967	0.663376343682292	6.23728216787468	6.33901082703289	6.1278324468087	0.40379123420254	1756
chr1:106713759-106714524	chr1	106713759	106714524	0.300447	6.595632	6.896079	0.0070842	0.0004892	0.012021	5	TRUE	-0.07962225736061	0.809842567974672	5.50339776383032	5.4304426902354	5.57284050273801	0.613318606870519	147030.5
chr1:106759477-106759993	chr1	106759477	106759993	15.487912	0	15.487912	0.00286436363636364	-0.0163783636363636	0.110111	11	TRUE	0.204711888131212	0.49333490531929	6.85814855848234	7.01789590371981	6.67848441527257	0.230162310434508	769330
chr1:106796283-106796978	chr1	106796283	106796978	0.846893	5.459207	6.3061	0.0114236666666667	0.0131753333333333	0.025875	3	FALSE	0.182611998795891	0.563938823747039	5.29199403522418	5.445766822077	5.11985385994702	0.294335638235965	64541.5
chr1:106870046-106870546	chr1	106870046	106870546	0.093863	0.492493	0.586356	0.017435	0.004557	0.004557	1	FALSE	-0.38594174213015	0.201423122224729	3.31601777944599	2.85581007571739	3.66438437268967	0.050343756411824	9124
chr1:107512189-107512689	chr1	107512189	107512689	-2.663393	2.663393	0	-0.0429866666666667	-0.0678146666666667	0.177121	3	FALSE	0.985858785125803	1.81631637432639e-05	5.69302171948973	6.17110527308851	4.97304645788813	3.6795124232764e-07	112785
chr1:107588157-107588657	chr1	107588157	107588657	-2.276286	13.845716	11.56943	-0.0191332	-0.0915916	0.282657	5	FALSE	0.890410545328367	1.02414762381811e-06	6.66129380989746	7.07842110519174	6.07214261372622	1.26214897790856e-08	188753
chr1:107589755-107590515	chr1	107589755	107590515	-2.702038	32.915742	30.213704	0.00122045454545455	-0.0203621818181818	0.201919	11	TRUE	0.703684922783769	1.16175042086298e-05	8.18084982750955	8.52145637092862	7.73413392226624	2.20054961161512e-07	830408
chr1:107767139-107767639	chr1	107767139	107767639	-0.274849	1.974106	1.699257	-0.014832	-0.002498	0.002498	1	FALSE	0.782971687852251	0.0013784030599513	4.95848968620962	5.39469881676412	4.33022840355591	6.09823857809238e-05	3210195
chr1:109471503-109472003	chr1	109471503	109472003	-3.447044	10.545573	7.098529	0.00184433333333333	-0.0485766666666667	0.12276	3	TRUE	1.22506636406137	1.97052798849986e-14	6.8524785047297	7.37214188848894	6.03231892318059	1.8036989096401e-17	1505831
chr1:10990738-10991238	chr1	10990738	10991238	0.27834	0.594572	0.872912	0.057316	0.048253	0.048253	1	FALSE	-0.190498841315185	0.517736056298986	4.69317763427455	4.52556838159445	4.84332544864388	0.251443370755823	2476
chr1:109929836-109930336	chr1	109929836	109930336	-6.093553	11.200271	5.106718	-0.01869825	-0.171272	0.494013	4	TRUE	1.80236677487873	8.13848368968226e-20	6.40094623259752	7.07962407462112	5.07659184189909	1.29555867814846e-23	1693789.5
chr1:109932609-109933109	chr1	109932609	109933109	-7.440507	15.532933	8.092426	-0.02279275	-0.22249075	0.639598	4	TRUE	1.14247723785588	5.54600760507459e-11	6.89711193587787	7.3985285865243	6.12213279147846	1.60212128298637e-13	1693789.5
chr1:109948501-109949001	chr1	109948501	109949001	-3.867011	10.53247	6.665459	-0.015695	-0.1333735	0.227937	2	TRUE	1.6484715372298	1.2243976093661e-19	6.69268740370804	7.32826610944691	5.52922301172088	2.11153444081601e-23	1235504
chr1:109982180-109982680	chr1	109982180	109982680	-2.382163	13.59542	11.213257	-0.002017	-0.0461925	0.098001	2	TRUE	0.293977675535438	0.201621535809687	7.31630494288735	7.49768683552143	7.1087946102129	0.050441491918958	1693789.5
chr1:109982885-109983385	chr1	109982885	109983385	-0.406059000000003	18.146083	17.740024	0.0082745	-0.0432765	0.098826	2	TRUE	0.293977675535438	0.201621535809687	7.31630494288735	7.49768683552143	7.1087946102129	0.050441491918958	1693789.5
chr1:109985389-109985889	chr1	109985389	109985889	-5.280706	11.834519	6.553813	-0.021344	-0.1462735	0.571511	4	TRUE	0.990439860563811	2.11019515186941e-06	6.17349123832365	6.64170546792431	5.47590730322089	2.97289439293905e-08	1788965
chr1:109993884-109994384	chr1	109993884	109994384	-4.539037	8.987186	4.448149	-0.0183005	-0.142788	0.278736	2	TRUE	0.525109876949395	0.0233241222891649	6.34077677421006	6.64686786172692	5.95175397692255	0.00222776896980695	1303092
chr1:11090744-11091244	chr1	11090744	11091244	-0.00388099999999991	0.777233	0.773352	-0.0121	-0.004281	0.004281	1	FALSE	0.133963872432533	0.679402590269893	4.67527853530345	4.76177998176525	4.58325793774464	0.423896179622528	97530
chr1:111864355-111865168	chr1	111864355	111865168	2.7745	13.05504	15.82954	-0.1095385	-0.021271	0.025212	2	TRUE	0.0528214893401095	0.85889000953596	7.78580273127385	7.81662075156853	7.75431199793788	0.696700026395246	2353585.5
chr1:11413854-11414524	chr1	11413854	11414524	6.639249	5.887366	12.526615	0.0356494	0.0135614	0.025053	5	FALSE	0.032835437026264	0.906499482568964	7.5469416770351	7.5666265774624	7.5269844654885	0.788030036960281	1256987
chr1:114330445-114330945	chr1	114330445	114330945	7.349847	13.63142	20.981267	-0.0256175	0.0045555	0.027271	2	FALSE	0.41581643484643	0.0273105436435431	8.10698638743023	8.33954159858198	7.82960272114847	0.00275561798509974	1909918.5
chr1:114862902-114863402	chr1	114862902	114863402	3.559013	10.903837	14.46285	-0.044828	0.014579	0.048973	2	FALSE	0.635145634774687	0.000435712284503786	7.64548107090861	7.97070549060991	7.2249329046807	1.542697311481e-05	2353585.5
chr1:115686420-115686920	chr1	115686420	115686920	1.118966	0.216199	1.335165	0.082203	0.151204	0.151204	1	FALSE	1.64714499697696	4.55675885679361e-14	6.02145973385293	6.68032655760188	4.77389313227988	4.79540907156428e-17	1915
chr1:118311000-118311989	chr1	118311000	118311989	0.218494	12.549543	12.768037	-0.012274	-0.01944725	0.148387	8	FALSE	0.343190553710439	0.208508116135418	5.40298170916414	5.6471187235176	5.10894353431446	0.0532514161449559	1982122.5
chr1:118321588-118322148	chr1	118321588	118322148	0.675154	2.880301	3.555455	0.0017735	0.0173575	0.025352	2	FALSE	0.44039400275559	0.137959145286553	4.52888955876332	4.89181404904984	4.04282457248536	0.0280468003172697	38659
chr1:118388807-118389402	chr1	118388807	118389402	2.196383	10.928089	13.124472	0.0159718	0.0232577	0.085853	10	FALSE	0.156877023289421	0.629119184199139	5.72451517395059	5.86467300821818	5.56926127728577	0.363660033619427	1099995
chr1:118459161-118459661	chr1	118459161	118459661	0.199994	16.858844	17.058838	-0.00743011111111111	0.0119671111111111	0.249712	9	TRUE	0.174055088119323	0.526919260923071	6.60653259038655	6.73074780086933	6.47060629041465	0.25967105706974	1547482
chr1:118535960-118536460	chr1	118535960	118536460	-0.56308	2.80177	2.23869	0.002967	0.005374	0.005374	1	TRUE	-0.140812755570118	0.686006644697257	3.40142518867624	3.22449950390697	3.55900447217772	0.432441497219911	91734
chr1:118598321-118598821	chr1	118598321	118598821	1.021843	5.720863	6.742706	-0.006569	-0.005534	0.013176	2	TRUE	0.106970668910158	0.741173169492043	6.44156020774924	6.51695825041698	6.36200337179195	0.506182222374999	1123650.5
chr1:118741117-118741617	chr1	118741117	118741617	0.414513	1.836037	2.25055	0.01882	0.023363	0.023363	1	FALSE	0.176841130348066	0.512542391392803	6.31678463496675	6.43404435260901	6.1891443183894	0.247064987344993	113423
chr1:118772222-118772722	chr1	118772222	118772722	0.427357	0.617382	1.044739	0.012578	0.039115	0.039115	1	FALSE	-0.213467408571186	0.405324027724124	5.530839413985	5.38280009051859	5.66509173332868	0.161125199845866	281147
chr1:118789592-118790092	chr1	118789592	118790092	0.815389	3.584274	4.399663	0.01481725	0.01367725	0.024527	4	FALSE	0.10871194798635	0.656402131523118	8.01352983752574	8.07812812700827	7.94590294852449	0.395307750318571	989479.5
chr1:118864604-118865104	chr1	118864604	118865104	1.869549	3.015832	4.885381	-0.0029215	0.025171	0.056398	2	FALSE	-0.0729128271082498	0.815494848143628	8.03160512818697	7.97644510009705	8.08473360286999	0.622655187447221	1070205
chr1:118917779-118918279	chr1	118917779	118918279	1.100402	2.360448	3.46085	0.009462	0.036493	0.036493	1	FALSE	0.251814962299102	0.273602998088566	6.68519517915656	6.83664027550016	6.5159673707327	0.0827719664032493	135590
chr1:118941406-118941906	chr1	118941406	118941906	3.592113	1.201558	4.793671	0.027606	0.078196	0.078196	1	FALSE	0.456489647038562	0.0293514535691294	6.83807832764693	7.09235807696389	6.52918340590708	0.00304170835688033	111963
chr1:119001424-119001924	chr1	119001424	119001924	2.622685	6.268911	8.891596	0.0033715	0.045738	0.095676	2	FALSE	-0.076453829420539	0.760934153033472	8.43126624070898	8.38064989468017	8.48016676255902	0.536394882384291	212837.5
chr1:119033726-119034226	chr1	119033726	119034226	0.0762480000000001	1.998811	2.075059	-0.010544	0.006103	0.006103	1	FALSE	0.0794625860014692	0.812091529983157	6.20641009187786	6.25937041490488	6.1514313006975	0.616716644865475	19643
chr1:119047867-119048367	chr1	119047867	119048367	0.076156	0.780806	0.856962	-0.016552	0.007605	0.007605	1	FALSE	-0.0625836127475107	0.872348907947511	3.36110589628397	3.26153663710736	3.45424468745657	0.721445114473796	5502
chr1:119049737-119050237	chr1	119049737	119050237	0.14647	0.978397	1.124867	-0.018693	0.016948	0.016948	1	FALSE	-0.298693413997791	0.239553844695155	6.08629707474777	5.83733345359714	6.29855424572093	0.0664237412355487	3632
chr1:119098050-119098550	chr1	119098050	119098550	3.519581	0	3.519581	0.0073798	0.0121484	0.03312	5	FALSE	-0.122438694263269	0.647526471814368	7.56410296850698	7.47682434066147	7.6464013637013	0.384735262043235	230899
chr1:119238433-119238933	chr1	119238433	119238933	-0.820966	2.619048	1.798082	-0.015787	-0.018752	0.018752	1	FALSE	-0.620648945573662	0.0017099452236416	6.35966542559617	5.91915919489323	6.69666170106562	7.97560081494769e-05	90516
chr1:119256656-119257460	chr1	119256656	119257460	0.179878	5.256501	5.436379	0.0144916666666667	0.027938	0.07296	3	FALSE	-0.182362155763573	0.501831008032119	7.14769825017659	7.00732669715796	7.27561480898522	0.237679540373963	72141
chr1:119292144-119292644	chr1	119292144	119292644	-0.447738999999999	15.576901	15.129162	0.00495578571428572	0.0199941428571429	0.297141	14	FALSE	-0.247384184805884	0.262959894593588	8.28866780040966	8.1195282024059	8.44004226310543	0.0774172738945038	510528
chr1:119295074-119295574	chr1	119295074	119295574	0.473461	1.378502	1.851963	0.0133505	0.0223385	0.043136	2	FALSE	-0.0921746320905877	0.768029269150466	6.47037152521466	6.38949808655773	6.54695106502667	0.547161313796551	32692
chr1:119308743-119309243	chr1	119308743	119309243	0.721806	0.53866	1.260466	0.0271095	0.0417135	0.051798	2	FALSE	0.0415514726658237	0.906487213540774	5.7389292533612	5.766660680431	5.71065430937256	0.787905886991966	19023
chr1:119328864-119329449	chr1	119328864	119329449	1.960453	0	1.960453	0.1136015	0.1583575	0.309915	2	FALSE	-0.217111234666582	0.36728709461868	6.01049771451092	5.85264986342912	6.15276576287493	0.136520830462921	554485.5
chr1:119391291-119391791	chr1	119391291	119391791	0.0055369999999999	1.477138	1.482675	0.001617	0.009582	0.009582	1	FALSE	0.0213051930507628	0.946395512313815	6.67357945110993	6.68813491767176	6.65887563529389	0.871052765640904	30707
chr1:119421651-119422498	chr1	119421651	119422498	0.660756	2.34099	3.001746	0.01163	0.0189445	0.032031	2	FALSE	-0.319621124991214	0.218192089276411	6.65878496212611	6.40212254724993	6.87660866888677	0.0571400338861482	94058.5
chr1:119494648-119495467	chr1	119494648	119495467	-4.234934	9.382352	5.147418	-0.0272052	-0.0923148	0.636495	10	TRUE	0.162518653456058	0.499622381933041	6.76157058304341	6.86473518269497	6.65045678250633	0.23564742468026	303648.5
chr1:119504544-119505047	chr1	119504544	119505047	0.252672	9.055729	9.308401	-0.000508363636363636	-0.00187118181818182	0.050422	11	TRUE	0.177775476451387	0.520609935441173	7.25159062556217	7.37453939819807	7.11717954523154	0.254116932086678	398333.5
chr1:119525589-119526568	chr1	119525589	119526568	0.66305	7.20178	7.86483	-0.00125616666666667	-0.00141366666666667	0.037484	12	FALSE	0.346242038857689	0.225543747912146	4.78751545726091	5.05872454863503	4.45323782259772	0.0604642418003798	475985
chr1:119650315-119650815	chr1	119650315	119650815	-0.859374	2.487614	1.62824	-0.076068	-0.13064	0.13064	1	FALSE	0.111204981293652	0.738103522729527	5.12579161552309	5.21349637989471	5.03240798254338	0.501881835628587	1565
chr1:119837191-119837863	chr1	119837191	119837863	18.217742	0	18.217742	-0.0065120625	-0.0269285	0.108866	16	TRUE	0.0493566091632404	0.894219021654357	6.87822092752237	6.9178596950516	6.8374622217326	0.762865552301213	297513.5
chr1:119884207-119884707	chr1	119884207	119884707	0.161821	1.664341	1.826162	0.005053	0.00501	0.00501	1	FALSE	0.560869831833385	0.0115702205690741	5.72631030862	6.03210863290997	5.33776137265853	0.000883322535552541	18672
chr1:119891742-119892242	chr1	119891742	119892242	-1.219246	3.157812	1.938566	-0.0110723333333333	-0.061063	0.094151	3	FALSE	0.624626366187658	0.0184026102856229	4.90671406764833	5.29559668992285	4.37268041098264	0.00162513831778663	21216
chr1:119894985-119895485	chr1	119894985	119895485	-0.486801	1.672914	1.186113	-0.003778	-0.0372495	0.040733	2	FALSE	0.238012078246807	0.36385424044966	5.48633167616998	5.63797643354477	5.31685446969075	0.134261636265619	12933.5
chr1:119902565-119903379	chr1	119902565	119903379	-0.829917999999999	6.063546	5.233628	0.00233242857142857	-0.0207567142857143	0.086875	7	TRUE	0.378893380481704	0.0455410308989547	7.33637397527182	7.54490424617163	7.0925255005929	0.00554174572757569	103921
chr1:119912958-119913467	chr1	119912958	119913467	6.444195	0	6.444195	-0.0132372222222222	-0.0567657777777778	0.321204	9	FALSE	0.179463928807299	0.540082097114491	6.56759923266386	6.70309309542062	6.4180485959057	0.271868022301166	160861.5
chr1:120013067-120013567	chr1	120013067	120013567	0.00273499999999999	0.482338	0.485073	-0.0021395	0.000748	0.001077	2	FALSE	0.0618408925888951	0.862294441693423	5.21181270023035	5.2651887815608	5.15638571727749	0.703223754975257	11253.5
chr1:120021908-120022408	chr1	120021908	120022408	0.0693760000000001	0.521399	0.590775	0.00294	0.005115	0.005115	1	FALSE	0.175126907531162	0.591604337823146	4.8720035629304	5.02894511213189	4.69588162418673	0.322778315417029	15265
chr1:120024993-120025493	chr1	120024993	120025493	0.00799400000000006	0.681152	0.689146	0.000269	0.001873	0.001873	1	FALSE	0.502444650307585	0.0539337426752992	5.81212858492321	6.13324966363428	5.39843511023801	0.00704167965045096	18350
chr1:120030401-120030901	chr1	120030401	120030901	3.797547	0	3.797547	0.0110348	0.011529	0.022963	5	FALSE	0.326624512279898	0.226564461102771	5.75440856269361	5.98944690875247	5.47348154492974	0.0608443786389921	43423
chr1:120033045-120033545	chr1	120033045	120033545	-0.082589	1.142781	1.060192	-0.005856	-0.005234	0.005234	1	FALSE	-0.0459280417476256	0.883037498800405	6.14994184841852	6.12188835878046	6.17746022132802	0.740745486145812	26402
chr1:120072800-120073300	chr1	120072800	120073300	0.225268	0.750721	0.975989	0.012688	0.032644	0.032644	1	FALSE	-0.181348882515704	0.542072795276106	5.8242019778851	5.66821757657691	5.96495478299985	0.273589206562239	1024
chr1:120074889-120075389	chr1	120074889	120075389	0.166348	0.563814	0.730162	0.009294	0.0241	0.0241	1	FALSE	-0.0639094132803585	0.846872005621355	5.3962119781224	5.34366371519553	5.44691331477149	0.675536077180464	1065
chr1:120115527-120116027	chr1	120115527	120116027	6.672534	0	6.672534	-0.0166377692307692	-0.0807350769230769	0.467407	13	TRUE	0.266503331593889	0.213878295009143	7.14211789341479	7.30056042384702	6.96410296521998	0.0554338866208335	224804
chr1:120120828-120121436	chr1	120120828	120121436	14.811804	0	14.811804	0.00768315	-0.00243615	0.048721	20	TRUE	0.133990361172115	0.656113328379733	6.5831680105071	6.68066282334232	6.47860406402264	0.395041463945914	476708.5
chr1:120142518-120143018	chr1	120142518	120143018	-0.520959	2.931993	2.411034	0.0023236	-0.0083432	0.021842	5	FALSE	-0.00402533912233101	0.991563472839043	6.37906766984631	6.37635910706742	6.38177115700863	0.978511186417569	145534
chr1:120265084-120265584	chr1	120265084	120265584	1.878307	0	1.878307	0.0250295	0.0115625	0.014088	2	FALSE	-0.0813008319056504	0.771169297601271	6.93711170075781	6.8811033718049	6.99102668817441	0.552111058637911	122858.5
chr1:120321375-120322099	chr1	120321375	120322099	1.239457	0	1.239457	0.0313165	0.015625	0.019258	2	FALSE	0.0665725635826503	0.830788801685083	5.71487980548528	5.76414466560983	5.66387299997993	0.648687891588837	66455.5
chr1:120322967-120323467	chr1	120322967	120323467	-0.040926	0.46421	0.423284	-0.006887	-7e-06	7e-06	1	FALSE	-0.147495060371398	0.655107304282757	4.46241566449331	4.29459052112482	4.61273666811619	0.393716971646316	17364
chr1:120357315-120357815	chr1	120357315	120357815	0.541107	0	0.541107	0.014456	0.007446	0.007794	2	FALSE	-0.569422356359043	0.0493886738186617	4.53851765516222	3.92306894294943	4.96856003331621	0.00619405855882874	47611.5
chr1:120602056-120602667	chr1	120602056	120602667	-1.099527	2.935261	1.835734	-0.0118895	-0.004454	0.012532	4	FALSE	-0.00738820489338454	0.984800947649637	6.54094918302944	6.52904707884351	6.55275389882512	0.961050342427873	349590
chr1:120851859-120852359	chr1	120851859	120852359	-0.16034	0.620608	0.460268	-0.002791	-0.001705	0.001705	1	FALSE	-0.163018200685588	0.553061367361007	5.4013552118281	5.27816391683481	5.51484981090763	0.284241642491578	35610
chr1:120921534-120922034	chr1	120921534	120922034	0.368092	1.96813	2.336222	-0.001128	-0.0007785	0.001876	2	FALSE	-0.0638179149338983	0.822430925106697	7.46516810608319	7.42098212668463	7.50804090410737	0.634623146793749	135452.5
chr1:121087086-121087654	chr1	121087086	121087654	0.080095	1.49406	1.574155	-0.022548	-0.0086705	0.01074	2	FALSE	-0.352490725823534	0.234044365731206	4.14027613590447	3.72748902603918	4.46085231028328	0.0640453579939947	508830
chr1:121180242-121180742	chr1	121180242	121180742	0.0679489999999999	0.601392	0.669341	0.016838	0.00847	0.010085	2	FALSE	-0.246460320129279	0.269135968142729	6.85111035340425	6.67963394129055	7.00435337531533	0.0805744147017207	310929
chr1:121290324-121290824	chr1	121290324	121290824	1.863576	0	1.863576	0.0385	0.016502	0.016502	1	FALSE	0.208101402128718	0.496963533827541	4.70727563446728	4.87902805680428	4.51227760898331	0.232994795822407	66299
chr1:121327611-121328111	chr1	121327611	121328111	15.076822	0	15.076822	-0.0416633571428571	-0.137578785714286	2.053933	14	TRUE	0.434648948410332	0.114396664003479	5.63075962233014	5.94061349933158	5.23562393918007	0.0209605306733179	618403
chr1:121430798-121431782	chr1	121430798	121431782	1.487549	6.787273	8.274822	0.00602511111111111	-0.00327022222222222	0.088563	9	TRUE	0.129982459913567	0.668161937784221	6.41224499026048	6.50626850319521	6.31166391152689	0.409734920458655	343886
chr1:121440997-121441497	chr1	121440997	121441497	0.334325	0.40698	0.741305	0.00845	0.02259	0.02259	1	FALSE	-0.152952747227114	0.63916785824661	4.07716035405829	3.9349295291539	4.20661885547302	0.375443920236948	10199
