chr	start	end	enhancer_class	n_loops	mean_loop_distance	n_promoter_loops
chr16	33836799	33836938	Activity_Lost	1	1e+05	0
chr18	39046056	39046171	Activity_Lost	2	50000	0
chr10	7323267	7323619	Activity_Lost	5	162000	1
chr10	66228121	66228584	Activity_Lost	1	45000	0
chr7	48785286	48785554	Activity_Lost	5	398000	0
chr9	91122535	91122933	Activity_Lost	4	650000	1
chr8	26763156	26763519	Activity_Lost	1	210000	1
chr14	105708711	105709060	Activity_Lost	0	NA	0
chr15	86219702	86220149	Activity_Lost	5	98000	3
chr6	43445785	43446159	Activity_Lost	2	165000	1
chr8	26748495	26749211	Activity_Lost	1	230000	1
chr10	108930229	108930580	Activity_Lost	0	NA	0
chr10	108649160	108649602	Activity_Lost	0	NA	0
chr16	41903688	41904110	Activity_Lost	0	NA	0
chr5	49682296	49682431	Activity_Lost	0	NA	0
chr12	31818035	31818345	Activity_Lost	1	80000	0
chr6	106920956	106921331	Activity_Lost	5	514000	2
chr3	136969785	136970156	Activity_Lost	0	NA	0
chr2	139284296	139284824	Activity_Lost	3	530000	0
chr1	59404254	59404418	Activity_Lost	1	180000	0
chr8	25353907	25354321	Activity_Lost	1	70000	1
chr6	59351190	59351562	Activity_Lost	0	NA	0
chr16	96161606	96161789	Activity_Lost	0	NA	0
chr15	42676242	42676418	Activity_Lost	6	555833.333333333	4
chr9	90701515	90701627	Activity_Lost	2	535000	1
chr16	96200267	96200902	Activity_Lost	0	NA	0
chr14	16074168	16074527	Activity_Lost	0	NA	0
chr18	68827195	68827668	Activity_Lost	0	NA	0
chr1	133978617	133979011	Activity_Lost	0	NA	0
chr14	122224634	122224784	Activity_Lost	7	489285.714285714	1
chr2	138477195	138477759	Activity_Lost	5	376000	1
chr9	75785805	75786251	Activity_Lost	3	818333.333333333	2
chr16	33670397	33670839	Activity_Lost	1	60000	0
chr8	87220671	87220991	Activity_Lost	3	240000	0
chr18	39009900	39010439	Activity_Lost	1	35000	0
chr4	98598533	98598697	Activity_Lost	0	NA	0
chr16	41938249	41938544	Activity_Lost	4	213750	0
chr6	147029703	147030098	Activity_Lost	4	523750	4
chr8	57837102	57837707	Activity_Lost	1	3150000	1
chr19	22635777	22635892	Activity_Lost	6	183333.333333333	0
chr15	42674884	42675275	Activity_Lost	8	535625	6
chr11	93623680	93623936	Activity_Lost	1	2e+05	0
chr11	43507952	43508293	Activity_Lost	1	2e+05	0
chr4	75394914	75395290	Activity_Lost	1	70000	0
chr18	39356935	39357228	Activity_Lost	1	35000	0
chr18	33609208	33609441	Activity_Lost	3	113333.333333333	1
chr10	108822340	108822779	Activity_Lost	0	NA	0
chr9	90700126	90700439	Activity_Lost	2	535000	1
chr4	33799190	33799536	Activity_Lost	8	255625	1
chr12	31896004	31896153	Activity_Lost	3	123333.333333333	1
chr18	12814622	12815124	Activity_Lost	0	NA	0
chr4	142071704	142072060	Activity_Lost	0	NA	0
chr11	18751370	18751894	Activity_Lost	8	443750	4
chr1	83451386	83451637	Activity_Lost	1	40000	0
chr13	108170608	108170917	Activity_Lost	5	810000	2
chr4	82532512	82532723	Activity_Lost	8	6e+05	3
chr2	73985601	73986146	Activity_Lost	1	4e+05	1
chr18	39187783	39188279	Activity_Lost	0	NA	0
chr12	118112490	118112942	Activity_Lost	3	148333.333333333	1
chr3	69797602	69797953	Activity_Lost	2	50000	1
chr14	27238743	27238811	Activity_Lost	0	NA	0
chr15	79000527	79001298	Activity_Lost	0	NA	0
chr9	75883696	75884067	Activity_Lost	1	1e+05	0
chr1	146800073	146800380	Activity_Lost	3	403333.333333333	2
chr14	60704734	60704831	Activity_Lost	1	55000	0
chr6	86480343	86480876	Activity_Lost	0	NA	0
chr19	17153932	17154228	Activity_Lost	1	60000	0
chr3	141600981	141601564	Activity_Lost	2	812500	1
chr15	86225241	86225600	Activity_Lost	13	1130000	1
chr14	93876060	93876277	Activity_Lost	8	2065625	1
chr10	50169203	50169419	Activity_Lost	0	NA	0
chr2	136687522	136687656	Activity_Lost	1	850000	0
chr7	130553244	130553621	Activity_Lost	1	2e+05	1
chr1	23629387	23629675	Activity_Lost	0	NA	0
chr14	122230353	122231045	Activity_Lost	2	165000	1
chr15	86234748	86235344	Activity_Lost	11	1322727.27272727	1
chr10	108852791	108853071	Activity_Lost	2	837500	0
chr16	37622984	37623313	Activity_Lost	0	NA	0
chr4	3711906	3712474	Activity_Lost	0	NA	0
chr15	36890844	36890937	Activity_Lost	3	85000	3
chr4	104455252	104455376	Activity_Lost	7	527142.857142857	0
chr1	137698953	137699282	Activity_Lost	7	146428.571428571	3
chr10	108979741	108979927	Activity_Lost	0	NA	0
chr8	114657645	114658130	Activity_Lost	0	NA	0
chr15	94893285	94893459	Activity_Lost	4	126250	0
chr16	33733889	33734181	Activity_Lost	4	226250	0
chr3	140933200	140933477	Activity_Lost	0	NA	0
chr13	76301998	76302339	Activity_Lost	5	201000	1
chr18	64750640	64750803	Activity_Lost	2	162500	1
chr10	40103852	40104161	Activity_Lost	0	NA	0
chr16	41675852	41676289	Activity_Lost	2	150000	0
chr6	28576382	28576937	Activity_Lost	1	40000	0
chr15	88579425	88579866	Activity_Lost	0	NA	0
chr8	124495775	124495872	Activity_Lost	1	90000	0
chr10	49807320	49807660	Activity_Lost	1	260000	0
chr3	123906406	123906543	Activity_Lost	0	NA	0
chr5	106088928	106089063	Activity_Lost	2	62500	0
chr4	104450782	104450955	Activity_Lost	8	465625	0
chr3	123828732	123829134	Activity_Lost	4	206250	2
chr6	122782134	122782554	Activity_Lost	3	95000	0
chr12	100717418	100717694	Activity_Lost	2	312500	1
chr3	122247318	122247486	Activity_Lost	3	53333.3333333333	1
chr16	96161021	96161206	Activity_Lost	0	NA	0
chr16	72800184	72800603	Activity_Lost	2	102500	0
chr1	52264413	52264574	Activity_Lost	0	NA	0
chr8	35948846	35949182	Activity_Lost	3	1691666.66666667	2
chr2	132513552	132514650	Activity_Lost	6	235000	3
chr1	133886869	133887390	Activity_Lost	1	150000	0
chr18	64777861	64778168	Activity_Lost	1	70000	0
chr5	129395327	129395457	Activity_Lost	1	2e+05	1
chr14	93826089	93826392	Activity_Lost	1	45000	0
chr2	58135113	58135384	Activity_Lost	5	440000	1
chr8	25348126	25348598	Activity_Lost	1	40000	1
chr3	65116954	65117238	Activity_Lost	5	512000	2
chr15	31999554	31999847	Activity_Lost	0	NA	0
chr4	98623373	98623523	Activity_Lost	1	80000	0
chr5	106277199	106277616	Activity_Lost	7	180714.285714286	2
chr15	37734826	37734917	Activity_Lost	2	225000	0
chr10	109684187	109684555	Activity_Lost	2	747500	1
chrX	158373264	158373559	Activity_Lost	1	440000	0
chr15	37515566	37515775	Activity_Lost	2	130000	0
chr19	17136628	17137258	Activity_Lost	1	1e+05	1
chr6	104318404	104319020	Activity_Lost	6	655000	3
chr4	82587608	82587797	Activity_Lost	5	389000	0
chr5	68274329	68274602	Activity_Lost	4	646250	1
chr7	109399375	109399599	Activity_Lost	0	NA	0
chr10	109699832	109700227	Activity_Lost	5	685000	1
chr11	99281267	99281453	Activity_Lost	0	NA	0
chr10	63092679	63093506	Activity_Lost	0	NA	0
chr2	138265374	138265603	Activity_Lost	0	NA	0
chr4	83210500	83210749	Activity_Lost	0	NA	0
chr3	79821185	79821424	Activity_Lost	3	533333.333333333	0
chr16	42910821	42911033	Activity_Lost	9	489444.444444444	1
chr5	93221758	93222019	Activity_Lost	0	NA	0
chr16	43080934	43081103	Activity_Lost	0	NA	0
chr13	20474767	20474864	Activity_Lost	10	639500	1
chr9	60648925	60648967	Activity_Lost	0	NA	0
chr2	139356528	139357014	Activity_Lost	3	826666.666666667	0
chr6	85522824	85523354	Activity_Lost	0	NA	0
chr14	122229280	122229374	Activity_Lost	3	355000	1
chr6	24172896	24173065	Activity_Lost	2	120000	0
chr15	68275279	68275999	Activity_Lost	0	NA	0
chr12	118098287	118098650	Activity_Lost	0	NA	0
chr10	20023573	20023922	Activity_Lost	1	90000	1
chr6	51848895	51849483	Activity_Lost	1	1175000	1
chr11	102748316	102748681	Activity_Lost	1	250000	0
chr11	73015929	73016116	Activity_Lost	1	180000	1
chr15	86226004	86226184	Activity_Lost	13	1130000	1
chr4	67892019	67892351	Activity_Lost	6	642500	0
chr10	25112901	25113046	Activity_Lost	3	113333.333333333	1
chr11	93641039	93641225	Activity_Lost	3	126666.666666667	0
chr3	79823219	79823625	Activity_Lost	3	533333.333333333	0
chr2	101598515	101598795	Activity_Lost	2	90000	1
chr14	27246572	27246747	Activity_Lost	0	NA	0
chr16	72913161	72913603	Activity_Lost	1	110000	0
chr11	31771069	31771887	Activity_Lost	0	NA	0
chr5	133935137	133935454	Activity_Lost	4	1038750	1
chr10	46345398	46345677	Activity_Lost	1	3450000	1
chr8	57569336	57569673	Activity_Lost	2	162500	1
chr3	122206092	122206600	Activity_Lost	2	37500	1
chr9	90691944	90692151	Activity_Lost	18	954444.444444444	3
chr12	31825946	31826157	Activity_Lost	0	NA	0
chr1	24227018	24227152	Activity_Lost	6	383333.333333333	1
chr6	43402997	43403430	Activity_Lost	2	165000	1
chr2	141844699	141845106	Activity_Lost	0	NA	0
chr4	34498691	34499322	Activity_Lost	1	60000	1
chr16	43080458	43080767	Activity_Lost	0	NA	0
chr2	105800712	105801006	Activity_Lost	3	198333.333333333	1
chr8	115432576	115433087	Activity_Lost	3	168333.333333333	0
chr2	79462015	79462237	Activity_Lost	5	1550000	1
chr8	115439657	115439858	Activity_Lost	2	230000	0
chr12	26100226	26100424	Activity_Lost	0	NA	0
chr12	90623433	90623798	Activity_Lost	5	284000	0
chr8	87671630	87671901	Activity_Lost	1	425000	0
chr4	81579110	81579288	Activity_Lost	1	150000	1
chr7	30333527	30333818	Activity_Lost	2	1e+05	2
chr18	39094448	39094889	Activity_Lost	5	110000	1
chr18	35440021	35440473	Activity_Lost	0	NA	0
chr12	89689056	89689482	Activity_Lost	0	NA	0
chr10	108798916	108799130	Activity_Lost	2	415000	1
chr4	149461458	149462227	Activity_Lost	2	62500	1
chr4	142077604	142077733	Activity_Lost	2	1362500	1
chr13	56698381	56698773	Activity_Lost	0	NA	0
chr11	42916462	42917108	Activity_Lost	8	460000	3
chr10	15300794	15300965	Activity_Lost	8	2244375	1
chr8	40272330	40272638	Activity_Lost	0	NA	0
chr18	39067274	39067469	Activity_Lost	0	NA	0
chr4	3690928	3691521	Activity_Lost	2	1500000	1
chr11	75133469	75133640	Activity_Lost	1	35000	1
chr8	67842299	67842582	Activity_Lost	1	50000	0
chr9	28489959	28490903	Activity_Lost	5	103000	0
chr16	33862537	33862739	Activity_Lost	1	75000	0
chr18	13398074	13398583	Activity_Lost	4	411250	3
chr11	42903498	42903883	Activity_Lost	5	446000	2
chr1	173369759	173369889	Activity_Lost	7	3782142.85714286	5
chr1	137591311	137591583	Activity_Lost	3	225000	1
chr10	128938545	128938831	Activity_Lost	0	NA	0
chr6	24175374	24175731	Activity_Lost	3	98333.3333333333	0
chr13	52378348	52378734	Activity_Lost	3	113333.333333333	1
chr10	17131830	17131998	Activity_Lost	5	653000	3
chr1	133873225	133873430	Activity_Lost	0	NA	0
chr15	37432520	37432748	Activity_Lost	0	NA	0
chr4	81573763	81574091	Activity_Lost	7	950000	1
chr10	96842117	96842221	Activity_Lost	9	329444.444444444	0
chr18	12790606	12790833	Activity_Lost	1	60000	0
chr10	109010583	109011727	Activity_Lost	4	625000	0
chr2	26300363	26301057	Activity_Lost	2	75000	2
chr18	30748372	30748762	Activity_Lost	0	NA	0
chr6	28804075	28804219	Activity_Lost	1	1e+05	0
chr11	18756768	18756864	Activity_Lost	6	421666.666666667	4
chr16	37584310	37585020	Activity_Lost	2	57500	2
chr2	132509398	132509608	Activity_Lost	4	281250	3
chr1	178991061	178991284	Activity_Lost	0	NA	0
chr4	81580567	81580904	Activity_Lost	1	150000	1
chr1	59469239	59469632	Activity_Lost	0	NA	0
chr6	6115873	6116344	Activity_Lost	2	285000	0
chr8	124494344	124495001	Activity_Lost	2	75000	0
chr6	20604240	20604571	Activity_Lost	1	40000	0
chr3	65218291	65218466	Activity_Lost	0	NA	0
chr18	38918106	38918867	Activity_Lost	0	NA	0
chr18	38888589	38888717	Activity_Lost	0	NA	0
chr17	48598475	48599058	Activity_Lost	2	325000	0
chr10	7260589	7261029	Activity_Lost	3	1e+05	1
chr16	33882672	33882890	Activity_Lost	2	52500	1
chr9	42229974	42230152	Activity_Lost	5	309000	0
chr15	39755618	39755826	Activity_Lost	0	NA	0
chr17	48583292	48583850	Activity_Lost	1	6e+05	0
chr2	28416630	28416753	Activity_Lost	7	294285.714285714	0
chr1	133908645	133909058	Activity_Lost	1	125000	1
chr5	28243754	28244049	Activity_Lost	1	8650000	0
chr18	64844958	64845664	Activity_Lost	2	55000	1
chr6	20641453	20641672	Activity_Lost	13	682307.692307692	2
chr2	49562741	49563168	Activity_Lost	1	60000	0
chr1	193272459	193273185	Activity_Lost	1	1e+05	1
chr4	9114007	9114310	Activity_Lost	0	NA	0
chr7	38224959	38225291	Activity_Lost	2	40000	1
chr6	13975189	13975444	Activity_Lost	0	NA	0
chr5	106463746	106464310	Activity_Lost	10	250500	4
chr5	38870049	38870202	Activity_Lost	9	462222.222222222	1
chr4	9519344	9519571	Activity_Lost	2	105000	1
chr4	133553362	133553824	Activity_Lost	0	NA	0
chr4	26000293	26000880	Activity_Lost	3	326666.666666667	1
chr3	137011627	137011889	Activity_Lost	1	90000	0
chr2	57951769	57952157	Activity_Lost	1	50000	0
chr10	108952249	108952501	Activity_Lost	0	NA	0
chr4	6441835	6442031	Activity_Lost	4	2093750	2
chr8	123898650	123898992	Activity_Lost	2	80000	0
chr3	140952463	140952669	Activity_Lost	7	870714.285714286	1
chr10	40372466	40372623	Activity_Lost	2	322500	2
chr11	69685558	69686150	Activity_Lost	2	130000	2
chr16	24434546	24435049	Activity_Lost	1	45000	1
chr5	106472347	106472503	Activity_Lost	5	285000	1
chr6	88559801	88559948	Activity_Lost	5	599000	2
chr3	51727578	51727777	Activity_Lost	0	NA	0
chr2	79414670	79414948	Activity_Lost	3	5658333.33333333	1
chr17	25111820	25112370	Activity_Lost	1	95000	1
chr10	59623484	59623822	Activity_Lost	4	172500	0
chr6	33804854	33805078	Activity_Lost	1	3e+05	0
chr16	67850188	67850556	Activity_Lost	1	115000	0
chr4	9185276	9185727	Activity_Lost	1	80000	1
chr2	79379839	79379964	Activity_Lost	4	452500	2
chr4	27491250	27491630	Activity_Lost	3	375000	0
chr4	98665919	98666159	Activity_Lost	3	381666.666666667	1
chrX	13467215	13467629	Activity_Lost	3	181666.666666667	2
chr15	40435129	40435493	Activity_Lost	0	NA	0
chr3	137062113	137062403	Activity_Lost	0	NA	0
chr18	56985526	56985665	Activity_Lost	1	230000	0
chr11	33203452	33203925	Activity_Lost	1	40000	1
chr3	146411907	146412163	Activity_Lost	5	1586000	4
chr2	75929051	75929406	Activity_Lost	1	275000	1
chr16	41872000	41872537	Activity_Lost	2	105000	0
chr6	51853446	51853567	Activity_Lost	11	632727.272727273	7
chr17	10946514	10946879	Activity_Lost	1	1e+05	1
chr1	52501829	52502065	Activity_Lost	4	431250	2
chr17	42336608	42336930	Activity_Lost	0	NA	0
chrX	10268805	10269306	Activity_Lost	1	50000	1
chr14	79144364	79144486	Activity_Lost	1	175000	1
chr11	33300960	33301154	Activity_Lost	0	NA	0
chr4	33797966	33798218	Activity_Lost	8	255625	1
chr18	35739781	35739856	Activity_Lost	0	NA	0
chr12	31917487	31917701	Activity_Lost	5	5535000	3
chr16	42911402	42911604	Activity_Lost	9	489444.444444444	1
chr10	93771898	93772300	Activity_Lost	0	NA	0
chr2	57900237	57901046	Activity_Lost	11	430000	2
chr4	82532840	82533058	Activity_Lost	8	6e+05	3
chr4	142080905	142081526	Activity_Lost	2	1362500	1
chr9	31290386	31290682	Activity_Lost	0	NA	0
chr15	40533389	40533785	Activity_Lost	3	345000	1
chr18	57781548	57781875	Activity_Lost	5	140000	1
chr4	135943449	135943716	Activity_Lost	1	70000	1
chr19	17159575	17160450	Activity_Lost	2	70000	0
chr15	41439703	41440225	Activity_Lost	4	140000	0
chr16	43029370	43029565	Activity_Lost	0	NA	0
chr12	100857934	100858365	Activity_Lost	1	180000	0
chr3	122207872	122208097	Activity_Lost	2	37500	1
chr6	43295787	43296343	Activity_Lost	16	456875	5
chr18	13373714	13374425	Activity_Lost	0	NA	0
chr16	6086184	6086523	Activity_Lost	4	310000	0
chr1	24586921	24587590	Activity_Lost	1	70000	0
chr8	57843513	57843877	Activity_Lost	2	1625000	1
chr7	90030600	90030808	Activity_Lost	1	90000	1
chr9	79295146	79295671	Activity_Lost	6	258333.333333333	3
chr16	32165423	32165809	Activity_Lost	0	NA	0
chr1	167066887	167067216	Activity_Lost	3	155000	0
chr18	38213971	38214120	Activity_Lost	6	119166.666666667	4
chr7	4783621	4784223	Activity_Lost	3	325000	2
chr8	26441185	26442066	Activity_Lost	7	183571.428571429	1
chr11	99250097	99250505	Activity_Lost	0	NA	0
chr17	42190318	42190860	Activity_Lost	3	155000	0
chr2	141817580	141818035	Activity_Lost	4	543750	1
chr10	109003621	109003755	Activity_Lost	6	450833.333333333	0
chr15	53741551	53741801	Activity_Lost	1	120000	0
chr12	76872830	76872990	Activity_Lost	1	925000	0
chr18	64770041	64770369	Activity_Lost	3	131666.666666667	1
chr14	79144600	79144852	Activity_Lost	1	175000	1
chr7	45193462	45193688	Activity_Lost	0	NA	0
chr4	82536795	82536902	Activity_Lost	10	5e+05	3
chr18	39319204	39319635	Activity_Lost	2	260000	1
chr18	38906328	38906696	Activity_Lost	0	NA	0
chr1	176940314	176940456	Activity_Lost	5	770000	3
chr9	84178951	84179527	Activity_Lost	0	NA	0
chr12	82384734	82385112	Activity_Lost	0	NA	0
chr2	141861951	141862178	Activity_Lost	2	232500	0
chr15	53760644	53760792	Activity_Lost	5	759000	3
chr10	109005625	109005760	Activity_Lost	7	454285.714285714	0
chr3	101694399	101694523	Activity_Lost	8	171250	3
chr9	100461734	100462016	Activity_Lost	3	450000	0
chr2	139380827	139380968	Activity_Lost	5	680000	2
chr2	154495138	154495321	Activity_Lost	1	60000	1
chr10	50063468	50063688	Activity_Lost	6	232500	2
chr9	45291607	45291890	Activity_Lost	1	1e+05	1
chr13	54282791	54282924	Activity_Lost	4	602500	3
chr18	12791299	12791452	Activity_Lost	1	60000	0
chr15	37733503	37733641	Activity_Lost	2	225000	0
chr8	124495011	124495112	Activity_Lost	1	90000	0
chr3	104597031	104597592	Activity_Lost	2	50000	0
chr6	43337438	43337859	Activity_Lost	5	543000	3
chr18	38890338	38890624	Activity_Lost	1	35000	1
chr1	164863038	164863857	Activity_Lost	3	53333.3333333333	0
chr1	24564234	24564388	Activity_Lost	0	NA	0
chr12	29878045	29878362	Activity_Lost	4	745000	3
chr5	44094952	44095232	Activity_Lost	2	52500	0
chr13	84067160	84067549	Activity_Lost	11	7212272.72727273	7
chr5	106050906	106051394	Activity_Lost	3	101666.666666667	0
chr9	72155255	72155756	Activity_Lost	0	NA	0
chr7	24525814	24525925	Activity_Lost	0	NA	0
chr18	38690331	38691190	Activity_Lost	1	90000	1
chr16	37612138	37612340	Activity_Lost	1	160000	0
chr8	57573995	57574090	Activity_Lost	4	156250	2
chr16	33937635	33938060	Activity_Lost	3	75000	1
chr4	81566699	81566857	Activity_Lost	14	954642.857142857	2
chr2	52248313	52248692	Activity_Lost	2	52500	0
chr10	108679697	108680150	Activity_Lost	0	NA	0
chr8	126735623	126736804	Activity_Lost	5	140000	2
chr2	105804597	105804855	Activity_Lost	3	198333.333333333	1
chr18	39358536	39358709	Activity_Lost	1	35000	0
chr5	36727245	36727362	Activity_Lost	2	2e+05	2
chr11	102353039	102353506	Activity_Lost	1	40000	1
chr10	49789832	49790052	Activity_Lost	12	966250	0
chr10	40638897	40639041	Activity_Lost	3	425000	2
chr2	58174515	58174927	Activity_Lost	0	NA	0
chr12	90566482	90566613	Activity_Lost	13	571153.846153846	1
chr3	103573135	103573386	Activity_Lost	4	123750	0
chr2	110909646	110909783	Activity_Lost	1	35000	0
chr4	40873980	40874489	Activity_Lost	0	NA	0
chr11	75879941	75880482	Activity_Lost	0	NA	0
chr2	34360162	34360480	Activity_Lost	0	NA	0
chr3	123906054	123906193	Activity_Lost	0	NA	0
chr1	84952439	84952789	Activity_Lost	0	NA	0
chr15	53848371	53848656	Activity_Lost	1	1850000	1
chr2	102117485	102117671	Activity_Lost	0	NA	0
chr12	32765830	32766259	Activity_Lost	3	1e+05	2
chr9	29568559	29568886	Activity_Lost	3	991666.666666667	0
chr15	57578721	57579264	Activity_Lost	5	985000	5
chr17	11033626	11034022	Activity_Lost	1	175000	0
chr16	64332637	64333013	Activity_Lost	0	NA	0
chr1	48753312	48753701	Activity_Lost	0	NA	0
chr10	108724942	108725186	Activity_Lost	2	937500	0
chr16	43359569	43359916	Activity_Lost	0	NA	0
chr9	55273977	55274234	Activity_Lost	0	NA	0
chr3	75942356	75942889	Activity_Lost	0	NA	0
chr6	71968235	71968688	Activity_Lost	0	NA	0
chr2	58175649	58175820	Activity_Lost	4	228750	1
chr16	37449845	37450225	Activity_Lost	3	203333.333333333	1
chr6	119855612	119855716	Activity_Lost	0	NA	0
chr2	102064902	102065366	Activity_Lost	1	1e+06	1
chr16	43303268	43303751	Activity_Lost	0	NA	0
chr14	60372784	60373210	Activity_Lost	1	70000	0
chr3	109923701	109924131	Activity_Lost	0	NA	0
chr12	100696742	100696928	Activity_Lost	1	60000	0
chr3	51728142	51728355	Activity_Lost	0	NA	0
chr4	6444256	6444451	Activity_Lost	4	2093750	2
chr6	89453389	89453602	Activity_Lost	0	NA	0
chr4	33736106	33736500	Activity_Lost	4	155000	1
chr15	4815757	4816088	Activity_Lost	5	450000	1
chr8	67645561	67646013	Activity_Lost	2	187500	0
chr4	82539436	82539689	Activity_Lost	10	5e+05	3
chr14	79140323	79140506	Activity_Lost	1	175000	1
chr5	68329326	68329539	Activity_Lost	5	544000	1
chr5	18367885	18368265	Activity_Lost	5	15085000	3
chr11	31838493	31838952	Activity_Lost	0	NA	0
chr11	7047354	7047881	Activity_Lost	0	NA	0
chr6	28551353	28551487	Activity_Lost	0	NA	0
chr18	33566046	33566376	Activity_Lost	3	108333.333333333	0
