chr	start	end	tertile	log2FC_K119ub
chr10	106510126	106510272	T3_high	0.887432780046491
chr12	11608886	11608978	T1_low	0.53693568921995
chr10	37907795	37908262	T2_mid	0.616231968171258
chr15	26338480	26338602	T3_high	0.689990883321684
chr18	38878436	38879144	T3_high	0.735861823117104
chr3	138054032	138054196	T2_mid	0.583326886902378
chr1	151994272	151994711	T2_mid	0.645312814002242
chr1	14108404	14108825	T1_low	0.385055930877184
chr13	19022392	19022700	T3_high	0.821328940477727
chr10	109665002	109665166	T3_high	0.944608905638931
chr1	59312335	59313105	T3_high	0.722656872370198
chr5	71753987	71754290	T3_high	0.691430052466328
chrX	13469521	13470050	T2_mid	0.602822064345662
chr15	26729204	26729594	T2_mid	0.578825737411704
chr3	85485672	85486125	T2_mid	0.555174108395475
chr12	70624374	70624681	T1_low	0.461281305350985
chr18	38958010	38958147	T3_high	0.749813015503615
chr8	79206855	79207255	T3_high	0.760148815677888
chr4	47608728	47609081	T1_low	0.408102074473634
chr6	58964288	58964426	T3_high	0.721807820413368
chr6	88793404	88793495	T2_mid	0.595505768697692
chr13	111204610	111205051	T1_low	0.505050113409427
chr8	31114983	31115146	T3_high	1.01210287919731
chr4	75827381	75827636	T2_mid	0.677189268789049
chr2	94287546	94287701	T2_mid	0.648606523148674
chr3	153324192	153324643	T3_high	0.879704055668653
chr4	47693119	47693587	T2_mid	0.643721960970992
chr14	93544346	93544505	T3_high	0.744050212775273
chr2	129576632	129577520	T1_low	0.390591325507378
chr4	75562671	75562814	T1_low	0.518627167294058
chr13	92879621	92879830	T2_mid	0.611925726536941
chr16	42165052	42165247	T2_mid	0.593674361925505
chr17	80480422	80480756	T2_mid	0.579183044194697
chr14	93543679	93544026	T3_high	0.726009670279787
chr8	15004792	15005161	T2_mid	0.66168232698374
chr14	34936291	34936535	T3_high	0.733643944098063
chr15	22584721	22585102	T1_low	0.48312671802341
chr4	53196011	53196776	T1_low	0.469372250792883
chr13	93787667	93787921	T1_low	0.414397657486216
chr7	114290032	114290539	T2_mid	0.653541150073499
chr3	78066546	78066590	T1_low	0.497342461135138
chr5	77459933	77460754	T1_low	0.370849873654476
chr10	53379930	53380412	T3_high	0.861225999461803
chr11	43517909	43518029	T2_mid	0.637454442141823
chr15	12452394	12452529	T3_high	1.28614288329713
chr4	99829060	99829793	T3_high	0.945950480331761
chr16	63091402	63091864	T3_high	1.15829266789669
chr15	4559007	4559558	T2_mid	0.646843169481505
chr10	114890710	114891348	T3_high	0.895314682538947
chr14	73474855	73475068	T3_high	0.740863331040446
chr16	49497833	49497961	T1_low	0.537031937135559
chr4	86664112	86664249	T3_high	1.04218067366009
chr12	26205952	26206449	T1_low	0.450586551478144
chr13	109092713	109092988	T2_mid	0.649590072946715
chr12	73954844	73955014	T3_high	1.06618464473645
chr16	24390470	24390804	T2_mid	0.68031574275724
chr14	52023258	52023432	T2_mid	0.57665003850811
chr12	25947137	25947569	T2_mid	0.62108980825498
chr13	30985519	30986411	T1_low	0.497138418261526
chr7	74423966	74424397	T1_low	0.440321825244909
chr5	59756349	59756416	T3_high	0.817118356103836
chr15	58788607	58789000	T3_high	0.982427225512102
chr4	87401376	87402007	T1_low	0.466720891986579
chr4	83183364	83183719	T1_low	0.383793281058827
chr5	40760288	40760584	T3_high	0.802717107073838
chr8	31113355	31113455	T3_high	0.761145978927233
chr18	23415015	23415403	T1_low	0.538398755769147
chr15	57728717	57728881	T3_high	0.744412761717617
chr4	68404464	68404645	T3_high	0.787007234883369
chr5	26524478	26524883	T1_low	0.477215196245498
chr16	24277986	24278133	T3_high	0.698386379666848
chr4	75466779	75467551	T3_high	0.714107797184003
chr2	21343825	21344320	T3_high	0.787076280021018
chr13	104109767	104110488	T3_high	0.689579807453593
chr8	40227116	40227542	T3_high	1.59385292792188
chr18	22713778	22714210	T1_low	0.475870628556062
chr8	35452961	35453131	T2_mid	0.677880457715834
chr2	164961490	164962076	T1_low	0.517115954812301
chr6	113030814	113031335	T1_low	0.48634001527612
chr3	121355001	121355558	T1_low	0.530557609312264
chr15	36817915	36817993	T2_mid	0.624716812301544
chr8	35860172	35860742	T2_mid	0.642662863480777
chr5	49642529	49642823	T3_high	1.25685577917103
chr8	25465452	25466423	T1_low	0.523943862963753
chr13	74639768	74640379	T2_mid	0.625226667146796
chr8	22889519	22889667	T2_mid	0.622781389357008
chr15	32750150	32750224	T2_mid	0.593240793664079
chr13	23592755	23592877	T2_mid	0.565475745765983
chr1	122048245	122048643	T2_mid	0.554094220607622
chr13	19026983	19027172	T3_high	1.14666300276036
chr19	23018398	23018634	T3_high	0.853500156390349
chr15	59795749	59796014	T1_low	0.424858325606493
chr16	21787611	21788158	T1_low	0.467822791319891
chr6	5715130	5715341	T3_high	0.91269805092998
chr19	16029295	16029881	T3_high	0.843005542360449
chr7	113022949	113023050	T2_mid	0.580571976605962
chr5	25053969	25054287	T2_mid	0.656960418185796
chr12	41054104	41054686	T3_high	0.795124892991171
chr3	120983532	120984163	T1_low	0.548620904231668
chr6	28460644	28460902	T1_low	0.475430060509021
chr18	39390745	39391486	T3_high	1.05282588967379
chr2	37756199	37756560	T2_mid	0.588068904926398
chr6	58830943	58831042	T3_high	0.781318665532956
chr16	77267745	77267973	T2_mid	0.596832005954375
chr11	64045203	64045324	T2_mid	0.595626188236386
chr10	68276362	68276828	T2_mid	0.589516109614912
chr13	6666891	6667237	T1_low	0.534736012770584
chr10	17202859	17203040	T3_high	0.732431765144001
chr11	36566097	36566513	T1_low	0.358394275964617
chr12	41733288	41733509	T3_high	0.906925184586008
chr15	36948976	36949161	T2_mid	0.55636093192234
chr16	51910039	51910417	T1_low	0.427700586461712
chr12	79208808	79208979	T2_mid	0.677105622897392
chr4	67589865	67590517	T3_high	0.887104987753538
chr1	146363898	146364066	T3_high	1.0560167476584
chr13	24786389	24786637	T1_low	0.520742652914488
chr12	38929042	38929316	T3_high	0.692896438922854
chr15	58017541	58017799	T3_high	0.965733136153888
chr6	90815435	90815652	T3_high	0.800834606339666
chr5	44151383	44152146	T3_high	0.708297681620907
chr4	63972668	63972798	T3_high	0.736042677696747
chr6	35790150	35790339	T3_high	0.861353376334437
chr6	115244223	115244427	T2_mid	0.570233006518164
chr16	45768008	45768675	T3_high	0.977097996293388
chr7	16980494	16980741	T3_high	0.763324295884114
chr1	155229932	155230358	T1_low	0.47859357890028
chr3	108300838	108300989	T3_high	0.762177105819517
chr14	111674592	111674963	T1_low	0.394405882713667
chr3	22022409	22022588	T2_mid	0.592418537983868
chr10	93741495	93741773	T1_low	0.471380266083487
chr3	157045999	157046089	T3_high	0.695715736859724
chr15	66514749	66515013	T1_low	0.539414555914033
chr4	83233050	83233776	T3_high	0.722371267552646
chr2	75716114	75716644	T1_low	0.546532347248765
chr13	96175579	96176068	T1_low	0.5122416765461
chr10	109542628	109542864	T2_mid	0.666353282230272
chr10	97160306	97160525	T3_high	0.969285184949271
chr4	15149553	15149737	T1_low	0.508223135618223
chr14	29268797	29268998	T1_low	0.439486943408716
chr6	58933195	58933483	T1_low	0.471575821418117
chr1	12947725	12947813	T3_high	0.877907170799047
chr15	28481226	28481455	T3_high	0.889736773984461
chr14	76617560	76617762	T2_mid	0.612499031688418
chr2	142253907	142254371	T1_low	0.504307432626374
chr4	76149840	76149967	T1_low	0.524900273182843
chrX	130152204	130152463	T2_mid	0.61898899921955
chr16	67096772	67097039	T3_high	0.726969603082221
chr5	49645829	49646196	T3_high	1.08314373085643
chr17	63726506	63726647	T3_high	0.785656414099482
chr7	17076580	17076806	T3_high	0.696188714725024
chr14	49743958	49744539	T3_high	1.14212510160745
chr5	32441387	32441604	T3_high	0.731903985278816
chrX	61823644	61823955	T2_mid	0.625921579113115
chr14	24973033	24973358	T1_low	0.49880703528037
chr16	5186224	5186488	T2_mid	0.558978940877346
chr3	69171115	69171416	T1_low	0.449341036035368
chr19	10788071	10788182	T3_high	0.716067900519295
chr4	49631654	49632295	T2_mid	0.60520386014428
chr19	42238051	42238747	T3_high	0.725918375989828
chr4	8684815	8684930	T3_high	0.831419347317312
chr4	76525387	76525653	T3_high	0.823804610965478
chr4	9107154	9107789	T2_mid	0.640284655532283
chr18	68730671	68731321	T3_high	0.918220402081592
chr18	52887188	52887628	T2_mid	0.649417500763705
chr16	49980144	49980716	T1_low	0.53511918336999
chr14	102902878	102903389	T1_low	0.376777068706679
chr6	141221173	141221482	T1_low	0.525962900223856
chr6	35988893	35989322	T2_mid	0.595043485309995
chr5	64714825	64714965	T3_high	0.774572999378611
chr15	93824664	93824847	T2_mid	0.613148801853386
chr18	69144793	69145169	T2_mid	0.632359078507416
chr6	31413724	31413820	T2_mid	0.601510978504153
chr3	136640958	136641119	T3_high	0.970809445815978
chr18	47885086	47885397	T3_high	0.961132878726158
chr16	24635393	24635690	T1_low	0.509735791448432
chr1	164461806	164462097	T3_high	0.706188713818957
chr13	97559588	97560067	T1_low	0.3552343071351
chrX	17965462	17965710	T2_mid	0.556523541597321
chr12	4008595	4009095	T1_low	0.529573209582584
chr2	144593897	144594273	T2_mid	0.608524357771294
chr14	93350904	93351298	T3_high	0.800222318238063
chr4	47597699	47597910	T1_low	0.479935740182693
chr2	136149080	136149463	T1_low	0.492663292022562
chr18	48335686	48335922	T3_high	0.856041730614692
chr12	55480794	55481134	T3_high	0.749821781066451
chr2	4917774	4917820	T3_high	0.872875000614179
chr2	156996663	156996863	T1_low	0.490021671263571
chr8	86470818	86471264	T1_low	0.496696600798832
chr15	22717707	22717960	T1_low	0.536518374472577
chr6	54802463	54802887	T1_low	0.445284721332022
chr6	121142409	121142675	T2_mid	0.612246659058341
chr1	163821495	163821623	T2_mid	0.565713769504139
chr3	100102564	100103036	T3_high	0.972409451724886
chr15	41549385	41549809	T1_low	0.499234499411251
chr18	25577385	25577518	T1_low	0.532617215374555
chr10	65219371	65219542	T2_mid	0.596060177802703
chr18	61637952	61638505	T1_low	0.540767744172535
chr10	19966756	19966844	T2_mid	0.57434372417674
chr1	16656627	16657454	T2_mid	0.580842888479056
chr7	58843951	58844442	T1_low	0.514624384183878
chr13	67813687	67814406	T1_low	0.541280865993903
chr6	137088568	137088674	T3_high	0.98767599094873
chr1	81076367	81077028	T3_high	0.752994768737226
chr9	71062208	71062740	T2_mid	0.553884193926473
chr1	14001516	14001763	T2_mid	0.633635635035027
chr5	35118461	35118654	T1_low	0.476734038447408
chr10	105575240	105575535	T2_mid	0.634109855388304
chr2	127792200	127792616	T2_mid	0.5594199343564
chr3	86976669	86976823	T2_mid	0.62782347152105
chr10	42070747	42071063	T1_low	0.516111382370629
chr13	23432597	23432844	T2_mid	0.633000862541516
chr15	39734896	39735582	T3_high	0.781768581247573
chr5	86359521	86359934	T3_high	1.15634425790094
chr2	59212551	59213362	T3_high	0.838505357092524
chr10	93267590	93267785	T3_high	0.753267971805586
chr12	76519053	76519599	T1_low	0.408544528650157
chr2	42407023	42407119	T3_high	0.706165539741966
chr6	28421507	28421947	T2_mid	0.600028541921766
chr16	24326054	24326338	T3_high	0.801177217832406
chr18	61747483	61747609	T1_low	0.502042394900855
chr10	39165644	39165963	T1_low	0.530396737953969
chr6	19016029	19016208	T3_high	0.859868464413012
chr4	97880292	97880947	T3_high	0.942765081322656
chr2	142254541	142254885	T1_low	0.451214479914871
chr3	9003795	9004799	T1_low	0.518415540704394
chrX	20817095	20817310	T2_mid	0.658357474238462
chr1	177507056	177507274	T3_high	0.86306829639705
chr3	116512964	116513253	T1_low	0.515048939380435
chrX	163879552	163879782	T2_mid	0.607114302639454
chr1	161491909	161492295	T1_low	0.437460414235408
chr2	76928926	76929227	T1_low	0.529086786998205
chr14	79487000	79487709	T3_high	0.856353232712631
chr4	97773210	97773496	T3_high	0.744021461566406
chr8	57435874	57436404	T1_low	0.389989368791202
chr18	46574292	46574572	T2_mid	0.562648653813624
chr17	66276773	66277147	T1_low	0.472416426081827
chr5	73942964	73943322	T1_low	0.395469202558037
chr19	36773803	36774376	T3_high	0.707183307745416
chr10	103367440	103367767	T3_high	0.796804762496892
chr2	145888421	145888547	T2_mid	0.597632280795292
chr10	7268429	7268780	T1_low	0.504487417504192
chr14	13283372	13283470	T3_high	0.743720268691928
chr5	52415997	52416187	T3_high	0.838799853315282
chr6	25013289	25013608	T1_low	0.481290054127874
chr10	3173683	3174075	T1_low	0.536282347371765
chr16	22797392	22797684	T2_mid	0.676430995373624
chr2	141998961	141999203	T3_high	0.756751096376545
chr4	95636873	95637194	T1_low	0.503148861038747
chrX	51020046	51020163	T2_mid	0.555254175501728
chr18	12783386	12783621	T3_high	0.729899643432855
chr3	82800186	82800528	T3_high	0.768495628128732
chr16	41817717	41818079	T2_mid	0.598288696324535
chr2	96708109	96708202	T2_mid	0.581518585774634
chr4	100276447	100276863	T1_low	0.497432031938695
chr12	37988111	37988619	T2_mid	0.583213979398014
chr7	46719618	46719710	T2_mid	0.552744018832185
chr3	58833535	58833759	T1_low	0.518642125685232
chr13	20901212	20901390	T3_high	0.733591729819461
chr8	57589205	57589606	T2_mid	0.57101374694101
chr2	113016274	113016616	T1_low	0.485991062349334
chr16	43506275	43506544	T3_high	0.99687998320936
chr6	140962632	140963484	T3_high	0.959247409853847
chr6	59328239	59328663	T1_low	0.443879572622749
chr2	75269523	75269709	T3_high	0.754252337125387
chr10	5504820	5505117	T1_low	0.54212235923156
chr14	102016735	102016847	T3_high	1.13447264519855
chr2	3608918	3609020	T1_low	0.526915117816565
chr15	41489119	41489340	T1_low	0.548983226163397
chr3	65929915	65929936	T2_mid	0.589389413392221
chr6	8504093	8504162	T1_low	0.532615169087471
chr18	84061402	84061620	T1_low	0.406409991349011
chr13	76195024	76195236	T3_high	1.5610636965041
chr9	75479400	75479718	T2_mid	0.555526603911996
chr17	80482765	80483341	T3_high	0.68387841241649
chr1	6825668	6825752	T3_high	0.762186787101331
chr1	63763120	63763574	T1_low	0.477957561905047
chr16	42444745	42444815	T3_high	0.927382391351856
chr1	171378316	171378670	T3_high	0.842283744623616
chr6	88794524	88794894	T1_low	0.425240713404909
chr4	100390414	100390830	T2_mid	0.607873018521498
chr8	25421486	25421951	T1_low	0.529664707392973
chr19	23545683	23545901	T3_high	0.706492037285631
chr12	3761352	3762302	T1_low	0.500222147641619
chr7	92264332	92265340	T2_mid	0.587812640813493
chr4	6425513	6425939	T3_high	0.834265699730574
chr10	117435312	117435980	T1_low	0.529410256714048
chr1	23062076	23062310	T3_high	0.82079042485312
chr10	10847969	10848280	T1_low	0.513829162505945
chr15	53901940	53902843	T3_high	0.75999776346823
chr18	69344121	69344584	T2_mid	0.550672400184657
chr10	10847404	10847836	T1_low	0.383429069859945
chr19	21135861	21136275	T3_high	0.907551134197431
chr1	79401057	79401505	T2_mid	0.681703149854583
chr2	105746950	105747241	T3_high	1.12527502289546
chr6	50679059	50679569	T1_low	0.476775374879131
chr12	52006211	52006608	T3_high	0.747845116323781
chr6	77417119	77417367	T2_mid	0.626256872518899
chr3	145663357	145663451	T2_mid	0.581936382193245
chr8	17305520	17305722	T1_low	0.487778699316158
chr12	75557787	75558281	T1_low	0.402464021473589
chr13	19300696	19300924	T2_mid	0.584316835871425
chr16	21339112	21339264	T2_mid	0.595042980651247
chr18	47990354	47990585	T1_low	0.440051797605575
chr2	80638679	80639149	T3_high	0.713765205804711
chr8	46216853	46217185	T3_high	0.788784445186488
chr3	52391636	52391720	T2_mid	0.634450480083021
chr16	85103094	85103577	T1_low	0.369688259355752
chr14	68285030	68285214	T3_high	1.24764736001408
chr12	89553336	89553836	T3_high	0.9067765241528
chr18	80933507	80933665	T2_mid	0.663019460408781
chr1	168283877	168284169	T2_mid	0.59818511099433
chr13	101487397	101488138	T3_high	0.703663488382211
chr8	60992652	60993771	T2_mid	0.650119843427587
chr13	42671615	42672174	T3_high	0.792383339493764
chr12	29789458	29789608	T2_mid	0.575314022749969
chr1	24137258	24137578	T2_mid	0.582236647976187
chr15	57957083	57957486	T2_mid	0.633197047611272
chr10	93291418	93292119	T1_low	0.495176442762805
chr1	59623437	59623636	T2_mid	0.645643615727584
chr12	70812242	70812530	T1_low	0.546596432595292
chr14	8218911	8219378	T1_low	0.403128013648074
chr10	98333556	98334063	T2_mid	0.633478846111684
chr2	160882568	160882716	T1_low	0.507970604034923
chr8	36522837	36523213	T2_mid	0.558854720513506
chr10	59942893	59943579	T3_high	0.97716109319989
chr2	148752017	148752595	T1_low	0.421005601636486
chr8	64282900	64283061	T3_high	0.707743390651546
chr13	100775728	100776024	T2_mid	0.626817914981137
chr18	47505484	47505970	T3_high	0.739874147820043
chr13	63918187	63918349	T1_low	0.540897730717479
chr8	74994157	74994256	T2_mid	0.600830512693427
chr4	69099281	69099370	T3_high	1.21745607624492
chrX	144517168	144517589	T3_high	0.714322509403588
chr6	59483672	59483862	T3_high	0.836550368315099
chr4	58161960	58162351	T3_high	0.70809448830272
chr12	100735210	100735825	T1_low	0.528734233525825
chr1	177507293	177507394	T2_mid	0.65517052780744
chr4	13778963	13779092	T2_mid	0.557103573469803
chr12	89722545	89722772	T2_mid	0.622605497868325
chr10	13836043	13836466	T3_high	1.02673832694145
chr4	96772894	96773460	T1_low	0.373492418163635
chr10	10093607	10094072	T3_high	1.02223894532915
chr3	96012892	96013123	T3_high	0.806547203760904
chr8	110270739	110271019	T2_mid	0.564088823262526
chr10	17236828	17237039	T2_mid	0.651353865480291
chr11	51615723	51615883	T3_high	0.707913987685615
chr4	76675840	76675924	T3_high	0.739547771612027
chr5	32103246	32103411	T2_mid	0.570597507675924
chr14	76617939	76618165	T1_low	0.516509318611688
chr3	108915980	108916489	T3_high	0.818460265155964
chr2	25427020	25427184	T2_mid	0.60969465596886
chr14	57607435	57607927	T1_low	0.43852829172849
chr16	51475793	51476123	T2_mid	0.654426964787093
chr1	16809882	16810023	T3_high	0.810067159905809
chr4	119102331	119102543	T2_mid	0.558970816475641
chr8	116504626	116505036	T2_mid	0.609243382617335
chr10	53596397	53596642	T2_mid	0.564925281500137
chr3	29980589	29980823	T1_low	0.542985645106737
chr14	63054648	63055108	T1_low	0.417136435571918
chr16	37423022	37423225	T3_high	1.10522775115526
chr1	18903233	18904151	T3_high	0.838674375606456
chrX	61824441	61824592	T3_high	0.897668263519707
chr16	43540016	43540350	T2_mid	0.657148566981334
chr13	67332207	67332697	T3_high	0.694670334330089
chr7	128626783	128626900	T2_mid	0.617272338840002
chr6	82756993	82757212	T3_high	0.799030676374949
chr9	119335672	119335884	T3_high	0.739463779180114
chr4	89427951	89428141	T1_low	0.527582625540089
chr15	42252500	42252596	T2_mid	0.660743704159086
chr14	46821906	46822547	T2_mid	0.675364172520247
chr14	105630567	105630668	T2_mid	0.616594180720214
chr2	127521682	127522401	T1_low	0.466723333202451
chr8	57807134	57807327	T1_low	0.494770961143688
chr10	21868423	21869108	T3_high	1.14709275658439
chr16	43510541	43510695	T2_mid	0.60851766412172
chr16	44331261	44331373	T2_mid	0.628710488548804
chr1	105002176	105002725	T2_mid	0.567527854725647
chr7	112213476	112213805	T2_mid	0.586201689358645
chr2	146363096	146363231	T1_low	0.540147484840034
chr3	13866292	13866579	T1_low	0.494173922907899
chr12	6000949	6001258	T1_low	0.407423794647231
chr6	56524069	56524507	T2_mid	0.625753840253641
chr3	88090750	88090924	T2_mid	0.555138327358759
chr5	43297591	43297731	T3_high	0.712399161116544
chr3	151565801	151566184	T1_low	0.508915264190004
chr5	28191136	28191781	T2_mid	0.594508622122245
chr2	101628674	101629186	T2_mid	0.553570807578563
chr7	16959607	16960071	T2_mid	0.563097216624387
chr2	76927096	76927177	T2_mid	0.672565799462855
chr19	22905072	22905637	T2_mid	0.672484248844404
chr1	43694766	43695284	T1_low	0.329563672261205
chr6	136468423	136469022	T3_high	1.02764218077309
chr1	164502319	164502581	T1_low	0.406477711165904
chr13	104988166	104988301	T2_mid	0.585934967404742
chr14	30204616	30204867	T1_low	0.463430682144024
chr14	79106821	79107387	T1_low	0.375504699613991
chr1	159661171	159661543	T1_low	0.499078582538145
chr9	122022903	122023269	T3_high	0.711461458877545
chr9	7961936	7962062	T3_high	0.962980116298961
chr1	39772425	39773006	T2_mid	0.670906713351501
chr18	7702187	7702351	T2_mid	0.594868752787576
chr2	98697670	98697799	T3_high	0.828025985981217
chr13	20448884	20448999	T2_mid	0.562324470388843
chr4	33833136	33833256	T3_high	1.04607346316735
chr18	5159730	5160288	T3_high	0.69536073334522
chr12	80783799	80784294	T2_mid	0.64348551587802
chr15	36884754	36885241	T1_low	0.502402101835702
chr10	6916681	6916968	T3_high	0.858462926321339
chr18	22985121	22985621	T2_mid	0.661119541272791
chr19	29253847	29254062	T3_high	0.724083282576161
chr8	57584481	57584938	T3_high	1.00428999922513
chr8	11155847	11156319	T3_high	0.820882653826659
chr19	22940060	22940069	T2_mid	0.650112358421104
chr15	66121571	66121878	T1_low	0.497203436965199
chr6	81464574	81464754	T3_high	1.11743765849223
chr3	157046386	157046479	T2_mid	0.654760655297781
chr10	53612206	53612538	T3_high	0.987265685890812
chr18	54611491	54611968	T1_low	0.444070965721393
chr16	43168586	43168695	T3_high	1.27536651757228
chr16	45974322	45974679	T1_low	0.530353698669958
chr8	67896393	67896653	T1_low	0.535988048178484
chr8	10053585	10053705	T2_mid	0.567921509856875
chr12	8830989	8831629	T1_low	0.422226958184117
chr17	70071997	70072528	T2_mid	0.631971068398603
chr18	68944076	68944345	T3_high	0.732571269075656
chr3	65930826	65930990	T3_high	0.917380649580238
chr13	117220403	117221371	T1_low	0.444814072492673
chr10	41678777	41679205	T2_mid	0.615302051827016
chr1	32172377	32173101	T1_low	0.462212014590019
chr3	116007995	116008466	T1_low	0.536834205657991
chr18	12862141	12862926	T1_low	0.434157590112501
chr2	121621451	121621742	T2_mid	0.639039891598525
chr6	140993848	140994464	T1_low	0.458466687199625
chr1	52259372	52259460	T3_high	0.841068219674873
chr8	54779456	54779607	T1_low	0.504139924444465
chr6	104492923	104493707	T3_high	0.744131479443133
chr2	155472496	155473146	T1_low	0.548242466180544
chr13	44383392	44383534	T2_mid	0.657510953422662
chr2	59422465	59422889	T1_low	0.430840786420486
