gene_symbol	gene_class	log2FoldChange	padj	baseMean	max_delta_abc	sum_delta_abc	max_delta_unnorm	n_enhancers	n_gained	n_lost	sum_abc_wt	sum_abc_ko	sum_delta_unnorm
Ngef	DEG_up	0.618320644932973	0.0230281782597892	74.9871559456083	-0.028557	-0.058033	-0.088806	9	1	3	0.493039	0.435006	-0.30604
Col6a3	DEG_up	0.416316480252337	0.00517746612557744	156.194908921768	-0.021811	-0.04746	-0.02465	8	1	2	0.273384	0.225924	0.005367
Pam	DEG_down	-0.64783992237057	5.94717840209498e-6	1060.56421382089	-0.036091	-0.092657	-0.025846	6	0	3	0.315125	0.222468	0.132189
Pign	DEG_down	-0.324395389672065	0.0498025156727558	412.268863725745	-0.019545	-0.029352	-0.147532	9	0	2	0.310368	0.281016	-0.454625
Tnfrsf11a	DEG_up	0.434188818066716	0.0357252519147359	76.4028901460974	0.045028	0.010717	0.130898	13	3	4	0.550901	0.561618	0.211239
Gm7160	DEG_down	-0.802913646257633	0.0182730681682326	25.1398601775419	0.020329	-0.007796	-0.020069	8	2	3	0.449876	0.44208	-0.614034
Zcchc2	DEG_down	-0.346990272836538	0.0102223597245299	1282.38289168934	0.020328	-0.007792	-0.020069	8	2	3	0.449869	0.442077	-0.614038
Cdh7	DEG_down	-0.609453701376327	0.0114922158579985	3059.81463977133	-0.050487	-0.1611	-0.639598	7	0	5	0.490622	0.329522	-2.536474
Cntnap5a	DEG_up	0.872758841719727	3.02990403678036e-8	1792.29483363093	-0.086084	-0.1465	-0.01733	6	2	4	0.48235	0.33585	0.179691
Tmem177	DEG_down	-0.688280650477888	0.00367080617572247	51.3925768393698	0.008562	-0.018885	-0.085572	7	0	0	0.430109	0.411224	-0.361526
Slc35f5	DEG_down	-0.314276489761422	0.022521062504986	238.840405287999	-0.00667	-0.003711	-0.031701	3	0	0	0.213709	0.209998	-0.073996
Thsd7b	DEG_up	1.12205249715373	2.9130001162224e-8	571.058291864315	-0.049434	-0.092092	-0.027396	7	1	5	0.272529	0.180437	-5.88e-4
Srgap2	DEG_up	0.331269799708207	0.0433584395236481	16799.4756833112	-0.032829	-0.0066	-0.633247	5	2	1	0.284201	0.277601	-0.34796
Nucks1	DEG_up	0.312659246218418	0.0207346104081691	3040.07606791053	-0.022098	-0.040366	-0.177688	4	0	1	0.132618	0.092252	-0.329665
Lemd1	DEG_down	-0.556045263515428	0.0104900944650116	437.03925659862	-0.048423	-0.082735	-0.642619	10	2	2	0.488908	0.406173	-1.48091
Klhdc8a	DEG_down	-0.649119671730423	0.0133247443895535	230.515302772617	-0.026665	-0.035161	-0.29784	9	0	3	0.272886	0.237725	-0.585368
Nuak2	DEG_down	-1.65243373748313	7.5237004622067e-12	38.5372711256681	0.013429	0.030423	0.087352	12	2	2	0.368629	0.399052	-0.080439
Dstyk	DEG_down	-0.314530811849565	0.0161968276497549	1048.07468197405	0.010771	0.010951	0.119955	8	1	0	0.319194	0.330145	0.083618
Cntn2	DEG_up	0.473115227211879	4.45064501693082e-4	10539.1247281126	0.011079	-0.004413	0.235233	5	1	1	0.473246	0.468833	-0.112665
Atp2b4	DEG_down	-1.45085557611482	6.67675293755897e-13	1054.30830321896	-0.028203	-0.064707	-0.197345	9	0	3	0.218096	0.153389	-0.669115
Adora1	DEG_up	0.553463749872937	0.0173048590872852	850.317604299418	-0.012482	-0.025528	-0.274558	12	1	2	0.592075	0.566547	-0.536919
Syt2	DEG_up	0.649066513612333	0.00851721868850095	3273.41048175673	-0.03418	0.001097	-0.383337	11	4	2	0.604127	0.605224	1.051304
Nek7	DEG_down	-0.326431040904011	0.0118983031174775	298.864079736014	0.037428	0.047385	0.151826	5	3	2	0.3696	0.416985	0.191434
Dennd1b	DEG_down	-0.306354380491649	0.0120140647947395	2111.98308487117	-0.021153	-0.024389	-0.048614	3	0	1	0.08054	0.056151	-0.039643
Aspm	DEG_up	0.579343684627312	0.0407904166026489	673.764257807905	0.033889	0.029901	0.029618	11	6	3	0.528799	0.5587	0.095003
Rgs16	DEG_up	1.26343702132646	4.34552222863136e-6	36.3765007180646	0.007095	-0.004187	0.097517	9	0	0	0.611451	0.607264	1.458632
Ralgps2	DEG_down	-0.375560255033122	2.11405360143501e-5	1331.23735198325	-0.024515	-0.015888	-0.075426000000000007	3	0	1	0.107711	0.091823	-0.023147
Brinp2	DEG_down	-0.44549143646444	0.0135174259432802	3717.51087781103	-0.01487	0.006871	-0.077554	5	2	1	0.363577	0.370448	-0.003642
Tnn	DEG_down	-1.38627026547393	0.034349310173143	8.16237737067694	-0.032712	0.019442	-0.048358	9	3	2	0.485822	0.505264	0.09715
Ankrd45	DEG_up	0.616520288735949	0.0033788234929884	121.81993877562	0.030425	-0.030253	0.067646	12	2	4	0.5908	0.560547	0.09088
Slc19a2	DEG_down	-0.609760102020594	3.56024096617922e-4	138.019283090454	-0.013899	-0.043402	-0.111596	10	0	4	0.315244	0.271842	-0.655954
Ccdc181	DEG_down	-0.482310470685224	0.0110403395697026	121.656283280732	-0.041773	-0.016521	-0.350769	9	3	1	0.473279	0.456758	-0.511579
Ildr2	DEG_down	-0.431708955442818	0.033910547499545	124.24229780722	0.025692	-0.006385	0.046945	12	4	5	0.396244	0.389859	0.00546
Gm16701	DEG_down	-1.01850425170185	1.05117279508689e-5	113.64196623061	-0.066067	-0.055171	-0.498752	8	2	3	0.671605	0.616434	-1.62993
Fam78b	DEG_down	-0.775806865541549	2.75057888127979e-6	3642.18603435609	-0.041118	-0.110079	-0.444892	8	1	4	0.487498	0.377419	-1.641336
Aldh9a1	DEG_down	-0.32094859639316	0.027949163068844	208.774059993706	0.020996	0.016016	0.03791	10	2	2	0.303835	0.319851	-0.313716
Rgs4	DEG_up	0.563147588949228	0.0474821602435722	58.5490782040018	-0.02175	-0.039808	-0.027181	8	1	3	0.254246	0.214438	0.007953
Ddr2	DEG_down	-0.607790561988364	0.00180611466768376	388.477131264167	-0.036449	-0.022808	-0.058053	7	2	3	0.497748	0.47494	0.014201
Olfml2b	DEG_down	-0.648545049115579	0.0102385675222873	100.462436164768	0.038126	0.043051	0.141259	9	2	1	0.277072	0.320123	0.372749
Pld5	DEG_down	-0.725124083699101	1.50314063634553e-4	5379.59646959187	-0.017056	-0.023465	-0.085306	9	1	2	0.298613	0.275148	-0.200129
Enah	DEG_up	0.313864945259127	0.00380661773181151	3787.73797969372	0.05502	0.071798	0.183126	9	4	3	0.301094	0.372892	0.383099
Trp53bp2	DEG_down	-0.420541720123141	0.00013329885977223101	1029.51716514228	-0.031195	-0.057529	-0.179817	7	2	3	0.318981	0.261452	-0.487042
Mtarc2	DEG_down	-0.545177653206909	6.87495618807636e-4	126.618510472876	0.015734	0.041458	0.040196	7	3	0	0.246222	0.28768	0.133305
Gpatch2	DEG_down	-0.309170921998234	0.0333843703312539	1924.00172554648	-0.017486	-0.011153	-0.026941	3	0	1	0.078434	0.067281	-0.016448
Esrrg	DEG_down	-0.965429631907268	8.34692033175787e-10	5129.29420825549	-0.02198	-0.028501	0.075978	10	2	4	0.520455	0.491954	0.182508
Smyd2	DEG_down	-0.450910216732757	0.0219046119442062	277.672207593697	-0.024387	-0.024578	-0.11741	10	1	3	0.337958	0.31338	-0.209889
Flvcr1	DEG_down	-0.400984943983655	0.0122374956414902	286.437597377994	0.018526	-1.02e-4	0.123511	5	1	1	0.142847	0.142745	0.014476
Tatdn3	DEG_down	-0.776521013140199	1.23579171144807e-5	215.378003407653	-0.018101	-0.014055	-0.060931	6	1	1	0.388846	0.374791	-0.025986
Kcnh1	DEG_down	-1.06849335890347	6.75020849770219e-6	2245.24648535383	-0.031659	-0.007973	-0.323457	14	2	2	0.549064	0.541091	0.209722
Hhat	DEG_down	-0.660590011054564	0.00414852423786131	148.976780133093	0.016028	-0.004914	0.109296	5	1	1	0.243159	0.238245	0.042386
Sertad4	DEG_up	0.523496555079124	0.00448917209880047	284.436431897218	-0.010662	0.014213	-0.034136	9	0	1	0.275506	0.289719	0.126522
Traf3ip3	DEG_down	-0.8804299136093	4.35120451062947e-5	51.7903615742456	-0.033107	-0.09038	-0.166867	9	1	5	0.549645	0.459265	-0.662845
Fam107b	DEG_down	-0.528360177664468	7.34231166772493e-4	2617.66591505228	0.065161	-0.003303	-0.057968	11	2	4	0.690458	0.687155	-0.967967
Bend7	DEG_up	0.47320597163729	0.0133367003321943	245.911122215529	-0.051603	-0.058316	-0.023575	9	3	4	0.373124	0.314808	0.140509
Taf3	DEG_down	-0.378155742926522	0.0151403332284129	1175.44272054752	0.038786	-0.052799	0.022364	7	1	3	0.397626	0.344827	-0.22457
Sfmbt2	DEG_down	-0.746736902950094	4.55706705960142e-8	670.060048314762	0.041893	0.02572	0.128478	8	3	2	0.491984	0.517704	0.326056
Pfkfb3	DEG_down	-0.350637705079569	0.0122334029516543	617.459279528538	0.032251	-0.049895	0.093495	11	1	4	0.534792	0.484897	0.121528
Cubn	DEG_down	-0.868716044500446	0.041318714381299	23.4943790113095	0.245081	0.668752	0.144948	11	11	0	0	0.668752	0.39552
Plxdc2	DEG_down	-0.322552943487142	0.0196866991346031	7850.06646542675	-0.021974	-0.043617	-0.071556	10	2	4	0.393709	0.350092	-0.238732
Spag6	DEG_down	-0.945539655461034	0.0226478659909896	17.9410349692076	-0.01911	-0.056268	-0.159544	10	0	2	0.400059	0.343791	-0.462619
4930447M23Rik	DEG_down	-0.895276141918538	0.00764571759094613	34.630339786274	0.061486	-0.009106	0.145035	13	2	6	0.409494	0.400388	0.190901
Nsmf	DEG_up	0.370422084249741	0.0366471348193905	366.906706240874	-0.014212	-0.037274	-0.044339	6	0	2	0.290457	0.253183	-0.086899
Ssna1	DEG_down	-0.319384277581615	0.0453557142341534	200.167671961911	0.009624	0.009863	0.251746	8	0	0	0.559322	0.569185	0.470763
Tmem210	DEG_up	0.616363705980284	0.0107354575469463	67.7932559944187	0.028476	0.053421	0.771051	15	3	1	0.645558	0.698979	2.650801
Fnbp1	DEG_down	-0.474783265334908	0.0022758680513187	7660.4316820532	0.008013	-0.003425	0.083453	10	0	0	0.476196	0.472771	-0.211936
St6galnac4	DEG_down	-0.709332544206601	7.71106884346149e-6	606.533445059131	-0.006272	-0.005453	-0.134993	5	0	0	0.330942	0.325489	-0.219996
Sh2d3c	DEG_up	0.454530613527045	0.040944626183427	345.906888818742	0.020323	0.007276	0.297408	8	1	2	0.457433	0.464709	0.327203
C230014O12Rik	DEG_down	-1.63969617667612	1.2278253663574e-7	44.7786996023369	-0.016666	-0.014372	-0.045868	6	1	3	0.256675	0.242303	-0.048819
Stom	DEG_down	-0.731952359469906	1.34986833679784e-5	167.919415423129	-0.019483	-0.032119	-0.295423	3	0	1	0.200767	0.168648	-0.508161
Lrp1b	DEG_up	0.599160369813918	4.81819867128867e-4	35370.7940858108	0.02961	-0.026985	0.101227	5	1	3	0.362424	0.335439	0.033367
Gm13483	DEG_down	-0.56616397864481	0.0109682406414727	145.235450735967	-0.013959	0.003022	-0.047211	8	0	2	0.201815	0.204837	0.122479
Acvr1c	DEG_down	-1.16275879650819	4.68542728912072e-7	206.167231176345	-0.025328	-0.007659	-0.087152	11	4	4	0.295594	0.287935	-0.273707
Upp2	DEG_down	-0.548222741424126	0.00165476580461986	751.859677058158	-0.025024	-0.051492	-0.185556	6	1	3	0.272361	0.220869	-0.594701
Tanc1	DEG_down	-0.502751934110933	0.0245319145343159	2622.81637198573	0.02958	-0.002742	0.142234	11	2	2	0.491949	0.489207	-0.352333
Wdsub1	DEG_down	-0.466820242542404	0.00254852097299974	152.540423569547	-0.017422	0.014437	-0.062445	11	2	2	0.311667	0.326104	-0.079074
Pla2r1	DEG_down	-1.1044382484359	0.0384986471722232	23.4863886046792	-0.068872	-0.033363	-0.23031	4	2	1	0.361757	0.328394	-0.20139
Gca	DEG_down	-0.629243622719936	0.00412069561173686	54.5055216045578	0.026696	0.056101	0.033614	8	4	1	0.172683	0.228784	0.108511
Kcnh7	DEG_down	-1.1586971188208	1.21266304263547e-19	2789.1874780739	0.078379	0.060236	0.043297	8	3	4	0.185902	0.246138	0.051027
Fign	DEG_down	-0.862072757545337	2.15746089714465e-11	491.869324844891	-0.05115	0.032651	-0.027614	15	9	5	0.352679	0.38533	0.014161
Csrnp3	DEG_down	-1.16594425679537	1.89425108858049e-32	1825.4836260935	0.01979	0.026886	0.004111	11	3	2	0.39851	0.425396	-0.318354
Stk39	DEG_down	-0.462593954366123	0.0194606213643526	2945.99072890291	-0.072519	-0.049183	-0.479683	5	2	2	0.661212	0.612029	-0.396024
Mettl8	DEG_down	-0.43967287465877	0.0115835029133346	290.787271075235	-0.012209	6.98e-4	-0.06659	4	0	1	0.107376	0.108074	-0.010811
Metap1d	DEG_down	-0.792301591150291	7.29396267243322e-8	278.042502916978	-0.020014	-0.027175	-0.076816	8	2	2	0.314894	0.287719	-0.20132
Pdk1	DEG_down	-0.690956615585008	7.10067537754795e-10	200.012349555754	-0.041017	-0.07342	-0.168067	10	2	3	0.349139	0.275719	-0.35048
Rapgef4	DEG_down	-1.00703643964481	3.68159876587097e-6	5003.60577441955	-0.065478	-0.023223	-0.761525	11	1	1	0.713545	0.690322	-0.677754
Gpr155	DEG_down	-0.351914018455326	0.041318714381299	386.728453300396	-0.005035	-0.009285	-0.048003	2	0	0	0.063403	0.054118	-0.081954
Itga4	DEG_down	-0.423966669777008	7.20530422640231e-4	432.331974174471	-0.033235	-0.032519	-0.096082	16	3	6	0.545123	0.512604	-0.230935
Cerkl	DEG_down	-0.39958579835819	3.38308169667082e-4	1088.77058122734	-0.029403	0.006805	-0.672154	9	2	1	0.613718	0.620523	-1.511165
Itprid2	DEG_down	-0.377200725821013	0.022085434928322	655.437065020773	0.022315	0.039483	0.089179	10	3	0	0.329384	0.368867	-0.062301
Pde1a	DEG_down	-1.18141756705557	4.90365155090892e-10	122.148441435342	0.087872	0.040931	0.055229	19	8	8	0.502662	0.543593	0.022612
C1qtnf4	DEG_up	0.727361360254929	3.34498246601906e-4	575.985685710575	0.048001	0.034945	0.917715	11	1	1	0.489017	0.523962	1.597912
Mdk	DEG_up	0.909770950855153	0.0187480942489754	246.786679970794	0.034006	0.034487	0.954829	14	2	1	0.663518	0.698005	2.152028
Ldlrad3	DEG_down	-0.862421813110883	2.4605714983459e-5	1069.49258640119	0.028711	-0.068776	-0.126033	15	1	3	0.598392	0.529616	-1.933858
Mettl15	DEG_down	-0.41773701386396	0.0290538047708982	349.955264449768	-0.043509	-0.021605	-0.322111	9	2	2	0.477709	0.456104	-0.707208
Bdnf	DEG_down	-1.00744618654212	0.00100264702546816	111.786091193682	0.030905	-0.00541	-0.077786	8	2	3	0.7966	0.79119	-1.010772
Lgr4	DEG_down	-0.535460947430278	4.47377547498605e-4	2483.62298307772	-0.017245	-0.038201	-0.187937	5	0	3	0.305536	0.267335	-0.448402
Ano3	DEG_down	-1.57308620870172	1.69309497292646e-11	541.190043083728	-0.038497	-0.067011	-0.889311	5	1	3	0.747541	0.68053	-1.377727
Ryr3	DEG_down	-0.808220223475075	3.18365389724613e-9	1410.42626250242	-0.028915	-0.071967	-0.051894	7	0	4	0.257467	0.1855	0.022811
Fmn1	DEG_down	-1.25690773258728	1.04223352716699e-21	383.14732978125	-0.033074	-0.03523	-0.223495	4	1	2	0.206575	0.171345	-0.263975
Dph6	DEG_down	-0.43875304729487	6.59636994011035e-8	775.80784217679	-0.014474	-0.036987	-0.04799	4	0	2	0.102079	0.065092	-0.125661
Gpr176	DEG_down	-1.49544322899659	4.07596128989098e-15	156.021866815035	0.052356	0.036871	-0.165486	5	1	0	0.362178	0.399049	-0.529339
Eif2ak4	DEG_down	-0.559739849803285	1.11140832375849e-4	899.421101780883	-0.050046	-0.058827	-0.349336	4	0	2	0.198943	0.140116	-0.483359
Pak6	DEG_up	0.713361409404528	0.00824461398826619	63.4684385135393	0.029944	-0.015609	0.108777	15	2	3	0.401053	0.385444	0.047447
Ccdc9b	DEG_down	-0.901615706372342	7.81470960565335e-4	36.9885877937587	-0.032049	-0.024086	-0.376375	7	1	1	0.387069	0.362983	-0.859788
Ivd	DEG_down	-0.312164036119025	0.0186510965575544	377.012133636653	-0.023844	-0.061357	-0.160154	8	0	2	0.27068	0.209323	-0.451188
Tyro3	DEG_up	0.449352641420351	0.0106429974584364	672.011813948007	-0.017271	-0.00786	-0.119915	10	1	3	0.717347	0.709487	0.284424
Ehd4	DEG_down	-0.437349479156609	0.007159153513487	144.522499259374	0.014036	-0.003365	0.059285	4	1	1	0.099284	0.095919	-0.091099
Pla2g4e	DEG_down	-0.682777227450457	2.17644671943264e-4	274.199603455216	-0.021694	-0.040496	-0.214403	4	0	2	0.169574	0.129078	-0.407311
Tgm5	DEG_down	-1.62872084402619	9.02228641207986e-6	27.3697211717956	-0.025041	-0.003493	-0.138807	10	3	3	0.360218	0.356725	-0.180881
Sema6d	DEG_down	-0.337296951398746	0.0208083174659522	7952.49808496316	-0.026346	-0.024119	-0.035229	12	4	4	0.388271	0.364152	0.091109
Fbn1	DEG_down	-0.440832235872202	0.00915082965234329	2287.51022403064	0.036052	0.072834	0.073875	11	4	2	0.448254	0.521088	0.199917
Galk2	DEG_down	-0.557103606308722	0.00509371775752141	348.245099098785	-0.018665	-0.06505	-0.075133	8	1	4	0.238266	0.173216	-0.242033
Fam227b	DEG_down	-0.649658254575282	0.0302181404610219	57.2713123471627	0.017598	-0.01209	0.061795	6	1	1	0.157743	0.145653	-0.054158
Prom2	DEG_down	-1.39972834023504	1.11630874262275e-5	32.3019918494003	0.044528	0.041751	0.028891	11	4	3	0.566301	0.608052	-0.734121
Bcl2l11	DEG_down	-0.424719837649073	0.00380661773181151	610.6848131498	-0.028602	-0.015843	-0.135992	6	2	2	0.3897	0.373857	-0.109024
Pcna	DEG_up	0.465019560018698	0.0432605479282505	423.804749240393	-0.033426	-0.039234	-0.314972	7	0	2	0.381576	0.342342	-0.439789
Lrrn4	DEG_down	-1.35698233718071	0.0295205214582952	8.30582966426782	-0.030573	0.005843	-0.072805	16	5	3	0.596247	0.60209	0.012929
Slx4ip	DEG_down	-0.332689555705937	0.00328261158072938	767.979389207918	-0.017322	-0.030543	-0.206228	8	0	3	0.189061	0.158518	-0.50998
Kif16b	DEG_down	-0.685265106645343	4.35785140616263e-8	1224.5852837285	0.014564	0.014998	-0.293515	4	2	0	0.345902	0.3609	-0.388569
Kiz	DEG_down	-0.629270670001356	1.36802438136553e-5	345.483766471871	0.027966	0.034157	0.075339	4	1	0	0.096885	0.131042	0.074456
Tcf15	DEG_down	-1.12719598438088	0.0119876673311451	14.9511435724885	0.018398	0.036929	0.064767	8	2	0	0.362019	0.398948	0.224064
Tspyl3	DEG_up	0.454237447814064	0.0391066364202008	151.035530637199	0.003582	0.004573	0.017591	4	0	0	0.165092	0.169665	0.015319
Cbfa2t2	DEG_down	-0.344268673810094	0.00936769347421215	1552.61448630392	-0.019714	-0.058286	-0.333367	10	0	3	0.305149	0.246863	-1.323277
Necab3	DEG_down	-1.0598350331249	5.39127048885489e-24	689.841922811712	-0.043467	-0.062239	-0.909304	9	0	3	0.556124	0.493885	-2.618859
Myh7b	DEG_up	0.891324743860982	1.19404168887804e-5	151.800099466852	0.023353	0.036827	0.326419	13	2	2	0.593907	0.630734	0.956686
D630003M21Rik	DEG_down	-0.766328210446444	0.00507511325705274	59.3364321075278	-0.027228	-0.024765	-0.098475	8	1	2	0.434506	0.409741	-0.089876
Dhx35	DEG_down	-0.361377022285622	0.0470080151443037	265.813640036578	0.01436	0.01923	0.04645	2	1	0	0.036887	0.056117	0.062927
Mafb	DEG_up	1.19256593961063	1.99265550122784e-4	42.8432501658562	0.013374	0.038948	0.026551	6	3	0	0.219842	0.25879	0.145477
Lpin3	DEG_down	-0.974029646072197	0.00110436065355333	31.5290156966974	0.02331	3.43e-4	0.200835	12	1	1	0.719701	0.720044	0.297042
Chd6	DEG_down	-0.365710050046838	6.9875795959389e-4	4515.27181549259	-0.010933	-0.008944	-0.071263	5	0	1	0.144862	0.135918	-0.103285
Cdh22	DEG_down	-0.459236230738806	0.00369706944519785	1223.74947220293	0.022989	-0.038198	0.286554	16	1	3	0.490783	0.452585	-0.729668
Sulf2	DEG_up	0.612845417600717	1.88729498053395e-4	784.677173644062	0.022268	0.052228	0.065622	6	3	1	0.132349	0.184577	0.231077
Dok5	DEG_down	-0.960268061497899	2.33368867376889e-6	665.543296389083	-0.021345	-0.015629	-0.017758	3	0	1	0.262023	0.246394	0.01434
Ctsz	DEG_up	0.501636526403615	0.0073252758546792	142.18935172283	-0.028569	-0.051922	-0.02988	6	0	3	0.607116	0.555194	0.151367
Chrna4	DEG_up	1.26155251794564	4.21023656667729e-8	136.152763037086	0.027954	0.040727	0.187601	12	2	0	0.409157	0.449884	0.416418
Sox18	DEG_up	1.09049184519983	0.023447180609596	30.216258439922	-0.019774	0.001813	-0.139731	15	1	1	0.514594	0.516407	-0.079806
Zfhx4	DEG_down	-0.981397255328332	1.04897054697176e-19	1243.09513898479	0.062009	-0.01973	-0.005773	8	2	3	0.712097	0.692367	-0.219141
Il7	DEG_down	-0.895245159843744	0.0105617031658488	26.7508485568756	0.067765	-9.46e-4	0.19493	11	2	4	0.571394	0.570448	0.092516
Hey1	DEG_up	0.398737483042696	0.0161661339150576	678.915371714993	-0.029381	-0.029469	-0.237194	9	1	3	0.693015	0.663546	0.135303
Tpd52	DEG_down	-0.343254555565166	0.026411458031789	641.780567389055	-0.024747	0.017098	-0.113372	11	3	2	0.470295	0.487393	0.011325
Mir124-2hg	DEG_down	-0.549222199687259	2.12214562545947e-4	302.730633462723	0.079774	-0.007692	0.032178	6	2	4	0.80985	0.802158	-1.234524
Naaladl2	DEG_down	-0.931907532501681	5.94563766283813e-5	2860.91087366809	-0.017971	-0.014069	-0.075607	6	1	1	0.369093	0.355024	-0.001988
Nlgn1	DEG_down	-0.500186602379749	0.0229316288909386	22561.6804798341	0.089147	0.076129	0.36331	12	5	5	0.640273	0.716402	0.576459
Kcnmb2	DEG_down	-0.600180485272888	0.0309326914078755	1096.79444881381	0.030692	0.03883	0.035028	8	3	1	0.173597	0.212427	0.06236
Usp13	DEG_up	0.674242933880496	6.22100369834743e-5	521.891214870364	0.021289	-0.020067	0.091672	7	1	3	0.37319	0.353123	0.435177
