chr	start	end	TargetGene	gene_class	delta_ABC	log2fc_contact	class	is_se	se_source	k27ac_class	k27ac_fold	k27ac_fdr	hic_contact_pl_scaled_adj_WT	hic_contact_pl_scaled_adj_KO
chr1	14001404	14001904	Eya1	invariant	0.00406	0.6982131440963202	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.006433	0.010454
chr1	14108332	14108832	Eya1	invariant	0.009746	0.9419407218919047	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.005177	0.00997
chr1	14231845	14232782	Eya1	invariant	0.017615	0.26207612280892983	genic	FALSE	none	gained_k27ac	0.747376119130662	0.00236789683224779	0.010139	0.012164
chr1	15616228	15616728	Kcnb2	invariant	-0.002828	0.09560925027545368	genic	FALSE	none	stable_k27ac	-0.00788852854450381	0.970288828430069	0.020173	0.021557
chr1	15936292	15936792	Sbspon	DEG_down	-0.011426	0.3112349033048001	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.015208	0.018876
chr1	15990956	15991456	Crispld1	DEG_up	0.020074	2.2677509599682826	intergenic	FALSE	none	stable_k27ac	-0.471328996471942	0.0130952825011397	1.58e-4	8.62e-4
chr1	15990956	15991456	Eya1	invariant	-0.006126	0.8241124926834267	intergenic	FALSE	none	stable_k27ac	-0.471328996471942	0.0130952825011397	8.6e-4	0.001543
chr1	15990956	15991456	Kcnb2	invariant	-0.014503	-0.26597629629895286	intergenic	FALSE	none	stable_k27ac	-0.471328996471942	0.0130952825011397	0.005717	0.00475
chr1	15990956	15991456	Sbspon	DEG_down	-0.06619	-0.023620259036360468	intergenic	FALSE	none	stable_k27ac	-0.471328996471942	0.0130952825011397	0.015738	0.015482
chr1	15993504	15994004	Sbspon	DEG_down	-0.006204	-0.023754308537483365	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.015711	0.015454
chr1	16618414	16618914	Ube2w	invariant	0.020413	0.041566061076904935	genic	FALSE	none	no_diffbind_peak	NA	NA	0.147354	0.151662
chr1	17041159	17041659	Crispld1	DEG_up	-0.064549	-2.164935849354637	genic	FALSE	none	lost_k27ac	-1.13584612256072	7.56344387812352e-9	0.001922	4.08e-4
chr1	17059887	17060387	Crispld1	DEG_up	0.016941	1.090026451527329	genic	FALSE	none	lost_k27ac	-0.616585226702403	0.00110962668804127	4.2e-4	9.24e-4
chr1	17059887	17060387	Kcnq5	DEG_down	0.026195	4.687631063757033	genic	FALSE	none	lost_k27ac	-0.616585226702403	0.00110962668804127	5.4e-5	0.002048
chr1	17059887	17060387	Ly96	invariant	-0.006172	0.19145466743432843	genic	FALSE	none	lost_k27ac	-0.616585226702403	0.00110962668804127	0.004899	0.005598
chr1	17059887	17060387	Tmem70	invariant	-0.016552	-0.9681461519315185	genic	FALSE	none	lost_k27ac	-0.616585226702403	0.00110962668804127	0.008193	0.004175
chr1	17059887	17060387	Ube2w	invariant	-0.006746	-0.19422417299685815	genic	FALSE	none	lost_k27ac	-0.616585226702403	0.00110962668804127	0.00696	0.00608
chr1	17060515	17061015	Crispld1	DEG_up	0.019092	1.090026451527329	genic	FALSE	none	no_diffbind_peak	NA	NA	4.2e-4	9.24e-4
chr1	17060515	17061015	Kcnq5	DEG_down	0.029384	4.687631063757033	genic	FALSE	none	no_diffbind_peak	NA	NA	5.4e-5	0.002048
chr1	17060515	17061015	Ly96	invariant	-0.006785	0.19145466743432843	genic	FALSE	none	no_diffbind_peak	NA	NA	0.004899	0.005598
chr1	17060515	17061015	Sbspon	DEG_down	-0.010892	-0.6287077237582842	genic	FALSE	none	no_diffbind_peak	NA	NA	0.001137	7.26e-4
chr1	17060515	17061015	Tmem70	invariant	-0.018469	-0.9683216622773416	genic	FALSE	none	no_diffbind_peak	NA	NA	0.008194	0.004175
chr1	17060515	17061015	Ube2w	invariant	-0.007485	-0.19422417299685815	genic	FALSE	none	no_diffbind_peak	NA	NA	0.00696	0.00608
chr1	17090431	17090931	Crispld1	DEG_up	0.013743	1.379225122299375	genic	FALSE	none	lost_k27ac	-1.37376889602233	1.76892952678688e-14	4.4e-4	0.001187
chr1	17090431	17090931	Ly96	invariant	-0.017064	-1.397663381555025	genic	FALSE	none	lost_k27ac	-1.37376889602233	1.76892952678688e-14	0.004857	0.001827
chr1	17121260	17121760	Crispld1	DEG_up	-0.010161	0.586260939329988	intergenic	FALSE	none	lost_k27ac	-1.30456501072665	4.08844215271402e-16	8.99e-4	0.001363
chr1	17121260	17121760	Ly96	invariant	3.02e-4	0.8628280546837804	intergenic	FALSE	none	lost_k27ac	-1.30456501072665	4.08844215271402e-16	0.006608	0.012039
chr1	17121260	17121760	Tmem70	invariant	-0.012883	0.323746402549404	intergenic	FALSE	none	lost_k27ac	-1.30456501072665	4.08844215271402e-16	0.015277	0.019127
chr1	17121260	17121760	Ube2w	invariant	-0.019231	-0.25207001361416487	intergenic	FALSE	none	lost_k27ac	-1.30456501072665	4.08844215271402e-16	0.012649	0.010617
chr1	18903429	18903929	Crispld1	DEG_up	-0.04249	-1.6194870774281525	intergenic	FALSE	none	stable_k27ac	-0.44474890820228	0.0136525336295922	7.77e-4	2.35e-4
chr1	18903429	18903929	Eya1	invariant	-0.026014	-3.179379131217604	intergenic	FALSE	none	stable_k27ac	-0.44474890820228	0.0136525336295922	7.39e-4	5.8e-5
chr1	20905683	20906183	Tram2	invariant	-0.008158	-0.27548201002661243	genic	TRUE	P60	stable_k27ac	-0.241268810306258	0.141673385348749	0.011928	0.00985
chr1	20919696	20920196	Tram2	invariant	-0.007043	-0.03801462155594764	genic	TRUE	P60	stable_k27ac	-0.355860536825624	0.0303365255184396	0.009433	0.009187
chr1	20921038	20921538	Kcnq5	DEG_down	-0.024491	-0.7179980895253967	genic	TRUE	P60	no_diffbind_peak	NA	NA	0.001384	8.31e-4
chr1	20921038	20921538	Tram2	invariant	-0.028382	-0.41996455134862065	genic	TRUE	P60	no_diffbind_peak	NA	NA	0.012537	0.009364
chr1	20922825	20923325	Kcnq5	DEG_down	-0.016116	-0.7163166265834373	genic	TRUE	P60	stable_k27ac	-0.223320869228841	0.148823278504209	0.001384	8.32e-4
chr1	20922825	20923325	Tram2	invariant	-0.009088	-0.4190804625206175	genic	TRUE	P60	stable_k27ac	-0.223320869228841	0.148823278504209	0.01254	0.009372
chr1	21068439	21068939	Tram2	invariant	-0.016439	0.09833984023034523	genic	FALSE	none	no_diffbind_peak	NA	NA	0.0742	0.079436
chr1	21411325	21411825	Kcnq5	DEG_down	0.011652	0.3610738997291439	genic	FALSE	none	no_diffbind_peak	NA	NA	0.010157	0.013053
chr1	22208188	22208688	Kcnq5	DEG_down	-0.010397	-0.2127410697083998	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.007435	0.006412
chr1	22261707	22262207	Kcnq5	DEG_down	0.002568	-0.298466043083555	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.010365	0.008423
chr1	22512391	22512891	Kcnq5	DEG_down	0.018156	1.4839882080971802	genic	FALSE	none	no_diffbind_peak	NA	NA	5.11e-4	0.001477
chr1	22931278	22931778	Kcnq5	DEG_down	0.01544	2.1051416603234236	intergenic	FALSE	none	lost_k27ac	-1.36237779985626	2.69390541908718e-14	2.86e-4	0.001318
chr1	23255872	23256372	Kcnq5	DEG_down	7.1e-5	0.49307855458146155	intergenic	FALSE	none	lost_k27ac	-0.541478639693739	4.17658702264685e-5	0.001451	0.002053
chr1	23382752	23383699	Kcnq5	DEG_down	0.024929	1.740993675728034	genic	FALSE	none	lost_k27ac	-0.565177865503745	0.00105438701748545	8.14e-4	0.002783
chr1	23762815	23763315	Col9a1	DEG_down	3.48e-4	-0.3899495519252067	genic	FALSE	none	stable_k27ac	-0.324943482991188	0.0582017571812466	0.008173	0.006231
chr1	23821573	23822073	Col9a1	DEG_down	-0.004121	0.07651931391328527	genic	FALSE	none	lost_k27ac	-1.54861345429089	1.46147148286526e-14	0.00717	0.007562
chr1	23846108	23846608	Col9a1	DEG_down	0.007064	-0.13955738035822968	genic	FALSE	none	lost_k27ac	-0.889557303208114	2.82051136533952e-8	0.004648	0.004217
chr1	24171424	24171924	Col9a1	DEG_down	0.025403	0.1307164184243074	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.146804	0.160729
chr1	24194095	24194595	Col9a1	DEG_down	-0.017386	-0.06568390511412722	genic	FALSE	none	no_diffbind_peak	NA	NA	0.055447	0.052978
chr1	24223096	24223596	Col9a1	DEG_down	0.020536	0.09014893387702483	genic	FALSE	none	lost_k27ac	-1.50775319449282	1.1658806548571401e-14	0.027703	0.029491
chr1	24226035	24226535	Col19a1	DEG_down	-0.012344	-1.1184035095667024	genic	FALSE	none	no_diffbind_peak	NA	NA	0.005361	0.002455
chr1	24226035	24226535	Col9a1	DEG_down	-0.039861	-0.29914088827353064	genic	FALSE	none	no_diffbind_peak	NA	NA	0.027886	0.022659
chr1	24226835	24227335	Col9a1	DEG_down	-0.034831	-0.3005303658017283	genic	FALSE	none	lost_k27ac	-1.49370404903366	1.76742037435563e-12	0.027839	0.022599
chr1	24230339	24230839	Col9a1	DEG_down	-0.007004	-0.20768492429377633	genic	FALSE	none	lost_k27ac	-1.44695963862312	1.30374501153564e-13	0.031732	0.027474
chr1	24248875	24249375	Col9a1	DEG_down	-0.006003	0.1825659351753607	genic	FALSE	none	lost_k27ac	-1.83771239577775	3.90083106668204e-17	0.032642	0.037049
chr1	24515323	24515823	Col19a1	DEG_down	-0.007039	0.04517280910788101	genic	FALSE	none	lost_k27ac	-1.76652604913513	7.76323848553338e-15	0.03003	0.030986
chr1	24515323	24515823	Lmbrd1	invariant	-0.014455	-0.4313386887908642	genic	FALSE	none	lost_k27ac	-1.76652604913513	7.76323848553338e-15	0.017522	0.012987
chr1	24550824	24551324	Col19a1	DEG_down	-0.011806	-0.1897484815714107	genic	FALSE	none	lost_k27ac	-1.80694187941528	1.3369407469052e-20	0.041307	0.036213
chr1	24550824	24551324	Lmbrd1	invariant	-0.01437	-0.29946711505339935	genic	FALSE	none	lost_k27ac	-1.80694187941528	1.3369407469052e-20	0.019627	0.015943
chr1	24564061	24564561	Col19a1	DEG_down	-0.015873	-0.23232219693321782	genic	FALSE	none	lost_k27ac	-2.63960398076743	1.85321473394968e-24	0.040078	0.034113
chr1	24586458	24586958	Col19a1	DEG_down	0.013946	0.05003229728845218	genic	FALSE	none	no_diffbind_peak	NA	NA	0.147587	0.152796
chr1	24661472	24661972	Col19a1	DEG_down	-0.009306	-0.14561125067432262	intergenic	FALSE	none	lost_k27ac	-1.4041222084842	8.241246678494149e-11	0.017202	0.015548
chr1	24661472	24661972	Lmbrd1	invariant	-0.058227	-0.045955191523409704	intergenic	FALSE	none	lost_k27ac	-1.4041222084842	8.241246678494149e-11	0.059109	0.057255
chr1	25085718	25086218	Lmbrd1	invariant	-0.003458	-0.17953266576712656	genic	FALSE	none	stable_k27ac	-0.214710461987867	0.189137593030165	0.011904	0.010508
chr1	30872740	30873240	Phf3	invariant	-0.006346	-0.01416386834585175	genic	FALSE	none	no_diffbind_peak	NA	NA	0.147267	0.145828
chr1	33739264	33739764	Prim2	invariant	0.00973	0.5365505527450921	genic	FALSE	none	no_diffbind_peak	NA	NA	0.028009	0.040639
chr1	33751166	33751666	Bag2	invariant	-0.030288	0.06915155482773679	genic	FALSE	none	no_diffbind_peak	NA	NA	0.138651	0.14546
chr1	33751166	33751666	Prim2	invariant	0.005166	0.5456355460520576	genic	FALSE	none	no_diffbind_peak	NA	NA	0.015028	0.021948
chr1	33751166	33751666	Rab23	invariant	-0.012042	-0.10855947135345065	genic	FALSE	none	no_diffbind_peak	NA	NA	0.024116	0.022366
chr1	33946925	33947425	Bag2	invariant	-0.004174	-0.2103927322657106	genic	FALSE	none	stable_k27ac	-0.439512345729145	0.00205975413286234	0.007247	0.00626
chr1	33946925	33947425	Prim2	invariant	0.004405	0.26882261683806424	genic	FALSE	none	stable_k27ac	-0.439512345729145	0.00205975413286234	0.00613	0.007391
chr1	34522519	34523019	Arhgef4	invariant	-9.02e-4	0.7442596229709509	intergenic	FALSE	none	lost_k27ac	-1.31562031840623	1.2806619680362198e-11	0.004235	0.007112
chr1	34583788	34584288	Arhgef4	invariant	-0.029108	-0.4026572028857011	genic	FALSE	none	stable_k27ac	-0.175803233385191	0.267064237080963	0.006568	0.004962
chr1	34583788	34584288	Rab23	invariant	0.006768	0.6808246583086799	genic	FALSE	none	stable_k27ac	-0.175803233385191	0.267064237080963	0.001577	0.002544
chr1	34583788	34584288	Uggt1	invariant	-0.01081	-0.8506197565446832	genic	FALSE	none	stable_k27ac	-0.175803233385191	0.267064237080963	0.004488	0.002477
chr1	34584761	34585261	Arhgef4	invariant	-0.002965	0.08681149194446436	genic	FALSE	none	no_diffbind_peak	NA	NA	0.006294	0.006686
chr1	34664117	34664617	Arhgef4	invariant	0.003974	-0.045592559280387364	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.052982	0.051333
chr1	34666169	34666669	Arhgef4	invariant	0.006759	-0.007101490681280968	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.079195	0.078806
chr1	34749144	34749644	Arhgef4	invariant	5.06e-4	0.031394832341577784	genic	FALSE	none	no_diffbind_peak	NA	NA	0.01161	0.011866
chr1	36252745	36253245	Uggt1	invariant	0.003463	0.13581782058300546	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.085958	0.094446
chr1	36254735	36255235	Uggt1	invariant	-0.012826	0.1498536962347001	intergenic	FALSE	none	lost_k27ac	-1.09093833354455	1.41013525158109e-7	0.080142	0.088917
chr1	36266177	36266677	Arid5a	invariant	-0.013749	0.13408190319793395	genic	FALSE	none	lost_k27ac	-1.31859485929277	2.5373683677921003e-10	0.021329999999999998	0.02341
chr1	36266177	36266677	Il1r1	invariant	-0.020638	-3.4691141720346366	genic	FALSE	none	lost_k27ac	-1.31859485929277	2.5373683677921003e-10	0.00102	6.8e-5
chr1	36266177	36266677	Uggt1	invariant	-0.044903	-0.11428719528928943	genic	FALSE	none	lost_k27ac	-1.31859485929277	2.5373683677921003e-10	0.041832	0.038644
chr1	36296294	36296794	Arid5a	invariant	-0.010723	0.10788800701926138	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.076059	0.081967
chr1	36296294	36296794	Uggt1	invariant	-0.007975	-0.1704250215786359	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.020715	0.018404
chr1	36303255	36303755	Arid5a	invariant	0.011267	0.08776131315264248	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.171833	0.182612
chr1	36309426	36309926	Arid5a	invariant	0.007474	0.08776131315264248	genic	FALSE	none	no_diffbind_peak	NA	NA	0.171833	0.182612
chr1	36321106	36321606	Arid5a	invariant	-0.006324	-0.101552464653545	genic	FALSE	none	no_diffbind_peak	NA	NA	0.059823	0.055755
chr1	36492363	36492863	Arid5a	invariant	-0.031212	-0.6056285177117112	genic	TRUE	P60	lost_k27ac	-0.532086328819235	0.00110020686474887	0.023018	0.015118
chr1	36492363	36492863	Cnnm3	invariant	-0.020581	-0.14367451851498533	genic	TRUE	P60	lost_k27ac	-0.532086328819235	0.00110020686474887	0.04539	0.041085000000000003
chr1	36492363	36492863	Cox5b	invariant	-0.006141	-0.11430080428917525	genic	TRUE	P60	lost_k27ac	-0.532086328819235	0.00110020686474887	0.01024	0.009458
chr1	36492363	36492863	Uggt1	invariant	-0.003578	-0.058008013155388415	genic	TRUE	P60	lost_k27ac	-0.532086328819235	0.00110020686474887	0.006114	0.005872
chr1	36512515	36513015	Cnnm3	invariant	0.015261	0.07933554983765087	genic	TRUE	P60	stable_k27ac	0.00847743558907224	0.960394356185175	0.172002	0.181727
chr1	36518220	36518720	Cnnm3	invariant	0.017747	0.025497640038021328	genic	TRUE	P60	stable_k27ac	0.247071134270712	0.103442966302973	0.161156	0.16403
chr1	36535837	36536337	Cnnm3	invariant	-0.007355	0.00789950636486629	genic	FALSE	none	lost_k27ac	-0.577269793157852	2.843005055198e-4	0.05607	0.056378
chr1	36535837	36536337	Cox5b	invariant	-0.009503	-0.2962875597837905	genic	FALSE	none	lost_k27ac	-0.577269793157852	2.843005055198e-4	0.027697	0.02255
chr1	36552546	36553046	Cnnm3	invariant	-0.014658	-0.4149010351229967	genic	TRUE	P60	no_diffbind_peak	NA	NA	0.029926	0.02244
chr1	36552546	36553046	Cox5b	invariant	-0.014936	-0.10332096550653898	genic	TRUE	P60	no_diffbind_peak	NA	NA	0.032862	0.030589
chr1	36636011	36636949	Cnnm3	invariant	0.005138	0.398592516523807	genic	FALSE	none	lost_k27ac	-0.549772222306182	0.00248745104350168	0.014388	0.018975
chr1	36636011	36636949	Cox5b	invariant	-0.013897	-0.2320130949094351	genic	FALSE	none	lost_k27ac	-0.549772222306182	0.00248745104350168	0.023608	0.020097
chr1	36684115	36684615	Cox5b	invariant	0.002477	0.03006231895279748	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.084794	0.08658
chr1	36939549	36940049	Coa5	invariant	-0.012103	-1.2236367274161828	genic	FALSE	none	stable_k27ac	-0.148552364691866	0.294497476771954	0.009253	0.003947
chr1	36939549	36940049	Unc50	invariant	-0.012104	-1.2236367274161828	genic	FALSE	none	stable_k27ac	-0.148552364691866	0.294497476771954	0.009253	0.003947
chr1	37341860	37342360	Inpp4a	invariant	-0.020599	-0.13203605951144157	genic	FALSE	none	lost_k27ac	-1.09341676416207	1.4811284815338699e-12	0.036437	0.033248
chr1	37347298	37347798	Coa5	invariant	-0.006227	-0.19294806225730854	genic	FALSE	none	stable_k27ac	-0.470442104736619	0.0212346402119265	0.0146	0.012769
chr1	37347298	37347798	Inpp4a	invariant	-0.013419	-0.15999644776103908	genic	FALSE	none	stable_k27ac	-0.470442104736619	0.0212346402119265	0.039479	0.035332
chr1	37347298	37347798	Unc50	invariant	-0.006227	-0.192962177781951	genic	FALSE	none	stable_k27ac	-0.470442104736619	0.0212346402119265	0.014599000000000001	0.012768
chr1	37368106	37368606	Inpp4a	invariant	0.007182	0.10241243430647781	genic	FALSE	none	stable_k27ac	-0.00922630779449203	0.959357828424863	0.036797	0.039506
chr1	37379481	37379981	Inpp4a	invariant	0.001952	-0.06359186838203035	genic	FALSE	none	stable_k27ac	0.0965648312593389	0.573189733720572	0.030353	0.029043
chr1	37386566	37387066	Coa5	invariant	0.012348	0.2522247846222474	genic	FALSE	none	stable_k27ac	0.0631948707695024	0.676584586024153	0.016373	0.019506
chr1	37386566	37387066	Il1r1	invariant	0.021713	3.429987840744815	genic	FALSE	none	stable_k27ac	0.0631948707695024	0.676584586024153	9.5e-5	0.001283
chr1	37386566	37387066	Inpp4a	invariant	0.014693	0.06499259149507672	genic	FALSE	none	stable_k27ac	0.0631948707695024	0.676584586024153	0.034045	0.035615
chr1	37386566	37387066	Unc50	invariant	0.012349	0.25228123981951567	genic	FALSE	none	stable_k27ac	0.0631948707695024	0.676584586024153	0.016369	0.019502
chr1	37409541	37410041	Coa5	invariant	0.002217	0.37812474294315773	genic	FALSE	none	stable_k27ac	0.0187537333400686	0.913532629205747	0.02565	0.033344
chr1	37409541	37410041	Unc50	invariant	0.002221	0.37852243858611784	genic	FALSE	none	stable_k27ac	0.0187537333400686	0.913532629205747	0.025626	0.033322
chr1	37410129	37410629	Coa5	invariant	0.003271	0.01901922583035257	genic	FALSE	none	no_diffbind_peak	NA	NA	0.039912	0.040442
chr1	37410129	37410629	Unc50	invariant	0.00327	0.018993497084538433	genic	FALSE	none	no_diffbind_peak	NA	NA	0.039891	0.04042
chr1	37864422	37864922	Mrpl30	invariant	-0.0014	-0.003745184670414174	genic	FALSE	none	stable_k27ac	-0.223983637307351	0.0816787876230337	0.037002	0.036906
chr1	37864987	37865487	Coa5	invariant	-0.013432	-0.7849617354526607	genic	FALSE	none	stable_k27ac	-0.223983637307351	0.0816787876230337	0.006534	0.003781
chr1	37864987	37865487	Cox5b	invariant	0.014753	1.7726169297343894	genic	FALSE	none	stable_k27ac	-0.223983637307351	0.0816787876230337	0.001898	0.006549
chr1	37864987	37865487	Inpp4a	invariant	-0.003961	-0.3631347859898815	genic	FALSE	none	stable_k27ac	-0.223983637307351	0.0816787876230337	0.004719	0.003663
chr1	37864987	37865487	Mrpl30	invariant	0.005767	0.13919249714354712	genic	FALSE	none	stable_k27ac	-0.223983637307351	0.0816787876230337	0.047353	0.052152
chr1	37864987	37865487	Rev1	invariant	0.016553	0.45935968709185354	genic	FALSE	none	stable_k27ac	-0.223983637307351	0.0816787876230337	0.010002	0.013762
chr1	37864987	37865487	Txndc9	invariant	9.39e-4	0.20551946155820522	genic	FALSE	none	stable_k27ac	-0.223983637307351	0.0816787876230337	0.021149	0.024391
chr1	37864987	37865487	Unc50	invariant	-0.013432	-0.7849617354526607	genic	FALSE	none	stable_k27ac	-0.223983637307351	0.0816787876230337	0.006534	0.003781
chr1	38835550	38836050	Lonrf2	invariant	0.017617	0.004478329187322411	genic	FALSE	none	no_diffbind_peak	NA	NA	0.176238	0.176786
chr1	38847909	38848409	Lonrf2	invariant	0.020645	0.24101463894564845	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.084825	0.100253
chr1	38876739	38877239	Lonrf2	invariant	-0.013104	-0.4931191768012794	genic	FALSE	none	lost_k27ac	-0.585314705812978	0.00139532449504232	0.025285	0.017957
chr1	38987480	38987980	Cnot11	invariant	0.00572	0.19484759362347223	genic	FALSE	none	stable_k27ac	-0.0335473981150925	0.822352151662965	0.023659	0.027084
chr1	38987480	38987980	Lonrf2	invariant	0.001057	0.15883881930322538	genic	FALSE	none	stable_k27ac	-0.0335473981150925	0.822352151662965	0.00988	0.011033
chr1	39446133	39446633	Cnot11	invariant	-0.008113	-0.06705624601197448	genic	TRUE	P60	lost_k27ac	-0.807813001086376	7.96211033910251e-8	0.014792	0.014119
chr1	39446133	39446633	Il1r1	invariant	0.014767	1.607301450901309	genic	TRUE	P60	lost_k27ac	-0.807813001086376	7.96211033910251e-8	3.58e-4	0.001145
