chr1	x1	x2	chr2	y1	y2	ctrl_merge	mut_merge
chr8	71195000	71200000	chr8	71855000	71860000	70.69275261958437	51.83492904901507
chr8	35475000	35480000	chr8	35850000	35855000	62.826616406440735	74.50071195761363
chr8	52155000	52160000	chr8	52570000	52575000	40.700385689735434	43.13062673807147
chr14	27335000	27340000	chr14	27390000	27395000	167.57845637202266	172.677948474884
chr14	24575000	24580000	chr14	24610000	24615000	210.67284059524533	212.49878907203666
chr14	63755000	63760000	chr14	63795000	63800000	184.30158885320031	177.90142643451702
chr14	62340000	62345000	chr14	62385000	62390000	183.85625712076833	170.06050284703568
chr14	54710000	54715000	chr14	54835000	54840000	169.042117913564	169.001786629359
chr14	70545000	70550000	chr14	70645000	70650000	118.74924619992562	124.656709472338
chr14	30825000	30830000	chr14	30860000	30865000	268.9876453081767	280.364471276601
chr14	122910000	122915000	chr14	122960000	122965000	160.41817728678367	145.439558903376
chr14	63075000	63080000	chr14	63120000	63125000	161.79386142889635	151.92948826154066
chr14	13960000	13965000	chr14	14010000	14015000	218.04404020309434	198.40188781420397
chr14	20720000	20725000	chr14	20795000	20800000	148.637735525767	129.519939084848
chr14	55495000	55500000	chr14	55595000	55600000	136.35535307725266	121.50864136219032
chr14	8170000	8175000	chr14	8330000	8335000	62.384489158789336	63.1912615696589
chr14	60250000	60255000	chr14	60695000	60700000	47.49237306912744	45.453659703334175
chr14	24790000	24795000	chr14	25455000	25460000	49.0641508102417	39.584587504466334
chr14	7960000	7965000	chr14	8345000	8350000	46.1793694496155	47.59719338019687
chr14	102020000	102025000	chr14	102980000	102985000	45.80605988701186	41.28166228532789
chr14	61650000	61655000	chr14	62455000	62460000	38.386472860972106	34.29790808757147
chr14	27805000	27810000	chr14	29440000	29445000	44.491265445947626	38.225097010533
chr14	64950000	64955000	chr14	65265000	65270000	24.320917348066967	19.7421122888724
chr9	103580000	103585000	chr9	103620000	103625000	273.59213519096403	257.1661963462827
chr9	29460000	29465000	chr9	29520000	29525000	204.060252428055	189.76717150211334
chr9	110650000	110655000	chr9	110685000	110690000	518.8280199368793	513.7870287895204
chr9	42185000	42190000	chr9	42225000	42230000	311.611663500468	269.6037661234537
chr9	28405000	28410000	chr9	28440000	28445000	275.71576046943665	232.038892507553
chr9	42070000	42075000	chr9	42115000	42120000	359.67667452494305	340.3502588272093
chr9	47305000	47310000	chr9	47345000	47350000	240.20398950576768	224.49182081222534
chr9	99395000	99400000	chr9	99430000	99435000	289.85634636878933	309.66183972358704
chr9	55045000	55050000	chr9	55080000	55085000	409.977250576019	403.644841035207
chr9	120830000	120835000	chr9	120865000	120870000	345.2231225967407	328.838678518931
chr9	83445000	83450000	chr9	83485000	83490000	351.468623638153	318.0255198478703
chr9	55230000	55235000	chr9	55275000	55280000	305.27989625930763	274.5905717213947
chr9	55250000	55255000	chr9	55295000	55300000	416.754370212555	370.590649286906
chr9	13595000	13600000	chr9	13650000	13655000	261.82467603683466	235.48665984471634
chr9	108520000	108525000	chr9	108565000	108570000	309.72835254669207	258.9141955375673
chr9	64345000	64350000	chr9	64555000	64560000	115.34391425053268	113.10670584440247
chr9	119340000	119345000	chr9	119400000	119405000	202.621340870857	182.66756371657036
chr9	34770000	34775000	chr9	34810000	34815000	263.5262728532157	235.276854276657
chr9	21510000	21515000	chr9	21545000	21550000	408.5218367576597	400.47606356938667
chr9	64460000	64465000	chr9	64505000	64510000	252.851461569468	227.42376391092932
chr9	118175000	118180000	chr9	118225000	118230000	299.4825701713563	254.91410223643
chr9	114980000	114985000	chr9	115020000	115025000	254.24882324536665	253.30509154001868
chr9	56950000	56955000	chr9	57070000	57075000	161.444766600927	147.53455821673066
chr9	54860000	54865000	chr9	54915000	54920000	175.908371488253	158.74346876144435
chr9	52095000	52100000	chr9	52165000	52170000	145.87570122877733	124.537586847941
chr9	20520000	20525000	chr9	20605000	20610000	138.77399075031266	122.42321916421268
chr9	66735000	66740000	chr9	66790000	66795000	241.299721678098	185.47255261739133
chr9	28565000	28570000	chr9	28690000	28695000	134.539504388968	106.09111920992534
chr9	28440000	28445000	chr9	28615000	28620000	133.81671126683568	119.47688496112801
chr9	66835000	66840000	chr9	66920000	66925000	183.0174486239753	162.66696600119266
chr9	20610000	20615000	chr9	20645000	20650000	297.6499287287393	211.2556169827777
chr9	114750000	114755000	chr9	114910000	114915000	87.0181565284729	81.46021699905394
chr9	120600000	120605000	chr9	120830000	120835000	131.077126264572	117.67870136102043
chr9	23220000	23225000	chr9	23380000	23385000	79.87292772531505	85.72595129410423
chr9	71825000	71830000	chr9	72105000	72110000	122.75376582145698	121.58779994646733
chr9	66510000	66515000	chr9	66830000	66835000	126.18562809626235	105.71657226483013
chr9	59720000	59725000	chr9	59985000	59990000	108.58875489234926	71.47297686338423
chr9	52045000	52050000	chr9	52165000	52170000	93.31244017680494	86.32594309250514
chr9	124310000	124315000	chr9	124425000	124430000	196.1635623772937	157.83696703116132
chr9	94375000	94380000	chr9	94580000	94585000	123.37469995021793	94.72872821489962
chr9	66460000	66465000	chr9	66825000	66830000	173.55022118488932	132.41882205009435
chr9	86035000	86040000	chr9	86090000	86095000	202.22946802775064	168.20945346355435
chr9	123715000	123720000	chr9	124425000	124430000	40.9257431427638	38.08317456642787
chr11	53430000	53435000	chr11	53465000	53470000	312.7140164375307	245.912522037824
chr11	32640000	32645000	chr11	32705000	32710000	422.64950942993164	411.4662165641783
chr11	114500000	114505000	chr11	114545000	114550000	318.78121296564734	304.40110206604
chr11	32515000	32520000	chr11	32590000	32595000	272.6543281873067	236.9539029598237
chr11	103190000	103195000	chr11	103265000	103270000	229.74838924407936	197.978405157725
chr11	61020000	61025000	chr11	61075000	61080000	382.7792433102927	355.24096393585205
chr11	51965000	51970000	chr11	52000000	52005000	296.15541179974866	250.01419961452464
chr11	50290000	50295000	chr11	50325000	50330000	315.222981929779	275.648009856542
chr11	102185000	102190000	chr11	102245000	102250000	301.89516973495466	280.4326012929277
chr11	118160000	118165000	chr11	118200000	118205000	466.7253314654033	429.553596655528
chr11	101810000	101815000	chr11	101850000	101855000	343.9771535396573	319.27077579498297
chr11	101010000	101015000	chr11	101050000	101055000	418.2765798568726	387.64970541000366
chr11	87070000	87075000	chr11	87105000	87110000	267.8151240348813	284.9528146584826
chr11	60875000	60880000	chr11	60925000	60930000	231.14780137936268	218.36532147725435
chr11	54875000	54880000	chr11	54925000	54930000	252.92163260777798	227.70635525385532
chr11	99185000	99190000	chr11	99290000	99295000	254.3266432682673	267.137854854266
chr11	97880000	97885000	chr11	97985000	97990000	197.387074828148	180.29970538616166
chr11	118570000	118575000	chr11	118615000	118620000	362.42792308330536	357.5635135968526
chr11	108925000	108930000	chr11	109190000	109195000	169.96740430593468	143.79111625750866
chr11	60775000	60780000	chr11	60830000	60835000	229.63614567120865	218.15666747093235
chr11	61355000	61360000	chr11	61390000	61395000	357.697274128596	321.23153591156034
chr11	5115000	5120000	chr11	5150000	5155000	449.822010676066	455.2389171918233
chr11	106520000	106525000	chr11	106625000	106630000	286.95179367065435	259.408622264862
chr11	69655000	69660000	chr11	69875000	69880000	163.23881975809698	130.74149797360099
chr11	61190000	61195000	chr11	61345000	61350000	216.64937138557434	191.118663628896
chr11	53930000	53935000	chr11	54000000	54005000	131.48293681939467	122.75957155227665
chr11	4095000	4100000	chr11	4135000	4140000	363.82504510879534	315.90799172719335
chr11	79620000	79625000	chr11	79920000	79925000	165.90408786137868	135.63888363043466
chr11	16965000	16970000	chr11	17050000	17055000	223.46467932065335	200.52190470695498
chr11	116225000	116230000	chr11	116295000	116300000	226.05130489667263	236.491896589597
chr11	82760000	82765000	chr11	82870000	82875000	118.14831622441596	94.52788921197254
chr11	31720000	31725000	chr11	31775000	31780000	318.5474536418913	294.0475622812903
chr11	20630000	20635000	chr11	20740000	20745000	145.275526583195	120.54108242193836
chr11	114880000	114885000	chr11	115150000	115155000	81.47142048676811	72.93559885025023
chr11	82540000	82545000	chr11	82680000	82685000	72.83322348197304	78.08602509895961
chr11	92405000	92410000	chr11	93850000	93855000	124.2116004427276	103.95680461327237
chr11	92405000	92410000	chr11	93810000	93815000	99.72138788302722	99.43640506267552
chr11	98695000	98700000	chr11	98910000	98915000	115.42928413550051	95.5679766535759
chr11	99745000	99750000	chr11	100030000	100035000	54.311441520849876	53.24258879820507
chr11	34840000	34845000	chr11	35450000	35455000	172.40911058584834	144.87413128217068
chr11	17765000	17770000	chr11	18750000	18755000	61.01192604502044	38.63140451908114
chr13	101450000	101455000	chr13	101485000	101490000	298.508369286855	249.70443129539498
chr13	54245000	54250000	chr13	54280000	54285000	240.09078550338734	213.25711896022167
chr13	99445000	99450000	chr13	99480000	99485000	302.35843054453534	287.986686309179
chr13	21940000	21945000	chr13	22025000	22030000	135.57034242153165	136.319193204244
chr13	21480000	21485000	chr13	21520000	21525000	246.69616885979966	204.91578086217234
chr13	46990000	46995000	chr13	47040000	47045000	120.20104285081216	108.47732321421317
chr13	34000000	34005000	chr13	34035000	34040000	197.91490431626633	161.97452191511766
chr13	69760000	69765000	chr13	69805000	69810000	211.40921243031835	190.15810833374633
chr13	18955000	18960000	chr13	19010000	19015000	275.85426696141536	280.1754798889163
chr13	94170000	94175000	chr13	94205000	94210000	249.60280974706032	234.45994190375032
chr13	62915000	62920000	chr13	63355000	63360000	152.18186994393668	131.5957653721173
chr13	42985000	42990000	chr13	43110000	43115000	102.74215332667059	100.06161391735087
chr13	23585000	23590000	chr13	23695000	23700000	104.66985011100782	101.81070476770397
chr13	119630000	119635000	chr13	119690000	119695000	212.79725829760264	181.40473620096836
chr13	101550000	101555000	chr13	101690000	101695000	93.05904404322312	80.19289153814316
chr13	59585000	59590000	chr13	59625000	59630000	185.63489619890868	170.91131846110034
chr13	21220000	21225000	chr13	21320000	21325000	99.83241317669535	101.42423534393328
chr13	109050000	109055000	chr13	109115000	109120000	166.27599857250834	140.872445901235
chr13	74390000	74395000	chr13	74490000	74495000	100.41915486256279	103.7904293338457
chr13	48875000	48880000	chr13	49170000	49175000	81.669526775678	69.19144969185193
chr13	113950000	113955000	chr13	114055000	114060000	104.45033369461693	82.37337162097306
chr13	110445000	110450000	chr13	110495000	110500000	179.00210849444068	161.89456534385667
chr13	21775000	21780000	chr13	22040000	22045000	100.78951101501798	70.713021983703
chr13	69740000	69745000	chr13	70230000	70235000	78.02444646755856	82.7663167119026
chr13	52535000	52540000	chr13	52625000	52630000	107.19113610188163	91.60322825113947
chr13	97240000	97245000	chr13	97825000	97830000	73.35594169298805	71.86947731177013
chr13	80880000	80885000	chr13	81425000	81430000	61.55498480796813	55.02970679601034
chr12	83210000	83215000	chr12	83245000	83250000	245.98380617300668	235.24207524458564
chr12	86830000	86835000	chr12	86865000	86870000	444.1006207466123	394.664374669393
chr12	110935000	110940000	chr12	111035000	111040000	123.19263875484467	119.8508344491322
chr12	77525000	77530000	chr12	77565000	77570000	187.75983989238765	191.80323108037302
chr12	83175000	83180000	chr12	83300000	83305000	118.53414948781334	119.35889927546162
chr12	17650000	17655000	chr12	17690000	17695000	188.14573685328165	173.3896311124163
chr12	84690000	84695000	chr12	84750000	84755000	221.53383409976968	205.33821709950735
chr12	54655000	54660000	chr12	54695000	54700000	200.80524901549032	185.69785380363433
chr12	85215000	85220000	chr12	85265000	85270000	171.6792115767797	154.61169564723934
chr12	32910000	32915000	chr12	33025000	33030000	112.84828686714167	95.59816775719332
chr12	76015000	76020000	chr12	76125000	76130000	142.48945520321533	121.84343701601034
chr12	85965000	85970000	chr12	86025000	86030000	194.27705804506968	178.82165678342167
chr12	9875000	9880000	chr12	9915000	9920000	224.45075909296668	192.454561471939
chr12	4035000	4040000	chr12	4075000	4080000	238.86565319697067	219.43660696347533
chr12	75495000	75500000	chr12	75555000	75560000	197.605716228485	186.94847408930468
chr12	69360000	69365000	chr12	69415000	69420000	142.72374045848832	117.37045162916199
chr12	69745000	69750000	chr12	69820000	69825000	158.371644814809	151.99021887779233
chr12	104600000	104605000	chr12	104645000	104650000	131.16925934950498	126.03980255126966
chr12	100775000	100780000	chr12	100840000	100845000	105.80306272705381	98.71105240782113
chr12	100195000	100200000	chr12	100475000	100480000	83.30949040253957	80.9036650657654
chr12	78860000	78865000	chr12	79170000	79175000	68.9344551563263	52.45533937215803
chr12	80895000	80900000	chr12	80940000	80945000	134.84330743551268	133.45870920022332
chr12	70065000	70070000	chr12	70140000	70145000	121.17787603537232	112.29491976896934
chr12	21075000	21080000	chr12	21315000	21320000	125.43229544162767	120.8616176446281
chr12	81090000	81095000	chr12	81170000	81175000	128.272610783577	119.47616509596499
chr12	56055000	56060000	chr12	56540000	56545000	132.57878627379736	165.35057099660267
chr15	82165000	82170000	chr15	82205000	82210000	383.56284904480003	374.2694047292077
chr15	89125000	89130000	chr15	89195000	89200000	280.864138444265	272.47921140988666
chr15	25635000	25640000	chr15	25715000	25720000	148.31618779897698	138.324721733729
chr15	78115000	78120000	chr15	78170000	78175000	184.219132820765	185.26385879516602
chr15	74710000	74715000	chr15	74750000	74755000	235.65104838212332	214.87458606561032
chr15	81740000	81745000	chr15	81780000	81785000	327.1567819913227	309.779907464981
chr15	44745000	44750000	chr15	44785000	44790000	228.4316172798473	221.321000258128
chr15	29050000	29055000	chr15	29220000	29225000	133.26289912064865	86.84602141380306
chr15	58075000	58080000	chr15	58135000	58140000	153.13742566108667	137.08805636564898
chr15	27660000	27665000	chr15	27715000	27720000	224.10322761535633	219.07096449534103
chr15	103760000	103765000	chr15	103895000	103900000	129.01548683643347	103.95398314793898
chr15	64760000	64765000	chr15	64915000	64920000	104.59996803601582	80.16552684704465
chr15	4065000	4070000	chr15	4375000	4380000	115.5695138971012	100.02233433723457
chr15	99495000	99500000	chr15	99775000	99780000	98.96388187011082	86.83529843886693
chr15	72205000	72210000	chr15	73040000	73045000	80.84696088234584	69.75254555543263
chr15	40165000	40170000	chr15	40530000	40535000	106.03756769498193	79.02789320548374
chr15	12320000	12325000	chr15	12450000	12455000	71.34628619750339	62.43078807989756
chr16	17470000	17475000	chr16	17505000	17510000	295.4253032207487	289.14103253682464
chr16	93685000	93690000	chr16	93785000	93790000	294.53005894025165	295.4400185743967
chr16	20695000	20700000	chr16	20730000	20735000	238.2088794310887	229.97980618476868
chr16	94930000	94935000	chr16	94995000	95000000	168.37155556678766	165.60689183076235
chr16	37615000	37620000	chr16	37650000	37655000	250.71501000722267	216.37590154012037
chr16	28590000	28595000	chr16	28750000	28755000	154.94755335648833	143.477148294449
chr16	4725000	4730000	chr16	4780000	4785000	264.5271900494893	243.67150656382236
chr16	89845000	89850000	chr16	90185000	90190000	160.99962180852899	144.04436449209834
chr16	43465000	43470000	chr16	43500000	43505000	233.78971370061265	197.262521584829
chr16	41870000	41875000	chr16	41935000	41940000	149.574022849401	130.12026425202666
chr16	41530000	41535000	chr16	41650000	41655000	125.41810301939633	98.07121435801177
chr16	41670000	41675000	chr16	41730000	41735000	181.59624115626033	163.66702771186803
chr16	17145000	17150000	chr16	17200000	17205000	159.572701772054	150.52735404173535
chr16	4215000	4220000	chr16	4265000	4270000	163.423644900322	161.07802446683266
chr16	24190000	24195000	chr16	24460000	24465000	87.19058059652646	68.30056405067444
chr16	92385000	92390000	chr16	92455000	92460000	288.3439695040386	295.472990989685
chr16	76370000	76375000	chr16	76430000	76435000	131.452142417431	110.88004386425017
chr16	76250000	76255000	chr16	76300000	76305000	228.74277609586701	213.729858160019
chr16	31615000	31620000	chr16	31700000	31705000	177.76746805508932	145.30876537164033
chr16	13900000	13905000	chr16	13985000	13990000	108.8126454750698	107.56314490238829
chr16	6345000	6350000	chr16	6475000	6480000	108.43946854273463	115.659952302774
chr16	33380000	33385000	chr16	33735000	33740000	111.23519241809844	99.4594663580259
chr16	93605000	93610000	chr16	93830000	93835000	82.5575907826424	95.2647630572319
chr16	28235000	28240000	chr16	28475000	28480000	106.09215424458164	83.80306537946068
chr16	18625000	18630000	chr16	18795000	18800000	95.60718021790201	86.4689029455185
chr16	35055000	35060000	chr16	35270000	35275000	104.31405242284147	94.28313267230988
chr16	72995000	73000000	chr16	73155000	73160000	93.23103076219547	72.553907930851
chr17	88385000	88390000	chr17	88420000	88425000	302.0213227272033	269.5570921500527
chr17	78400000	78405000	chr17	78435000	78440000	270.404422680537	235.10434563954666
chr17	86165000	86170000	chr17	86250000	86255000	233.10217857360865	238.12358657519033
chr17	23785000	23790000	chr17	23825000	23830000	231.06230227152534	209.91212018330864
chr17	27870000	27875000	chr17	27905000	27910000	275.34580254554766	283.8618504206343
chr17	24475000	24480000	chr17	24525000	24530000	246.94392697016397	265.056086063385
chr17	5490000	5495000	chr17	5570000	5575000	196.07113353411364	193.86982381343864
chr17	46660000	46665000	chr17	46705000	46710000	283.57808987299603	259.36742023626965
chr17	29455000	29460000	chr17	29490000	29495000	361.1829568545024	332.02975193659466
chr17	86290000	86295000	chr17	86350000	86355000	215.86243359247865	202.89184153079964
chr17	26560000	26565000	chr17	26600000	26605000	339.16605067253136	333.9583586057027
chr17	26030000	26035000	chr17	26070000	26075000	415.7628672917683	416.17926899592067
chr17	25830000	25835000	chr17	25870000	25875000	319.780404249827	317.11738840738934
chr17	5550000	5555000	chr17	5620000	5625000	245.23007225990298	224.86930902798966
chr17	33840000	33845000	chr17	33890000	33895000	173.866459389528	165.76276580492666
chr17	57030000	57035000	chr17	57245000	57250000	64.55597166220348	53.28081711133319
chr17	56275000	56280000	chr17	56350000	56355000	229.73652990659068	209.69298346837365
chr17	25880000	25885000	chr17	25970000	25975000	280.14581823349	254.69971466064464
chr17	80800000	80805000	chr17	80940000	80945000	117.5114970008533	103.99109496672973
chr17	35920000	35925000	chr17	35965000	35970000	271.62441519896197	240.90981364250197
chr17	48415000	48420000	chr17	48465000	48470000	147.069427371025	106.5539744496345
chr17	5440000	5445000	chr17	5840000	5845000	73.00493158896764	72.61854686339697
chr17	6105000	6110000	chr17	6200000	6205000	454.31764666239434	407.3481545448303
chr17	46030000	46035000	chr17	46110000	46115000	139.58427699406965	132.32723889748266
chr17	28620000	28625000	chr17	28690000	28695000	145.97605669498432	145.06017879645
chr17	25015000	25020000	chr17	25270000	25275000	82.54353753725688	75.23942659298581
chr17	88950000	88955000	chr17	90500000	90505000	49.925872127215065	43.581638952096306
chr17	46525000	46530000	chr17	46770000	46775000	101.97474857171387	95.52111973365136
chr17	90650000	90655000	chr17	90910000	90915000	81.84095457196234	87.69992858171463
chr17	71525000	71530000	chr17	72835000	72840000	47.45168427626294	46.12571885188424
chr1	22930000	22935000	chr1	22985000	22990000	246.08690996964765	205.37910091876998
chr1	193205000	193210000	chr1	193240000	193245000	251.155726969242	244.65380167961135
chr1	36240000	36245000	chr1	36275000	36280000	339.7484685579937	333.8822458585103
chr1	130795000	130800000	chr1	130835000	130840000	184.60494573911032	173.675239086151
chr1	78310000	78315000	chr1	78370000	78375000	253.44777059555034	232.37861728668236
chr1	177590000	177595000	chr1	177680000	177685000	137.474348584811	133.82978349924068
chr1	36305000	36310000	chr1	36365000	36370000	155.6227136452993	134.44046942393
chr1	152900000	152905000	chr1	152990000	152995000	172.22563815116902	144.4089471300443
chr1	74540000	74545000	chr1	74585000	74590000	204.25664814313268	203.98264543215433
chr1	172120000	172125000	chr1	172310000	172315000	203.64370997746767	186.39302118619298
chr1	38895000	38900000	chr1	38935000	38940000	205.99071391423533	192.29276553789768
chr1	37540000	37545000	chr1	37585000	37590000	240.180413166682	230.228377978007
chr1	6770000	6775000	chr1	6820000	6825000	282.40612212816865	243.70870478947936
chr1	168220000	168225000	chr1	168305000	168310000	150.74935392538734	149.94299010435734
chr1	152300000	152305000	chr1	152345000	152350000	254.85467378298435	251.82227929433202
chr1	134150000	134155000	chr1	134415000	134420000	102.32324886322027	103.86172443628313
chr1	80340000	80345000	chr1	80425000	80430000	152.09948062896734	122.38992691040067
chr1	182340000	182345000	chr1	182405000	182410000	150.521944363912	133.07319549719466
chr1	64340000	64345000	chr1	64410000	64415000	207.43074675401067	181.22699046134935
chr1	178960000	178965000	chr1	179060000	179065000	152.86733943223967	126.90687922636668
chr1	131290000	131295000	chr1	131335000	131340000	223.31950362523435	194.16806741555533
chr1	183295000	183300000	chr1	183345000	183350000	186.92269547780367	166.20914518833166
chr1	164245000	164250000	chr1	164305000	164310000	150.40262329578403	143.92784442504234
chr1	91345000	91350000	chr1	91480000	91485000	114.40367941061645	151.209964553515
chr1	131935000	131940000	chr1	131975000	131980000	237.11673577626564	249.244558493296
chr1	39685000	39690000	chr1	39980000	39985000	116.60751016934734	117.02011285225534
chr1	34005000	34010000	chr1	34095000	34100000	199.42105662822735	203.81717061996468
chr1	162475000	162480000	chr1	162545000	162550000	129.594952106476	121.22767162323
chr1	121325000	121330000	chr1	121430000	121435000	86.57569768031436	76.81360787153243
chr1	60340000	60345000	chr1	60425000	60430000	159.705057144165	141.350508292516
chr1	170900000	170905000	chr1	171110000	171115000	76.43543716271721	67.902600646019
chr1	163925000	163930000	chr1	163990000	163995000	154.61766334374735	127.48114172617566
chr1	20840000	20845000	chr1	20885000	20890000	238.18728983402232	254.15401625633265
chr1	152165000	152170000	chr1	152345000	152350000	86.26330763101576	74.68579016129173
chr1	149670000	149675000	chr1	149755000	149760000	117.03956031799301	95.44479012489317
chr1	105065000	105070000	chr1	105355000	105360000	76.70705562829973	68.76685831944147
chr1	88180000	88185000	chr1	88245000	88250000	67.81893851359683	61.65704983472827
chr1	60040000	60045000	chr1	60095000	60100000	152.34117054939267	146.12267814079934
chr1	68745000	68750000	chr1	69090000	69095000	106.06853477160126	90.7618470191954
chr1	150390000	150395000	chr1	151340000	151345000	42.897526343663536	37.288009683291136
chr1	72240000	72245000	chr1	72580000	72585000	61.444986402988434	66.42122963070871
chr1	166750000	166755000	chr1	167330000	167335000	56.755054821570695	49.956290920575434
chr1	172615000	172620000	chr1	173390000	173395000	68.1936192512512	60.24391048153243
chr1	134555000	134560000	chr1	134960000	134965000	40.0419755578041	36.09024602174757
chr1	60100000	60105000	chr1	60180000	60185000	150.46784810225168	120.86142075061802
chr18	80045000	80050000	chr18	80100000	80105000	321.22277832031233	315.3580593268077
chr18	33610000	33615000	chr18	33650000	33655000	266.10667085647566	267.379555543264
chr18	64800000	64805000	chr18	64835000	64840000	378.2132687568666	307.54015286763496
chr18	68095000	68100000	chr18	68135000	68140000	217.13724017143235	210.42431195577
chr18	43610000	43615000	chr18	43645000	43650000	274.0117669900257	264.3550634384157
chr18	44470000	44475000	chr18	44520000	44525000	194.89583345254266	183.47095688184132
chr18	54945000	54950000	chr18	54985000	54990000	234.36991767088534	193.17230629920968
chr18	33170000	33175000	chr18	33205000	33210000	230.78456624348965	251.33236861228966
chr18	75470000	75475000	chr18	75595000	75600000	134.09571645657232	115.09272640943533
chr18	75435000	75440000	chr18	75565000	75570000	129.29497261842099	114.30870928366967
chr18	82005000	82010000	chr18	82105000	82110000	120.32872561613699	108.04679103692399
chr18	22935000	22940000	chr18	23040000	23045000	183.85457330942134	168.828734914462
chr18	34675000	34680000	chr18	34715000	34720000	346.42037280400604	355.70774586995464
chr18	6055000	6060000	chr18	6205000	6210000	149.42709058523167	159.228886763255
chr18	82005000	82010000	chr18	82470000	82475000	93.08305044968927	93.88464601834617
chr18	73670000	73675000	chr18	73815000	73820000	109.75269281864193	110.85644201437627
chr18	37515000	37520000	chr18	37880000	37885000	83.56292661031087	79.0887986222903
chr18	74035000	74040000	chr18	74265000	74270000	75.5173334678014	59.3258053859075
chr18	36000000	36005000	chr18	36260000	36265000	110.49967847267773	101.02959970633219
chr18	30395000	30400000	chr18	30695000	30700000	57.274410625298835	45.68913294871646
chr18	33810000	33815000	chr18	34255000	34260000	74.0499236782392	82.18169903755187
chr19	6080000	6085000	chr19	6125000	6130000	246.11145242055264	222.72228860855103
chr19	46135000	46140000	chr19	46305000	46310000	162.570816238721	144.095752120018
chr19	6140000	6145000	chr19	6180000	6185000	285.8698571523027	260.64844783147163
chr19	4125000	4130000	chr19	4200000	4205000	206.60458147525765	186.58276418844866
chr19	6375000	6380000	chr19	6415000	6420000	326.1705389022827	311.4575634002683
chr19	4755000	4760000	chr19	4790000	4795000	336.7529780864716	306.043358564377
chr19	40470000	40475000	chr19	40510000	40515000	269.6038537422817	240.97273798783635
chr19	46525000	46530000	chr19	46565000	46570000	287.231648763021	275.089560588201
chr19	22805000	22810000	chr19	22845000	22850000	319.035263538361	284.50617059071834
chr19	7070000	7075000	chr19	7105000	7110000	362.1291440327963	335.5339693228403
chr19	5300000	5305000	chr19	5340000	5345000	323.8447812398277	294.59735298156767
chr19	4755000	4760000	chr19	4905000	4910000	155.36244146029134	173.38282730181996
chr19	32710000	32715000	chr19	33390000	33395000	66.01946282386777	57.60618593295413
chr19	22450000	22455000	chr19	22635000	22640000	135.95536764462807	84.713996330897
chr19	44135000	44140000	chr19	44295000	44300000	72.67894268035887	68.17785118023554
chr19	10055000	10060000	chr19	10195000	10200000	158.92158295710865	148.134605328242
chr19	32385000	32390000	chr19	32755000	32760000	36.2320459485054	26.80665426452953
chr19	23370000	23375000	chr19	23960000	23965000	55.005120565493904	44.2516365547975
chr2	25430000	25435000	chr2	25495000	25500000	452.78804842631007	423.3964072068533
chr2	141820000	141825000	chr2	141860000	141865000	240.045390923818	227.53664366404234
chr2	76370000	76375000	chr2	76405000	76410000	237.18643101056432	207.37729426225033
chr2	167460000	167465000	chr2	167500000	167505000	278.18142151832564	269.0356566905977
chr2	136740000	136745000	chr2	136780000	136785000	265.08691684404965	274.15532088279696
chr2	164985000	164990000	chr2	165030000	165035000	307.10509095589333	310.05068524678535
chr2	164960000	164965000	chr2	165070000	165075000	163.1587792634963	150.73837405443166
chr2	33000000	33005000	chr2	33055000	33060000	218.67516366640734	214.6133358478547
