loop_id	loop_chr1	loop_start1	loop_end1	loop_chr2	loop_start2	loop_end2	loop_logFC	loop_FDR	loop_direction	loop_type	loop_significant	enh_chr	enh_start	enh_end	target_gene	tss_chr	tss_start	tss_end	abc_score_wt	abc_score_ko	delta_ABC	delta_unnorm	distance	match_case
loop_16455	chr10	17125000	17150000	chr10	17700000	17725000	-0.330367802458661	0.0002659649877716	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	chr10	17129555	17130055	Cited2	chr10	17722967	17723467	0.03911	0.020248	-0.018862	-0.18383	593412	A
loop_16455	chr10	17125000	17150000	chr10	17700000	17725000	-0.330367802458661	0.0002659649877716	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	chr10	17131641	17132141	Cited2	chr10	17722967	17723467	0.021643	0.002873	-0.01877	-0.16529	591326	A
loop_18342	chr10	17130000	17140000	chr10	17720000	17730000	-0.438942905209204	0.0031983147597217	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	chr10	17129555	17130055	Cited2	chr10	17722967	17723467	0.03911	0.020248	-0.018862	-0.18383	593412	A
loop_18342	chr10	17130000	17140000	chr10	17720000	17730000	-0.438942905209204	0.0031983147597217	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	chr10	17131641	17132141	Cited2	chr10	17722967	17723467	0.021643	0.002873	-0.01877	-0.16529	591326	A
loop_2154	chr10	49780000	49790000	chr10	50060000	50070000	-0.398729172980647	0.0027160159253578	down_in_mutant	Active_Promoter-Poised_Enhancer	TRUE	chr10	50063328	50063828	Grik2	chr10	49788516	49789016	0.022373	0.007832	-0.014541	-0.117378	274812	B
loop_18263	chr10	49780000	49790000	chr10	50130000	50140000	-0.344684601294466	0.0043758184546251	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	chr10	50137723	50138223	Grik2	chr10	49788516	49789016	0.149352	0.099151	-0.050201	-0.449592	349207	B
loop_18607	chr10	56370000	56380000	chr10	57310000	57320000	0.502505584063632	5.70586075333259e-05	up_in_mutant	Repressed_Promoter-Poised_Enhancer	TRUE	chr10	57313713	57314213	Gja1	chr10	56377079	56377579	0.014994	0.03249	0.017496	0.031353	936634	B
loop_18178	chr10	60830000	60840000	chr10	61050000	61060000	0.323900807478822	0.0003493625157513	up_in_mutant	Active_Promoter-Poised_Enhancer	TRUE	chr10	60831299	60831831	Gm20610	chr10	61051650	61052150	0.094868	0.085324	-0.009544	0.055081	220335	A
loop_7414	chr10	76530000	76540000	chr10	76730000	76740000	0.420524060927903	0.0002097205010062	up_in_mutant	Active_Promoter-Polycomb	TRUE	chr10	76531323	76531837	Gm48276	chr10	76730023	76730523	0.045482	0.052788	0.007306	0.03419	198693	A
loop_18508	chr10	9570000	9580000	chr10	9670000	9680000	0.327455340625568	0.0004993461965854	up_in_mutant	Repressed_Promoter-Other	TRUE	chr10	9575523	9576023	Samd5	chr10	9674958	9675458	0.009142	0.020256	0.011114	0.018264	99435	A
loop_4114	chr11	112780000	112790000	chr11	113160000	113170000	0.325518648213142	0.0215496818791311	up_in_mutant	Repressed_Promoter-Poised_Enhancer	TRUE	chr11	113165097	113165597	BC006965	chr11	112781726	112782226	0.058076	0.102818	0.044742	0.085086	383371	B
loop_4114	chr11	112780000	112790000	chr11	113160000	113170000	0.325518648213142	0.0215496818791311	up_in_mutant	Repressed_Promoter-Poised_Enhancer	TRUE	chr11	113165097	113165597	Sox9	chr11	112781973	112782473	0.058061	0.102789	0.044728	0.085078	383124	B
loop_4348	chr11	114065000	114070000	chr11	114175000	114180000	0.309121321867469	0.0173052121494746	up_in_mutant	Repressed_Promoter-Polycomb	TRUE	chr11	114175573	114176073	Sdk2	chr11	114066796	114067296	0.065353	0.129115	0.063762	0.447543	108777	B
loop_2911	chr11	17250000	17275000	chr11	19000000	19025000	-0.326166981052583	0.0258315190873564	down_in_mutant	Active_Promoter-Other	TRUE	chr11	19018735	19019257	C1d	chr11	17257328	17257828	0.011346	0.020964	0.009618	0.036566	1761418	B
loop_2505	chr11	17950000	17960000	chr11	18750000	18760000	-0.39345799126794	0.0046045471218544	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	chr11	18751409	18751909	Etaa1	chr11	17953625	17954125	0.042841	0.008866	-0.033975	-0.160162	797784	B
loop_2505	chr11	17950000	17960000	chr11	18750000	18760000	-0.39345799126794	0.0046045471218544	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	chr11	18753865	18754365	Etaa1	chr11	17953625	17954125	0.029032	0.008583	-0.020449	-0.09828	800240	B
loop_2505	chr11	17950000	17960000	chr11	18750000	18760000	-0.39345799126794	0.0046045471218544	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	chr11	18754727	18755227	Etaa1	chr11	17953625	17954125	0.023577	0.005972	-0.017605	-0.08379	801102	B
loop_9106	chr11	18750000	18760000	chr11	18870000	18880000	-0.441396930864424	3.14224082486974e-05	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	chr11	18751409	18751909	8430419K02Rik	chr11	18874059	18874559	0.075178	0.021681	-0.053497	-0.870508	122650	A
loop_9106	chr11	18750000	18760000	chr11	18870000	18880000	-0.441396930864424	3.14224082486974e-05	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	chr11	18753865	18754365	8430419K02Rik	chr11	18874059	18874559	0.050804	0.020939	-0.029865	-0.515038	120194	A
loop_9106	chr11	18750000	18760000	chr11	18870000	18880000	-0.441396930864424	3.14224082486974e-05	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	chr11	18754727	18755227	8430419K02Rik	chr11	18874059	18874559	0.041218	0.014557	-0.026661	-0.446172	119332	A
loop_9106	chr11	18750000	18760000	chr11	18870000	18880000	-0.441396930864424	3.14224082486974e-05	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	chr11	18869934	18870434	Gm28401	chr11	18756507	18757007	0.033659	0.022752	-0.010907	-0.260388	113427	B
loop_9106	chr11	18750000	18760000	chr11	18870000	18880000	-0.441396930864424	3.14224082486974e-05	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	chr11	18871391	18871891	Gm28401	chr11	18756507	18757007	0.073811	0.071407	-0.002404	-0.419789	114884	B
loop_9106	chr11	18750000	18760000	chr11	18870000	18880000	-0.441396930864424	3.14224082486974e-05	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	chr11	18877322	18877822	Gm28401	chr11	18756507	18757007	0.018394	0.026503	0.008109	-0.043401	120815	B
loop_19016	chr11	21570000	21580000	chr11	22510000	22520000	-0.589814196036935	0.0029077843199458	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr11	21571792	21572617	Tmem17	chr11	22511837	22512337	0.043739	0.033804	-0.009935	-0.092663	939882.5	A
loop_19016	chr11	21570000	21580000	chr11	22510000	22520000	-0.589814196036935	0.0029077843199458	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr11	22512359	22512859	Mdh1	chr11	21572117	21572617	0.022829	0.012637	-0.010192	-0.072353	940242	B
loop_19016	chr11	21570000	21580000	chr11	22510000	22520000	-0.589814196036935	0.0029077843199458	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr11	22512359	22512859	Wdpcp	chr11	21571984	21572484	0.022829	0.012637	-0.010192	-0.072355	940375	B
loop_6481	chr11	24080000	24090000	chr11	25300000	25310000	0.490722602815239	4.77881647332571e-05	up_in_mutant	Repressed_Promoter-Other	TRUE	chr11	24080638	24081358	Gm12069	chr11	25301012	25301512	0.060632	0.048742	-0.01189	0.013118	1220264	A
loop_19001	chr11	29540000	29550000	chr11	30020000	30030000	-0.449245451561161	0.001842372482471	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr11	29547699	29548359	Eml6	chr11	30025783	30026283	0.017933	0.02058	0.002647	0.000356	478004	A
loop_19001	chr11	29540000	29550000	chr11	30020000	30030000	-0.449245451561161	0.001842372482471	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr11	30025783	30026285	Clhc1	chr11	29547699	29548199	0.054182	0.044565	-0.009617	-0.03962	478085	B
loop_19001	chr11	29540000	29550000	chr11	30020000	30030000	-0.449245451561161	0.001842372482471	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr11	30025783	30026285	Rps27a	chr11	29547859	29548359	0.054185	0.044567	-0.009618	-0.039619	477925	B
loop_1514	chr11	36675000	36700000	chr11	37225000	37250000	-0.342432317382082	0.0071598708057739	down_in_mutant	Polycomb-Other	TRUE	chr11	36677262	36678099	Tenm2	chr11	37235714	37236214	0.030258	0.015132	-0.015126	-0.042786	558283.5	A
loop_9723	chr11	42180000	42190000	chr11	42750000	42760000	-0.410829582168499	0.0008412657274195	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	chr11	42755112	42755612	Gabra1	chr11	42182680	42183180	0.072517	0.046697	-0.02582	-0.221303	572432	B
loop_9622	chr11	71750000	71760000	chr11	71930000	71940000	-0.327231693131887	0.0017252091709439	down_in_mutant	Active_Promoter-Other	TRUE	chr11	71750641	71751141	4930401O10Rik	chr11	71939872	71940372	0.029161	0.030527	0.001366	-0.058957	189231	A
loop_9622	chr11	71750000	71760000	chr11	71930000	71940000	-0.327231693131887	0.0017252091709439	down_in_mutant	Active_Promoter-Other	TRUE	chr11	71939123	71939623	Wscd1	chr11	71749669	71750169	0.070571	0.042614	-0.027957	-0.173666	189454	B
loop_21855	chr12	103140000	103150000	chr12	103240000	103250000	0.395469437273773	0.0002707798254557	up_in_mutant	Repressed_Promoter-Poised_Enhancer	TRUE	chr12	103142487	103142987	Prima1	chr12	103241900	103242400	0.014415	0.038531	0.024116	0.086552	99413	A
loop_10419	chr12	103975000	104000000	chr12	104925000	104950000	-0.502553547030893	0.0001753276789236	down_in_mutant	Repressed_Promoter-Polycomb	TRUE	chr12	104938818	104939318	Gm28577	chr12	103996329	103996829	0.030134	0.034073	0.003939	0.002811	942489	B
loop_10419	chr12	103975000	104000000	chr12	104925000	104950000	-0.502553547030893	0.0001753276789236	down_in_mutant	Repressed_Promoter-Polycomb	TRUE	chr12	104939411	104939911	Gm28577	chr12	103996329	103996829	0.085141	0.068765	-0.016376	-0.026668	943082	B
loop_10419	chr12	103975000	104000000	chr12	104925000	104950000	-0.502553547030893	0.0001753276789236	down_in_mutant	Repressed_Promoter-Polycomb	TRUE	chr12	104939411	104939911	Serpina11	chr12	103989707	103990207	0.046722	0	-0.046722	-0.049482	949704	B
loop_10635	chr12	104750000	104760000	chr12	104930000	104940000	0.482824654620063	3.14224082486974e-05	up_in_mutant	Active_Promoter-Polycomb	TRUE	chr12	104938818	104939318	Dicer1	chr12	104751702	104752202	0.014108	0.042632	0.028524	0.16946	187116	B
loop_10635	chr12	104750000	104760000	chr12	104930000	104940000	0.482824654620063	3.14224082486974e-05	up_in_mutant	Active_Promoter-Polycomb	TRUE	chr12	104939411	104939911	Dicer1	chr12	104751702	104752202	0.039865	0.086059	0.046194	0.283024	187709	B
loop_2670	chr12	17260000	17270000	chr12	17540000	17550000	-0.400281203844021	0.0212782028895911	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr12	17544426	17545043	Pdia6	chr12	17266294	17266794	0.036431	0.024815	-0.011616	-0.042516	278190.5	B
loop_10490	chr12	21370000	21380000	chr12	21470000	21480000	-0.340120500389604	0.0003094793138565	down_in_mutant	Active_Promoter-Poised_Enhancer	TRUE	chr12	21472408	21472908	Adam17	chr12	21373382	21373882	0.064948	0.026509	-0.038439	-0.212398	99026	B
loop_20237	chr12	26525000	26550000	chr12	27575000	27600000	0.371269846071136	0.0006583480486797	up_in_mutant	Polycomb-Other	TRUE	chr12	26532964	26533464	Gm4166	chr12	27597950	27598450	0.018239	0.0335	0.015261	0.012831	1064986	A
loop_1675	chr12	35525000	35550000	chr12	40200000	40225000	-0.542914764331754	0.0157361119435971	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr12	40222346	40222846	Ahr	chr12	35534788	35535288	0.033497	0.008622	-0.024875	-0.063367	4687558	B
loop_1675	chr12	35525000	35550000	chr12	40200000	40225000	-0.542914764331754	0.0157361119435971	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr12	40223026	40223526	Ahr	chr12	35534788	35535288	0.038618	0.010046	-0.028572	-0.072759	4688238	B
loop_1675	chr12	35525000	35550000	chr12	40200000	40225000	-0.542914764331754	0.0157361119435971	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr12	40222346	40222846	Gm48236	chr12	35534170	35534670	0.01445	0.020342	0.005892	0.012647	4688176	B
loop_1675	chr12	35525000	35550000	chr12	40200000	40225000	-0.542914764331754	0.0157361119435971	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr12	40223026	40223526	Gm48236	chr12	35534170	35534670	0.016659	0.023701	0.007042	0.015284	4688856	B
loop_393	chr12	36150000	36175000	chr12	40200000	40225000	-0.445197157827542	0.0155404760976917	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr12	40223026	40223526	Ankmy2	chr12	36156863	36157363	0.020294	0.013125	-0.007169	-0.052775	4066163	B
loop_393	chr12	36150000	36175000	chr12	40200000	40225000	-0.445197157827542	0.0155404760976917	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr12	40223026	40223526	Bzw2	chr12	36157830	36158330	0.020386	0.013159	-0.007227	-0.052772	4065196	B
loop_18698	chr12	40200000	40225000	chr12	41475000	41500000	0.329035035251947	0.0018776437102891	up_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr12	40222346	40222846	Lrrn3	chr12	41486181	41486681	0.03302	0.042117	0.009097	0.055414	1263835	A
loop_18698	chr12	40200000	40225000	chr12	41475000	41500000	0.329035035251947	0.0018776437102891	up_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr12	40223026	40223526	Lrrn3	chr12	41486181	41486681	0.038065	0.049068	0.011003	0.066047	1263155	A
loop_10703	chr12	56050000	56060000	chr12	56520000	56530000	0.364147890896436	0.0002560470428455	up_in_mutant	Repressed_Promoter-Polycomb	TRUE	chr12	56058406	56058906	Sfta3-ps	chr12	56529177	56529677	0.036389	0.048313	0.011924	0.01091	470771	A
loop_21843	chr12	75300000	75310000	chr12	75370000	75380000	0.324243640472188	0.000105561453952	up_in_mutant	Repressed_Promoter-Poised_Enhancer	TRUE	chr12	75374983	75375483	Rhoj	chr12	75308071	75308571	0.056469	0.10245	0.045981	0.219311	66912	B
loop_21843	chr12	75300000	75310000	chr12	75370000	75380000	0.324243640472188	0.000105561453952	up_in_mutant	Repressed_Promoter-Poised_Enhancer	TRUE	chr12	75376088	75376588	Rhoj	chr12	75308071	75308571	0.052933	0.079228	0.026295	0.146135	68017	B
loop_10537	chr12	99960000	99970000	chr12	100100000	100110000	0.300551627081911	0.0008072717804058	up_in_mutant	Repressed_Promoter-Other	TRUE	chr12	100109903	100110602	Kcnk13	chr12	99964248	99964748	0.019658	0.027787	0.008129	0.038709	145754.5	B
loop_6538	chr13	13780000	13790000	chr13	13950000	13960000	0.426233289284408	0.0038407472507768	up_in_mutant	Active_Promoter-Repressed_Promoter	TRUE	chr13	13954218	13954723	Gng4	chr13	13783808	13784308	0.067487	0.093476	0.025989	0.099122	170412.5	B
loop_286	chr13	21710000	21720000	chr13	23690000	23700000	-0.346625404945472	0.0120650459330036	down_in_mutant	Active_Promoter-Other	TRUE	chr13	21715893	21716671	H1f6	chr13	23695563	23696063	0.020239	0.014982	-0.005257	-0.073045	1979531	A
loop_286	chr13	21710000	21720000	chr13	23690000	23700000	-0.346625404945472	0.0120650459330036	down_in_mutant	Active_Promoter-Other	TRUE	chr13	21715893	21716671	H4c3	chr13	23698204	23698704	0.020311	0.015051	-0.00526	-0.073061	1982172	A
loop_286	chr13	21710000	21720000	chr13	23690000	23700000	-0.346625404945472	0.0120650459330036	down_in_mutant	Active_Promoter-Other	TRUE	chr13	23698174	23698704	H2ac13	chr13	21716171	21716671	0.020687	0.011805	-0.008882	-0.106702	1982018	B
loop_286	chr13	21710000	21720000	chr13	23690000	23700000	-0.346625404945472	0.0120650459330036	down_in_mutant	Active_Promoter-Other	TRUE	chr13	23698174	23698704	H2bc13	chr13	21715893	21716393	0.020708	0.011815	-0.008893	-0.106704	1982296	B
loop_286	chr13	21710000	21720000	chr13	23690000	23700000	-0.346625404945472	0.0120650459330036	down_in_mutant	Active_Promoter-Other	TRUE	chr13	23698174	23698704	H3c10	chr13	21717408	21717908	0.020643	0.011785	-0.008858	-0.106692	1980781	B
loop_6529	chr13	21750000	21760000	chr13	23620000	23630000	-0.391092238644637	0.0030707222178631	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	21753577	21754372	H1f4	chr13	23622308	23622808	0.023831	0.01544	-0.008391	-0.09265	1868583.5	A
loop_6529	chr13	21750000	21760000	chr13	23620000	23630000	-0.391092238644637	0.0030707222178631	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	21753577	21754372	H2bc6	chr13	23620874	23621374	0.023817	0.01543	-0.008387	-0.092639	1867149.5	A
loop_6529	chr13	21750000	21760000	chr13	23620000	23630000	-0.391092238644637	0.0030707222178631	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23620874	23621374	H2ac15	chr13	21753577	21754077	0.02641	0.022088	-0.004322	-0.063262	1867297	B
loop_6529	chr13	21750000	21760000	chr13	23620000	23630000	-0.391092238644637	0.0030707222178631	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23620874	23621374	H2bc15	chr13	21753872	21754372	0.026413	0.022091	-0.004322	-0.06326	1867002	B
loop_6529	chr13	21750000	21760000	chr13	23620000	23630000	-0.391092238644637	0.0030707222178631	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23620874	23621374	H4c12	chr13	21750255	21750755	0.026364	0.022036	-0.004328	-0.06328	1870619	B
loop_9922	chr13	21775000	21800000	chr13	23675000	23700000	-0.430185563942506	9.10844208089299e-05	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23683698	23684448	H1f5	chr13	21780375	21780875	0.015784	0.024385	0.008601	0.152707	1903448	B
loop_9922	chr13	21775000	21800000	chr13	23675000	23700000	-0.430185563942506	9.10844208089299e-05	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23698174	23698704	H1f5	chr13	21780375	21780875	0.024149	0.013407	-0.010742	-0.13019	1917814	B
loop_9922	chr13	21775000	21800000	chr13	23675000	23700000	-0.430185563942506	9.10844208089299e-05	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23683698	23684448	H3c11	chr13	21783120	21783620	0.015662	0.024183	0.008521	0.152674	1900703	B
loop_9922	chr13	21775000	21800000	chr13	23675000	23700000	-0.430185563942506	9.10844208089299e-05	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23698174	23698704	H3c11	chr13	21783120	21783620	0.023961	0.013297	-0.010664	-0.13016	1915069	B
loop_9922	chr13	21775000	21800000	chr13	23675000	23700000	-0.430185563942506	9.10844208089299e-05	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23683698	23684448	Hist1h2an	chr13	21786968	21787468	0.018615	0.022201	0.003586	0.082541	1896855	B
loop_9922	chr13	21775000	21800000	chr13	23675000	23700000	-0.430185563942506	9.10844208089299e-05	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23683698	23684448	Hist1h2bp	chr13	21787210	21787710	0.018621	0.022203	0.003582	0.08254	1896613	B
loop_5598	chr13	21775000	21800000	chr13	23725000	23750000	-0.354948705328309	0.0004541304962455	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23746338	23746983	H1f5	chr13	21780375	21780875	0.036731	0.020075	-0.016656	-0.202847	1966035.5	B
loop_5598	chr13	21775000	21800000	chr13	23725000	23750000	-0.354948705328309	0.0004541304962455	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23746338	23746983	H3c11	chr13	21783120	21783620	0.036445	0.019909	-0.016536	-0.202803	1963290.5	B
loop_5598	chr13	21775000	21800000	chr13	23725000	23750000	-0.354948705328309	0.0004541304962455	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23746338	23746983	Hist1h2an	chr13	21786968	21787468	0.026064	0.019853	-0.006211	-0.046769	1959442.5	B
loop_5598	chr13	21775000	21800000	chr13	23725000	23750000	-0.354948705328309	0.0004541304962455	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23746338	23746983	Hist1h2bp	chr13	21787210	21787710	0.026072	0.019855	-0.006217	-0.046768	1959200.5	B
loop_9935	chr13	22025000	22050000	chr13	23675000	23700000	-0.302816107760993	0.0112972319152694	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	22042694	22043463	H1f6	chr13	23695563	23696063	0.023095	0.019833	-0.003262	-0.049373	1652734.5	A
loop_9935	chr13	22025000	22050000	chr13	23675000	23700000	-0.302816107760993	0.0112972319152694	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	22042694	22043463	H2ac6	chr13	23683698	23684198	0.021018	0.025108	0.00409	0.077274	1640869.5	A
loop_9935	chr13	22025000	22050000	chr13	23675000	23700000	-0.302816107760993	0.0112972319152694	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	22042694	22043463	H2bc4	chr13	23683948	23684448	0.021011	0.0251	0.004089	0.077275	1641119.5	A
loop_9935	chr13	22025000	22050000	chr13	23675000	23700000	-0.302816107760993	0.0112972319152694	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	22042694	22043463	H4c3	chr13	23698204	23698704	0.023177	0.019925	-0.003252	-0.049386	1655375.5	A
loop_9935	chr13	22025000	22050000	chr13	23675000	23700000	-0.302816107760993	0.0112972319152694	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23683698	23684448	H2ac11	chr13	22042694	22043194	0.019436	0.024692	0.005256	0.100828	1641129	B
loop_9935	chr13	22025000	22050000	chr13	23675000	23700000	-0.302816107760993	0.0112972319152694	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23683698	23684448	H2ac12	chr13	22035318	22035818	0.019979	0.020252	0.000273	0.040367	1648505	B
loop_9935	chr13	22025000	22050000	chr13	23675000	23700000	-0.302816107760993	0.0112972319152694	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23683698	23684448	H2bc11	chr13	22042963	22043463	0.019445	0.024705	0.00526	0.100825	1640860	B
loop_9935	chr13	22025000	22050000	chr13	23675000	23700000	-0.302816107760993	0.0112972319152694	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23683698	23684448	H2bc12	chr13	22035619	22036119	0.019931	0.020204	0.000273	0.040366	1648204	B
loop_9935	chr13	22025000	22050000	chr13	23675000	23700000	-0.302816107760993	0.0112972319152694	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23683698	23684448	H4c9	chr13	22041112	22041612	0.019352	0.024568	0.005216	0.100842	1642711	B
loop_10225	chr13	22040000	22050000	chr13	23620000	23630000	-0.326500603460059	0.029744114292866	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	22042694	22043463	H1f4	chr13	23622308	23622808	0.02892	0.028888	-3.2e-05	0.035364	1579479.5	A
loop_10225	chr13	22040000	22050000	chr13	23620000	23630000	-0.326500603460059	0.029744114292866	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	22042694	22043463	H2bc6	chr13	23620874	23621374	0.028902	0.028869	-3.3e-05	0.035359	1578045.5	A
loop_10225	chr13	22040000	22050000	chr13	23620000	23630000	-0.326500603460059	0.029744114292866	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23620874	23621374	H2ac11	chr13	22042694	22043194	0.03268	0.03096	-0.00172	0.018341	1578180	B
loop_10225	chr13	22040000	22050000	chr13	23620000	23630000	-0.326500603460059	0.029744114292866	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23622308	23622808	H2ac11	chr13	22042694	22043194	0.022334	0.020755	-0.001579	0.00675	1579614	B
loop_10225	chr13	22040000	22050000	chr13	23620000	23630000	-0.326500603460059	0.029744114292866	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23620874	23621374	H2bc11	chr13	22042963	22043463	0.032695	0.030976	-0.001719	0.01834	1577911	B
loop_10225	chr13	22040000	22050000	chr13	23620000	23630000	-0.326500603460059	0.029744114292866	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23622308	23622808	H2bc11	chr13	22042963	22043463	0.022344	0.020765	-0.001579	0.00675	1579345	B
loop_10225	chr13	22040000	22050000	chr13	23620000	23630000	-0.326500603460059	0.029744114292866	down_in_mutant	Active_Promoter-Active_Promoter	TRUE	chr13	23620874	23621374	H4c9	chr13	22041112	22041612	0.032538	0.030805	-0.001733	0.018344	1579762	B
