top_enh_chr	top_enh_start	top_enh_end	TargetGene	ABC.Score_WT	ABC.Score.Numerator_WT	activity_base_WT	hic_contact_pl_scaled_adj_WT	hic_contact_WT	ABC.Score_KO	ABC.Score.Numerator_KO	activity_base_KO	hic_contact_pl_scaled_adj_KO	hic_contact_KO	top_enh_distance	top_enh_class	max_delta_abc	max_delta_unnorm	hic_data_wt	hic_data_ko	has_hic_either	log2FC	padj	baseMean	n_enhancers	mean_delta_abc	sum_delta_unnorm	n_gained	n_lost	sum_abc_wt	sum_abc_ko	dysregulated
chr7	83735332	83735832	1700010L04Rik	0.039634	0.214979	93.347860	0.002303	0.000457	0.017015	0.091362	84.109681	0.001086	0.000177	883984.000000	genic	-0.022619	-0.123617	True	True	True	-0.294644	0.901226	1.873634	7	-0.002429	-0.127989	1	2	0.671183	0.654183	False
chr6	30469355	30469855	1700012C14Rik	0.247735	4.127422	20.034574	0.206015	0.080152	0.236599	4.214828	21.403203	0.196925	0.075948	9478.000000	intergenic	-0.011136	0.087406	True	True	True	-1.223393	0.218478	3.024990	5	0.002582	1.084901	0	1	0.741094	0.754004	False
chr11	75168959	75169769	1700016P03Rik	0.040701	0.912815	6.474353	0.140989	0.039806	0.030475	0.660987	4.772336	0.138504	0.038538	3195.000000	promoter	-0.010226	-0.251828	True	True	True	0.083286	0.961934	33.255380	10	0.000671	-0.265689	0	1	0.557535	0.564244	False
chr9	57075821	57076321	1700017B05Rik	0.069319	0.602936	152.318358	0.003958	0.000704	0.090665	0.831119	154.686787	0.005373	0.001118	186541.000000	genic	0.021346	0.228183	True	True	True	-0.354845	0.115424	123.474073	9	-0.001063	0.114586	1	3	0.431345	0.421778	False
chr10	100487100	100487807	1700017N19Rik	0.245096	0.909048	66.749130	0.013619	0.003450	0.313038	1.186676	65.708360	0.018060	0.004872	103029.500000	promoter	0.067942	0.277628	True	True	True	-1.394173	0.320430	1.886931	5	-0.000507	0.061990	1	3	0.874322	0.871785	False
chr1	53225546	53226046	1700019A02Rik	0.000000	0.000000	0.000000	0.000000	0.000000	0.182372	0.376718	16.144431	0.023334	0.005774	38160.000000	genic	0.182372	0.376718	False	True	True	-0.960592	0.000012	66.904595	11	0.054342	1.234771	11	0	0.000000	0.597762	True
chr1	151754768	151755620	1700025G04Rik	0.098382	1.077765	144.753542	0.007446	0.001761	0.082310	0.867755	138.647532	0.006259	0.001444	334931.000000	promoter	-0.016072	-0.210010	True	True	True	-0.026949	0.950143	4518.728659	10	0.001295	-0.105181	2	1	0.586209	0.599161	False
chr5	150673424	150673988	1700028E10Rik	0.039612	0.666491	28.523076	0.023367	0.005477	0.051848	0.833109	28.721661	0.029006	0.006822	694968.000000	promoter	0.012236	0.166618	True	True	True	-0.001012	0.999193	7.931430	4	0.003233	0.098366	1	0	0.144472	0.157403	False
chr7	44304897	44305397	1700028J19Rik	0.141844	2.124452	110.696904	0.019192	0.004931	0.119229	1.750397	102.708206	0.017042	0.004180	58452.000000	genic	-0.022615	-0.374055	True	True	True	1.005886	0.271012	4.134035	11	-0.002149	-0.480601	2	3	0.450454	0.426813	False
chr8	13677224	13677853	1700029H14Rik	0.151308	1.432560	63.071492	0.022713	0.006350	0.174034	1.782001	69.319384	0.025707	0.007292	115077.500000	promoter	0.022726	0.349441	True	True	True	0.286376	0.616629	21.522236	11	-0.000132	0.504533	2	3	0.673106	0.671659	False
chr8	116993259	116993787	1700030J22Rik	0.248321	4.165836	58.786616	0.070864	0.021550	0.215372	3.225228	54.125914	0.059588	0.016669	14564.000000	promoter	-0.032949	-0.940608	True	True	True	-0.576874	0.175807	14.314119	5	-0.002264	-0.824867	1	1	0.363908	0.352587	False
chr8	72474932	72475476	1700030K09Rik	0.049850	0.954795	33.564861	0.028446	0.007241	0.064989	1.178203	36.719378	0.032087	0.008641	31325.000000	promoter	0.015139	0.223408	True	True	True	-0.270580	0.353861	68.572057	8	-0.000170	-0.401566	1	0	0.368024	0.366662	False
chr9	60625784	60626691	1700036A12Rik	0.101951	0.638474	54.831017	0.011644	0.002872	0.078202	0.518341	35.487948	0.014606	0.003802	116881.500000	genic	-0.023749	-0.120133	True	True	True	-0.229216	0.680051	20.736492	11	-0.001246	0.073751	3	4	0.450099	0.436396	False
chr3	95015198	95016236	1700040D17Rik	0.020330	0.340931	172.635170	0.001975	0.000368	0.053506	0.869701	170.441193	0.005103	0.001130	602798.000000	promoter	0.033176	0.528770	True	True	True	-0.193282	0.824627	12.924392	5	0.008845	0.662472	2	1	0.109263	0.153488	False
chr8	22797184	22797684	1700041G16Rik	0.045668	0.977630	11.708573	0.083497	0.021771	0.058380	1.334108	17.380242	0.076760	0.018592	8331.000000	genic	0.012712	0.356478	True	True	True	-0.104045	0.955930	5.630959	5	0.002557	0.631877	1	0	0.235129	0.247914	False
chr1	182124486	182125195	1700047M11Rik	0.037544	0.188790	31.503673	0.005993	0.001258	0.066794	0.330480	35.058482	0.009427	0.002282	163148.500000	promoter	0.029250	0.141690	True	True	True	0.305575	0.387222	40.844805	8	0.004028	0.114436	2	1	0.557212	0.589437	False
chr4	123904581	123905162	1700057H15Rik	0.078253	0.137019	57.294179	0.002391	0.000468	0.014679	0.026749	55.348579	0.000483	0.000000	581087.500000	promoter	-0.063574	-0.110270	True	False	True	-0.030268	0.986842	5.268909	14	-0.003195	-0.058843	4	6	0.317671	0.272948	False
chr9	41198665	41199165	1700063D05Rik	0.387541	8.796982	45.517185	0.193267	0.071075	0.428621	9.413643	51.045150	0.184418	0.066734	6470.000000	genic	0.041080	0.616661	True	True	True	-0.663880	0.026840	23.146441	9	-0.000176	-0.594421	1	2	0.759584	0.758003	True
chr3	19566792	19567292	1700064H15Rik	0.177192	1.325668	26.072743	0.050845	0.015953	0.129484	1.017755	22.051785	0.046153	0.014327	61635.000000	genic	-0.047708	-0.307913	True	True	True	-0.028785	0.986038	8.424604	10	-0.003220	-0.065006	1	1	0.496915	0.464714	False
chr1	55052456	55053019	1700066M21Rik	0.055042	0.228079	66.595182	0.003425	0.000655	0.032008	0.135420	71.282659	0.001900	0.000353	2324881.500000	promoter	-0.023034	-0.092659	True	True	True	-0.212052	0.452570	86.056979	12	-0.002802	-0.110952	2	4	0.359110	0.325488	False
chr8	84066342	84067083	1700067K01Rik	0.118442	3.099321	119.749880	0.025882	0.007331	0.097684	2.540178	114.755176	0.022136	0.006045	65211.500000	promoter	-0.020758	-0.559143	True	True	True	-0.434343	0.305749	20.796069	11	-0.002136	-0.715275	1	2	0.638287	0.614793	False
chr5	113683221	113683721	1700069L16Rik	0.058345	2.286767	19.303323	0.118465	0.040996	0.048815	2.092108	18.822023	0.111152	0.038300	41301.000000	intergenic	-0.009530	-0.194659	True	True	True	1.022794	0.000003	38.047383	6	-0.000566	2.175733	0	0	0.633488	0.630092	False
chr18	38212598	38213098	1700086O06Rik	0.085694	2.003298	46.192844	0.043368	0.013238	0.060708	1.343456	38.091041	0.035270	0.010210	37717.000000	genic	-0.024986	-0.659842	True	True	True	0.086931	0.857380	44.148192	4	-0.001374	-0.417035	0	1	0.236823	0.231329	False
chr4	129080927	129081854	1700086P04Rik	0.085032	1.664644	24.597411	0.067676	0.022012	0.066971	1.286867	20.772151	0.061952	0.019709	23407.500000	genic	-0.018061	-0.377777	True	True	True	-0.397781	0.519236	10.280897	6	-0.003821	-0.569153	0	1	0.356190	0.333267	False
chr15	81729801	81730301	1700088E04Rik	0.005612	0.092098	76.015922	0.001212	0.000216	0.023929	0.380965	76.203993	0.004999	0.000953	2588798.000000	genic	0.018317	0.288867	True	True	True	-0.791298	0.284712	5.650389	9	0.002702	0.217607	1	1	0.344964	0.369284	False
chr3	153831133	153831633	1700094M23Rik	0.021118	0.023845	55.215886	0.000432	0.000000	0.192855	0.287529	44.774064	0.006422	0.001444	648568.000000	intergenic	0.171737	0.263684	False	True	True	-0.077683	0.933371	42.971023	17	0.005557	0.311387	2	5	0.471392	0.565858	False
chr5	25499316	25499816	1700096K18Rik	0.069557	0.954627	19.089507	0.050008	0.015494	0.087188	1.090530	21.127118	0.051618	0.016116	30446.000000	intergenic	0.017631	0.135903	True	True	True	-0.202471	0.865492	6.948306	2	0.010945	0.168627	1	0	0.086454	0.108344	False
chr9	107872545	107873487	1700102P08Rik	0.014126	0.125172	48.540545	0.002579	0.000508	0.035137	0.320094	48.718143	0.006570	0.001504	519788.000000	promoter	0.021011	0.194922	True	True	True	0.195096	0.677939	24.474828	11	0.002720	0.368485	3	0	0.385967	0.415886	False
chr14	5070789	5071289	1700110I01Rik	0.194447	0.026310	0.748357	0.035158	0.007204	0.000811	0.000182	1.205135	0.000151	0.000000	1808700.000000	promoter	-0.193636	-0.026128	True	False	True	0.440112	0.805710	2.671798	13	0.007580	0.079580	6	7	0.644762	0.743298	False
chr7	67645018	67645565	1700112J16Rik	0.158205	1.727095	55.254373	0.031257	0.007876	0.098268	1.100488	57.018239	0.019301	0.004798	422755.500000	promoter	-0.059937	-0.626607	True	True	True	-1.102814	0.003524	12.971077	10	-0.004170	-0.309578	3	3	0.558338	0.516634	True
chr15	99251711	99252257	1700120C14Rik	0.381660	5.421616	31.602029	0.171559	0.055412	0.359663	5.249748	29.326420	0.179011	0.059216	2474.000000	promoter	-0.021997	-0.171868	True	True	True	0.359416	0.748531	5.510147	6	-0.006879	-0.389955	1	3	0.543362	0.502091	False
chr7	126216735	126217235	1700123J17Rik	0.035204	0.648944	12.076337	0.053737	0.016967	0.022710	0.470676	10.096843	0.046616	0.014227	31253.000000	intergenic	-0.012494	-0.178268	True	True	True	-0.232954	0.907010	3.061949	7	0.000617	1.260659	0	1	0.511005	0.515327	False
chr4	11485633	11486207	1700123M08Rik	0.054835	0.488213	38.170461	0.012790	0.003081	0.036430	0.331308	40.413665	0.008198	0.001921	480644.000000	promoter	-0.018405	-0.156905	True	True	True	0.056835	0.927578	49.192622	6	-0.003336	-0.142962	1	3	0.204532	0.184517	False
chr14	54893666	54894166	1700123O20Rik	0.062150	1.964279	120.669289	0.016278	0.004279	0.051042	1.577589	119.720334	0.013177	0.003388	207701.000000	genic	-0.011108	-0.386690	True	True	True	-0.107375	0.837819	33.860613	4	-0.001303	-0.256855	0	1	0.137164	0.131951	False
chr11	107027865	107028365	1810010H24Rik	0.245084	3.020684	16.934240	0.178377	0.058893	0.214248	2.789216	15.837669	0.176113	0.057737	2435.000000	genic	-0.030836	-0.231468	True	True	True	-0.447462	0.116138	35.821940	10	-0.000341	0.376996	2	1	0.607688	0.604274	False
chr2	21367291	21367964	1810010K12Rik	0.052764	0.065235	33.954007	0.001921	0.000363	0.002818	0.004798	33.691201	0.000142	0.000000	1915800.500000	promoter	-0.049946	-0.060437	True	False	True	0.177090	0.935144	3.415496	13	0.003352	0.360303	5	4	0.613801	0.657383	False
chr7	12977597	12978280	1810019N24Rik	0.250626	5.550717	81.485339	0.068119	0.020949	0.265553	5.118046	79.240934	0.064588	0.019445	16170.500000	promoter	0.014927	-0.432671	True	True	True	-0.790640	0.181732	7.808709	10	0.003686	-1.528230	1	0	0.778869	0.815729	False
chr2	127269790	127270467	1810024B03Rik	0.119791	1.414437	58.230694	0.024290	0.006753	0.081990	0.895840	63.582940	0.014089	0.003220	61848.500000	promoter	-0.037801	-0.518597	True	True	True	-0.018906	0.989708	7.722327	7	-0.006281	-0.876222	1	2	0.449097	0.405127	False
chrX	12761823	12762527	1810030O07Rik	0.159192	2.533242	84.260673	0.030064	0.008765	0.140795	2.086414	84.526000	0.024684	0.007001	88507.000000	promoter	-0.018397	-0.446828	True	True	True	0.130309	0.504058	137.751007	3	-0.004488	-0.629906	1	1	0.393292	0.379828	False
chr3	122984237	122984760	1810037I17Rik	0.170705	1.192437	40.479676	0.029458	0.008532	0.144212	0.851046	35.435361	0.024017	0.006640	60296.500000	promoter	-0.026493	-0.341391	True	True	True	0.020246	0.973030	49.257391	7	-0.008573	-0.738199	1	4	0.354304	0.294295	False
chr6	92092084	92092584	1810044D09Rik	0.035215	0.359749	58.654050	0.006133	0.001374	0.016549	0.164648	60.545999	0.002719	0.000552	651348.000000	genic	-0.018666	-0.195101	True	True	True	0.182313	0.928774	3.424001	10	-0.003875	-0.501387	0	3	0.434705	0.395959	False
chr19	7039717	7040480	1810055G02Rik	0.012888	0.265649	151.035461	0.001759	0.000314	0.032695	0.651963	153.350183	0.004251	0.000781	3331806.500000	promoter	0.019807	0.386314	True	True	True	-0.213851	0.290069	206.164032	9	0.002446	0.215655	1	0	0.332757	0.354767	False
chr2	18064303	18064803	1810059C17Rik	0.347619	5.748548	40.710597	0.141205	0.048469	0.389455	5.803314	39.935993	0.145315	0.050423	7940.000000	genic	0.041836	0.054766	True	True	True	0.696666	0.575554	4.745263	8	0.005319	-0.324383	1	0	0.585905	0.628455	False
chr11	55469219	55469934	2010001A14Rik	0.070826	0.531745	191.438163	0.002778	0.000527	0.038679	0.285766	191.945189	0.001489	0.000272	2331840.500000	promoter	-0.032147	-0.245979	True	True	True	-0.466273	0.390450	16.157078	3	-0.008060	-0.195214	1	1	0.138631	0.114452	False
chr5	93267006	93267599	2010109A12Rik	0.235769	3.104613	36.660919	0.084685	0.027715	0.226180	2.918555	38.007777	0.076788	0.024973	60785.500000	promoter	-0.009589	-0.186058	True	True	True	0.551705	0.203976	22.600412	6	-0.000009	-0.141654	0	0	0.533341	0.533290	False
chr9	124424270	124424770	2010315B03Rik	0.151966	0.874465	35.844141	0.024396	0.006886	0.113056	0.554514	35.645712	0.015556	0.004091	111824.000000	genic	-0.038910	-0.319951	True	True	True	0.187659	0.351978	111.776438	7	-0.007515	-0.693276	1	3	0.512335	0.459732	False
chr8	70698433	70699198	2010320M18Rik	0.022001	0.878050	49.181994	0.017853	0.004703	0.030118	1.206768	52.390519	0.023034	0.006434	77998.500000	promoter	0.008117	0.328718	True	True	True	-0.096292	0.964191	4.101370	10	-0.000269	-0.032521	0	0	0.475295	0.472601	False
chr18	38250004	38250815	2010320O07Rik	0.071099	1.477861	57.636285	0.025641	0.006752	0.106912	2.080064	62.097336	0.033497	0.009655	40638.500000	promoter	0.035813	0.602203	True	True	True	-0.933423	0.002139	20.793884	10	-0.003481	-1.613145	1	3	0.703618	0.668812	True
chr7	29393348	29393848	2200002D01Rik	0.012498	0.189564	45.192184	0.004195	0.000666	0.027112	0.427501	44.340215	0.009641	0.002320	145132.000000	genic	0.014614	0.237937	True	True	True	-0.166512	0.915738	4.283545	9	0.000585	0.368811	1	1	0.475639	0.480905	False
chr5	115157929	115158798	2210016L21Rik	0.083811	0.920914	127.532788	0.007221	0.001682	0.108033	1.275178	132.021479	0.009659	0.002378	216206.500000	promoter	0.024222	0.354264	True	True	True	0.021362	0.958387	255.107540	8	0.001585	0.412712	2	2	0.322481	0.335162	False
chr5	36484035	36484837	2210406O10Rik	0.113965	2.357092	50.323772	0.046839	0.012933	0.150850	2.966819	53.104836	0.055867	0.016667	19583.000000	promoter	0.036885	0.609727	True	True	True	-1.086975	0.209373	4.233358	4	0.006054	0.232475	1	0	0.240146	0.264364	False
chr6	31216595	31217095	2210408F21Rik	0.313866	3.141079	23.040830	0.136327	0.037426	0.357980	4.257985	30.321205	0.140429	0.039520	3505.000000	genic	0.044114	1.116906	True	True	True	-0.130913	0.694822	287.636110	7	0.010616	2.006520	3	0	0.594990	0.669304	False
chr13	81782826	81783696	2210408I21Rik	0.059425	0.159551	51.589564	0.003093	0.000540	0.000978	0.003070	53.433509	0.000057	0.000000	4647722.000000	promoter	-0.058447	-0.156481	True	False	True	-0.164665	0.463422	696.846720	9	-0.004398	-0.016208	2	2	0.238488	0.198903	False
chr9	63132758	63133258	2300009A05Rik	0.056894	0.667622	32.940518	0.020268	0.005307	0.044919	0.551723	35.566830	0.015512	0.003992	266238.000000	intergenic	-0.011975	-0.115899	True	True	True	-0.067008	0.800305	153.582358	3	-0.004638	-0.089520	0	1	0.148431	0.134518	False
chr6	128799507	128800007	2310001H17Rik	0.074645	0.154603	29.972750	0.005158	0.001156	0.102921	0.195541	30.031972	0.006511	0.001502	438968.000000	genic	0.028276	0.040938	True	True	True	0.715020	0.579102	3.310201	8	0.004406	-0.011901	3	2	0.460537	0.495788	False
chr13	98262791	98263378	2310005E17Rik	0.063935	0.058772	19.662534	0.002989	0.000387	0.000000	0.000000	0.000000	0.000000	0.000000	171980.500000	promoter	-0.063935	-0.058772	True	False	True	0.067232	0.971346	5.790850	9	-0.035737	-0.295659	0	9	0.321635	0.000000	False
chr1	134955692	134956201	2310009B15Rik	0.039808	0.080588	69.062620	0.001167	0.000201	0.002104	0.004556	66.278060	0.000069	0.000000	3900905.500000	promoter	-0.037704	-0.076032	True	False	True	-0.110514	0.915738	13.385117	8	-0.008553	-0.103118	1	4	0.320285	0.251860	False
chr10	80329248	80330202	2310011J03Rik	0.144982	5.377824	25.482610	0.211039	0.082380	0.097057	3.708597	18.664259	0.198700	0.076646	9188.000000	promoter	-0.047925	-1.669227	True	True	True	0.069511	0.899721	37.957777	10	-0.002089	-0.353828	2	1	0.397487	0.376601	False
chr12	78861388	78862068	2310015A10Rik	0.044538	0.544029	74.078748	0.007344	0.001549	0.005102	0.059513	79.420609	0.000749	0.000116	1271116.000000	promoter	-0.039436	-0.484516	True	True	True	-0.155902	0.516676	211.885929	5	-0.006981	-0.550294	0	1	0.260208	0.225303	False
chr12	29290922	29291422	2310016D03Rik	0.028340	0.025149	107.147555	0.000235	0.000000	0.113438	0.105643	105.184211	0.001004	0.000169	1176186.000000	intergenic	0.085098	0.080494	False	True	True	-0.201569	0.941891	2.471876	9	-0.002415	-0.007952	3	5	0.280074	0.258337	False
chr7	27474514	27475014	2310022A10Rik	0.064708	1.876947	87.891272	0.021355	0.005876	0.048771	1.419360	81.103416	0.017501	0.004589	78468.000000	genic	-0.015937	-0.457587	True	True	True	0.253001	0.086531	145.964284	8	-0.003469	-0.782031	0	1	0.265782	0.238032	False
chr8	124721733	124722388	2310022B05Rik	0.090225	1.135273	60.672474	0.018712	0.004767	0.078373	1.024215	61.010523	0.016788	0.004096	58691.500000	promoter	-0.011852	-0.111058	True	True	True	-0.100453	0.723584	159.428648	8	-0.000220	0.120870	0	1	0.296106	0.294348	False
chr4	138304479	138305015	2310026L22Rik	0.049500	0.919520	60.330368	0.015241	0.003910	0.070004	1.351342	59.437274	0.022736	0.006364	89034.000000	promoter	0.020504	0.431822	True	True	True	-0.297959	0.836543	5.367959	2	0.008296	0.400380	1	0	0.110051	0.126643	False
chr9	50727778	50728278	2310030G06Rik	0.076528	0.763200	15.206605	0.050189	0.014057	0.097487	0.893024	20.377743	0.043823	0.011402	18508.000000	genic	0.020959	0.129824	True	True	True	-1.557318	0.015038	5.719521	12	-0.001070	-0.661143	1	3	0.668958	0.656116	True
chr11	60352655	60353578	2310033P09Rik	0.017228	0.269164	132.677205	0.002029	0.000395	0.038268	0.607126	131.986420	0.004600	0.000962	1144796.500000	promoter	0.021040	0.337962	True	True	True	0.079564	0.882649	52.352661	10	0.001422	0.346661	2	1	0.500212	0.514435	False
chr6	83831491	83832015	2310040G24Rik	0.000704	0.009220	90.491276	0.000102	0.000000	0.021559	0.280848	88.439403	0.003176	0.000596	2656474.000000	promoter	0.020855	0.271628	False	True	True	-0.328284	0.829081	4.477617	8	-0.000214	-0.062521	1	2	0.525679	0.523970	False
chr11	59163297	59163989	2310058D17Rik	0.066538	0.721378	51.948775	0.013886	0.003605	0.050049	0.568668	52.092522	0.010916	0.002737	185593.000000	promoter	-0.016489	-0.152710	True	True	True	0.220759	0.765222	30.633316	9	-0.001373	0.142255	1	1	0.542837	0.530479	False
