enh_key	chr	start	end	delta_activity	activity_base_WT	activity_base_KO	mean_delta_abc	mean_delta_unnorm	max_abs_delta_unnorm	n_genes	has_H3K27ac	enhancer_id	chr.k119	start.k119	end.k119	ctrl1	ctrl2	ctrl3	ctrl4	mut1	mut2	mut3	mut4	ctrl_mean	mut_mean	log2fc	signal_class	median_distance
chr1:106387180-106387680	chr1	106387180	106387680	1.908603	0	1.908603	0.030249	0.088244	0.088244	1	FALSE	chr1:106387180-106387680	chr1	106387180	106387680	5.892334	4.87454	2.566408	4.476081	6.61302	6.332566	3.685284	5.247309	4.452341	5.469545	0.246183	quantifiable	14557
chr1:106395404-106395904	chr1	106395404	106395904	5.162182	0	5.162182	0.05642275	0.17239825	0.640595	4	FALSE	chr1:106395404-106395904	chr1	106395404	106395904	4.871762	4.929228	2.814473	1.900374	5.103249	3.907488	4.742456	2.807996	3.628959	4.140298	0.150713	quantifiable	224016.5
chr1:106407849-106408349	chr1	106407849	106408349	0.658246	0	0.658246	0.031081	0.09067	0.09067	1	FALSE	chr1:106407849-106408349	chr1	106407849	106408349	4.389641	3.234765	1.491971	2.09856	2.874459	4.324469	4.13604	2.307069	2.803734	3.410509	0.21277	quantifiable	6112
chr1:106409436-106409936	chr1	106409436	106409936	0.539261	0	0.539261	0.024045	0.070146	0.070146	1	FALSE	chr1:106409436-106409936	chr1	106409436	106409936	2.120313	1.769032	5.693724	1.806584	3.767567	0	0.916852	4.415336	2.847413	2.274939	-0.231468	quantifiable	7699
chr1:106702711-106703211	chr1	106702711	106703211	-0.154823	1.532926	1.378103	0.002752	-0.004163	0.004163	1	FALSE	chr1:106702711-106703211	chr1	106702711	106703211	11.449661	15.210109	7.201515	5.196929	11.868258	9.115887	3.648999	4.558191	9.764553	7.297834	-0.374901	quantifiable	11313
chr1:106712268-106712768	chr1	106712268	106712768	-0.203076	1.739228	1.536152	-0.00186	-0.037515	0.037515	1	TRUE	chr1:106712268-106712768	chr1	106712268	106712768	4.962721	8.401651	8.753087	4.089877	8.492905	7.363097	12.083702	7.399828	6.551834	8.834883	0.380435	quantifiable	1756
chr1:106713759-106714524	chr1	106713759	106714524	0.300447	6.595632	6.896079	0.0070842	0.0004892	0.012021	5	TRUE	chr1:106713759-106714524	chr1	106713759	106714524	3.491212	3.274949	5.025207	3.893313	3.273988	1.431011	2.914584	1.299477	3.92117	2.229765	-0.60534	quantifiable	147030.5
chr1:106759477-106759993	chr1	106759477	106759993	15.487912	0	15.487912	0.00286436363636364	-0.0163783636363636	0.110111	11	TRUE	chr1:106759477-106759993	chr1	106759477	106759993	12.524348	4.89602	5.49676	7.965856	11.718675	11.398354	9.137785	10.346389	7.720746	10.650301	0.417238	quantifiable	769330
chr1:106796283-106796978	chr1	106796283	106796978	0.846893	5.459207	6.3061	0.0114236666666667	0.0131753333333333	0.025875	3	FALSE	chr1:106796283-106796978	chr1	106796283	106796978	2.469193	1.55655	2.637071	2.928411	3.73872	4.924165	2.815923	2.970094	2.397806	3.612225	0.439234	quantifiable	64541.5
chr1:106870046-106870546	chr1	106870046	106870546	0.093863	0.492493	0.586356	0.017435	0.004557	0.004557	1	FALSE	chr1:106870046-106870546	chr1	106870046	106870546	2.909119	2.850869	2.650604	2.067862	3.005658	3.492856	2.946473	4.351458	2.619614	3.449111	0.296601	quantifiable	9124
chr1:107387162-107387662	chr1	107387162	107387662	0.047624	0.104138	0.151762	0.014918	0.003822	0.003822	1	FALSE	chr1:107387162-107387662	chr1	107387162	107387662	1.756906	1.976242	2.157379	0.989989	1.513342	2.794947	0.056757	2.903113	1.720129	1.81704	0.05024	quantifiable	12242
chr1:107399404-107399904	chr1	107399404	107399904	-0.186657	0.186657	0	-0.031305	-0.013017	0.013017	1	FALSE	chr1:107399404-107399904	chr1	107399404	107399904	0.624377	0.940269	3.021124	2.842943	1.256044	1.442677	0.812069	5.451874	1.857178	2.240666	0.180831	quantifiable	12242
chr1:107512189-107512689	chr1	107512189	107512689	-2.663393	2.663393	0	-0.0429866666666667	-0.0678146666666667	0.177121	3	FALSE	chr1:107512189-107512689	chr1	107512189	107512689	1.083132	1.871508	0.831375	2.050337	4.134311	2.069028	1.856989	0.701728	1.459088	2.190514	0.373713	quantifiable	112785
chr1:107588157-107588657	chr1	107588157	107588657	-2.276286	13.845716	11.56943	-0.0191332	-0.0915916	0.282657	5	FALSE	chr1:107588157-107588657	chr1	107588157	107588657	3.586282	6.897595	1.329815	2.838208	5.819354	3.517244	2.693326	3.205621	3.662975	3.808886	0.044316	quantifiable	188753
chr1:107589755-107590515	chr1	107589755	107590515	-2.702038	32.915742	30.213704	0.00122045454545455	-0.0203621818181818	0.201919	11	TRUE	chr1:107589755-107590515	chr1	107589755	107590515	8.946417	10.746548	2.708528	7.203196	8.747111	11.174647	9.63844	9.391899	7.401172	9.738024	0.353521	quantifiable	830408
chr1:107767139-107767639	chr1	107767139	107767639	-0.274849	1.974106	1.699257	-0.014832	-0.002498	0.002498	1	FALSE	chr1:107767139-107767639	chr1	107767139	107767639	2.852828	2.243399	3.306332	3.568037	4.080526	3.963525	2.693326	1.20357	2.992649	2.985237	-0.002671	quantifiable	3210195
chr1:109471503-109472003	chr1	109471503	109472003	-3.447044	10.545573	7.098529	0.00184433333333333	-0.0485766666666667	0.12276	3	TRUE	chr1:109471503-109472003	chr1	109471503	109472003	8.451678	8.229968	3.48627	3.006378	10.856266	9.869501	4.325212	4.652244	5.793574	7.425806	0.310045	quantifiable	1505831
chr1:10990738-10991238	chr1	10990738	10991238	0.27834	0.594572	0.872912	0.057316	0.048253	0.048253	1	FALSE	chr1:10990738-10991238	chr1	10990738	10991238	4.133254	5.953402	1.877752	5.587675	4.803008	4.162425	5.529568	7.039331	4.388021	5.383583	0.244003	quantifiable	2476
chr1:109929836-109930336	chr1	109929836	109930336	-6.093553	11.200271	5.106718	-0.01869825	-0.171272	0.494013	4	TRUE	chr1:109929836-109930336	chr1	109929836	109930336	4.032971	4.064143	1.199489	1.02357	6.025273	5.715825	3.695098	3.942839	2.580043	4.844759	0.704895	quantifiable	1693789.5
chr1:109932609-109933109	chr1	109932609	109933109	-7.440507	15.532933	8.092426	-0.02279275	-0.22249075	0.639598	4	TRUE	chr1:109932609-109933109	chr1	109932609	109933109	7.353661	6.498335	1.828255	2.868837	5.661335	4.858925	4.702219	3.365977	4.637272	4.647114	0.00251	quantifiable	1693789.5
chr1:109948501-109949001	chr1	109948501	109949001	-3.867011	10.53247	6.665459	-0.015695	-0.1333735	0.227937	2	TRUE	chr1:109948501-109949001	chr1	109948501	109949001	12.188581	4.907297	3.074355	3.670982	8.547582	10.89418	3.496663	3.610582	5.960304	6.637252	0.133636	quantifiable	1235504
chr1:109982180-109982680	chr1	109982180	109982680	-2.382163	13.59542	11.213257	-0.002017	-0.0461925	0.098001	2	TRUE	chr1:109982180-109982680	chr1	109982180	109982680	1.958314	2.350646	1.812282	3.409634	2.368608	3.524016	2.698675	8.058751	2.382719	4.162513	0.607752	quantifiable	1693789.5
chr1:109982885-109983385	chr1	109982885	109983385	-0.406059000000003	18.146083	17.740024	0.0082745	-0.0432765	0.098826	2	TRUE	chr1:109982885-109983385	chr1	109982885	109983385	3.058936	2.671286	4.1027	6.239194	2.530107	3.113828	10.220184	13.965769	4.018029	7.457472	0.751403	quantifiable	1693789.5
chr1:109985389-109985889	chr1	109985389	109985889	-5.280706	11.834519	6.553813	-0.021344	-0.1462735	0.571511	4	TRUE	chr1:109985389-109985889	chr1	109985389	109985889	2.963256	8.126671	2.743344	3.190359	4.876998	7.161673	6.725114	4.513259	4.255908	5.819261	0.374759	quantifiable	1788965
chr1:109993884-109994384	chr1	109993884	109994384	-4.539037	8.987186	4.448149	-0.0183005	-0.142788	0.278736	2	TRUE	chr1:109993884-109994384	chr1	109993884	109994384	7.226956	8.070802	2.611344	3.027501	10.409302	6.388995	2.430385	2.74567	5.234151	5.493588	0.058688	quantifiable	1303092
chr1:11090744-11091244	chr1	11090744	11091244	-0.00388099999999991	0.777233	0.773352	-0.0121	-0.004281	0.004281	1	FALSE	chr1:11090744-11091244	chr1	11090744	11091244	3.163293	5.711486	0.497478	3.180959	5.273075	5.620642	6.174885	6.020401	3.138304	5.772251	0.708623	quantifiable	97530
chr1:111864355-111865168	chr1	111864355	111865168	2.7745	13.05504	15.82954	-0.1095385	-0.021271	0.025212	2	TRUE	chr1:111864355-111865168	chr1	111864355	111865168	7.935076	5.27273	3.488212	8.823503	6.413761	7.73971	14.743055	12.555904	6.37988	10.363108	0.62169	quantifiable	2353585.5
chr1:11413854-11414524	chr1	11413854	11414524	6.639249	5.887366	12.526615	0.0356494	0.0135614	0.025053	5	FALSE	chr1:11413854-11414524	chr1	11413854	11414524	6.855374	6.89387	6.684012	10.855119	10.486229	10.674196	10.766208	14.423515	7.822094	11.587537	0.51209	quantifiable	1256987
chr1:114330445-114330945	chr1	114330445	114330945	7.349847	13.63142	20.981267	-0.0256175	0.0045555	0.027271	2	FALSE	chr1:114330445-114330945	chr1	114330445	114330945	23.633522	22.758473	6.095305	7.761558	13.509593	16.342835	5.12318	5.932366	15.062215	10.226993	-0.516135	quantifiable	1909918.5
chr1:114862902-114863402	chr1	114862902	114863402	3.559013	10.903837	14.46285	-0.044828	0.014579	0.048973	2	FALSE	chr1:114862902-114863402	chr1	114862902	114863402	17.348675	19.579116	4.004648	7.798844	12.18036	16.879367	5.095608	3.306776	12.182821	9.365528	-0.346432	quantifiable	2353585.5
chr1:115686420-115686920	chr1	115686420	115686920	1.118966	0.216199	1.335165	0.082203	0.151204	0.151204	1	FALSE	chr1:115686420-115686920	chr1	115686420	115686920	9.256016	11.349815	3.413506	2.591939	8.241237	8.065333	5.453557	4.083632	6.652819	6.46094	-0.036563	quantifiable	1915
chr1:118311000-118311989	chr1	118311000	118311989	0.218494	12.549543	12.768037	-0.012274	-0.01944725	0.148387	8	FALSE	chr1:118311000-118311989	chr1	118311000	118311989	3.317011	1.309073	3.20789	2.220658	3.326231	4.546382	4.199958	1.219654	2.513658	3.323056	0.29796	quantifiable	1982122.5
chr1:118321588-118322148	chr1	118321588	118322148	0.675154	2.880301	3.555455	0.0017735	0.0173575	0.025352	2	FALSE	chr1:118321588-118322148	chr1	118321588	118322148	2.829416	1.699982	2.810546	3.995483	2.240845	1.444227	2.399193	6.42021	2.833857	3.126119	0.105601	quantifiable	38659
chr1:118388807-118389402	chr1	118388807	118389402	2.196383	10.928089	13.124472	0.0159718	0.0232577	0.085853	10	FALSE	chr1:118388807-118389402	chr1	118388807	118389402	3.686558	3.34671	1.253413	4.399946	1.242302	1.294393	0.941978	3.875303	3.171657	1.838494	-0.553135	quantifiable	1099995
chr1:118459161-118459661	chr1	118459161	118459661	0.199994	16.858844	17.058838	-0.00743011111111111	0.0119671111111111	0.249712	9	TRUE	chr1:118459161-118459661	chr1	118459161	118459661	3.25482	4.757648	5.735351	4.32762	4.569268	5.988182	3.146658	8.316923	4.51886	5.505258	0.236659	quantifiable	1547482
chr1:118535960-118536460	chr1	118535960	118536460	-0.56308	2.80177	2.23869	0.002967	0.005374	0.005374	1	TRUE	chr1:118535960-118536460	chr1	118535960	118536460	1.316152	4.160489	3.4432	2.871458	1.125591	1.601785	3.8542	3.847872	2.947825	2.607362	-0.129612	quantifiable	91734
chr1:118598321-118598821	chr1	118598321	118598821	1.021843	5.720863	6.742706	-0.006569	-0.005534	0.013176	2	TRUE	chr1:118598321-118598821	chr1	118598321	118598821	1.558476	3.37346	4.93496	3.267062	4.147301	2.396678	2.132044	3.595038	3.283489	3.067765	-0.07429	quantifiable	1123650.5
chr1:118741117-118741617	chr1	118741117	118741617	0.414513	1.836037	2.25055	0.01882	0.023363	0.023363	1	FALSE	chr1:118741117-118741617	chr1	118741117	118741617	7.970223	7.709839	7.128212	5.349024	11.051489	8.434379	8.756466	14.586884	7.039324	10.707305	0.541444	quantifiable	113423
chr1:118772222-118772722	chr1	118772222	118772722	0.427357	0.617382	1.044739	0.012578	0.039115	0.039115	1	FALSE	chr1:118772222-118772722	chr1	118772222	118772722	4.171663	9.194323	6.715854	4.757574	7.185153	5.655326	6.753237	4.786997	6.209854	6.095178	-0.023084	quantifiable	281147
chr1:118789592-118790092	chr1	118789592	118790092	0.815389	3.584274	4.399663	0.01481725	0.01367725	0.024527	4	FALSE	chr1:118789592-118790092	chr1	118789592	118790092	16.672432	14.086562	6.13366	11.245729	11.28849	14.142023	9.297668	7.925188	12.034596	10.663343	-0.160175	quantifiable	989479.5
chr1:118864604-118865104	chr1	118864604	118865104	1.869549	3.015832	4.885381	-0.0029215	0.025171	0.056398	2	FALSE	chr1:118864604-118865104	chr1	118864604	118865104	10.649398	15.500043	12.066443	12.904655	9.632671	13.632247	10.572096	9.664092	12.780135	10.875277	-0.214384	quantifiable	1070205
chr1:118917779-118918279	chr1	118917779	118918279	1.100402	2.360448	3.46085	0.009462	0.036493	0.036493	1	FALSE	chr1:118917779-118918279	chr1	118917779	118918279	12.433803	14.415615	4.267493	8.574449	11.11555	11.000734	14.655666	5.497167	9.92284	10.567279	0.082594	quantifiable	135590
chr1:118941406-118941906	chr1	118941406	118941906	3.592113	1.201558	4.793671	0.027606	0.078196	0.078196	1	FALSE	chr1:118941406-118941906	chr1	118941406	118941906	7.247777	7.45974	5.966154	8.779904	7.688963	10.432828	8.740674	8.558317	7.363394	8.855195	0.236416	quantifiable	111963
chr1:119001424-119001924	chr1	119001424	119001924	2.622685	6.268911	8.891596	0.0033715	0.045738	0.095676	2	FALSE	chr1:119001424-119001924	chr1	119001424	119001924	22.412541	24.799126	9.256223	10.646103	19.919591	13.808266	13.674878	7.855292	16.778498	13.814507	-0.262886	quantifiable	212837.5
chr1:119033726-119034226	chr1	119033726	119034226	0.0762480000000001	1.998811	2.075059	-0.010544	0.006103	0.006103	1	FALSE	chr1:119033726-119034226	chr1	119033726	119034226	8.441239	7.87316	9.657342	6.620244	11.617847	12.933594	7.403313	10.353848	8.147996	10.577151	0.33927	quantifiable	19643
chr1:119047867-119048367	chr1	119047867	119048367	0.076156	0.780806	0.856962	-0.016552	0.007605	0.007605	1	FALSE	chr1:119047867-119048367	chr1	119047867	119048367	2.304857	2.033162	1.892148	2.372506	1.789533	2.214787	2.288432	4.52151	2.150668	2.703566	0.232264	quantifiable	5502
chr1:119049737-119050237	chr1	119049737	119050237	0.14647	0.978397	1.124867	-0.018693	0.016948	0.016948	1	FALSE	chr1:119049737-119050237	chr1	119049737	119050237	5.217757	15.556143	5.440328	6.99848	10.33553	9.262879	5.663674	6.026759	8.303177	7.822211	-0.07646	quantifiable	3632
chr1:119098050-119098550	chr1	119098050	119098550	3.519581	0	3.519581	0.0073798	0.0121484	0.03312	5	FALSE	chr1:119098050-119098550	chr1	119098050	119098550	14.917818	15.919466	12.823072	10.468044	8.985382	11.047788	11.452565	12.641949	13.5321	11.031921	-0.272076	quantifiable	230899
chr1:119238433-119238933	chr1	119238433	119238933	-0.820966	2.619048	1.798082	-0.015787	-0.018752	0.018752	1	FALSE	chr1:119238433-119238933	chr1	119238433	119238933	9.538864	11.638416	10.732414	14.047752	9.165938	8.027244	8.025581	8.737534	11.489362	8.489074	-0.395828	quantifiable	90516
chr1:119256656-119257460	chr1	119256656	119257460	0.179878	5.256501	5.436379	0.0144916666666667	0.027938	0.07296	3	FALSE	chr1:119256656-119257460	chr1	119256656	119257460	21.758985	14.866237	9.90885	14.577796	14.026001	12.785753	9.908297	11.184263	15.277967	11.976079	-0.326737	quantifiable	72141
chr1:119292144-119292644	chr1	119292144	119292644	-0.447738999999999	15.576901	15.129162	0.00495578571428572	0.0199941428571429	0.297141	14	FALSE	chr1:119292144-119292644	chr1	119292144	119292644	25.704537	14.661636	12.83558	12.035627	15.839375	21.25907	8.418635	9.496719	16.309345	13.75345	-0.230288	quantifiable	510528
chr1:119295074-119295574	chr1	119295074	119295574	0.473461	1.378502	1.851963	0.0133505	0.0223385	0.043136	2	FALSE	chr1:119295074-119295574	chr1	119295074	119295574	7.485752	9.729201	3.578029	6.61626	10.983147	8.243681	9.100708	6.011066	6.852311	8.584651	0.287125	quantifiable	32692
chr1:119308743-119309243	chr1	119308743	119309243	0.721806	0.53866	1.260466	0.0271095	0.0417135	0.051798	2	FALSE	chr1:119308743-119309243	chr1	119308743	119309243	9.175829	10.750912	5.156295	5.313712	8.02333	11.926962	7.360991	7.775168	7.599187	8.771612	0.184103	quantifiable	19023
chr1:119328864-119329449	chr1	119328864	119329449	1.960453	0	1.960453	0.1136015	0.1583575	0.309915	2	FALSE	chr1:119328864-119329449	chr1	119328864	119329449	9.20034	12.674228	8.52181	6.942243	9.844468	8.091277	6.293354	6.457134	9.334655	7.671559	-0.252737	quantifiable	554485.5
chr1:119391291-119391791	chr1	119391291	119391791	0.0055369999999999	1.477138	1.482675	0.001617	0.009582	0.009582	1	FALSE	chr1:119391291-119391791	chr1	119391291	119391791	9.620501	13.978776	10.849172	5.951969	10.400738	8.622964	4.666268	4.997473	10.100105	7.171861	-0.441158	quantifiable	30707
chr1:119421651-119422498	chr1	119421651	119422498	0.660756	2.34099	3.001746	0.01163	0.0189445	0.032031	2	FALSE	chr1:119421651-119422498	chr1	119421651	119422498	7.853334	5.834306	7.153277	9.465693	4.770758	5.662414	7.05508	8.336972	7.576653	6.456306	-0.201585	quantifiable	94058.5
chr1:119494648-119495467	chr1	119494648	119495467	-4.234934	9.382352	5.147418	-0.0272052	-0.0923148	0.636495	10	TRUE	chr1:119494648-119495467	chr1	119494648	119495467	3.513468	3.453376	2.393584	3.49501	3.123015	4.99927	3.290512	1.287515	3.21386	3.175078	-0.013293	quantifiable	303648.5
chr1:119504544-119505047	chr1	119504544	119505047	0.252672	9.055729	9.308401	-0.000508363636363636	-0.00187118181818182	0.050422	11	TRUE	chr1:119504544-119505047	chr1	119504544	119505047	10.647728	7.126338	8.504155	12.59504	10.014711	10.466317	6.5516	8.425233	9.718315	8.864465	-0.119596	quantifiable	398333.5
chr1:119525589-119526568	chr1	119525589	119526568	0.66305	7.20178	7.86483	-0.00125616666666667	-0.00141366666666667	0.037484	12	FALSE	chr1:119525589-119526568	chr1	119525589	119526568	1.303543	0.952958	6.179779	5.219396	2.926897	2.342275	5.181747	6.295592	3.413919	4.186628	0.232028	quantifiable	475985
chr1:119650315-119650815	chr1	119650315	119650815	-0.859374	2.487614	1.62824	-0.076068	-0.13064	0.13064	1	FALSE	chr1:119650315-119650815	chr1	119650315	119650815	2.496726	4.37796	0.784764	3.647849	2.765396	3.897819	5.484394	1.956992	2.826825	3.52615	0.24129	quantifiable	1565
