enhancer_id	chr	start	end	ctrl1	ctrl2	ctrl3	ctrl4	mut1	mut2	mut3	mut4	ctrl_mean	mut_mean	log2fc	signal_class
chr1:6306566-6307066	chr1	6306566	6307066	4.236964	7.88655	1.446342	3.432278	4.140906	5.166865	2.008342	4.190996	4.250534	3.876777	-0.10623	quantifiable
chr1:6320499-6320999	chr1	6320499	6320999	2.645662	2.671311	0.499383	0.907852	2.24978	2.232892	0	0.706789	1.681052	1.297365	-0.221515	quantifiable
chr1:6382624-6383124	chr1	6382624	6383124	4.15098	3.454441	2.335009	4.151851	5.51392	4.041777	4.844329	4.455675	3.52307	4.713925	0.336213	quantifiable
chr1:6441028-6441833	chr1	6441028	6441833	2.903743	2.874003	3.721409	5.959574	5.560087	3.690599	5.762511	7.13284	3.864682	5.536509	0.425071	quantifiable
chr1:6510430-6510930	chr1	6510430	6510930	7.411049	8.644952	3.77448	3.803596	8.176521	7.383316	3.701391	5.031602	5.908519	6.073208	0.033917	quantifiable
chr1:6729456-6729956	chr1	6729456	6729956	2.226844	3.557174	2.496492	5.320474	5.194512	5.007875	2.655606	8.619474	3.400246	5.369366	0.532091	quantifiable
chr1:6733767-6734267	chr1	6733767	6734267	2.978495	3.169021	2.193617	3.633627	4.335692	4.829272	6.275754	3.462369	2.99369	4.725772	0.518158	quantifiable
chr1:6734690-6735190	chr1	6734690	6735190	1.663283	4.405457	2.630628	2.629067	2.891075	3.828844	3.571395	4.981865	2.832109	3.818295	0.329264	quantifiable
chr1:6739148-6739648	chr1	6739148	6739648	1.508471	5.232476	0	0.427893	2.314715	4.944576	4.695434	1.627392	1.79221	3.395529	0.651891	quantifiable
chr1:6760481-6760981	chr1	6760481	6760981	1.380826	2.751317	4.576853	3.246969	4.883557	4.19656	6.361323	1.286076	2.988991	4.181879	0.37624	quantifiable
chr1:6769907-6770407	chr1	6769907	6770407	3.532361	6.234924	2.552321	1.52993	3.840792	2.83327	1.079848	0.229082	3.462384	1.995748	-0.572598	quantifiable
chr1:6783954-6784454	chr1	6783954	6784454	1.292609	1.676816	2.111692	3.016686	1.643011	3.821563	1.876891	0.107939	2.024451	1.862351	-0.07908	quantifiable
chr1:6819839-6820339	chr1	6819839	6820339	10.571992	6.424998	6.317794	3.302565	8.308267	12.023593	11.058586	6.370223	6.654337	9.440167	0.447063	quantifiable
chr1:6820863-6821363	chr1	6820863	6821363	7.031052	7.278746	2.495087	2.907415	6.896081	5.621367	6.252607	4.690116	4.928075	5.865043	0.211221	quantifiable
chr1:6858948-6859448	chr1	6858948	6859448	3.382583	3.240305	0.405719	0.993535	1.849713	0	2.981479	1.30245	2.005536	1.533411	-0.245243	quantifiable
chr1:6866862-6867362	chr1	6866862	6867362	4.474078	2.200048	1.265961	3.355733	4.346496	6.489404	4.460596	1.782304	2.823955	4.2697	0.46115	quantifiable
chr1:7088622-7089169	chr1	7088622	7089169	12.321697	6.062168	6.087921	12.359869	11.964047	12.666068	11.975532	15.230024	9.207914	12.958918	0.450946	quantifiable
chr1:7095316-7095816	chr1	7095316	7095816	0.40544	3.655289	0	2.445015	2.081849	0.675264	2.105377	0	1.626436	1.215622	-0.243917	quantifiable
chr1:7397619-7398279	chr1	7397619	7398279	11.432188	5.511369	6.199428	9.19981	9.824604	12.19345	9.684966	15.690875	8.085699	11.848474	0.49925	quantifiable
chr1:9248422-9248922	chr1	9248422	9248922	0.329758	2.059736	2.288244	0.839449	0.864139	0.43487	1.237022	0	1.379297	0.634008	-0.538114	one_condition
chr1:9299187-9300128	chr1	9299187	9300128	9.668816	9.883468	10.006465	10.803521	7.479703	9.43748	10.694259	14.644342	10.090567	10.563946	0.060223	quantifiable
chr1:9545068-9545657	chr1	9545068	9545657	13.556345	7.219689	7.950936	8.296841	11.117475	12.801858	7.720074	10.281555	9.255953	10.48024	0.162473	quantifiable
chr1:9547697-9548197	chr1	9547697	9548197	4.140932	1.600914	1.683457	3.01908	2.008114	3.229895	5.550612	2.860881	2.611096	3.412376	0.288064	quantifiable
chr1:9630046-9630546	chr1	9630046	9630546	28.654806	11.545918	6.347316	10.475138	19.129824	23.530364	10.404223	13.641507	14.255794	16.67648	0.212285	quantifiable
chr1:9630925-9631425	chr1	9630925	9631425	8.74003	9.48	5.339948	4.872908	5.533087	10.260293	3.438017	9.038427	7.108221	7.067456	-0.007259	quantifiable
chr1:9631456-9631956	chr1	9631456	9631956	11.480647	8.562304	2.494125	3.901388	8.62609	9.743021	4.620327	4.735261	6.609616	6.931175	0.059599	quantifiable
chr1:9648727-9649664	chr1	9648727	9649664	9.364172	9.459436	6.399725	7.086969	10.894775	13.605405	12.245069	11.084508	8.077575	11.957439	0.512708	quantifiable
chr1:9699718-9700974	chr1	9699718	9700974	4.330701	3.747222	6.504547	5.355432	5.15022	4.847615	7.705197	9.12353	4.984475	6.70664	0.364093	quantifiable
chr1:9748132-9748715	chr1	9748132	9748715	10.100148	7.461965	3.076921	7.263803	12.207599	13.142668	8.397667	9.662512	6.975709	10.852612	0.570658	quantifiable
chr1:9797692-9798356	chr1	9797692	9798356	2.767599	1.308622	1.160346	1.877575	2.308571	1.473319	1.977931	2.794743	1.778535	2.138641	0.17495	quantifiable
chr1:9943826-9944368	chr1	9943826	9944368	6.796996	5.042628	7.660895	5.637585	6.374281	10.433266	6.648048	7.907237	6.284526	7.840708	0.278819	quantifiable
chr1:10037736-10038418	chr1	10037736	10038418	3.759675	2.180569	3.903946	5.908562	4.051781	3.671151	5.917575	7.913731	3.938188	5.38856	0.370544	quantifiable
chr1:10039673-10040173	chr1	10039673	10040173	0.460047	1.434387	3.973798	5.704075	3.729197	2.472386	3.962405	6.667628	2.893077	4.207904	0.418431	quantifiable
chr1:10232420-10233360	chr1	10232420	10233360	3.06623	1.094184	4.021342	5.297677	2.142898	2.080822	4.498436	2.683336	3.369858	2.851373	-0.181567	quantifiable
chr1:10990738-10991238	chr1	10990738	10991238	4.133254	5.953402	1.877752	5.587675	4.803008	4.162425	5.529568	7.039331	4.388021	5.383583	0.244003	quantifiable
chr1:11090744-11091244	chr1	11090744	11091244	3.163293	5.711486	0.497478	3.180959	5.273075	5.620642	6.174885	6.020401	3.138304	5.772251	0.708623	quantifiable
chr1:11413854-11414524	chr1	11413854	11414524	6.855374	6.89387	6.684012	10.855119	10.486229	10.674196	10.766208	14.423515	7.822094	11.587537	0.51209	quantifiable
chr1:12571969-12572469	chr1	12571969	12572469	1.902747	5.029884	0.332935	1.765559	2.743605	1.515527	2.406785	1.734076	2.257781	2.099998	-0.071295	quantifiable
chr1:12657407-12657907	chr1	12657407	12657907	10.062352	9.874412	27.569428	18.902909	8.230014	10.911737	11.67458	15.199769	16.602275	11.504025	-0.492882	quantifiable
chr1:12670926-12671426	chr1	12670926	12671426	6.075957	9.984917	2.372574	6.323724	8.605684	8.528172	6.340909	3.212702	6.189293	6.671867	0.093544	quantifiable
chr1:12692026-12692526	chr1	12692026	12692526	10.504791	19.51999	8.342712	10.78754	10.192524	9.664984	5.338666	4.672679	12.288758	7.467213	-0.649346	quantifiable
chr1:12718080-12718580	chr1	12718080	12718580	10.3007	10.843307	3.547372	7.866443	6.681344	9.772028	5.808754	4.612139	8.139456	6.718566	-0.243352	quantifiable
chr1:12990137-12990637	chr1	12990137	12990637	10.250813	9.892778	6.808998	11.540921	11.988489	15.02975	13.096605	15.758897	9.623377	13.968435	0.494106	quantifiable
chr1:12992229-12992900	chr1	12992229	12992900	6.34796	7.713529	5.804295	8.073029	6.863038	10.231867	12.697061	8.448611	6.984703	9.560144	0.402677	quantifiable
chr1:13142306-13142806	chr1	13142306	13142806	6.099148	4.617926	2.106727	2.635497	5.485753	6.514809	4.562587	4.26153	3.864824	5.20617	0.350383	quantifiable
chr1:13146885-13147385	chr1	13146885	13147385	2.563908	3.874196	1.686536	1.428347	1.190071	2.542241	2.786466	2.137166	2.388247	2.163986	-0.098357	quantifiable
chr1:13196831-13197331	chr1	13196831	13197331	2.349083	2.574683	4.147175	1.215082	4.324906	3.7887	3.287608	2.079454	2.571506	3.370167	0.290083	quantifiable
chr1:13277439-13277939	chr1	13277439	13277939	2.578833	2.877444	0	1.297917	4.453901	2.102654	2.551688	3.482548	1.688549	3.147698	0.622741	quantifiable
chr1:13366531-13367031	chr1	13366531	13367031	1.259567	3.757894	2.267017	1.212723	1.859005	2.245791	2.052611	1.130271	2.1243	1.82192	-0.146138	quantifiable
chr1:13372200-13373144	chr1	13372200	13373144	6.63977	3.438281	7.451334	3.839784	4.779597	6.89025	7.343193	8.591416	5.342292	6.901114	0.316398	quantifiable
chr1:13373344-13374335	chr1	13373344	13374335	1.29184	1.212122	1.641751	2.571264	1.520205	0.743803	3.57024	3.851962	1.679244	2.421553	0.351129	quantifiable
chr1:13589624-13590160	chr1	13589624	13590160	2.041487	0.938355	3.479536	3.654643	2.041197	3.789866	3.443015	8.798725	2.528505	4.518201	0.642997	quantifiable
chr1:13660220-13660796	chr1	13660220	13660796	4.176027	3.142849	3.815816	6.204909	6.481875	5.580502	9.175794	6.061476	4.3349	6.824911	0.55136	quantifiable
chr1:14000701-14001201	chr1	14000701	14001201	16.731094	12.234498	3.075317	4.009383	9.726757	11.579641	10.858303	5.925689	9.012573	9.522597	0.071576	quantifiable
chr1:14001404-14001904	chr1	14001404	14001904	11.288269	15.453666	2.576839	3.639952	10.026288	11.002163	5.250363	7.262098	8.239681	8.385228	0.022513	quantifiable
chr1:14108332-14108832	chr1	14108332	14108832	18.954765	18.160607	4.787391	7.891796	13.490189	12.303035	13.505668	8.190782	12.44864	11.872418	-0.063107	quantifiable
chr1:14231845-14232782	chr1	14231845	14232782	7.672056	9.28541	3.616745	4.382686	6.641185	6.65418	9.245939	7.391785	6.239224	7.483272	0.22836	quantifiable
chr1:14309598-14310485	chr1	14309598	14310485	8.036766	8.603492	5.579208	9.51623	9.949689	7.595602	7.667008	10.377991	7.933924	8.897573	0.147552	quantifiable
chr1:14755191-14756242	chr1	14755191	14756242	7.691012	6.36749	6.648588	12.476172	6.30083	9.681288	14.230097	16.377033	8.295816	11.647312	0.443578	quantifiable
chr1:15286445-15286945	chr1	15286445	15286945	7.526159	2.457714	5.586723	10.674128	5.793191	4.482148	6.635002	9.936277	6.561181	6.711654	0.028375	quantifiable
chr1:15287003-15288223	chr1	15287003	15288223	6.755954	8.502082	4.706351	5.816293	7.480404	5.501716	7.168417	4.574028	6.44517	6.181141	-0.051988	quantifiable
chr1:15565969-15566469	chr1	15565969	15566469	17.97887	17.641735	2.588828	4.546354	15.90748	12.205542	6.093977	10.661354	10.688947	11.217088	0.063678	quantifiable
chr1:15616228-15616728	chr1	15616228	15616728	8.560168	11.39078	4.016503	3.995178	6.821216	4.685999	1.653244	4.572311	6.990657	4.433192	-0.555277	quantifiable
chr1:15651827-15652327	chr1	15651827	15652327	13.920612	15.704047	12.92453	11.64944	14.585317	13.55789	12.468851	9.975468	13.549657	12.646881	-0.092318	quantifiable
chr1:15805395-15806008	chr1	15805395	15806008	5.079014	5.028933	5.177811	4.770878	7.746675	7.363385	10.343889	5.613322	5.014159	7.766818	0.542593	quantifiable
chr1:15936292-15936792	chr1	15936292	15936792	9.684823	8.70436	1.90635	2.134675	8.547126	7.13842	5.15915	3.391643	5.607552	6.059085	0.095162	quantifiable
chr1:15990956-15991456	chr1	15990956	15991456	10.885885	16.711907	6.362577	7.73093	12.40213	15.395724	14.829715	6.760277	10.422825	12.346961	0.224327	quantifiable
chr1:15993504-15994004	chr1	15993504	15994004	18.692307	16.164511	6.717124	6.297394	15.305758	19.602285	4.690616	3.448759	11.967834	10.761855	-0.140656	quantifiable
chr1:16093028-16093575	chr1	16093028	16093575	5.177588	5.345337	4.15866	7.763542	6.466801	8.148326	6.763898	8.203259	5.611282	7.395571	0.344023	quantifiable
chr1:16104412-16104997	chr1	16104412	16104997	5.099619	4.165158	8.237892	2.468901	4.92274	6.96101	2.128464	5.385439	4.992892	4.849413	-0.034875	quantifiable
chr1:16105417-16106023	chr1	16105417	16106023	5.190626	0.876615	8.921057	7.072124	4.251923	1.836631	7.40629	5.364787	5.515105	4.714908	-0.188607	quantifiable
chr1:16111679-16112179	chr1	16111679	16112179	7.315095	7.706992	4.035401	3.400741	9.48757	10.233419	4.127761	6.240233	5.614557	7.522246	0.364878	quantifiable
chr1:16518505-16519393	chr1	16518505	16519393	1.255842	1.12235	1.722415	1.82751	1.216278	2.094934	2.663877	4.570271	1.48203	2.63634	0.548287	quantifiable
chr1:16519708-16520362	chr1	16519708	16520362	2.559094	2.268801	2.516203	3.348596	1.495299	1.524886	1.335784	3.724157	2.673173	2.020032	-0.281229	quantifiable
chr1:16618414-16618914	chr1	16618414	16618914	2.877859	3.014395	4.573389	3.975417	2.215163	3.484577	5.763619	8.628639	3.610265	5.022999	0.384564	quantifiable
chr1:16619130-16619739	chr1	16619130	16619739	2.654947	2.753555	6.3206	4.604462	2.956019	3.341935	5.670206	7.115303	4.083391	4.770866	0.182505	quantifiable
chr1:16656790-16657292	chr1	16656790	16657292	10.507268	4.650842	6.324493	4.618597	12.58844	10.569471	9.933616	4.455559	6.5253	9.386772	0.464157	quantifiable
chr1:16657301-16657801	chr1	16657301	16657801	2.435577	2.168292	1.496282	0.858755	1.687941	3.249233	4.298584	2.206063	1.739727	2.860455	0.492518	quantifiable
chr1:16664956-16665571	chr1	16664956	16665571	3.868529	1.683177	6.790719	5.002235	5.177363	3.595477	7.482583	9.636944	4.336165	6.473092	0.484776	quantifiable
chr1:17041159-17041659	chr1	17041159	17041659	4.373619	6.22397	6.52329	4.540571	6.659881	6.590928	4.371999	7.600055	5.415363	6.305716	0.187096	quantifiable
chr1:17059887-17060387	chr1	17059887	17060387	10.259451	10.400414	4.063518	5.46558	10.253068	8.304259	9.080865	7.373694	7.547241	8.752971	0.190079	quantifiable
chr1:17060515-17061015	chr1	17060515	17061015	6.347857	6.110746	5.727364	6.702118	8.886558	6.488288	2.503446	8.670679	6.222021	6.637243	0.080491	quantifiable
chr1:17087959-17088459	chr1	17087959	17088459	1.783191	2.371193	3.398822	0.423227	3.594663	2.745897	1.458231	1.728484	1.994108	2.381819	0.17487	quantifiable
chr1:17090431-17090931	chr1	17090431	17090931	5.470833	5.256665	1.962391	4.160779	9.463611	6.239184	6.084773	5.401838	4.212667	6.797352	0.579627	quantifiable
chr1:17096650-17098227	chr1	17096650	17098227	3.904937	3.483155	5.734019	5.357826	5.106248	5.362686	7.845865	6.574665	4.619984	6.222366	0.361076	quantifiable
chr1:17121260-17121760	chr1	17121260	17121760	7.150765	5.679884	1.496282	3.554653	9.269882	6.03181	7.076357	4.239096	4.470396	6.654286	0.483527	quantifiable
chr1:17123343-17123843	chr1	17123343	17123843	2.348104	4.87731	1.390224	3.646137	9.98278	7.480261	4.183102	5.511754	3.065444	6.789474	0.935644	quantifiable
chr1:17145111-17145763	chr1	17145111	17145763	4.675576	5.554545	2.583885	4.899046	6.657627	4.940876	5.826647	6.980723	4.428263	6.101468	0.386715	quantifiable
chr1:18057634-18058134	chr1	18057634	18058134	9.832799	9.599149	5.019772	4.721512	8.8454	7.202385	4.990018	6.468231	7.293308	6.876508	-0.074257	quantifiable
chr1:18058381-18059306	chr1	18058381	18059306	7.537772	7.039559	7.51042	8.296048	8.555262	6.124116	9.667282	10.089906	7.59595	8.609142	0.160493	quantifiable
chr1:18168227-18168727	chr1	18168227	18168727	3.578173	6.739174	2.418512	2.89038	8.897108	4.778794	6.745017	3.961042	3.90656	6.09549	0.53087	quantifiable
chr1:18292521-18293021	chr1	18292521	18293021	5.830343	7.453174	2.953844	1.913496	5.754529	2.724621	4.400869	4.462054	4.537714	4.335518	-0.053518	quantifiable
chr1:18468381-18468881	chr1	18468381	18468881	6.916765	4.843682	1.862318	3.427299	8.249144	6.689889	5.630674	8.998024	4.262516	7.391933	0.671762	quantifiable
chr1:18640981-18641481	chr1	18640981	18641481	1.479131	1.587935	2.079399	1.12566	2.436367	1.759366	2.448852	1.503399	1.568031	2.036996	0.240723	quantifiable
chr1:18903429-18903929	chr1	18903429	18903929	13.156936	13.116513	3.237955	6.086138	12.982097	7.658824	6.142947	13.01125	8.899385	9.948779	0.145156	quantifiable
chr1:19208663-19209163	chr1	19208663	19209163	5.416794	11.741611	2.586134	3.354475	6.610251	4.490368	3.632775	3.238687	5.774753	4.49302	-0.301845	quantifiable
chr1:19918842-19919342	chr1	19918842	19919342	5.539602	5.581896	1.247062	2.197295	10.100643	7.359359	5.694236	2.723895	3.641464	6.469533	0.684725	quantifiable
chr1:20477585-20478085	chr1	20477585	20478085	5.24177	4.200556	1.410527	1.847102	3.924766	2.430754	5.844665	4.541477	3.174989	4.185416	0.311708	quantifiable
chr1:20677954-20678454	chr1	20677954	20678454	1.547057	1.478096	4.478859	1.665706	1.297239	0.607738	0.427864	1.2784	2.292429	0.90281	-0.786379	one_condition
chr1:20759683-20760183	chr1	20759683	20760183	1.683535	2.381633	1.161365	3.364591	1.053478	3.093668	2.891722	0.235866	2.147781	1.818683	-0.158537	quantifiable
chr1:20820062-20820628	chr1	20820062	20820628	15.963572	8.647607	3.078659	3.500674	11.18066	8.816447	6.29403	5.010549	7.797628	7.825421	0.004543	quantifiable
chr1:20839855-20840355	chr1	20839855	20840355	10.196558	8.946199	0.831375	3.599993	6.751107	8.206669	4.194273	6.727062	5.893531	6.469778	0.115587	quantifiable
chr1:20845582-20846082	chr1	20845582	20846082	9.594901	12.947497	3.656452	6.341563	12.195811	10.292588	8.457103	11.936117	8.135103	10.720405	0.359022	quantifiable
chr1:20890223-20891117	chr1	20890223	20891117	4.829333	4.571562	4.888752	6.267191	7.033141	5.753168	8.350844	5.373319	5.13921	6.627618	0.312512	quantifiable
chr1:20905683-20906183	chr1	20905683	20906183	3.100401	5.294937	3.477514	2.972045	4.34841	5.605415	5.656397	6.422449	3.711224	5.508168	0.464919	quantifiable
chr1:20919696-20920196	chr1	20919696	20920196	3.032925	4.0575	1.2252	2.991998	4.09082	6.312015	1.09149	2.558883	2.826906	3.513302	0.237171	quantifiable
chr1:20921038-20921538	chr1	20921038	20921538	6.030713	5.743268	3.981015	3.701891	6.451594	10.172391	5.494641	7.747821	4.864222	7.466612	0.528744	quantifiable
chr1:20922825-20923325	chr1	20922825	20923325	4.473823	4.538048	2.294594	3.866181	5.778269	9.043722	4.416465	7.172149	3.793162	6.602651	0.663906	quantifiable
chr1:20933423-20933923	chr1	20933423	20933923	5.783629	6.148582	4.317164	4.454782	4.576173	5.470108	1.600852	1.504462	5.176039	3.287899	-0.524914	quantifiable
chr1:20935058-20935558	chr1	20935058	20935558	10.458684	6.166101	9.516336	5.380369	10.895147	9.335436	6.545185	13.915543	7.880373	10.172828	0.330817	quantifiable
chr1:20951375-20951942	chr1	20951375	20951942	6.750529	4.340638	7.675729	4.839844	8.15703	7.495449	10.815063	9.141121	5.901685	8.902166	0.519873	quantifiable
chr1:21068439-21068939	chr1	21068439	21068939	0.959776	2.961272	3.611592	1.152741	2.502905	3.685688	3.071709	3.17415	2.171345	3.108613	0.372048	quantifiable
chr1:21078979-21079816	chr1	21078979	21079816	8.014943	3.766177	4.388119	9.456726	10.18611	7.754866	15.691645	13.445133	6.406491	11.769438	0.784641	quantifiable
chr1:21100729-21101636	chr1	21100729	21101636	10.968874	14.45984	4.70616	5.805312	11.249326	10.700405	8.844638	6.116451	8.985047	9.227705	0.034591	quantifiable
chr1:21218324-21218978	chr1	21218324	21218978	6.580897	8.305837	7.658685	11.813068	8.236559	6.939509	11.915315	8.744675	8.589622	8.959014	0.054448	quantifiable
chr1:21411325-21411825	chr1	21411325	21411825	12.642575	16.643418	4.036556	7.326345	14.385721	9.966152	4.933103	6.666288	10.162224	8.987816	-0.160162	quantifiable
chr1:22208188-22208688	chr1	22208188	22208688	13.652101	9.028129	5.866446	4.39335	10.372188	13.958155	5.579265	8.477661	8.235007	9.596818	0.198154	quantifiable
chr1:22261707-22262207	chr1	22261707	22262207	7.190271	9.728867	3.241496	4.847835	7.946753	5.852679	10.050089	3.851657	6.252117	6.925294	0.127816	quantifiable
chr1:22512391-22512891	chr1	22512391	22512891	6.283672	4.657608	2.876903	2.823584	6.864014	6.122667	1.964879	5.361861	4.160442	5.078355	0.235572	quantifiable
chr1:22631996-22632496	chr1	22631996	22632496	0.93402	0.730288	0.575535	0.439337	1.154488	1.680292	1.670708	0.921709	0.669795	1.356799	0.49351	one_condition
chr1:22640487-22640987	chr1	22640487	22640987	5.827523	4.311857	4.92249	1.157878	4.27298	2.945364	3.119263	4.184383	4.054937	3.630498	-0.126145	quantifiable
chr1:22650580-22651080	chr1	22650580	22651080	2.261238	1.341658	1.615715	2.767831	2.947173	1.139474	1.165712	1.20357	1.996611	1.613982	-0.196059	quantifiable
chr1:22787582-22788082	chr1	22787582	22788082	6.698572	4.136762	3.887197	2.099364	5.795013	3.940331	5.892159	4.810026	4.205474	5.109383	0.2304	quantifiable
chr1:22803372-22803872	chr1	22803372	22803872	4.142303	6.371439	3.292956	4.784866	4.912563	4.670184	2.312032	4.042017	4.647891	3.984199	-0.179856	quantifiable
chr1:22805744-22806418	chr1	22805744	22806418	1.743804	2.036567	2.820558	3.660911	1.114892	2.144842	4.790603	4.671223	2.56546	3.18039	0.228684	quantifiable
chr1:22931278-22931778	chr1	22931278	22931778	4.283658	5.648692	1.247755	2.6081	5.259319	4.281663	3.208509	0.926196	3.447051	3.418922	-0.009125	quantifiable
chr1:22987433-22987933	chr1	22987433	22987933	4.068031	2.942239	2.747636	1.352168	5.679901	2.19999	4.529508	4.25143	2.777519	4.165207	0.449895	quantifiable
chr1:23007936-23008436	chr1	23007936	23008436	3.342666	6.205066	4.044639	2.75429	4.493165	5.247525	6.985164	3.687049	4.086665	5.103226	0.262164	quantifiable
chr1:23097901-23098401	chr1	23097901	23098401	4.060275	1.996942	0.001655	3.90939	5.427632	2.773847	1.967593	2.406076	2.492065	3.143787	0.245925	quantifiable
chr1:23099791-23100291	chr1	23099791	23100291	3.742132	6.9559	1.994722	1.823881	5.71747	4.028546	2.886412	2.887802	3.629159	3.880057	0.075915	quantifiable
chr1:23255872-23256372	chr1	23255872	23256372	18.360022	2.725204	4.385137	6.412011	7.714471	6.802942	11.092019	4.643674	7.970593	7.563276	-0.066929	quantifiable
chr1:23256557-23257057	chr1	23256557	23257057	2.861896	0.980387	0.91482	2.433152	1.898286	1.718987	4.706545	4.57616	1.797564	3.224995	0.592247	quantifiable
chr1:23286675-23287175	chr1	23286675	23287175	4.672489	2.995157	2.701006	1.339554	3.972229	2.57164	0.876103	1.75432	2.927051	2.293573	-0.252766	quantifiable
chr1:23382752-23383699	chr1	23382752	23383699	3.682002	2.628564	3.94462	6.01176	4.775805	4.389915	5.879642	4.550598	4.066737	4.89899	0.218826	quantifiable
chr1:23445751-23446251	chr1	23445751	23446251	2.845679	5.077877	3.077934	3.102492	7.832661	4.462614	2.841769	3.408569	3.525995	4.636403	0.315626	quantifiable
chr1:23629289-23629789	chr1	23629289	23629789	3.016727	1.996635	1.703664	2.061886	3.370671	1.301537	4.935031	1.251798	2.194728	2.714759	0.216657	quantifiable
chr1:23653530-23654030	chr1	23653530	23654030	2.78829	5.32618	2.419493	2.990041	6.50997	5.267783	5.162651	3.015878	3.381001	4.98907	0.449785	quantifiable
chr1:23656182-23656682	chr1	23656182	23656682	3.495362	3.932963	2.290553	3.776357	5.412437	4.940329	4.973852	1.132291	3.373809	4.114727	0.225072	quantifiable
chr1:23762815-23763315	chr1	23762815	23763315	12.005898	3.070546	6.601386	10.461999	7.991081	5.175242	16.429525	19.122216	8.034957	12.179516	0.543976	quantifiable
chr1:23821573-23822073	chr1	23821573	23822073	9.454623	7.724666	3.718401	3.199549	5.931624	7.865552	2.656038	0.701728	6.02431	4.288736	-0.408452	quantifiable
chr1:23826976-23827476	chr1	23826976	23827476	1.557496	5.244738	2.996375	3.721442	3.745248	4.475767	1.964683	2.161173	3.380013	3.086718	-0.099649	quantifiable
chr1:23846108-23846608	chr1	23846108	23846608	4.378477	5.537751	3.277926	1.834784	5.814289	10.325608	4.587366	7.134511	3.757234	6.965444	0.741854	quantifiable
chr1:23921662-23922745	chr1	23921662	23922745	1.955612	1.65584	3.173015	3.128122	1.9212	1.541217	2.5211	4.241462	2.478147	2.556245	0.031903	quantifiable
chr1:24005399-24005906	chr1	24005399	24005906	4.489481	1.430585	5.614015	3.195559	5.530803	3.292	3.755666	12.880929	3.68241	6.364849	0.651771	quantifiable
chr1:24090035-24090535	chr1	24090035	24090535	4.908565	5.750861	1.020667	3.707464	4.719963	4.543293	2.586104	3.343075	3.846889	3.798109	-0.014549	quantifiable
chr1:24100091-24100605	chr1	24100091	24100605	2.704718	1.61938	3.459757	4.619149	3.273954	2.211112	8.064465	5.986547	3.100751	4.884019	0.519363	quantifiable
chr1:24171424-24171924	chr1	24171424	24171924	4.207369	3.7926	0.332935	2.911609	5.572569	3.384286	2.174308	2.754942	2.811128	3.471526	0.229736	quantifiable
chr1:24194095-24194595	chr1	24194095	24194595	2.513218	6.317033	3.076972	2.375074	6.060127	3.395814	3.724204	1.939278	3.570574	3.779856	0.064391	quantifiable
chr1:24223096-24223596	chr1	24223096	24223596	5.135219	6.403682	3.064617	2.99855	7.722961	6.401854	3.789694	6.68834	4.400517	6.150712	0.404037	quantifiable
