chr	start	end	TargetGene	ABC.Score_WT	ABC.Score.Numerator_WT	activity_base_WT	hic_contact_pl_scaled_adj_WT	hic_contact_WT	ABC.Score_KO	ABC.Score.Numerator_KO	activity_base_KO	hic_contact_pl_scaled_adj_KO	hic_contact_KO	distance	class	delta_ABC	delta_unnorm	hic_data_wt	hic_data_ko	has_hic_either	log2FC	padj	baseMean
chr8	31168514	31169038	Tex15	0.001318	0.001337	11.560708	1.16e-4	0	0.02735	0.024262	12.084485	0.002008	3.74e-4	2347961	promoter	0.026032	0.022925	FALSE	TRUE	TRUE	-0.16274	0.929216	5.117709
chr8	31168514	31169038	Tti2	0.105065	0.783182	11.560708	0.067745	0.021372	0.119692	0.844367	12.084485	0.069872	0.02226	18462	promoter	0.014627	0.061185	TRUE	TRUE	TRUE	-0.111449	0.740486	140.190451
chr8	31187016	31187580	Mak16	0.032621	0.218386	4.08045	0.05352	0.015454	0.018293	0.115757	2.466348	0.046935	0.012707	18534	promoter	-0.014328	-0.102629	TRUE	TRUE	TRUE	-0.099136	0.773572	90.291286
chr8	31191549	31192049	Fut10	0.051949	0.255258	1.704944	0.149716	0.044262	0.0233	0.090001	0.586541	0.153444	0.046164	4469	genic	-0.028649	-0.165257	TRUE	TRUE	TRUE	-1.454036	0	103.55224
chr8	31194901	31195401	Fut10	0.031512	0.154838	1.941036	0.079771	0.019019	0.028974	0.111915	1.400605	0.079905	0.019083	7821	genic	-0.002538	-0.042923	TRUE	TRUE	TRUE	-1.454036	0	103.55224
chr8	32293052	32293552	Gm3985	0	0	0	0	0	0.020772	0.006452	2.311655	0.002791	5.69e-4	656724	genic	0.020772	0.006452	FALSE	TRUE	TRUE	-0.036226	0.98749	6.457159
chr8	32293052	32293552	Nrg1	0.026941	0.015407	1.83975	0.008375	0.001932	0.021958	0.022089	2.311655	0.009556	0.00222	591495	genic	-0.004983	0.006682	TRUE	TRUE	TRUE	0.361151	0.191763	725.542431
chr8	32884489	32885047	Gm3985	0	0	0	0	0	0.106166	0.032975	2.497721	0.013202	0.002976	65258	promoter	0.106166	0.032975	FALSE	TRUE	TRUE	-0.036226	0.98749	6.457159
chr8	33078062	33078562	Gm3985	0	0	0	0	0	0.023944	0.007437	0.658125	0.0113	0.002795	128286	intergenic	0.023944	0.007437	FALSE	TRUE	TRUE	-0.036226	0.98749	6.457159
chr8	33385277	33385893	Gm3985	0	0	0	0	0	0.02536	0.007877	12.131431	0.00064899999999999995	0	435559	promoter	0.02536	0.007877	FALSE	FALSE	FALSE	-0.036226	0.98749	6.457159
chr8	33385277	33385893	Gtf2e2	0.032606	0.161528	11.655782	0.013858	0.003462	0.032285	0.129038	12.131431	0.010637	0.002606	346247	promoter	-3.21e-4	-0.03249	TRUE	TRUE	TRUE	0.108505	0.641327	223.705465
chr8	33385277	33385893	Nrg1	0.011471	0.00656	11.655782	5.63e-4	0	0.02636	0.026518	12.131431	0.002186	4.07e-4	500788	promoter	0.014889	0.019958	FALSE	TRUE	TRUE	0.361151	0.191763	725.542431
chr8	33385277	33385893	Ppp2cb	0.038309	0.141228	11.655782	0.012117	0.003081	0.051798	0.185027	12.131431	0.015252	0.003978	214039	promoter	0.013489	0.043799	TRUE	TRUE	TRUE	0.063353	0.756543	277.105179
chr8	33385277	33385893	Rbpms	0.034879	0.038174	11.655782	0.003275	6.83e-4	0.037024	0.047991	12.131431	0.003956	8.52e-4	544278	promoter	0.002145	0.009817	TRUE	TRUE	TRUE	-0.069831	0.82016	113.794578
chr8	33385277	33385893	Tex15	0.129293	0.13115	11.655782	0.011252	0.002786	0.106104	0.094126	12.131431	0.007759	0.001708	131152	promoter	-0.023189	-0.037024	TRUE	TRUE	TRUE	-0.16274	0.929216	5.117709
chr8	33385277	33385893	Ubxn8	0.028766	0.173032	11.655782	0.014845	0.003818	0.027965	0.165777	12.131431	0.013665	0.00349	256382	promoter	-8.01e-4	-0.007255	TRUE	TRUE	TRUE	0.087977	0.773064	99.824709
chr8	33385277	33385893	Unc5d	0.023852	0.018181	11.655782	0.00156	2.71e-4	0.015016	0.025486	12.131431	0.002101	3.68e-4	4165949	promoter	-0.008836	0.007305	TRUE	TRUE	TRUE	1.279547	0	773.636483
chr8	33386074	33386574	Tex15	0.035017	0.03552	3.155419	0.011257	0.002786	0.02794	0.024786	3.191208	0.007767	0.001708	130413	promoter	-0.007077	-0.010734	TRUE	TRUE	TRUE	-0.16274	0.929216	5.117709
chr8	33386074	33386574	Wrn	0.105088	0.443161	3.155419	0.140444	0.039528	0.110612	0.470886	3.191208	0.147557	0.043159	797	promoter	0.005524	0.027725	TRUE	TRUE	TRUE	-0.153564	0.524994	263.276977
chr8	33599308	33599874	Gm3985	0	0	0	0	0	0.039868	0.012383	4.111364	0.003012	6.22e-4	649565	promoter	0.039868	0.012383	FALSE	TRUE	TRUE	-0.036226	0.98749	6.457159
chr8	33599308	33599874	Tex15	0.056428	0.057238	3.805946	0.015039	0.003803	0.061705	0.054739	4.111364	0.013314	0.003232	82854	promoter	0.005277	-0.002499	TRUE	TRUE	TRUE	-0.16274	0.929216	5.117709
chr8	33599895	33600395	Gm3985	0	0	0	0	0	0.021068	0.006544	4.206729	0.001555	2.71e-4	650119	promoter	0.021068	0.006544	FALSE	TRUE	TRUE	-0.036226	0.98749	6.457159
chr8	33599895	33600395	Gtf2e2	0.014656	0.072604	3.76357	0.019291	0.005265	0.029764	0.118962	4.206729	0.028279	0.008036	131687	promoter	0.015108	0.046358	TRUE	TRUE	TRUE	0.108505	0.641327	223.705465
chr8	33599895	33600395	Purg	0.014287	0.060248	3.76357	0.016008	0.004194	0.021759	0.092626	4.206729	0.022019	0.005913	213821	promoter	0.007472	0.032378	TRUE	TRUE	TRUE	-0.097726	0.758966	2010.16392
chr8	33599895	33600395	Tex15	0.0226	0.022924	3.76357	0.006091	8.47e-4	0.038761	0.034385	4.206729	0.008174	0.001536	83408	promoter	0.016161	0.011461	TRUE	TRUE	TRUE	-0.16274	0.929216	5.117709
chr8	33599895	33600395	Ubxn8	0.024656	0.148308	3.76357	0.039406	0.011865	0.02489	0.147547	4.206729	0.035074	0.010271	41822	promoter	2.34e-4	-7.61e-4	TRUE	TRUE	TRUE	0.087977	0.773064	99.824709
chr8	33599895	33600395	Wrn	0.01429	0.06026	3.76357	0.016011	0.004194	0.021765	0.092655	4.206729	0.022025	0.005913	214618	promoter	0.007475	0.032395	TRUE	TRUE	TRUE	-0.153564	0.524994	263.276977
chr8	33641632	33642217	Gm3985	0	0	0	0	0	0.049734	0.015447	11.996662	0.001288	2.11e-4	691898.5	promoter	0.049734	0.015447	FALSE	TRUE	TRUE	-0.036226	0.98749	6.457159
chr8	33641632	33642217	Gtf2e2	0.053652	0.26579	9.866318	0.026939	0.007739	0.078363	0.313208	11.996662	0.026108	0.007467	89907.5	promoter	0.024711	0.047418	TRUE	TRUE	TRUE	0.108505	0.641327	223.705465
chr8	33641632	33642217	Ppp2cb	0.081337	0.299856	9.866318	0.030392	0.008564	0.089618	0.320122	11.996662	0.026684	0.007202	42300.5	promoter	0.008281	0.020266	TRUE	TRUE	TRUE	0.063353	0.756543	277.105179
chr8	33641632	33642217	Purg	0.034726	0.146438	9.866318	0.014842	0.003818	0.038503	0.163906	11.996662	0.013663	0.00349	255600.5	promoter	0.003777	0.017468	TRUE	TRUE	TRUE	-0.097726	0.758966	2010.16392
chr8	33641632	33642217	Rbpms	0.027507	0.030105	9.866318	0.003051	5.63e-4	0.022638	0.029343	11.996662	0.002446	3.97e-4	287938.5	promoter	-0.004869	-7.62e-4	TRUE	TRUE	TRUE	-0.069831	0.82016	113.794578
chr8	33641632	33642217	Tex15	0.060959	0.061834	9.866318	0.006267	0.001224	0.083513	0.074085	11.996662	0.006175	0.001195	125187.5	promoter	0.022554	0.012251	TRUE	TRUE	TRUE	-0.16274	0.929216	5.117709
chr8	33641632	33642217	Wrn	0.034732	0.14646700000000001	9.866318	0.014845	0.003818	0.038509	0.163936	11.996662	0.013665	0.00349	256397.5	promoter	0.003777	0.017469	TRUE	TRUE	TRUE	-0.153564	0.524994	263.276977
chr8	33653129	33653629	Gtf2e2	0.051251	0.253892	8.495516	0.029885	0.008724	0.054904	0.219446	7.726501	0.028402	0.008228	78453	genic	0.003653	-0.034446	TRUE	TRUE	TRUE	0.108505	0.641327	223.705465
chr8	33653129	33653629	Ppp2cb	0.052789	0.194611	8.495516	0.022907	0.006149	0.05506	0.196679	7.726501	0.025455	0.007051	53755	genic	0.002271	0.002068	TRUE	TRUE	TRUE	0.063353	0.756543	277.105179
chr8	33653129	33653629	Purg	0.027674	0.1167	8.495516	0.013737	0.003501	0.026625	0.113342	7.726501	0.014669	0.003758	267055	genic	-0.001049	-0.003358	TRUE	TRUE	TRUE	-0.097726	0.758966	2010.16392
chr8	33653129	33653629	Tex15	0.022458	0.02278	8.495516	0.002681	1.69e-4	0.036827	0.032669	7.726501	0.004228	6.44e-4	136642	genic	0.014369	0.009889	TRUE	TRUE	TRUE	-0.16274	0.929216	5.117709
chr8	33653129	33653629	Ubxn8	0.120513	0.724894	8.495516	0.085327	0.026188	0.120296	0.713115	7.726501	0.092295	0.02932	11412	genic	-2.17e-4	-0.011779	TRUE	TRUE	TRUE	0.087977	0.773064	99.824709
chr8	33653129	33653629	Wrn	0.027679	0.116722	8.495516	0.013739	0.003501	0.026629	0.113365	7.726501	0.014672	0.003758	267852	genic	-0.00105	-0.003357	TRUE	TRUE	TRUE	-0.153564	0.524994	263.276977
chr8	33653696	33654196	Gtf2e2	0.021019	0.104125	3.48428	0.029884	0.008724	0.022943	0.0917	3.228622	0.028402	0.008228	77886	genic	0.001924	-0.012425	TRUE	TRUE	TRUE	0.108505	0.641327	223.705465
chr8	33653696	33654196	Ppp2cb	0.021621	0.079708	3.48428	0.022876	0.006149	0.022983	0.082098	3.228622	0.025428	0.007051	54322	genic	0.001362	0.00239	TRUE	TRUE	TRUE	0.063353	0.756543	277.105179
chr8	33653696	33654196	Ubxn8	0.04892	0.294257	3.48428	0.084453	0.026188	0.04982	0.295332	3.228622	0.091473	0.02932	11979	genic	9e-4	0.001075	TRUE	TRUE	TRUE	0.087977	0.773064	99.824709
chr8	33660363	33660863	Ubxn8	0.027008	0.162453	2.828201	0.05744	0.017115	0.015207	0.090148	1.888798	0.047728	0.013068	18646	genic	-0.011801	-0.072305	TRUE	TRUE	TRUE	0.087977	0.773064	99.824709
chr8	33662594	33663094	Dlc1	0.001573	0.001394	17.039811	8.2e-5	0	0.020259	0.018544	12.349368	0.001502	2.66e-4	3290299	genic	0.018686	0.01715	FALSE	TRUE	TRUE	0.045566	0.839942	1596.841816
chr8	33662594	33663094	Gtf2e2	0.091929	0.455413	17.039811	0.026726	0.007642	0.052726	0.21074	12.349368	0.017065	0.004352	68988	genic	-0.039203	-0.244673	TRUE	TRUE	TRUE	0.108505	0.641327	223.705465
chr8	33662594	33663094	Ppp2cb	0.120101	0.442761	17.039811	0.025984	0.007351	0.060549	0.216284	12.349368	0.017514	0.004428	63220	genic	-0.059552	-0.226477	TRUE	TRUE	TRUE	0.063353	0.756543	277.105179
chr8	33662594	33663094	Purg	0.036217	0.152726	17.039811	0.008963	0.00218	0.046949	0.199859	12.349368	0.016184	0.004165	276520	genic	0.010732	0.047133	TRUE	TRUE	TRUE	-0.097726	0.758966	2010.16392
chr8	33662594	33663094	Rbpms	0.060405	0.066111	17.039811	0.00388	7.76e-4	0.026549	0.034414	12.349368	0.002787	4.74e-4	267019	genic	-0.033856	-0.031697	TRUE	TRUE	TRUE	-0.069831	0.82016	113.794578
chr8	33662594	33663094	Tex15	0.080131	0.081282	17.039811	0.00477	8.44e-4	0.071303	0.063253	12.349368	0.005122	9.51e-4	146107	genic	-0.008828	-0.018029	TRUE	TRUE	TRUE	-0.16274	0.929216	5.117709
chr8	33662594	33663094	Ubxn8	0.159697	0.96059	17.039811	0.056373	0.017115	0.096849	0.574119	12.349368	0.04649	0.013068	20877	genic	-0.062848	-0.386471	TRUE	TRUE	TRUE	0.087977	0.773064	99.824709
chr8	33662594	33663094	Wrn	0.036218	0.152734	17.039811	0.008963	0.00218	0.046958	0.199904	12.349368	0.016187	0.004165	277317	genic	0.01074	0.04717	TRUE	TRUE	TRUE	-0.153564	0.524994	263.276977
chr8	33731569	33732217	Gm3985	0	0	0	0	0	0.031681	0.00984	6.963219	0.001413	2.47e-4	781867	promoter	0.031681	0.00984	FALSE	TRUE	TRUE	-0.036226	0.98749	6.457159
chr8	33731569	33732217	Nrg1	0.029933	0.017118	8.180863	0.002092	4.08e-4	0.002274	0.002287	6.963219	3.29e-4	0	847096	promoter	-0.027659	-0.014831	TRUE	FALSE	TRUE	0.361151	0.191763	725.542431
chr8	33731569	33732217	Ppp2cb	0.042074	0.155108	8.180863	0.01896	0.005163	0.035085	0.125326	6.963219	0.017998	0.004866	132269	promoter	-0.006989	-0.029782	TRUE	TRUE	TRUE	0.063353	0.756543	277.105179
chr8	33731569	33732217	Purg	0.02688	0.113353	8.180863	0.013856	0.003462	0.017397	0.074056	6.963219	0.010635	0.002606	345569	promoter	-0.009483	-0.039297	TRUE	TRUE	TRUE	-0.097726	0.758966	2010.16392
chr8	33731569	33732217	Rbpms	0.047263	0.051728	8.180863	0.006323	0.001409	0.033776	0.043781	6.963219	0.006287	0.001399	197970	promoter	-0.013487	-0.007947	TRUE	TRUE	TRUE	-0.069831	0.82016	113.794578
