loop_key	loop_chr1	loop_start1	loop_end1	loop_chr2	loop_start2	loop_end2	loop_logFC	loop_FDR	loop_direction	enh_chr	enh_start	enh_end	target_gene	tss_chr	tss_start	tss_end	abc_score_wt	abc_score_ko	delta_ABC	delta_unnorm	distance	match_case	loop_id	loop_type	category	diff_significant	is_differential
chr10_105570000_105580000_chr10_105840000_105850000	chr10	105570000	105580000	chr10	105840000	105850000	-0.226783047201457	0.194203913367849	unchanged	chr10	105573702	105574855	Ccdc59	chr10	105840816	105841316	0.034523	0.023425	-0.011098	-0.062996	266787.5	A				FALSE	FALSE
chr10_105570000_105580000_chr10_105840000_105850000	chr10	105570000	105580000	chr10	105840000	105850000	-0.226783047201457	0.194203913367849	unchanged	chr10	105578188	105578688	Ccdc59	chr10	105840816	105841316	0.024504	0.008078	-0.016426	-0.082927	262628	A				FALSE	FALSE
chr10_105570000_105580000_chr10_105840000_105850000	chr10	105570000	105580000	chr10	105840000	105850000	-0.226783047201457	0.194203913367849	unchanged	chr10	105573702	105574855	Mettl25	chr10	105841130	105841630	0.034499	0.023406	-0.011093	-0.063006	267101.5	A				FALSE	FALSE
chr10_105570000_105580000_chr10_105840000_105850000	chr10	105570000	105580000	chr10	105840000	105850000	-0.226783047201457	0.194203913367849	unchanged	chr10	105578188	105578688	Mettl25	chr10	105841130	105841630	0.024487	0.008072	-0.016415	-0.082925	262942	A				FALSE	FALSE
chr10_105825000_105850000_chr10_106450000_106475000	chr10	105825000	105850000	chr10	106450000	106475000	0.109430068984014	0.0930220838102592	unchanged	chr10	105840816	105841642	Ppfia2	chr10	106470088	106470588	0.050617	0.076217	0.0256	0.130349	629109	A				FALSE	FALSE
chr10_105825000_105850000_chr10_106450000_106475000	chr10	105825000	105850000	chr10	106450000	106475000	0.109430068984014	0.0930220838102592	unchanged	chr10	106469110	106469610	Ccdc59	chr10	105840816	105841316	0.058785	0.062301	0.003516	-0.007086	628294	B				FALSE	FALSE
chr10_105825000_105850000_chr10_106450000_106475000	chr10	105825000	105850000	chr10	106450000	106475000	0.109430068984014	0.0930220838102592	unchanged	chr10	106470016	106470588	Ccdc59	chr10	105840816	105841316	0.028801	0.054188	0.025387	0.102304	629236	B				FALSE	FALSE
chr10_105825000_105850000_chr10_106450000_106475000	chr10	105825000	105850000	chr10	106450000	106475000	0.109430068984014	0.0930220838102592	unchanged	chr10	106469110	106469610	Mettl25	chr10	105841130	105841630	0.058743	0.062256	0.003513	-0.007085	627980	B				FALSE	FALSE
chr10_105825000_105850000_chr10_106450000_106475000	chr10	105825000	105850000	chr10	106450000	106475000	0.109430068984014	0.0930220838102592	unchanged	chr10	106470016	106470588	Mettl25	chr10	105841130	105841630	0.028781	0.054149	0.025368	0.102297	628922	B				FALSE	FALSE
chr10_105825000_105850000_chr10_108150000_108175000	chr10	105825000	105850000	chr10	108150000	108175000	0.0597506793020857	0.652094220517578	unchanged	chr10	108161701	108162442	Ccdc59	chr10	105840816	105841316	0.028876	0.019432	-0.009444	-0.053414	2321005.5	B				FALSE	FALSE
chr10_105825000_105850000_chr10_108150000_108175000	chr10	105825000	105850000	chr10	108150000	108175000	0.0597506793020857	0.652094220517578	unchanged	chr10	108161701	108162442	Mettl25	chr10	105841130	105841630	0.028857	0.019419	-0.009438	-0.053412	2320691.5	B				FALSE	FALSE
chr10_10710000_10715000_chr10_11080000_11085000	chr10	10710000	10715000	chr10	11080000	11085000	0.15979901946114	0.301712848061687	unchanged	chr10	10710792	10711292	Grm1	chr10	11082106	11082606	0.080814	0.059068	-0.021746	-0.235074	371314	A				FALSE	FALSE
chr10_107250000_107275000_chr10_107375000_107400000	chr10	107250000	107275000	chr10	107375000	107400000	-0.030786776980332	0.667372851062524	unchanged	chr10	107389433	107389933	Lin7a	chr10	107271435	107271935	0.113004	0.119542	0.006538	0.055923	117998	B				FALSE	FALSE
chr10_107270000_107280000_chr10_107350000_107360000	chr10	107270000	107280000	chr10	107350000	107360000	-0.0370157003962596	0.652318677531327	unchanged	chr10	107358434	107358934	Lin7a	chr10	107271435	107271935	0.067864	0.077895	0.010031	0.093152	86999	B				FALSE	FALSE
chr10_10845000_10850000_chr10_11080000_11085000	chr10	10845000	10850000	chr10	11080000	11085000	-0.0707465242831731	0.694605172807005	unchanged	chr10	10847283	10847783	Grm1	chr10	11082106	11082606	0.034881	0.030652	-0.004229	-0.062947	234823	A				FALSE	FALSE
chr10_10845000_10850000_chr10_11080000_11085000	chr10	10845000	10850000	chr10	11080000	11085000	-0.0707465242831731	0.694605172807005	unchanged	chr10	10847883	10848383	Grm1	chr10	11082106	11082606	0.042269	0.038921	-0.003348	-0.063003	234223	A				FALSE	FALSE
chr10_109000000_109025000_chr10_109650000_109675000	chr10	109000000	109025000	chr10	109650000	109675000	-0.0909214061297467	0.180374426478298	unchanged	chr10	109672940	109673440	Syt1	chr10	109010732	109011232	0.02515	0.013376	-0.011774	-0.180319	662208	B				FALSE	FALSE
chr10_109010000_109020000_chr10_109680000_109690000	chr10	109010000	109020000	chr10	109680000	109690000	-0.304971175567785	0.0201687014333943	down_in_mutant	chr10	109684121	109685092	Syt1	chr10	109010732	109011232	0.035027	0.029937	-0.00509	-0.214077	673624.5	B	loop_1219	Active_Promoter-Active_Enhancer	weak_differential	TRUE	TRUE
chr10_110190000_110200000_chr10_110450000_110460000	chr10	110190000	110200000	chr10	110450000	110460000	-0.0004906549699354	0.9969289942706	unchanged	chr10	110192157	110192657	Nav3	chr10	110455954	110456454	0.063308	0.062028	-0.00128	-0.053889	263797	A				FALSE	FALSE
chr10_110190000_110200000_chr10_110740000_110750000	chr10	110190000	110200000	chr10	110740000	110750000	-0.0412397091704585	0.774681840462136	unchanged	chr10	110192157	110192657	E2f7	chr10	110745188	110745688	0.024657	0.03203	0.007373	0.015766	553031	A				FALSE	FALSE
chr10_110450000_110460000_chr10_110740000_110750000	chr10	110450000	110460000	chr10	110740000	110750000	0.0896465232655462	0.433834406806641	unchanged	chr10	110455178	110455678	E2f7	chr10	110745188	110745688	0.022743	0.021269	-0.001474	-0.013869	290010	A				FALSE	FALSE
chr10_110450000_110460000_chr10_110740000_110750000	chr10	110450000	110460000	chr10	110740000	110750000	0.0896465232655462	0.433834406806641	unchanged	chr10	110455817	110456454	E2f7	chr10	110745188	110745688	0.018606	0.020865	0.002259	0.00055	289302.5	A				FALSE	FALSE
chr10_110450000_110460000_chr10_110740000_110750000	chr10	110450000	110460000	chr10	110740000	110750000	0.0896465232655462	0.433834406806641	unchanged	chr10	110744767	110745696	Nav3	chr10	110455954	110456454	0.030383	0.035132	0.004749	-0.00991	289027.5	B				FALSE	FALSE
chr10_110450000_110475000_chr10_110725000_110750000	chr10	110450000	110475000	chr10	110725000	110750000	0.12481753518929	0.0447467477846734	up_in_mutant	chr10	110455178	110455678	E2f7	chr10	110745188	110745688	0.022743	0.021269	-0.001474	-0.013869	290010	A				TRUE	FALSE
chr10_110450000_110475000_chr10_110725000_110750000	chr10	110450000	110475000	chr10	110725000	110750000	0.12481753518929	0.0447467477846734	up_in_mutant	chr10	110455817	110456454	E2f7	chr10	110745188	110745688	0.018606	0.020865	0.002259	0.00055	289302.5	A				TRUE	FALSE
chr10_110450000_110475000_chr10_110725000_110750000	chr10	110450000	110475000	chr10	110725000	110750000	0.12481753518929	0.0447467477846734	up_in_mutant	chr10	110744767	110745696	Nav3	chr10	110455954	110456454	0.030383	0.035132	0.004749	-0.00991	289027.5	B				TRUE	FALSE
chr10_11080000_11090000_chr10_11140000_11150000	chr10	11080000	11090000	chr10	11140000	11150000	-0.0718805130180683	0.403294093746906	unchanged	chr10	11080021	11080521	Shprh	chr10	11149176	11149676	0.035487	0.041173	0.005686	-0.006905	69155	A				FALSE	FALSE
chr10_11080000_11090000_chr10_11140000_11150000	chr10	11080000	11090000	chr10	11140000	11150000	-0.0718805130180683	0.403294093746906	unchanged	chr10	11081980	11082606	Shprh	chr10	11149176	11149676	0.059714	0.052679	-0.007035	-0.103059	67133	A				FALSE	FALSE
chr10_11080000_11090000_chr10_11140000_11150000	chr10	11080000	11090000	chr10	11140000	11150000	-0.0718805130180683	0.403294093746906	unchanged	chr10	11149176	11149793	Grm1	chr10	11082106	11082606	0.068067	0.059946	-0.008121	-0.121847	67128.5	B				FALSE	FALSE
chr10_111150000_111175000_chr10_111275000_111300000	chr10	111150000	111175000	chr10	111275000	111300000	0.0452729684348578	0.467489553497215	unchanged	chr10	111164340	111165387	Bbs10	chr10	111298428	111298928	0.055956	0.052843	-0.003113	0.012818	133814.5	A				FALSE	FALSE
chr10_111150000_111175000_chr10_111275000_111300000	chr10	111150000	111175000	chr10	111275000	111300000	0.0452729684348578	0.467489553497215	unchanged	chr10	111298413	111298928	Osbpl8	chr10	111164501	111165001	0.055231	0.089967	0.034736	0.158078	133919.5	B				FALSE	FALSE
chr10_111275000_111300000_chr10_111950000_111975000	chr10	111275000	111300000	chr10	111950000	111975000	-0.0739880227961605	0.249501203835608	unchanged	chr10	111298413	111298928	Krr1	chr10	111972413	111972913	0.096886	0.109593	0.012707	0.036359	673992.5	A				FALSE	FALSE
chr10_111275000_111300000_chr10_111950000_111975000	chr10	111275000	111300000	chr10	111950000	111975000	-0.0739880227961605	0.249501203835608	unchanged	chr10	111972413	111973013	Bbs10	chr10	111298428	111298928	0.022473	0.022007	-0.000466	0.010067	674035	B				FALSE	FALSE
chr10_111290000_111300000_chr10_111470000_111480000	chr10	111290000	111300000	chr10	111470000	111480000	0.111287265117225	0.247753953394996	unchanged	chr10	111298413	111298928	Nap1l1	chr10	111472972	111473472	0.095508	0.165017	0.069509	0.321862	174551.5	A				FALSE	FALSE
chr10_111290000_111300000_chr10_111470000_111480000	chr10	111290000	111300000	chr10	111470000	111480000	0.111287265117225	0.247753953394996	unchanged	chr10	111472878	111473472	Bbs10	chr10	111298428	111298928	0.082053	0.094339	0.012286	0.124413	174497	B				FALSE	FALSE
chr10_111290000_111300000_chr10_111970000_111980000	chr10	111290000	111300000	chr10	111970000	111980000	-0.157468079469827	0.158717414333882	unchanged	chr10	111298413	111298928	Krr1	chr10	111972413	111972913	0.096886	0.109593	0.012707	0.036359	673992.5	A				FALSE	FALSE
chr10_111290000_111300000_chr10_111970000_111980000	chr10	111290000	111300000	chr10	111970000	111980000	-0.157468079469827	0.158717414333882	unchanged	chr10	111972413	111973013	Bbs10	chr10	111298428	111298928	0.022473	0.022007	-0.000466	0.010067	674035	B				FALSE	FALSE
chr10_111500000_111510000_chr10_111560000_111570000	chr10	111500000	111510000	chr10	111560000	111570000	-0.154995050582151	0.0365326086862392	down_in_mutant	chr10	111566843	111567343	Gm28592	chr10	111507412	111507912	0.047929	0.041051	-0.006878	-0.083611	59431	B				TRUE	FALSE
chr10_111500000_111510000_chr10_111560000_111570000	chr10	111500000	111510000	chr10	111560000	111570000	-0.154995050582151	0.0365326086862392	down_in_mutant	chr10	111566843	111567343	Phlda1	chr10	111506035	111506535	0.048096	0.041096	-0.007	-0.083608	60808	B				TRUE	FALSE
chr10_111500000_111525000_chr10_111950000_111975000	chr10	111500000	111525000	chr10	111950000	111975000	-0.071651019689465	0.189225640468397	unchanged	chr10	111506013	111506884	Krr1	chr10	111972413	111972913	0.055026	0.035477	-0.019549	-0.075728	466214.5	A				FALSE	FALSE
chr10_111500000_111525000_chr10_111950000_111975000	chr10	111500000	111525000	chr10	111950000	111975000	-0.071651019689465	0.189225640468397	unchanged	chr10	111507383	111507912	Krr1	chr10	111972413	111972913	0.020358	0.010106	-0.010252	-0.038888	465015.5	A				FALSE	FALSE
chr10_111500000_111525000_chr10_111950000_111975000	chr10	111500000	111525000	chr10	111950000	111975000	-0.071651019689465	0.189225640468397	unchanged	chr10	111519547	111520431	Krr1	chr10	111972413	111972913	0.031567	0.014367	-0.0172	-0.064992	452674	A				FALSE	FALSE
chr10_111500000_111525000_chr10_111950000_111975000	chr10	111500000	111525000	chr10	111950000	111975000	-0.071651019689465	0.189225640468397	unchanged	chr10	111972413	111973013	Gm28592	chr10	111507412	111507912	0.032651	0.034499	0.001848	-0.030464	465051	B				FALSE	FALSE
chr10_111500000_111525000_chr10_111950000_111975000	chr10	111500000	111525000	chr10	111950000	111975000	-0.071651019689465	0.189225640468397	unchanged	chr10	111972413	111973013	Phlda1	chr10	111506035	111506535	0.032801	0.034585	0.001784	-0.030482	466428	B				FALSE	FALSE
chr10_11280000_11285000_chr10_11340000_11345000	chr10	11280000	11285000	chr10	11340000	11345000	0.0418993613942432	0.784281106226923	unchanged	chr10	11280767	11281579	Epm2a	chr10	11343153	11343653	0.121159	0.138744	0.017585	0.136524	62230	A				FALSE	FALSE
chr10_11280000_11285000_chr10_11340000_11345000	chr10	11280000	11285000	chr10	11340000	11345000	0.0418993613942432	0.784281106226923	unchanged	chr10	11343153	11344233	Fbxo30	chr10	11281079	11281579	0.092681	0.11794	0.025259	0.12364	62364	B				FALSE	FALSE
chr10_114800000_114810000_chr10_114890000_114900000	chr10	114800000	114810000	chr10	114890000	114900000	-0.144591919572262	0.0557430121208197	unchanged	chr10	114890769	114891269	Trhde	chr10	114802057	114802557	0.099372	0.094806	-0.004566	-0.195897	88712	B				FALSE	FALSE
chr10_114800000_114810000_chr10_114890000_114900000	chr10	114800000	114810000	chr10	114890000	114900000	-0.144591919572262	0.0557430121208197	unchanged	chr10	114891864	114892364	Trhde	chr10	114802057	114802557	0.030216	0.017199	-0.013017	-0.137582	89807	B				FALSE	FALSE
chr10_114800000_114810000_chr10_115010000_115020000	chr10	114800000	114810000	chr10	115010000	115020000	-0.0880023034729208	0.295040912652301	unchanged	chr10	115013120	115013620	Trhde	chr10	114802057	114802557	0.159287	0.095306	-0.063981	-0.694182	211063	B				FALSE	FALSE
chr10_114800000_114810000_chr10_115010000_115020000	chr10	114800000	114810000	chr10	115010000	115020000	-0.0880023034729208	0.295040912652301	unchanged	chr10	115019322	115019822	Trhde	chr10	114802057	114802557	0.154414	0.134934	-0.01948	-0.387496	217265	B				FALSE	FALSE
chr10_115310000_115320000_chr10_115380000_115390000	chr10	115310000	115320000	chr10	115380000	115390000	-0.0243156156034443	0.810666979731809	unchanged	chr10	115315344	115315930	Thap2	chr10	115384193	115384693	0.01986	0.024545	0.004685	0.064743	68806	A				FALSE	FALSE
chr10_115310000_115320000_chr10_115380000_115390000	chr10	115310000	115320000	chr10	115380000	115390000	-0.0243156156034443	0.810666979731809	unchanged	chr10	115315344	115315930	Zfc3h1	chr10	115384708	115385208	0.019859	0.024546	0.004687	0.064758	69321	A				FALSE	FALSE
chr10_115310000_115320000_chr10_115380000_115390000	chr10	115310000	115320000	chr10	115380000	115390000	-0.0243156156034443	0.810666979731809	unchanged	chr10	115384193	115385208	Rab21	chr10	115315344	115315844	0.204047	0.223889	0.019842	0.200943	69106.5	B				FALSE	FALSE
chr10_115315000_115320000_chr10_115360000_115365000	chr10	115315000	115320000	chr10	115360000	115365000	0.0326969812905133	0.839798228210206	unchanged	chr10	115315344	115315930	Tmem19	chr10	115362251	115362751	0.030833	0.042123	0.01129	0.082088	46864	A				FALSE	FALSE
chr10_115315000_115320000_chr10_115360000_115365000	chr10	115315000	115320000	chr10	115360000	115365000	0.0326969812905133	0.839798228210206	unchanged	chr10	115362143	115362751	Rab21	chr10	115315344	115315844	0.079986	0.079254	-0.000732	0.032179	46853	B				FALSE	FALSE
chr10_116000000_116025000_chr10_116175000_116200000	chr10	116000000	116025000	chr10	116175000	116200000	-0.0713644173886303	0.230026178812236	unchanged	chr10	116197049	116197549	Ptprr	chr10	116017962	116018462	0.027116	0.022909	-0.004207	-0.038116	179087	B				FALSE	FALSE
chr10_116000000_116025000_chr10_116875000_116900000	chr10	116000000	116025000	chr10	116875000	116900000	-0.0374213865351733	0.729147262554668	unchanged	chr10	116017962	116018611	Myrfl	chr10	116896669	116897169	0.029718	0	-0.029718	-0.149096	878632.5	A				FALSE	FALSE
chr10_116010000_116020000_chr10_116190000_116200000	chr10	116010000	116020000	chr10	116190000	116200000	-0.0998145527632072	0.293220881889037	unchanged	chr10	116197049	116197549	Ptprr	chr10	116017962	116018462	0.027116	0.022909	-0.004207	-0.038116	179087	B				FALSE	FALSE
chr10_116360000_116365000_chr10_116470000_116475000	chr10	116360000	116365000	chr10	116470000	116475000	-0.264315640260102	0.0341712315460732	down_in_mutant	chr10	116362022	116362522	Kcnmb4	chr10	116473628	116474128	0.121243	0.070089	-0.051154	-0.46837	111606	A				TRUE	FALSE
chr10_116470000_116475000_chr10_116645000_116650000	chr10	116470000	116475000	chr10	116645000	116650000	0.137641855079874	0.423651948501303	unchanged	chr10	116645407	116645907	Kcnmb4	chr10	116473628	116474128	0.038299	0.057364	0.019065	0.080095	171779	B				FALSE	FALSE
chr10_116470000_116480000_chr10_116890000_116900000	chr10	116470000	116480000	chr10	116890000	116900000	0.0843964295671155	0.437253355884861	unchanged	chr10	116473628	116474472	Myrfl	chr10	116896669	116897169	0.022907	0	-0.022907	-0.114927	422869	A				FALSE	FALSE
chr10_116950000_116975000_chr10_117200000_117225000	chr10	116950000	116975000	chr10	117200000	117225000	0.0411170911470816	0.531745660310124	unchanged	chr10	117224112	117224757	D630029K05Rik	chr10	116964456	116964956	0.024527	0.03694	0.012413	0.032585	259728.5	B				FALSE	FALSE
chr10_116950000_116975000_chr10_117200000_117225000	chr10	116950000	116975000	chr10	117200000	117225000	0.0411170911470816	0.531745660310124	unchanged	chr10	117224112	117224757	Gm10271	chr10	116972359	116972859	0.034109	0	-0.034109	-0.057883	251825.5	B				FALSE	FALSE
chr10_116950000_116975000_chr10_117200000_117225000	chr10	116950000	116975000	chr10	117200000	117225000	0.0411170911470816	0.531745660310124	unchanged	chr10	117224112	117224757	Rab3ip	chr10	116950519	116951019	0.036362	0.042869	0.006507	0.022701	273665.5	B				FALSE	FALSE
chr10_117060000_117070000_chr10_117140000_117150000	chr10	117060000	117070000	chr10	117140000	117150000	-0.0874299438591033	0.353274946990827	unchanged	chr10	117063371	117064064	Frs2	chr10	117148284	117148784	0.047661	0.051521	0.00386	0.001146	84816.5	A				FALSE	FALSE
chr10_117060000_117070000_chr10_117140000_117150000	chr10	117060000	117070000	chr10	117140000	117150000	-0.0874299438591033	0.353274946990827	unchanged	chr10	117148284	117148814	Cct2	chr10	117063564	117064064	0.043009	0.030057	-0.012952	-0.036475	84735	B				FALSE	FALSE
chr10_117060000_117070000_chr10_117370000_117380000	chr10	117060000	117070000	chr10	117370000	117380000	-0.161606335591954	0.281196946315059	unchanged	chr10	117376092	117377086	Cct2	chr10	117063564	117064064	0.030187	0.020933	-0.009254	-0.026224	312775	B				FALSE	FALSE
chr10_117140000_117150000_chr10_117220000_117230000	chr10	117140000	117150000	chr10	117220000	117230000	-0.0605362656268248	0.51711417966223	unchanged	chr10	117148284	117148814	Yeats4	chr10	117224257	117224757	0.029959	0.01896	-0.010999	-0.043431	75958	A				FALSE	FALSE
chr10_117140000_117150000_chr10_117220000_117230000	chr10	117140000	117150000	chr10	117220000	117230000	-0.0605362656268248	0.51711417966223	unchanged	chr10	117224112	117224757	Frs2	chr10	117148284	117148784	0.069725	0.070549	0.000824	-0.013006	75900.5	B				FALSE	FALSE
chr10_117220000_117230000_chr10_117370000_117380000	chr10	117220000	117230000	chr10	117370000	117380000	0.0121006722715293	0.933785096298508	unchanged	chr10	117376092	117377086	Yeats4	chr10	117224257	117224757	0.026893	0.033466	0.006573	0.031961	152082	B				FALSE	FALSE
chr10_117790000_117800000_chr10_117840000_117850000	chr10	117790000	117800000	chr10	117840000	117850000	0.0199447473077587	0.808918495713437	unchanged	chr10	117792455	117793055	Rap1b	chr10	117845785	117846285	0.092066	0.078077	-0.013989	-0.028134	53280	A				FALSE	FALSE
chr10_117790000_117800000_chr10_117840000_117850000	chr10	117790000	117800000	chr10	117840000	117850000	0.0199447473077587	0.808918495713437	unchanged	chr10	117845785	117846520	Nup107	chr10	117792455	117792955	0.048146	0.039006	-0.00914	-0.018911	53447.5	B				FALSE	FALSE
chr10_117790000_117800000_chr10_118140000_118150000	chr10	117790000	117800000	chr10	118140000	118150000	-0.0286482950164679	0.846069924552289	unchanged	chr10	117792455	117793055	Mdm1	chr10	118141560	118142060	0.051281	0.048999	-0.002282	0.019605	349055	A				FALSE	FALSE
chr10_117790000_117800000_chr10_118140000_118150000	chr10	117790000	117800000	chr10	118140000	118150000	-0.0286482950164679	0.846069924552289	unchanged	chr10	118141534	118142060	Nup107	chr10	117792455	117792955	0.040209	0.045782	0.005573	0.033206	349092	B				FALSE	FALSE
chr10_117825000_117850000_chr10_118125000_118150000	chr10	117825000	117850000	chr10	118125000	118150000	0.0693423922324856	0.277971375556803	unchanged	chr10	117845785	117846520	Mdm1	chr10	118141560	118142060	0.036636	0.022609	-0.014027	-0.026278	295657.5	A				FALSE	FALSE
chr10_117825000_117850000_chr10_118125000_118150000	chr10	117825000	117850000	chr10	118125000	118150000	0.0693423922324856	0.277971375556803	unchanged	chr10	118141534	118142060	Rap1b	chr10	117845785	117846285	0.054919	0.042272	-0.012647	-0.030332	295762	B				FALSE	FALSE
chr10_117825000_117850000_chr10_119225000_119250000	chr10	117825000	117850000	chr10	119225000	119250000	0.125973010099715	0.27599450971841	unchanged	chr10	119239805	119240465	Rap1b	chr10	117845785	117846285	0.038438	0.039458	0.00102	0.009857	1394100	B				FALSE	FALSE
chr10_117840000_117850000_chr10_118140000_118150000	chr10	117840000	117850000	chr10	118140000	118150000	-0.0541402202485049	0.670233953899099	unchanged	chr10	117845785	117846520	Mdm1	chr10	118141560	118142060	0.036636	0.022609	-0.014027	-0.026278	295657.5	A				FALSE	FALSE
chr10_117840000_117850000_chr10_118140000_118150000	chr10	117840000	117850000	chr10	118140000	118150000	-0.0541402202485049	0.670233953899099	unchanged	chr10	118141534	118142060	Rap1b	chr10	117845785	117846285	0.054919	0.042272	-0.012647	-0.030332	295762	B				FALSE	FALSE
chr10_11825000_11850000_chr10_12600000_12625000	chr10	11825000	11850000	chr10	12600000	12625000	0.381283509487173	0.0013710826767742	up_in_mutant	chr10	12612396	12612896	Gm48697	chr10	11841681	11842181	0.015282	0.032677	0.017395	0.022971	770715	B	loop_16577	Active_Enhancer-Poised_Enhancer	weak_differential	TRUE	TRUE
chr10_11825000_11850000_chr10_12600000_12625000	chr10	11825000	11850000	chr10	12600000	12625000	0.381283509487173	0.0013710826767742	up_in_mutant	chr10	12614699	12615199	Gm48697	chr10	11841681	11842181	0.01889	0.044936	0.026046	0.033462	773018	B	loop_16577	Active_Enhancer-Poised_Enhancer	weak_differential	TRUE	TRUE
chr10_118850000_118875000_chr10_119225000_119250000	chr10	118850000	118875000	chr10	119225000	119250000	-0.0333837388043017	0.74338637840515	unchanged	chr10	119239805	119240465	Dyrk2	chr10	118869959	118870459	0.081737	0.063873	-0.017864	-0.031034	369926	B				FALSE	FALSE
chr10_120930000_120940000_chr10_121030000_121040000	chr10	120930000	120940000	chr10	121030000	121040000	0.0837272143635957	0.346738720360968	unchanged	chr10	120938250	120938750	Wif1	chr10	121033709	121034209	0.031385	0.033285	0.0019	0.016632	95459	A				FALSE	FALSE
chr10_120975000_120980000_chr10_121030000_121035000	chr10	120975000	120980000	chr10	121030000	121035000	0.327452158113513	0.0135860780220991	up_in_mutant	chr10	120979082	120979781	Wif1	chr10	121033709	121034209	0.221423	0.277742	0.056319	0.197243	54527.5	A	loop_5204	Active_Promoter-Repressed_Promoter	weak_differential	TRUE	TRUE
chr10_121460000_121465000_chr10_121505000_121510000	chr10	121460000	121465000	chr10	121505000	121510000	-0.0733480382664159	0.605887664526443	unchanged	chr10	121461373	121461873	Gm35696	chr10	121506372	121506872	0.038987	0.063307	0.02432	0.067706	44999	A				FALSE	FALSE
chr10_121460000_121465000_chr10_121505000_121510000	chr10	121460000	121465000	chr10	121505000	121510000	-0.0733480382664159	0.605887664526443	unchanged	chr10	121461373	121461873	Gm46204	chr10	121505100	121505600	0.03929	0.063635	0.024345	0.067703	43727	A				FALSE	FALSE
chr10_121585000_121590000_chr10_121625000_121630000	chr10	121585000	121590000	chr10	121625000	121630000	-0.0689027654790623	0.613867399950486	unchanged	chr10	121586537	121587173	Xpot	chr10	121626082	121626582	0.069191	0.059388	-0.009803	-0.021675	39477	A				FALSE	FALSE
chr10_121585000_121590000_chr10_121625000_121630000	chr10	121585000	121590000	chr10	121625000	121630000	-0.0689027654790623	0.613867399950486	unchanged	chr10	121626082	121626589	Tbk1	chr10	121586537	121587037	0.159894	0.116036	-0.043858	-0.126967	39548.5	B				FALSE	FALSE
