GROUP	chr	mid	bin_start	ctrl_label	mut_label	anchor_side	timepoint	transition
clust1	chr1	9537500	9500001	B.2	B.2	anchor1	250402	Stable
clust3	chr1	9737500	9700001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	10037500	10000001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	10837500	10800001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	10837500	10800001	B.2	B.2	anchor1	250402	Stable
clust2	chr1	11665000	11600001	B.2	B.2	anchor1	250402	Stable
clust5	chr1	12865000	12800001	B.2	B.2	anchor1	250402	Stable
clust4	chr1	12862500	12800001	B.2	B.2	anchor1	250402	Stable
clust5	chr1	12865000	12800001	B.2	B.2	anchor1	250402	Stable
clust2	chr1	13055000	13000001	B.2	B.1	anchor1	250402	Within_B
clust4	chr1	13185000	13100001	A.1	A.1	anchor1	250402	Stable
clust4	chr1	13145000	13100001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	13187500	13100001	A.1	A.1	anchor1	250402	Stable
clust5	chr1	12862500	12800001	B.2	B.2	anchor1	250402	Stable
clust4	chr1	13055000	13000001	B.2	B.1	anchor1	250402	Within_B
clust2	chr1	13137500	13100001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	13062500	13000001	B.2	B.1	anchor1	250402	Within_B
clust3	chr1	13387500	13300001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	13595000	13500001	A.2	A.2	anchor1	250402	Stable
clust4	chr1	14012500	14000001	B.2	B.1	anchor1	250402	Within_B
clust5	chr1	13795000	13700001	B.2	B.2	anchor1	250402	Stable
clust5	chr1	13787500	13700001	B.2	B.2	anchor1	250402	Stable
clust4	chr1	13795000	13700001	B.2	B.2	anchor1	250402	Stable
clust4	chr1	13787500	13700001	B.2	B.2	anchor1	250402	Stable
clust4	chr1	13785000	13700001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	13787500	13700001	B.2	B.2	anchor1	250402	Stable
clust3	chr1	13792500	13700001	B.2	B.2	anchor1	250402	Stable
clust5	chr1	14745000	14700001	B.2	B.2	anchor1	250402	Stable
clust4	chr1	14737500	14700001	B.2	B.2	anchor1	250402	Stable
clust2	chr1	15012500	15000001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	15012500	15000001	B.2	B.2	anchor1	250402	Stable
clust2	chr1	15007500	15000001	B.2	B.2	anchor1	250402	Stable
clust2	chr1	15005000	15000001	B.2	B.2	anchor1	250402	Stable
clust4	chr1	15285000	15200001	B.2	B.2	anchor1	250402	Stable
clust2	chr1	15285000	15200001	B.2	B.2	anchor1	250402	Stable
clust2	chr1	15567500	15500001	B.1	A.2	anchor1	250402	B_to_A
clust2	chr1	15617500	15600001	A.2	A.2	anchor1	250402	Stable
clust4	chr1	15005000	15000001	B.2	B.2	anchor1	250402	Stable
clust4	chr1	15012500	15000001	B.2	B.2	anchor1	250402	Stable
clust4	chr1	15625000	15600001	A.2	A.2	anchor1	250402	Stable
clust2	chr1	15287500	15200001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	15612500	15600001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	15012500	15000001	B.2	B.2	anchor1	250402	Stable
clust3	chr1	15005000	15000001	B.2	B.2	anchor1	250402	Stable
clust6	chr1	15625000	15600001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	15612500	15600001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	15875000	15800001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	15812500	15800001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	15887500	15800001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	15805000	15800001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	13362500	13300001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	15287500	15200001	B.2	B.2	anchor1	250402	Stable
clust3	chr1	15812500	15800001	A.2	A.2	anchor1	250402	Stable
clust6	chr1	15012500	15000001	B.2	B.2	anchor1	250402	Stable
clust3	chr1	15837500	15800001	A.2	A.2	anchor1	250402	Stable
clust2	chr1	16105000	16100001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	16105000	16100001	A.2	A.2	anchor1	250402	Stable
clust6	chr1	15812500	15800001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	16112500	16100001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	16112500	16100001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	16445000	16400001	A.2	A.1	anchor1	250402	Within_A
clust1	chr1	16525000	16500001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	16525000	16500001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	16615000	16600001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	16445000	16400001	A.2	A.1	anchor1	250402	Within_A
clust3	chr1	16437500	16400001	A.2	A.1	anchor1	250402	Within_A
clust3	chr1	16437500	16400001	A.2	A.1	anchor1	250402	Within_A
clust3	chr1	17062500	17000001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	17045000	17000001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	15812500	15800001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	16112500	16100001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	16105000	16100001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	16112500	16100001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	16445000	16400001	A.2	A.1	anchor1	250402	Within_A
clust3	chr1	16437500	16400001	A.2	A.1	anchor1	250402	Within_A
clust1	chr1	16515000	16500001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	16662500	16600001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	16665000	16600001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	16795000	16700001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	16787500	16700001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	16812500	16800001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	17065000	17000001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	17042500	17000001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	17162500	17100001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	17162500	17100001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	17162500	17100001	A.1	A.1	anchor1	250402	Stable
clust5	chr1	17985000	17900001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	18362500	18300001	B.2	B.1	anchor1	250402	Within_B
clust1	chr1	18645000	18600001	B.1	B.1	anchor1	250402	Stable
clust3	chr1	18642500	18600001	B.1	B.1	anchor1	250402	Stable
clust3	chr1	18637500	18600001	B.1	B.1	anchor1	250402	Stable
clust3	chr1	18905000	18900001	A.2	A.2	anchor1	250402	Stable
clust2	chr1	18365000	18300001	B.2	B.1	anchor1	250402	Within_B
clust1	chr1	17987500	17900001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	18365000	18300001	B.2	B.1	anchor1	250402	Within_B
clust3	chr1	18987500	18900001	A.2	A.2	anchor1	250402	Stable
clust5	chr1	19205000	19200001	B.2	B.2	anchor1	250402	Stable
clust5	chr1	19212500	19200001	B.2	B.2	anchor1	250402	Stable
clust5	chr1	19205000	19200001	B.2	B.2	anchor1	250402	Stable
clust4	chr1	20315000	20300001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	20615000	20600001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	20612500	20600001	B.2	B.2	anchor1	250402	Stable
clust2	chr1	20615000	20600001	B.2	B.2	anchor1	250402	Stable
clust2	chr1	20842500	20800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	20825000	20800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	20687500	20600001	B.2	B.2	anchor1	250402	Stable
clust2	chr1	20702500	20700001	B.2	B.2	anchor1	250402	Stable
clust3	chr1	20892500	20800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	20955000	20900001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	20962500	20900001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	20937500	20900001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	20615000	20600001	B.2	B.2	anchor1	250402	Stable
clust2	chr1	20695000	20600001	B.2	B.2	anchor1	250402	Stable
clust2	chr1	20687500	20600001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	20812500	20800001	A.1	A.1	anchor1	250402	Stable
clust4	chr1	20937500	20900001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	20935000	20900001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	20935000	20900001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	21217500	21200001	A.2	A.2	anchor1	250402	Stable
clust2	chr1	21165000	21100001	A.2	A.2	anchor1	250402	Stable
clust5	chr1	21415000	21400001	B.1	B.1	anchor1	250402	Stable
clust1	chr1	20937500	20900001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	20937500	20900001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	21217500	21200001	A.2	A.2	anchor1	250402	Stable
clust4	chr1	21455000	21400001	B.1	B.1	anchor1	250402	Stable
clust2	chr1	21412500	21400001	B.1	B.1	anchor1	250402	Stable
clust4	chr1	21812500	21800001	B.2	B.1	anchor1	250402	Within_B
clust2	chr1	21962500	21900001	B.2	B.1	anchor1	250402	Within_B
clust1	chr1	22612500	22600001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	22637500	22600001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	22712500	22700001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	22615000	22600001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	22612500	22600001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	22637500	22600001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	22805000	22800001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	22932500	22900001	A.1	A.1	anchor1	250402	Stable
clust4	chr1	22607500	22600001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	22805000	22800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	22805000	22800001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	22932500	22900001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	22932500	22900001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	23005000	23000001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	22487500	22400001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	22612500	22600001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	22805000	22800001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	22812500	22800001	A.1	A.1	anchor1	250402	Stable
clust6	chr1	22935000	22900001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	22412500	22400001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	22612500	22600001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	22612500	22600001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	23257500	23200001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	23382500	23300001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	23325000	23300001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	23385000	23300001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	23337500	23300001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	23447500	23400001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	23312500	23300001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	23385000	23300001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	23325000	23300001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	23325000	23300001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	23655000	23600001	A.2	A.2	anchor1	250402	Stable
clust4	chr1	23705000	23700001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	23765000	23700001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	23762500	23700001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	23825000	23800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	23325000	23300001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	23765000	23700001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	23762500	23700001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	23712500	23700001	A.2	A.2	anchor1	250402	Stable
clust2	chr1	23825000	23800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	23837500	23800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	23922500	23900001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	23912500	23900001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	23707500	23700001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	23765000	23700001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	24137500	24100001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	23655000	23600001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	23712500	23700001	A.2	A.2	anchor1	250402	Stable
clust2	chr1	23705000	23700001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	23845000	23800001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	23845000	23800001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	23837500	23800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	23825000	23800001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	23912500	23900001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	24045000	24000001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	24175000	24100001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	24135000	24100001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	24137500	24100001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	24515000	24500001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	24512500	24500001	A.1	A.1	anchor1	250402	Stable
clust4	chr1	24377500	24300001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	24495000	24400001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	24755000	24700001	A.1	A.1	anchor1	250402	Stable
clust6	chr1	24675000	24600001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	24737500	24700001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	25052500	25000001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	24712500	24700001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	24887500	24800001	A.2	A.2	anchor1	250402	Stable
clust4	chr1	25092500	25000001	A.2	A.2	anchor1	250402	Stable
clust2	chr1	25165000	25100001	A.1	A.1	anchor1	250402	Stable
clust6	chr1	24362500	24300001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	24737500	24700001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	24912500	24900001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	25512500	25500001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	25535000	25500001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	24887500	24800001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	25237500	25200001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	25212500	25200001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	25527500	25500001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	25505000	25500001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	25537500	25500001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	25625000	25600001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	25687500	25600001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	25697500	25600001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	25712500	25700001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	25755000	25700001	A.1	A.1	anchor1	250402	Stable
clust5	chr1	25835000	25800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	25962500	25900001	B.1	A.2	anchor1	250402	B_to_A
clust4	chr1	25837500	25800001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	27737500	27700001	B.1	A.2	anchor1	250402	B_to_A
clust2	chr1	27745000	27700001	B.1	A.2	anchor1	250402	B_to_A
clust3	chr1	28105000	28100001	A.2	A.2	anchor1	250402	Stable
clust6	chr1	27745000	27700001	B.1	A.2	anchor1	250402	B_to_A
clust3	chr1	27737500	27700001	B.1	A.2	anchor1	250402	B_to_A
clust6	chr1	28102500	28100001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	28212500	28200001	A.2	A.2	anchor1	250402	Stable
clust6	chr1	25837500	25800001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	30785000	30700001	B.2	B.2	anchor1	250402	Stable
clust2	chr1	30825000	30800001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	30785000	30700001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	30787500	30700001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	30812500	30800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	30872500	30800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	30782500	30700001	B.2	B.2	anchor1	250402	Stable
clust4	chr1	30945000	30900001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	30937500	30900001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	30912500	30900001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	31215000	31200001	B.1	B.1	anchor1	250402	Stable
clust5	chr1	31212500	31200001	B.1	B.1	anchor1	250402	Stable
clust5	chr1	32175000	32100001	B.2	B.2	anchor1	250402	Stable
clust4	chr1	31212500	31200001	B.1	B.1	anchor1	250402	Stable
clust4	chr1	31212500	31200001	B.1	B.1	anchor1	250402	Stable
clust5	chr1	32187500	32100001	B.2	B.2	anchor1	250402	Stable
clust5	chr1	32162500	32100001	B.2	B.2	anchor1	250402	Stable
clust4	chr1	31212500	31200001	B.1	B.1	anchor1	250402	Stable
clust2	chr1	33675000	33600001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	33662500	33600001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	33665000	33600001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	33762500	33700001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	33892500	33800001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	33907500	33900001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34007500	34000001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34012500	34000001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34005000	34000001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	34065000	34000001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34005000	34000001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34062500	34000001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34127500	34100001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34115000	34100001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34215000	34200001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	34012500	34000001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	34012500	34000001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	34215000	34200001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34287500	34200001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	34187500	34100001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	34212500	34200001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34437500	34400001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34487500	34400001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34512500	34500001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34485000	34400001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34645000	34600001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	34437500	34400001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	34585000	34500001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	34637500	34600001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	34637500	34600001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	34645000	34600001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	34737500	34700001	A.1	A.1	anchor1	250402	Stable
clust4	chr1	34747500	34700001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34745000	34700001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34737500	34700001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34737500	34700001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	35385000	35300001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	35847500	35800001	A.2	A.2	anchor1	250402	Stable
clust2	chr1	34895000	34800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34887500	34800001	A.1	A.1	anchor1	250402	Stable
clust4	chr1	35035000	35000001	B.1	B.1	anchor1	250402	Stable
clust2	chr1	35385000	35300001	A.2	A.2	anchor1	250402	Stable
clust2	chr1	35585000	35500001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	35672500	35600001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	35755000	35700001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	35837500	35800001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	35875000	35800001	A.2	A.2	anchor1	250402	Stable
clust2	chr1	35962500	35900001	A.1	A.1	anchor1	250402	Stable
clust4	chr1	34892500	34800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34895000	34800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	34887500	34800001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	35387500	35300001	A.2	A.2	anchor1	250402	Stable
clust2	chr1	36065000	36000001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	34887500	34800001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	36155000	36100001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	36162500	36100001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	36242500	36200001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	36307500	36300001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	36365000	36300001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	36362500	36300001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	36325000	36300001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	36367500	36300001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	36472500	36400001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	36445000	36400001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	36555000	36500001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	36537500	36500001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	36547500	36500001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	36562500	36500001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	36545000	36500001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	36787500	36700001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	36862500	36800001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	36835000	36800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	36875000	36800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	36815000	36800001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	36902500	36900001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	36787500	36700001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	36945000	36900001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	36962500	36900001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	37062500	37000001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	37295000	37200001	A.2	A.2	anchor1	250402	Stable
