stripe_id	direction	body_bins	frac_A1	frac_A2	frac_B1	frac_B2	timepoint
stripe_0061	unchanged	8	1	0	0	0	250402
stripe_0060	unchanged	6	1	0	0	0	250402
stripe_0033	lost	20	0.5	0.3	0.2	0	250402
stripe_0068	unchanged	14	0.2857	0.4286	0.2857	0	250402
stripe_0070	unchanged	14	0.2857	0.4286	0.2857	0	250402
stripe_0030	lost	14	0.2857	0.4286	0.2857	0	250402
stripe_0031	gained	13	0.2308	0.4615	0.3077	0	250402
stripe_0072	lost	14	0.2857	0.4286	0.2857	0	250402
stripe_0062	unchanged	17	0.4118	0.3529	0.2353	0	250402
stripe_0063	gained	13	0.3846	0.4615	0.1538	0	250402
stripe_0066	unchanged	6	0	0.6667	0.3333	0	250402
stripe_0064	unchanged	11	0.4545	0.5455	0	0	250402
stripe_0065	lost	22	0.7727	0.2273	0	0	250402
stripe_0071	unchanged	5	0.2	0.8	0	0	250402
stripe_0067	unchanged	8	0.625	0.375	0	0	250402
stripe_0069	gained	6	0.8333	0.1667	0	0	250402
stripe_0073	lost	7	1	0	0	0	250402
stripe_0074	unchanged	5	1	0	0	0	250402
stripe_0076	gained	3	1	0	0	0	250402
stripe_0075	unchanged	11	0.7273	0.2727	0	0	250402
stripe_0080	unchanged	11	0.7273	0.2727	0	0	250402
stripe_0077	gained	10	0.7	0.3	0	0	250402
stripe_0079	gained	6	0.5	0.5	0	0	250402
stripe_0078	gained	6	0.5	0.5	0	0	250402
stripe_0081	unchanged	7	0.8571	0.1429	0	0	250402
stripe_0082	lost	8	0.25	0.75	0	0	250402
stripe_0083	unchanged	26	0.5	0.4615	0	0.0385	250402
stripe_0084	unchanged	6	0	1	0	0	250402
stripe_0087	unchanged	8	0.5	0.5	0	0	250402
stripe_0085	unchanged	7	0.4286	0.5714	0	0	250402
stripe_0086	unchanged	5	0.2	0.8	0	0	250402
stripe_0089	unchanged	10	0.7	0.3	0	0	250402
stripe_0090	unchanged	9	0.6667	0	0.3333	0	250402
stripe_0088	gained	4	1	0	0	0	250402
stripe_0091	unchanged	18	0.1111	0.4444	0.1111	0.3333	250402
stripe_0092	lost	27	0.2963	0.4074	0.0741	0.2222	250402
stripe_0093	unchanged	7	0.4286	0.2857	0.2857	0	250402
stripe_0094	gained	8	0.75	0.25	0	0	250402
stripe_0044	lost	38	0.2105	0.0789	0.4737	0.2368	250402
stripe_0047	lost	29	0.2414	0.1034	0.5172	0.1379	250402
stripe_0095	unchanged	17	0.4118	0.1765	0.4118	0	250402
stripe_0096	unchanged	8	0.125	0.375	0.5	0	250402
stripe_0099	gained	28	0.4286	0.1786	0.2857	0.1071	250402
stripe_0097	unchanged	16	0.4375	0	0.5625	0	250402
stripe_0098	unchanged	13	0.3846	0	0.6154	0	250402
stripe_0100	unchanged	14	0.7143	0.1429	0.1429	0	250402
stripe_0101	gained	5	1	0	0	0	250402
stripe_0102	gained	4	1	0	0	0	250402
stripe_0103	unchanged	5	1	0	0	0	250402
stripe_0104	unchanged	6	1	0	0	0	250402
stripe_0106	unchanged	8	1	0	0	0	250402
stripe_0105	unchanged	20	0.55	0.2	0.1	0.15	250402
stripe_0107	unchanged	8	0.375	0.375	0.25	0	250402
stripe_0051	lost	11	0.4545	0.3636	0.1818	0	250402
stripe_0108	unchanged	12	0.8333	0.1667	0	0	250402
stripe_0109	unchanged	6	0.6667	0.3333	0	0	250402
stripe_0115	unchanged	13	0.8462	0.1538	0	0	250402
stripe_0111	unchanged	8	0.75	0.25	0	0	250402
stripe_0114	lost	9	0.8889	0.1111	0	0	250402
stripe_0112	lost	5	1	0	0	0	250402
stripe_0113	gained	7	1	0	0	0	250402
stripe_0110	lost	5	1	0	0	0	250402
stripe_0117	lost	7	0.5714	0.2857	0	0.1429	250402
stripe_0116	gained	29	0.4483	0.4138	0.1379	0	250402
stripe_0118	lost	6	0.5	0.5	0	0	250402
stripe_0119	unchanged	4	0.75	0.25	0	0	250402
stripe_0120	lost	4	0.75	0.25	0	0	250402
stripe_0121	unchanged	16	0.25	0.125	0.4375	0.1875	250402
stripe_0122	unchanged	14	0	0	0.1429	0.8571	250402
stripe_0058	unchanged	33	0.6061	0.1515	0.0909	0.1515	250402
stripe_0123	gained	9	0.1111	0.2222	0.1111	0.5556	250402
stripe_0124	gained	11	1	0	0	0	250402
stripe_0125	unchanged	9	1	0	0	0	250402
stripe_0127	gained	6	1	0	0	0	250402
stripe_0126	unchanged	8	1	0	0	0	250402
stripe_0129	unchanged	10	0.7	0	0.3	0	250402
stripe_0128	unchanged	5	1	0	0	0	250402
stripe_0131	gained	15	0.2	0.2667	0.1333	0.4	250402
stripe_0060	lost	22	0.1364	0.1364	0.2727	0.4545	250402
stripe_0130	gained	12	0	0	0.4167	0.5833	250402
stripe_0134	gained	10	0	0	0.4	0.6	250402
stripe_0132	gained	14	0.1429	0.1429	0.2857	0.4286	250402
stripe_0133	lost	12	0.1667	0.1667	0.3333	0.3333	250402
stripe_0135	gained	6	0.3333	0.3333	0	0.3333	250402
stripe_0063	lost	5	0.6	0.4	0	0	250402
stripe_0144	lost	9	1	0	0	0	250402
stripe_0136	lost	15	0.9333	0.0667	0	0	250402
stripe_0137	gained	15	0.9333	0.0667	0	0	250402
stripe_0145	unchanged	9	1	0	0	0	250402
stripe_0148	gained	29	0.4828	0	0.0345	0.4828	250402
stripe_0138	unchanged	10	1	0	0	0	250402
stripe_0143	gained	6	1	0	0	0	250402
stripe_0149	unchanged	15	0.8667	0.1333	0	0	250402
stripe_0142	unchanged	28	0.2857	0.1786	0.1071	0.4286	250402
stripe_0146	gained	39	0.2051	0	0.0256	0.7692	250402
stripe_0139	unchanged	12	0.9167	0.0833	0	0	250402
stripe_0140	gained	6	1	0	0	0	250402
stripe_0141	gained	31	0.2581	0.1935	0.0968	0.4516	250402
stripe_0147	lost	4	0.75	0.25	0	0	250402
stripe_0152	gained	9	0.1111	0.5556	0.3333	0	250402
stripe_0150	unchanged	12	0.3333	0.3333	0.3333	0	250402
stripe_0151	unchanged	13	0.5385	0.1538	0.3077	0	250402
stripe_0074	lost	9	0.8889	0	0.1111	0	250402
stripe_0153	unchanged	7	1	0	0	0	250402
stripe_0154	lost	6	1	0	0	0	250402
stripe_0155	gained	25	0.6	0.28	0.12	0	250402
stripe_0156	unchanged	12	0.8333	0.1667	0	0	250402
stripe_0157	unchanged	18	0.2778	0.3333	0	0.3889	250402
stripe_0161	unchanged	15	0.3333	0.4	0	0.2667	250402
stripe_0158	gained	10	0.4	0.6	0	0	250402
stripe_0159	gained	7	0.5714	0.4286	0	0	250402
stripe_0160	lost	5	0.8	0.2	0	0	250402
stripe_0162	gained	9	0.4444	0	0.1111	0.4444	250402
stripe_0164	unchanged	5	0.8	0	0	0.2	250402
stripe_0163	gained	5	1	0	0	0	250402
stripe_0172	unchanged	13	0.6154	0.3846	0	0	250402
stripe_0165	unchanged	14	0.5	0.5	0	0	250402
stripe_0166	gained	16	0.5	0.5	0	0	250402
stripe_0167	lost	14	0.4286	0.5714	0	0	250402
stripe_0078	unchanged	16	0.5	0.5	0	0	250402
stripe_0168	unchanged	15	0.4667	0.5333	0	0	250402
stripe_0169	gained	24	0.2083	0.2917	0.0833	0.4167	250402
stripe_0171	gained	9	0.4444	0.5556	0	0	250402
stripe_0170	gained	4	0	1	0	0	250402
stripe_0173	gained	7	0.5714	0.4286	0	0	250402
stripe_0179	unchanged	11	1	0	0	0	250402
stripe_0177	lost	4	1	0	0	0	250402
stripe_0174	unchanged	9	1	0	0	0	250402
stripe_0175	gained	14	1	0	0	0	250402
stripe_0176	lost	8	1	0	0	0	250402
stripe_0178	lost	34	0.8824	0.0588	0.0588	0	250402
stripe_0180	gained	4	1	0	0	0	250402
stripe_0187	gained	13	0.1538	0.0769	0.7692	0	250402
stripe_0181	unchanged	19	0.1579	0.1579	0.6842	0	250402
stripe_0185	lost	10	0.1	0	0.9	0	250402
stripe_0189	gained	18	0.1667	0.1667	0.6667	0	250402
stripe_0182	gained	14	0.1429	0.2143	0.6429	0	250402
stripe_0183	lost	11	0.1818	0.2727	0.5455	0	250402
stripe_0188	gained	8	0.125	0.375	0.5	0	250402
stripe_0184	lost	10	0.2	0.3	0.5	0	250402
stripe_0190	unchanged	11	0.1818	0.2727	0.5455	0	250402
stripe_0186	gained	6	0.3333	0.5	0.1667	0	250402
stripe_0191	unchanged	17	0.5882	0.2353	0.1765	0	250402
stripe_0192	lost	6	0.3333	0.5	0.1667	0	250402
stripe_0197	lost	17	0.2941	0.2941	0.1765	0.2353	250402
stripe_0095	lost	24	0.25	0.125	0.125	0.5	250402
stripe_0193	unchanged	20	0.65	0.15	0.15	0.05	250402
stripe_0194	lost	5	0.6	0	0.2	0.2	250402
stripe_0195	unchanged	6	0.5	0.5	0	0	250402
stripe_0196	lost	5	0.6	0.4	0	0	250402
stripe_0198	unchanged	13	0.3077	0.0769	0	0.6154	250402
stripe_0199	gained	4	0.5	0	0.5	0	250402
stripe_0207	gained	38	0.4737	0.2632	0.1842	0.0789	250402
stripe_0210	gained	17	0.4118	0.1176	0.2941	0.1765	250402
stripe_0098	lost	16	0.375	0.125	0.3125	0.1875	250402
stripe_0204	gained	5	0.8	0	0.2	0	250402
stripe_0205	unchanged	7	0.8571	0	0.1429	0	250402
stripe_0208	unchanged	12	0.5	0.0833	0.1667	0.25	250402
stripe_0200	unchanged	6	1	0	0	0	250402
stripe_0201	lost	5	1	0	0	0	250402
stripe_0202	gained	6	1	0	0	0	250402
stripe_0203	unchanged	4	1	0	0	0	250402
stripe_0101	unchanged	17	0.3529	0.1176	0.2353	0.2941	250402
stripe_0206	gained	11	0.1818	0.1818	0.3636	0.2727	250402
stripe_0211	unchanged	14	0.2857	0.1429	0.2857	0.2857	250402
stripe_0213	unchanged	16	0.25	0.125	0.25	0.375	250402
stripe_0102	unchanged	16	0.25	0.125	0.25	0.375	250402
stripe_0209	gained	3	0	0	1	0	250402
stripe_0216	lost	9	0.2222	0	0	0.7778	250402
stripe_0212	unchanged	28	0.4643	0.1786	0.0714	0.2857	250402
stripe_0214	unchanged	6	0	0	0	1	250402
stripe_0215	unchanged	6	0.5	0	0	0.5	250402
stripe_0110	unchanged	27	0.7037	0.1852	0.037	0.0741	250402
stripe_0218	unchanged	4	1	0	0	0	250402
stripe_0222	unchanged	11	1	0	0	0	250402
stripe_0217	lost	5	1	0	0	0	250402
stripe_0223	unchanged	11	0.9091	0.0909	0	0	250402
stripe_0220	lost	5	1	0	0	0	250402
stripe_0221	gained	5	1	0	0	0	250402
stripe_0219	unchanged	6	0.8333	0.1667	0	0	250402
stripe_0227	unchanged	17	0.6471	0.2941	0.0588	0	250402
stripe_0224	unchanged	9	0.6667	0.3333	0	0	250402
stripe_0225	unchanged	9	0.4444	0.4444	0.1111	0	250402
stripe_0232	lost	13	0.1538	0.5385	0.3077	0	250402
stripe_0226	gained	13	0.0769	0.6154	0.3077	0	250402
stripe_0228	unchanged	6	0	0.6667	0.3333	0	250402
stripe_0230	gained	9	0	0.5556	0.4444	0	250402
stripe_0233	unchanged	35	0.6286	0.2571	0.1143	0	250402
stripe_0234	gained	10	0	0.6	0.4	0	250402
stripe_0237	lost	12	0.3333	0.5	0.1667	0	250402
stripe_0238	gained	13	0.3846	0.4615	0.1538	0	250402
stripe_0229	unchanged	17	0.3529	0.4118	0.2353	0	250402
stripe_0112	unchanged	23	0.2609	0.4348	0.3043	0	250402
stripe_0243	lost	18	0.3333	0.4444	0.2222	0	250402
stripe_0231	unchanged	15	0.4	0.4	0.2	0	250402
stripe_0235	unchanged	8	0.75	0.25	0	0	250402
stripe_0114	unchanged	12	0.5	0.3333	0.1667	0	250402
stripe_0236	unchanged	4	0.5	0.5	0	0	250402
stripe_0239	lost	7	0.7143	0.2857	0	0	250402
stripe_0240	unchanged	5	1	0	0	0	250402
stripe_0241	unchanged	9	0	0.5556	0.4444	0	250402
stripe_0118	gained	10	0	0.5	0.5	0	250402
stripe_0242	unchanged	9	0	0.5556	0.4444	0	250402
stripe_0244	unchanged	5	0	0.8	0.2	0	250402
stripe_0245	gained	5	0	0.8	0.2	0	250402
stripe_0246	unchanged	26	0.2692	0.1923	0.4615	0.0769	250402
stripe_0247	unchanged	3	1	0	0	0	250402
stripe_0253	unchanged	13	0.6154	0.1538	0.2308	0	250402
stripe_0248	gained	29	0.2414	0.1724	0.3793	0.2069	250402
stripe_0254	unchanged	12	0.4167	0.3333	0.25	0	250402
stripe_0249	lost	15	0.6667	0.2667	0.0667	0	250402
stripe_0250	unchanged	16	0.75	0.25	0	0	250402
stripe_0251	gained	35	0.3429	0.3143	0.0571	0.2857	250402
stripe_0252	gained	19	0.4211	0.3158	0.2632	0	250402
stripe_0255	gained	6	0.8333	0.1667	0	0	250402
stripe_0256	unchanged	11	1	0	0	0	250402
stripe_0257	lost	7	1	0	0	0	250402
stripe_0258	gained	6	0	0.3333	0	0.6667	250402
stripe_0259	gained	6	0	0	0	1	250402
stripe_0125	gained	21	0.2857	0.0952	0.1429	0.4762	250402
stripe_0264	unchanged	12	0.4167	0.1667	0.25	0.1667	250402
stripe_0260	unchanged	11	0.5455	0.1818	0.2727	0	250402
stripe_0262	unchanged	8	0.625	0	0.375	0	250402
stripe_0261	unchanged	9	0.6667	0.2222	0.1111	0	250402
stripe_0263	lost	3	0.3333	0.6667	0	0	250402
stripe_0265	lost	8	0.875	0.125	0	0	250402
stripe_0268	lost	6	0.8333	0.1667	0	0	250402
stripe_0269	unchanged	9	0.7778	0.2222	0	0	250402
stripe_0266	unchanged	7	0.8571	0.1429	0	0	250402
stripe_0267	unchanged	33	0.5152	0.1515	0	0.3333	250402
stripe_0130	unchanged	7	0.4286	0.5714	0	0	250402
stripe_0270	unchanged	3	0	1	0	0	250402
stripe_0133	unchanged	36	0.0833	0.1944	0.0833	0.6389	250402
stripe_0136	gained	19	0	0.1053	0.0526	0.8421	250402
stripe_0271	lost	19	0	0.1053	0.1579	0.7368	250402
stripe_0137	unchanged	21	0	0.1905	0.1429	0.6667	250402
stripe_0140	lost	22	0.1364	0.2273	0.1364	0.5	250402
stripe_0273	unchanged	12	0	0.25	0.25	0.5	250402
stripe_0275	unchanged	13	0.0769	0.3846	0.2308	0.3077	250402
stripe_0272	gained	15	0.2	0.3333	0.2	0.2667	250402
stripe_0274	unchanged	8	0.375	0.375	0	0.25	250402
stripe_0281	gained	17	0	0	0.0588	0.9412	250402
stripe_0276	gained	11	0	0	0.0909	0.9091	250402
stripe_0144	gained	28	0	0	0.0357	0.9643	250402
stripe_0277	gained	18	0	0	0.0556	0.9444	250402
stripe_0278	gained	16	0	0	0.0625	0.9375	250402
stripe_0282	gained	11	0	0	0.0909	0.9091	250402
stripe_0283	gained	12	0	0	0.0833	0.9167	250402
stripe_0279	gained	14	0	0	0.0714	0.9286	250402
stripe_0280	unchanged	9	0	0	0.1111	0.8889	250402
stripe_0284	unchanged	27	0.2963	0.1481	0.2963	0.2593	250402
stripe_0285	gained	5	0.6	0	0.4	0	250402
stripe_0290	gained	10	0.3	0.4	0.3	0	250402
stripe_0287	lost	4	0	0.5	0.5	0	250402
stripe_0293	gained	14	0.3571	0.5	0.1429	0	250402
stripe_0286	gained	6	0	0.8333	0.1667	0	250402
stripe_0288	unchanged	10	0.5	0.5	0	0	250402
stripe_0152	unchanged	12	0.4167	0.5833	0	0	250402
stripe_0289	gained	16	0.5625	0.1875	0.25	0	250402
stripe_0292	unchanged	7	0.7143	0.2857	0	0	250402
stripe_0291	gained	6	0.8333	0.1667	0	0	250402
stripe_0295	unchanged	11	0	0.0909	0.1818	0.7273	250402
stripe_0294	gained	12	0	0.25	0.1667	0.5833	250402
stripe_0296	unchanged	20	0	0.05	0.05	0.9	250402
stripe_0297	gained	16	0	0	0	1	250402
stripe_0298	unchanged	10	0	0	0	1	250402
stripe_0299	gained	7	0	0.2857	0.7143	0	250402
stripe_0300	gained	11	0	0.2727	0.3636	0.3636	250402
stripe_0301	unchanged	3	0	0.6667	0	0.3333	250402
stripe_0303	unchanged	11	0	0.1818	0.0909	0.7273	250402
stripe_0160	gained	11	0	0	0.5455	0.4545	250402
stripe_0302	gained	5	0	0	1	0	250402
stripe_0304	unchanged	4	0	0	1	0	250402
stripe_0305	gained	6	0	0	1	0	250402
stripe_0307	unchanged	6	0	0.5	0.5	0	250402
stripe_0306	unchanged	8	0.5	0.375	0.125	0	250402
stripe_0309	unchanged	4	0.75	0.25	0	0	250402
stripe_0308	lost	2	1	0	0	0	250402
stripe_0310	unchanged	7	0.8571	0.1429	0	0	250402
stripe_0311	unchanged	8	0.5	0	0	0.5	250402
stripe_0313	gained	10	0	0	0.2	0.8	250402
stripe_0314	lost	16	0	0	0.125	0.875	250402
stripe_0168	gained	18	0	0	0.1111	0.8889	250402
stripe_0312	unchanged	16	0	0	0.125	0.875	250402
stripe_0318	unchanged	26	0.4615	0.4615	0.0385	0.0385	250402
stripe_0315	lost	9	0.5556	0.4444	0	0	250402
stripe_0316	unchanged	12	0.75	0.25	0	0	250402
stripe_0317	gained	15	0.8	0.2	0	0	250402
stripe_0320	lost	4	0.5	0.5	0	0	250402
stripe_0319	unchanged	6	0.8333	0.1667	0	0	250402
stripe_0321	lost	5	1	0	0	0	250402
stripe_0322	unchanged	6	1	0	0	0	250402
stripe_0173	lost	12	1	0	0	0	250402
stripe_0323	unchanged	36	0.6111	0.3611	0.0278	0	250402
stripe_0324	lost	7	1	0	0	0	250402
stripe_0327	gained	35	0.1714	0.0571	0.0571	0.7143	250402
stripe_0329	unchanged	15	0.7333	0.2	0	0.0667	250402
stripe_0325	unchanged	10	1	0	0	0	250402
stripe_0326	gained	4	1	0	0	0	250402
stripe_0332	lost	9	1	0	0	0	250402
stripe_0331	gained	4	1	0	0	0	250402
stripe_0330	gained	4	1	0	0	0	250402
stripe_0334	lost	8	0.5	0.25	0.25	0	250402
stripe_0333	gained	12	0.0833	0.1667	0.0833	0.6667	250402
stripe_0336	unchanged	4	1	0	0	0	250402
stripe_0338	lost	5	1	0	0	0	250402
stripe_0335	unchanged	4	1	0	0	0	250402
stripe_0337	lost	7	1	0	0	0	250402
stripe_0344	lost	8	1	0	0	0	250402
stripe_0342	lost	2	1	0	0	0	250402
stripe_0343	unchanged	6	0.6667	0.3333	0	0	250402
stripe_0345	gained	3	0	1	0	0	250402
stripe_0346	gained	4	0.75	0.25	0	0	250402
stripe_0347	gained	5	1	0	0	0	250402
stripe_0349	unchanged	6	1	0	0	0	250402
stripe_0348	gained	4	1	0	0	0	250402
stripe_0350	unchanged	22	0.3636	0.2727	0.0909	0.2727	250402
stripe_0182	unchanged	19	0.2632	0.3158	0	0.4211	250402
stripe_0353	unchanged	14	0.2857	0.3571	0	0.3571	250402
stripe_0352	gained	18	0.2222	0.4444	0.3333	0	250402
stripe_0354	unchanged	8	0.625	0.375	0	0	250402
stripe_0351	unchanged	6	0.8333	0.1667	0	0	250402
stripe_0355	unchanged	5	0	0.8	0.2	0	250402
stripe_0184	gained	15	0	0	0	1	250402
stripe_0357	gained	5	0.4	0	0.6	0	250402
stripe_0358	unchanged	8	0.25	0	0.375	0.375	250402
stripe_0356	unchanged	6	0	0	0.5	0.5	250402
stripe_0359	unchanged	8	0.5	0.375	0	0.125	250402
stripe_0360	unchanged	6	0.6667	0.1667	0	0.1667	250402
stripe_0361	gained	10	0	0	0.4	0.6	250402
stripe_0362	gained	6	0	0.1667	0.6667	0.1667	250402
stripe_0365	gained	11	0.2727	0.3636	0.2727	0.0909	250402
stripe_0363	unchanged	5	0.4	0.6	0	0	250402
stripe_0364	gained	5	0.4	0	0.6	0	250402
stripe_0192	unchanged	15	0.6	0.2667	0.1333	0	250402
stripe_0370	unchanged	7	1	0	0	0	250402
stripe_0366	unchanged	6	1	0	0	0	250402
stripe_0368	unchanged	4	1	0	0	0	250402
stripe_0367	unchanged	48	0.1875	0.0833	0.0417	0.6875	250402
stripe_0369	unchanged	11	0.6364	0.3636	0	0	250402
stripe_0189	unchanged	28	0.6429	0.3214	0.0357	0	250402
stripe_0371	unchanged	11	0.7273	0.2727	0	0	250402
stripe_0372	gained	7	0.8571	0.1429	0	0	250402
stripe_0374	unchanged	10	1	0	0	0	250402
stripe_0373	lost	3	1	0	0	0	250402
stripe_0385	gained	18	0.6667	0.2778	0.0556	0	250402
stripe_0375	unchanged	27	0.5926	0.2963	0.1111	0	250402
stripe_0376	unchanged	17	0.5294	0.2941	0.1765	0	250402
stripe_0379	gained	7	0.5714	0.4286	0	0	250402
stripe_0377	unchanged	9	0.7778	0.2222	0	0	250402
stripe_0381	lost	6	1	0	0	0	250402
stripe_0378	unchanged	7	1	0	0	0	250402
stripe_0380	lost	5	1	0	0	0	250402
stripe_0383	unchanged	6	1	0	0	0	250402
stripe_0386	gained	9	1	0	0	0	250402
stripe_0388	unchanged	14	1	0	0	0	250402
stripe_0382	unchanged	6	1	0	0	0	250402
stripe_0200	lost	6	1	0	0	0	250402
stripe_0384	unchanged	4	1	0	0	0	250402
stripe_0387	lost	6	1	0	0	0	250402
stripe_0389	unchanged	6	0.3333	0	0.6667	0	250402
stripe_0392	lost	11	0.1818	0.7273	0.0909	0	250402
stripe_0391	unchanged	5	0.4	0.6	0	0	250402
stripe_0390	gained	6	0.1667	0.8333	0	0	250402
stripe_0393	unchanged	16	0.1875	0.3125	0.5	0	250402
stripe_0397	unchanged	16	0.1875	0.25	0.5625	0	250402
stripe_0394	unchanged	10	0.3	0.1	0.6	0	250402
stripe_0395	gained	5	0.6	0	0.4	0	250402
stripe_0396	unchanged	4	0	1	0	0	250402
stripe_0399	unchanged	23	0.7391	0.1739	0.0435	0.0435	250402
stripe_0398	unchanged	6	0.6667	0.3333	0	0	250402
stripe_0401	unchanged	9	0.4444	0.5556	0	0	250402
stripe_0400	gained	6	0.3333	0.6667	0	0	250402
stripe_0405	gained	10	0.9	0.1	0	0	250402
stripe_0402	lost	2	1	0	0	0	250402
stripe_0403	gained	7	1	0	0	0	250402
stripe_0404	gained	5	1	0	0	0	250402
stripe_0406	gained	4	1	0	0	0	250402
stripe_0407	unchanged	5	1	0	0	0	250402
stripe_0214	gained	20	0.7	0.15	0.1	0.05	250402
stripe_0408	unchanged	6	0.6667	0.3333	0	0	250402
stripe_0410	unchanged	26	0.7692	0.1538	0.0769	0	250402
stripe_0413	unchanged	24	0.2917	0.4583	0	0.25	250402
stripe_0409	unchanged	18	0.6667	0.2222	0.1111	0	250402
stripe_0412	unchanged	6	0.8333	0.1667	0	0	250402
stripe_0411	gained	3	1	0	0	0	250402
stripe_0414	unchanged	7	1	0	0	0	250402
stripe_0415	lost	7	0.8571	0	0.1429	0	250402
stripe_0417	unchanged	16	0.5625	0.0625	0.1875	0.1875	250402
stripe_0416	lost	4	1	0	0	0	250402
stripe_0219	gained	13	0.2308	0	0.3846	0.3846	250402
stripe_0420	unchanged	19	0.1579	0.0526	0.2105	0.5789	250402
stripe_0217	unchanged	16	0.1875	0.0625	0.1875	0.5625	250402
stripe_0418	gained	21	0.4762	0	0.4286	0.0952	250402
stripe_0419	unchanged	3	1	0	0	0	250402
stripe_0218	gained	17	0.0588	0.2941	0.1176	0.5294	250402
stripe_0421	unchanged	16	0.6875	0.3125	0	0	250402
stripe_0422	unchanged	3	1	0	0	0	250402
stripe_0423	unchanged	6	1	0	0	0	250402
stripe_0424	gained	6	1	0	0	0	250402
stripe_0224	lost	13	0.6923	0	0	0.3077	250402
stripe_0425	unchanged	4	1	0	0	0	250402
stripe_0426	gained	4	1	0	0	0	250402
stripe_0427	gained	4	1	0	0	0	250402
stripe_0428	lost	21	0.3333	0.4762	0.1905	0	250402
stripe_0430	gained	7	0.4286	0	0.4286	0.1429	250402
stripe_0429	gained	19	0.6316	0.1053	0.2632	0	250402
stripe_0438	gained	35	0.6571	0.1429	0.1429	0.0571	250402
stripe_0435	lost	9	0.6667	0	0.3333	0	250402
