chr1	x1	x2	chr2	y1	y2	name	score	strand1	strand2	color	direction	direction_confidence	logFC	FDR	source	pval_ctrl	pval_mut	detection_confidence	in_10kb	nearest_gene	distance_to_tss	nearest_coding_gene	nearest_coding_dist	body_genes	body_gene_count	anchor_type	h3k27ac	h3k27me3	h3k4me1	stripe_length_kb	anchor_width_kb	stripe_idx	se_P60_overlap	se_ENCODE_overlap	k27ac_class	concordant
chr12	118100001	118120000	chr12	118100001	118310000	stripe_1734	1.65213049253197	.	.	255,160,122	gained	low	-0.0962	0.02228	mutant_only	NA	0.043	low	NA	Dnah11	79042	Dnah11	79042	Dnah11,Sp4	2	Active_Enhancer	TRUE	FALSE	TRUE	210	20	258	TRUE	FALSE	lost_k27ac	FALSE
chr13	83735001	83755000	chr13	83735001	84315000	stripe_1943	4.2201999498761404	.	.	0,0,139	lost	high	-0.197	6.023e-5	control_only	0.048	NA	high	NA	Mir9-2	0	Mef2c	230966	Tmem161b	1	Active_Promoter	TRUE	FALSE	TRUE	580	20	289	TRUE	TRUE	lost_k27ac	TRUE
chr13	84045001	84070000	chr13	83705001	84070000	stripe_1944	3.17181735766949	.	.	0,0,139	lost	high	-0.1386	6.733e-4	control_only	0.053	NA	high	NA	Gm17750	0	Tmem161b	152295	NA	0	Active_Promoter	TRUE	FALSE	TRUE	365	25	290	TRUE	FALSE	lost_k27ac	TRUE
chr14	54765001	54785000	chr14	54510001	54785000	stripe_2157	2.29230434012107	.	.	255,160,122	gained	low	-0.0949	0.005101	mutant_only	NA	0.038	low	NA	Slc7a8	0	Slc7a8	0	1700123O20Rik,4931414P19Rik,Acin1,Ajuba,Cdh24,Cebpe,Cirop,Haus4,Prmt5,Psmb11,Psmb5,Slc7a8	12	Active_Promoter	TRUE	FALSE	TRUE	275	20	324	TRUE	FALSE	lost_k27ac	FALSE
chr14	55160001	55175000	chr14	55160001	55595000	stripe_2160	1.60747216019667	.	.	0,0,139	lost	high	-0.089	0.02469	control_only	0.02	NA	high	NA	Jph4	43065	Jph4	43065	Carmil3,Cpne6,Dcaf11,Dhrs2,Dhrs4,Emc9,Fitm1,Nrl,Pck2,Psme1,Psme2,Rnf31	12	Active_Enhancer	TRUE	FALSE	TRUE	435	15	325	TRUE	FALSE	lost_k27ac	TRUE
chr14	79105001	79140000	chr14	79105001	79395000	stripe_2253	3.15542038048044	.	.	255,160,122	gained	low	-0.1166	6.992e-4	mutant_only	NA	0.0575	low	NA	Gm4632	59189	Zfp957	107368	Naa16,Rgcc,Zfp957	3	Active_Enhancer	TRUE	FALSE	TRUE	290	35	349	TRUE	FALSE	lost_k27ac	FALSE
chr14	105890001	105915000	chr14	105890001	106345000	stripe_2281	4.9138825590354	.	.	139,0,0	gained	high	0.3027	1.219e-5	mutant_only	NA	0.082	high	NA	Spry2	0	Spry2	0	Spry2,Trim52	2	Active_Promoter	TRUE	FALSE	TRUE	455	25	356	TRUE	FALSE	lost_k27ac	FALSE
chr15	39720001	39740000	chr15	39195001	39740000	stripe_2424	1.42302756695494	.	.	0,0,139	lost	high	-0.0642	0.03775	control_only	0.011	NA	high	NA	Dcstamp	5931	Dcstamp	5931	Rims2	1	Active_Enhancer	TRUE	FALSE	TRUE	545	20	381	TRUE	FALSE	lost_k27ac	TRUE
chr16	24480001	24495000	chr16	24035001	24495000	stripe_2786	1.5702965341663	.	.	0,0,139	lost	high	-0.0884	0.0269	control_only	0.022	NA	high	NA	Morf4l1-ps1	34393	Lpp	86493	Lpp	1	Active_Enhancer	TRUE	FALSE	TRUE	460	15	435	TRUE	FALSE	lost_k27ac	TRUE
chr16	37435001	37460000	chr16	37435001	37680000	stripe_2848	3.72439942485365	.	.	0,0,139	lost	high	-0.141	1.886e-4	control_only	0.01	NA	high	NA	Stxbp5l	50038	Stxbp5l	50038	Gtf2e1,Hgd,Ndufb4,Rabl3	4	Active_Enhancer	TRUE	FALSE	TRUE	245	25	444	TRUE	FALSE	lost_k27ac	TRUE
chr16	41715001	41750000	chr16	41715001	42160000	stripe_2871	4.17388531628031	.	.	0,0,139	lost	high	-0.1526	6.701e-5	control_only	0.076	NA	high	NA	Mir6540	553468	Gap43	590650	NA	0	Active_Enhancer	TRUE	FALSE	TRUE	445	35	449	TRUE	FALSE	lost_k27ac	TRUE
chr17	88505001	88525000	chr17	87680001	88525000	stripe_3302	2.63122428482008	.	.	0,0,139	lost	high	-0.0997	0.002338	control_only	0.095	NA	high	NA	Ppp1r21	5117	Ppp1r21	5117	Fbxo11,Foxn2,Gm4832,Kcnk12,Msh6	5	Active_Enhancer	TRUE	FALSE	TRUE	845	20	504	TRUE	FALSE	lost_k27ac	TRUE
chr18	39085001	39105000	chr18	38280001	39105000	stripe_3438	4.07152182795006	.	.	255,160,122	gained	low	-0.1491	8.482e-5	mutant_only	NA	0.049	low	NA	Fgf1	155528	Fgf1	155528	Arhgap26,Fgf1,Gm19774,Gm5820,Gnpda1,Ndfip1,Pcdh12,Rnf14,Spry4	9	Active_Enhancer	TRUE	FALSE	TRUE	825	20	514	TRUE	FALSE	lost_k27ac	FALSE
chr18	39375001	39395000	chr18	37805001	39395000	stripe_3440	1.38186813902297	.	.	0,0,139	lost	high	-0.0617	0.04151	control_only	0.058	NA	high	NA	Nr3c1	124420	Nr3c1	124420	Arap3,Arhgap26,Dele1,Diaph1,Fchsd1,Fgf1,Gm19774,Gm5820,Gnpda1,Hdac3,Ndfip1,Pcdh1,Pcdh12,Pcdhgc3,Pcdhgc4,Pcdhgc5,Rell2,Rnf14,Spry4	19	Active_Enhancer	TRUE	FALSE	TRUE	1590	20	515	TRUE	FALSE	lost_k27ac	TRUE
chr19	3845001	3875000	chr19	3845001	4340000	stripe_3588	1.51630773530332	.	.	0,0,139	lost	high	-0.0649	0.03046	control_only	0.098	NA	high	NA	Chka	0	Chka	0	Acy3,Aip,Aldh3b1,Aldh3b2,Aldh3b3,Ankrd13d,Cabp2,Cabp4,Carns1,Cdk2ap2,Chka,Clcf1,Coro1b,Doc2g,Gpr152,Grk2,Gstp1,Gstp2,Gstp3,Ndufs8,Ndufv1,Nudt8,Pitpnm1,Pold4,Ppp1ca,Ptprcap,Rad9a,Rps6kb2,Ssh3,Tbc1d10c,Tbx10,Tcirg1,Tmem134,Unc93b1	34	Other	TRUE	FALSE	TRUE	495	30	543	TRUE	FALSE	lost_k27ac	TRUE
chr19	6920001	6945000	chr19	6920001	7210000	stripe_3614	2.42277586908461	.	.	255,160,122	gained	low	-0.0859	0.003778	mutant_only	NA	0.0545	low	NA	Catsperz	0	Catsperz	0	Bad,Catsperz,Dnajc4,Esrra,Fermt3,Fkbp2,Flrt1,Gm51400,Gpr137,Kcnk4,Macrod1,Nudt22,Otub1,Plcb3,Ppp1r14b,Stip1,Trpt1,Vegfb	18	Active_Promoter	TRUE	TRUE	TRUE	290	25	546	TRUE	FALSE	lost_k27ac	FALSE
chr19	10865001	10900000	chr19	10520001	10900000	stripe_3625	1.64192728675492	.	.	255,160,122	gained	low	-0.0661	0.02281	mutant_only	NA	0.058	low	NA	Tmem132a	0	Tmem132a	0	Cd5,Cd6,Cpsf7,Cyb561a3,Ddb1,Pga5,Prpf19,Sdhaf2,Slc15a3,Tkfc,Tmem109,Tmem132a,Tmem138,Tmem216,Vps37c,Vwce	16	Active_Promoter	TRUE	FALSE	TRUE	380	35	548	TRUE	FALSE	stable_k27ac	FALSE
chr19	10870001	10900000	chr19	10520001	10900000	stripe_3626	1.61570717138307	.	.	0,0,139	lost	high	-0.0655	0.02423	control_only	0.0775	NA	high	NA	Tmem109	0	Tmem109	0	Cd5,Cd6,Cpsf7,Cyb561a3,Ddb1,Pga5,Prpf19,Sdhaf2,Slc15a3,Tkfc,Tmem109,Tmem132a,Tmem138,Tmem216,Vps37c,Vwce	16	Active_Promoter	TRUE	FALSE	TRUE	380	30	549	TRUE	FALSE	stable_k27ac	FALSE
chr19	22880001	22900000	chr19	22430001	22900000	stripe_3656	2.44435279058163	.	.	255,160,122	gained	low	-0.1003	0.003595	mutant_only	NA	0.015	low	NA	Mir204	129395	Klf9	241225	NA	0	Active_Enhancer	TRUE	FALSE	TRUE	470	20	556	TRUE	FALSE	lost_k27ac	FALSE
chr19	46320001	46340000	chr19	46320001	47315000	stripe_3720	1.33965314519849	.	.	255,160,122	gained	low	-0.0626	0.04575	mutant_only	NA	0.097	low	NA	Psd	0	Psd	0	Actr1a,Arl3,As3mt,Atp5mk,Borcs7,Calhm1,Calhm2,Cnnm2,Cuedc2,Cyp17a1,Fbxl15,Ina,Mfsd13a,Neurl1a,Nt5c2,Pcgf6,Pdcd11,Psd,Sfxn2,Sufu,Taf5,Trim8,Wbp1l	23	Active_Promoter	TRUE	FALSE	TRUE	995	20	564	TRUE	FALSE	stable_k27ac	FALSE
chr19	47160001	47185000	chr19	47160001	47340000	stripe_3728	1.64758911941507	.	.	255,160,122	gained	low	-0.0769	0.02251	mutant_only	NA	0.037	low	NA	Neurl1a	0	Neurl1a	0	Neurl1a	1	Active_Promoter	TRUE	FALSE	TRUE	180	25	565	TRUE	FALSE	stable_k27ac	FALSE
chr19	56920001	56945000	chr19	56920001	57350000	stripe_3750	2.68667217855032	.	.	255,160,122	gained	low	-0.095	0.002057	mutant_only	NA	0.035	low	NA	Vwa2	45751	Vwa2	45751	Ablim1,Afap1l2	2	Active_Enhancer	TRUE	FALSE	TRUE	430	25	568	TRUE	FALSE	lost_k27ac	FALSE
chr2	25475001	25495000	chr2	25185001	25495000	stripe_3829	1.43340403759499	.	.	255,160,122	gained	low	-0.0632	0.03686	mutant_only	NA	0.053	low	NA	Lcn12	0	Lcn12	0	Abca2,Anapc2,Cimip2a,Clic3,Cysrt1,Dpp7,Entpd2,Fut7,Grin1,Lcn12,Lrrc26,Man1b1,Ndor1,Nelfb,Npdc1,Paxx,Ptgds,Rnf208,Rnf224,Sapcd2,Slc34a3,Ssna1,Stpg3,Tmem203,Tmem210,Tor4a,Tprn,Tubb4b,Uap1l1	29	Other	TRUE	FALSE	TRUE	310	20	580	TRUE	FALSE	lost_k27ac	FALSE
chr2	32120001	32140000	chr2	30915001	32140000	stripe_3870	2.28857489217023	.	.	135,206,235	lost	low	0.095	0.005145	control_only	0.052	NA	low	NA	Prrc2b	11081	Prrc2b	11081	Abl1,Aif1l,Ass1,BC005624,Exosc2,Fam78a,Fibcd1,Fnbp1,Fubp3,Gpr107,Hmcn2,Lamc3,Ncs1,Nup214,Plpp7,Prdm12,Qrfp,Tor1a,Tor1b,Usp20	20	Poised_Enhancer	FALSE	FALSE	TRUE	1225	20	587	TRUE	FALSE	no_diffbind_peak	FALSE
chr2	104385001	104415000	chr2	104150001	104415000	stripe_4069	1.87683960280699	.	.	135,206,235	lost	low	0.0716	0.01328	control_only	0.054	NA	low	NA	D430041D05Rik	0	D430041D05Rik	0	D430041D05Rik	1	Active_Promoter	TRUE	FALSE	TRUE	265	30	619	TRUE	FALSE	gained_k27ac	FALSE
chr2	138255001	138290000	chr2	138255001	139380000	stripe_4190	1.68655846103425	.	.	0,0,139	lost	high	-0.0636	0.02058	control_only	0.032	NA	high	NA	Btbd3	0	Btbd3	0	Btbd3	1	Active_Promoter	TRUE	FALSE	TRUE	1125	35	630	TRUE	FALSE	lost_k27ac	TRUE
chr2	139350001	139385000	chr2	137965001	139385000	stripe_4203	1.81361347539302	.	.	0,0,139	lost	high	-0.068	0.01536	control_only	0.0235	NA	high	NA	Sptlc3	108912	Sptlc3	108912	Btbd3	1	Active_Enhancer	TRUE	FALSE	TRUE	1420	35	633	TRUE	FALSE	lost_k27ac	TRUE
chr2	139350001	139385000	chr2	137950001	139385000	stripe_4204	1.75292209768741	.	.	255,160,122	gained	low	-0.0668	0.01766	mutant_only	NA	0.021	low	NA	Sptlc3	108912	Sptlc3	108912	Btbd3	1	Active_Enhancer	TRUE	FALSE	TRUE	1435	35	634	TRUE	FALSE	lost_k27ac	FALSE
chr3	52090001	52115000	chr3	51215001	52115000	stripe_4437	2.55094151272004	.	.	0,0,139	lost	high	-0.093	0.002812	control_only	0.022	NA	high	NA	Maml3	0	Maml3	0	Elf2,Maml3,Mgarp,Mgst2,Naa15,Ndufc1,Noct,Rab33b,Setd7	9	Active_Promoter	TRUE	FALSE	TRUE	900	25	680	TRUE	FALSE	lost_k27ac	TRUE
chr4	9650001	9670000	chr4	8505001	9670000	stripe_4707	2.1871769501634	.	.	255,160,122	gained	low	-0.0882	0.006499	mutant_only	NA	0.015	low	NA	Asph	0	Asph	0	Asph,Chd7,Clvs1,Rab2a	4	Active_Promoter	TRUE	FALSE	TRUE	1165	20	704	TRUE	FALSE	stable_k27ac	FALSE
chr4	62675001	62700000	chr4	62290001	62700000	stripe_4808	1.69023429695324	.	.	0,0,139	lost	high	-0.0692	0.02041	control_only	0.0415	NA	high	NA	Rgs3	115153	Rgs3	115153	4933430I17Rik,Alad,Bspry,Cdc26,Fkbp15,Hdhd3,Pole3,Prpf4,Rgs3,Rnf183,Slc31a1,Wdr31	12	Active_Enhancer	TRUE	FALSE	TRUE	410	25	723	TRUE	FALSE	lost_k27ac	TRUE
chr4	98535001	98555000	chr4	98535001	98925000	stripe_4915	4.79303177339378	.	.	255,160,122	gained	low	-0.2057	1.611e-5	mutant_only	NA	0.0765	low	NA	Patj	139215	Patj	139215	Kank4,L1td1,Usp1	3	Active_Enhancer	TRUE	FALSE	TRUE	390	20	747	TRUE	FALSE	lost_k27ac	FALSE
chr4	104440001	104460000	chr4	104440001	104730000	stripe_4940	1.56923050603954	.	.	255,160,122	gained	low	-0.0739	0.02696	mutant_only	NA	0.018	low	NA	C8b	306316	C8b	306316	NA	0	Active_Enhancer	TRUE	FALSE	TRUE	290	20	752	TRUE	FALSE	lost_k27ac	FALSE
chr5	18355001	18375000	chr5	18065001	18375000	stripe_5205	2.42662257056021	.	.	255,160,122	gained	low	-0.1086	0.003744	mutant_only	NA	0.0805	low	NA	Gnai1	0	Gnai1	0	Gnai1	1	Active_Promoter	TRUE	FALSE	TRUE	310	20	788	TRUE	FALSE	lost_k27ac	FALSE
chr5	74250001	74270000	chr5	73705001	74270000	stripe_5377	1.59018900558417	.	.	0,0,139	lost	high	-0.0733	0.02569	control_only	0.028	NA	high	NA	Rasl11b	54714	Rasl11b	54714	Rasl11b,Usp46	2	Active_Enhancer	TRUE	FALSE	TRUE	565	20	814	TRUE	FALSE	lost_k27ac	TRUE
chr5	74275001	74295000	chr5	73645001	74295000	stripe_5378	1.45666450116111	.	.	0,0,139	lost	high	-0.0693	0.03494	control_only	0.046	NA	high	NA	Rasl11b	79714	Rasl11b	79714	Rasl11b,Sgcb,Spata18,Usp46	4	Poised_Enhancer	FALSE	FALSE	TRUE	650	20	815	TRUE	FALSE	no_diffbind_peak	FALSE
chr5	130390001	130415000	chr5	130390001	130850000	stripe_5538	1.81804187676887	.	.	255,160,122	gained	low	-0.0717	0.0152	mutant_only	NA	0.0875	low	NA	A330070K13Rik	5369	A330070K13Rik	5369	NA	0	Active_Enhancer	TRUE	FALSE	TRUE	460	25	830	TRUE	FALSE	lost_k27ac	FALSE
chr5	142795001	142820000	chr5	142470001	142820000	stripe_5618	2.00279014430171	.	.	135,206,235	lost	low	0.0891	0.009936	control_only	0.07	NA	low	NA	Tnrc18	0	Tnrc18	0	Mmd2,Papolb,Radil,Slc29a4,Tnrc18,Wipi2	6	Active_Promoter	TRUE	FALSE	TRUE	350	25	843	TRUE	FALSE	no_diffbind_peak	FALSE
chr6	140450001	140485000	chr6	140450001	140715000	stripe_6043	1.8050255564584	.	.	255,160,122	gained	low	-0.0742	0.01567	mutant_only	NA	0.036	low	NA	Plekha5	25946	Plekha5	25946	Aebp2	1	Active_Enhancer	TRUE	FALSE	TRUE	265	35	932	TRUE	FALSE	lost_k27ac	FALSE
chr7	46700001	46720000	chr7	45675001	46720000	stripe_6163	1.50221072138171	.	.	0,0,139	lost	high	-0.0844	0.03146	control_only	0.035	NA	high	NA	Saal1	0	Saal1	0	Abcc6,Abcc8,Car11,Cyth2,Dbp,Emp3,Fam83e,Grin2d,Grwd1,Kcnc1,Kcnj11,Kcnj14,Kdelr1,Lmtk3,Myod1,Nomo1,Ntn5,Odad1,Otog,Rpl18,Saa3,Saal1,Sec1,Sergef,Spaca4,Sphk2,Sult2b1,Syngr4,Tmem143,Tph1,Ush1c	31	Other	TRUE	FALSE	TRUE	1045	20	942	TRUE	FALSE	lost_k27ac	TRUE
chr7	46705001	46725000	chr7	45655001	46725000	stripe_6164	1.9988188981212	.	.	255,160,122	gained	low	-0.0999	0.01003	mutant_only	NA	0.052	low	NA	Saal1	0	Saal1	0	Abcc6,Abcc8,Car11,Cyth2,Dbp,Emp3,Fam83e,Fut2,Grin2d,Grwd1,Kcnc1,Kcnj11,Kcnj14,Kdelr1,Lmtk3,Myod1,Nomo1,Ntn5,Odad1,Otog,Rpl18,Saa3,Saal1,Sec1,Sergef,Spaca4,Sphk2,Sult2b1,Syngr4,Tmem143,Tph1,Ush1c	32	Other	TRUE	FALSE	TRUE	1070	20	943	TRUE	FALSE	lost_k27ac	FALSE
chr7	49250001	49275000	chr7	49250001	49595000	stripe_6175	1.54027460076944	.	.	139,0,0	gained	high	0.0836	0.02882	mutant_only	NA	0.021	high	NA	9130015G15Rik	90181	Nav2	341284	NA	0	Active_Enhancer	TRUE	FALSE	TRUE	345	25	950	TRUE	FALSE	gained_k27ac	TRUE
chr7	49250001	49285000	chr7	48885001	49285000	stripe_6176	2.21456508354328	.	.	255,160,122	gained	low	-0.1126	0.006101	mutant_only	NA	0.047	low	NA	9130015G15Rik	90181	Nav2	341284	Nav2	1	Active_Enhancer	TRUE	FALSE	TRUE	400	35	951	TRUE	FALSE	gained_k27ac	TRUE
chr7	92245001	92265000	chr7	92245001	92560000	stripe_6309	2.76724892133699	.	.	255,160,122	gained	low	-0.1472	0.001709	mutant_only	NA	0.041	low	NA	4930567K12Rik	125489	Ccdc90b	296148	NA	0	Active_Enhancer	TRUE	FALSE	TRUE	315	20	965	TRUE	FALSE	lost_k27ac	FALSE
chr7	139455001	139485000	chr7	139225001	139485000	stripe_6506	1.38710846711482	.	.	0,0,139	lost	high	-0.0857	0.04101	control_only	0.0155	NA	high	NA	Inpp5a	65891	Inpp5a	65891	Inpp5a,Pwwp2b	2	Active_Enhancer	TRUE	FALSE	TRUE	260	30	1006	TRUE	FALSE	lost_k27ac	TRUE
chr7	141520001	141540000	chr7	141180001	141540000	stripe_6515	1.42117446427159	.	.	0,0,139	lost	high	-0.0846	0.03792	control_only	0.0885	NA	high	NA	Chid1	0	Chid1	0	Cd151,Cdhr5,Cend1,Chid1,Cracr2b,Deaf1,Drd4,Eps8l2,Gatd1,Hras,Irf7,Lmntd2,Lrrc56,Phrf1,Pidd1,Pnpla2,Polr2l,Rassf7,Rplp2,Sct,Slc25a22,Taldo1,Tmem80,Tspan4	24	Other	TRUE	FALSE	TRUE	360	20	1007	TRUE	FALSE	lost_k27ac	TRUE
chr8	36090001	36120000	chr8	35865001	36120000	stripe_6610	1.76344537050529	.	.	255,160,122	gained	low	-0.0794	0.01724	mutant_only	NA	0.067	low	NA	Prag1	0	Prag1	0	Prag1	1	Active_Promoter	TRUE	FALSE	TRUE	255	30	1034	TRUE	FALSE	stable_k27ac	FALSE
chr8	36485001	36520000	chr8	35850001	36520000	stripe_6615	2.30483644839694	.	.	0,0,139	lost	high	-0.0887	0.004956	control_only	0.05	NA	high	NA	Trmt9b	27452	Trmt9b	27452	Lonrf1,Prag1,Trmt9b	3	Active_Enhancer	TRUE	FALSE	TRUE	670	35	1035	TRUE	FALSE	lost_k27ac	TRUE
chr8	57645001	57670000	chr8	57645001	57965000	stripe_6634	3.20308310488483	.	.	0,0,139	lost	high	-0.1616	6.265e-4	control_only	0.0945	NA	high	NA	Galnt7	0	Galnt7	0	Galnt7	1	Active_Promoter	TRUE	FALSE	TRUE	320	25	1040	TRUE	FALSE	stable_k27ac	FALSE
chr8	86525001	86545000	chr8	85675001	86545000	stripe_6708	2.80743341719429	.	.	0,0,139	lost	high	-0.1092	0.001558	control_only	0.021	NA	high	NA	Abcc12	35685	Abcc12	35685	Itfg1,Neto2,Phkb	3	Active_Enhancer	TRUE	FALSE	TRUE	870	20	1052	TRUE	FALSE	lost_k27ac	TRUE
chr8	86525001	86545000	chr8	85595001	86545000	stripe_6709	2.82738613740073	.	.	255,160,122	gained	low	-0.1069	0.001488	mutant_only	NA	0.0755	low	NA	Abcc12	35685	Abcc12	35685	Itfg1,Neto2,Phkb	3	Active_Enhancer	TRUE	FALSE	TRUE	950	20	1053	TRUE	FALSE	lost_k27ac	FALSE
