loop_id	chr1	start1	end1	chr2	start2	end2	logFC	logCPM	FDR	PValue	significant	resolution_kb	n_overlaps	loop_distance	loop_type	direction	category	anchor1_H3K27ac_overlap	anchor1_H3K27me3_overlap	anchor1_H3K4me1_overlap	anchor1_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor1_CTCF_overlap	anchor1_CTCF_motif_overlap	anchor2_H3K27ac_overlap	anchor2_H3K27me3_overlap	anchor2_H3K4me1_overlap	anchor2_H3K4me3_overlap	anchor2_Bivalent_Promoter_overlap	anchor2_CTCF_overlap	anchor2_CTCF_motif_overlap	anchor1_distance_to_tss_ext	anchor2_distance_to_tss_ext	anchor1_type_extended	anchor2_type_extended	loop_type_extended	ctcf_anchor_count
loop_2344	chr8	34870000	34880000	chr8	35470000	35480000	0.407607541857131	5.60861693538885	0.0120629189926992	8.72464984554685e-6	TRUE	10	1	600000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	62702	16195	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site	2
loop_2361	chr8	57540000	57550000	chr8	57960000	57970000	-0.567636305733043	3.68410420949221	0.0205159221502545	3.15315682627544e-5	TRUE	10	1	420000	Active_Enhancer-Active_Enhancer	down_in_mutant	moderate_differential	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	28092	306967	Active_Enhancer	Active_Enhancer	Active_Enhancer-Active_Enhancer	2
loop_4080	chr5	15540000	15550000	chr5	15590000	15600000	0.459325147918567	7.24316347898712	0.0164014095997052	1.94341208136465e-5	TRUE	10	1	50000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	10777	12666	CTCF_Site	Other	CTCF_Site-Other	1
loop_4307	chr8	71140000	71150000	chr8	71830000	71840000	0.583222953592287	5.75113265495581	0.0053478346973716	1.02447615889885e-6	TRUE	10	1	690000	Other-Other	up_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	54241	42018	Other	Other	Other-Other	0
loop_4309	chr8	34850000	34860000	chr8	35460000	35470000	0.438531496090977	5.43537764916674	0.005866821480695	1.85642122614887e-6	TRUE	10	1	610000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	42702	26195	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site	2
loop_4389	chr8	71210000	71220000	chr8	71780000	71790000	1.49215068588679	4.74920228452659	2.56421900049556e-5	2.31825241885504e-9	TRUE	10	1	570000	Other-Other	up_in_mutant	strong_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	52713	54283	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site	2
loop_4713	chr9	9580000	9590000	chr9	10900000	10910000	0.572202495601236	3.59349188849133	0.022620335524039	3.87829331335346e-5	TRUE	10	1	1320000	Poised_Enhancer-Other	up_in_mutant	moderate_differential	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	304430	0	Poised_Enhancer	CTCF_Site	Poised_Enhancer-CTCF_Site	1
loop_7428	chr8	34820000	34830000	chr8	35460000	35470000	0.569481690131179	4.71999454512869	0.0075177148628495	3.16986407661749e-6	TRUE	10	1	640000	Poised_Enhancer-Other	up_in_mutant	moderate_differential	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	12702	26195	Poised_Enhancer	CTCF_Site	Poised_Enhancer-CTCF_Site	2
loop_8364	chr8	71130000	71140000	chr8	71850000	71860000	0.506266118738773	5.44639177705983	0.0164014095997052	2.09045070113914e-5	TRUE	10	1	720000	Other-Other	up_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	44241	22018	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site	2
loop_8390	chr8	71130000	71140000	chr8	71810000	71820000	0.44004598884684	5.308149195862	0.0164014095997052	2.22422153508343e-5	TRUE	10	1	680000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	44241	62018	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site	2
loop_8692	chr8	40180000	40190000	chr8	40380000	40390000	0.385417922933943	5.80751514167088	0.0112458667431278	7.62535038183333e-6	TRUE	10	1	200000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	117457	33814	Other	CTCF_Site	CTCF_Site-Other	1
loop_8667	chr8	36525000	36550000	chr8	37050000	37075000	0.424038596320175	4.95080205696194	0.0037529240316719	2.86059666079519e-6	TRUE	25	2	525000	Polycomb-Other	up_in_mutant	weak_differential	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	67451	25761	Polycomb	CTCF_Site	Polycomb-CTCF_Site	2
loop_8758	chr8	48220000	48230000	chr8	49820000	49830000	-0.907636620590362	3.8015301363332	0.0053478346973716	1.20871410753359e-6	TRUE	10	1	1600000	Polycomb-Polycomb	down_in_mutant	moderate_differential	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	120907	538111	Polycomb	Polycomb	Polycomb-Polycomb	1
loop_8805	chr8	33210000	33220000	chr8	33720000	33730000	0.405045328744502	5.15099194443614	0.0279548023039296	5.30739398230288e-5	TRUE	10	1	510000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	165526	1832	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site	2
loop_10501	chr13	9180000	9190000	chr13	9840000	9850000	-0.404442747798368	4.9919634675987	0.0164014095997052	1.8997817009499e-5	TRUE	10	1	660000	Poised_Enhancer-Other	down_in_mutant	weak_differential	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	86118	74669	Poised_Enhancer	CTCF_Site	Poised_Enhancer-CTCF_Site	1
loop_12019	chr16	49010000	49020000	chr16	49320000	49330000	0.564036909492803	4.37345908553578	0.0080305936373873	4.5138475158506e-6	TRUE	10	1	310000	Poised_Enhancer-Other	up_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	15814	262513	CTCF_Site	Poised_Enhancer	Poised_Enhancer-CTCF_Site	2
loop_12880	chr1	79780000	79790000	chr1	80100000	80110000	0.399036967127201	5.47758925753365	0.0152296050443023	1.49736239265105e-5	TRUE	10	1	320000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	3856	108472	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site	2
loop_19513	chr19	43600000	43625000	chr19	44750000	44775000	-0.347891210837679	4.39547529352291	0.0139417069502811	4.05147026805367e-5	TRUE	25	2	1150000	Repressed_Promoter-Repressed_Promoter	down_in_mutant	weak_differential	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	0	0	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter	2
loop_13109	chr19	43600000	43625000	chr19	45225000	45250000	-0.433887422733374	4.05549020846173	0.0072549435388523	1.03686487621156e-5	TRUE	25	2	1625000	Repressed_Promoter-Other	down_in_mutant	weak_differential	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	0	0	Repressed_Promoter	Other	Repressed_Promoter-Other	1
loop_18042	chr19	59175000	59200000	chr19	59450000	59475000	-0.396711155978786	4.47809069780905	0.0130435399402478	3.16907501763918e-5	TRUE	25	2	275000	Repressed_Promoter-Polycomb	down_in_mutant	weak_differential	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	4943	0	Polycomb	Repressed_Promoter	Repressed_Promoter-Polycomb	2
loop_14438	chr2	147080000	147090000	chr2	148030000	148040000	-0.449344269369866	4.18362206052929	0.0269274413761963	4.86889817850038e-5	TRUE	10	1	950000	Repressed_Promoter-Polycomb	down_in_mutant	weak_differential	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	6968	Repressed_Promoter	Polycomb	Repressed_Promoter-Polycomb	0
loop_15566	chr4	82530000	82540000	chr4	82700000	82710000	-0.510023682308334	3.90478766671061	0.0265860782333663	4.68699507775646e-5	TRUE	10	1	170000	Active_Promoter-Active_Enhancer	down_in_mutant	moderate_differential	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	21983	0	Active_Enhancer	Active_Promoter	Active_Promoter-Active_Enhancer	1
loop_15592	chr4	82510000	82520000	chr4	82700000	82710000	-0.664483931374313	3.99653707376153	0.0084439241924161	5.34377265590031e-6	TRUE	10	1	190000	Active_Promoter-Active_Promoter	down_in_mutant	moderate_differential	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	1983	0	Active_Promoter	Active_Promoter	Active_Promoter-Active_Promoter	1
loop_16029	chr5	15520000	15530000	chr5	15580000	15590000	0.546459951447628	7.00015616061202	0.0075177148628495	3.24623559261986e-6	TRUE	10	1	60000	Other-Other	up_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0	2666	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site	2
loop_16581	chr6	111060000	111070000	chr6	111860000	111870000	-0.425091885207135	4.74860840788917	0.0180706558798058	2.66310109060519e-5	TRUE	10	1	800000	Polycomb-Polycomb	down_in_mutant	weak_differential	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	414418	340707	Polycomb	Polycomb	Polycomb-Polycomb	1
loop_16414	chr7	131550000	131575000	chr7	137300000	137325000	-1.3440356291333	1.43943516844356	0.0014165462047666	4.7238451876359e-7	TRUE	25	2	5750000	Repressed_Promoter-Bivalent_Promoter	down_in_mutant	strong_differential	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0	0	Repressed_Promoter	Bivalent_Promoter	Repressed_Promoter-Bivalent_Promoter	2
loop_17706	chr10	56370000	56380000	chr10	57180000	57190000	0.375262567986718	5.54522664360166	0.0180706558798058	2.54545682020504e-5	TRUE	10	1	810000	Other-Other	up_in_mutant	weak_differential	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0	296350	Other	CTCF_Site	CTCF_Site-Other	1
loop_17895	chr8	40180000	40190000	chr8	40290000	40300000	0.387391598664985	5.51075001958883	0.0125381759837717	1.02019332658842e-5	TRUE	10	1	110000	Polycomb-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	117457	7457	Other	Polycomb	Polycomb-Other	1
loop_17936	chr8	71190000	71200000	chr8	71810000	71820000	1.00989598387211	5.29795817296899	2.56421900049556e-5	2.22678875374074e-9	TRUE	10	1	620000	Other-Other	up_in_mutant	strong_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	72713	62018	Other	CTCF_Site	CTCF_Site-Other	1
loop_18971	chr1	107120000	107130000	chr1	107480000	107490000	0.410748004377354	4.91941012297252	0.0279548023039296	5.19383174904458e-5	TRUE	10	1	360000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	36493	21422	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site	2
loop_19875	chr6	41760000	41770000	chr6	42190000	42200000	0.373449281904222	5.52983931205254	0.0281586939122201	5.60068046351002e-5	TRUE	10	1	430000	Poised_Enhancer-Other	up_in_mutant	weak_differential	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	2365	15327	Poised_Enhancer	CTCF_Site	Poised_Enhancer-CTCF_Site	2
loop_20048	chr7	56940000	56950000	chr7	57380000	57390000	0.602771575667794	4.63280097170098	0.0080305936373873	4.69032739560055e-6	TRUE	10	1	440000	Repressed_Promoter-Other	up_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	437187	0	CTCF_Site	Repressed_Promoter	Repressed_Promoter-CTCF_Site	1
loop_21838	chr12	56680000	56690000	chr12	57190000	57200000	0.544817153178618	4.18724902241602	0.0152296050443023	1.45465949107174e-5	TRUE	10	1	510000	Repressed_Promoter-Repressed_Promoter	up_in_mutant	moderate_differential	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	1766	0	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter	2
loop_51	chr8	48200000	48225000	chr8	50275000	50300000	-0.778369948212038	3.17220065311482	0.0037923314878649	3.07129890399239e-6	TRUE	25	1	2075000	Polycomb-Poised_Enhancer	down_in_mutant	moderate_differential	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	100907	68111	Polycomb	Poised_Enhancer	Polycomb-Poised_Enhancer	2
loop_57	chr8	47850000	47875000	chr8	50275000	50300000	-0.526699063345898	2.8551818856674	0.0177223396604711	7.42968839084109e-5	TRUE	25	1	2425000	Poised_Enhancer-Poised_Enhancer	down_in_mutant	moderate_differential	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	25517	68111	Poised_Enhancer	Poised_Enhancer	Poised_Enhancer-Poised_Enhancer	2
loop_58	chr8	12375000	12400000	chr8	92350000	92375000	-0.971315924387862	0.128114533675607	0.0232482187122889	1.299000573066e-4	TRUE	25	1	79975000	Repressed_Promoter-Repressed_Promoter	down_in_mutant	moderate_differential	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	0	0	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter	2
loop_59	chr8	57300000	57325000	chr8	108700000	108725000	-1.26277552432515	1.18403002108797	0.0022367399412622	1.59835639650007e-6	TRUE	25	1	51400000	Repressed_Promoter-Polycomb	down_in_mutant	strong_differential	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	0	115404	Repressed_Promoter	Polycomb	Repressed_Promoter-Polycomb	2
loop_60	chr8	89025000	89050000	chr8	108700000	108725000	-1.31418547582669	0.48850084777916	0.014939203019758	5.4873287262202e-5	TRUE	25	1	19675000	Repressed_Promoter-Polycomb	down_in_mutant	strong_differential	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	0	115404	Repressed_Promoter	Polycomb	Repressed_Promoter-Polycomb	1
loop_62	chr8	57300000	57325000	chr8	89025000	89050000	-2.00769909675552	-0.0652004660598235	0.0014165462047666	4.47440457716651e-7	TRUE	25	1	31725000	Repressed_Promoter-Repressed_Promoter	down_in_mutant	strong_differential	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	0	0	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter	1
loop_225	chr11	85825000	85850000	chr11	96325000	96350000	-0.711085675572845	2.89991993806132	0.001576260373577	6.75829801447922e-7	TRUE	25	1	10500000	Repressed_Promoter-Repressed_Promoter	down_in_mutant	moderate_differential	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0	1630	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter	2
loop_611	chr1	138825000	138850000	chr1	184700000	184725000	-1.17816135652886	-0.382932016540996	0.0203861789965565	1.000555373317e-4	TRUE	25	1	45875000	Repressed_Promoter-Repressed_Promoter	down_in_mutant	strong_differential	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter	2
loop_715	chr19	25600000	25625000	chr19	59150000	59175000	-0.895280520017971	1.49522226681031	0.0072549435388523	1.00719208399418e-5	TRUE	25	1	33550000	Repressed_Promoter-Repressed_Promoter	down_in_mutant	moderate_differential	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	0	0	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter	2
loop_964	chr4	34650000	34675000	chr4	40975000	41000000	0.62518332416956	2.92175163428571	0.0094993359520156	1.67441012922005e-5	TRUE	25	1	6325000	Other-Other	up_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	12437	0	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site	2
loop_966	chr4	44700000	44725000	chr4	154625000	154650000	-1.07245055489017	-0.168741022392723	0.019455386982868	8.55322798072949e-5	TRUE	25	1	109925000	Repressed_Promoter-Repressed_Promoter	down_in_mutant	strong_differential	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	0	0	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter	1
loop_1268	chr10	42575000	42600000	chr10	50900000	50925000	-0.702232013364356	1.78993282270739	0.008925482244469	1.53073870135241e-5	TRUE	25	1	8325000	Repressed_Promoter-Polycomb	down_in_mutant	moderate_differential	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0	4348	Repressed_Promoter	Polycomb	Repressed_Promoter-Polycomb	2
loop_1271	chr10	22825000	22850000	chr10	103025000	103050000	-0.707195567120944	1.88323009049011	0.0143081055854705	4.63508732224283e-5	TRUE	25	1	80200000	Repressed_Promoter-Polycomb	down_in_mutant	moderate_differential	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	4825	0	Polycomb	Repressed_Promoter	Repressed_Promoter-Polycomb	1
loop_1294	chr8	49475000	49500000	chr8	49800000	49825000	-0.577623803711098	5.5042361365523	0.0022367399412622	1.46151161464056e-6	TRUE	25	1	325000	Polycomb-Other	down_in_mutant	moderate_differential	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	631048	543111	Polycomb	Other	Polycomb-Other	1
loop_1310	chr8	48525000	48550000	chr8	49825000	49850000	-0.606222476164762	4.36649188575834	0.0038780013920774	3.32542637594178e-6	TRUE	25	1	1300000	Polycomb-Other	down_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	293950	518111	CTCF_Site	Polycomb	Polycomb-CTCF_Site	2
loop_1314	chr8	71125000	71150000	chr8	72100000	72125000	0.386219870675121	4.34744460285625	0.011857211712961	2.59840759752373e-5	TRUE	25	1	975000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	39241	0	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site	2
